sequence,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFXgBdmB5mBi?iBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBRhBunB/?rBasB0pB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBamBRiBW?sB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFUgBRhBunB/?rBasBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFNlBUhB3iBq?pBxrBzrB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFOlBdmBRiBC?nB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Jex/IvhFXhBiiBTkBe?qB9rBcsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFRgB3iBmlBq?rBUnBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB/pBq?rBTnBOqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB2pBq?rBTnBXqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFamBRiBXlBu?rBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeXAJvhFdmBRiB2pBS?sBzrB0pB
TSLJOZI,X,O,X,O,O,O,O,O,O,O,X,O
TSLZIJO,O,O,X,O,O,O,O,X,X,X,O,X
TSLZIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSLZJIO,O,O,O,O,O,O,O,O,X,X,O,X
TSLZJOI,O,O,O,O,O,O,O,O,O,X,O,O
TSLZOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TSLZOJI,O,O,O,O,O,O,O,X,O,X,O,X
TSLOIJZ,X,O,X,O,O,O,X,O,O,O,X,X
TSLOIZJ,X,O,X,O,O,O,X,X,O,X,X,X
TSLOJIZ,X,O,X,O,O,O,X,O,O,O,X,O
TSLOJZI,X,O,X,O,O,O,X,O,O,O,X,O
TSLOZIJ,X,O,X,O,X,O,X,X,O,X,X,X
TSLOZJI,X,O,X,O,O,O,X,O,O,X,O,X
TSJILZO,O,O,O,O,O,O,O,O,X,X,X,X
TSJILOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSJIZLO,O,O,O,O,O,O,O,X,X,X,X,X
TSJIZOL,O,O,O,O,X,O,O,X,X,X,X,X
TSJIOLZ,X,X,X,O,X,X,O,X,X,X,X,X
TSJIOZL,O,O,X,O,X,O,O,X,X,X,X,X
TSJLIZO,O,O,O,O,O,O,O,O,X,X,X,X
TSJLIOZ,X,O,X,O,O,O,X,O,X,X,X,O
TSJLZIO,O,O,O,O,O,O,O,O,X,X,O,X
TSJLZOI,O,O,O,O,O,O,O,O,O,O,O,O
TSJLOIZ,X,O,X,O,O,O,O,O,O,O,X,O
TSJLOZI,X,O,X,O,O,O,O,O,O,O,X,O
TSJZILO,O,O,O,O,X,O,O,X,X,X,O,X
TSJZIOL,O,O,O,O,X,O,O,X,X,X,O,X
TSJZLIO,O,O,O,O,O,O,O,O,X,X,O,X
TSJZLOI,O,O,O,O,O,O,O,O,O,O,O,O
TSJZOIL,O,O,O,O,X,O,O,X,X,X,O,X
TSJZOLI,O,O,O,O,X,O,O,X,X,X,O,X
TSJOILZ,X,X,X,O,X,X,O,X,X,X,X,X
TSJOIZL,O,O,X,O,X,O,O,X,X,X,X,X
TSJOLIZ,X,O,X,O,X,O,O,O,X,X,X,O
TSJOLZI,X,O,X,O,X,O,O,O,X,X,X,O
TSJOZIL,O,O,X,O,X,O,O,X,X,X,X,X
TSJOZLI,O,O,X,O,X,O,O,X,X,X,X,X
TSZILJO,O,O,X,O,O,O,O,X,X,X,O,X
TSZILOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSZIJLO,O,O,O,O,O,O,O,X,X,X,O,X
TSZIJOL,O,O,O,O,X,O,O,X,X,X,O,X
TSZIOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TSZIOJL,O,O,O,O,X,O,X,X,X,X,X,X
TSZLIJO,O,O,X,O,O,O,O,X,X,X,O,X
TSZLIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TSZLJIO,O,O,O,O,O,O,O,O,X,X,O,X
TSZLJOI,O,O,O,O,O,O,O,O,O,X,O,O
TSZLOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TSZLOJI,O,O,O,O,O,O,O,X,O,X,O,X
TSZJILO,O,O,O,O,X,O,O,X,X,X,O,X
TSZJIOL,O,O,O,O,X,O,O,X,X,X,O,X
TSZJLIO,O,O,O,O,O,O,O,O,X,X,O,X
TSZJLOI,O,O,O,O,O,O,O,O,O,X,O,O
TSZJOIL,O,O,O,O,X,O,O,X,X,X,O,X
TSZJOLI,O,O,O,O,X,O,O,X,X,X,O,X
TSZOILJ,O,O,O,X,X,O,O,X,X,X,X,X
TSZOIJL,O,O,O,O,X,O,X,X,X,X,X,X
TSZOLIJ,O,O,O,O,X,O,O,X,O,X,X,X
TSZOLJI,O,O,O,O,O,O,O,X,O,X,O,X
TSZOJIL,O,O,O,O,X,O,O,X,X,X,O,X
TSZOJLI,O,O,O,O,X,O,O,X,X,X,O,X
TSOILJZ,O,X,X,O,O,X,X,O,X,X,X,X
TSOILZJ,O,X,X,O,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,O,X,X,X,O,X,X,X,X
TSOIJZL,O,O,X,O,X,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,O,O,O,X,X,X,X,X
TSOIZJL,O,O,X,O,X,O,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,O,O,X,O,O,X,X,X
TSOLIZJ,O,O,X,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,O,X,O,O,O,X,O,O,X,X,O
TSOLJZI,O,O,X,O,O,O,X,O,O,X,X,O
TSOLZIJ,O,O,X,O,X,O,X,X,O,X,X,X
TSOLZJI,O,O,X,O,O,O,X,O,O,X,O,X
TSOJILZ,O,X,X,O,X,X,O,O,X,X,X,X
TSOJIZL,O,O,X,O,X,O,O,X,X,X,X,X
TSOJLIZ,O,O,X,O,X,O,O,O,X,X,X,O
TSOJLZI,O,O,X,O,X,O,O,O,X,X,X,O
TSOJZIL,O,O,X,O,X,O,O,X,X,X,X,X
TSOJZLI,O,O,X,O,X,O,O,O,X,X,X,X
TSOZILJ,O,O,X,O,X,O,O,X,X,X,X,X
TSOZIJL,O,O,X,O,X,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,O,X,O,O,X,O,X,X,X
TSOZLJI,O,O,X,O,O,O,O,O,O,X,O,X
TSOZJIL,O,O,X,O,X,O,O,X,X,X,O,X
TSOZJLI,O,O,X,O,X,O,O,O,X,X,O,X
TZILJSO,O,X,O,O,O,X,O,X,X,X,O,X
TZILJOS,O,O,O,X,O,O,O,X,X,X,O,X
TZILSJO,O,X,X,X,O,X,O,X,X,X,O,X
TZILSOJ,O,X,O,X,O,X,O,X,X,X,X,X
TZILOJS,O,O,O,X,O,O,O,X,X,X,X,X
TZILOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZIJLSO,O,X,O,O,O,X,O,O,X,X,O,X
TZIJLOS,O,O,O,X,O,O,O,X,X,X,O,X
TZIJSLO,O,O,O,O,O,O,O,X,X,X,O,X
TZIJSOL,O,O,O,O,X,O,O,X,X,X,O,X
TZIJOLS,O,O,O,X,X,O,O,X,X,X,O,X
TZIJOSL,O,O,O,O,X,O,O,X,X,X,O,X
TZISLJO,O,O,X,O,O,O,O,X,X,X,O,X
TZISLOJ,O,O,O,O,O,O,O,X,X,X,X,X
TZISJLO,O,O,O,O,O,O,O,X,X,X,O,X
TZISJOL,O,O,O,O,X,O,O,X,X,X,O,X
TZISOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TZISOJL,O,O,O,O,X,O,X,X,X,X,X,X
TZIOLJS,O,O,O,X,O,O,O,X,X,X,X,X
TZIOLSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZIOJLS,O,O,O,X,X,O,O,X,X,X,X,X
TZIOJSL,O,O,O,O,X,O,O,X,X,X,X,X
TZIOSLJ,O,O,O,X,O,O,X,X,X,X,X,X
TZIOSJL,O,O,O,X,X,O,X,X,X,X,X,X
TZLIJSO,O,X,O,O,O,X,O,X,X,X,O,X
TZLIJOS,O,O,O,X,O,O,O,X,X,X,O,X
TZLISJO,O,X,X,X,O,X,O,X,X,X,O,X
TZLISOJ,O,X,O,X,O,X,O,X,X,X,X,X
TZLIOJS,O,O,O,X,O,O,O,X,X,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZLJISO,O,X,O,O,O,X,O,O,X,X,O,X
TZLJIOS,O,O,O,X,O,O,O,X,X,O,O,X
TZLJSIO,O,O,O,O,O,O,O,O,X,X,O,X
TZLJSOI,O,O,O,O,O,O,O,O,X,O,O,O
TZLJOIS,O,O,O,X,O,O,O,X,X,O,O,O
TZLJOSI,O,O,O,X,O,O,O,X,X,O,O,O
TZLSIJO,O,O,X,O,O,O,O,X,X,X,O,X
TZLSIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TZLSJIO,O,O,O,O,O,O,O,O,X,X,O,X
TZLSJOI,O,O,O,O,O,O,O,O,O,X,O,O
TZLSOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TZLSOJI,O,O,O,O,O,O,O,X,O,X,O,X
TZLOIJS,O,O,O,X,O,O,O,X,X,O,X,X
TZLOISJ,O,X,O,X,O,X,X,X,O,X,X,X
TZLOJIS,O,O,O,X,O,O,O,X,X,O,O,X
TZLOJSI,O,O,O,X,O,O,O,X,X,O,O,X
TZLOSIJ,O,O,O,X,X,O,O,X,O,X,X,X
TZLOSJI,O,O,O,X,O,O,O,X,O,X,O,X
TZJILSO,O,X,O,O,O,X,O,O,X,X,O,X
TZJILOS,O,O,O,X,O,O,O,X,X,O,O,X
TZJISLO,O,O,O,O,O,O,O,X,X,X,O,X
TZJISOL,O,O,O,O,X,O,O,X,X,X,O,X
TZJIOLS,O,O,O,X,X,O,O,X,X,X,O,X
TZJIOSL,O,O,O,O,X,O,O,X,X,X,O,X
TZJLISO,O,X,O,O,O,X,O,O,X,X,O,X
TZJLIOS,O,O,O,X,O,O,O,X,X,O,O,X
TZJLSIO,O,O,O,O,O,O,O,O,X,X,O,X
TZJLSOI,O,O,O,O,O,O,O,O,X,O,O,O
TZJLOIS,O,O,O,X,O,O,O,X,X,O,O,O
TZJLOSI,O,O,O,X,O,O,O,X,X,O,O,O
TZJSILO,O,O,O,O,X,O,O,X,X,X,O,X
TZJSIOL,O,O,O,O,X,O,O,X,X,X,O,X
TZJSLIO,O,O,O,O,O,O,O,O,X,X,O,X
TZJSLOI,O,O,O,O,O,O,O,O,X,O,O,O
TZJSOIL,O,O,O,O,X,O,O,X,X,X,O,X
TZJSOLI,O,O,O,O,X,O,O,X,X,X,O,X
TZJOILS,O,O,O,X,X,O,O,X,X,X,O,X
TZJOISL,O,O,O,O,X,O,O,X,X,X,O,X
TZJOLIS,O,O,O,X,X,O,O,X,X,O,O,X
TZJOLSI,O,O,O,X,X,O,O,X,X,O,O,X
TZJOSIL,O,O,O,O,X,O,O,X,X,X,O,X
TZJOSLI,O,O,O,O,X,O,O,X,X,X,O,X
TZSILJO,O,O,X,O,O,O,O,X,X,X,O,X
TZSILOJ,O,O,O,O,O,O,O,X,O,X,X,X
TZSIJLO,O,O,O,O,O,O,O,X,X,X,O,X
TZSIJOL,O,O,O,O,X,O,O,X,X,X,O,X
TZSIOLJ,O,O,O,X,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,O,X,O,X,X,X,X,X,X
TZSLIJO,O,O,X,O,O,O,O,X,X,X,O,X
TZSLIOJ,O,O,O,O,O,O,O,X,O,X,X,X
TZSLJIO,O,O,O,O,O,O,O,O,X,X,O,X
TZSLJOI,O,O,O,O,O,O,O,O,O,X,O,O
TZSLOIJ,O,O,O,O,X,O,O,X,O,X,X,X
TZSLOJI,O,O,O,O,O,O,O,X,O,X,O,X
TZSJILO,O,O,O,O,X,O,O,X,X,X,O,X
TZSJIOL,O,O,O,O,X,O,O,X,X,X,O,X
TZSJLIO,O,O,O,O,O,O,O,O,X,X,O,X
TZSJLOI,O,O,O,O,O,O,O,O,O,X,O,O
TZSJOIL,O,O,O,O,X,O,O,X,X,X,O,X
TZSJOLI,O,O,O,O,X,O,O,X,X,X,O,X
TZSOILJ,O,O,O,X,X,O,O,X,X,X,X,X
TZSOIJL,O,O,O,O,X,O,X,X,X,X,X,X
TZSOLIJ,O,O,O,O,X,O,O,X,O,X,X,X
TZSOLJI,O,O,O,O,O,O,O,X,O,X,O,X
TZSOJIL,O,O,O,O,X,O,O,X,X,X,O,X
TZSOJLI,O,O,O,O,X,O,O,X,X,X,O,X
TZOILJS,O,O,O,X,O,O,O,X,X,X,X,X
TZOILSJ,O,X,O,X,O,X,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,O,O,X,X,X,X,X
TZOIJSL,O,O,O,O,X,O,O,X,X,X,X,X
TZOISLJ,O,O,O,X,O,O,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,O,X,X,X,X,X,X
TZOLIJS,O,O,O,X,O,O,O,X,X,X,X,X
TZOLISJ,O,X,O,X,O,X,X,X,X,X,X,X
TZOLJIS,O,O,O,X,O,O,O,X,X,X,O,X
TZOLJSI,O,O,O,X,O,O,O,X,X,X,O,X
TZOLSIJ,O,O,O,X,X,O,O,X,X,X,X,X
TZOLSJI,O,O,O,X,O,O,O,X,X,X,O,X
TZOJILS,O,O,O,X,X,O,O,X,X,X,O,X
TZOJISL,O,O,O,O,X,O,O,X,X,X,O,X
TZOJLIS,O,O,O,X,X,O,O,X,X,X,O,X
TZOJLSI,O,O,O,X,X,O,O,X,X,X,O,X
TZOJSIL,O,O,O,O,X,O,O,X,X,X,O,X
TZOJSLI,O,O,O,O,X,O,O,X,X,X,O,X
TZOSILJ,O,O,O,X,X,O,O,X,X,X,X,X
TZOSIJL,O,O,O,O,X,O,X,X,X,X,X,X
TZOSLIJ,O,O,O,O,X,O,O,X,X,X,X,X
TZOSLJI,O,O,O,O,O,O,O,X,X,X,O,X
TZOSJIL,O,O,O,O,X,O,O,X,X,X,O,X
TZOSJLI,O,O,O,O,X,O,O,X,X,X,O,X
TOILJSZ,O,X,X,X,O,X,X,O,X,X,X,X
TOILJZS,O,X,X,X,O,X,X,O,X,X,X,X
TOILSJZ,O,X,X,X,O,X,X,O,X,X,X,X
TOILSZJ,O,X,X,X,O,X,X,X,X,X,X,X
TOILZJS,O,X,O,X,O,X,X,X,X,X,X,X
TOILZSJ,O,X,O,X,O,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,O,O,X,X,X,X
TOIJLZS,O,X,O,X,X,X,O,O,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,O,O,X,X,X,X
TOIJSZL,O,X,X,O,X,X,O,X,X,X,X,X
TOIJZLS,O,O,O,O,X,O,O,O,X,X,X,X
TOIJZSL,O,O,O,O,X,O,O,X,X,X,X,X
TOISLJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOISLZJ,O,X,X,O,O,X,X,X,X,X,X,X
TOISJLZ,O,X,X,O,X,X,X,O,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,O,O,X,X,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,X,X,X,X,X
TOIZLJS,O,O,O,O,O,O,O,X,X,X,X,X
TOIZLSJ,O,X,O,X,O,X,X,X,X,X,X,X
TOIZJLS,O,O,O,O,X,O,O,O,X,X,X,X
TOIZJSL,O,O,O,O,X,O,O,X,X,X,X,X
TOIZSLJ,O,X,O,O,O,X,X,X,X,X,X,X
TOIZSJL,O,O,O,O,X,O,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,O,X,X,O,O,O,X,X
TOLIJZS,O,X,X,X,O,X,X,O,X,O,X,X
TOLISJZ,O,X,X,X,O,X,X,O,O,O,X,X
TOLISZJ,O,X,X,X,O,X,X,X,O,X,X,X
TOLIZJS,O,X,O,X,O,X,X,X,X,O,X,X
TOLIZSJ,O,X,O,X,O,X,X,X,O,X,X,X
TOLJISZ,O,X,X,X,O,X,O,O,O,O,X,O
TOLJIZS,O,X,O,X,O,X,O,O,X,O,X,O
TOLJSIZ,O,X,X,O,O,X,O,O,O,O,X,O
TOLJSZI,O,X,X,O,O,X,O,O,O,O,X,O
TOLJZIS,O,X,O,O,O,X,O,O,X,O,X,O
TOLJZSI,O,X,O,O,O,X,O,O,X,O,X,O
TOLSIJZ,O,X,X,O,O,X,X,O,O,O,X,X
TOLSIZJ,O,X,X,O,O,X,X,X,O,X,X,X
TOLSJIZ,O,X,X,O,O,X,X,O,O,O,X,O
TOLSJZI,O,X,X,O,O,X,X,O,O,O,X,O
TOLSZIJ,O,X,X,O,X,X,X,X,O,X,X,X
TOLSZJI,O,X,X,O,O,X,X,O,O,X,O,X
TOLZIJS,O,X,O,O,O,X,O,X,X,O,X,X
TOLZISJ,O,X,O,X,O,X,X,X,O,X,X,X
TOLZJIS,O,X,O,O,O,X,O,O,X,O,O,X
TOLZJSI,O,X,O,O,O,X,O,O,X,O,O,X
TOLZSIJ,O,X,O,O,X,X,X,X,O,X,X,X
TOLZSJI,O,X,O,O,O,X,O,O,O,X,O,X
TOJILSZ,O,X,X,X,X,X,O,O,X,X,X,X
TOJILZS,O,X,O,X,X,X,O,O,X,X,X,X
TOJISLZ,O,X,X,O,X,X,O,O,X,X,X,X
TOJISZL,O,X,X,O,X,X,O,X,X,X,X,X
TOJIZLS,O,O,O,O,X,O,O,O,X,X,X,X
TOJIZSL,O,O,O,O,X,O,O,X,X,X,X,X
TOJLISZ,O,X,X,X,X,X,O,O,X,O,X,O
TOJLIZS,O,X,O,X,X,X,O,O,X,O,X,O
TOJLSIZ,O,X,X,O,X,X,O,O,X,O,X,O
TOJLSZI,O,X,X,O,X,X,O,O,X,O,X,O
TOJLZIS,O,X,O,O,X,X,O,O,X,O,X,O
TOJLZSI,O,X,O,O,X,X,O,O,X,O,X,O
TOJSILZ,O,X,X,O,X,X,O,O,X,X,X,X
TOJSIZL,O,O,X,O,X,O,O,X,X,X,X,X
TOJSLIZ,O,O,X,O,X,O,O,O,X,X,X,O
TOJSLZI,O,O,X,O,X,O,O,O,X,X,X,O
TOJSZIL,O,O,X,O,X,O,O,X,X,X,X,X
TOJSZLI,O,O,X,O,X,O,O,O,X,X,X,X
TOJZILS,O,O,O,O,X,O,O,O,X,X,X,X
TOJZISL,O,O,O,O,X,O,O,X,X,X,X,X
TOJZLIS,O,O,O,O,X,O,O,O,X,O,X,X
TOJZLSI,O,O,O,O,X,O,O,O,X,O,X,X
TOJZSIL,O,O,O,O,X,O,O,X,X,X,X,X
TOJZSLI,O,O,O,O,X,O,O,O,X,X,X,X
TOSILJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOSILZJ,O,X,X,O,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,X,X,O,X,X,X,X
TOSIJZL,O,O,X,O,X,O,X,X,X,X,X,X
TOSIZLJ,O,O,X,O,O,O,O,X,X,X,X,X
TOSIZJL,O,O,X,O,X,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,O,O,O,X,O,O,X,X,X
TOSLIZJ,O,O,X,O,O,O,X,X,O,X,X,X
TOSLJIZ,O,O,X,O,O,O,X,O,O,X,X,O
TOSLJZI,O,O,X,O,O,O,X,O,O,X,X,O
TOSLZIJ,O,O,X,O,X,O,X,X,O,X,X,X
TOSLZJI,O,O,X,O,O,O,X,O,O,X,O,X
TOSJILZ,O,X,X,O,X,X,O,O,X,X,X,X
TOSJIZL,O,O,X,O,X,O,O,X,X,X,X,X
TOSJLIZ,O,O,X,O,X,O,O,O,X,X,X,O
TOSJLZI,O,O,X,O,X,O,O,O,X,X,X,O
TOSJZIL,O,O,X,O,X,O,O,X,X,X,X,X
TOSJZLI,O,O,X,O,X,O,O,O,X,X,X,X
TOSZILJ,O,O,X,O,X,O,O,X,X,X,X,X
TOSZIJL,O,O,X,O,X,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,O,X,O,O,X,O,X,X,X
TOSZLJI,O,O,X,O,O,O,O,O,O,X,O,X
TOSZJIL,O,O,X,O,X,O,O,X,X,X,O,X
TOSZJLI,O,O,X,O,X,O,O,O,X,X,O,X
TOZILJS,O,O,O,O,O,O,O,X,X,X,X,X
TOZILSJ,O,X,O,X,O,X,X,X,X,X,X,X
TOZIJLS,O,O,O,O,X,O,O,O,X,X,X,X
TOZIJSL,O,O,O,O,X,O,O,X,X,X,X,X
TOZISLJ,O,O,O,O,O,O,X,X,X,X,X,X
TOZISJL,O,O,O,O,X,O,X,X,X,X,X,X
TOZLIJS,O,O,O,O,O,O,O,X,X,X,X,X
TOZLISJ,O,X,O,X,O,X,X,X,X,X,X,X
TOZLJIS,O,O,O,O,O,O,O,O,X,X,O,X
TOZLJSI,O,O,O,O,O,O,O,O,X,X,O,X
TOZLSIJ,O,O,O,O,X,O,O,X,X,X,X,X
TOZLSJI,O,O,O,O,O,O,O,O,X,X,O,X
TOZJILS,O,O,O,O,X,O,O,O,X,X,O,X
TOZJISL,O,O,O,O,X,O,O,X,X,X,O,X
TOZJLIS,O,O,O,O,X,O,O,O,X,X,O,X
TOZJLSI,O,O,O,O,X,O,O,O,X,X,O,X
TOZJSIL,O,O,O,O,X,O,O,X,X,X,O,X
TOZJSLI,O,O,O,O,X,O,O,O,X,X,O,X
TOZSILJ,O,O,O,O,X,O,O,X,X,X,X,X
TOZSIJL,O,O,O,O,X,O,X,X,X,X,X,X
TOZSLIJ,O,O,O,O,X,O,O,X,X,X,X,X
TOZSLJI,O,O,O,O,O,O,O,O,X,X,O,X
TOZSJIL,O,O,O,O,X,O,O,X,X,X,O,X
TOZSJLI,O,O,O,O,X,O,O,O,X,X,O,X
ITLJSZO,O,X,O,X,O,X,X,O,X,X,X,X
ITLJSOZ,X,X,X,X,O,X,X,O,X,X,X,O
ITLJZSO,O,X,O,X,O,X,X,O,X,X,X,X
ITLJZOS,O,O,O,X,O,O,X,X,X,O,X,X
ITLJOSZ,X,X,X,X,O,X,X,O,X,O,X,O
ITLJOZS,X,X,O,X,O,X,X,X,X,O,X,O
ITLSJZO,O,X,X,X,O,X,X,O,X,X,X,X
ITLSJOZ,X,X,X,X,O,X,X,O,X,X,X,O
ITLSZJO,O,X,X,X,O,X,X,X,X,X,O,X
ITLSZOJ,O,X,O,X,O,X,X,X,O,X,X,X
ITLSOJZ,X,X,X,X,O,X,X,X,O,X,X,X
ITLSOZJ,X,X,X,X,O,X,X,X,O,X,X,X
ITLZJSO,O,X,O,X,O,X,X,X,X,X,O,X
ITLZJOS,O,O,O,X,O,O,X,X,X,X,O,X
ITLZSJO,O,X,X,X,O,X,X,X,X,X,O,X
ITLZSOJ,O,X,O,X,O,X,X,X,X,X,X,X
ITLZOJS,O,O,O,X,O,O,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,X,X,X,O,X,X,X,O,O,X,X
ITLOJZS,O,X,X,X,O,X,X,X,X,O,X,X
ITLOSJZ,O,X,X,X,O,X,X,X,O,O,X,X
ITLOSZJ,O,X,X,X,O,X,X,X,O,X,X,X
ITLOZJS,O,X,O,X,O,X,X,X,X,O,X,X
ITLOZSJ,O,X,O,X,O,X,X,X,O,X,X,X
ITJLSZO,O,X,O,X,O,X,O,O,X,X,X,X
ITJLSOZ,X,X,X,X,O,X,X,O,X,X,X,O
ITJLZSO,O,X,O,X,O,X,O,O,X,X,X,X
ITJLZOS,O,O,O,X,O,O,O,X,X,O,X,X
ITJLOSZ,X,X,X,X,O,X,X,O,X,O,X,O
ITJLOZS,X,X,O,X,O,X,X,X,X,O,X,O
ITJSLZO,O,O,O,O,O,O,O,O,X,X,X,X
ITJSLOZ,X,O,X,O,O,O,X,O,X,X,X,O
ITJSZLO,O,O,O,O,O,O,O,X,X,X,X,X
ITJSZOL,O,O,O,O,X,O,O,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,O,X,X,X,X,X
ITJSOZL,O,O,X,O,X,O,O,X,X,X,X,X
ITJZLSO,O,X,O,O,O,X,O,O,X,X,X,X
ITJZLOS,O,O,O,X,O,O,O,X,X,O,X,X
ITJZSLO,O,O,O,O,O,O,O,X,X,X,X,X
ITJZSOL,O,O,O,O,X,O,O,X,X,X,X,X
ITJZOLS,O,O,O,X,X,O,O,X,X,X,X,X
ITJZOSL,O,O,O,O,X,O,O,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,O,O,X,X,X,X
ITJOLZS,O,X,O,X,X,X,O,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,O,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X,O,X,X,X,X,X
ITJOZLS,O,O,O,X,X,O,O,X,X,X,X,X
ITJOZSL,O,O,O,X,X,O,O,X,X,X,X,X
ITSLJZO,O,O,X,O,O,O,X,O,X,X,X,X
ITSLJOZ,X,O,X,O,O,O,X,O,X,X,X,O
ITSLZJO,O,O,X,O,O,O,O,X,X,X,O,X
ITSLZOJ,O,O,O,O,O,O,O,X,O,X,X,X
ITSLOJZ,X,O,X,O,O,O,X,X,O,X,X,X
ITSLOZJ,X,O,X,O,O,O,X,X,O,X,X,X
ITSJLZO,O,O,O,O,O,O,O,O,X,X,X,X
ITSJLOZ,X,O,X,O,O,O,X,O,X,X,X,O
ITSJZLO,O,O,O,O,O,O,O,X,X,X,X,X
ITSJZOL,O,O,O,O,X,O,O,X,X,X,X,X
ITSJOLZ,X,X,X,X,X,X,O,X,X,X,X,X
ITSJOZL,O,O,X,O,X,O,O,X,X,X,X,X
ITSZLJO,O,O,X,O,O,O,O,X,X,X,O,X
ITSZLOJ,O,O,O,O,O,O,O,X,O,X,X,X
ITSZJLO,O,O,O,O,O,O,O,X,X,X,O,X
ITSZJOL,O,O,O,O,X,O,O,X,X,X,O,X
ITSZOLJ,O,O,O,X,O,O,O,X,X,X,X,X
ITSZOJL,O,O,O,O,X,O,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,O,X,O,X,O,X,X,X,X,X,X
ITSOZLJ,O,O,X,X,O,O,O,X,X,X,X,X
ITSOZJL,O,O,X,O,X,O,X,X,X,X,X,X
ITZLJSO,O,X,O,O,O,X,O,X,X,X,O,X
ITZLJOS,O,O,O,X,O,O,O,X,X,X,O,X
ITZLSJO,O,X,X,X,O,X,O,X,X,X,O,X
ITZLSOJ,O,X,O,X,O,X,O,X,X,X,X,X
ITZLOJS,O,O,O,X,O,O,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,O,X,X,X,X,X,X,X
ITZJLSO,O,X,O,O,O,X,O,O,X,X,O,X
ITZJLOS,O,O,O,X,O,O,O,X,X,X,O,X
ITZJSLO,O,O,O,O,O,O,O,X,X,X,O,X
ITZJSOL,O,O,O,O,X,O,O,X,X,X,O,X
ITZJOLS,O,O,O,X,X,O,O,X,X,X,O,X
ITZJOSL,O,O,O,O,X,O,O,X,X,X,O,X
ITZSLJO,O,O,X,O,O,O,O,X,X,X,O,X
ITZSLOJ,O,O,O,O,O,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,O,O,O,X,X,X,O,X
ITZSJOL,O,O,O,O,X,O,O,X,X,X,O,X
ITZSOLJ,O,O,O,X,O,O,O,X,X,X,X,X
ITZSOJL,O,O,O,O,X,O,X,X,X,X,X,X
