sequence,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFumBcnBTjByqBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBOnBXjBStBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JeGBJvhFxiBilBXnBToBUr?B1xB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemBCiBTjBXnBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBxiBesBCoBFr?BXtB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhFGjBTlBlnBirBXt?B0rB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBiiB+oB3nBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFFiB6oB0mBznBmq?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemB6oBRnB3rBzs?BFsB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhF+oBilBfsBlnBUr?BzsB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFihB+oBRnBFrBXs?BzsB
TSJOLZI,X,X,O,X,X,O,X,X,X,O,X
TSJOZIL,X,X,O,O,X,O,X,X,X,X,X
TSJOZLI,X,X,O,O,X,O,X,X,X,X,X
TSZILJO,O,X,O,O,X,X,X,X,X,X,O
TSZILOJ,O,X,O,O,X,X,X,X,X,X,X
TSZIJLO,O,X,O,O,O,O,X,X,X,X,O
TSZIJOL,O,X,O,O,O,O,X,X,X,X,O
TSZIOLJ,O,X,O,O,X,X,X,X,X,X,X
TSZIOJL,O,X,O,O,O,X,X,X,X,X,X
TSZLIJO,O,X,O,O,O,O,X,X,X,X,O
TSZLIOJ,O,X,O,O,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,O,O,X,X,X,X,O
TSZLJOI,O,X,O,O,O,X,X,X,X,X,O
TSZLOIJ,O,X,O,O,X,X,X,X,X,X,X
TSZLOJI,O,X,O,O,O,X,X,X,X,X,O
TSZJILO,O,X,O,O,O,O,X,X,X,X,O
TSZJIOL,O,X,O,O,O,O,X,X,X,X,O
TSZJLIO,O,X,O,O,O,O,X,X,X,X,O
TSZJLOI,O,X,O,O,O,X,X,X,X,X,O
TSZJOIL,O,X,O,O,O,O,X,X,O,X,O
TSZJOLI,O,X,O,O,O,O,X,X,O,X,O
TSZOILJ,O,X,O,O,X,X,X,X,O,X,X
TSZOIJL,O,X,O,O,O,O,X,X,O,X,X
TSZOLIJ,O,X,O,O,X,O,X,X,O,X,X
TSZOLJI,O,X,O,O,O,O,X,X,O,X,O
TSZOJIL,O,X,O,O,O,O,X,X,O,X,O
TSZOJLI,O,X,O,O,O,O,X,X,O,X,O
TSOILJZ,X,X,O,X,X,O,X,X,X,X,X
TSOILZJ,X,X,O,O,X,O,X,X,O,X,X
TSOIJLZ,X,X,O,X,X,O,X,X,X,X,X
TSOIJZL,X,X,O,O,X,O,X,X,X,X,X
TSOIZLJ,X,X,O,O,X,X,X,X,O,X,X
TSOIZJL,X,X,O,O,X,O,X,X,O,X,X
TSOLIJZ,X,X,O,X,X,O,X,X,X,X,X
TSOLIZJ,O,X,O,O,X,O,X,X,O,X,X
TSOLJIZ,X,X,O,X,X,O,X,X,X,X,X
TSOLJZI,O,X,O,X,X,O,X,X,X,X,X
TSOLZIJ,O,X,O,O,X,O,X,X,O,X,X
TSOLZJI,O,X,O,O,X,O,X,X,O,X,X
TSOJILZ,X,X,O,X,X,O,X,X,X,X,X
TSOJIZL,X,X,O,O,X,O,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,O,X,X,X,X,X
TSOJLZI,X,X,O,X,X,O,X,X,X,X,X
TSOJZIL,X,X,O,O,X,O,X,X,X,X,X
TSOJZLI,X,X,O,O,X,O,X,X,X,X,X
TSOZILJ,O,X,O,O,X,X,X,X,O,X,X
TSOZIJL,O,X,O,O,X,O,X,X,O,X,X
TSOZLIJ,O,X,O,O,X,O,X,X,O,X,X
TSOZLJI,O,X,O,O,X,O,X,X,O,X,X
TSOZJIL,O,X,O,O,X,O,X,X,O,X,X
TSOZJLI,O,X,O,O,X,O,X,X,O,X,X
TZILJSO,O,O,X,O,X,X,O,X,X,X,O
TZILJOS,O,O,O,O,X,X,O,X,X,X,X
TZILSJO,O,O,O,O,X,X,X,X,X,X,O
TZILSOJ,O,O,O,O,X,X,X,X,X,X,X
TZILOJS,O,O,O,O,X,X,O,X,X,X,X
TZILOSJ,O,O,O,O,X,X,X,X,X,X,X
TZIJLSO,O,O,X,O,X,X,O,X,X,X,O
TZIJLOS,O,O,X,O,O,X,O,X,X,X,X
TZIJSLO,O,O,X,O,O,X,O,X,X,X,O
TZIJSOL,O,O,X,O,O,X,O,X,X,X,O
TZIJOLS,O,O,X,O,O,X,O,X,X,X,X
TZIJOSL,O,O,X,O,O,X,O,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,X,X,X,O
TZISLOJ,O,O,O,O,X,X,X,X,X,X,X
TZISJLO,O,O,O,O,O,X,O,X,X,X,O
TZISJOL,O,O,O,O,O,X,O,X,X,X,O
TZISOLJ,O,O,O,O,X,X,X,X,X,X,X
TZISOJL,O,O,O,O,O,X,O,X,X,X,X
TZIOLJS,O,O,O,O,X,X,O,X,X,X,X
TZIOLSJ,O,O,O,O,X,X,X,X,X,X,X
TZIOJLS,O,O,O,O,O,X,O,X,X,X,X
TZIOJSL,O,O,O,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,O,X,X,X,X,X,X,X
TZIOSJL,O,O,O,O,O,X,O,X,X,X,X
TZLIJSO,O,O,X,O,X,X,O,X,X,O,O
TZLIJOS,O,O,O,O,X,X,O,X,X,X,X
TZLISJO,O,O,O,O,X,X,X,X,X,O,O
TZLISOJ,O,O,O,O,X,X,X,X,X,X,X
TZLIOJS,O,O,O,O,X,X,O,X,X,X,X
TZLIOSJ,O,O,O,O,X,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,X,X,X,O,O
TZLJIOS,O,X,O,X,O,X,X,X,X,X,X
TZLJSIO,O,O,O,O,O,X,O,X,X,O,O
TZLJSOI,O,O,O,O,O,X,O,X,X,O,O
TZLJOIS,O,X,O,X,O,X,X,X,O,X,X
TZLJOSI,O,O,O,O,O,X,O,X,O,X,O
TZLSIJO,O,O,O,O,X,X,X,X,X,O,O
TZLSIOJ,O,O,O,O,X,X,X,X,X,X,X
TZLSJIO,O,O,O,O,O,X,X,X,X,O,O
TZLSJOI,O,O,O,O,O,X,X,X,X,O,O
TZLSOIJ,O,O,O,O,X,X,X,X,X,X,X
TZLSOJI,O,O,O,O,O,X,X,X,X,X,O
TZLOIJS,O,O,O,O,X,X,O,X,O,X,X
TZLOISJ,O,O,O,O,X,X,X,X,X,X,X
TZLOJIS,O,X,O,X,O,X,X,X,O,X,X
TZLOJSI,O,O,O,O,O,X,O,X,O,X,O
TZLOSIJ,O,O,O,O,X,X,X,X,O,X,X
TZLOSJI,O,O,O,O,O,X,X,X,O,X,O
TZJILSO,O,O,X,O,X,X,O,X,X,X,O
TZJILOS,O,O,X,O,O,X,O,X,X,X,X
TZJISLO,O,O,X,O,O,X,O,X,X,X,O
TZJISOL,O,O,X,O,O,X,O,X,X,X,O
TZJIOLS,O,O,X,O,O,X,O,X,X,X,X
TZJIOSL,O,O,X,O,O,X,O,X,X,X,X
TZJLISO,O,X,X,X,X,X,X,X,X,O,O
TZJLIOS,O,X,O,X,O,X,X,X,X,X,X
TZJLSIO,O,O,O,O,O,X,O,X,X,O,O
TZJLSOI,O,O,O,O,O,X,O,X,X,O,O
TZJLOIS,O,X,O,X,O,X,X,X,O,X,X
TZJLOSI,O,O,O,O,O,X,O,X,O,X,O
TZJSILO,O,X,O,O,O,X,O,X,X,X,O
TZJSIOL,O,X,O,O,O,X,O,X,X,X,O
TZJSLIO,O,X,O,O,O,X,O,X,X,X,O
TZJSLOI,O,X,O,O,O,X,O,X,X,X,O
TZJSOIL,O,X,O,O,O,X,O,X,O,X,O
TZJSOLI,O,X,O,O,O,X,O,X,O,X,O
TZJOILS,O,O,O,O,O,X,O,X,O,X,X
TZJOISL,O,O,O,O,O,X,O,X,X,X,X
TZJOLIS,O,X,O,X,O,X,X,X,O,X,X
TZJOLSI,O,O,O,O,O,X,O,X,O,X,O
TZJOSIL,O,X,O,O,O,X,O,X,O,X,O
TZJOSLI,O,X,O,O,O,X,O,X,O,X,O
TZSILJO,O,O,O,O,X,X,X,X,X,X,O
TZSILOJ,O,O,O,O,X,X,X,X,X,X,X
TZSIJLO,O,O,O,O,O,X,O,X,X,X,O
TZSIJOL,O,O,O,O,O,X,O,X,X,X,O
TZSIOLJ,O,O,O,O,X,X,X,X,X,X,X
TZSIOJL,O,O,O,O,O,X,O,X,X,X,X
TZSLIJO,O,O,O,O,O,X,X,X,X,X,O
TZSLIOJ,O,O,O,O,X,X,X,X,X,X,X
TZSLJIO,O,O,O,O,O,X,X,X,X,X,O
TZSLJOI,O,O,O,O,O,X,X,X,X,X,O
TZSLOIJ,O,O,O,O,X,X,X,X,X,X,X
TZSLOJI,O,O,O,O,O,X,X,X,X,X,O
TZSJILO,O,X,O,O,O,X,O,X,X,X,O
TZSJIOL,O,X,O,O,O,X,O,X,X,X,O
TZSJLIO,O,X,O,O,O,X,O,X,X,X,O
TZSJLOI,O,X,O,O,O,X,O,X,X,X,O
TZSJOIL,O,X,O,O,O,X,O,X,O,X,O
TZSJOLI,O,X,O,O,O,X,O,X,O,X,O
TZSOILJ,O,O,O,O,X,X,X,X,O,X,X
TZSOIJL,O,O,O,O,O,X,O,X,O,X,X
TZSOLIJ,O,O,O,O,X,X,X,X,O,X,X
TZSOLJI,O,O,O,O,O,X,X,X,O,X,O
TZSOJIL,O,X,O,O,O,X,O,X,O,X,O
TZSOJLI,O,X,O,O,O,X,O,X,O,X,O
TZOILJS,O,O,O,O,X,X,O,X,O,X,X
TZOILSJ,O,O,O,O,X,X,X,X,X,X,X
TZOIJLS,O,O,O,O,O,X,O,X,O,X,X
TZOIJSL,O,O,O,O,O,X,O,X,X,X,X
TZOISLJ,O,O,O,O,X,X,X,X,X,X,X
TZOISJL,O,O,O,O,O,X,O,X,X,X,X
TZOLIJS,O,O,O,O,X,X,O,X,O,X,X
TZOLISJ,O,O,O,O,X,X,X,X,X,X,X
TZOLJIS,O,X,O,X,O,X,X,X,O,X,X
TZOLJSI,O,O,O,O,O,X,O,X,O,X,O
TZOLSIJ,O,O,O,O,X,X,X,X,O,X,X
TZOLSJI,O,O,O,O,O,X,X,X,O,X,O
TZOJILS,O,O,O,O,O,X,O,X,O,X,X
TZOJISL,O,O,O,O,O,X,O,X,X,X,X
TZOJLIS,O,X,O,X,O,X,X,X,O,X,X
TZOJLSI,O,O,O,O,O,X,O,X,O,X,O
TZOJSIL,O,X,O,O,O,X,O,X,O,X,O
TZOJSLI,O,X,O,O,O,X,O,X,O,X,O
TZOSILJ,O,O,O,O,X,X,X,X,O,X,X
TZOSIJL,O,O,O,O,O,X,O,X,O,X,X
TZOSLIJ,O,O,O,O,X,X,X,X,O,X,X
TZOSLJI,O,O,O,O,O,X,X,X,O,X,O
TZOSJIL,O,X,O,O,O,X,O,X,O,X,O
TZOSJLI,O,X,O,O,O,X,O,X,O,X,O
TOILJSZ,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,O,X,X,O,X,X,X,X,X
TOILSZJ,O,X,O,X,X,O,X,X,O,X,X
TOILZJS,O,X,O,X,X,X,X,X,O,X,X
TOILZSJ,O,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,X,X,O,X,X,X,X,X,X,X,X
TOIJSZL,X,X,O,X,X,X,X,X,X,X,X
TOIJZLS,X,X,O,X,X,X,X,X,X,X,X
TOIJZSL,X,X,O,X,X,X,X,X,X,X,X
TOISLJZ,X,X,O,X,X,O,X,X,X,X,X
TOISLZJ,X,X,O,O,X,O,X,X,O,X,X
TOISJLZ,X,X,O,X,X,O,X,X,X,X,X
TOISJZL,X,X,O,O,X,O,X,X,X,X,X
TOISZLJ,X,X,O,O,X,X,X,X,O,X,X
TOISZJL,X,X,O,O,X,O,X,X,O,X,X
TOIZLJS,O,X,O,O,X,X,X,X,O,X,X
TOIZLSJ,O,X,O,O,X,X,X,X,X,X,X
TOIZJLS,O,X,O,O,X,X,X,X,O,X,X
TOIZJSL,O,X,O,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,O,O,X,X,X,X,X,X,X
TOIZSJL,O,X,O,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,X,X,X,X,X,X,X
TOLISJZ,X,X,O,X,X,O,X,X,X,X,X
TOLISZJ,O,X,O,X,X,O,X,X,O,X,X
TOLIZJS,O,X,O,X,X,X,X,X,O,X,X
TOLIZSJ,O,X,O,X,X,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,X,X,X,X
TOLJSIZ,X,X,O,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,X,X,X,X,X,X,X
TOLJZIS,O,X,O,X,X,X,X,X,X,X,X
TOLJZSI,O,X,O,X,X,X,X,X,X,X,X
TOLSIJZ,X,X,O,X,X,O,X,X,X,X,X
TOLSIZJ,O,X,O,O,X,O,X,X,O,X,X
TOLSJIZ,X,X,O,X,X,O,X,X,X,X,X
TOLSJZI,O,X,O,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,O,O,X,O,X,X,O,X,X
TOLSZJI,O,X,O,O,X,O,X,X,O,X,X
TOLZIJS,O,X,O,O,X,X,X,X,O,X,X
TOLZISJ,O,X,O,O,X,X,X,X,X,X,X
TOLZJIS,O,X,O,X,X,X,X,X,O,X,X
TOLZJSI,O,X,O,O,X,X,X,X,O,X,X
TOLZSIJ,O,X,O,O,X,X,X,X,O,X,X
TOLZSJI,O,X,O,O,X,X,X,X,O,X,X
TOJILSZ,X,X,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,X,X,X,X,X,X,X,X
TOJISLZ,X,X,O,X,X,X,X,X,X,X,X
TOJISZL,X,X,O,X,X,X,X,X,X,X,X
TOJIZLS,X,X,O,X,X,X,X,X,X,X,X
TOJIZSL,X,X,O,X,X,X,X,X,X,X,X
TOJLISZ,X,X,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,O,X,X,X,X,X,X,X,X
TOJLSIZ,X,X,O,X,X,X,X,X,X,X,X
TOJLSZI,O,X,O,X,X,X,X,X,X,X,X
TOJLZIS,O,X,O,X,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X,X,X,X,X
TOJSILZ,X,X,O,X,X,X,X,X,X,X,X
TOJSIZL,X,X,O,O,X,X,X,X,X,X,X
TOJSLIZ,X,X,O,X,X,X,X,X,X,X,X
TOJSLZI,X,X,O,X,X,X,X,X,X,X,X
TOJSZIL,X,X,O,O,X,X,X,X,X,X,X
TOJSZLI,X,X,O,O,X,X,X,X,X,X,X
TOJZILS,O,X,O,O,X,X,X,X,X,X,X
TOJZISL,O,X,O,O,X,X,X,X,X,X,X
TOJZLIS,O,X,O,X,X,X,X,X,X,X,X
TOJZLSI,O,X,O,O,X,X,X,X,X,X,X
TOJZSIL,O,X,O,O,X,X,X,X,X,X,X
TOJZSLI,O,X,O,O,X,X,X,X,X,X,X
TOSILJZ,X,X,O,X,X,O,X,X,X,X,X
TOSILZJ,X,X,O,O,X,O,X,X,O,X,X
TOSIJLZ,X,X,O,X,X,O,X,X,X,X,X
TOSIJZL,X,X,O,O,X,O,X,X,X,X,X
TOSIZLJ,X,X,O,O,X,X,X,X,O,X,X
TOSIZJL,X,X,O,O,X,O,X,X,O,X,X
TOSLIJZ,X,X,O,X,X,O,X,X,X,X,X
TOSLIZJ,O,X,O,O,X,O,X,X,O,X,X
TOSLJIZ,X,X,O,X,X,O,X,X,X,X,X
TOSLJZI,O,X,O,X,X,O,X,X,X,X,X
TOSLZIJ,O,X,O,O,X,O,X,X,O,X,X
TOSLZJI,O,X,O,O,X,O,X,X,O,X,X
TOSJILZ,X,X,O,X,X,O,X,X,X,X,X
TOSJIZL,X,X,O,O,X,O,X,X,X,X,X
TOSJLIZ,X,X,O,X,X,O,X,X,X,X,X
TOSJLZI,X,X,O,X,X,O,X,X,X,X,X
TOSJZIL,X,X,O,O,X,O,X,X,X,X,X
TOSJZLI,X,X,O,O,X,O,X,X,X,X,X
TOSZILJ,O,X,O,O,X,X,X,X,O,X,X
TOSZIJL,O,X,O,O,X,O,X,X,O,X,X
TOSZLIJ,O,X,O,O,X,O,X,X,O,X,X
TOSZLJI,O,X,O,O,X,O,X,X,O,X,X
TOSZJIL,O,X,O,O,X,O,X,X,O,X,X
TOSZJLI,O,X,O,O,X,O,X,X,O,X,X
TOZILJS,O,X,O,O,X,X,X,X,O,X,X
TOZILSJ,O,X,O,O,X,X,X,X,X,X,X
TOZIJLS,O,X,O,O,X,X,X,X,O,X,X
TOZIJSL,O,X,O,O,X,X,X,X,X,X,X
TOZISLJ,O,X,O,O,X,X,X,X,X,X,X
TOZISJL,O,X,O,O,X,X,X,X,X,X,X
TOZLIJS,O,X,O,O,X,X,X,X,O,X,X
TOZLISJ,O,X,O,O,X,X,X,X,X,X,X
TOZLJIS,O,X,O,X,X,X,X,X,O,X,X
TOZLJSI,O,X,O,O,X,X,X,X,O,X,X
TOZLSIJ,O,X,O,O,X,X,X,X,O,X,X
TOZLSJI,O,X,O,O,X,X,X,X,O,X,X
TOZJILS,O,X,O,O,X,X,X,X,O,X,X
TOZJISL,O,X,O,O,X,X,X,X,X,X,X
TOZJLIS,O,X,O,X,X,X,X,X,O,X,X
TOZJLSI,O,X,O,O,X,X,X,X,O,X,X
TOZJSIL,O,X,O,O,X,X,X,X,O,X,X
TOZJSLI,O,X,O,O,X,X,X,X,O,X,X
TOZSILJ,O,X,O,O,X,X,X,X,O,X,X
TOZSIJL,O,X,O,O,X,X,X,X,O,X,X
TOZSLIJ,O,X,O,O,X,X,X,X,O,X,X
TOZSLJI,O,X,O,O,X,X,X,X,O,X,X
TOZSJIL,O,X,O,O,X,X,X,X,O,X,X
TOZSJLI,O,X,O,O,X,X,X,X,O,X,X
ITLJSZO,O,O,X,X,X,X,X,O,X,X,X
ITLJSOZ,O,X,X,X,X,X,X,O,X,X,X
ITLJZSO,O,O,X,X,X,X,X,O,X,X,X
ITLJZOS,O,O,X,X,X,X,X,O,X,X,X
ITLJOSZ,O,X,O,X,X,X,X,O,X,X,X
ITLJOZS,O,X,O,X,X,X,X,O,X,X,X
ITLSJZO,O,O,O,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,X,X,X,X,X,X,X
ITLSZJO,O,O,O,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,X,O,O,X,X,X,X,X,X,X
ITLZJSO,O,O,X,O,X,X,X,O,X,X,X
ITLZJOS,O,O,O,O,X,X,X,X,X,X,X
ITLZSJO,O,O,O,O,X,X,X,O,X,X,X
ITLZSOJ,O,O,O,O,X,X,X,O,X,X,X
ITLZOJS,O,O,O,O,X,X,X,X,X,X,X
ITLZOSJ,O,O,O,O,X,X,X,O,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,O,X,X,X
ITLOJZS,O,X,O,X,X,X,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,O,X,X,X
ITLOSZJ,O,X,O,O,X,X,X,O,X,X,X
ITLOZJS,O,X,O,O,X,X,X,O,X,X,X
ITLOZSJ,O,X,O,O,X,X,X,O,X,X,X
ITJLSZO,O,O,X,X,X,X,X,O,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,O,X,X,X
ITJLZSO,O,O,X,X,X,X,X,O,X,X,X
ITJLZOS,O,O,X,X,X,X,X,O,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,O,X,X,X
ITJLOZS,O,X,X,X,X,X,X,O,X,X,X
ITJSLZO,X,X,X,X,X,X,O,O,X,X,X
ITJSLOZ,X,X,X,X,X,X,X,O,X,X,X
ITJSZLO,X,X,X,O,X,X,O,O,X,X,X
ITJSZOL,X,X,X,O,X,X,O,O,X,X,X
ITJSOLZ,X,X,X,X,X,X,X,O,X,X,X
ITJSOZL,X,X,X,O,X,X,X,O,X,X,X
ITJZLSO,O,O,X,O,X,X,O,O,X,X,X
ITJZLOS,O,O,X,O,X,X,O,O,X,X,X
ITJZSLO,O,O,X,O,X,X,O,O,X,X,X
ITJZSOL,O,O,X,O,X,X,O,O,X,X,X
ITJZOLS,O,O,X,O,X,X,O,O,X,X,X
ITJZOSL,O,O,X,O,X,X,O,O,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,O,X,X,X
ITJOLZS,O,X,X,X,X,X,X,O,X,X,X
ITJOSLZ,X,X,X,X,X,X,X,O,X,X,X
ITJOSZL,X,X,X,O,X,X,X,O,X,X,X
ITJOZLS,O,X,X,O,X,X,X,O,X,X,X
ITJOZSL,O,X,X,O,X,X,X,O,X,X,X
ITSLJZO,O,X,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,O,X,X,X,X,X,X,X,X
ITSLZJO,O,X,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,X,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,X,O,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,O,O,X,X,X,X,X,X,X
ITSJLZO,X,X,O,X,X,X,X,X,X,X,X
ITSJLOZ,X,X,O,X,X,X,X,X,X,X,X
ITSJZLO,X,X,O,O,X,X,X,X,X,X,X
ITSJZOL,X,X,O,O,X,X,X,X,X,X,X
ITSJOLZ,X,X,O,X,X,X,X,X,X,X,X
ITSJOZL,X,X,O,O,X,X,X,X,X,X,X
ITSZLJO,O,X,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,O,X,X,X,X,X,X,X
ITSZJLO,O,X,O,O,X,X,X,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,O,O,X,X,X,X,X,X,X
ITSZOJL,O,X,O,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,O,O,X,X,X,X,X,X,X
ITSOJLZ,X,X,O,X,X,X,X,X,X,X,X
ITSOJZL,X,X,O,O,X,X,X,X,X,X,X
ITSOZLJ,O,X,O,O,X,X,X,X,X,X,X
ITSOZJL,O,X,O,O,X,X,X,X,X,X,X
ITZLJSO,O,O,X,O,X,X,O,O,X,X,X
ITZLJOS,O,O,O,O,X,X,O,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,X,O,X,X,X
ITZLOJS,O,O,O,O,X,X,O,O,X,X,X
ITZLOSJ,O,O,O,O,X,X,X,O,X,X,X
ITZJLSO,O,O,X,O,X,X,O,O,X,X,X
ITZJLOS,O,O,X,O,X,X,O,X,X,X,X
ITZJSLO,O,O,X,O,X,X,O,O,X,X,X
ITZJSOL,O,O,X,O,X,X,O,O,X,X,X
ITZJOLS,O,O,X,O,X,X,O,O,X,X,X
ITZJOSL,O,O,X,O,X,X,O,O,X,X,X
ITZSLJO,O,O,O,O,X,X,X,O,X,X,X
ITZSLOJ,O,O,O,O,X,X,X,O,X,X,X
ITZSJLO,O,O,O,O,X,X,O,O,X,X,X
ITZSJOL,O,O,O,O,X,X,O,O,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,O,X,X,X
ITZSOJL,O,O,O,O,X,X,O,O,X,X,X
ITZOLJS,O,O,O,O,X,X,O,O,X,X,X
ITZOLSJ,O,O,O,O,X,X,X,O,X,X,X
ITZOJLS,O,O,O,O,X,X,O,O,X,X,X
ITZOJSL,O,O,O,O,X,X,O,O,X,X,X
ITZOSLJ,O,O,O,O,X,X,X,O,X,X,X
ITZOSJL,O,O,O,O,X,X,O,O,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,O,X,X,X
ITOLJZS,O,X,O,X,X,X,X,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,O,X,X,X
ITOLSZJ,O,X,O,O,X,X,X,O,X,X,X
ITOLZJS,O,X,O,O,X,X,X,O,X,X,X
ITOLZSJ,O,X,O,O,X,X,X,O,X,X,X
ITOJLSZ,O,X,O,X,X,X,X,O,X,X,X
ITOJLZS,O,X,O,X,X,X,X,O,X,X,X
ITOJSLZ,X,X,O,X,X,X,X,O,X,X,X
ITOJSZL,X,X,O,O,X,X,X,O,X,X,X
ITOJZLS,O,X,O,O,X,X,X,O,X,X,X
ITOJZSL,O,X,O,O,X,X,X,O,X,X,X
ITOSLJZ,O,X,O,X,X,X,X,O,X,X,X
ITOSLZJ,O,X,O,O,X,X,X,O,X,X,X
ITOSJLZ,X,X,O,X,X,X,X,O,X,X,X
ITOSJZL,X,X,O,O,X,X,X,O,X,X,X
ITOSZLJ,O,X,O,O,X,X,X,O,X,X,X
ITOSZJL,O,X,O,O,X,X,X,O,X,X,X
ITOZLJS,O,X,O,O,X,X,X,O,X,X,X
ITOZLSJ,O,X,O,O,X,X,X,O,X,X,X
ITOZJLS,O,X,O,O,X,X,X,O,X,X,X
ITOZJSL,O,X,O,O,X,X,X,O,X,X,X
ITOZSLJ,O,X,O,O,X,X,X,O,X,X,X
ITOZSJL,O,X,O,O,X,X,X,O,X,X,X
ILTJSZO,O,O,X,X,X,X,X,O,X,X,X
ILTJSOZ,O,X,X,X,X,X,X,O,X,X,X
ILTJZSO,O,O,X,X,X,X,X,O,X,O,X
ILTJZOS,O,O,X,X,X,X,X,O,X,X,X
ILTJOSZ,O,X,O,X,X,X,X,O,X,X,X
ILTJOZS,O,X,O,X,X,X,X,O,X,X,X
ILTSJZO,O,O,O,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,X,X,X,X,X,X,X
ILTSZJO,O,O,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,O,O,X,X,X,X,X,X,X
ILTZJSO,O,O,X,O,X,X,X,O,X,O,X
ILTZJOS,O,O,O,O,X,X,X,X,X,X,X
ILTZSJO,O,O,O,O,X,X,X,O,X,O,X
ILTZSOJ,O,O,O,O,X,X,X,O,X,X,X
ILTZOJS,O,O,O,O,X,X,X,X,X,X,X
ILTZOSJ,O,O,O,O,X,X,X,O,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,O,X,X,X
ILTOJZS,O,X,O,X,X,X,X,O,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,O,X,X,X
ILTOSZJ,O,X,O,O,X,X,X,O,X,X,X
ILTOZJS,O,X,O,O,X,X,X,O,X,X,X
ILTOZSJ,O,X,O,O,X,X,X,O,X,X,X
ILJTSZO,O,O,X,X,X,X,X,O,X,X,X
ILJTSOZ,O,X,X,X,X,X,X,O,X,X,X
ILJTZSO,O,O,X,X,X,X,X,O,X,O,X
ILJTZOS,O,O,X,X,X,X,X,O,X,X,X
ILJTOSZ,O,X,O,X,X,X,X,O,X,X,X
ILJTOZS,O,X,O,X,X,X,X,O,X,X,X
ILJSTZO,O,O,X,X,X,X,O,O,X,O,X
ILJSTOZ,O,X,X,X,X,X,X,O,X,X,X
ILJSZTO,O,O,X,X,X,X,O,O,X,O,X
ILJSZOT,O,O,X,X,X,X,O,O,X,O,X
ILJSOTZ,X,X,X,X,X,X,X,O,X,X,X
