sequence,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFChBliB5oB8sB3r?BmrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmB3iB5oB8sBlm?BywB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFVnBaoB5oBGsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmBxhB/sBUoB1w?B6tB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFmiB5oBCnBlsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFynB5oBGmBFnB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhF0hBxiB1sB6tBWx?BfrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFRhBfsBStBUrBls?BGtB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFFiBGmBxsB6tB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWoBRmB8rB6tB3s?BFrB
TSOLIJZ,X,X,X,O,O,O,X,X,X,X
TSOLIZJ,O,X,X,O,O,X,X,O,X,X
TSOLJIZ,X,X,X,O,O,O,O,X,X,X
TSOLJZI,X,X,X,O,X,X,O,O,X,X
TSOLZIJ,O,X,X,O,X,X,X,O,X,X
TSOLZJI,O,X,X,O,X,X,X,O,X,X
TSOJILZ,X,X,X,O,O,O,X,X,X,O
TSOJIZL,X,X,X,O,X,X,X,X,X,O
TSOJLIZ,X,X,X,O,O,O,O,X,X,X
TSOJLZI,X,X,X,O,X,X,O,X,X,X
TSOJZIL,X,X,X,O,X,X,X,X,X,X
TSOJZLI,X,X,X,O,X,X,X,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,X,X
TSOZIJL,O,X,X,O,X,X,X,X,X,X
TSOZLIJ,O,X,X,O,X,X,X,X,X,X
TSOZLJI,O,X,X,O,X,X,X,X,X,X
TSOZJIL,O,X,X,O,X,X,X,X,X,X
TSOZJLI,O,X,X,O,X,X,X,X,X,X
TZILJSO,X,O,X,X,O,X,X,X,X,X
TZILJOS,O,O,X,X,O,X,X,X,X,X
TZILSJO,O,O,X,X,O,X,X,X,X,X
TZILSOJ,O,O,X,X,O,X,X,X,X,X
TZILOJS,O,O,X,X,O,X,X,X,X,X
TZILOSJ,O,O,X,X,O,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,X,X,X,X
TZIJLOS,O,X,X,X,O,X,X,X,X,X
TZIJSLO,O,X,X,X,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X,X,X
TZIJOLS,O,X,X,X,O,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X,X,X
TZISLJO,O,X,X,X,X,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X,X,X
TZISOLJ,O,X,X,X,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X,X,X
TZIOLJS,O,O,X,X,O,X,X,X,X,X
TZIOLSJ,O,O,X,X,O,X,X,X,X,X
TZIOJLS,O,X,X,X,O,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,X,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X,X,X
TZLIJSO,X,O,X,X,O,X,X,X,X,X
TZLIJOS,O,O,X,X,O,X,X,X,X,X
TZLISJO,O,O,X,X,O,X,X,X,X,X
TZLISOJ,O,O,X,X,O,X,X,X,X,X
TZLIOJS,O,O,X,X,O,X,X,X,X,X
TZLIOSJ,O,O,X,X,O,X,X,X,X,X
TZLJISO,X,O,X,X,O,X,O,X,X,X
TZLJIOS,O,O,X,X,O,X,O,X,X,X
TZLJSIO,X,O,X,X,X,X,O,X,X,X
TZLJSOI,X,O,X,X,X,X,O,X,X,X
TZLJOIS,O,O,X,X,O,X,O,X,X,X
TZLJOSI,X,O,X,X,X,X,O,X,X,X
TZLSIJO,O,O,X,X,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,X,X,X,X,X
TZLSJIO,O,O,X,X,X,X,X,X,X,X
TZLSJOI,O,O,X,X,X,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,X,X,X,X,X
TZLSOJI,O,O,X,X,X,X,X,X,X,X
TZLOIJS,O,O,X,X,O,X,X,X,X,X
TZLOISJ,O,O,X,X,O,X,X,X,X,X
TZLOJIS,O,O,X,X,O,X,O,X,X,X
TZLOJSI,X,O,X,X,X,X,O,X,X,X
TZLOSIJ,O,O,X,X,X,X,X,X,X,X
TZLOSJI,O,O,X,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,X,X,X,X
TZJILOS,O,X,X,X,O,X,X,X,X,X
TZJISLO,O,X,X,O,X,X,X,X,X,X
TZJISOL,O,O,X,O,X,X,X,X,X,X
TZJIOLS,O,X,X,X,O,X,X,X,X,X
TZJIOSL,O,O,X,O,X,X,X,X,X,X
TZJLISO,X,X,X,X,O,X,O,X,X,X
TZJLIOS,O,X,X,X,O,X,O,X,X,X
TZJLSIO,X,X,X,X,X,X,O,X,X,X
TZJLSOI,X,X,X,X,X,X,O,X,X,X
TZJLOIS,O,X,X,X,O,X,O,X,X,X
TZJLOSI,X,X,X,X,X,X,O,X,X,X
TZJSILO,O,X,X,O,X,X,X,X,X,X
TZJSIOL,O,O,X,O,X,X,X,X,X,X
TZJSLIO,O,X,X,O,X,X,X,X,X,X
TZJSLOI,O,X,X,O,X,X,X,X,X,X
TZJSOIL,O,O,X,O,X,X,X,X,X,X
TZJSOLI,O,X,X,O,X,X,X,X,X,X
TZJOILS,O,X,X,X,O,X,X,X,X,X
TZJOISL,O,O,X,O,X,X,X,X,X,X
TZJOLIS,O,X,X,X,O,X,O,X,X,X
TZJOLSI,X,X,X,X,X,X,O,X,X,X
TZJOSIL,O,O,X,O,X,X,X,X,X,X
TZJOSLI,O,X,X,O,X,X,X,X,X,X
TZSILJO,O,X,X,O,X,X,X,X,X,X
TZSILOJ,O,X,X,O,X,X,X,X,X,X
TZSIJLO,O,X,X,O,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,X,X
TZSIOJL,O,O,X,O,X,X,X,X,X,X
TZSLIJO,O,X,X,O,X,X,X,X,X,X
TZSLIOJ,O,X,X,O,X,X,X,X,X,X
TZSLJIO,O,X,X,O,X,X,X,X,X,X
TZSLJOI,O,X,X,O,X,X,X,X,X,X
TZSLOIJ,O,X,X,O,X,X,X,X,X,X
TZSLOJI,O,X,X,O,X,X,X,X,X,X
TZSJILO,O,X,X,O,X,X,X,X,X,X
TZSJIOL,O,O,X,O,X,X,X,X,X,X
TZSJLIO,O,X,X,O,X,X,X,X,X,X
TZSJLOI,O,X,X,O,X,X,X,X,X,X
TZSJOIL,O,O,X,O,X,X,X,X,X,X
TZSJOLI,O,X,X,O,X,X,X,X,X,X
TZSOILJ,O,X,X,O,X,X,X,X,X,X
TZSOIJL,O,O,X,O,X,X,X,X,X,X
TZSOLIJ,O,X,X,O,X,X,X,X,X,X
TZSOLJI,O,X,X,O,X,X,X,X,X,X
TZSOJIL,O,O,X,O,X,X,X,X,X,X
TZSOJLI,O,X,X,O,X,X,X,X,X,X
TZOILJS,O,O,X,X,O,X,X,X,X,X
TZOILSJ,O,O,X,X,O,X,X,X,X,X
TZOIJLS,O,X,X,X,O,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X,X,X
TZOLIJS,O,O,X,X,O,X,X,X,X,X
TZOLISJ,O,O,X,X,O,X,X,X,X,X
TZOLJIS,O,O,X,X,O,X,O,X,X,X
TZOLJSI,X,O,X,X,X,X,O,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X,X,X
TZOJILS,O,X,X,X,O,X,X,X,X,X
TZOJISL,O,O,X,O,X,X,X,X,X,X
TZOJLIS,O,X,X,X,O,X,O,X,X,X
TZOJLSI,X,X,X,X,X,X,O,X,X,X
TZOJSIL,O,O,X,O,X,X,X,X,X,X
TZOJSLI,O,X,X,O,X,X,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X,X,X
TZOSIJL,O,O,X,O,X,X,X,X,X,X
TZOSLIJ,O,X,X,O,X,X,X,X,X,X
TZOSLJI,O,X,X,O,X,X,X,X,X,X
TZOSJIL,O,O,X,O,X,X,X,X,X,X
TZOSJLI,O,X,X,O,X,X,X,X,X,X
TOILJSZ,X,X,O,X,O,X,O,X,X,X
TOILJZS,X,O,O,X,O,X,O,X,X,X
TOILSJZ,X,X,X,X,O,X,X,X,X,X
TOILSZJ,O,X,X,X,O,X,X,X,X,X
TOILZJS,O,O,X,X,O,X,X,X,X,X
TOILZSJ,O,O,X,X,O,X,X,X,X,X
TOIJLSZ,X,X,O,O,O,X,O,X,O,X
TOIJLZS,X,O,O,X,O,X,O,X,X,X
TOIJSLZ,X,X,O,O,O,O,X,X,O,X
TOIJSZL,X,X,X,O,X,X,X,X,O,X
TOIJZLS,X,X,O,X,O,X,X,X,X,X
TOIJZSL,X,O,X,O,X,X,X,X,X,X
TOISLJZ,X,X,X,O,O,O,X,X,X,X
TOISLZJ,O,X,X,O,O,X,X,X,X,X
TOISJLZ,X,X,X,O,O,O,X,X,X,O
TOISJZL,X,X,X,O,X,X,X,X,X,O
TOISZLJ,O,X,X,O,X,X,X,X,X,X
TOISZJL,O,X,X,O,X,X,X,X,X,X
TOIZLJS,O,O,X,X,O,X,X,X,X,X
TOIZLSJ,O,O,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,X,O,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X,X,X
TOLIJSZ,X,X,O,X,O,X,O,X,X,X
TOLIJZS,X,O,O,X,O,X,O,X,X,X
TOLISJZ,X,X,X,X,O,X,X,X,X,X
TOLISZJ,O,X,X,X,O,X,X,X,X,X
TOLIZJS,O,O,X,X,O,X,X,X,X,X
TOLIZSJ,O,O,X,X,O,X,X,X,X,X
TOLJISZ,X,X,O,O,O,X,O,X,X,X
TOLJIZS,X,O,O,X,O,X,O,X,X,X
TOLJSIZ,X,X,O,O,O,X,O,X,X,X
TOLJSZI,X,X,X,O,X,X,O,X,X,X
TOLJZIS,X,O,O,X,O,X,O,X,X,X
TOLJZSI,X,O,X,X,X,X,O,X,X,X
TOLSIJZ,X,X,X,O,O,X,X,X,X,X
TOLSIZJ,O,X,X,O,O,X,X,O,X,X
TOLSJIZ,X,X,X,O,O,X,O,X,X,X
TOLSJZI,X,X,X,O,X,X,O,O,X,X
TOLSZIJ,O,X,X,O,X,X,X,O,X,X
TOLSZJI,O,X,X,O,X,X,X,O,X,X
TOLZIJS,O,O,X,X,O,X,X,X,X,X
TOLZISJ,O,O,X,X,O,X,X,X,X,X
TOLZJIS,O,O,X,X,O,X,O,X,X,X
TOLZJSI,X,O,X,X,X,X,O,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X,X,X
TOJILSZ,X,X,O,O,O,X,O,X,O,X
TOJILZS,X,O,O,X,O,X,O,X,X,X
TOJISLZ,X,X,O,O,O,O,X,X,O,X
TOJISZL,X,X,X,O,X,X,X,X,O,X
TOJIZLS,X,X,O,X,O,X,X,X,X,X
TOJIZSL,X,O,X,O,X,X,X,X,X,X
TOJLISZ,X,X,O,O,O,X,O,X,X,X
TOJLIZS,X,O,O,X,O,X,O,X,X,X
TOJLSIZ,X,X,O,O,O,X,O,X,X,X
TOJLSZI,X,X,X,O,X,X,O,X,X,X
TOJLZIS,X,O,O,X,O,X,O,X,X,X
TOJLZSI,X,O,X,X,X,X,O,X,X,X
TOJSILZ,X,X,O,O,O,O,X,X,X,X
TOJSIZL,X,X,X,O,X,X,X,X,X,X
TOJSLIZ,X,X,O,O,O,O,O,X,X,X
TOJSLZI,X,X,X,O,X,X,O,X,X,X
TOJSZIL,X,X,X,O,X,X,X,X,X,X
TOJSZLI,X,X,X,O,X,X,X,X,X,X
TOJZILS,X,X,O,X,O,X,X,X,X,X
TOJZISL,X,O,X,O,X,X,X,X,X,X
TOJZLIS,X,X,O,X,O,X,O,X,X,X
TOJZLSI,X,X,X,X,X,X,O,X,X,X
TOJZSIL,X,O,X,O,X,X,X,X,X,X
TOJZSLI,X,X,X,O,X,X,X,X,X,X
TOSILJZ,X,X,X,O,O,O,X,X,X,X
TOSILZJ,O,X,X,O,O,X,X,X,X,X
TOSIJLZ,X,X,X,O,O,O,X,X,X,O
TOSIJZL,X,X,X,O,X,X,X,X,X,O
TOSIZLJ,O,X,X,O,X,X,X,X,X,X
TOSIZJL,O,X,X,O,X,X,X,X,X,X
TOSLIJZ,X,X,X,O,O,O,X,X,X,X
TOSLIZJ,O,X,X,O,O,X,X,O,X,X
TOSLJIZ,X,X,X,O,O,O,O,X,X,X
TOSLJZI,X,X,X,O,X,X,O,O,X,X
TOSLZIJ,O,X,X,O,X,X,X,O,X,X
TOSLZJI,O,X,X,O,X,X,X,O,X,X
TOSJILZ,X,X,X,O,O,O,X,X,X,O
TOSJIZL,X,X,X,O,X,X,X,X,X,O
TOSJLIZ,X,X,X,O,O,O,O,X,X,X
TOSJLZI,X,X,X,O,X,X,O,X,X,X
TOSJZIL,X,X,X,O,X,X,X,X,X,X
TOSJZLI,X,X,X,O,X,X,X,X,X,X
TOSZILJ,O,X,X,O,X,X,X,X,X,X
TOSZIJL,O,X,X,O,X,X,X,X,X,X
TOSZLIJ,O,X,X,O,X,X,X,X,X,X
TOSZLJI,O,X,X,O,X,X,X,X,X,X
TOSZJIL,O,X,X,O,X,X,X,X,X,X
TOSZJLI,O,X,X,O,X,X,X,X,X,X
TOZILJS,O,O,X,X,O,X,X,X,X,X
TOZILSJ,O,O,X,X,O,X,X,X,X,X
TOZIJLS,O,X,X,X,O,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X,X,X
TOZISLJ,O,X,X,X,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X,X,X
TOZLIJS,O,O,X,X,O,X,X,X,X,X
TOZLISJ,O,O,X,X,O,X,X,X,X,X
TOZLJIS,O,O,X,X,O,X,O,X,X,X
TOZLJSI,X,O,X,X,X,X,O,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X,X,X
TOZJILS,O,X,X,X,O,X,X,X,X,X
TOZJISL,O,O,X,O,X,X,X,X,X,X
TOZJLIS,O,X,X,X,O,X,O,X,X,X
TOZJLSI,X,X,X,X,X,X,O,X,X,X
TOZJSIL,O,O,X,O,X,X,X,X,X,X
TOZJSLI,O,X,X,O,X,X,X,X,X,X
TOZSILJ,O,X,X,O,X,X,X,X,X,X
TOZSIJL,O,O,X,O,X,X,X,X,X,X
TOZSLIJ,O,X,X,O,X,X,X,X,X,X
TOZSLJI,O,X,X,O,X,X,X,X,X,X
TOZSJIL,O,O,X,O,X,X,X,X,X,X
TOZSJLI,O,X,X,O,X,X,X,X,X,X
ITLJSZO,X,X,O,X,O,X,O,X,X,X
ITLJSOZ,X,X,O,X,O,X,O,X,X,X
ITLJZSO,X,O,O,X,O,X,O,X,X,X
ITLJZOS,X,O,O,X,O,X,O,X,X,X
ITLJOSZ,X,X,O,X,O,X,O,X,X,X
ITLJOZS,X,O,O,X,O,X,O,X,X,X
ITLSJZO,X,X,X,X,O,X,X,X,X,X
ITLSJOZ,X,X,X,X,O,X,X,X,X,X
ITLSZJO,O,X,X,X,O,X,X,X,X,X
ITLSZOJ,O,X,X,X,O,X,X,X,X,X
ITLSOJZ,X,X,X,X,O,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X,X
ITLZJSO,X,O,X,X,O,X,X,X,X,X
ITLZJOS,O,O,X,X,O,X,X,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,X,X,X,X
ITLZOJS,O,O,X,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X,X
ITLOJSZ,X,X,O,X,O,X,O,X,X,X
ITLOJZS,X,O,O,X,O,X,O,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X,X,X
ITLOSZJ,O,X,X,X,O,X,X,X,X,X
ITLOZJS,O,O,X,X,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X,X
ITJLSZO,X,X,O,O,O,X,O,X,O,X
ITJLSOZ,X,X,O,O,O,X,O,X,O,X
ITJLZSO,X,O,O,X,O,X,O,X,X,X
ITJLZOS,X,O,O,X,O,X,O,X,X,X
ITJLOSZ,X,X,O,O,O,X,O,X,O,X
ITJLOZS,X,O,O,X,O,X,O,X,X,X
ITJSLZO,X,X,O,O,O,X,X,X,O,X
ITJSLOZ,X,X,O,O,O,O,X,X,O,X
ITJSZLO,X,X,X,O,X,X,X,X,O,X
ITJSZOL,X,X,X,O,X,X,X,X,O,X
ITJSOLZ,X,X,O,O,O,O,X,X,O,X
ITJSOZL,X,X,X,O,X,X,X,X,O,X
ITJZLSO,X,X,O,X,O,X,X,X,X,X
ITJZLOS,X,X,O,X,O,X,X,X,X,X
ITJZSLO,X,X,X,O,X,X,X,X,X,X
ITJZSOL,X,O,X,O,X,X,X,X,X,X
ITJZOLS,X,X,O,X,O,X,X,X,X,X
ITJZOSL,X,O,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,O,O,X,O,X,O,X
ITJOLZS,X,O,O,X,O,X,O,X,X,X
ITJOSLZ,X,X,O,O,O,O,X,X,O,X
ITJOSZL,X,X,X,O,X,X,X,X,O,X
ITJOZLS,X,X,O,X,O,X,X,X,X,X
ITJOZSL,X,O,X,O,X,X,X,X,X,X
ITSLJZO,X,X,X,O,O,X,X,X,X,X
ITSLJOZ,X,X,X,O,O,O,X,X,X,X
ITSLZJO,O,X,X,O,O,X,X,X,X,X
ITSLZOJ,O,X,X,O,O,X,X,X,X,X
ITSLOJZ,X,X,X,O,O,O,X,X,X,X
ITSLOZJ,O,X,X,O,O,X,X,X,X,X
ITSJLZO,X,X,X,O,O,X,X,X,X,X
ITSJLOZ,X,X,X,O,O,O,X,X,X,X
ITSJZLO,X,X,X,O,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X,X,X,X
ITSJOLZ,X,X,X,O,O,O,X,X,X,O
ITSJOZL,X,X,X,O,X,X,X,X,X,O
ITSZLJO,O,X,X,O,X,X,X,X,X,X
ITSZLOJ,O,X,X,O,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X
ITSZJOL,O,X,X,O,X,X,X,X,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X
ITSZOJL,O,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,O,O,X,X,X,X
ITSOLZJ,O,X,X,O,O,X,X,X,X,X
ITSOJLZ,X,X,X,O,O,O,X,X,X,O
ITSOJZL,X,X,X,O,X,X,X,X,X,O
ITSOZLJ,O,X,X,O,X,X,X,X,X,X
ITSOZJL,O,X,X,O,X,X,X,X,X,X
ITZLJSO,X,O,X,X,O,X,X,X,X,X
ITZLJOS,O,O,X,X,O,X,X,X,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,X,X,X,X
ITZLOJS,O,O,X,X,O,X,X,X,X,X
ITZLOSJ,O,O,X,X,O,X,X,X,X,X
ITZJLSO,X,X,X,X,O,X,X,X,X,X
ITZJLOS,O,X,X,X,O,X,X,X,X,X
ITZJSLO,O,X,X,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X,X
ITZJOLS,O,X,X,X,O,X,X,X,X,X
ITZJOSL,O,O,X,X,X,X,X,X,X,X
ITZSLJO,O,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X,X,X,X
ITZSJLO,O,X,X,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,X,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X,X,X
ITZOLJS,O,O,X,X,O,X,X,X,X,X
ITZOLSJ,O,O,X,X,O,X,X,X,X,X
ITZOJLS,O,X,X,X,O,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,O,X,O,X,X,X
ITOLJZS,X,O,O,X,O,X,O,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,X,X,X,X
ITOLZJS,O,O,X,X,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,O,X,X,X,X,X
ITOJLSZ,X,X,O,O,O,X,O,X,O,X
ITOJLZS,X,O,O,X,O,X,O,X,X,X
ITOJSLZ,X,X,O,O,O,O,X,X,O,X
ITOJSZL,X,X,X,O,X,X,X,X,O,X
ITOJZLS,X,X,O,X,O,X,X,X,X,X
ITOJZSL,X,O,X,O,X,X,X,X,X,X
ITOSLJZ,X,X,X,O,O,O,X,X,X,X
ITOSLZJ,O,X,X,O,O,X,X,X,X,X
ITOSJLZ,X,X,X,O,O,O,X,X,X,O
ITOSJZL,X,X,X,O,X,X,X,X,X,O
ITOSZLJ,O,X,X,O,X,X,X,X,X,X
ITOSZJL,O,X,X,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,O,X,X,X,X,X
ITOZLSJ,O,O,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,X,O,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X,X,X
ILTJSZO,X,X,O,X,O,X,O,X,X,X
ILTJSOZ,X,X,O,X,O,X,O,X,X,X
ILTJZSO,X,O,O,X,O,X,O,X,X,X
ILTJZOS,X,O,O,X,O,X,O,X,X,X
ILTJOSZ,X,X,O,X,O,X,O,X,X,X
ILTJOZS,X,O,O,X,O,X,O,X,X,X
ILTSJZO,X,X,X,X,O,X,X,X,X,X
ILTSJOZ,X,X,X,X,O,X,X,X,X,X
ILTSZJO,O,X,X,X,O,X,X,X,X,X
ILTSZOJ,O,X,X,X,O,X,X,X,X,X
ILTSOJZ,X,X,X,X,O,X,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X,X,X
ILTZJSO,X,O,X,X,O,X,X,X,X,X
ILTZJOS,O,O,X,X,O,X,X,X,X,X
ILTZSJO,O,O,X,X,O,X,X,X,X,X
ILTZSOJ,O,O,X,X,O,X,X,X,X,X
ILTZOJS,O,O,X,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,X,O,X,X,X,X,X
ILTOJSZ,X,X,O,X,O,X,O,X,X,X
ILTOJZS,X,O,O,X,O,X,O,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X,X,X
ILTOSZJ,O,X,X,X,O,X,X,X,X,X
ILTOZJS,O,O,X,X,O,X,X,X,X,X
ILTOZSJ,O,O,X,X,O,X,X,X,X,X
ILJTSZO,X,X,O,X,X,X,X,X,O,X
ILJTSOZ,X,X,O,X,X,X,X,X,O,X
ILJTZSO,X,O,O,X,X,X,X,X,X,X
ILJTZOS,X,O,O,X,X,X,X,X,X,X
ILJTOSZ,X,X,O,X,X,X,X,X,O,X
ILJTOZS,X,O,O,X,X,X,X,X,X,X
ILJSTZO,X,X,O,X,X,X,X,X,O,X
ILJSTOZ,X,X,O,X,X,O,X,X,O,X
ILJSZTO,O,O,O,X,X,X,X,X,O,X
ILJSZOT,O,O,O,X,X,O,X,X,O,X
ILJSOTZ,X,X,O,X,X,O,X,X,O,X
ILJSOZT,O,O,O,X,X,O,X,X,O,X
ILJZTSO,X,O,O,X,X,X,X,X,X,X
ILJZTOS,O,O,O,X,X,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,X,X,O,X
ILJZSOT,O,O,O,X,X,X,X,X,O,X
ILJZOTS,O,O,O,X,X,X,X,X,X,X
ILJZOST,O,O,O,X,X,X,X,X,O,X
ILJOTSZ,X,X,O,X,X,X,X,X,O,X
ILJOTZS,X,O,O,X,X,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,O,X,X,O,X
ILJOSZT,O,O,O,X,X,O,X,X,O,X
ILJOZTS,O,O,O,X,X,X,X,X,X,X
ILJOZST,O,O,O,X,X,X,X,X,O,X
ILSTJZO,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,O,X,X
ILSTZOJ,O,X,X,X,X,X,X,O,X,X
ILSTOJZ,X,X,X,X,X,O,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,O,X,X
ILSJTZO,X,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,X,O,X,X,O,X,X,X,X
ILSJZTO,O,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,O,X,X,O,X,X,X,X
ILSJOTZ,X,X,O,X,X,O,X,X,X,O
ILSJOZT,O,O,O,X,X,O,X,X,X,O
ILSZTJO,O,O,X,X,X,X,X,O,X,X
ILSZTOJ,O,O,X,X,X,X,X,O,X,X
ILSZJTO,O,O,X,X,X,X,X,O,X,X
ILSZJOT,O,O,X,X,X,O,X,O,X,X
ILSZOTJ,O,O,X,X,X,X,X,O,X,X
ILSZOJT,O,O,X,X,X,O,X,O,X,X
ILSOTJZ,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,O,X,X
ILSOJTZ,X,X,O,X,X,O,X,X,X,O
ILSOJZT,O,O,O,X,X,O,X,X,X,O
ILSOZTJ,O,O,X,X,X,X,X,O,X,X
ILSOZJT,O,O,X,X,X,O,X,O,X,X
ILZTJSO,X,O,X,X,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X,X,X,X
ILZJTSO,X,O,O,X,X,X,X,X,X,X
ILZJTOS,O,O,O,X,X,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X,X,X,X
ILZJOTS,O,O,O,X,X,X,X,X,X,X
ILZJOST,O,O,O,X,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X,X,X,X
ILZOJTS,O,O,O,X,X,X,X,X,X,X
ILZOJST,O,O,O,X,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,O,X,O,X,O,X,X,X
ILOTJZS,X,O,O,X,O,X,O,X,X,X
ILOTSJZ,X,X,X,X,O,X,X,X,X,X
ILOTSZJ,O,X,X,X,O,X,X,X,X,X
