sequence,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFOnB6oB/qBznB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8JeFCJvhFXjBxlBStBmlB0q?BzrB,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFKnBziB+oB/qB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8Je0AJvhFlhBziB+oB/qBxr?BywB,v115@9gB8HeB8HeB8HeC8DeC8Je3BJvhFziB+oB0lBVsBil?BRwB,v115@9gB8HeB8HeB8HeC8DeC8Je3AJvhF1mBxiBcsBToB2q?BSwB,v115@9gB8HeB8HeB8HeC8DeC8JeUBJvhFFiBTjBWtBxqByw?B/qB,v115@9gB8HeB8HeB8HeC8DeC8JeiAJvhFTjBGmBlqBxsBcs?B3rB,v115@9gB8HeB8HeB8HeC8DeC8JefIJvhF6oBTlBlmBmlBUn?BRwB,v115@9gB8HeB8HeB8HeC8DeC8JeTAJvhFUjBxmBStBlqB3r?BmrB,v115@9gB8HeB8HeB8HeC8DeC8JeXBJvhFxiB2qBToBCsBFs?B0qB
TSJOLIZ,X,X,O,X,O,X,X,X,X,X,X
TSJOLZI,X,X,O,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,O,O,X,X,X,X,X,X
TSJOZLI,X,X,O,O,X,X,X,X,X,X,X
TSZILJO,O,X,O,O,O,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X,X,X,O,X
TSZIJLO,O,X,O,O,O,X,X,X,X,X,X
TSZIJOL,O,X,X,O,O,X,X,X,X,O,X
TSZIOLJ,O,X,X,X,X,X,X,X,X,O,X
TSZIOJL,O,X,X,O,O,X,X,X,X,O,X
TSZLIJO,O,X,O,O,X,X,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X,X,X,X,X,X
TSZLJOI,X,X,O,O,X,X,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X,X,X,X,X
TSZJILO,O,X,O,O,O,X,X,X,X,X,X
TSZJIOL,O,X,X,O,O,X,X,X,X,X,X
TSZJLIO,O,X,O,O,X,X,X,X,X,X,X
TSZJLOI,X,X,O,O,X,X,X,X,X,X,X
TSZJOIL,O,X,X,O,O,X,X,X,X,X,X
TSZJOLI,O,X,O,O,X,X,X,X,X,X,X
TSZOILJ,O,X,X,X,X,X,X,X,X,O,X
TSZOIJL,O,X,X,O,X,X,X,X,X,O,X
TSZOLIJ,O,X,X,X,X,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X,X,X,X,X
TSZOJIL,O,X,X,O,X,X,X,X,X,X,X
TSZOJLI,O,X,X,O,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X,X,X,O,X,X
TSOILZJ,X,X,X,X,X,X,X,X,O,O,X
TSOIJLZ,O,X,X,X,O,X,X,X,O,X,X
TSOIJZL,X,X,X,X,O,X,X,X,X,O,X
TSOIZLJ,X,X,X,X,X,X,X,X,O,O,X
TSOIZJL,X,X,X,X,O,X,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,X,X,X,O,X,X
TSOLIZJ,X,X,X,X,X,X,X,X,O,O,X
TSOLJIZ,O,X,X,X,X,X,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,X,X,X,X,X,X,X,X,X,X
TSOLZJI,O,X,X,X,X,X,X,X,X,X,X
TSOJILZ,O,X,X,X,O,X,X,X,X,X,X
TSOJIZL,X,X,X,X,O,X,X,X,X,O,X
TSOJLIZ,O,X,X,X,O,X,X,X,X,X,X
TSOJLZI,O,X,X,X,X,X,X,X,X,X,X
TSOJZIL,O,X,X,X,O,X,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X,X,X,X,X,X
TSOZILJ,O,X,X,X,X,X,X,X,X,O,X
TSOZIJL,O,X,X,X,X,X,X,X,X,O,X
TSOZLIJ,O,X,X,X,X,X,X,X,X,X,X
TSOZLJI,O,X,X,X,X,X,X,X,X,X,X
TSOZJIL,O,X,X,X,X,X,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X,X,X,X,X,X
TZILJSO,X,O,X,X,O,X,X,O,X,X,X
TZILJOS,X,X,X,X,O,X,X,O,X,X,X
TZILSJO,X,O,X,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,X,O,X,X,X,X,X
TZILOJS,X,X,X,X,X,O,X,O,X,O,X
TZILOSJ,X,O,X,X,X,O,X,X,X,O,X
TZIJLSO,X,O,X,X,O,X,X,O,X,X,X
TZIJLOS,X,X,X,X,O,X,X,O,X,X,X
TZIJSLO,X,X,X,X,O,X,X,O,X,X,X
TZIJSOL,X,X,X,X,O,X,X,O,X,X,X
TZIJOLS,X,X,X,X,O,X,X,O,X,O,X
TZIJOSL,X,X,X,X,O,X,X,O,X,O,X
TZISLJO,X,O,X,X,O,X,X,X,X,X,X
TZISLOJ,X,O,X,X,X,X,X,X,X,X,X
TZISJLO,X,X,X,X,O,X,X,X,X,X,X
TZISJOL,X,X,X,X,O,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,O,X,X,X,O,X
TZISOJL,X,X,X,X,O,O,X,X,X,O,X
TZIOLJS,X,X,X,X,X,O,X,O,X,O,X
TZIOLSJ,X,O,X,X,X,O,X,X,X,O,X
TZIOJLS,X,X,X,X,O,O,X,O,X,O,X
TZIOJSL,X,X,X,X,O,O,X,O,X,O,X
TZIOSLJ,X,X,X,X,X,O,X,X,X,O,X
TZIOSJL,X,X,X,X,O,O,X,X,X,O,X
TZLIJSO,X,O,X,X,X,X,X,O,X,X,X
TZLIJOS,X,X,X,X,X,X,X,O,X,X,X
TZLISJO,X,O,X,X,X,X,X,X,X,X,X
TZLISOJ,X,O,X,X,X,O,X,X,X,X,X
TZLIOJS,X,X,X,X,X,O,X,O,X,X,X
TZLIOSJ,X,O,X,X,X,O,X,X,X,X,X
TZLJISO,X,X,X,X,X,X,X,O,X,X,X
TZLJIOS,X,X,X,X,X,X,X,O,X,X,X
TZLJSIO,O,X,O,X,X,X,X,X,X,X,X
TZLJSOI,X,X,O,X,X,O,X,X,X,X,X
TZLJOIS,X,X,X,X,X,O,X,X,X,X,X
TZLJOSI,X,X,O,X,X,O,X,X,X,X,X
TZLSIJO,O,O,O,X,X,X,X,X,X,X,X
TZLSIOJ,O,O,X,X,X,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X,X,X,X
TZLSJOI,X,X,O,X,X,O,X,X,X,X,X
TZLSOIJ,O,O,X,X,X,O,X,X,X,X,X
TZLSOJI,O,O,X,X,X,O,X,X,X,X,X
TZLOIJS,X,O,X,X,X,O,X,X,X,X,X
TZLOISJ,X,O,X,X,X,O,X,X,X,X,X
TZLOJIS,X,O,X,X,X,O,X,X,X,X,X
TZLOJSI,O,O,X,X,X,O,X,X,X,X,X
TZLOSIJ,O,O,X,X,X,O,X,X,X,X,X
TZLOSJI,O,O,X,X,X,O,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,X,O,X,X,X
TZJILOS,X,X,X,X,O,X,X,O,X,X,X
TZJISLO,X,X,X,X,O,X,X,O,X,X,X
TZJISOL,X,X,X,X,O,X,X,O,X,X,X
TZJIOLS,X,X,X,X,O,X,X,O,X,X,X
TZJIOSL,X,X,X,X,O,X,X,O,X,X,X
TZJLISO,X,X,X,X,X,X,X,O,X,X,X
TZJLIOS,X,X,X,X,X,X,X,O,X,X,X
TZJLSIO,O,X,O,X,X,X,X,X,X,X,X
TZJLSOI,X,X,O,X,X,O,X,X,X,X,X
TZJLOIS,X,X,X,X,X,O,X,X,X,X,X
TZJLOSI,X,X,O,X,X,O,X,X,X,X,X
TZJSILO,O,X,O,X,O,X,X,X,X,X,X
TZJSIOL,O,X,X,X,O,X,X,X,X,X,X
TZJSLIO,O,X,O,X,X,X,X,X,X,X,X
TZJSLOI,X,X,O,X,X,X,X,X,X,X,X
TZJSOIL,O,X,X,X,O,O,X,X,X,X,X
TZJSOLI,O,X,O,X,X,O,X,X,X,X,X
TZJOILS,X,X,X,X,O,O,X,X,X,X,X
TZJOISL,X,X,X,X,O,O,X,X,X,X,X
TZJOLIS,X,X,X,X,X,O,X,X,X,X,X
TZJOLSI,O,X,O,X,X,O,X,X,X,X,X
TZJOSIL,O,X,X,X,O,O,X,X,X,X,X
TZJOSLI,O,X,O,X,X,O,X,X,X,X,X
TZSILJO,O,X,O,X,O,X,X,X,X,X,X
TZSILOJ,O,X,X,X,X,X,X,X,X,O,X
TZSIJLO,O,X,O,X,O,X,X,X,X,X,X
TZSIJOL,O,X,X,X,O,X,X,X,X,O,X
TZSIOLJ,O,X,X,X,X,O,X,X,X,O,X
TZSIOJL,O,X,X,X,O,O,X,X,X,O,X
TZSLIJO,O,X,O,X,X,X,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,O,X,X,X,X,X
TZSLJIO,O,X,O,X,X,X,X,X,X,X,X
TZSLJOI,X,X,O,X,X,O,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,O,X,X,X,X,X
TZSLOJI,O,X,X,X,X,O,X,X,X,X,X
TZSJILO,O,X,O,X,O,X,X,X,X,X,X
TZSJIOL,O,X,X,X,O,X,X,X,X,X,X
TZSJLIO,O,X,O,X,X,X,X,X,X,X,X
TZSJLOI,X,X,O,X,X,X,X,X,X,X,X
TZSJOIL,O,X,X,X,O,O,X,X,X,X,X
TZSJOLI,O,X,O,X,X,O,X,X,X,X,X
TZSOILJ,O,X,X,X,X,O,X,X,X,O,X
TZSOIJL,O,X,X,X,X,O,X,X,X,O,X
TZSOLIJ,O,X,X,X,X,O,X,X,X,X,X
TZSOLJI,O,X,X,X,X,O,X,X,X,X,X
TZSOJIL,O,X,X,X,X,O,X,X,X,X,X
TZSOJLI,O,X,X,X,X,O,X,X,X,X,X
TZOILJS,X,O,X,X,X,O,X,X,X,O,X
TZOILSJ,X,O,X,X,X,O,X,X,X,O,X
TZOIJLS,X,O,X,X,X,O,X,X,X,O,X
TZOIJSL,X,X,X,X,X,O,X,X,X,O,X
TZOISLJ,X,O,X,X,X,O,X,X,X,O,X
TZOISJL,X,X,X,X,X,O,X,X,X,O,X
TZOLIJS,X,O,X,X,X,O,X,X,X,X,X
TZOLISJ,X,O,X,X,X,O,X,X,X,X,X
TZOLJIS,X,O,X,X,X,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,O,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,O,X,X,X,X,X
TZOLSJI,O,O,X,X,X,O,X,X,X,X,X
TZOJILS,X,O,X,X,X,O,X,X,X,X,X
TZOJISL,X,X,X,X,X,O,X,X,X,X,X
TZOJLIS,X,O,X,X,X,O,X,X,X,X,X
TZOJLSI,O,O,X,X,X,O,X,X,X,X,X
TZOJSIL,O,X,X,X,X,O,X,X,X,X,X
TZOJSLI,O,X,X,X,X,O,X,X,X,X,X
TZOSILJ,O,O,X,X,X,O,X,X,X,O,X
TZOSIJL,O,X,X,X,X,O,X,X,X,O,X
TZOSLIJ,O,O,X,X,X,O,X,X,X,X,X
TZOSLJI,O,O,X,X,X,O,X,X,X,X,X
TZOSJIL,O,X,X,X,X,O,X,X,X,X,X
TZOSJLI,O,X,X,X,X,O,X,X,X,X,X
TOILJSZ,X,O,X,X,X,X,X,O,X,X,X
TOILJZS,X,X,X,X,X,X,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X,X,O,X,X,X
TOILSZJ,X,O,X,X,X,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X,O,X,O,X
TOILZSJ,X,O,X,X,X,X,X,X,X,O,X
TOIJLSZ,X,O,X,X,O,X,X,O,X,X,X
TOIJLZS,X,X,X,X,O,X,X,O,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,O,X,X,X
TOIJSZL,X,X,X,X,O,X,X,O,X,X,X
TOIJZLS,X,X,X,X,O,X,X,O,X,O,X
TOIJZSL,X,X,X,X,O,X,X,O,X,O,X
TOISLJZ,X,O,X,X,X,X,X,O,X,X,X
TOISLZJ,X,O,X,X,X,X,X,X,X,O,X
TOISJLZ,X,X,X,X,O,X,X,O,X,X,X
TOISJZL,X,X,X,X,O,X,X,O,X,O,X
TOISZLJ,X,X,X,X,X,X,X,X,X,O,X
TOISZJL,X,X,X,X,O,X,X,X,X,O,X
TOIZLJS,X,O,X,X,X,O,X,O,X,O,X
TOIZLSJ,X,O,X,X,X,O,X,X,X,O,X
TOIZJLS,X,O,X,X,O,O,X,O,X,O,X
TOIZJSL,X,X,X,X,O,O,X,O,X,O,X
TOIZSLJ,X,O,X,X,X,O,X,X,X,O,X
TOIZSJL,X,X,X,X,O,O,X,X,X,O,X
TOLIJSZ,X,O,X,X,X,X,X,O,X,X,X
TOLIJZS,X,X,X,X,X,X,X,O,X,X,X
TOLISJZ,X,O,X,X,X,X,X,O,X,X,X
TOLISZJ,X,O,X,X,X,O,X,X,X,X,X
TOLIZJS,X,O,X,X,X,O,X,O,X,O,X
TOLIZSJ,X,O,X,X,X,O,X,X,X,O,X
TOLJISZ,X,O,X,X,X,X,X,O,X,X,O
TOLJIZS,X,X,X,X,X,X,X,O,X,X,O
TOLJSIZ,O,O,X,X,X,X,X,X,X,X,O
TOLJSZI,O,O,X,X,X,O,X,X,X,X,O
TOLJZIS,X,O,X,X,X,O,X,X,X,X,O
TOLJZSI,O,O,X,X,X,O,X,X,X,X,O
TOLSIJZ,O,O,X,X,X,X,X,X,O,X,X
TOLSIZJ,X,O,X,X,X,O,X,X,O,O,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,X,O,X,X,X,X,X
TOLSZIJ,O,O,X,X,X,O,X,X,X,X,X
TOLSZJI,O,O,X,X,X,O,X,X,X,X,X
TOLZIJS,X,O,X,X,X,O,X,X,X,X,X
TOLZISJ,X,O,X,X,X,O,X,X,X,X,X
TOLZJIS,X,O,X,X,X,O,X,X,X,X,X
TOLZJSI,O,O,X,X,X,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,O,X,X,X,X,X
TOLZSJI,O,O,X,X,X,O,X,X,X,X,X
TOJILSZ,X,O,X,X,O,X,X,O,X,X,X
TOJILZS,X,X,X,X,O,X,X,O,X,X,X
TOJISLZ,X,X,X,X,O,X,X,O,X,X,X
TOJISZL,X,X,X,X,O,X,X,O,X,X,X
TOJIZLS,X,X,X,X,O,X,X,O,X,O,X
TOJIZSL,X,X,X,X,O,X,X,O,X,O,X
TOJLISZ,X,O,X,X,O,X,X,O,X,X,O
TOJLIZS,X,X,X,X,O,X,X,O,X,X,O
TOJLSIZ,O,O,X,X,O,X,X,X,X,X,O
TOJLSZI,O,O,X,X,X,X,X,X,X,X,O
TOJLZIS,X,O,X,X,X,X,X,X,X,X,O
TOJLZSI,O,O,X,X,X,X,X,X,X,X,O
TOJSILZ,O,X,X,X,O,X,X,X,X,X,X
TOJSIZL,X,X,X,X,O,X,X,X,X,O,X
TOJSLIZ,O,X,X,X,O,X,X,X,X,X,O
TOJSLZI,O,X,X,X,X,X,X,X,X,X,O
TOJSZIL,O,X,X,X,O,X,X,X,X,X,X
TOJSZLI,O,X,X,X,X,X,X,X,X,X,X
TOJZILS,X,O,X,X,O,X,X,X,X,X,X
TOJZISL,X,X,X,X,O,X,X,X,X,X,X
TOJZLIS,X,O,X,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X,X,X,X
TOJZSIL,O,X,X,X,O,X,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X,X,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X,O,X,X
TOSILZJ,X,O,X,X,X,X,X,X,O,O,X
TOSIJLZ,O,X,X,X,O,X,X,X,O,X,X
TOSIJZL,X,X,X,X,O,X,X,X,X,O,X
TOSIZLJ,X,X,X,X,X,X,X,X,O,O,X
TOSIZJL,X,X,X,X,O,X,X,X,X,O,X
TOSLIJZ,O,O,X,X,X,X,X,X,O,X,X
TOSLIZJ,X,O,X,X,X,X,X,X,O,O,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X,X
TOSJILZ,O,X,X,X,O,X,X,X,X,X,X
TOSJIZL,X,X,X,X,O,X,X,X,X,O,X
TOSJLIZ,O,X,X,X,O,X,X,X,X,X,X
TOSJLZI,O,X,X,X,X,X,X,X,X,X,X
TOSJZIL,O,X,X,X,O,X,X,X,X,X,X
TOSJZLI,O,X,X,X,X,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X,X,O,X
TOSZIJL,O,X,X,X,X,X,X,X,X,O,X
TOSZLIJ,O,O,X,X,X,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X,X,X,X,X,X
TOZILJS,X,O,X,X,X,O,X,X,X,O,X
TOZILSJ,X,O,X,X,X,O,X,X,X,O,X
TOZIJLS,X,O,X,X,X,O,X,X,X,O,X
TOZIJSL,X,X,X,X,X,O,X,X,X,O,X
TOZISLJ,X,O,X,X,X,O,X,X,X,O,X
TOZISJL,X,X,X,X,X,O,X,X,X,O,X
TOZLIJS,X,O,X,X,X,O,X,X,X,X,X
TOZLISJ,X,O,X,X,X,O,X,X,X,X,X
TOZLJIS,X,O,X,X,X,O,X,X,X,X,X
TOZLJSI,O,O,X,X,X,O,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,O,X,X,X,X,X
TOZLSJI,O,O,X,X,X,O,X,X,X,X,X
TOZJILS,X,O,X,X,X,O,X,X,X,X,X
TOZJISL,X,X,X,X,X,O,X,X,X,X,X
TOZJLIS,X,O,X,X,X,O,X,X,X,X,X
TOZJLSI,O,O,X,X,X,O,X,X,X,X,X
TOZJSIL,O,X,X,X,X,O,X,X,X,X,X
TOZJSLI,O,X,X,X,X,O,X,X,X,X,X
TOZSILJ,O,O,X,X,X,O,X,X,X,O,X
TOZSIJL,O,X,X,X,X,O,X,X,X,O,X
TOZSLIJ,O,O,X,X,X,O,X,X,X,X,X
TOZSLJI,O,O,X,X,X,O,X,X,X,X,X
TOZSJIL,O,X,X,X,X,O,X,X,X,X,X
TOZSJLI,O,X,X,X,X,O,X,X,X,X,X
ITLJSZO,X,X,X,O,O,X,O,O,X,X,X
ITLJSOZ,X,X,X,O,O,X,O,O,O,X,X
ITLJZSO,X,X,X,X,O,X,O,O,X,X,X
ITLJZOS,X,X,X,X,O,X,O,O,X,X,X
ITLJOSZ,X,X,X,O,O,X,O,O,O,X,X
ITLJOZS,X,X,X,X,O,X,O,O,X,X,X
ITLSJZO,X,X,X,O,O,X,O,O,X,X,X
ITLSJOZ,X,X,X,O,O,X,O,O,O,X,X
ITLSZJO,X,X,X,O,O,X,X,X,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,X,O,X,X
ITLSOJZ,X,X,X,X,X,X,X,O,O,X,X
ITLSOZJ,X,X,X,X,X,X,X,X,O,X,X
ITLZJSO,X,X,X,X,O,X,O,O,X,X,X
ITLZJOS,X,X,X,X,O,X,O,O,X,X,X
ITLZSJO,X,X,X,X,O,X,X,X,X,X,X
ITLZSOJ,X,X,X,X,X,X,X,X,O,X,X
ITLZOJS,X,X,X,X,X,X,X,O,X,O,X
ITLZOSJ,X,X,X,X,X,X,X,X,O,O,X
ITLOJSZ,X,X,X,X,X,X,O,O,O,X,X
ITLOJZS,X,X,X,X,X,X,O,O,X,X,X
ITLOSJZ,X,X,X,X,X,X,X,O,O,X,X
ITLOSZJ,X,X,X,X,X,X,X,X,O,X,X
ITLOZJS,X,X,X,X,X,X,X,O,X,O,X
ITLOZSJ,X,X,X,X,X,X,X,X,O,O,X
ITJLSZO,X,X,X,O,O,X,O,O,X,X,X
ITJLSOZ,X,X,X,O,O,X,O,O,O,X,X
ITJLZSO,X,X,X,X,O,X,O,O,X,X,X
ITJLZOS,X,X,X,X,O,X,O,O,X,X,X
ITJLOSZ,X,X,X,O,O,X,O,O,O,X,X
ITJLOZS,X,X,X,X,O,X,O,O,X,X,X
ITJSLZO,X,X,X,O,O,X,X,O,X,X,X
ITJSLOZ,X,X,X,O,O,X,X,O,O,X,X
ITJSZLO,X,X,X,O,O,X,X,O,X,X,X
ITJSZOL,X,X,X,O,O,X,X,O,X,X,X
ITJSOLZ,X,X,X,O,O,X,X,O,O,X,X
ITJSOZL,X,X,X,O,O,X,X,O,X,X,X
ITJZLSO,X,X,X,X,O,X,X,O,X,X,X
ITJZLOS,X,X,X,X,O,X,X,O,X,X,X
ITJZSLO,X,X,X,O,O,X,X,O,X,X,X
ITJZSOL,X,X,X,O,O,X,X,O,X,X,X
ITJZOLS,X,X,X,X,O,X,X,O,X,O,X
ITJZOSL,X,X,X,O,O,X,X,O,X,O,X
ITJOLSZ,X,X,X,O,O,X,O,O,O,X,X
ITJOLZS,X,X,X,X,O,X,O,O,X,X,X
ITJOSLZ,X,X,X,O,O,X,X,O,O,X,X
ITJOSZL,X,X,X,O,O,X,X,O,X,X,X
ITJOZLS,X,X,X,X,O,X,X,O,X,O,X
ITJOZSL,X,X,X,O,O,X,X,O,X,O,X
ITSLJZO,X,X,X,O,O,X,X,O,X,X,X
ITSLJOZ,X,X,X,O,O,X,X,O,O,X,X
ITSLZJO,X,X,X,O,O,X,X,X,X,X,X
ITSLZOJ,X,X,X,X,X,X,X,X,O,O,X
ITSLOJZ,X,X,X,X,X,X,X,O,O,X,X
ITSLOZJ,X,X,X,X,X,X,X,X,O,O,X
ITSJLZO,X,X,X,O,O,X,X,O,X,X,X
ITSJLOZ,X,X,X,O,O,X,X,O,O,X,X
ITSJZLO,X,X,X,O,O,X,X,O,X,X,X
ITSJZOL,X,X,X,O,O,X,X,O,X,O,X
ITSJOLZ,X,X,X,O,O,X,X,O,O,X,X
ITSJOZL,X,X,X,O,O,X,X,O,X,O,X
ITSZLJO,X,X,X,O,O,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,X,X,X,X,O,O,X
ITSZJLO,X,X,X,O,O,X,X,X,X,X,X
ITSZJOL,X,X,X,O,O,X,X,X,X,O,X
ITSZOLJ,X,X,X,X,X,X,X,X,O,O,X
ITSZOJL,X,X,X,O,O,X,X,X,X,O,X
ITSOLJZ,X,X,X,X,X,X,X,O,O,X,X
ITSOLZJ,X,X,X,X,X,X,X,X,O,O,X
ITSOJLZ,X,X,X,O,O,X,X,O,O,X,X
ITSOJZL,X,X,X,O,O,X,X,O,X,O,X
ITSOZLJ,X,X,X,X,X,X,X,X,O,O,X
ITSOZJL,X,X,X,O,O,X,X,X,X,O,X
ITZLJSO,X,X,X,X,O,X,X,O,X,X,X
ITZLJOS,X,X,X,X,O,X,X,O,X,X,X
ITZLSJO,X,X,X,X,O,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,X,X,X,X,O,X,X
ITZLOJS,X,X,X,X,X,X,X,O,X,O,X
ITZLOSJ,X,X,X,X,X,X,X,X,O,O,X
ITZJLSO,X,X,X,X,O,X,X,O,X,X,X
ITZJLOS,X,X,X,X,O,X,X,O,X,X,X
ITZJSLO,X,X,X,O,O,X,X,O,X,X,X
ITZJSOL,X,X,X,O,O,X,X,O,X,X,X
ITZJOLS,X,X,X,X,O,X,X,O,X,O,X
ITZJOSL,X,X,X,O,O,X,X,O,X,O,X
ITZSLJO,X,X,X,O,O,X,X,X,X,X,X
ITZSLOJ,X,X,X,X,X,X,X,X,O,X,X
ITZSJLO,X,X,X,O,O,X,X,X,X,X,X
ITZSJOL,X,X,X,O,O,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,O,O,X
ITZSOJL,X,X,X,O,O,X,X,X,X,O,X
ITZOLJS,X,X,X,X,X,X,X,O,X,O,X
ITZOLSJ,X,X,X,X,X,X,X,X,O,O,X
ITZOJLS,X,X,X,X,O,X,X,O,X,O,X
ITZOJSL,X,X,X,X,O,X,X,O,X,O,X
ITZOSLJ,X,X,X,X,X,X,X,X,O,O,X
ITZOSJL,X,X,X,X,O,X,X,X,X,O,X
ITOLJSZ,X,X,X,X,X,X,X,O,O,X,X
ITOLJZS,X,X,X,X,X,X,X,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,X,O,O,X,X
ITOLSZJ,X,X,X,X,X,X,X,X,O,X,X
ITOLZJS,X,X,X,X,X,X,X,O,X,O,X
ITOLZSJ,X,X,X,X,X,X,X,X,O,O,X
ITOJLSZ,X,X,X,O,O,X,X,O,O,X,X
ITOJLZS,X,X,X,X,O,X,X,O,X,X,X
ITOJSLZ,X,X,X,O,O,X,X,O,O,X,X
ITOJSZL,X,X,X,O,O,X,X,O,X,X,X
ITOJZLS,X,X,X,X,O,X,X,O,X,O,X
ITOJZSL,X,X,X,O,O,X,X,O,X,O,X
ITOSLJZ,X,X,X,X,X,X,X,O,O,X,X
ITOSLZJ,X,X,X,X,X,X,X,X,O,O,X
ITOSJLZ,X,X,X,O,O,X,X,O,O,X,X
ITOSJZL,X,X,X,O,O,X,X,O,X,O,X
ITOSZLJ,X,X,X,X,X,X,X,X,O,O,X
ITOSZJL,X,X,X,O,O,X,X,X,X,O,X
ITOZLJS,X,X,X,X,X,X,X,O,X,O,X
ITOZLSJ,X,X,X,X,X,X,X,X,O,O,X
ITOZJLS,X,X,X,X,O,X,X,O,X,O,X
ITOZJSL,X,X,X,X,O,X,X,O,X,O,X
ITOZSLJ,X,X,X,X,X,X,X,X,O,O,X
ITOZSJL,X,X,X,X,O,X,X,X,X,O,X
ILTJSZO,X,X,X,O,O,X,O,O,X,X,X
ILTJSOZ,X,X,X,O,O,X,O,O,O,X,X
ILTJZSO,X,X,X,X,O,X,O,O,X,X,X
ILTJZOS,X,X,X,X,O,X,O,O,X,X,X
ILTJOSZ,X,X,X,O,O,X,O,O,O,X,X
ILTJOZS,X,X,X,X,O,X,O,O,X,X,X
ILTSJZO,X,X,X,O,O,X,O,O,X,X,X
ILTSJOZ,X,X,X,O,O,X,O,O,O,X,X
ILTSZJO,X,X,X,O,O,X,X,X,X,X,X
ILTSZOJ,X,X,X,X,X,O,X,X,O,X,X
ILTSOJZ,X,X,X,X,X,X,X,O,O,X,X
ILTSOZJ,X,X,X,X,X,O,X,X,O,X,X
ILTZJSO,X,X,X,X,O,X,O,O,X,X,X
ILTZJOS,X,X,X,X,O,X,O,O,X,X,X
ILTZSJO,X,X,X,X,O,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,X,O,X,X,O,X,X
ILTZOJS,X,X,X,X,X,O,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,O,X,X,O,X,X
ILTOJSZ,X,X,X,X,X,X,O,O,O,X,X
ILTOJZS,X,X,X,X,X,X,O,O,X,X,X
ILTOSJZ,X,X,X,X,X,X,X,O,O,X,X
ILTOSZJ,X,X,X,X,X,O,X,X,O,X,X
ILTOZJS,X,X,X,X,X,O,X,O,X,X,X
ILTOZSJ,X,X,X,X,X,O,X,X,O,X,X
ILJTSZO,X,X,X,O,O,X,O,X,X,X,X
ILJTSOZ,X,X,X,O,O,X,O,X,O,X,X
ILJTZSO,X,X,X,X,O,X,O,X,X,X,X
ILJTZOS,X,X,X,X,O,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,O,X,O,X,O,X,X
ILJTOZS,X,X,X,X,O,X,O,X,X,X,X
ILJSTZO,X,X,X,O,X,X,O,X,X,X,X
ILJSTOZ,X,X,O,O,X,X,O,X,O,X,X
ILJSZTO,X,X,O,O,X,X,O,X,X,X,X
