sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
LZJITSO,X,X,O,O,O,X
LZJITOS,X,X,O,O,X,X
LZJISTO,O,X,O,O,O,X
LZJISOT,O,X,O,O,X,X
LZJIOTS,X,X,O,O,X,X
LZJIOST,X,X,O,O,X,X
LZJSTIO,O,O,X,X,O,X
LZJSTOI,X,O,X,X,O,X
LZJSITO,O,O,X,X,O,X
LZJSIOT,O,O,X,X,X,X
LZJSOTI,X,O,X,X,X,X
LZJSOIT,O,O,X,X,X,X
LZJOTIS,X,X,O,O,O,X
LZJOTSI,X,O,X,X,O,X
LZJOITS,X,X,O,O,O,X
LZJOIST,X,X,O,O,O,X
LZJOSTI,X,O,X,X,O,X
LZJOSIT,X,O,X,X,O,X
LZSTIJO,O,O,X,X,O,X
LZSTIOJ,O,X,X,X,O,O
LZSTJIO,O,O,X,X,O,X
LZSTJOI,X,O,X,X,O,X
LZSTOIJ,O,X,X,X,O,O
LZSTOJI,O,X,X,X,O,O
LZSITJO,O,O,X,X,O,X
LZSITOJ,O,X,X,X,O,X
LZSIJTO,O,O,X,X,O,X
LZSIJOT,O,O,X,X,X,X
LZSIOTJ,O,X,X,X,O,X
LZSIOJT,O,O,X,X,X,X
LZSJTIO,O,O,X,X,O,X
LZSJTOI,X,O,X,X,O,X
LZSJITO,O,O,X,X,O,X
LZSJIOT,O,O,X,X,X,X
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,X,X,X,X
LZSOTIJ,O,X,X,X,O,O
LZSOTJI,O,X,X,X,O,O
LZSOITJ,O,X,X,X,O,O
LZSOIJT,O,O,X,X,O,X
LZSOJTI,O,O,X,X,O,O
LZSOJIT,O,O,X,X,O,X
LZOTIJS,X,X,O,X,O,X
LZOTISJ,X,X,O,X,O,X
LZOTJIS,X,X,O,X,O,X
LZOTJSI,X,X,X,X,O,X
LZOTSIJ,X,X,X,X,O,O
LZOTSJI,X,X,X,X,O,O
LZOITJS,X,X,O,X,O,X
LZOITSJ,X,X,O,X,O,X
LZOIJTS,X,X,O,O,O,X
LZOIJST,O,X,O,O,O,X
LZOISTJ,O,X,O,X,O,O
LZOISJT,O,X,O,X,O,X
LZOJTIS,X,X,O,O,O,X
LZOJTSI,X,O,X,X,O,X
LZOJITS,X,X,O,O,O,X
LZOJIST,O,X,O,O,O,X
LZOJSTI,O,O,X,X,O,O
LZOJSIT,O,O,X,X,O,X
LZOSTIJ,O,X,X,X,O,O
LZOSTJI,O,X,X,X,O,O
LZOSITJ,O,X,X,X,O,O
LZOSIJT,O,O,X,X,O,X
LZOSJTI,O,O,X,X,O,O
LZOSJIT,O,O,X,X,O,X
LOTIJSZ,X,X,X,O,X,O
LOTIJZS,X,X,X,O,O,X
LOTISJZ,X,X,X,X,X,O
LOTISZJ,X,X,O,X,O,O
LOTIZJS,X,X,O,X,O,X
LOTIZSJ,X,X,O,X,O,O
LOTJISZ,X,X,X,O,X,O
LOTJIZS,X,X,X,O,O,X
LOTJSIZ,X,X,X,O,X,O
LOTJSZI,X,X,X,X,X,O
LOTJZIS,X,X,X,O,O,X
LOTJZSI,X,X,X,X,O,X
LOTSIJZ,X,X,X,X,X,O
LOTSIZJ,X,X,X,X,O,O
LOTSJIZ,X,X,X,X,X,O
LOTSJZI,X,X,X,X,X,O
LOTSZIJ,X,X,X,X,O,O
LOTSZJI,X,X,X,X,O,O
LOTZIJS,X,X,O,X,O,X
LOTZISJ,X,X,O,X,O,O
LOTZJIS,X,X,O,X,O,X
LOTZJSI,X,X,X,X,O,X
LOTZSIJ,X,X,X,X,O,O
LOTZSJI,X,X,X,X,O,O
LOITJSZ,X,X,X,O,X,O
LOITJZS,X,X,X,O,O,X
LOITSJZ,X,X,X,X,X,O
LOITSZJ,X,X,O,X,O,O
LOITZJS,X,X,O,X,O,X
LOITZSJ,X,X,O,X,O,O
LOIJTSZ,X,X,X,O,X,O
LOIJTZS,X,X,X,O,O,X
LOIJSTZ,O,X,X,O,X,X
LOIJSZT,O,X,X,O,X,X
LOIJZTS,X,X,X,O,O,X
LOIJZST,X,X,X,O,O,X
LOISTJZ,O,X,X,X,X,O
LOISTZJ,X,X,O,X,O,O
LOISJTZ,O,X,X,O,X,X
LOISJZT,O,X,X,O,X,X
LOISZTJ,X,X,O,X,O,O
LOISZJT,O,X,O,X,O,X
LOIZTJS,X,X,O,X,O,X
LOIZTSJ,X,X,O,X,O,O
LOIZJTS,X,X,O,O,O,X
LOIZJST,X,X,O,O,O,X
LOIZSTJ,X,X,O,X,O,O
LOIZSJT,X,X,O,X,O,X
LOJTISZ,X,X,X,O,X,O
LOJTIZS,X,X,X,O,O,X
LOJTSIZ,X,O,X,O,X,O
LOJTSZI,X,O,X,X,X,O
LOJTZIS,X,X,X,O,O,X
LOJTZSI,X,O,X,X,O,X
LOJITSZ,X,X,X,O,X,O
LOJITZS,X,X,X,O,O,X
LOJISTZ,O,X,X,O,X,X
LOJISZT,O,X,X,O,X,X
LOJIZTS,X,X,X,O,O,X
LOJIZST,X,X,X,O,O,X
LOJSTIZ,O,O,X,O,X,O
LOJSTZI,O,O,X,X,X,O
LOJSITZ,O,O,X,O,X,X
LOJSIZT,O,O,X,O,X,X
LOJSZTI,O,O,X,X,X,O
LOJSZIT,O,O,X,X,X,X
LOJZTIS,X,X,X,O,O,X
LOJZTSI,X,O,X,X,O,X
LOJZITS,X,X,X,O,O,X
LOJZIST,O,X,X,O,O,X
LOJZSTI,O,O,X,X,O,O
LOJZSIT,O,O,X,X,O,X
LOSTIJZ,O,X,X,X,X,O
LOSTIZJ,X,X,X,X,O,O
LOSTJIZ,O,X,X,X,X,O
LOSTJZI,O,X,X,X,X,O
LOSTZIJ,O,X,X,X,O,O
LOSTZJI,O,X,X,X,O,O
LOSITJZ,O,X,X,X,X,O
LOSITZJ,X,X,X,X,O,O
LOSIJTZ,O,O,X,O,X,X
LOSIJZT,O,O,X,O,X,X
LOSIZTJ,O,X,X,X,O,O
LOSIZJT,O,O,X,X,O,X
LOSJTIZ,O,O,X,O,X,O
LOSJTZI,O,O,X,X,X,O
LOSJITZ,O,O,X,O,X,X
LOSJIZT,O,O,X,O,X,X
LOSJZTI,O,O,X,X,X,O
LOSJZIT,O,O,X,X,X,X
LOSZTIJ,O,X,X,X,O,O
LOSZTJI,O,X,X,X,O,O
LOSZITJ,O,X,X,X,O,O
LOSZIJT,O,O,X,X,O,X
LOSZJTI,O,O,X,X,O,O
LOSZJIT,O,O,X,X,O,X
LOZTIJS,X,X,O,X,O,X
LOZTISJ,X,X,O,X,O,O
LOZTJIS,X,X,O,X,O,X
LOZTJSI,X,X,X,X,O,X
LOZTSIJ,X,X,X,X,O,O
LOZTSJI,X,X,X,X,O,O
LOZITJS,X,X,O,X,O,X
LOZITSJ,X,X,O,X,O,O
LOZIJTS,X,X,O,O,O,X
LOZIJST,O,X,O,O,O,X
LOZISTJ,O,X,O,X,O,O
LOZISJT,O,X,O,X,O,X
LOZJTIS,X,X,O,O,O,X
LOZJTSI,X,O,X,X,O,X
LOZJITS,X,X,O,O,O,X
LOZJIST,O,X,O,O,O,X
LOZJSTI,O,O,X,X,O,O
LOZJSIT,O,O,X,X,O,X
LOZSTIJ,O,X,X,X,O,O
LOZSTJI,O,X,X,X,O,O
LOZSITJ,O,X,X,X,O,O
LOZSIJT,O,O,X,X,O,X
LOZSJTI,O,O,X,X,O,O
LOZSJIT,O,O,X,X,O,X
JTILSZO,X,X,X,O,X,X
JTILSOZ,X,X,X,O,X,X
JTILZSO,X,X,X,O,O,X
JTILZOS,X,X,X,O,X,X
JTILOSZ,X,X,X,O,X,X
JTILOZS,X,X,X,O,O,X
JTISLZO,O,X,X,O,X,X
JTISLOZ,O,O,X,O,X,X
JTISZLO,X,O,O,O,X,X
JTISZOL,X,O,O,O,X,O
JTISOLZ,X,O,X,O,X,O
JTISOZL,X,O,O,O,X,O
JTIZLSO,X,X,O,O,O,X
JTIZLOS,X,X,O,O,X,X
JTIZSLO,X,O,O,O,X,X
JTIZSOL,X,O,O,O,X,X
JTIZOLS,X,X,O,O,X,X
JTIZOSL,X,O,O,O,X,X
JTIOLSZ,X,X,X,O,X,O
JTIOLZS,X,X,X,O,X,X
JTIOSLZ,X,O,X,O,X,O
JTIOSZL,X,O,O,O,X,O
JTIOZLS,X,X,O,O,X,X
JTIOZSL,X,O,O,O,X,X
JTLISZO,X,X,X,O,X,X
JTLISOZ,X,X,X,O,X,X
JTLIZSO,X,X,X,O,O,X
JTLIZOS,X,X,X,O,X,X
JTLIOSZ,X,X,X,O,X,X
JTLIOZS,X,X,X,O,O,X
JTLSIZO,X,X,X,O,X,X
JTLSIOZ,X,O,X,O,X,X
JTLSZIO,X,O,X,X,X,X
JTLSZOI,X,O,X,X,X,X
JTLSOIZ,X,O,X,O,X,X
JTLSOZI,X,O,X,X,X,X
JTLZISO,X,X,X,O,O,X
JTLZIOS,X,X,X,O,X,X
JTLZSIO,X,O,X,X,O,X
JTLZSOI,X,O,X,X,O,X
JTLZOIS,X,X,X,O,O,X
JTLZOSI,X,O,X,X,O,X
JTLOISZ,X,X,X,O,X,X
JTLOIZS,X,X,X,O,O,X
JTLOSIZ,X,O,X,O,X,X
JTLOSZI,X,O,X,X,X,X
JTLOZIS,X,X,X,O,O,X
JTLOZSI,X,O,X,X,O,X
JTSILZO,O,X,X,O,X,X
JTSILOZ,O,O,X,O,X,X
JTSIZLO,X,O,X,O,X,X
JTSIZOL,X,O,X,O,X,O
JTSIOLZ,X,O,X,O,X,O
JTSIOZL,X,O,X,O,X,O
JTSLIZO,O,X,X,O,X,X
JTSLIOZ,O,O,X,O,X,X
JTSLZIO,O,O,X,X,X,X
JTSLZOI,X,O,X,X,X,X
JTSLOIZ,O,O,X,O,X,X
JTSLOZI,O,O,X,X,X,X
JTSZILO,O,O,X,X,X,X
JTSZIOL,X,O,X,X,X,O
JTSZLIO,O,O,X,X,X,X
JTSZLOI,X,O,X,X,X,X
JTSZOIL,X,O,X,X,X,O
JTSZOLI,X,O,X,X,X,O
JTSOILZ,O,O,X,O,X,O
JTSOIZL,X,O,X,O,X,O
JTSOLIZ,O,O,X,O,X,O
JTSOLZI,O,O,X,X,X,O
JTSOZIL,O,O,X,X,X,O
JTSOZLI,O,O,X,X,X,O
JTZILSO,X,X,O,O,O,X
JTZILOS,X,X,O,O,X,X
JTZISLO,O,O,O,O,X,X
JTZISOL,X,O,O,O,X,X
JTZIOLS,X,X,O,O,X,X
JTZIOSL,X,O,O,O,X,X
JTZLISO,X,X,O,O,O,X
JTZLIOS,X,X,O,O,X,X
JTZLSIO,X,O,X,X,O,X
JTZLSOI,X,O,X,X,O,X
JTZLOIS,X,X,O,O,O,X
JTZLOSI,X,O,X,X,O,X
JTZSILO,O,O,O,X,X,X
JTZSIOL,X,O,O,X,X,X
JTZSLIO,O,O,X,X,O,X
JTZSLOI,X,O,X,X,O,X
JTZSOIL,X,O,O,X,X,X
JTZSOLI,X,O,X,X,X,X
JTZOILS,X,X,O,O,X,X
JTZOISL,X,O,O,O,X,X
JTZOLIS,X,X,O,O,O,X
JTZOLSI,X,O,X,X,O,X
JTZOSIL,X,O,O,X,X,X
JTZOSLI,X,O,X,X,O,X
JTOILSZ,X,X,X,O,X,O
JTOILZS,X,X,X,O,X,X
JTOISLZ,O,O,X,O,X,O
JTOISZL,X,O,O,O,X,O
JTOIZLS,X,X,O,O,X,X
JTOIZSL,X,O,O,O,X,X
JTOLISZ,X,X,X,O,X,O
JTOLIZS,X,X,X,O,O,X
JTOLSIZ,X,O,X,O,X,O
JTOLSZI,X,O,X,X,X,O
JTOLZIS,X,X,X,O,O,X
JTOLZSI,X,O,X,X,O,X
JTOSILZ,O,O,X,O,X,O
JTOSIZL,X,O,X,O,X,O
JTOSLIZ,O,O,X,O,X,O
JTOSLZI,O,O,X,X,X,O
JTOSZIL,O,O,X,X,X,O
JTOSZLI,O,O,X,X,X,O
JTOZILS,X,X,O,O,X,X
JTOZISL,O,O,O,O,X,X
JTOZLIS,X,X,O,O,O,X
JTOZLSI,X,O,X,X,O,X
JTOZSIL,O,O,O,X,X,X
JTOZSLI,O,O,X,X,O,X
JITLSZO,X,X,X,O,X,X
JITLSOZ,X,X,X,O,X,X
JITLZSO,X,X,X,O,O,X
JITLZOS,X,X,X,O,X,X
JITLOSZ,X,X,X,O,X,X
JITLOZS,X,X,X,O,O,X
JITSLZO,O,X,X,O,X,X
JITSLOZ,O,O,X,O,X,X
JITSZLO,X,O,O,O,X,X
JITSZOL,X,O,O,O,X,O
JITSOLZ,X,O,X,O,X,O
JITSOZL,X,O,O,O,X,O
JITZLSO,X,X,O,O,O,X
JITZLOS,X,X,O,O,X,X
JITZSLO,X,O,O,O,X,X
JITZSOL,X,O,O,O,X,X
JITZOLS,X,X,O,O,X,X
JITZOSL,X,O,O,O,X,X
JITOLSZ,X,X,X,O,X,O
JITOLZS,X,X,X,O,X,X
JITOSLZ,X,O,X,O,X,O
JITOSZL,X,O,O,O,X,O
JITOZLS,X,X,O,O,X,X
JITOZSL,X,O,O,O,X,X
JILTSZO,X,X,X,O,X,X
JILTSOZ,X,X,X,O,X,X
JILTZSO,X,X,X,O,O,X
JILTZOS,X,X,X,O,X,X
JILTOSZ,X,X,X,O,X,X
JILTOZS,X,X,X,O,O,X
JILSTZO,O,X,X,O,X,X
JILSTOZ,O,X,X,O,X,X
JILSZTO,O,X,X,O,X,X
JILSZOT,O,X,X,O,X,X
JILSOTZ,O,X,X,O,X,X
JILSOZT,O,X,X,O,X,X
JILZTSO,X,X,X,O,O,X
JILZTOS,X,X,X,O,X,X
JILZSTO,X,X,X,O,O,X
JILZSOT,X,X,X,O,X,X
JILZOTS,X,X,X,O,X,X
JILZOST,X,X,X,O,X,X
JILOTSZ,X,X,X,O,X,X
JILOTZS,X,X,X,O,O,X
JILOSTZ,X,X,X,O,X,X
JILOSZT,X,X,X,O,X,X
JILOZTS,X,X,X,O,O,X
JILOZST,X,X,X,O,O,X
JISTLZO,O,X,X,O,X,X
JISTLOZ,O,O,X,O,X,X
JISTZLO,X,O,O,O,X,X
JISTZOL,X,O,O,O,X,X
JISTOLZ,X,O,X,O,X,X
JISTOZL,X,O,O,O,X,X
JISLTZO,O,X,X,O,X,X
JISLTOZ,O,O,X,O,X,X
JISLZTO,O,O,X,O,X,X
JISLZOT,O,O,X,O,X,X
JISLOTZ,O,O,X,O,X,X
JISLOZT,O,O,X,O,X,X
JISZTLO,O,O,O,O,X,X
JISZTOL,X,O,O,O,X,X
JISZLTO,O,O,O,O,X,X
JISZLOT,O,O,O,O,X,X
JISZOTL,O,O,O,O,X,X
JISZOLT,O,O,O,O,X,X
JISOTLZ,O,O,X,O,X,X
JISOTZL,X,O,O,O,X,X
JISOLTZ,O,O,X,O,X,X
JISOLZT,O,O,X,O,X,X
JISOZTL,O,O,O,O,X,X
JISOZLT,O,O,O,O,X,X
JIZTLSO,X,X,O,O,O,X
JIZTLOS,X,X,O,O,X,X
JIZTSLO,O,O,O,O,X,X
JIZTSOL,X,O,O,O,X,X
JIZTOLS,X,X,O,O,X,X
JIZTOSL,X,O,O,O,X,X
JIZLTSO,X,X,O,O,O,X
JIZLTOS,X,X,O,O,X,X
JIZLSTO,O,X,O,O,O,X
JIZLSOT,O,X,O,O,X,X
JIZLOTS,X,X,O,O,X,X
JIZLOST,X,X,O,O,X,X
JIZSTLO,O,O,O,O,X,X
JIZSTOL,X,O,O,O,X,X
JIZSLTO,O,O,O,O,X,X
JIZSLOT,O,O,O,O,X,X
JIZSOTL,O,O,O,O,X,X
JIZSOLT,O,O,O,O,X,X
JIZOTLS,X,X,O,O,X,X
JIZOTSL,O,O,O,O,X,X
JIZOLTS,X,X,O,O,X,X
JIZOLST,O,X,O,O,X,X
JIZOSTL,O,O,O,O,X,X
JIZOSLT,O,O,O,O,X,X
JIOTLSZ,X,X,X,O,X,O
JIOTLZS,X,X,X,O,X,X
JIOTSLZ,O,O,X,O,X,O
JIOTSZL,X,O,O,O,X,O
JIOTZLS,X,X,O,O,X,X
JIOTZSL,X,O,O,O,X,X
JIOLTSZ,X,X,X,O,X,O
JIOLTZS,X,X,X,O,X,X
JIOLSTZ,O,X,X,O,X,X
JIOLSZT,O,X,X,O,X,X
JIOLZTS,X,X,X,O,X,X
JIOLZST,X,X,X,O,X,X
JIOSTLZ,O,O,X,O,X,X
JIOSTZL,X,O,O,O,X,X
JIOSLTZ,O,O,X,O,X,X
JIOSLZT,O,O,X,O,X,X
JIOSZTL,O,O,O,O,X,X
JIOSZLT,O,O,O,O,X,X
JIOZTLS,X,X,O,O,X,X
JIOZTSL,O,O,O,O,X,X
JIOZLTS,X,X,O,O,X,X
JIOZLST,O,X,O,O,X,X
JIOZSTL,O,O,O,O,X,X
JIOZSLT,O,O,O,O,X,X
JLTISZO,X,X,X,O,X,X
JLTISOZ,X,X,X,O,X,X
JLTIZSO,X,X,X,O,O,X
JLTIZOS,X,X,X,O,X,X
JLTIOSZ,X,X,X,O,X,X
JLTIOZS,X,X,X,O,O,X
JLTSIZO,X,X,X,O,X,X
JLTSIOZ,X,O,X,O,X,X
JLTSZIO,X,O,X,X,X,X
JLTSZOI,X,O,X,X,X,X
JLTSOIZ,X,O,X,O,X,X
JLTSOZI,X,O,X,X,X,X
JLTZISO,X,X,X,O,O,X
JLTZIOS,X,X,X,O,X,X
JLTZSIO,X,O,X,X,O,X
JLTZSOI,X,O,X,X,O,X
JLTZOIS,X,X,X,O,O,X
JLTZOSI,X,O,X,X,O,X
JLTOISZ,X,X,X,O,X,X
JLTOIZS,X,X,X,O,O,X
JLTOSIZ,X,O,X,O,X,X
JLTOSZI,X,O,X,X,X,X
JLTOZIS,X,X,X,O,O,X
JLTOZSI,X,O,X,X,O,X
JLITSZO,X,X,X,O,X,X
JLITSOZ,X,X,X,O,X,X
JLITZSO,X,X,X,O,O,X
JLITZOS,X,X,X,O,X,X
JLITOSZ,X,X,X,O,X,X
JLITOZS,X,X,X,O,O,X
JLISTZO,O,X,X,O,X,X
JLISTOZ,O,X,X,O,X,X
JLISZTO,O,X,X,O,X,X
JLISZOT,O,X,X,O,X,X
JLISOTZ,O,X,X,O,X,X
JLISOZT,O,X,X,O,X,X
JLIZTSO,X,X,X,O,O,X
JLIZTOS,X,X,X,O,X,X
JLIZSTO,X,X,X,O,O,X
JLIZSOT,X,X,X,O,X,X
JLIZOTS,X,X,X,O,X,X
JLIZOST,X,X,X,O,X,X
JLIOTSZ,X,X,X,O,X,X
JLIOTZS,X,X,X,O,O,X
JLIOSTZ,X,X,X,O,X,X
JLIOSZT,X,X,X,O,X,X
JLIOZTS,X,X,X,O,O,X
JLIOZST,X,X,X,O,O,X
JLSTIZO,O,X,X,O,X,X
JLSTIOZ,O,O,X,O,X,X
JLSTZIO,O,O,X,X,X,X
JLSTZOI,X,O,X,X,X,X
JLSTOIZ,O,O,X,O,X,X
JLSTOZI,O,O,X,X,X,X
JLSITZO,O,X,X,O,X,X
JLSITOZ,O,O,X,O,X,X
JLSIZTO,O,O,X,O,X,X
JLSIZOT,O,O,X,O,X,X
JLSIOTZ,O,O,X,O,X,X
JLSIOZT,O,O,X,O,X,X
JLSZTIO,O,O,X,X,X,X
JLSZTOI,X,O,X,X,X,X
JLSZITO,O,O,X,X,X,X
JLSZIOT,O,O,X,X,X,X
JLSZOTI,O,O,X,X,X,X
JLSZOIT,O,O,X,X,X,X
JLSOTIZ,O,O,X,O,X,X
JLSOTZI,O,O,X,X,X,X
JLSOITZ,O,O,X,O,X,X
JLSOIZT,O,O,X,O,X,X
JLSOZTI,O,O,X,X,X,X
JLSOZIT,O,O,X,X,X,X
JLZTISO,X,X,X,O,O,X
JLZTIOS,X,X,X,O,X,X
JLZTSIO,X,O,X,X,O,X
JLZTSOI,X,O,X,X,O,X
JLZTOIS,X,X,X,O,O,X
JLZTOSI,X,O,X,X,O,X
JLZITSO,X,X,X,O,O,X
JLZITOS,X,X,X,O,X,X
JLZISTO,O,X,X,O,O,X
JLZISOT,O,X,X,O,X,X
JLZIOTS,X,X,X,O,X,X
JLZIOST,X,X,X,O,X,X
JLZSTIO,O,O,X,X,O,X
JLZSTOI,X,O,X,X,O,X
JLZSITO,O,O,X,X,O,X
JLZSIOT,O,O,X,X,X,X
JLZSOTI,X,O,X,X,X,X
JLZSOIT,O,O,X,X,X,X
JLZOTIS,X,X,X,O,O,X
JLZOTSI,X,O,X,X,O,X
JLZOITS,X,X,X,O,O,X
JLZOIST,X,X,X,O,O,X
JLZOSTI,X,O,X,X,O,X
JLZOSIT,X,O,X,X,O,X
JLOTISZ,X,X,X,O,X,X
JLOTIZS,X,X,X,O,O,X
JLOTSIZ,X,O,X,O,X,X
JLOTSZI,X,O,X,X,X,X
JLOTZIS,X,X,X,O,O,X
JLOTZSI,X,O,X,X,O,X
JLOITSZ,X,X,X,O,X,X
JLOITZS,X,X,X,O,O,X
JLOISTZ,O,X,X,O,X,X
JLOISZT,O,X,X,O,X,X
JLOIZTS,X,X,X,O,O,X
JLOIZST,X,X,X,O,O,X
JLOSTIZ,O,O,X,O,X,X
JLOSTZI,O,O,X,X,X,X
JLOSITZ,O,O,X,O,X,X
JLOSIZT,O,O,X,O,X,X
JLOSZTI,O,O,X,X,X,X
JLOSZIT,O,O,X,X,X,X
JLOZTIS,X,X,X,O,O,X
JLOZTSI,X,O,X,X,O,X
JLOZITS,X,X,X,O,O,X
JLOZIST,O,X,X,O,O,X
JLOZSTI,O,O,X,X,O,X
JLOZSIT,O,O,X,X,O,X
JSTILZO,O,X,X,O,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,X,O,X,O,X,X
JSTIZOL,X,O,X,O,X,O
JSTIOLZ,X,O,X,O,X,O
JSTIOZL,X,O,X,O,X,O
JSTLIZO,O,X,X,O,X,X
JSTLIOZ,O,O,X,O,X,X
JSTLZIO,O,O,X,X,X,X
JSTLZOI,X,O,X,X,X,X
JSTLOIZ,O,O,X,O,X,X
JSTLOZI,O,O,X,X,X,X
JSTZILO,O,O,X,X,X,X
JSTZIOL,X,O,X,X,X,O
JSTZLIO,O,O,X,X,X,X
JSTZLOI,X,O,X,X,X,X
JSTZOIL,X,O,X,X,X,O
JSTZOLI,X,O,X,X,X,O
JSTOILZ,O,O,X,O,X,O
JSTOIZL,X,O,X,O,X,O
JSTOLIZ,O,O,X,O,X,O
JSTOLZI,O,O,X,X,X,O
JSTOZIL,O,O,X,X,X,O
JSTOZLI,O,O,X,X,X,O
JSITLZO,O,X,X,O,X,X
JSITLOZ,O,O,X,O,X,X
JSITZLO,X,O,X,O,X,X
JSITZOL,X,O,X,O,X,X
JSITOLZ,X,O,X,O,X,X
JSITOZL,X,O,X,O,X,X
JSILTZO,O,X,X,O,X,X
JSILTOZ,O,O,X,O,X,X
JSILZTO,O,O,X,O,X,X
JSILZOT,O,O,X,O,X,X
JSILOTZ,O,O,X,O,X,X
JSILOZT,O,O,X,O,X,X
JSIZTLO,O,O,X,O,X,X
JSIZTOL,X,O,X,O,X,X
JSIZLTO,O,O,X,O,X,X
JSIZLOT,O,O,X,O,X,X
JSIZOTL,O,O,X,O,X,X
JSIZOLT,O,O,X,O,X,X
JSIOTLZ,O,O,X,O,X,X
JSIOTZL,X,O,X,O,X,X
JSIOLTZ,O,O,X,O,X,X
JSIOLZT,O,O,X,O,X,X
JSIOZTL,O,O,X,O,X,X
JSIOZLT,O,O,X,O,X,X
JSLTIZO,O,X,X,O,X,X
JSLTIOZ,O,O,X,O,X,X
JSLTZIO,O,O,X,X,X,X
JSLTZOI,X,O,X,X,X,X
JSLTOIZ,O,O,X,O,X,X
JSLTOZI,O,O,X,X,X,X
JSLITZO,O,X,X,O,X,X
JSLITOZ,O,O,X,O,X,X
JSLIZTO,O,O,X,O,X,X
JSLIZOT,O,O,X,O,X,X
JSLIOTZ,O,O,X,O,X,X
JSLIOZT,O,O,X,O,X,X
JSLZTIO,O,O,X,X,X,X
JSLZTOI,X,O,X,X,X,X
JSLZITO,O,O,X,X,X,X
JSLZIOT,O,O,X,X,X,X
JSLZOTI,O,O,X,X,X,X
JSLZOIT,O,O,X,X,X,X
JSLOTIZ,O,O,X,O,X,X
JSLOTZI,O,O,X,X,X,X
JSLOITZ,O,O,X,O,X,X
JSLOIZT,O,O,X,O,X,X
JSLOZTI,O,O,X,X,X,X
JSLOZIT,O,O,X,X,X,X
JSZTILO,O,O,X,X,X,X
JSZTIOL,X,O,X,X,X,O
JSZTLIO,O,O,X,X,X,X
JSZTLOI,X,O,X,X,X,X
JSZTOIL,X,O,X,X,X,O
JSZTOLI,X,O,X,X,X,O
JSZITLO,O,O,X,X,X,X
JSZITOL,X,O,X,X,X,X
JSZILTO,O,O,X,X,X,X
JSZILOT,O,O,X,X,X,X
JSZIOTL,O,O,X,X,X,X
JSZIOLT,O,O,X,X,X,X
JSZLTIO,O,O,X,X,X,X
JSZLTOI,X,O,X,X,X,X
JSZLITO,O,O,X,X,X,X
JSZLIOT,O,O,X,X,X,X
JSZLOTI,O,O,X,X,X,X
JSZLOIT,O,O,X,X,X,X
JSZOTIL,O,O,X,X,X,O
JSZOTLI,O,O,X,X,X,O
JSZOITL,O,O,X,X,X,X
JSZOILT,O,O,X,X,X,X
JSZOLTI,O,O,X,X,X,O
JSZOLIT,O,O,X,X,X,X
JSOTILZ,O,O,X,O,X,O
JSOTIZL,X,O,X,O,X,O
JSOTLIZ,O,O,X,O,X,O
JSOTLZI,O,O,X,X,X,O
JSOTZIL,O,O,X,X,X,O
JSOTZLI,O,O,X,X,X,O
JSOITLZ,O,O,X,O,X,X
JSOITZL,X,O,X,O,X,X
JSOILTZ,O,O,X,O,X,X
JSOILZT,O,O,X,O,X,X
JSOIZTL,O,O,X,O,X,X
JSOIZLT,O,O,X,O,X,X
JSOLTIZ,O,O,X,O,X,O
JSOLTZI,O,O,X,X,X,O
JSOLITZ,O,O,X,O,X,X
JSOLIZT,O,O,X,O,X,X
JSOLZTI,O,O,X,X,X,O
JSOLZIT,O,O,X,X,X,X
JSOZTIL,O,O,X,X,X,O
JSOZTLI,O,O,X,X,X,O
JSOZITL,O,O,X,X,X,X
JSOZILT,O,O,X,X,X,X
JSOZLTI,O,O,X,X,X,O
JSOZLIT,O,O,X,X,X,X
JZTILSO,X,X,O,O,O,X
JZTILOS,X,X,O,O,X,X
JZTISLO,O,O,O,O,X,X
JZTISOL,X,O,O,O,X,X
JZTIOLS,X,X,O,O,X,X
JZTIOSL,X,O,O,O,X,X
JZTLISO,X,X,O,O,O,X
JZTLIOS,X,X,O,O,X,X
JZTLSIO,X,O,X,X,O,X
JZTLSOI,X,O,X,X,O,X
JZTLOIS,X,X,O,O,O,X
JZTLOSI,X,O,X,X,O,X
JZTSILO,O,O,O,X,X,X
JZTSIOL,X,O,O,X,X,X
JZTSLIO,O,O,X,X,O,X
JZTSLOI,X,O,X,X,O,X
JZTSOIL,X,O,O,X,X,X
JZTSOLI,X,O,X,X,X,X
JZTOILS,X,X,O,O,X,X
JZTOISL,X,O,O,O,X,X
JZTOLIS,X,X,O,O,O,X
JZTOLSI,X,O,X,X,O,X
JZTOSIL,X,O,O,X,X,X
