sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
TSZJIOL,X,O,O,X,X,O
TSZJLIO,O,O,X,X,O,X
TSZJLOI,X,O,X,X,O,X
TSZJOIL,X,O,O,X,X,O
TSZJOLI,X,O,X,X,X,O
TSZOILJ,O,X,O,X,O,O
TSZOIJL,O,O,O,X,X,O
TSZOLIJ,O,X,X,X,O,O
TSZOLJI,O,X,X,X,O,O
TSZOJIL,O,O,O,X,X,O
TSZOJLI,O,O,X,X,O,O
TSOILJZ,O,X,X,X,X,O
TSOILZJ,X,X,O,X,X,O
TSOIJLZ,O,O,X,X,X,O
TSOIJZL,X,O,O,X,X,O
TSOIZLJ,X,X,O,X,X,O
TSOIZJL,X,O,O,X,X,O
TSOLIJZ,O,X,X,X,X,O
TSOLIZJ,X,X,X,X,O,O
TSOLJIZ,O,X,X,X,X,O
TSOLJZI,O,X,X,X,X,O
TSOLZIJ,O,X,X,X,O,O
TSOLZJI,O,X,X,X,O,O
TSOJILZ,O,O,X,X,X,O
TSOJIZL,X,O,X,X,X,O
TSOJLIZ,O,O,X,X,X,O
TSOJLZI,O,O,X,X,X,O
TSOJZIL,O,O,X,X,X,O
TSOJZLI,O,O,X,X,X,O
TSOZILJ,O,X,O,X,O,O
TSOZIJL,O,O,O,X,X,O
TSOZLIJ,O,X,X,X,O,O
TSOZLJI,O,X,X,X,O,O
TSOZJIL,O,O,O,X,X,O
TSOZJLI,O,O,X,X,O,O
TZILJSO,X,X,O,O,O,X
TZILJOS,X,X,O,O,X,X
TZILSJO,X,X,O,X,O,X
TZILSOJ,X,X,O,X,O,X
TZILOJS,X,X,O,X,O,X
TZILOSJ,X,X,O,X,O,X
TZIJLSO,X,X,O,O,O,X
TZIJLOS,X,X,O,O,X,X
TZIJSLO,O,O,O,O,X,X
TZIJSOL,X,O,O,O,X,X
TZIJOLS,X,X,O,O,X,X
TZIJOSL,X,O,O,O,X,X
TZISLJO,O,O,O,X,O,X
TZISLOJ,O,X,O,X,O,O
TZISJLO,O,O,O,X,X,X
TZISJOL,X,O,O,X,X,O
TZISOLJ,O,X,O,X,X,O
TZISOJL,O,O,O,X,X,O
TZIOLJS,X,X,O,X,O,X
TZIOLSJ,X,X,O,X,O,O
