sequence,v115@OhA8BeA8FeB8AeD8AeD8Kem/IvhFzgBfnBxiB0kB6t?BFrB,v115@OhA8BeA8FeB8AeD8AeD8KeT/IvhF0hBmiB5oBllBXl?BirB,v115@OhA8BeA8FeB8AeD8AeD8KeyEJvhFzgBfnBmiB5oB0k?BFrB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBFhBxiBzmB6t?BmqB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBmiB5oByqBzm?BFrB
TJSZILO,O,X,O,O,X
TJSZIOL,O,O,O,O,O
TJSZLIO,O,X,O,O,X
TJSZLOI,O,X,O,O,X
TJSZOIL,O,O,O,O,O
TJSZOLI,O,X,O,O,O
TJSOILZ,X,X,O,O,O
TJSOIZL,O,O,O,O,O
TJSOLIZ,O,X,O,O,O
TJSOLZI,O,X,O,O,O
TJSOZIL,O,O,O,O,O
TJSOZLI,O,X,O,O,O
TJZILSO,O,X,X,X,X
TJZILOS,O,O,X,X,X
TJZISLO,O,X,X,O,X
TJZISOL,O,O,X,O,X
TJZIOLS,O,O,X,X,X
TJZIOSL,O,O,X,X,X
TJZLISO,O,X,X,O,X
TJZLIOS,O,O,X,X,X
TJZLSIO,O,X,X,O,X
TJZLSOI,O,X,X,O,X
TJZLOIS,O,O,X,X,X
TJZLOSI,O,X,X,X,X
TJZSILO,O,X,X,O,X
TJZSIOL,O,O,X,O,X
TJZSLIO,O,X,X,O,X
TJZSLOI,O,X,X,O,X
TJZSOIL,O,O,X,O,X
TJZSOLI,O,X,X,O,X
TJZOILS,O,O,X,X,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,O,X,X,X
TJZOLSI,O,X,X,X,X
TJZOSIL,O,O,X,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,O,O,O,O
TJOILZS,X,O,X,O,X
TJOISLZ,X,X,O,O,O
TJOISZL,X,O,O,O,O
TJOIZLS,X,O,X,X,X
TJOIZSL,X,O,X,O,X
TJOLISZ,X,O,O,O,O
TJOLIZS,X,O,X,O,X
TJOLSIZ,O,O,O,O,O
TJOLSZI,O,O,O,O,O
TJOLZIS,O,O,X,O,X
TJOLZSI,O,O,X,O,X
TJOSILZ,X,X,O,O,O
TJOSIZL,O,O,O,O,O
TJOSLIZ,O,X,O,O,O
TJOSLZI,O,X,O,O,O
TJOSZIL,O,O,O,O,O
TJOSZLI,O,X,O,O,O
TJOZILS,O,O,X,X,X
TJOZISL,O,O,X,O,X
TJOZLIS,O,O,X,O,X
TJOZLSI,O,X,X,O,X
TJOZSIL,O,O,X,O,X
TJOZSLI,O,X,X,O,X
TSILJZO,O,O,O,X,X
TSILJOZ,O,O,O,X,X
TSILZJO,O,O,O,X,X
TSILZOJ,O,O,O,X,O
TSILOJZ,O,O,O,X,O
TSILOZJ,O,O,O,X,O
TSIJLZO,X,X,O,O,X
TSIJLOZ,X,X,O,X,X
TSIJZLO,O,X,O,O,X
TSIJZOL,O,O,O,O,O
TSIJOLZ,X,X,O,X,O
TSIJOZL,O,O,O,O,O
TSIZLJO,O,X,O,O,X
TSIZLOJ,O,X,O,O,O
TSIZJLO,O,X,O,O,X
TSIZJOL,O,O,O,O,O
TSIZOLJ,O,X,O,O,O
TSIZOJL,O,O,O,O,O
TSIOLJZ,O,O,O,X,O
TSIOLZJ,O,O,O,O,O
TSIOJLZ,X,X,O,O,O
TSIOJZL,O,O,O,O,O
TSIOZLJ,O,X,O,O,O
TSIOZJL,O,O,O,O,O
TSLIJZO,O,O,O,O,X
TSLIJOZ,O,O,O,O,X
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,O,O,O,O
TSLIOJZ,O,O,O,O,O
TSLIOZJ,O,O,O,O,O
TSLJIZO,O,O,O,O,X
TSLJIOZ,O,O,O,O,X
TSLJZIO,O,O,O,O,X
TSLJZOI,O,O,O,O,X
TSLJOIZ,O,O,O,O,X
TSLJOZI,O,O,O,O,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,O
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,X
TSLZOIJ,O,O,O,O,O
TSLZOJI,O,O,O,O,O
TSLOIJZ,O,O,O,O,O
TSLOIZJ,O,O,O,O,O
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,O
TSLOZJI,O,O,O,O,O
TSJILZO,X,X,O,O,X
TSJILOZ,X,X,O,O,X
TSJIZLO,O,X,O,O,X
TSJIZOL,O,O,O,O,O
TSJIOLZ,X,X,O,X,O
TSJIOZL,O,O,O,O,O
TSJLIZO,O,X,O,O,X
TSJLIOZ,O,X,O,O,X
TSJLZIO,O,X,O,O,X
TSJLZOI,O,X,O,O,X
TSJLOIZ,O,X,O,O,X
TSJLOZI,O,X,O,O,X
TSJZILO,O,X,O,O,X
TSJZIOL,O,O,O,O,O
TSJZLIO,O,X,O,O,X
TSJZLOI,O,X,O,O,X
TSJZOIL,O,O,O,O,O
TSJZOLI,O,X,O,O,O
TSJOILZ,X,X,O,O,O
TSJOIZL,O,O,O,O,O
TSJOLIZ,O,X,O,O,O
TSJOLZI,O,X,O,O,O
TSJOZIL,O,O,O,O,O
TSJOZLI,O,X,O,O,O
TSZILJO,O,X,O,O,X
TSZILOJ,O,X,O,O,O
TSZIJLO,O,X,O,O,X
TSZIJOL,O,O,O,O,O
TSZIOLJ,O,X,O,O,O
TSZIOJL,O,O,O,O,O
TSZLIJO,O,X,O,O,X
TSZLIOJ,O,X,O,O,O
TSZLJIO,O,X,O,O,X
TSZLJOI,O,X,O,O,X
TSZLOIJ,O,X,O,O,O
TSZLOJI,O,X,O,O,O
TSZJILO,O,X,O,O,X
TSZJIOL,O,O,O,O,O
TSZJLIO,O,X,O,O,X
TSZJLOI,O,X,O,O,X
TSZJOIL,O,O,O,O,O
TSZJOLI,O,X,O,O,O
TSZOILJ,O,X,O,O,O
TSZOIJL,O,O,O,O,O
TSZOLIJ,O,X,O,O,O
TSZOLJI,O,X,O,O,O
TSZOJIL,O,O,O,O,O
TSZOJLI,O,X,O,O,O
TSOILJZ,O,O,O,O,O
TSOILZJ,O,O,O,O,O
TSOIJLZ,X,X,O,O,O
TSOIJZL,O,O,O,O,O
TSOIZLJ,O,X,O,O,O
TSOIZJL,O,O,O,O,O
TSOLIJZ,O,O,O,O,O
TSOLIZJ,O,O,O,O,O
TSOLJIZ,O,O,O,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,O,O,O,O
TSOLZJI,O,O,O,O,O
TSOJILZ,X,X,O,O,O
TSOJIZL,O,O,O,O,O
TSOJLIZ,O,X,O,O,O
TSOJLZI,O,X,O,O,O
TSOJZIL,O,O,O,O,O
TSOJZLI,O,X,O,O,O
TSOZILJ,O,X,O,O,O
TSOZIJL,O,O,O,O,O
TSOZLIJ,O,X,O,O,O
TSOZLJI,O,X,O,O,O
TSOZJIL,O,O,O,O,O
TSOZJLI,O,X,O,O,O
TZILJSO,O,O,X,X,X
TZILJOS,O,O,X,X,X
TZILSJO,O,O,O,X,X
TZILSOJ,O,O,O,X,X
TZILOJS,O,O,X,X,X
TZILOSJ,O,O,O,X,X
TZIJLSO,O,X,X,X,X
TZIJLOS,O,O,X,X,X
TZIJSLO,O,X,X,X,X
TZIJSOL,O,O,X,X,X
TZIJOLS,O,O,X,X,X
TZIJOSL,O,O,X,X,X
TZISLJO,O,X,O,X,X
TZISLOJ,O,X,O,X,X
TZISJLO,O,X,O,X,X
TZISJOL,O,O,O,X,X
TZISOLJ,O,X,O,X,X
TZISOJL,O,O,O,X,X
TZIOLJS,O,O,X,X,X
TZIOLSJ,O,O,O,X,X
TZIOJLS,O,O,X,X,X
TZIOJSL,O,O,X,X,X
TZIOSLJ,O,X,O,X,X
TZIOSJL,O,O,O,X,X
TZLIJSO,O,O,X,X,X
TZLIJOS,O,O,X,X,X
TZLISJO,O,O,O,X,X
TZLISOJ,O,O,O,X,X
TZLIOJS,O,O,X,X,X
TZLIOSJ,O,O,O,X,X
TZLJISO,O,O,X,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,O,X,X,X
TZLJSOI,O,O,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,X,X,X
TZLSIJO,O,O,O,X,X
TZLSIOJ,O,O,O,X,X
TZLSJIO,O,O,O,X,X
TZLSJOI,O,O,O,X,X
TZLSOIJ,O,O,O,X,X
TZLSOJI,O,O,O,X,X
