sequence,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFxhBXjBimBc?tBFqBGsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFfnBxiBUmBG?oBFqBzsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhF0hBxiB2rBC?oBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFRhBCjB3mBT?oBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBfnBxiBu?sBctBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFfnBxiBqsBT?oBUmBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBGjBRnBU?nBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFziB+oBRmB3?mBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFOmB8mBCjBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFihB3mBFqBx?sBusBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFzhBWoBUmBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBc?tB6sBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeXBJvhFliBzmBRqBC?tBOqBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeUCJvhFTjBxlBmlBS?sBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhF0iBmlBzmBS?tBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBS?tBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTBJvhFFjBSqBctBx?rBOqB/sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je1GJvhFTjBXlBWtBR?rBiqB0sB
JSTLIZO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTLZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTLOIZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTLOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSTZIOL,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTZLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTZOIL,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTZOLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTOILZ,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSTOIZL,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JSTOLIZ,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JSTOLZI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZIL,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSTOZLI,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITLZO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSITLOZ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
JSITZLO,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSITZOL,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JSITOLZ,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O
JSITOZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JSILTZO,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSILTOZ,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O
JSILZTO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZTLO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSIZLTO,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSIZOLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSIOTLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSIOTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSIOLTZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSIOLZT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O
JSIOZLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSLTIZO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLTIOZ,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSLTZIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLTZOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JSLTOZI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLITZO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLITOZ,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JSLIZTO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLIZOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSLIOZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZOTI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSLZOIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOTIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLOTZI,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLOITZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSLOIZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLOZTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSLOZIT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTILO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTIOL,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JSZTLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZTOIL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JSZTOLI,O,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSZITLO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZILTO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZIOTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZIOLT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZLTIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLOTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZLOIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOTIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZOTLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZOITL,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOILT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSZOLTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSZOLIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOTILZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOTLIZ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTLZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOIZTL,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOIZLT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOLTIZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOLTZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOLITZ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOLIZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLZTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSOLZIT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZTIL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZTLI,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZITL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZILT,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JSOZLTI,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JSOZLIT,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTILSO,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTILOS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTISLO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTIOLS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTIOSL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTLISO,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTLSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTLOIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTLOSI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZTSIOL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTSLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTSOLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTOILS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTOISL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTOLIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTOLSI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTOSIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZTOSLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZITLSO,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITSLO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZILTSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZILSTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZILSOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZISTLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISLTO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZISOLT,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZIOTLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZIOTSL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZIOLTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
JZIOLST,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
JZIOSTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZIOSLT,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLTISO,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZLTOSI,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZLITOS,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X
JZLISTO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
JZLISOT,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
JZLIOTS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X
JZLIOST,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
JZLSTIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSOTI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
JZLSOIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLOTIS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZLOTSI,O,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZLOITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZLOIST,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZLOSTI,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JZLOSIT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSTILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X
JZSTIOL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZSTLIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSTOIL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZSTOLI,O,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSITLO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSIOLT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSLTIO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSLOIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOTIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOITL,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOILT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZSOLTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZSOLIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOTILS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZOTISL,O,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZOTLIS,O,X,O,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X
JZOTLSI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JZOTSIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZOTSLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOITLS,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X
JZOILTS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZOILST,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOISTL,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLTIS,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOLTSI,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOLITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOLIST,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOLSTI,O,O,X,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X
JZOLSIT,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSTIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSITL,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,O,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZOSLTI,O,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
JZOSLIT,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTILSZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTILZS,O,O,X,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JOTISLZ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTISZL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTIZLS,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
JOTIZSL,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JOTLISZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTLIZS,O,O,X,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JOTLSIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTLSZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOTLZIS,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
JOTLZSI,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JOTSILZ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTSIZL,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTSLIZ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOTSLZI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOTSZIL,O,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
JOTSZLI,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
JOTZILS,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
JOTZISL,O,O,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JOTZLIS,O,O,O,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X
JOTZLSI,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X
JOTZSIL,O,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X
JOTZSLI,O,O,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X
JOITLSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITSLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITZSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOILTSZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOILTZS,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOILSTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JOILSZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOILZTS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOILZST,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOISTLZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISLZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOISZTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOIZLST,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTISZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOLTIZS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOLTSIZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOLTSZI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOLTZIS,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
JOLTZSI,O,O,X,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X
JOLITSZ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLITZS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLISTZ,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X
JOLISZT,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JOLIZTS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JOLIZST,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
JOLSTIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLSITZ,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
