sequence,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6nBTjBdsBXtB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBUiB9oBTmB3nByxB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6oBXnBdtBTsB,v115@KhA8FeD8FeF8CeA8JeT/IvhFigBcmB3iB9oBRsB2xB
TSOLIZJ,O,O,X,O
TSOLJIZ,O,O,X,X
TSOLJZI,O,O,O,O
TSOLZIJ,O,O,O,O
TSOLZJI,O,O,O,O
TSOJILZ,O,O,X,X
TSOJIZL,O,O,X,X
TSOJLIZ,O,O,X,X
TSOJLZI,O,O,O,O
TSOJZIL,O,O,O,X
TSOJZLI,O,O,O,O
TSOZILJ,O,X,O,O
TSOZIJL,O,O,O,O
TSOZLIJ,O,X,O,O
TSOZLJI,O,X,O,O
TSOZJIL,O,O,O,X
TSOZJLI,O,O,O,O
TZILJSO,O,X,O,O
TZILJOS,O,O,O,O
TZILSJO,O,X,O,O
TZILSOJ,O,X,O,O
TZILOJS,O,O,O,O
TZILOSJ,O,O,O,O
TZIJLSO,O,X,O,O
TZIJLOS,O,O,O,O
TZIJSLO,O,X,O,O
TZIJSOL,O,X,O,O
TZIJOLS,O,O,O,O
TZIJOSL,O,O,X,O
TZISLJO,O,X,O,O
TZISLOJ,O,X,O,O
TZISJLO,O,X,O,O
TZISJOL,O,X,O,O
TZISOLJ,O,X,O,O
TZISOJL,O,X,O,O
TZIOLJS,O,O,O,O
TZIOLSJ,O,O,O,O
TZIOJLS,O,O,O,O
TZIOJSL,O,O,X,O
TZIOSLJ,O,X,X,O
TZIOSJL,O,O,X,O
TZLIJSO,O,X,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,X,O,O
TZLISOJ,O,X,O,O
TZLIOJS,O,O,O,O
TZLIOSJ,O,O,O,O
TZLJISO,O,X,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,X,O,X
TZLJSOI,O,X,O,O
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,O
TZLSIJO,O,X,O,O
TZLSIOJ,O,X,O,O
TZLSJIO,O,X,O,X
TZLSJOI,O,X,O,O
TZLSOIJ,O,X,O,O
TZLSOJI,O,X,O,O
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,O
TZLOSIJ,O,O,O,O
TZLOSJI,O,O,O,O
TZJILSO,O,X,O,O
TZJILOS,O,O,O,O
TZJISLO,O,X,O,O
TZJISOL,O,X,O,O
TZJIOLS,O,O,O,O
TZJIOSL,O,O,X,O
TZJLISO,O,X,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,X,O,X
TZJLSOI,O,X,O,O
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,O
TZJSILO,O,X,O,X
TZJSIOL,O,X,O,X
TZJSLIO,O,X,O,X
TZJSLOI,O,X,O,O
TZJSOIL,O,X,O,X
TZJSOLI,O,X,O,O
TZJOILS,O,O,O,O
TZJOISL,O,O,X,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,O
TZJOSIL,O,O,X,X
TZJOSLI,O,O,X,O
TZSILJO,O,X,O,O
TZSILOJ,O,X,O,O
TZSIJLO,O,X,O,O
TZSIJOL,O,X,O,O
TZSIOLJ,O,X,O,O
TZSIOJL,O,X,O,O
TZSLIJO,O,X,O,O
TZSLIOJ,O,X,O,O
TZSLJIO,O,X,O,X
TZSLJOI,O,X,O,O
TZSLOIJ,O,X,O,O
TZSLOJI,O,X,O,O
TZSJILO,O,X,O,X
TZSJIOL,O,X,O,X
TZSJLIO,O,X,O,X
TZSJLOI,O,X,O,O
TZSJOIL,O,X,O,X
TZSJOLI,O,X,O,O
TZSOILJ,O,X,O,O
TZSOIJL,O,X,O,O
TZSOLIJ,O,X,O,O
TZSOLJI,O,X,O,O
TZSOJIL,O,X,O,X
TZSOJLI,O,X,O,O
TZOILJS,O,O,O,O
TZOILSJ,O,O,O,O
TZOIJLS,O,O,O,O
TZOIJSL,O,O,X,O
TZOISLJ,O,X,X,O
TZOISJL,O,O,X,O
TZOLIJS,O,O,O,O
TZOLISJ,O,O,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,O
TZOLSIJ,O,O,O,O
TZOLSJI,O,O,O,O
TZOJILS,O,O,O,O
TZOJISL,O,O,X,O
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,O
TZOJSIL,O,O,X,X
TZOJSLI,O,O,X,O
TZOSILJ,O,X,X,O
TZOSIJL,O,O,X,O
TZOSLIJ,O,X,X,O
TZOSLJI,O,X,X,O
TZOSJIL,O,O,X,X
TZOSJLI,O,O,X,O
TOILJSZ,X,O,X,X
TOILJZS,X,O,O,X
TOILSJZ,X,O,X,X
TOILSZJ,X,O,X,O
TOILZJS,X,O,O,O
TOILZSJ,X,O,O,O
TOIJLSZ,X,O,X,X
TOIJLZS,X,O,O,X
TOIJSLZ,X,O,X,X
TOIJSZL,X,O,X,O
TOIJZLS,X,O,O,O
TOIJZSL,X,O,X,O
TOISLJZ,X,O,X,X
TOISLZJ,X,O,X,O
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,O
TOISZLJ,X,X,X,O
TOISZJL,X,O,X,O
TOIZLJS,X,O,O,O
TOIZLSJ,X,O,O,O
TOIZJLS,X,O,O,O
TOIZJSL,X,O,X,O
TOIZSLJ,X,X,X,O
TOIZSJL,X,O,X,O
TOLIJSZ,X,O,X,X
TOLIJZS,X,O,O,X
TOLISJZ,X,O,X,X
TOLISZJ,X,O,X,O
TOLIZJS,X,O,O,O
TOLIZSJ,X,O,O,O
TOLJISZ,X,O,X,X
TOLJIZS,X,O,O,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,X,X
TOLSIZJ,O,O,X,O
TOLSJIZ,O,O,X,X
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,O
TOLSZJI,O,O,O,O
TOLZIJS,O,O,O,O
TOLZISJ,O,O,O,O
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,O
TOLZSJI,O,O,O,O
TOJILSZ,X,O,X,X
TOJILZS,X,O,O,X
TOJISLZ,X,O,X,X
TOJISZL,X,O,X,O
TOJIZLS,X,O,O,O
TOJIZSL,X,O,X,O
TOJLISZ,X,O,X,X
TOJLIZS,X,O,O,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,O,O
TOJLZIS,O,O,O,O
TOJLZSI,O,O,O,O
TOJSILZ,O,O,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,O,O,X,X
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,O
TOJZILS,O,O,O,O
TOJZISL,O,O,X,O
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,O
TOSILJZ,O,O,X,X
TOSILZJ,O,O,X,O
TOSIJLZ,O,O,X,X
TOSIJZL,O,O,X,O
TOSIZLJ,O,X,X,O
TOSIZJL,O,O,X,O
TOSLIJZ,O,O,X,X
TOSLIZJ,O,O,X,O
TOSLJIZ,O,O,X,X
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,O,X,X
TOSJIZL,O,O,X,X
TOSJLIZ,O,O,X,X
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,O
TOSZILJ,O,X,O,O
TOSZIJL,O,O,O,O
TOSZLIJ,O,X,O,O
TOSZLJI,O,X,O,O
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,O
TOZILJS,O,O,O,O
TOZILSJ,O,O,O,O
TOZIJLS,O,O,O,O
TOZIJSL,O,O,X,O
TOZISLJ,O,X,X,O
TOZISJL,O,O,X,O
TOZLIJS,O,O,O,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,O,O,O,O
TOZJISL,O,O,X,O
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,O
TOZSILJ,O,X,X,O
TOZSIJL,O,O,X,O
