sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
TJLIZSO,X,X,O,X,X,X,X,X,O
TJLIZOS,X,X,O,X,O,X,X,X,O
TJLIOSZ,X,O,X,X,X,X,X,X,X
TJLIOZS,X,X,O,X,O,X,X,X,X
TJLSIZO,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,X,X,X,X,X,X,X
TJLSZIO,X,O,X,X,X,X,X,X,X
TJLSZOI,X,O,X,X,X,X,X,X,X
TJLSOIZ,X,O,X,X,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X,X
TJLZISO,X,X,O,X,X,X,X,X,O
TJLZIOS,X,X,O,X,O,X,X,X,O
TJLZSIO,X,X,O,X,X,X,X,X,O
TJLZSOI,X,X,O,X,X,X,X,X,O
TJLZOIS,X,X,O,X,O,X,X,X,O
TJLZOSI,X,X,O,X,O,X,X,X,O
TJLOISZ,X,O,X,X,X,X,X,X,X
TJLOIZS,X,X,O,X,O,X,X,X,X
TJLOSIZ,X,O,X,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,X,X
TJLOZIS,X,X,O,X,O,X,X,X,X
TJLOZSI,X,X,O,X,O,X,X,X,X
TJSILZO,O,O,X,X,X,O,X,X,X
TJSILOZ,X,O,X,X,X,O,X,X,X
TJSIZLO,O,X,X,O,X,O,X,O,X
TJSIZOL,O,X,X,O,X,O,X,O,X
TJSIOLZ,X,O,X,X,X,O,X,X,X
TJSIOZL,X,X,X,X,X,O,X,O,X
TJSLIZO,O,O,X,X,X,O,X,X,X
TJSLIOZ,X,O,X,X,X,O,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X,X,X
TJSLOIZ,X,O,X,X,X,O,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,X,O,X,X,X,O,X
TJSZIOL,O,X,X,O,X,X,X,O,X
TJSZLIO,O,X,X,O,X,X,X,O,X
TJSZLOI,O,X,X,X,X,X,X,O,X
TJSZOIL,O,X,X,O,X,X,X,O,X
TJSZOLI,O,X,X,X,X,X,X,O,X
TJSOILZ,X,O,X,X,X,O,X,X,X
TJSOIZL,X,X,X,X,X,O,X,O,X
TJSOLIZ,X,O,X,X,X,O,X,X,X
TJSOLZI,X,O,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,X,X,O,X
TJSOZLI,X,X,X,X,X,X,X,O,X
TJZILSO,O,X,O,O,X,X,X,O,O
TJZILOS,X,X,O,X,O,X,X,X,O
TJZISLO,O,X,O,O,X,X,X,O,X
TJZISOL,O,X,O,O,X,X,X,O,X
TJZIOLS,X,X,O,X,O,X,X,X,X
TJZIOSL,O,X,O,X,X,X,X,O,X
TJZLISO,O,X,O,O,X,X,X,O,O
TJZLIOS,X,X,O,X,O,X,X,X,O
TJZLSIO,O,X,O,O,X,X,X,O,O
TJZLSOI,O,X,O,O,X,X,X,O,O
TJZLOIS,X,X,O,X,O,X,X,X,O
TJZLOSI,X,X,O,X,O,X,X,X,O
TJZSILO,O,X,O,O,X,X,X,O,X
TJZSIOL,O,X,O,O,X,X,X,O,X
TJZSLIO,O,X,O,O,X,X,X,O,O
TJZSLOI,O,X,O,X,X,X,X,O,O
TJZSOIL,O,X,O,O,X,X,X,O,X
TJZSOLI,O,X,O,X,X,X,X,O,X
TJZOILS,X,X,O,X,O,X,X,X,X
TJZOISL,O,X,O,X,X,X,X,O,X
TJZOLIS,X,X,O,X,O,X,X,X,O
TJZOLSI,X,X,O,X,O,X,X,X,O
TJZOSIL,O,X,O,X,X,X,X,O,X
TJZOSLI,O,X,O,X,X,X,X,O,X
TJOILSZ,X,O,X,X,X,X,X,X,X
TJOILZS,X,X,O,X,O,X,X,X,X
TJOISLZ,X,O,X,X,X,O,X,X,X
TJOISZL,X,X,X,X,X,O,X,X,X
TJOIZLS,X,X,O,X,O,X,X,X,X
TJOIZSL,X,X,O,X,X,X,X,X,X
TJOLISZ,X,O,X,X,X,X,X,X,X
TJOLIZS,X,X,O,X,O,X,X,X,X
TJOLSIZ,X,O,X,X,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X,X
TJOLZIS,X,X,O,X,O,X,X,X,X
TJOLZSI,X,X,O,X,O,X,X,X,X
TJOSILZ,X,O,X,X,X,O,X,X,X
TJOSIZL,X,X,X,X,X,O,X,X,X
TJOSLIZ,X,O,X,X,X,O,X,X,X
TJOSLZI,X,O,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,O,X,O,X,X,X,X
TJOZISL,X,X,O,X,X,X,X,X,X
TJOZLIS,X,X,O,X,O,X,X,X,X
TJOZLSI,X,X,O,X,O,X,X,X,X
TJOZSIL,X,X,O,X,X,X,X,X,X
TJOZSLI,X,X,O,X,X,X,X,X,X
TSILJZO,O,O,X,X,X,O,X,X,X
TSILJOZ,X,O,X,X,X,O,X,X,X
TSILZJO,O,O,O,X,X,O,O,O,X
TSILZOJ,O,O,O,X,X,O,O,O,X
TSILOJZ,X,O,X,X,X,O,X,X,X
TSILOZJ,X,O,O,X,X,O,X,O,X
TSIJLZO,O,O,X,X,X,O,X,X,X
TSIJLOZ,X,O,X,X,X,O,X,X,X
TSIJZLO,O,X,X,O,X,O,X,O,X
TSIJZOL,O,X,X,O,X,O,X,O,X
TSIJOLZ,X,O,X,X,X,O,X,X,X
TSIJOZL,X,X,X,X,X,O,X,O,X
TSIZLJO,O,O,O,O,X,O,O,O,X
TSIZLOJ,O,O,O,O,X,O,O,O,X
TSIZJLO,O,X,O,O,X,O,O,O,X
TSIZJOL,O,X,O,O,X,O,O,O,X
TSIZOLJ,O,O,O,O,X,O,O,O,X
TSIZOJL,O,X,O,O,X,O,O,O,X
TSIOLJZ,X,O,X,X,X,O,X,X,X
TSIOLZJ,X,O,O,X,X,O,X,O,X
TSIOJLZ,X,O,X,X,X,O,X,X,X
TSIOJZL,X,X,X,O,X,O,X,O,X
TSIOZLJ,X,O,O,O,X,O,X,O,X
TSIOZJL,X,X,O,O,X,O,X,O,X
TSLIJZO,O,O,X,X,X,O,X,X,X
TSLIJOZ,X,O,X,X,X,O,X,X,X
TSLIZJO,O,O,O,X,X,O,O,O,X
TSLIZOJ,O,O,O,X,X,O,O,O,X
TSLIOJZ,X,O,X,X,X,O,X,X,X
TSLIOZJ,X,O,O,X,X,O,X,O,X
TSLJIZO,O,O,X,X,X,O,X,X,X
TSLJIOZ,X,O,X,X,X,O,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X,X,X
TSLJOIZ,X,O,X,X,X,O,X,X,X
TSLJOZI,X,O,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,X,O,O,O,X
TSLZIOJ,O,O,O,X,X,O,O,O,X
TSLZJIO,O,O,O,X,X,X,O,O,X
TSLZJOI,O,O,O,X,X,X,O,O,X
TSLZOIJ,O,O,O,X,X,O,O,O,X
TSLZOJI,O,O,O,X,X,X,O,O,X
TSLOIJZ,X,O,X,X,X,O,X,X,X
TSLOIZJ,X,O,O,X,X,O,X,O,X
TSLOJIZ,X,O,X,X,X,O,X,X,X
TSLOJZI,X,O,X,X,X,X,X,X,X
TSLOZIJ,X,O,O,X,X,O,X,O,X
TSLOZJI,X,O,O,X,X,X,X,O,X
TSJILZO,O,O,X,X,X,O,X,X,X
TSJILOZ,X,O,X,X,X,O,X,X,X
TSJIZLO,O,X,X,O,X,O,X,O,X
TSJIZOL,O,X,X,O,X,O,X,O,X
TSJIOLZ,X,O,X,X,X,O,X,X,X
TSJIOZL,X,X,X,X,X,O,X,O,X
TSJLIZO,O,O,X,X,X,O,X,X,X
TSJLIOZ,X,O,X,X,X,O,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,O,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X,X
TSJZILO,O,X,X,O,X,X,X,O,X
TSJZIOL,O,X,X,O,X,X,X,O,X
TSJZLIO,O,X,X,O,X,X,X,O,X
TSJZLOI,O,X,X,X,X,X,X,O,X
TSJZOIL,O,X,X,O,X,X,X,O,X
TSJZOLI,O,X,X,X,X,X,X,O,X
TSJOILZ,X,O,X,X,X,O,X,X,X
TSJOIZL,X,X,X,X,X,O,X,O,X
TSJOLIZ,X,O,X,X,X,O,X,X,X
TSJOLZI,X,O,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,O,X
TSJOZLI,X,X,X,X,X,X,X,O,X
TSZILJO,O,O,O,O,X,O,O,O,X
TSZILOJ,O,O,O,O,X,O,O,O,X
TSZIJLO,O,X,O,O,X,O,O,O,X
TSZIJOL,O,X,O,O,X,O,O,O,X
TSZIOLJ,O,O,O,O,X,O,O,O,X
TSZIOJL,O,X,O,O,X,O,O,O,X
TSZLIJO,O,O,O,O,X,O,O,O,X
TSZLIOJ,O,O,O,O,X,O,O,O,X
TSZLJIO,O,O,O,O,X,X,O,O,X
TSZLJOI,O,O,O,X,X,X,O,O,X
TSZLOIJ,O,O,O,O,X,O,O,O,X
TSZLOJI,O,O,O,O,X,X,O,O,X
TSZJILO,O,X,O,O,X,X,O,O,X
TSZJIOL,O,X,O,O,X,X,O,O,X
TSZJLIO,O,X,O,O,X,X,O,O,X
TSZJLOI,O,X,O,X,X,X,O,O,X
TSZJOIL,O,X,O,O,X,X,O,O,X
TSZJOLI,O,X,O,O,X,X,O,O,X
TSZOILJ,O,O,O,O,X,O,O,O,X
TSZOIJL,O,X,O,O,X,O,O,O,X
TSZOLIJ,O,O,O,O,X,O,O,O,X
TSZOLJI,O,O,O,O,X,X,O,O,X
TSZOJIL,O,X,O,O,X,X,O,O,X
TSZOJLI,O,X,O,O,X,X,O,O,X
