sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
LTJOIZS,X,X,O,X,O,X,X,X,X
LTJOSIZ,X,O,X,X,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,O,X,X,X,X
LTJOZSI,X,X,O,X,O,X,X,X,X
LTSIJZO,X,O,X,X,X,O,X,X,X
LTSIJOZ,X,O,X,X,X,O,X,X,X
LTSIZJO,X,O,O,X,X,O,X,O,X
LTSIZOJ,X,O,O,X,X,O,X,O,X
LTSIOJZ,X,O,X,X,X,O,X,X,X
LTSIOZJ,X,O,O,X,X,O,X,O,X
LTSJIZO,X,O,X,X,X,O,X,X,X
LTSJIOZ,X,O,X,X,X,O,X,X,X
LTSJZIO,X,O,X,X,X,X,X,X,X
LTSJZOI,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,O,X,X,X,O,X,X,X
LTSJOZI,X,O,X,X,X,X,X,X,X
LTSZIJO,X,O,O,X,X,O,X,O,X
LTSZIOJ,X,O,O,X,X,O,X,O,X
LTSZJIO,X,O,O,X,X,X,X,O,X
LTSZJOI,X,O,O,X,X,X,X,O,X
LTSZOIJ,X,O,O,X,X,O,X,O,X
LTSZOJI,X,O,O,X,X,X,X,O,X
LTSOIJZ,X,O,X,X,X,O,X,X,X
LTSOIZJ,X,O,O,X,X,O,X,O,X
LTSOJIZ,X,O,X,X,X,O,X,X,X
LTSOJZI,X,O,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,X,O,X,O,X
LTSOZJI,X,O,O,X,X,X,X,O,X
LTZIJSO,X,X,O,X,X,X,X,O,O
LTZIJOS,X,X,O,X,O,X,X,X,O
LTZISJO,X,X,O,X,X,X,X,O,O
LTZISOJ,X,X,O,X,X,X,X,O,X
LTZIOJS,X,X,O,X,O,X,X,X,O
LTZIOSJ,X,X,O,X,O,X,X,X,X
LTZJISO,X,X,O,X,X,X,X,O,O
LTZJIOS,X,X,O,X,O,X,X,X,O
LTZJSIO,X,X,O,X,X,X,X,O,O
LTZJSOI,X,X,O,X,X,X,X,O,O
LTZJOIS,X,X,O,X,O,X,X,X,O
LTZJOSI,X,X,O,X,O,X,X,X,O
LTZSIJO,X,X,O,X,X,X,X,O,O
LTZSIOJ,X,X,O,X,X,X,X,O,X
LTZSJIO,X,X,O,X,X,X,X,O,O
LTZSJOI,X,X,O,X,X,X,X,O,O
LTZSOIJ,X,X,O,X,X,X,X,O,X
LTZSOJI,X,X,O,X,X,X,X,O,X
LTZOIJS,X,X,O,X,O,X,X,X,O
LTZOISJ,X,X,O,X,O,X,X,X,X
LTZOJIS,X,X,O,X,O,X,X,X,O
LTZOJSI,X,X,O,X,O,X,X,X,O
LTZOSIJ,X,X,O,X,O,X,X,X,X
LTZOSJI,X,X,O,X,O,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,X,X,X
LTOIJZS,X,X,O,X,O,X,X,X,X
LTOISJZ,X,O,X,X,X,O,X,X,X
LTOISZJ,X,O,O,X,X,O,X,X,X
LTOIZJS,X,X,O,X,O,X,X,X,X
LTOIZSJ,X,X,O,X,O,X,X,X,X
LTOJISZ,X,O,X,X,X,X,X,X,X
LTOJIZS,X,X,O,X,O,X,X,X,X
LTOJSIZ,X,O,X,X,X,X,X,X,X
LTOJSZI,X,O,X,X,X,X,X,X,X
LTOJZIS,X,X,O,X,O,X,X,X,X
LTOJZSI,X,X,O,X,O,X,X,X,X
LTOSIJZ,X,O,X,X,X,O,X,X,X
LTOSIZJ,X,O,O,X,X,O,X,X,X
LTOSJIZ,X,O,X,X,X,O,X,X,X
LTOSJZI,X,O,X,X,X,X,X,X,X
LTOSZIJ,X,O,O,X,X,O,X,X,X
LTOSZJI,X,O,O,X,X,X,X,X,X
LTOZIJS,X,X,O,X,O,X,X,X,X
LTOZISJ,X,X,O,X,O,X,X,X,X
LTOZJIS,X,X,O,X,O,X,X,X,X
LTOZJSI,X,X,O,X,O,X,X,X,X
LTOZSIJ,X,X,O,X,O,X,X,X,X
LTOZSJI,X,X,O,X,O,X,X,X,X
LITJSZO,X,O,X,X,X,X,X,X,X
LITJSOZ,X,O,X,X,X,X,X,X,X
LITJZSO,X,X,O,X,X,X,X,X,O
LITJZOS,X,X,O,X,O,X,X,X,O
LITJOSZ,X,O,X,X,X,X,X,X,X
LITJOZS,X,X,O,X,O,X,X,X,X
LITSJZO,X,O,X,X,X,O,X,X,X
LITSJOZ,X,O,X,X,X,O,X,X,X
LITSZJO,X,O,O,X,X,O,X,O,X
LITSZOJ,X,O,O,X,X,O,X,O,X
LITSOJZ,X,O,X,X,X,O,X,X,X
LITSOZJ,X,O,O,X,X,O,X,O,X
LITZJSO,X,X,O,X,X,X,X,O,O
LITZJOS,X,X,O,X,O,X,X,X,O
LITZSJO,X,X,O,X,X,X,X,O,O
LITZSOJ,X,X,O,X,X,X,X,O,X
LITZOJS,X,X,O,X,O,X,X,X,O
LITZOSJ,X,X,O,X,O,X,X,X,X
LITOJSZ,X,O,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,O,X,X,X,X
LITOSJZ,X,O,X,X,X,O,X,X,X
LITOSZJ,X,O,O,X,X,O,X,X,X
LITOZJS,X,X,O,X,O,X,X,X,X
LITOZSJ,X,X,O,X,O,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,O,X,X,X,X,X,X,X
LIJTZSO,X,X,O,X,X,X,X,X,O
LIJTZOS,X,X,O,X,O,X,X,X,O
LIJTOSZ,X,O,X,X,X,X,X,X,X
LIJTOZS,X,X,O,X,O,X,X,X,X
LIJSTZO,O,O,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,X
LIJSZTO,O,O,X,O,X,X,X,X,O
LIJSZOT,O,O,X,X,O,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X
LIJSOZT,O,O,X,X,O,X,X,X,X
LIJZTSO,O,X,O,O,X,X,X,X,O
LIJZTOS,X,X,O,X,O,X,X,X,O
LIJZSTO,O,O,O,O,X,X,X,X,O
LIJZSOT,O,O,O,O,O,X,X,X,X
LIJZOTS,X,X,O,X,O,X,X,X,O
LIJZOST,X,O,O,O,O,X,X,X,X
LIJOTSZ,X,O,X,X,X,X,X,X,X
LIJOTZS,X,X,X,X,O,X,X,X,X
LIJOSTZ,X,O,X,X,X,X,X,X,X
LIJOSZT,X,O,X,X,O,X,X,X,X
LIJOZTS,X,X,O,X,O,X,X,X,O
LIJOZST,X,O,O,X,O,X,X,X,X
LISTJZO,O,O,X,X,X,O,X,X,X
LISTJOZ,X,O,X,X,X,O,X,X,X
LISTZJO,O,O,O,X,X,O,O,O,X
LISTZOJ,O,O,O,X,X,O,O,O,X
LISTOJZ,X,O,X,X,X,O,X,X,X
LISTOZJ,X,O,O,X,X,O,X,O,X
LISJTZO,O,O,X,X,X,O,X,X,X
LISJTOZ,X,O,X,X,X,O,X,X,X
LISJZTO,O,O,X,O,X,X,O,X,O
LISJZOT,O,O,X,X,O,X,X,X,X
LISJOTZ,X,O,X,X,X,O,X,X,X
LISJOZT,O,O,X,X,O,X,X,X,X
LISZTJO,O,O,O,O,X,O,O,O,O
LISZTOJ,O,O,O,O,X,O,O,O,X
LISZJTO,O,O,O,O,X,X,O,O,O
LISZJOT,O,O,O,X,O,X,X,O,X
LISZOTJ,O,O,X,O,O,O,O,O,X
LISZOJT,O,O,O,O,O,X,X,O,X
LISOTJZ,X,O,X,X,X,O,X,X,X
LISOTZJ,X,O,X,X,X,O,X,O,X
LISOJTZ,X,O,X,X,X,O,X,X,X
LISOJZT,O,O,X,O,O,X,X,X,X
LISOZTJ,O,O,X,O,O,O,O,O,X
LISOZJT,O,O,O,O,O,X,X,O,X
LIZTJSO,O,X,O,O,X,X,O,O,O
LIZTJOS,X,X,O,X,O,X,O,X,O
LIZTSJO,O,X,O,O,X,X,O,O,O
LIZTSOJ,O,X,O,O,X,X,O,O,X
LIZTOJS,X,X,O,O,O,X,O,X,O
LIZTOSJ,X,X,O,O,O,X,O,X,X
LIZJTSO,O,X,O,O,X,X,X,O,O
LIZJTOS,X,X,O,X,O,X,X,X,O
LIZJSTO,O,O,O,O,X,X,X,O,O
LIZJSOT,O,O,O,O,O,X,X,O,X
LIZJOTS,X,X,O,O,O,X,X,X,O
LIZJOST,X,O,O,O,O,X,X,O,X
LIZSTJO,O,O,O,O,X,X,O,O,O
LIZSTOJ,O,O,O,O,X,X,O,O,X
LIZSJTO,O,O,O,O,X,X,O,O,O
LIZSJOT,O,O,O,O,O,X,X,O,X
LIZSOTJ,O,O,X,O,O,X,O,O,X
LIZSOJT,O,O,O,O,O,X,X,O,X
LIZOTJS,X,X,O,O,O,X,X,X,O
LIZOTSJ,X,X,O,O,O,X,X,X,X
LIZOJTS,X,X,O,O,O,X,X,X,O
LIZOJST,X,O,O,O,O,X,X,O,X
LIZOSTJ,X,O,X,O,O,X,X,O,X
LIZOSJT,X,O,O,O,O,X,X,O,X
LIOTJSZ,X,O,X,X,X,X,X,X,X
LIOTJZS,X,X,O,X,O,X,X,X,X
LIOTSJZ,X,O,X,X,X,O,X,X,X
LIOTSZJ,X,O,O,X,X,O,X,X,X
LIOTZJS,X,X,O,X,O,X,X,X,X
LIOTZSJ,X,X,O,X,O,X,X,X,X
LIOJTSZ,X,O,X,X,X,X,X,X,X
LIOJTZS,X,X,X,X,O,X,X,X,X
LIOJSTZ,X,O,X,X,X,X,X,X,X
LIOJSZT,X,O,X,O,O,X,X,X,X
LIOJZTS,X,X,O,O,O,X,X,X,O
LIOJZST,X,O,O,O,O,X,X,X,X
LIOSTJZ,X,O,X,X,X,O,X,X,X
LIOSTZJ,X,O,X,X,X,O,X,O,X
LIOSJTZ,X,O,X,X,X,O,X,X,X
LIOSJZT,X,O,X,O,O,X,X,X,X
LIOSZTJ,X,O,X,O,O,O,X,O,X
LIOSZJT,X,O,O,O,O,X,X,O,X
LIOZTJS,X,X,O,O,O,X,X,X,O
LIOZTSJ,X,X,O,O,O,X,X,X,X
LIOZJTS,X,X,O,O,O,X,X,X,O
LIOZJST,X,O,O,O,O,X,X,O,X
LIOZSTJ,X,O,X,O,O,X,X,O,X
LIOZSJT,X,O,O,O,O,X,X,O,X
LJTISZO,X,O,X,X,X,X,X,X,X
LJTISOZ,X,O,X,X,X,X,X,X,X
LJTIZSO,X,X,O,X,X,X,X,X,O
LJTIZOS,X,X,O,X,O,X,X,X,O
LJTIOSZ,X,O,X,X,X,X,X,X,X
LJTIOZS,X,X,O,X,O,X,X,X,X
LJTSIZO,X,O,X,X,X,X,X,X,X
LJTSIOZ,X,O,X,X,X,X,X,X,X
LJTSZIO,X,O,X,X,X,X,X,X,X
LJTSZOI,X,O,X,X,X,X,X,X,X
LJTSOIZ,X,O,X,X,X,X,X,X,X
LJTSOZI,X,O,X,X,X,X,X,X,X
LJTZISO,X,X,O,X,X,X,X,X,O
LJTZIOS,X,X,O,X,O,X,X,X,O
LJTZSIO,X,X,O,X,X,X,X,X,O
LJTZSOI,X,X,O,X,X,X,X,X,O
LJTZOIS,X,X,O,X,O,X,X,X,O
LJTZOSI,X,X,O,X,O,X,X,X,O
LJTOISZ,X,O,X,X,X,X,X,X,X
LJTOIZS,X,X,O,X,O,X,X,X,X
LJTOSIZ,X,O,X,X,X,X,X,X,X
LJTOSZI,X,O,X,X,X,X,X,X,X
LJTOZIS,X,X,O,X,O,X,X,X,X
LJTOZSI,X,X,O,X,O,X,X,X,X
LJITSZO,X,O,X,X,X,X,X,X,X
LJITSOZ,X,O,X,X,X,X,X,X,X
LJITZSO,X,X,O,X,X,X,X,X,O
LJITZOS,X,X,O,X,O,X,X,X,O
LJITOSZ,X,O,X,X,X,X,X,X,X
LJITOZS,X,X,O,X,O,X,X,X,X
LJISTZO,O,O,X,X,X,X,X,X,X
LJISTOZ,X,O,X,X,X,X,X,X,X
LJISZTO,O,O,X,O,X,X,X,X,O
LJISZOT,O,O,X,X,O,X,X,X,X
LJISOTZ,X,O,X,X,X,X,X,X,X
LJISOZT,O,O,X,X,O,X,X,X,X
LJIZTSO,O,X,O,O,X,X,X,X,O
LJIZTOS,X,X,O,X,O,X,X,X,O
LJIZSTO,O,O,O,O,X,X,X,X,O
LJIZSOT,O,O,O,O,O,X,X,X,X
LJIZOTS,X,X,O,X,O,X,X,X,O
LJIZOST,X,O,O,O,O,X,X,X,X
LJIOTSZ,X,O,X,X,X,X,X,X,X
LJIOTZS,X,X,X,X,O,X,X,X,X
LJIOSTZ,X,O,X,X,X,X,X,X,X
LJIOSZT,X,O,X,X,O,X,X,X,X
LJIOZTS,X,X,O,X,O,X,X,X,O
LJIOZST,X,O,O,X,O,X,X,X,X
LJSTIZO,O,O,X,X,X,X,X,X,X
LJSTIOZ,X,O,X,X,X,X,X,X,X
LJSTZIO,O,O,X,X,X,X,X,X,X
LJSTZOI,O,O,X,X,X,X,X,X,X
LJSTOIZ,X,O,X,X,X,X,X,X,X
LJSTOZI,X,O,X,X,X,X,X,X,X
LJSITZO,O,O,X,X,X,X,X,X,X
LJSITOZ,X,O,X,X,X,X,X,X,X
LJSIZTO,O,O,X,O,X,X,X,X,O
LJSIZOT,O,O,X,X,O,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,X,X,X
LJSIOZT,O,O,X,X,O,X,X,X,X
LJSZTIO,O,O,X,O,X,X,X,X,O
LJSZTOI,O,O,X,X,X,X,X,X,O
LJSZITO,O,O,X,O,X,X,X,X,O
LJSZIOT,O,O,X,X,O,X,X,X,X
LJSZOTI,O,O,X,X,O,X,X,X,X
LJSZOIT,O,O,X,X,O,X,X,X,X
LJSOTIZ,X,O,X,X,X,X,X,X,X
LJSOTZI,X,O,X,X,X,X,X,X,X
LJSOITZ,X,O,X,X,X,X,X,X,X
LJSOIZT,O,O,X,X,O,X,X,X,X
LJSOZTI,O,O,X,X,O,X,X,X,X
LJSOZIT,O,O,X,X,O,X,X,X,X
LJZTISO,O,X,O,O,X,X,X,X,O
LJZTIOS,X,X,O,X,O,X,X,X,O
LJZTSIO,O,X,O,O,X,X,X,X,O
LJZTSOI,O,X,O,O,X,X,X,X,O
LJZTOIS,X,X,O,X,O,X,X,X,O
LJZTOSI,X,X,O,X,O,X,X,X,O
LJZITSO,O,X,O,O,X,X,X,X,O
LJZITOS,X,X,O,X,O,X,X,X,O
LJZISTO,O,O,O,O,X,X,X,X,O
LJZISOT,O,O,O,O,O,X,X,X,X
LJZIOTS,X,X,O,X,O,X,X,X,O
LJZIOST,X,O,O,O,O,X,X,X,X
LJZSTIO,O,O,O,O,X,X,X,X,O
LJZSTOI,O,O,O,O,X,X,X,X,O
LJZSITO,O,O,O,O,X,X,X,X,O
LJZSIOT,O,O,O,O,O,X,X,X,X
LJZSOTI,O,O,X,O,O,X,X,X,X
LJZSOIT,O,O,O,O,O,X,X,X,X
LJZOTIS,X,X,O,X,O,X,X,X,O
LJZOTSI,X,X,O,X,O,X,X,X,O
LJZOITS,X,X,O,X,O,X,X,X,O
LJZOIST,X,O,O,O,O,X,X,X,X
LJZOSTI,X,O,X,O,O,X,X,X,X
LJZOSIT,X,O,O,O,O,X,X,X,X
LJOTISZ,X,O,X,X,X,X,X,X,X
LJOTIZS,X,X,X,X,O,X,X,X,X
LJOTSIZ,X,O,X,X,X,X,X,X,X
LJOTSZI,X,O,X,X,X,X,X,X,X
LJOTZIS,X,X,X,X,O,X,X,X,X
LJOTZSI,X,X,X,X,O,X,X,X,X
LJOITSZ,X,O,X,X,X,X,X,X,X
LJOITZS,X,X,X,X,O,X,X,X,X
LJOISTZ,X,O,X,X,X,X,X,X,X
LJOISZT,X,O,X,X,O,X,X,X,X
LJOIZTS,X,X,O,X,O,X,X,X,O
LJOIZST,X,O,O,X,O,X,X,X,X
LJOSTIZ,X,O,X,X,X,X,X,X,X
LJOSTZI,X,O,X,X,X,X,X,X,X
LJOSITZ,X,O,X,X,X,X,X,X,X
LJOSIZT,X,O,X,X,O,X,X,X,X
LJOSZTI,X,O,X,X,O,X,X,X,X
LJOSZIT,X,O,X,X,O,X,X,X,X
LJOZTIS,X,X,O,X,O,X,X,X,O
LJOZTSI,X,X,X,X,O,X,X,X,O
LJOZITS,X,X,O,X,O,X,X,X,O
LJOZIST,X,O,O,X,O,X,X,X,X
LJOZSTI,X,O,X,X,O,X,X,X,X
LJOZSIT,X,O,O,X,O,X,X,X,X
LSTIJZO,O,O,X,X,X,O,X,X,X
LSTIJOZ,X,O,X,X,X,O,X,X,X
LSTIZJO,O,O,O,X,X,O,O,O,X
LSTIZOJ,O,O,O,X,X,O,O,O,X
LSTIOJZ,X,O,X,X,X,O,X,X,X
LSTIOZJ,X,O,O,X,X,O,X,O,X
LSTJIZO,O,O,X,X,X,O,X,X,X
LSTJIOZ,X,O,X,X,X,O,X,X,X
LSTJZIO,O,O,X,X,X,X,X,X,X
LSTJZOI,O,O,X,X,X,X,X,X,X
LSTJOIZ,X,O,X,X,X,O,X,X,X
LSTJOZI,X,O,X,X,X,X,X,X,X
LSTZIJO,O,O,O,X,X,O,O,O,X
LSTZIOJ,O,O,O,X,X,O,O,O,X
LSTZJIO,O,O,O,X,X,X,O,O,X
LSTZJOI,O,O,O,X,X,X,O,O,X
LSTZOIJ,O,O,O,X,X,O,O,O,X
LSTZOJI,O,O,O,X,X,X,O,O,X
LSTOIJZ,X,O,X,X,X,O,X,X,X
LSTOIZJ,X,O,O,X,X,O,X,O,X
LSTOJIZ,X,O,X,X,X,O,X,X,X
LSTOJZI,X,O,X,X,X,X,X,X,X
LSTOZIJ,X,O,O,X,X,O,X,O,X
LSTOZJI,X,O,O,X,X,X,X,O,X
LSITJZO,O,O,X,X,X,O,X,X,X
LSITJOZ,X,O,X,X,X,O,X,X,X
LSITZJO,O,O,O,X,X,O,O,O,X
LSITZOJ,O,O,O,X,X,O,O,O,X
LSITOJZ,X,O,X,X,X,O,X,X,X
LSITOZJ,X,O,O,X,X,O,X,O,X
LSIJTZO,O,O,X,X,X,O,X,X,X
LSIJTOZ,X,O,X,X,X,O,X,X,X
LSIJZTO,O,O,X,O,X,X,O,X,O
LSIJZOT,O,O,X,X,O,X,X,X,X
LSIJOTZ,X,O,X,X,X,O,X,X,X
LSIJOZT,O,O,X,X,O,X,X,X,X
LSIZTJO,O,O,O,O,X,O,O,O,O
LSIZTOJ,O,O,O,O,X,O,O,O,X
LSIZJTO,O,O,O,O,X,X,O,O,O
LSIZJOT,O,O,O,X,O,X,X,O,X
LSIZOTJ,O,O,X,O,O,O,O,O,X
LSIZOJT,O,O,O,O,O,X,X,O,X
LSIOTJZ,X,O,X,X,X,O,X,X,X
LSIOTZJ,X,O,X,X,X,O,X,O,X
LSIOJTZ,X,O,X,X,X,O,X,X,X
LSIOJZT,O,O,X,O,O,X,X,X,X
LSIOZTJ,O,O,X,O,O,O,O,O,X
LSIOZJT,O,O,O,O,O,X,X,O,X
LSJTIZO,O,O,X,X,X,O,X,X,X
LSJTIOZ,X,O,X,X,X,O,X,X,X
LSJTZIO,O,O,X,X,X,X,X,X,X
LSJTZOI,O,O,X,X,X,X,X,X,X
LSJTOIZ,X,O,X,X,X,O,X,X,X
LSJTOZI,X,O,X,X,X,X,X,X,X
LSJITZO,O,O,X,X,X,O,X,X,X
LSJITOZ,X,O,X,X,X,O,X,X,X
LSJIZTO,O,O,X,O,X,X,O,X,O
LSJIZOT,O,O,X,X,O,X,X,X,X
LSJIOTZ,X,O,X,X,X,O,X,X,X
LSJIOZT,O,O,X,X,O,X,X,X,X
LSJZTIO,O,O,X,O,X,X,O,X,O
LSJZTOI,O,O,X,X,X,X,O,X,O
LSJZITO,O,O,X,O,X,X,O,X,O
LSJZIOT,O,O,X,X,O,X,X,X,X
LSJZOTI,O,O,X,X,O,X,X,X,X
LSJZOIT,O,O,X,X,O,X,X,X,X
LSJOTIZ,X,O,X,X,X,O,X,X,X
LSJOTZI,X,O,X,X,X,X,X,X,X
LSJOITZ,X,O,X,X,X,O,X,X,X
LSJOIZT,O,O,X,X,O,X,X,X,X
LSJOZTI,O,O,X,X,O,X,X,X,X
LSJOZIT,O,O,X,X,O,X,X,X,X
LSZTIJO,O,O,O,O,X,O,O,O,O
LSZTIOJ,O,O,O,O,X,O,O,O,X
LSZTJIO,O,O,O,O,X,X,O,O,O
LSZTJOI,O,O,O,X,X,X,O,O,O
LSZTOIJ,O,O,O,O,X,O,O,O,X
LSZTOJI,O,O,O,O,X,X,O,O,X
LSZITJO,O,O,O,O,X,O,O,O,O
LSZITOJ,O,O,O,O,X,O,O,O,X
LSZIJTO,O,O,O,O,X,X,O,O,O
LSZIJOT,O,O,O,X,O,X,X,O,X
LSZIOTJ,O,O,X,O,O,O,O,O,X
LSZIOJT,O,O,O,O,O,X,X,O,X
LSZJTIO,O,O,O,O,X,X,O,O,O
LSZJTOI,O,O,O,X,X,X,O,O,O
LSZJITO,O,O,O,O,X,X,O,O,O
LSZJIOT,O,O,O,X,O,X,X,O,X
LSZJOTI,O,O,X,X,O,X,X,O,X
LSZJOIT,O,O,O,X,O,X,X,O,X
LSZOTIJ,O,O,X,O,O,O,O,O,X
LSZOTJI,O,O,X,O,O,X,O,O,X
LSZOITJ,O,O,X,O,O,O,O,O,X
LSZOIJT,O,O,O,O,O,X,X,O,X
LSZOJTI,O,O,X,O,O,X,X,O,X
LSZOJIT,O,O,O,O,O,X,X,O,X
LSOTIJZ,X,O,X,X,X,O,X,X,X
LSOTIZJ,X,O,X,X,X,O,X,O,X
LSOTJIZ,X,O,X,X,X,O,X,X,X
LSOTJZI,X,O,X,X,X,X,X,X,X
LSOTZIJ,X,O,X,X,X,O,X,O,X
LSOTZJI,X,O,X,X,X,X,X,O,X
LSOITJZ,X,O,X,X,X,O,X,X,X
LSOITZJ,X,O,X,X,X,O,X,O,X
LSOIJTZ,X,O,X,X,X,O,X,X,X
LSOIJZT,O,O,X,O,O,X,X,X,X
LSOIZTJ,O,O,X,O,O,O,O,O,X
LSOIZJT,O,O,O,O,O,X,X,O,X
LSOJTIZ,X,O,X,X,X,O,X,X,X
LSOJTZI,X,O,X,X,X,X,X,X,X
LSOJITZ,X,O,X,X,X,O,X,X,X
LSOJIZT,O,O,X,O,O,X,X,X,X
LSOJZTI,O,O,X,O,O,X,X,X,X
LSOJZIT,O,O,X,O,O,X,X,X,X
LSOZTIJ,O,O,X,O,O,O,O,O,X
LSOZTJI,O,O,X,O,O,X,O,O,X
LSOZITJ,O,O,X,O,O,O,O,O,X
LSOZIJT,O,O,O,O,O,X,X,O,X
LSOZJTI,O,O,X,O,O,X,X,O,X
LSOZJIT,O,O,O,O,O,X,X,O,X
LZTIJSO,O,X,O,O,X,X,O,O,O
LZTIJOS,X,X,O,X,O,X,O,X,O
LZTISJO,O,X,O,O,X,X,O,O,O
LZTISOJ,O,X,O,O,X,X,O,O,X
LZTIOJS,X,X,O,O,O,X,O,X,O
LZTIOSJ,X,X,O,O,O,X,O,X,X
LZTJISO,O,X,O,O,X,X,O,O,O
LZTJIOS,X,X,O,X,O,X,O,X,O
LZTJSIO,O,X,O,O,X,X,O,O,O
LZTJSOI,O,X,O,O,X,X,O,O,O
LZTJOIS,X,X,O,X,O,X,O,X,O
LZTJOSI,X,X,O,X,O,X,O,X,O
LZTSIJO,O,X,O,O,X,X,O,O,O
LZTSIOJ,O,X,O,O,X,X,O,O,X
LZTSJIO,O,X,O,O,X,X,O,O,O
LZTSJOI,O,X,O,O,X,X,O,O,O
LZTSOIJ,O,X,O,O,X,X,O,O,X
LZTSOJI,O,X,O,O,X,X,O,O,X
LZTOIJS,X,X,O,O,O,X,O,X,O
LZTOISJ,X,X,O,O,O,X,O,X,X
LZTOJIS,X,X,O,O,O,X,O,X,O
LZTOJSI,X,X,O,O,O,X,O,X,O
LZTOSIJ,X,X,O,O,O,X,O,X,X
LZTOSJI,X,X,O,O,O,X,O,X,X
LZITJSO,O,X,O,O,X,X,O,O,O
LZITJOS,X,X,O,X,O,X,O,X,O
LZITSJO,O,X,O,O,X,X,O,O,O
LZITSOJ,O,X,O,O,X,X,O,O,X
LZITOJS,X,X,O,O,O,X,O,X,O
LZITOSJ,X,X,O,O,O,X,O,X,X
LZIJTSO,O,X,O,O,X,X,X,O,O
LZIJTOS,X,X,O,X,O,X,X,X,O
LZIJSTO,O,O,O,O,X,X,X,O,O
LZIJSOT,O,O,O,O,O,X,X,O,X
LZIJOTS,X,X,O,O,O,X,X,X,O
LZIJOST,X,O,O,O,O,X,X,O,X
LZISTJO,O,O,O,O,X,X,O,O,O
LZISTOJ,O,O,O,O,X,X,O,O,X
LZISJTO,O,O,O,O,X,X,O,O,O
LZISJOT,O,O,O,O,O,X,X,O,X
LZISOTJ,O,O,X,O,O,X,O,O,X
LZISOJT,O,O,O,O,O,X,X,O,X
LZIOTJS,X,X,O,O,O,X,X,X,O
LZIOTSJ,X,X,O,O,O,X,X,X,X
LZIOJTS,X,X,O,O,O,X,X,X,O
LZIOJST,X,O,O,O,O,X,X,O,X
LZIOSTJ,X,O,X,O,O,X,X,O,X
LZIOSJT,X,O,O,O,O,X,X,O,X
LZJTISO,O,X,O,O,X,X,X,O,O
LZJTIOS,X,X,O,X,O,X,X,X,O
LZJTSIO,O,X,O,O,X,X,X,O,O
LZJTSOI,O,X,O,O,X,X,X,O,O
LZJTOIS,X,X,O,X,O,X,X,X,O
LZJTOSI,X,X,O,X,O,X,X,X,O
LZJITSO,O,X,O,O,X,X,X,O,O
LZJITOS,X,X,O,X,O,X,X,X,O
LZJISTO,O,O,O,O,X,X,X,O,O
LZJISOT,O,O,O,O,O,X,X,O,X
LZJIOTS,X,X,O,O,O,X,X,X,O
LZJIOST,X,O,O,O,O,X,X,O,X
LZJSTIO,O,O,O,O,X,X,X,O,O
LZJSTOI,O,O,O,O,X,X,X,O,O
LZJSITO,O,O,O,O,X,X,X,O,O
LZJSIOT,O,O,O,O,O,X,X,O,X
LZJSOTI,O,O,X,O,O,X,X,O,X
LZJSOIT,O,O,O,O,O,X,X,O,X
LZJOTIS,X,X,O,O,O,X,X,X,O
LZJOTSI,X,X,O,O,O,X,X,X,O
LZJOITS,X,X,O,O,O,X,X,X,O
LZJOIST,X,O,O,O,O,X,X,O,X
LZJOSTI,X,O,X,O,O,X,X,O,X
LZJOSIT,X,O,O,O,O,X,X,O,X
LZSTIJO,O,O,O,O,X,X,O,O,O
LZSTIOJ,O,O,O,O,X,X,O,O,X
LZSTJIO,O,O,O,O,X,X,O,O,O
LZSTJOI,O,O,O,O,X,X,O,O,O
LZSTOIJ,O,O,O,O,X,X,O,O,X
LZSTOJI,O,O,O,O,X,X,O,O,X
LZSITJO,O,O,O,O,X,X,O,O,O
LZSITOJ,O,O,O,O,X,X,O,O,X
