sequence,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlB/mBUiB5?oBtqBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBamBUiB5?oBfsBWwB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhF0gB6mBNnB5?oB/qB2wB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oBXrB0rB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFSmBNnB5oB/?qB0rBmqB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlBNnB5oBC?mB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBGhB5oB8?qBXnBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBUhB5oBO?sBCrB3rB
TZIOLJS,O,O,O,X,O,X,O,X,X
TZIOLSJ,O,O,O,X,O,O,O,O,X
TZIOJLS,O,O,O,O,X,X,O,X,O
TZIOJSL,O,O,X,O,X,O,O,O,O
TZIOSLJ,O,O,O,O,O,O,O,O,X
TZIOSJL,O,O,X,O,X,O,O,O,X
TZLIJSO,O,O,O,X,X,X,O,X,X
TZLIJOS,O,O,O,X,O,X,O,X,X
TZLISJO,O,O,O,X,O,O,O,O,X
TZLISOJ,O,O,O,X,O,O,O,O,X
TZLIOJS,O,O,O,X,O,X,O,X,X
TZLIOSJ,O,O,O,X,O,O,O,O,X
TZLJISO,O,O,O,X,X,X,O,X,X
TZLJIOS,O,O,O,X,O,X,O,X,X
TZLJSIO,O,O,O,X,X,X,O,X,X
TZLJSOI,O,O,O,X,X,X,O,X,X
TZLJOIS,O,O,O,X,O,X,O,X,X
TZLJOSI,O,O,O,X,X,X,O,X,X
TZLSIJO,O,O,O,X,O,O,O,O,X
TZLSIOJ,O,O,O,X,O,O,O,O,X
TZLSJIO,O,O,O,X,O,O,O,O,X
TZLSJOI,O,O,O,X,O,O,O,O,X
TZLSOIJ,O,O,O,X,O,O,O,O,X
TZLSOJI,O,O,O,X,O,O,O,O,X
TZLOIJS,O,O,O,X,O,X,O,X,X
TZLOISJ,O,O,O,X,O,O,O,O,X
TZLOJIS,O,O,O,X,O,X,O,X,X
TZLOJSI,O,O,O,X,X,X,O,X,X
TZLOSIJ,O,O,O,X,O,O,O,O,X
TZLOSJI,O,O,O,X,O,O,O,O,X
TZJILSO,O,O,O,O,X,X,O,X,O
TZJILOS,O,O,O,O,X,X,O,X,O
TZJISLO,O,O,O,O,X,O,O,O,X
TZJISOL,O,O,X,O,X,O,O,O,O
TZJIOLS,O,O,O,O,X,X,O,X,O
TZJIOSL,O,O,X,O,X,O,O,O,O
TZJLISO,O,O,O,O,X,X,O,X,O
TZJLIOS,O,O,O,O,X,X,O,X,O
TZJLSIO,O,O,O,O,X,X,O,X,O
TZJLSOI,O,O,O,O,X,X,O,X,O
TZJLOIS,O,O,O,O,X,X,O,X,O
TZJLOSI,O,O,O,O,X,X,O,X,O
TZJSILO,O,O,O,O,X,O,O,O,X
TZJSIOL,O,O,X,O,X,O,O,O,O
TZJSLIO,O,O,O,O,X,O,O,O,X
TZJSLOI,O,O,O,O,X,O,O,O,X
TZJSOIL,O,O,X,O,X,O,O,O,O
TZJSOLI,O,O,X,O,X,O,O,O,X
TZJOILS,O,O,O,O,X,X,O,X,O
TZJOISL,O,O,X,O,X,O,O,O,O
TZJOLIS,O,O,O,O,X,X,O,X,O
TZJOLSI,O,O,O,O,X,X,O,X,O
TZJOSIL,O,O,X,O,X,O,O,O,O
TZJOSLI,O,O,X,O,X,O,O,O,X
TZSILJO,O,O,O,O,O,O,O,O,X
TZSILOJ,O,O,O,O,O,O,O,O,X
TZSIJLO,O,O,O,O,O,O,O,O,X
TZSIJOL,O,O,X,O,X,O,O,O,X
TZSIOLJ,O,O,O,O,O,O,O,O,X
TZSIOJL,O,O,X,O,X,O,O,O,X
TZSLIJO,O,O,O,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,O,O,O,X
TZSLJIO,O,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,O,O,O,X
TZSLOJI,O,O,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,O,O,X
TZSJIOL,O,O,X,O,X,O,O,O,X
TZSJLIO,O,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,O,X
TZSJOIL,O,O,X,O,X,O,O,O,X
TZSJOLI,O,O,X,O,X,O,O,O,X
TZSOILJ,O,O,O,O,O,O,O,O,X
TZSOIJL,O,O,X,O,X,O,O,O,X
TZSOLIJ,O,O,O,O,O,O,O,O,X
TZSOLJI,O,O,O,O,O,O,O,O,X
TZSOJIL,O,O,X,O,X,O,O,O,X
TZSOJLI,O,O,X,O,X,O,O,O,X
TZOILJS,O,O,O,X,O,X,O,X,X
TZOILSJ,O,O,O,X,O,O,O,O,X
TZOIJLS,O,O,O,O,X,X,O,X,O
TZOIJSL,O,O,X,O,X,O,O,O,O
TZOISLJ,O,O,O,O,O,O,O,O,X
TZOISJL,O,O,X,O,X,O,O,O,X
TZOLIJS,O,O,O,X,O,X,O,X,X
TZOLISJ,O,O,O,X,O,O,O,O,X
TZOLJIS,O,O,O,X,O,X,O,X,X
TZOLJSI,O,O,O,X,X,X,O,X,X
TZOLSIJ,O,O,O,X,O,O,O,O,X
TZOLSJI,O,O,O,X,O,O,O,O,X
TZOJILS,O,O,O,O,X,X,O,X,O
TZOJISL,O,O,X,O,X,O,O,O,O
TZOJLIS,O,O,O,O,X,X,O,X,O
TZOJLSI,O,O,O,O,X,X,O,X,O
TZOJSIL,O,O,X,O,X,O,O,O,O
TZOJSLI,O,O,X,O,X,O,O,O,X
TZOSILJ,O,O,O,O,O,O,O,O,X
TZOSIJL,O,O,X,O,X,O,O,O,X
TZOSLIJ,O,O,O,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,O,O,O,X
TZOSJIL,O,O,X,O,X,O,O,O,X
TZOSJLI,O,O,X,O,X,O,O,O,X
TOILJSZ,O,O,O,O,O,X,X,X,O
TOILJZS,O,O,O,O,O,X,O,X,O
TOILSJZ,O,O,O,O,O,X,X,X,X
TOILSZJ,O,O,O,O,O,O,X,O,X
TOILZJS,O,O,O,X,O,X,O,X,X
TOILZSJ,O,O,O,X,O,O,O,O,X
TOIJLSZ,O,O,O,O,O,X,X,X,O
TOIJLZS,O,O,O,O,O,X,O,X,O
TOIJSLZ,O,O,X,O,O,X,X,X,O
TOIJSZL,O,O,X,O,X,O,O,O,O
TOIJZLS,O,O,O,O,X,X,O,X,O
TOIJZSL,O,O,X,O,X,O,O,O,O
TOISLJZ,O,O,O,O,O,X,X,X,X
TOISLZJ,O,O,O,O,O,O,X,O,X
TOISJLZ,O,O,X,O,O,X,X,X,O
TOISJZL,O,O,X,O,X,O,O,O,O
TOISZLJ,O,O,O,O,O,O,O,O,X
TOISZJL,O,O,X,O,X,O,O,O,X
TOIZLJS,O,O,O,X,O,X,O,X,X
TOIZLSJ,O,O,O,X,O,O,O,O,X
TOIZJLS,O,O,O,O,X,X,O,X,O
TOIZJSL,O,O,X,O,X,O,O,O,O
TOIZSLJ,O,O,O,O,O,O,O,O,X
TOIZSJL,O,O,X,O,X,O,O,O,X
TOLIJSZ,O,O,O,O,O,X,X,X,O
TOLIJZS,O,O,O,O,O,X,O,X,O
TOLISJZ,O,O,O,O,O,X,X,X,X
TOLISZJ,O,O,O,O,O,O,X,O,X
TOLIZJS,O,O,O,X,O,X,O,X,X
TOLIZSJ,O,O,O,X,O,O,O,O,X
TOLJISZ,O,O,O,O,O,X,X,X,O
TOLJIZS,O,O,O,O,O,X,O,X,O
TOLJSIZ,O,O,O,O,O,X,X,X,O
TOLJSZI,O,O,X,O,O,X,X,X,O
TOLJZIS,O,O,O,O,O,X,O,X,O
TOLJZSI,O,O,O,O,X,X,O,X,O
TOLSIJZ,O,O,O,O,O,X,X,X,X
TOLSIZJ,O,O,O,O,O,O,X,O,X
TOLSJIZ,O,O,O,O,O,X,X,X,X
TOLSJZI,O,O,X,O,O,X,X,X,X
TOLSZIJ,O,O,O,O,O,O,X,O,X
TOLSZJI,O,O,O,O,O,O,X,O,X
TOLZIJS,O,O,O,X,O,X,O,X,X
TOLZISJ,O,O,O,X,O,O,O,O,X
TOLZJIS,O,O,O,X,O,X,O,X,X
TOLZJSI,O,O,O,X,X,X,O,X,X
TOLZSIJ,O,O,O,X,O,O,O,O,X
TOLZSJI,O,O,O,X,O,O,O,O,X
TOJILSZ,O,O,O,O,O,X,X,X,O
TOJILZS,O,O,O,O,O,X,O,X,O
TOJISLZ,O,O,X,O,O,X,X,X,O
TOJISZL,O,O,X,O,X,O,O,O,O
TOJIZLS,O,O,O,O,X,X,O,X,O
TOJIZSL,O,O,X,O,X,O,O,O,O
TOJLISZ,O,O,O,O,O,X,X,X,O
TOJLIZS,O,O,O,O,O,X,O,X,O
TOJLSIZ,O,O,O,O,O,X,X,X,O
TOJLSZI,O,O,X,O,O,X,X,X,O
TOJLZIS,O,O,O,O,O,X,O,X,O
TOJLZSI,O,O,O,O,X,X,O,X,O
TOJSILZ,O,O,X,O,O,X,X,X,O
TOJSIZL,O,O,X,O,X,O,O,O,O
TOJSLIZ,O,O,X,O,O,X,X,X,O
TOJSLZI,O,O,X,O,O,X,X,X,O
TOJSZIL,O,O,X,O,X,O,O,O,O
TOJSZLI,O,O,X,O,X,O,O,O,X
TOJZILS,O,O,O,O,X,X,O,X,O
TOJZISL,O,O,X,O,X,O,O,O,O
TOJZLIS,O,O,O,O,X,X,O,X,O
TOJZLSI,O,O,O,O,X,X,O,X,O
TOJZSIL,O,O,X,O,X,O,O,O,O
TOJZSLI,O,O,X,O,X,O,O,O,X
TOSILJZ,O,O,O,O,O,X,X,X,X
TOSILZJ,O,O,O,O,O,O,X,O,X
TOSIJLZ,O,O,X,O,O,X,X,X,O
TOSIJZL,O,O,X,O,X,O,O,O,O
TOSIZLJ,O,O,O,O,O,O,O,O,X
TOSIZJL,O,O,X,O,X,O,O,O,X
TOSLIJZ,O,O,O,O,O,X,X,X,X
TOSLIZJ,O,O,O,O,O,O,X,O,X
TOSLJIZ,O,O,O,O,O,X,X,X,X
TOSLJZI,O,O,X,O,O,X,X,X,X
TOSLZIJ,O,O,O,O,O,O,X,O,X
TOSLZJI,O,O,O,O,O,O,X,O,X
TOSJILZ,O,O,X,O,O,X,X,X,O
TOSJIZL,O,O,X,O,X,O,O,O,O
TOSJLIZ,O,O,X,O,O,X,X,X,O
TOSJLZI,O,O,X,O,O,X,X,X,O
TOSJZIL,O,O,X,O,X,O,O,O,O
TOSJZLI,O,O,X,O,X,O,O,O,X
TOSZILJ,O,O,O,O,O,O,O,O,X
TOSZIJL,O,O,X,O,X,O,O,O,X
TOSZLIJ,O,O,O,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,O,O,O,X
TOSZJIL,O,O,X,O,X,O,O,O,X
TOSZJLI,O,O,X,O,X,O,O,O,X
TOZILJS,O,O,O,X,O,X,O,X,X
TOZILSJ,O,O,O,X,O,O,O,O,X
TOZIJLS,O,O,O,O,X,X,O,X,O
TOZIJSL,O,O,X,O,X,O,O,O,O
TOZISLJ,O,O,O,O,O,O,O,O,X
TOZISJL,O,O,X,O,X,O,O,O,X
TOZLIJS,O,O,O,X,O,X,O,X,X
TOZLISJ,O,O,O,X,O,O,O,O,X
TOZLJIS,O,O,O,X,O,X,O,X,X
TOZLJSI,O,O,O,X,X,X,O,X,X
TOZLSIJ,O,O,O,X,O,O,O,O,X
TOZLSJI,O,O,O,X,O,O,O,O,X
TOZJILS,O,O,O,O,X,X,O,X,O
TOZJISL,O,O,X,O,X,O,O,O,O
TOZJLIS,O,O,O,O,X,X,O,X,O
TOZJLSI,O,O,O,O,X,X,O,X,O
TOZJSIL,O,O,X,O,X,O,O,O,O
TOZJSLI,O,O,X,O,X,O,O,O,X
TOZSILJ,O,O,O,O,O,O,O,O,X
TOZSIJL,O,O,X,O,X,O,O,O,X
TOZSLIJ,O,O,O,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,O,O,O,X
TOZSJIL,O,O,X,O,X,O,O,O,X
TOZSJLI,O,O,X,O,X,O,O,O,X
ITLJSZO,O,O,X,O,O,X,X,X,O
ITLJSOZ,O,O,O,O,O,X,X,X,O
ITLJZSO,O,O,O,O,X,X,O,X,O
ITLJZOS,O,O,O,O,O,X,O,X,O
ITLJOSZ,O,O,O,O,O,X,X,X,O
ITLJOZS,O,O,O,O,O,X,O,X,O
ITLSJZO,O,O,X,O,O,X,X,X,X
ITLSJOZ,O,O,O,O,O,X,X,X,X
ITLSZJO,O,O,O,O,O,O,X,O,X
ITLSZOJ,O,O,O,O,O,O,X,O,X
ITLSOJZ,O,O,O,O,O,X,X,X,X
ITLSOZJ,O,O,O,O,O,O,X,O,X
ITLZJSO,O,O,O,X,X,X,O,X,X
ITLZJOS,O,O,O,X,O,X,O,X,X
ITLZSJO,O,O,O,X,O,O,O,O,X
ITLZSOJ,O,O,O,X,O,O,O,O,X
ITLZOJS,O,O,O,X,O,X,O,X,X
ITLZOSJ,O,O,O,X,O,O,O,O,X
ITLOJSZ,O,O,O,O,O,X,X,X,O
ITLOJZS,O,O,O,O,O,X,O,X,O
ITLOSJZ,O,O,O,O,O,X,X,X,X
ITLOSZJ,O,O,O,O,O,O,X,O,X
ITLOZJS,O,O,O,X,O,X,O,X,X
ITLOZSJ,O,O,O,X,O,O,O,O,X
ITJLSZO,O,O,X,O,O,X,X,X,O
ITJLSOZ,O,O,O,O,O,X,X,X,O
ITJLZSO,O,O,O,O,X,X,O,X,O
ITJLZOS,O,O,O,O,O,X,O,X,O
ITJLOSZ,O,O,O,O,O,X,X,X,O
ITJLOZS,O,O,O,O,O,X,O,X,O
ITJSLZO,O,O,X,O,O,X,X,X,O
ITJSLOZ,O,O,X,O,O,X,X,X,O
ITJSZLO,O,O,X,O,O,O,O,O,X
ITJSZOL,O,O,X,O,X,O,O,O,O
ITJSOLZ,O,O,X,O,O,X,X,X,O
ITJSOZL,O,O,X,O,X,O,O,O,O
ITJZLSO,O,O,O,O,X,X,O,X,O
ITJZLOS,O,O,O,O,X,X,O,X,O
ITJZSLO,O,O,O,O,X,O,O,O,X
ITJZSOL,O,O,X,O,X,O,O,O,O
ITJZOLS,O,O,O,O,X,X,O,X,O
ITJZOSL,O,O,X,O,X,O,O,O,O
ITJOLSZ,O,O,O,O,O,X,X,X,O
ITJOLZS,O,O,O,O,O,X,O,X,O
ITJOSLZ,O,O,X,O,O,X,X,X,O
ITJOSZL,O,O,X,O,X,O,O,O,O
ITJOZLS,O,O,O,O,X,X,O,X,O
ITJOZSL,O,O,X,O,X,O,O,O,O
ITSLJZO,O,O,X,O,O,X,X,X,X
ITSLJOZ,O,O,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,O,O,X,O,X
ITSLZOJ,O,O,O,O,O,O,X,O,X
ITSLOJZ,O,O,O,O,O,X,X,X,X
ITSLOZJ,O,O,O,O,O,O,X,O,X
ITSJLZO,O,O,X,O,O,X,X,X,O
ITSJLOZ,O,O,X,O,O,X,X,X,O
ITSJZLO,O,O,X,O,O,O,O,O,X
ITSJZOL,O,O,X,O,X,O,O,O,O
ITSJOLZ,O,O,X,O,O,X,X,X,O
ITSJOZL,O,O,X,O,X,O,O,O,O
ITSZLJO,O,O,O,O,O,O,O,O,X
ITSZLOJ,O,O,O,O,O,O,O,O,X
ITSZJLO,O,O,O,O,O,O,O,O,X
ITSZJOL,O,O,X,O,X,O,O,O,X
ITSZOLJ,O,O,O,O,O,O,O,O,X
ITSZOJL,O,O,X,O,X,O,O,O,X
ITSOLJZ,O,O,O,O,O,X,X,X,X
ITSOLZJ,O,O,O,O,O,O,X,O,X
ITSOJLZ,O,O,X,O,O,X,X,X,O
ITSOJZL,O,O,X,O,X,O,O,O,O
ITSOZLJ,O,O,O,O,O,O,O,O,X
ITSOZJL,O,O,X,O,X,O,O,O,X
ITZLJSO,O,O,O,X,X,X,O,X,X
ITZLJOS,O,O,O,X,O,X,O,X,X
ITZLSJO,O,O,O,X,O,O,O,O,X
ITZLSOJ,O,O,O,X,O,O,O,O,X
ITZLOJS,O,O,O,X,O,X,O,X,X
ITZLOSJ,O,O,O,X,O,O,O,O,X
ITZJLSO,O,O,O,O,X,X,O,X,O
ITZJLOS,O,O,O,O,X,X,O,X,O
ITZJSLO,O,O,O,O,X,O,O,O,X
ITZJSOL,O,O,X,O,X,O,O,O,O
ITZJOLS,O,O,O,O,X,X,O,X,O
ITZJOSL,O,O,X,O,X,O,O,O,O
ITZSLJO,O,O,O,O,O,O,O,O,X
ITZSLOJ,O,O,O,O,O,O,O,O,X
ITZSJLO,O,O,O,O,O,O,O,O,X
ITZSJOL,O,O,X,O,X,O,O,O,X
ITZSOLJ,O,O,O,O,O,O,O,O,X
ITZSOJL,O,O,X,O,X,O,O,O,X
ITZOLJS,O,O,O,X,O,X,O,X,X
ITZOLSJ,O,O,O,X,O,O,O,O,X
ITZOJLS,O,O,O,O,X,X,O,X,O
ITZOJSL,O,O,X,O,X,O,O,O,O
ITZOSLJ,O,O,O,O,O,O,O,O,X
ITZOSJL,O,O,X,O,X,O,O,O,X
ITOLJSZ,O,O,O,O,O,X,X,X,O
ITOLJZS,O,O,O,O,O,X,O,X,O
ITOLSJZ,O,O,O,O,O,X,X,X,X
ITOLSZJ,O,O,O,O,O,O,X,O,X
ITOLZJS,O,O,O,X,O,X,O,X,X
ITOLZSJ,O,O,O,X,O,O,O,O,X
ITOJLSZ,O,O,O,O,O,X,X,X,O
ITOJLZS,O,O,O,O,O,X,O,X,O
ITOJSLZ,O,O,X,O,O,X,X,X,O
ITOJSZL,O,O,X,O,X,O,O,O,O
ITOJZLS,O,O,O,O,X,X,O,X,O
ITOJZSL,O,O,X,O,X,O,O,O,O
ITOSLJZ,O,O,O,O,O,X,X,X,X
ITOSLZJ,O,O,O,O,O,O,X,O,X
ITOSJLZ,O,O,X,O,O,X,X,X,O
ITOSJZL,O,O,X,O,X,O,O,O,O
ITOSZLJ,O,O,O,O,O,O,O,O,X
ITOSZJL,O,O,X,O,X,O,O,O,X
ITOZLJS,O,O,O,X,O,X,O,X,X
ITOZLSJ,O,O,O,X,O,O,O,O,X
ITOZJLS,O,O,O,O,X,X,O,X,O
ITOZJSL,O,O,X,O,X,O,O,O,O
ITOZSLJ,O,O,O,O,O,O,O,O,X
ITOZSJL,O,O,X,O,X,O,O,O,X
ILTJSZO,O,O,X,O,O,X,X,X,O
ILTJSOZ,O,O,O,O,O,X,X,X,O
ILTJZSO,O,O,O,O,X,X,O,X,O
ILTJZOS,O,O,O,O,O,X,O,X,O
ILTJOSZ,O,O,O,O,O,X,X,X,O
ILTJOZS,O,O,O,O,O,X,O,X,O
ILTSJZO,O,O,X,O,O,X,X,X,X
ILTSJOZ,O,O,O,O,O,X,X,X,X
ILTSZJO,O,O,O,O,O,O,X,O,X
ILTSZOJ,O,O,O,O,O,O,X,O,X
ILTSOJZ,O,O,O,O,O,X,X,X,X
ILTSOZJ,O,O,O,O,O,O,X,O,X
ILTZJSO,O,O,O,X,X,X,O,X,X
ILTZJOS,O,O,O,X,O,X,O,X,X
ILTZSJO,O,O,O,X,O,O,O,O,X
ILTZSOJ,O,O,O,X,O,O,O,O,X
ILTZOJS,O,O,O,X,O,X,O,X,X
ILTZOSJ,O,O,O,X,O,O,O,O,X
ILTOJSZ,O,O,O,O,O,X,X,X,O
ILTOJZS,O,O,O,O,O,X,O,X,O
ILTOSJZ,O,O,O,O,O,X,X,X,X
ILTOSZJ,O,O,O,O,O,O,X,O,X
ILTOZJS,O,O,O,X,O,X,O,X,X
ILTOZSJ,O,O,O,X,O,O,O,O,X
ILJTSZO,O,O,X,O,O,X,X,X,O
ILJTSOZ,O,O,O,O,O,X,X,X,O
ILJTZSO,O,O,O,O,X,X,O,X,O
ILJTZOS,O,O,O,O,O,X,O,X,O
ILJTOSZ,O,O,O,O,O,X,X,X,O
ILJTOZS,O,O,O,O,O,X,O,X,O
ILJSTZO,O,O,X,O,O,X,X,X,O
ILJSTOZ,O,O,X,O,O,X,X,X,O
ILJSZTO,O,O,X,O,X,X,X,X,O
ILJSZOT,O,O,X,O,X,X,X,X,X
ILJSOTZ,O,O,X,O,O,X,X,X,O
ILJSOZT,O,O,X,O,X,X,X,X,X
ILJZTSO,O,O,O,X,X,X,O,X,O
ILJZTOS,O,O,O,X,X,X,O,X,O
ILJZSTO,O,O,X,X,X,X,X,X,O
ILJZSOT,O,O,X,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,X,O,X,O
ILJZOST,O,X,X,X,X,X,X,X,X
ILJOTSZ,O,O,O,O,O,X,X,X,O
ILJOTZS,O,O,O,O,O,X,O,X,O
ILJOSTZ,O,O,X,O,O,X,X,X,O
ILJOSZT,O,O,X,O,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,O,X,O
ILJOZST,O,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,O,X,X,X,X
ILSTJOZ,O,O,O,O,O,X,X,X,X
ILSTZJO,O,O,O,O,O,O,X,O,X
ILSTZOJ,O,O,O,O,O,O,X,O,X
ILSTOJZ,O,O,O,O,O,X,X,X,X
ILSTOZJ,O,O,O,O,O,O,X,O,X
ILSJTZO,O,X,X,O,O,X,X,X,X
ILSJTOZ,O,X,X,O,O,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,O,X
ILSJZOT,O,X,X,O,X,X,X,X,X
ILSJOTZ,O,X,X,O,O,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X
ILSZTJO,O,O,O,O,O,O,X,O,X
ILSZTOJ,O,O,O,O,O,O,X,O,X
ILSZJTO,O,X,X,O,X,X,X,O,X
ILSZJOT,O,X,X,O,X,X,X,X,X
ILSZOTJ,O,O,O,O,O,O,X,O,X
ILSZOJT,O,X,X,O,X,X,X,X,X
ILSOTJZ,O,O,O,O,O,X,X,X,X
ILSOTZJ,O,O,O,O,O,O,X,O,X
ILSOJTZ,O,X,X,O,O,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X,X
ILSOZTJ,O,O,O,O,O,O,X,O,X
ILSOZJT,O,X,X,O,X,X,X,X,X
ILZTJSO,O,X,O,X,X,X,O,X,X
ILZTJOS,O,X,O,X,O,X,O,X,X
ILZTSJO,O,O,O,X,O,O,O,O,X
ILZTSOJ,O,O,O,X,O,O,O,O,X
ILZTOJS,O,X,O,X,O,X,O,X,X
ILZTOSJ,O,O,O,X,O,O,O,O,X
ILZJTSO,O,X,O,X,X,X,O,X,X
ILZJTOS,O,X,O,X,X,X,O,X,X
ILZJSTO,O,X,X,X,X,X,X,X,X
ILZJSOT,O,X,X,X,X,X,X,X,X
ILZJOTS,O,X,O,X,X,X,O,X,X
ILZJOST,O,X,X,X,X,X,X,X,X
ILZSTJO,O,O,O,X,O,O,X,O,X
ILZSTOJ,O,O,O,X,O,O,X,O,X
ILZSJTO,O,X,X,X,X,X,X,O,X
ILZSJOT,O,X,X,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,O,O,X,O,X
ILZSOJT,O,X,X,X,X,X,X,X,X
ILZOTJS,O,X,O,X,O,X,O,X,X
ILZOTSJ,O,O,O,X,O,O,O,O,X
ILZOJTS,O,X,O,X,X,X,O,X,X
ILZOJST,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,O,O,X,O,O,X,O,X
ILZOSJT,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,O,O,O,O,X,X,X,O
ILOTJZS,O,O,O,O,O,X,O,X,O
ILOTSJZ,O,O,O,O,O,X,X,X,X
ILOTSZJ,O,O,O,O,O,O,X,O,X
ILOTZJS,O,O,O,X,O,X,O,X,X
ILOTZSJ,O,O,O,X,O,O,O,O,X
ILOJTSZ,O,O,O,O,O,X,X,X,O
ILOJTZS,O,O,O,O,O,X,O,X,O
ILOJSTZ,O,O,X,O,O,X,X,X,O
ILOJSZT,O,O,X,O,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,O,X,O
ILOJZST,O,X,X,X,X,X,X,X,X
ILOSTJZ,O,O,O,O,O,X,X,X,X
ILOSTZJ,O,O,O,O,O,O,X,O,X
ILOSJTZ,O,X,X,O,O,X,X,X,X
ILOSJZT,O,X,X,O,X,X,X,X,X
ILOSZTJ,O,O,O,O,O,O,X,O,X
ILOSZJT,O,X,X,O,X,X,X,X,X
ILOZTJS,O,X,O,X,O,X,O,X,X
ILOZTSJ,O,O,O,X,O,O,O,O,X
ILOZJTS,O,X,O,X,X,X,O,X,X
ILOZJST,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,O,O,X,O,O,X,O,X
ILOZSJT,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,X,O,O,X,X,X,O
IJTLSOZ,O,O,O,O,O,X,X,X,O
IJTLZSO,O,O,O,O,X,X,O,X,O
IJTLZOS,O,O,O,O,O,X,O,X,O
IJTLOSZ,O,O,O,O,O,X,X,X,O
IJTLOZS,O,O,O,O,O,X,O,X,O
IJTSLZO,O,O,X,O,O,X,X,X,O
IJTSLOZ,O,O,X,O,O,X,X,X,O
IJTSZLO,O,O,X,O,O,O,O,O,X
IJTSZOL,O,O,X,O,X,O,O,O,O
IJTSOLZ,O,O,X,O,O,X,X,X,O
IJTSOZL,O,O,X,O,X,O,O,O,O
IJTZLSO,O,O,O,O,X,X,O,X,O
IJTZLOS,O,O,O,O,X,X,O,X,O
IJTZSLO,O,O,O,O,X,O,O,O,X
IJTZSOL,O,O,X,O,X,O,O,O,O
IJTZOLS,O,O,O,O,X,X,O,X,O
IJTZOSL,O,O,X,O,X,O,O,O,O
IJTOLSZ,O,O,O,O,O,X,X,X,O
IJTOLZS,O,O,O,O,O,X,O,X,O
IJTOSLZ,O,O,X,O,O,X,X,X,O
IJTOSZL,O,O,X,O,X,O,O,O,O
IJTOZLS,O,O,O,O,X,X,O,X,O
IJTOZSL,O,O,X,O,X,O,O,O,O
IJLTSZO,O,O,X,O,O,X,X,X,O
IJLTSOZ,O,O,O,O,O,X,X,X,O
IJLTZSO,O,O,O,O,X,X,O,X,O
IJLTZOS,O,O,O,O,O,X,O,X,O
IJLTOSZ,O,O,O,O,O,X,X,X,O
IJLTOZS,O,O,O,O,O,X,O,X,O
IJLSTZO,O,O,X,O,O,X,X,X,O
IJLSTOZ,O,O,X,O,O,X,X,X,O
IJLSZTO,O,O,X,O,X,X,X,X,O
IJLSZOT,O,O,X,O,X,X,X,X,X
IJLSOTZ,O,O,X,O,O,X,X,X,O
IJLSOZT,O,O,X,O,X,X,X,X,X
IJLZTSO,O,O,O,X,X,X,O,X,O
IJLZTOS,O,O,O,X,X,X,O,X,O
IJLZSTO,O,O,X,X,X,X,X,X,O
IJLZSOT,O,O,X,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,O,X,O
IJLZOST,O,X,X,X,X,X,X,X,X
IJLOTSZ,O,O,O,O,O,X,X,X,O
IJLOTZS,O,O,O,O,O,X,O,X,O
IJLOSTZ,O,O,X,O,O,X,X,X,O
IJLOSZT,O,O,X,O,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,O,X,O
IJLOZST,O,X,X,X,X,X,X,X,X
IJSTLZO,O,O,X,O,O,X,X,X,O
IJSTLOZ,O,O,X,O,O,X,X,X,O
IJSTZLO,O,O,X,O,O,O,O,O,X
IJSTZOL,O,O,X,O,X,O,O,O,O
IJSTOLZ,O,O,X,O,O,X,X,X,O
