sequence,v115@QhC8BeG8GeB8Jei/IvhFzgBFiBXjBUlBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFigBUiBFjB3lBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFChBxiB0qBeqBlrB3sB,v115@QhC8BeG8GeB8JeT/IvhFOlBFjBCmB/sB0rBRvB,v115@QhC8BeG8GeB8Je2EJvhF8lBzhBXjBFlBSxBRvB,v115@QhC8BeG8GeB8JeRAJvhFFjB0qB/pBurBiqBTsB,v115@QhC8BeG8GeB8Je2EJvhFChBxiB0qBlrB3sBzpB,v115@QhC8BeG8GeB8Jex/IvhF8lBzhBXjB2vBlpBSxB
TZSILOJ,O,O,O,X,X,O,O,X
TZSIJLO,O,O,O,X,X,O,O,X
TZSIJOL,O,O,O,X,O,O,O,X
TZSIOLJ,O,O,O,X,X,O,O,X
TZSIOJL,O,O,O,X,O,O,O,X
TZSLIJO,O,O,O,X,X,O,O,X
TZSLIOJ,O,O,O,X,X,O,O,X
TZSLJIO,O,O,O,X,X,O,O,X
TZSLJOI,O,O,O,X,X,O,O,X
TZSLOIJ,O,O,O,X,X,O,O,X
TZSLOJI,O,O,O,X,X,O,O,X
TZSJILO,O,O,O,X,X,O,O,X
TZSJIOL,X,O,O,X,X,O,O,X
TZSJLIO,O,O,O,X,X,O,O,X
TZSJLOI,O,O,O,X,X,O,O,X
TZSJOIL,X,O,O,X,O,O,O,X
TZSJOLI,O,O,O,X,O,O,O,X
TZSOILJ,O,O,O,X,X,O,O,X
TZSOIJL,X,O,O,X,O,O,O,X
TZSOLIJ,O,O,O,X,X,O,O,X
TZSOLJI,O,O,O,X,X,O,O,X
TZSOJIL,X,O,O,X,O,O,O,X
TZSOJLI,O,O,O,X,O,O,O,X
TZOILJS,X,X,O,O,X,O,X,X
TZOILSJ,O,O,X,X,X,O,X,X
TZOIJLS,X,X,O,O,X,O,X,X
TZOIJSL,X,O,O,X,O,O,X,X
TZOISLJ,O,O,O,X,X,O,X,X
TZOISJL,X,O,O,X,O,O,X,X
TZOLIJS,O,X,O,O,X,O,X,X
TZOLISJ,O,O,X,X,X,O,X,X
TZOLJIS,O,X,O,O,X,O,X,X
TZOLJSI,O,X,O,O,X,O,O,X
TZOLSIJ,O,O,O,X,X,O,O,X
TZOLSJI,O,O,O,X,X,O,O,X
TZOJILS,X,X,O,X,X,O,X,X
TZOJISL,X,O,O,X,X,O,X,X
TZOJLIS,O,X,O,X,X,O,X,X
TZOJLSI,O,X,O,X,X,O,O,X
TZOJSIL,X,O,O,X,O,O,O,X
TZOJSLI,O,O,O,X,O,O,O,X
TZOSILJ,O,O,O,X,X,O,O,X
TZOSIJL,X,O,O,X,O,O,O,X
TZOSLIJ,O,O,O,X,X,O,O,X
TZOSLJI,O,O,O,X,X,O,O,X
TZOSJIL,X,O,O,X,O,O,O,X
TZOSJLI,O,O,O,X,O,O,O,X
TOILJSZ,O,X,X,O,X,X,X,X
TOILJZS,X,X,X,O,X,X,X,X
TOILSJZ,O,O,X,O,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,X,X,O,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,X,X
TOIJLZS,X,X,X,O,X,X,X,X
TOIJSLZ,O,O,X,O,X,X,X,X
TOIJSZL,X,O,X,X,O,X,X,X
TOIJZLS,X,X,X,O,X,X,X,X
TOIJZSL,X,O,X,X,O,X,X,X
TOISLJZ,O,O,X,O,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,X,O,X,X,X,X
TOISJZL,X,O,X,X,O,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,O,X,X,X
TOIZLJS,O,X,O,O,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,X,O,O,X,X,X,X
TOIZJSL,O,O,O,X,O,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,X
TOIZSJL,O,O,O,X,O,X,X,X
TOLIJSZ,O,X,X,O,X,X,X,X
TOLIJZS,X,X,X,O,X,X,X,X
TOLISJZ,O,O,X,O,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,O,X,X,O,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X
TOLJIZS,X,X,X,O,X,X,X,X
TOLJSIZ,O,X,X,O,X,X,X,X
TOLJSZI,O,X,X,O,X,X,X,X
TOLJZIS,X,X,X,O,X,X,X,X
TOLJZSI,X,X,X,O,X,X,X,X
TOLSIJZ,O,O,X,O,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,O,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,X,X,O,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,X,X,O,X,X,X,X
TOLZJSI,O,X,X,O,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,O,X,X,O,X,X,X,X
TOJILZS,X,X,X,O,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X
TOJISZL,X,O,X,X,O,X,X,X
TOJIZLS,X,X,X,O,X,X,X,X
TOJIZSL,X,O,X,X,O,X,X,X
TOJLISZ,X,X,X,O,X,X,X,X
TOJLIZS,X,X,X,O,X,X,X,X
TOJLSIZ,O,X,X,O,X,X,X,X
TOJLSZI,O,X,X,O,X,X,X,X
TOJLZIS,X,X,X,O,X,X,X,X
TOJLZSI,X,X,X,O,X,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,X,O,X,X,O,X,X,X
TOJSLIZ,O,O,X,X,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X,X
TOJSZIL,X,O,X,X,O,X,X,O
TOJSZLI,X,O,X,X,O,X,X,O
TOJZILS,X,X,X,X,X,X,X,O
TOJZISL,X,O,X,X,X,X,X,O
TOJZLIS,X,X,X,X,X,X,X,O
TOJZLSI,X,X,X,X,X,X,X,O
TOJZSIL,X,O,X,X,O,X,X,O
TOJZSLI,X,O,X,X,O,X,X,O
TOSILJZ,O,O,X,O,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,O,X,X,X,X
TOSIJZL,X,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,O,X,X,X
TOSLIJZ,O,O,X,O,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,X,O,X,X,O,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X
TOSJZIL,X,O,X,X,O,X,X,O
TOSJZLI,X,O,X,X,O,X,X,O
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,X,O,X,X,O,X,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X
TOSZJIL,X,O,X,X,O,X,X,X
TOSZJLI,O,O,X,X,O,X,X,X
TOZILJS,X,X,O,O,X,O,X,X
TOZILSJ,O,O,X,X,X,O,X,X
TOZIJLS,X,X,O,O,X,O,X,X
TOZIJSL,X,O,O,X,O,O,X,X
TOZISLJ,O,O,O,X,X,O,X,X
TOZISJL,X,O,O,X,O,O,X,X
TOZLIJS,O,X,O,O,X,O,X,X
TOZLISJ,O,O,X,X,X,O,X,X
TOZLJIS,O,X,O,O,X,O,X,X
TOZLJSI,O,X,O,O,X,O,X,X
TOZLSIJ,O,O,O,X,X,O,X,X
TOZLSJI,O,O,O,X,X,O,X,X
TOZJILS,X,X,O,X,X,O,X,X
TOZJISL,X,O,O,X,X,O,X,X
TOZJLIS,O,X,O,X,X,O,X,X
TOZJLSI,O,X,O,X,X,O,X,X
TOZJSIL,X,O,O,X,O,O,X,X
TOZJSLI,O,O,O,X,O,O,X,X
TOZSILJ,O,O,O,X,X,O,X,X
TOZSIJL,X,O,O,X,O,O,X,X
TOZSLIJ,O,O,O,X,X,O,X,X
TOZSLJI,O,O,O,X,X,O,X,X
TOZSJIL,X,O,O,X,O,O,X,X
TOZSJLI,O,O,O,X,O,O,X,X
ITLJSZO,O,X,X,O,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X
ITLJZSO,O,X,X,O,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,X
ITLJOSZ,O,X,X,O,X,X,X,X
ITLJOZS,X,X,X,O,X,X,X,X
ITLSJZO,O,O,X,O,X,X,X,X
ITLSJOZ,O,O,X,O,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X
ITLSOJZ,O,O,X,O,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X
ITLZJSO,O,X,X,O,X,X,X,X
ITLZJOS,O,X,X,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,O,X,X,O,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,O,X,X,O,X,X,X,X
ITLOJZS,X,X,X,O,X,X,X,X
ITLOSJZ,O,O,X,O,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X
ITLOZJS,O,X,X,O,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,X
ITJLZSO,O,X,X,O,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,X
ITJLOSZ,O,X,X,O,X,X,X,X
ITJLOZS,X,X,X,O,X,X,X,X
ITJSLZO,O,O,X,O,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X
ITJSZOL,O,O,X,X,O,X,X,X
ITJSOLZ,O,O,X,O,X,X,X,X
ITJSOZL,X,O,X,X,O,X,X,X
ITJZLSO,O,X,X,O,X,X,X,X
ITJZLOS,O,X,X,O,X,X,X,X
ITJZSLO,O,O,X,X,X,X,O,X
ITJZSOL,O,O,X,X,O,X,O,X
ITJZOLS,O,X,X,O,X,X,X,X
ITJZOSL,O,O,X,X,O,X,X,X
ITJOLSZ,O,X,X,O,X,X,X,X
ITJOLZS,X,X,X,O,X,X,X,X
ITJOSLZ,O,O,X,O,X,X,X,X
ITJOSZL,X,O,X,X,O,X,X,X
ITJOZLS,X,X,X,O,X,X,X,X
ITJOZSL,X,O,X,X,O,X,X,X
ITSLJZO,O,O,X,O,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X
ITSJLOZ,O,O,X,O,X,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X
ITSJZOL,O,O,X,X,O,X,X,X
ITSJOLZ,O,O,X,O,X,X,X,X
ITSJOZL,X,O,X,X,O,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X
ITSZJOL,O,O,X,X,O,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X
ITSZOJL,O,O,X,X,O,X,X,X
ITSOLJZ,O,O,X,O,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,O,X,X,X,X
ITSOJZL,X,O,X,X,O,X,X,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,O,X,X,X
ITZLJSO,O,X,O,O,X,O,X,X
ITZLJOS,O,X,O,O,X,X,X,X
ITZLSJO,O,O,O,X,X,O,X,X
ITZLSOJ,O,O,X,X,X,O,X,X
ITZLOJS,O,X,O,O,X,O,X,X
ITZLOSJ,O,O,X,X,X,O,X,X
ITZJLSO,O,X,O,O,X,O,X,X
ITZJLOS,O,X,O,O,X,X,X,X
ITZJSLO,O,O,O,X,X,O,O,X
ITZJSOL,O,O,O,X,O,O,O,X
ITZJOLS,O,X,O,O,X,X,X,X
ITZJOSL,O,O,O,X,O,X,X,X
ITZSLJO,O,O,O,X,X,O,O,X
ITZSLOJ,O,O,O,X,X,O,O,X
ITZSJLO,O,O,O,X,X,O,O,X
ITZSJOL,O,O,O,X,O,O,O,X
ITZSOLJ,O,O,O,X,X,O,O,X
ITZSOJL,O,O,O,X,O,O,O,X
ITZOLJS,O,X,O,O,X,O,X,X
ITZOLSJ,O,O,X,X,X,O,X,X
ITZOJLS,O,X,O,O,X,O,X,X
ITZOJSL,O,O,O,X,O,O,X,X
ITZOSLJ,O,O,O,X,X,O,X,X
ITZOSJL,O,O,O,X,O,O,X,X
ITOLJSZ,O,X,X,O,X,X,X,X
ITOLJZS,X,X,X,O,X,X,X,X
ITOLSJZ,O,O,X,O,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,X,X,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,X,X
ITOJLZS,X,X,X,O,X,X,X,X
ITOJSLZ,O,O,X,O,X,X,X,X
ITOJSZL,X,O,X,X,O,X,X,X
ITOJZLS,X,X,X,O,X,X,X,X
ITOJZSL,X,O,X,X,O,X,X,X
ITOSLJZ,O,O,X,O,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,O,X,X,X,X
ITOSJZL,X,O,X,X,O,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,O,X,X,X
ITOZLJS,O,X,O,O,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,X,O,O,X,X,X,X
ITOZJSL,O,O,O,X,O,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X
ITOZSJL,O,O,O,X,O,X,X,X
ILTJSZO,O,X,X,O,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X
ILTJZSO,O,X,X,O,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X
ILTJOZS,X,X,X,O,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,X
ILTSJOZ,O,O,X,O,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,O,O,X,O,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X
ILTZJSO,O,X,X,O,X,X,X,X
ILTZJOS,O,X,X,O,X,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,O,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,O,X,X,O,X,X,X,X
ILTOJZS,X,X,X,O,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X
ILTOZJS,O,X,X,O,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,O,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,X
ILJTOSZ,O,X,X,O,X,X,X,X
ILJTOZS,X,X,X,O,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X
ILJSZOT,O,X,X,O,O,X,X,X
ILJSOTZ,O,X,X,O,X,X,X,X
ILJSOZT,X,X,X,O,O,X,X,X
ILJZTSO,O,X,X,O,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X
ILJZSTO,O,X,X,O,X,X,O,X
ILJZSOT,O,X,X,O,O,X,X,X
ILJZOTS,O,X,X,O,X,X,X,X
ILJZOST,O,X,X,O,O,X,X,X
ILJOTSZ,O,X,X,O,X,X,X,X
ILJOTZS,X,X,X,O,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,O,X,X,X
ILJOZTS,X,X,X,O,X,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,O,O,X,O,X,X,X,X
ILSTJOZ,O,O,X,O,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X,X
ILSTOJZ,O,O,X,O,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X,X
ILSJTZO,O,O,X,O,X,X,X,X
ILSJTOZ,O,O,X,O,X,X,X,X
ILSJZTO,O,O,X,O,X,X,X,X
ILSJZOT,O,O,X,O,O,X,X,X
ILSJOTZ,O,O,X,O,X,X,X,X
ILSJOZT,X,O,X,O,O,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,O,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X
ILSZOJT,O,O,X,X,O,X,X,X
ILSOTJZ,O,O,X,O,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X,X
ILSOJTZ,O,O,X,O,X,X,X,X
ILSOJZT,X,O,X,O,O,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X
ILSOZJT,O,O,X,X,O,X,X,X
ILZTJSO,O,X,O,O,X,X,X,X
ILZTJOS,O,X,O,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,X,X
ILZTOJS,O,X,O,O,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,X,X
ILZJTSO,O,X,O,O,X,X,X,X
ILZJTOS,O,X,O,O,X,X,X,X
ILZJSTO,O,X,O,O,X,X,O,X
ILZJSOT,O,X,O,O,O,X,X,X
ILZJOTS,O,X,O,O,X,X,X,X
ILZJOST,O,X,O,O,O,X,X,X
ILZSTJO,O,O,O,X,X,X,O,X
ILZSTOJ,O,O,O,X,X,X,O,X
ILZSJTO,O,O,O,X,X,X,O,X
ILZSJOT,O,O,O,X,O,X,X,X
ILZSOTJ,O,O,O,X,X,X,X,X
ILZSOJT,O,O,O,X,O,X,X,X
ILZOTJS,O,X,O,O,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,X
ILZOJST,O,X,O,O,O,X,X,X
ILZOSTJ,O,O,O,X,X,X,X,X
ILZOSJT,O,O,O,X,O,X,X,X
ILOTJSZ,O,X,X,O,X,X,X,X
ILOTJZS,X,X,X,O,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X
ILOTZJS,O,X,X,O,X,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,O,X,X,O,X,X,X,X
ILOJTZS,X,X,X,O,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X
ILOJSZT,X,X,X,O,O,X,X,X
ILOJZTS,X,X,X,O,X,X,X,X
ILOJZST,X,X,X,O,O,X,X,X
ILOSTJZ,O,O,X,O,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X,X
ILOSJTZ,O,O,X,O,X,X,X,X
ILOSJZT,X,O,X,O,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X
ILOSZJT,O,O,X,X,O,X,X,X
ILOZTJS,O,X,O,O,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,X,X
ILOZJTS,O,X,O,O,X,X,X,X
ILOZJST,O,X,O,O,O,X,X,X
ILOZSTJ,O,O,O,X,X,X,X,X
ILOZSJT,O,O,O,X,O,X,X,X
IJTLSZO,O,X,X,O,X,X,X,X
IJTLSOZ,O,X,X,O,X,X,X,X
IJTLZSO,O,X,X,O,X,X,X,X
IJTLZOS,O,X,X,O,X,X,X,X
IJTLOSZ,O,X,X,O,X,X,X,X
IJTLOZS,X,X,X,O,X,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X
IJTSZOL,O,O,X,X,O,X,X,X
IJTSOLZ,O,O,X,O,X,X,X,X
IJTSOZL,X,O,X,X,O,X,X,X
IJTZLSO,O,X,X,O,X,X,X,X
IJTZLOS,O,X,X,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X,O,X
IJTZSOL,O,O,X,X,O,X,O,X
IJTZOLS,O,X,X,O,X,X,X,X
IJTZOSL,O,O,X,X,O,X,X,X
IJTOLSZ,O,X,X,O,X,X,X,X
IJTOLZS,X,X,X,O,X,X,X,X
IJTOSLZ,O,O,X,O,X,X,X,X
IJTOSZL,X,O,X,X,O,X,X,X
IJTOZLS,X,X,X,O,X,X,X,X
IJTOZSL,X,O,X,X,O,X,X,X
IJLTSZO,O,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,O,X,X,X,X
IJLTZSO,O,X,X,O,X,X,X,X
IJLTZOS,O,X,X,O,X,X,X,X
IJLTOSZ,O,X,X,O,X,X,X,X
IJLTOZS,X,X,X,O,X,X,X,X
IJLSTZO,O,X,X,O,X,X,X,X
IJLSTOZ,O,X,X,O,X,X,X,X
IJLSZTO,O,X,X,O,X,X,X,X
IJLSZOT,O,X,X,O,O,X,X,X
IJLSOTZ,O,X,X,O,X,X,X,X
IJLSOZT,X,X,X,O,O,X,X,X
IJLZTSO,O,X,X,O,X,X,X,X
IJLZTOS,O,X,X,O,X,X,X,X
IJLZSTO,O,X,X,O,X,X,O,X
IJLZSOT,O,X,X,O,O,X,X,X
IJLZOTS,O,X,X,O,X,X,X,X
IJLZOST,O,X,X,O,O,X,X,X
IJLOTSZ,O,X,X,O,X,X,X,X
IJLOTZS,X,X,X,O,X,X,X,X
IJLOSTZ,O,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,O,X,X,X
IJLOZTS,X,X,X,O,X,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,O,O,X,O,X,X,X,X
IJSTLOZ,O,O,X,O,X,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X
IJSTZOL,O,O,X,X,O,X,X,X
IJSTOLZ,O,O,X,O,X,X,X,X
IJSTOZL,X,O,X,X,O,X,X,X
IJSLTZO,O,O,X,O,X,X,X,X
IJSLTOZ,O,O,X,O,X,X,X,X
IJSLZTO,O,O,X,O,X,X,X,X
IJSLZOT,O,O,X,O,O,X,X,X
IJSLOTZ,O,O,X,O,X,X,X,X
IJSLOZT,X,O,X,O,O,X,X,X
IJSZTLO,O,O,X,X,X,X,O,X
IJSZTOL,O,O,X,X,O,X,O,X
IJSZLTO,O,O,X,X,X,X,O,X
IJSZLOT,O,O,X,X,O,X,X,X
IJSZOTL,O,O,X,X,O,X,O,X
IJSZOLT,O,O,X,X,O,X,X,X
IJSOTLZ,O,O,X,O,X,X,X,X
IJSOTZL,X,O,X,X,O,X,X,X
IJSOLTZ,O,O,X,O,X,X,X,X
IJSOLZT,X,O,X,O,O,X,X,X
IJSOZTL,X,O,X,X,O,X,X,O
IJSOZLT,X,O,X,X,O,X,X,X
IJZTLSO,O,X,O,O,X,X,O,X
IJZTLOS,O,X,O,O,X,X,X,X
IJZTSLO,O,O,O,X,X,X,O,X
IJZTSOL,O,O,O,X,O,X,O,X
IJZTOLS,O,X,O,O,X,X,X,X
IJZTOSL,O,O,O,X,O,X,X,X
IJZLTSO,O,X,O,O,X,X,O,X
IJZLTOS,O,X,O,O,X,X,X,X
IJZLSTO,O,X,O,O,X,X,O,X
IJZLSOT,O,X,O,O,O,X,X,X
IJZLOTS,O,X,O,O,X,X,X,X
IJZLOST,O,X,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,X,O,X
IJZSTOL,O,O,O,X,O,X,O,X
IJZSLTO,O,O,O,X,X,X,O,X
IJZSLOT,O,O,O,X,O,X,X,X
IJZSOTL,O,O,O,X,O,X,O,X
IJZSOLT,O,O,O,X,O,X,X,X
IJZOTLS,O,X,O,O,X,X,X,X
IJZOTSL,O,O,O,X,O,X,X,X
IJZOLTS,O,X,O,O,X,X,X,X
IJZOLST,O,X,O,O,O,X,X,X
IJZOSTL,O,O,O,X,O,X,O,X
IJZOSLT,O,O,O,X,O,X,X,X
IJOTLSZ,O,X,X,O,X,X,X,X
IJOTLZS,X,X,X,O,X,X,X,X
IJOTSLZ,O,O,X,O,X,X,X,X
IJOTSZL,X,O,X,X,O,X,X,X
IJOTZLS,X,X,X,O,X,X,X,X
IJOTZSL,X,O,X,X,O,X,X,X
IJOLTSZ,O,X,X,O,X,X,X,X
IJOLTZS,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,X,O,X,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,X,X,X,O,X,X,X,X
IJOLZST,X,X,X,O,O,X,X,X
IJOSTLZ,O,O,X,O,X,X,X,X
IJOSTZL,X,O,X,X,O,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X
IJOSLZT,X,O,X,O,O,X,X,X
IJOSZTL,X,O,X,X,O,X,X,O
IJOSZLT,X,O,X,X,O,X,X,X
IJOZTLS,X,X,O,O,X,X,X,O
IJOZTSL,X,O,O,X,O,X,X,O
IJOZLTS,X,X,O,O,X,X,X,X
IJOZLST,X,X,O,O,O,X,X,X
IJOZSTL,X,O,O,X,O,X,O,O
IJOZSLT,X,O,O,X,O,X,X,X
ISTLJZO,O,O,X,O,X,X,X,X
ISTLJOZ,O,O,X,O,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X
ISTLOJZ,O,O,X,O,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X
ISTJLZO,O,O,X,O,X,X,X,X
ISTJLOZ,O,O,X,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,O,X,X,X
ISTJOLZ,O,O,X,O,X,X,X,X
ISTJOZL,X,O,X,X,O,X,X,X
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,X
ISTZOJL,O,O,X,X,O,X,X,X
ISTOLJZ,O,O,X,O,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,X,O,X,X,X,X
ISTOJZL,X,O,X,X,O,X,X,X
ISTOZLJ,O,O,X,X,X,X,X,X
ISTOZJL,O,O,X,X,O,X,X,X
ISLTJZO,O,O,X,O,X,X,X,X
ISLTJOZ,O,O,X,O,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X
ISLTOJZ,O,O,X,O,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X
ISLJTZO,O,O,X,O,X,X,X,X
ISLJTOZ,O,O,X,O,X,X,X,X
ISLJZTO,O,O,X,O,X,X,X,X
ISLJZOT,O,O,X,O,O,X,X,X
ISLJOTZ,O,O,X,O,X,X,X,X
ISLJOZT,X,O,X,O,O,X,X,X
