sequence,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBCjBTlB/rB8s?B+tB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB3iB5oB9rBet?BUsB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhFxhBXjByqBurB9t?B0sB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB5oB9rBet?B3sB,v115@9gB8HeB8HeB8HeE8AeA8MeOFJvhF8lBRiBSoB9rB/s?BTtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBGjBTlB/rBCt?BUtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBunBcoBTlB/r?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhF2mBXjB9tBxqB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB9rBxsBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBTlB/rBGoBUt?BCtB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhF0iBTlBxrBXtBtr?B6tB,v115@9gB8HeB8HeB8HeE8AeA8Me2FJvhFRiBcoB9rBTnB3l?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBSoBTlB/rBUo?BWyB,v115@9gB8HeB8HeB8HeE8AeA8MeNFJvhF3hB5nB8rBOtBzl?B6tB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhFdoB5oBTlB3mB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB9rBxnBUnBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFXjBTlBimB+tB8r?BtsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBRnBctB9rB/s?BGtB
ISOJLZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
ISOJZTL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
ISOZTJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
ISOZLTJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X
ISOZLJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
ISOZJTL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZTLJSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZTLJOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTLSJO,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZTLSOJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IZTLOJS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O
IZTLOSJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
IZTJLSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZTJLOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTJSLO,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTJSOL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZTJOLS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZTSLJO,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IZTSLOJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X
IZTSJLO,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTSJOL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZTSOLJ,X,X,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
IZTSOJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZTOLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IZTOJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZTOSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
IZTOSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZLTJSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZLTJOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZLTSOJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IZLTOJS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O
IZLTOSJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
IZLJTSO,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZLJTOS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLJOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLSJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZLSJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLSOJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLOTJS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLOTSJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IZLOJTS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZLOJST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJTLSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZJTLOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJTSLO,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJTSOL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJTOLS,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJLTSO,X,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJLTOS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZJLOST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZJSTOL,X,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJSLTO,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJSLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZJOTLS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJOLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZJOSLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSTLJO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IZSTJLO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSTJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X
IZSTOJL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZSLTJO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSLJTO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSLJOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
IZSLOJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSJTLO,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
IZSJLTO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSJLOT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X
IZSOTJL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZSOJTL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZSOJLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOTLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IZOTJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZOTSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
IZOTSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZOLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOLTSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
IZOLJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZOLJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O
IZOLSJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJTLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IZOJLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZOJSLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X
IZOSTJL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZOSJTL,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOTLJSZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTLZJS,X,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLZS,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X
IOTJZLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOTSJZL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOTSZLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
IOTSZJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOTZLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOTZJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOTZSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
IOTZSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOLTJSZ,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTJZS,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
IOLTSJZ,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X
IOLJSZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLJZTS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLSZTJ,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X
IOLSZJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLZTJS,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
IOLZJTS,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
IOLZJST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
IOLZSJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJTLSZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTLZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X
IOJTZLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJLTSZ,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLTZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,O,O,X,X,X,O,X,O,X,X,X,O,X
IOJLSZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOJLZTS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
IOJSLTZ,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X
IOJSLZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOJSZTL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJZTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOJZLTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,X
IOJZSLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSTLJZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSTJZL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSTZLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
IOSTZJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSLTJZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X
IOSLZJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSJTLZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSJTZL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSJLTZ,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSJZTL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
IOSZTJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSZLTJ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSZJTL,O,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZTLJS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
IOZTJLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOZTSLJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
IOZTSJL,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOZLTJS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOZLJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
IOZLSJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJTLS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
IOZJLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
IOZSTJL,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,X
IOZSLTJ,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X
IOZSLJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOZSJTL,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTIJSZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
LTIJZOS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTISJZO,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTISJOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
LTISZJO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
LTISOJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
LTISOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
LTIZJSO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LTIZJOS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTIZSJO,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
LTIZSOJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTIZOSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
LTIOSZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
LTIOZJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LTJISOZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJIZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTJIZOS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJIOSZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJIOZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJSIZO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LTJSZIO,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
LTJSOZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
LTJZISO,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
LTJZIOS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJZSIO,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
LTJZSOI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
LTJZOIS,O,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
LTJZOSI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
LTJOISZ,X,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
LTJOIZS,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
LTJOSIZ,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X
LTJOSZI,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,X,O,X
