sequence,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhFigBUiB5oBF?qBXrBGrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhF/lBVnB5oBK?rBGmBUqB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFVmBUiB5oBK?qBGlBTrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFzgBUiB5oB+?rBlqBaqB
ILTJSZO,O,X,X,O
ILTJSOZ,O,X,X,O
ILTJZSO,X,O,X,O
ILTJZOS,O,O,X,O
ILTJOSZ,O,X,X,O
ILTJOZS,O,O,X,O
ILTSJZO,O,X,X,O
ILTSJOZ,O,X,X,O
ILTSZJO,O,O,X,X
ILTSZOJ,O,O,O,X
ILTSOJZ,O,X,O,O
ILTSOZJ,O,O,O,X
ILTZJSO,X,O,X,X
ILTZJOS,O,O,X,X
ILTZSJO,O,O,X,X
ILTZSOJ,O,O,O,X
ILTZOJS,O,O,O,X
ILTZOSJ,O,O,O,X
ILTOJSZ,O,X,O,O
ILTOJZS,O,O,O,O
ILTOSJZ,O,X,O,O
ILTOSZJ,O,O,O,X
ILTOZJS,O,O,O,X
ILTOZSJ,O,O,O,X
ILJTSZO,X,X,X,O
ILJTSOZ,X,X,X,O
ILJTZSO,X,O,X,O
ILJTZOS,X,O,X,O
ILJTOSZ,X,X,X,O
ILJTOZS,X,O,X,O
ILJSTZO,X,X,X,O
ILJSTOZ,X,X,X,O
ILJSZTO,X,X,X,O
ILJSZOT,X,X,O,X
ILJSOTZ,X,X,O,X
ILJSOZT,X,X,O,X
ILJZTSO,X,O,X,O
ILJZTOS,X,O,X,O
ILJZSTO,X,O,X,O
ILJZSOT,X,O,O,X
ILJZOTS,X,O,O,X
ILJZOST,X,O,O,X
ILJOTSZ,X,X,O,X
ILJOTZS,X,O,O,X
ILJOSTZ,X,X,O,X
ILJOSZT,X,X,O,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,O,X
ILSTJZO,O,X,X,O
ILSTJOZ,O,X,X,O
ILSTZJO,O,O,X,X
ILSTZOJ,O,O,O,X
ILSTOJZ,O,X,O,O
ILSTOZJ,O,O,O,X
ILSJTZO,X,X,X,O
ILSJTOZ,X,X,X,O
ILSJZTO,X,X,X,O
ILSJZOT,X,X,O,X
ILSJOTZ,X,X,O,X
ILSJOZT,X,X,O,X
ILSZTJO,O,O,X,X
ILSZTOJ,O,O,O,X
ILSZJTO,X,O,X,O
ILSZJOT,X,O,O,X
ILSZOTJ,O,O,O,X
ILSZOJT,X,O,O,X
ILSOTJZ,O,X,O,X
ILSOTZJ,O,O,O,X
ILSOJTZ,X,X,O,X
ILSOJZT,X,X,O,X
ILSOZTJ,O,O,O,X
ILSOZJT,X,O,O,X
ILZTJSO,X,O,X,X
ILZTJOS,O,O,X,X
ILZTSJO,O,O,X,X
ILZTSOJ,O,O,O,X
ILZTOJS,O,O,O,X
ILZTOSJ,O,O,O,X
ILZJTSO,X,O,X,O
ILZJTOS,X,O,X,O
ILZJSTO,X,O,X,O
ILZJSOT,X,O,O,X
ILZJOTS,X,O,O,X
ILZJOST,X,O,O,X
ILZSTJO,O,O,X,X
ILZSTOJ,O,O,O,X
ILZSJTO,X,O,X,O
ILZSJOT,X,O,O,X
ILZSOTJ,O,O,O,X
ILZSOJT,X,O,O,X
ILZOTJS,O,O,O,X
ILZOTSJ,O,O,O,X
ILZOJTS,X,O,O,X
ILZOJST,X,O,O,X
ILZOSTJ,O,O,O,X
ILZOSJT,X,O,O,X
ILOTJSZ,O,X,O,X
ILOTJZS,O,O,O,X
ILOTSJZ,O,X,O,X
ILOTSZJ,O,O,O,X
ILOTZJS,O,O,O,X
ILOTZSJ,O,O,O,X
ILOJTSZ,X,X,O,X
ILOJTZS,X,O,O,X
ILOJSTZ,X,X,O,X
ILOJSZT,X,X,O,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,O,X
ILOSTJZ,O,X,O,X
ILOSTZJ,O,O,O,X
ILOSJTZ,X,X,O,X
ILOSJZT,X,X,O,X
ILOSZTJ,O,O,O,X
ILOSZJT,X,O,O,X
ILOZTJS,O,O,O,X
ILOZTSJ,O,O,O,X
ILOZJTS,X,O,O,X
ILOZJST,X,O,O,X
ILOZSTJ,O,O,O,X
ILOZSJT,X,O,O,X
IJTLSZO,O,X,X,O
IJTLSOZ,O,X,X,O
IJTLZSO,X,O,X,O
IJTLZOS,O,O,X,O
IJTLOSZ,O,X,X,O
IJTLOZS,O,O,X,O
IJTSLZO,O,X,X,O
IJTSLOZ,O,X,X,O
IJTSZLO,O,X,X,O
IJTSZOL,O,X,X,O
IJTSOLZ,O,X,X,O
IJTSOZL,O,X,X,O
IJTZLSO,X,O,X,O
IJTZLOS,O,O,X,O
IJTZSLO,O,O,X,O
IJTZSOL,O,O,X,O
IJTZOLS,O,O,X,O
IJTZOSL,O,O,X,O
IJTOLSZ,O,X,X,O
IJTOLZS,O,O,X,O
IJTOSLZ,O,X,X,O
IJTOSZL,O,X,X,O
IJTOZLS,O,O,X,O
IJTOZSL,O,O,X,O
IJLTSZO,X,X,X,O
IJLTSOZ,X,X,X,O
IJLTZSO,X,O,X,O
IJLTZOS,X,O,X,O
IJLTOSZ,X,X,X,O
IJLTOZS,X,O,X,O
IJLSTZO,X,X,X,O
IJLSTOZ,X,X,X,O
IJLSZTO,X,X,X,O
IJLSZOT,X,X,O,X
IJLSOTZ,X,X,O,X
IJLSOZT,X,X,O,X
IJLZTSO,X,O,X,O
IJLZTOS,X,O,X,O
IJLZSTO,X,O,X,O
IJLZSOT,X,O,O,X
IJLZOTS,X,O,O,X
IJLZOST,X,O,O,X
IJLOTSZ,X,X,O,X
IJLOTZS,X,O,O,X
IJLOSTZ,X,X,O,X
IJLOSZT,X,X,O,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,O,X
IJSTLZO,O,X,X,O
IJSTLOZ,O,X,X,O
IJSTZLO,O,X,X,O
IJSTZOL,O,X,X,O
IJSTOLZ,O,X,X,O
IJSTOZL,O,X,X,O
IJSLTZO,X,X,X,O
IJSLTOZ,X,X,X,O
IJSLZTO,X,X,X,O
IJSLZOT,X,X,O,X
IJSLOTZ,X,X,O,X
IJSLOZT,X,X,O,X
IJSZTLO,O,X,X,O
IJSZTOL,O,X,X,O
IJSZLTO,X,X,X,O
IJSZLOT,X,X,O,X
IJSZOTL,O,X,O,O
IJSZOLT,X,X,O,X
IJSOTLZ,O,X,O,O
IJSOTZL,O,X,O,O
IJSOLTZ,X,X,O,X
IJSOLZT,X,X,O,X
IJSOZTL,O,X,O,O
IJSOZLT,X,X,O,X
IJZTLSO,X,O,X,O
IJZTLOS,O,O,X,O
IJZTSLO,O,O,X,O
IJZTSOL,O,O,X,O
IJZTOLS,O,O,X,O
IJZTOSL,O,O,X,O
IJZLTSO,X,O,X,O
IJZLTOS,X,O,X,O
IJZLSTO,X,O,X,O
IJZLSOT,X,O,O,X
IJZLOTS,X,O,O,X
IJZLOST,X,O,O,X
IJZSTLO,O,O,X,O
IJZSTOL,O,O,X,O
IJZSLTO,X,O,X,O
IJZSLOT,X,O,O,X
IJZSOTL,O,O,O,O
IJZSOLT,X,O,O,X
IJZOTLS,O,O,O,O
IJZOTSL,O,O,O,O
IJZOLTS,X,O,O,X
IJZOLST,X,O,O,X
IJZOSTL,O,O,O,O
IJZOSLT,X,O,O,X
IJOTLSZ,O,X,O,O
IJOTLZS,O,O,O,O
IJOTSLZ,O,X,O,O
IJOTSZL,O,X,O,O
IJOTZLS,O,O,O,O
IJOTZSL,O,O,O,O
IJOLTSZ,X,X,O,X
IJOLTZS,X,O,O,X
IJOLSTZ,X,X,O,X
IJOLSZT,X,X,O,X
IJOLZTS,X,O,O,X
IJOLZST,X,O,O,X
IJOSTLZ,O,X,O,O
IJOSTZL,O,X,O,O
IJOSLTZ,X,X,O,X
IJOSLZT,X,X,O,X
IJOSZTL,O,X,O,O
IJOSZLT,X,X,O,X
IJOZTLS,O,O,O,O
IJOZTSL,O,O,O,O
IJOZLTS,X,O,O,X
IJOZLST,X,O,O,X
IJOZSTL,O,O,O,O
IJOZSLT,X,O,O,X
ISTLJZO,O,X,X,O
ISTLJOZ,O,X,X,O
ISTLZJO,O,O,X,X
ISTLZOJ,O,O,O,X
ISTLOJZ,O,X,O,O
ISTLOZJ,O,O,O,X
ISTJLZO,O,X,X,O
ISTJLOZ,O,X,X,O
ISTJZLO,O,X,X,O
ISTJZOL,O,X,X,O
ISTJOLZ,O,X,X,O
ISTJOZL,O,X,X,O
ISTZLJO,O,O,X,X
ISTZLOJ,O,O,O,X
ISTZJLO,O,O,X,O
ISTZJOL,O,O,X,O
ISTZOLJ,O,O,O,X
ISTZOJL,O,O,O,O
ISTOLJZ,O,X,O,O
ISTOLZJ,O,O,O,X
ISTOJLZ,O,X,O,O
ISTOJZL,O,X,O,O
ISTOZLJ,O,O,O,X
ISTOZJL,O,O,O,O
ISLTJZO,O,X,X,O
ISLTJOZ,O,X,X,O
ISLTZJO,O,O,X,X
ISLTZOJ,O,O,O,X
ISLTOJZ,O,X,O,O
ISLTOZJ,O,O,O,X
ISLJTZO,X,X,X,O
ISLJTOZ,X,X,X,O
ISLJZTO,X,X,X,O
ISLJZOT,X,X,O,X
ISLJOTZ,X,X,O,X
ISLJOZT,X,X,O,X
ISLZTJO,O,O,X,X
ISLZTOJ,O,O,O,X
ISLZJTO,X,O,X,O
ISLZJOT,X,O,O,X
ISLZOTJ,O,O,O,X
ISLZOJT,X,O,O,X
ISLOTJZ,O,X,O,X
ISLOTZJ,O,O,O,X
ISLOJTZ,X,X,O,X
ISLOJZT,X,X,O,X
ISLOZTJ,O,O,O,X
ISLOZJT,X,O,O,X
ISJTLZO,O,X,X,O
ISJTLOZ,O,X,X,O
ISJTZLO,O,X,X,O
ISJTZOL,O,X,X,O
ISJTOLZ,O,X,X,O
ISJTOZL,O,X,X,O
ISJLTZO,X,X,X,O
ISJLTOZ,X,X,X,O
ISJLZTO,X,X,X,O
ISJLZOT,X,X,O,X
ISJLOTZ,X,X,O,X
ISJLOZT,X,X,O,X
ISJZTLO,O,X,X,O
ISJZTOL,O,X,X,O
ISJZLTO,X,X,X,O
ISJZLOT,X,X,O,X
ISJZOTL,O,X,O,O
ISJZOLT,X,X,O,X
ISJOTLZ,O,X,O,O
ISJOTZL,O,X,O,O
ISJOLTZ,X,X,O,X
ISJOLZT,X,X,O,X
ISJOZTL,O,X,O,O
ISJOZLT,X,X,O,X
ISZTLJO,O,O,X,X
ISZTLOJ,O,O,O,X
ISZTJLO,O,O,X,O
ISZTJOL,O,O,X,O
ISZTOLJ,O,O,O,X
ISZTOJL,O,O,O,O
ISZLTJO,O,O,X,X
ISZLTOJ,O,O,O,X
ISZLJTO,X,O,X,O
ISZLJOT,X,O,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,X,O,O,X
ISZJTLO,O,O,X,O
ISZJTOL,O,O,X,O
ISZJLTO,X,O,X,O
ISZJLOT,X,O,O,X
ISZJOTL,O,O,O,O
ISZJOLT,X,O,O,X
ISZOTLJ,O,O,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,O,O,X
ISZOLJT,X,O,O,X
ISZOJTL,O,O,O,O
ISZOJLT,X,O,O,X
ISOTLJZ,O,X,O,O
ISOTLZJ,O,O,O,X
ISOTJLZ,O,X,O,O
ISOTJZL,O,X,O,O
ISOTZLJ,O,O,O,X
ISOTZJL,O,O,O,O
ISOLTJZ,O,X,O,X
ISOLTZJ,O,O,O,X
ISOLJTZ,X,X,O,X
ISOLJZT,X,X,O,X
ISOLZTJ,O,O,O,X
ISOLZJT,X,O,O,X
ISOJTLZ,O,X,O,O
ISOJTZL,O,X,O,O
ISOJLTZ,X,X,O,X
ISOJLZT,X,X,O,X
ISOJZTL,O,X,O,O
ISOJZLT,X,X,O,X
ISOZTLJ,O,O,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,O,O,X
ISOZLJT,X,O,O,X
ISOZJTL,O,O,O,O
ISOZJLT,X,O,O,X
IZTLJSO,X,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,O,X
IZTLOJS,O,O,O,X
IZTLOSJ,O,O,O,X
IZTJLSO,X,O,X,O
IZTJLOS,O,O,X,O
IZTJSLO,O,O,X,O
IZTJSOL,O,O,X,O
IZTJOLS,O,O,X,O
IZTJOSL,O,O,X,O
IZTSLJO,O,O,X,X
IZTSLOJ,O,O,O,X
IZTSJLO,O,O,X,O
IZTSJOL,O,O,X,O
IZTSOLJ,O,O,O,X
IZTSOJL,O,O,O,O
IZTOLJS,O,O,O,X
IZTOLSJ,O,O,O,X
IZTOJLS,O,O,O,O
IZTOJSL,O,O,O,O
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,O
IZLTJSO,X,O,X,X
IZLTJOS,O,O,X,X
IZLTSJO,O,O,X,X
IZLTSOJ,O,O,O,X
IZLTOJS,O,O,O,X
IZLTOSJ,O,O,O,X
IZLJTSO,X,O,X,O
IZLJTOS,X,O,X,O
IZLJSTO,X,O,X,O
IZLJSOT,X,O,O,X
IZLJOTS,X,O,O,X
IZLJOST,X,O,O,X
IZLSTJO,O,O,X,X
IZLSTOJ,O,O,O,X
IZLSJTO,X,O,X,O
IZLSJOT,X,O,O,X
IZLSOTJ,O,O,O,X
IZLSOJT,X,O,O,X
IZLOTJS,O,O,O,X
IZLOTSJ,O,O,O,X
IZLOJTS,X,O,O,X
IZLOJST,X,O,O,X
IZLOSTJ,O,O,O,X
IZLOSJT,X,O,O,X
IZJTLSO,X,O,X,O
IZJTLOS,O,O,X,O
IZJTSLO,O,O,X,O
IZJTSOL,O,O,X,O
IZJTOLS,O,O,X,O
IZJTOSL,O,O,X,O
IZJLTSO,X,O,X,O
IZJLTOS,X,O,X,O
IZJLSTO,X,O,X,O
IZJLSOT,X,O,O,X
IZJLOTS,X,O,O,X
IZJLOST,X,O,O,X
IZJSTLO,O,O,X,O
IZJSTOL,O,O,X,O
IZJSLTO,X,O,X,O
IZJSLOT,X,O,O,X
IZJSOTL,O,O,O,O
IZJSOLT,X,O,O,X
IZJOTLS,O,O,O,O
IZJOTSL,O,O,O,O
IZJOLTS,X,O,O,X
IZJOLST,X,O,O,X
IZJOSTL,O,O,O,O
IZJOSLT,X,O,O,X
IZSTLJO,O,O,X,X
IZSTLOJ,O,O,O,X
IZSTJLO,O,O,X,O
IZSTJOL,O,O,X,O
IZSTOLJ,O,O,O,X
IZSTOJL,O,O,O,O
IZSLTJO,O,O,X,X
IZSLTOJ,O,O,O,X
IZSLJTO,X,O,X,O
IZSLJOT,X,O,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,X,O,O,X
IZSJTLO,O,O,X,O
IZSJTOL,O,O,X,O
IZSJLTO,X,O,X,O
IZSJLOT,X,O,O,X
IZSJOTL,O,O,O,O
IZSJOLT,X,O,O,X
IZSOTLJ,O,O,O,X
IZSOTJL,O,O,O,X
IZSOLTJ,O,O,O,X
IZSOLJT,X,O,O,X
IZSOJTL,O,O,O,O
IZSOJLT,X,O,O,X
IZOTLJS,O,O,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,O,O,X
IZOTJSL,O,O,O,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,O,O,O,X
IZOLTSJ,O,O,O,X
IZOLJTS,X,O,O,X
IZOLJST,X,O,O,X
IZOLSTJ,O,O,O,X
IZOLSJT,X,O,O,X
IZOJTLS,O,O,O,O
IZOJTSL,O,O,O,O
IZOJLTS,X,O,O,X
IZOJLST,X,O,O,X
IZOJSTL,O,O,O,O
IZOJSLT,X,O,O,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,O,O,X
IZOSLJT,X,O,O,X
IZOSJTL,O,O,O,O
IZOSJLT,X,O,O,X
IOTLJSZ,O,X,O,O
IOTLJZS,O,O,O,O
IOTLSJZ,O,X,O,O
IOTLSZJ,O,O,O,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,X,O,O
IOTJLZS,O,O,O,O
IOTJSLZ,O,X,O,O
IOTJSZL,O,X,O,O
IOTJZLS,O,O,O,O
IOTJZSL,O,O,O,O
IOTSLJZ,O,X,O,O
IOTSLZJ,O,O,O,X
IOTSJLZ,O,X,O,O
IOTSJZL,O,X,O,O
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,O
IOTZLJS,O,O,O,X
IOTZLSJ,O,O,O,X
IOTZJLS,O,O,O,O
IOTZJSL,O,O,O,O
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,O
IOLTJSZ,O,X,O,X
IOLTJZS,O,O,O,X
IOLTSJZ,O,X,O,X
IOLTSZJ,O,O,O,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,O,O,X
IOLJTSZ,X,X,O,X
IOLJTZS,X,O,O,X
IOLJSTZ,X,X,O,X
IOLJSZT,X,X,O,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,O,X
IOLSTJZ,O,X,O,X
IOLSTZJ,O,O,O,X
IOLSJTZ,X,X,O,X
IOLSJZT,X,X,O,X
IOLSZTJ,O,O,O,X
IOLSZJT,X,O,O,X
IOLZTJS,O,O,O,X
IOLZTSJ,O,O,O,X
IOLZJTS,X,O,O,X
IOLZJST,X,O,O,X
IOLZSTJ,O,O,O,X
IOLZSJT,X,O,O,X
IOJTLSZ,O,X,O,O
IOJTLZS,O,O,O,O
IOJTSLZ,O,X,O,O
IOJTSZL,O,X,O,O
IOJTZLS,O,O,O,O
IOJTZSL,O,O,O,O
IOJLTSZ,X,X,O,X
IOJLTZS,X,O,O,X
IOJLSTZ,X,X,O,X
IOJLSZT,X,X,O,X
IOJLZTS,X,O,O,X
IOJLZST,X,O,O,X
IOJSTLZ,O,X,O,O
IOJSTZL,O,X,O,O
IOJSLTZ,X,X,O,X
IOJSLZT,X,X,O,X
IOJSZTL,O,X,O,O
IOJSZLT,X,X,O,X
IOJZTLS,O,O,O,O
IOJZTSL,O,O,O,O
IOJZLTS,X,O,O,X
IOJZLST,X,O,O,X
IOJZSTL,O,O,O,O
IOJZSLT,X,O,O,X
IOSTLJZ,O,X,O,O
IOSTLZJ,O,O,O,X
IOSTJLZ,O,X,O,O
IOSTJZL,O,X,O,O
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,O
IOSLTJZ,O,X,O,X
IOSLTZJ,O,O,O,X
IOSLJTZ,X,X,O,X
IOSLJZT,X,X,O,X
IOSLZTJ,O,O,O,X
IOSLZJT,X,O,O,X
IOSJTLZ,O,X,O,O
IOSJTZL,O,X,O,O
IOSJLTZ,X,X,O,X
IOSJLZT,X,X,O,X
IOSJZTL,O,X,O,O
IOSJZLT,X,X,O,X
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,O,X
IOSZLJT,X,O,O,X
IOSZJTL,O,O,O,O
IOSZJLT,X,O,O,X
IOZTLJS,O,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,O,O,X
IOZTJSL,O,O,O,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,O,X
IOZLTSJ,O,O,O,X
IOZLJTS,X,O,O,X
IOZLJST,X,O,O,X
IOZLSTJ,O,O,O,X
IOZLSJT,X,O,O,X
IOZJTLS,O,O,O,O
IOZJTSL,O,O,O,O
IOZJLTS,X,O,O,X
IOZJLST,X,O,O,X
IOZJSTL,O,O,O,O
IOZJSLT,X,O,O,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,O,O,X
IOZSLJT,X,O,O,X
IOZSJTL,O,O,O,O
IOZSJLT,X,O,O,X
LTIJSZO,O,X,X,O
LTIJSOZ,O,X,X,O
LTIJZSO,X,O,X,O
LTIJZOS,O,O,X,O
LTIJOSZ,O,X,X,O
LTIJOZS,O,O,X,O
LTISJZO,O,X,X,O
LTISJOZ,O,X,X,O
LTISZJO,O,O,X,X
LTISZOJ,O,O,O,X
LTISOJZ,O,X,O,O
LTISOZJ,O,O,O,X
LTIZJSO,X,O,X,X
LTIZJOS,O,O,X,X
LTIZSJO,O,O,X,X
LTIZSOJ,O,O,O,X
LTIZOJS,O,O,O,X
LTIZOSJ,O,O,O,X
LTIOJSZ,O,X,O,O
LTIOJZS,O,O,O,O
LTIOSJZ,O,X,O,O
LTIOSZJ,O,O,O,X
LTIOZJS,O,O,O,X
LTIOZSJ,O,O,O,X
LTJISZO,O,X,X,O
LTJISOZ,O,X,X,O
LTJIZSO,X,O,X,O
LTJIZOS,O,O,X,O
LTJIOSZ,O,X,X,O
LTJIOZS,O,O,X,O
LTJSIZO,O,X,X,O
LTJSIOZ,O,X,X,O
LTJSZIO,O,X,X,O
LTJSZOI,O,X,X,O
LTJSOIZ,O,X,X,O
LTJSOZI,O,X,X,O
LTJZISO,X,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,X,O,X,O
LTJZSOI,X,O,X,O
LTJZOIS,O,O,X,O
LTJZOSI,X,O,X,O
LTJOISZ,O,X,X,O
LTJOIZS,O,O,X,O
LTJOSIZ,O,X,X,O
LTJOSZI,O,X,X,O
LTJOZIS,O,O,X,O
LTJOZSI,X,O,X,O
LTSIJZO,O,X,X,O
LTSIJOZ,O,X,X,O
LTSIZJO,O,O,X,X
LTSIZOJ,O,O,O,X
LTSIOJZ,O,X,O,O
LTSIOZJ,O,O,O,X
LTSJIZO,O,X,X,O
LTSJIOZ,O,X,X,O
LTSJZIO,O,X,X,O
LTSJZOI,O,X,X,O
LTSJOIZ,O,X,X,O
LTSJOZI,O,X,X,O
LTSZIJO,O,O,X,X
LTSZIOJ,O,O,O,X
LTSZJIO,O,O,X,X
LTSZJOI,O,O,X,X
LTSZOIJ,O,O,O,X
LTSZOJI,O,O,O,X
LTSOIJZ,O,X,O,O
LTSOIZJ,O,O,O,X
LTSOJIZ,O,X,O,O
LTSOJZI,O,X,O,O
LTSOZIJ,O,O,O,X
LTSOZJI,O,O,O,X
LTZIJSO,X,O,X,X
LTZIJOS,O,O,X,X
LTZISJO,O,O,X,X
LTZISOJ,O,O,O,X
LTZIOJS,O,O,O,X
LTZIOSJ,O,O,O,X
LTZJISO,X,O,X,X
LTZJIOS,O,O,X,X
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,O,O,X,X
LTZJOSI,X,O,X,X
LTZSIJO,O,O,X,X
LTZSIOJ,O,O,O,X
LTZSJIO,O,O,X,X
LTZSJOI,O,O,X,X
LTZSOIJ,O,O,O,X
LTZSOJI,O,O,O,X
LTZOIJS,O,O,O,X
LTZOISJ,O,O,O,X
LTZOJIS,O,O,O,X
LTZOJSI,X,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,X,O,O
LTOIJZS,O,O,O,O
LTOISJZ,O,X,O,O
LTOISZJ,O,O,O,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,X,O,O
LTOJIZS,O,O,O,O
LTOJSIZ,O,X,O,O
LTOJSZI,O,X,O,O
LTOJZIS,O,O,O,O
LTOJZSI,X,O,O,O
LTOSIJZ,O,X,O,O
LTOSIZJ,O,O,O,X
LTOSJIZ,O,X,O,O
LTOSJZI,O,X,O,O
LTOSZIJ,O,O,O,X
LTOSZJI,O,O,O,X
LTOZIJS,O,O,O,X
LTOZISJ,O,O,O,X
LTOZJIS,O,O,O,X
LTOZJSI,X,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,O,X,X,O
LITJSOZ,O,X,X,O
LITJZSO,X,O,X,O
LITJZOS,O,O,X,O
LITJOSZ,O,X,X,O
LITJOZS,O,O,X,O
LITSJZO,O,X,X,O
LITSJOZ,O,X,X,O
LITSZJO,O,O,X,X
LITSZOJ,O,O,O,X
LITSOJZ,O,X,O,O
LITSOZJ,O,O,O,X
LITZJSO,X,O,X,X
LITZJOS,O,O,X,X
LITZSJO,O,O,X,X
LITZSOJ,O,O,O,X
LITZOJS,O,O,O,X
LITZOSJ,O,O,O,X
LITOJSZ,O,X,O,O
LITOJZS,O,O,O,O
LITOSJZ,O,X,O,O
LITOSZJ,O,O,O,X
LITOZJS,O,O,O,X
LITOZSJ,O,O,O,X
LIJTSZO,X,X,X,O
LIJTSOZ,X,X,X,O
LIJTZSO,X,O,X,O
LIJTZOS,X,O,X,O
LIJTOSZ,X,X,X,O
LIJTOZS,X,O,X,O
LIJSTZO,X,X,X,O
LIJSTOZ,X,X,X,O
LIJSZTO,X,X,X,O
LIJSZOT,X,X,O,X
LIJSOTZ,X,X,O,X
LIJSOZT,X,X,O,X
LIJZTSO,X,O,X,O
LIJZTOS,X,O,X,O
LIJZSTO,X,O,X,O
LIJZSOT,X,O,O,X
LIJZOTS,X,O,O,X
LIJZOST,X,O,O,X
LIJOTSZ,X,X,O,X
LIJOTZS,X,O,O,X
LIJOSTZ,X,X,O,X
LIJOSZT,X,X,O,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,O,X
LISTJZO,O,X,X,O
LISTJOZ,O,X,X,O
LISTZJO,O,O,X,X
LISTZOJ,O,O,O,X
LISTOJZ,O,X,O,O
LISTOZJ,O,O,O,X
LISJTZO,X,X,X,O
LISJTOZ,X,X,X,O
LISJZTO,X,X,X,O
LISJZOT,X,X,O,X
LISJOTZ,X,X,O,X
LISJOZT,X,X,O,X
LISZTJO,O,O,X,X
LISZTOJ,O,O,O,X
LISZJTO,X,O,X,O
LISZJOT,X,O,O,X
LISZOTJ,O,O,O,X
LISZOJT,X,O,O,X
LISOTJZ,O,X,O,X
LISOTZJ,O,O,O,X
LISOJTZ,X,X,O,X
LISOJZT,X,X,O,X
LISOZTJ,O,O,O,X
LISOZJT,X,O,O,X
LIZTJSO,X,O,X,X
LIZTJOS,O,O,X,X
LIZTSJO,O,O,X,X
LIZTSOJ,O,O,O,X
LIZTOJS,O,O,O,X
LIZTOSJ,O,O,O,X
LIZJTSO,X,O,X,O
LIZJTOS,X,O,X,O
LIZJSTO,X,O,X,O
LIZJSOT,X,O,O,X
LIZJOTS,X,O,O,X
LIZJOST,X,O,O,X
LIZSTJO,O,O,X,X
LIZSTOJ,O,O,O,X
LIZSJTO,X,O,X,O
LIZSJOT,X,O,O,X
LIZSOTJ,O,O,O,X
LIZSOJT,X,O,O,X
LIZOTJS,O,O,O,X
LIZOTSJ,O,O,O,X
LIZOJTS,X,O,O,X
LIZOJST,X,O,O,X
LIZOSTJ,O,O,O,X
LIZOSJT,X,O,O,X
LIOTJSZ,O,X,O,X
LIOTJZS,O,O,O,X
LIOTSJZ,O,X,O,X
LIOTSZJ,O,O,O,X
LIOTZJS,O,O,O,X
LIOTZSJ,O,O,O,X
LIOJTSZ,X,X,O,X
LIOJTZS,X,O,O,X
LIOJSTZ,X,X,O,X
LIOJSZT,X,X,O,X
LIOJZTS,X,O,O,X
LIOJZST,X,O,O,X
LIOSTJZ,O,X,O,X
LIOSTZJ,O,O,O,X
LIOSJTZ,X,X,O,X
LIOSJZT,X,X,O,X
LIOSZTJ,O,O,O,X
LIOSZJT,X,O,O,X
LIOZTJS,O,O,O,X
LIOZTSJ,O,O,O,X
LIOZJTS,X,O,O,X
LIOZJST,X,O,O,X
LIOZSTJ,O,O,O,X
LIOZSJT,X,O,O,X
LJTISZO,X,X,X,O
LJTISOZ,X,X,X,O
LJTIZSO,X,O,X,O
LJTIZOS,X,O,X,O
LJTIOSZ,X,X,X,O
LJTIOZS,X,O,X,O
LJTSIZO,X,X,X,O
LJTSIOZ,X,X,X,O
