sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
LZSIOTJ,O,O,X,O,O,X
LZSIOJT,O,O,O,O,O,X
LZSJTIO,O,O,X,X,X,O
LZSJTOI,O,O,X,X,X,O
LZSJITO,O,O,X,X,X,O
LZSJIOT,O,O,O,X,X,X
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,O,X,X,X
LZSOTIJ,O,O,X,O,O,X
LZSOTJI,O,O,X,X,X,X
LZSOITJ,O,O,X,O,O,X
LZSOIJT,O,O,O,O,O,X
LZSOJTI,O,O,X,X,X,X
LZSOJIT,O,O,O,O,O,X
LZOTIJS,X,O,X,X,O,O
LZOTISJ,X,O,X,O,O,O
LZOTJIS,X,O,X,X,O,O
LZOTJSI,X,O,X,X,O,O
LZOTSIJ,X,O,X,O,O,O
LZOTSJI,X,O,X,X,X,O
LZOITJS,X,O,X,X,O,O
LZOITSJ,X,O,X,O,O,O
LZOIJTS,X,O,X,X,O,O
LZOIJST,X,O,X,O,O,X
LZOISTJ,X,O,X,O,O,X
LZOISJT,X,O,X,O,O,X
LZOJTIS,X,O,X,X,O,O
LZOJTSI,X,O,X,X,O,O
LZOJITS,X,O,X,X,O,O
LZOJIST,X,O,X,O,O,X
LZOJSTI,X,O,X,X,O,X
LZOJSIT,X,O,X,O,O,X
LZOSTIJ,X,O,X,O,O,X
LZOSTJI,X,O,X,X,X,X
LZOSITJ,X,O,X,O,O,X
LZOSIJT,X,O,X,O,O,X
LZOSJTI,X,O,X,X,O,X
LZOSJIT,X,O,X,O,O,X
LOTIJSZ,X,X,O,X,X,X
LOTIJZS,X,X,X,O,O,O
LOTISJZ,X,O,O,X,X,X
LOTISZJ,X,O,O,O,X,X
LOTIZJS,X,X,X,O,O,O
LOTIZSJ,X,X,X,O,O,O
LOTJISZ,X,X,O,X,X,X
LOTJIZS,X,X,X,O,O,O
LOTJSIZ,X,X,O,X,X,X
LOTJSZI,X,X,O,X,X,O
LOTJZIS,X,O,X,O,O,O
LOTJZSI,X,O,X,O,O,O
LOTSIJZ,X,O,O,X,X,X
LOTSIZJ,X,O,O,O,X,X
LOTSJIZ,X,O,O,X,X,X
LOTSJZI,X,O,O,X,X,O
LOTSZIJ,X,O,O,O,X,O
LOTSZJI,X,O,O,O,X,O
LOTZIJS,X,O,X,O,O,O
LOTZISJ,X,O,X,O,O,O
LOTZJIS,X,O,X,O,O,O
LOTZJSI,X,O,X,O,O,O
LOTZSIJ,X,O,X,O,O,O
LOTZSJI,X,O,X,O,X,O
LOITJSZ,X,X,O,X,X,X
LOITJZS,X,X,X,O,O,X
LOITSJZ,X,O,O,X,X,X
LOITSZJ,X,O,O,O,X,X
LOITZJS,X,X,X,O,O,X
LOITZSJ,X,X,X,O,O,X
LOIJTSZ,X,X,O,X,X,X
LOIJTZS,X,X,X,O,O,X
LOIJSTZ,X,O,O,X,X,X
LOIJSZT,X,O,O,X,O,X
LOIJZTS,X,X,X,X,O,X
LOIJZST,X,X,X,O,O,X
LOISTJZ,X,O,O,X,X,X
LOISTZJ,X,X,X,O,X,X
LOISJTZ,X,O,O,X,X,X
LOISJZT,X,O,O,X,O,X
LOISZTJ,X,X,X,O,O,X
LOISZJT,X,O,O,O,O,X
LOIZTJS,X,X,X,O,O,X
LOIZTSJ,X,X,X,O,O,X
LOIZJTS,X,X,X,X,O,X
LOIZJST,X,X,X,O,O,X
LOIZSTJ,X,X,X,O,O,X
LOIZSJT,X,X,X,O,O,X
LOJTISZ,X,X,O,X,X,X
LOJTIZS,X,X,X,O,O,O
LOJTSIZ,X,X,O,X,X,X
LOJTSZI,X,X,O,X,X,O
LOJTZIS,X,O,X,O,O,O
LOJTZSI,X,O,X,O,O,O
LOJITSZ,X,X,O,X,X,X
LOJITZS,X,X,X,O,O,X
LOJISTZ,X,O,O,X,X,X
LOJISZT,X,O,O,X,O,X
LOJIZTS,X,X,X,X,O,X
LOJIZST,X,X,X,O,O,X
LOJSTIZ,X,O,O,X,X,X
LOJSTZI,X,O,X,X,X,X
LOJSITZ,X,O,O,X,X,X
LOJSIZT,X,O,O,X,O,X
LOJSZTI,X,O,X,X,O,X
LOJSZIT,X,O,O,X,O,X
LOJZTIS,X,O,X,X,O,O
LOJZTSI,X,O,X,X,O,O
LOJZITS,X,O,X,X,O,O
LOJZIST,X,O,X,O,O,X
LOJZSTI,X,O,X,X,O,X
LOJZSIT,X,O,X,O,O,X
LOSTIJZ,X,O,O,X,X,X
LOSTIZJ,X,X,X,O,X,X
LOSTJIZ,X,O,O,X,X,X
LOSTJZI,X,O,X,X,X,X
LOSTZIJ,X,O,X,O,X,X
LOSTZJI,X,O,X,O,X,X
LOSITJZ,X,O,O,X,X,X
LOSITZJ,X,X,X,O,X,X
LOSIJTZ,X,O,O,X,X,X
LOSIJZT,X,O,O,X,O,X
LOSIZTJ,X,O,X,O,O,X
LOSIZJT,X,O,O,O,O,X
LOSJTIZ,X,O,O,X,X,X
LOSJTZI,X,O,X,X,X,X
LOSJITZ,X,O,O,X,X,X
LOSJIZT,X,O,O,X,O,X
LOSJZTI,X,O,X,X,O,X
LOSJZIT,X,O,O,X,O,X
LOSZTIJ,X,O,X,O,O,X
LOSZTJI,X,O,X,X,X,X
LOSZITJ,X,O,X,O,O,X
LOSZIJT,X,O,O,O,O,X
LOSZJTI,X,O,X,X,O,X
LOSZJIT,X,O,O,O,O,X
LOZTIJS,X,O,X,O,O,O
LOZTISJ,X,O,X,O,O,O
LOZTJIS,X,O,X,O,O,O
LOZTJSI,X,O,X,O,O,O
LOZTSIJ,X,O,X,O,O,O
LOZTSJI,X,O,X,O,X,O
LOZITJS,X,O,X,O,O,O
LOZITSJ,X,O,X,O,O,O
LOZIJTS,X,O,X,X,O,O
LOZIJST,X,O,X,O,O,X
LOZISTJ,X,O,X,O,O,X
LOZISJT,X,O,X,O,O,X
LOZJTIS,X,O,X,X,O,O
LOZJTSI,X,O,X,X,O,O
LOZJITS,X,O,X,X,O,O
LOZJIST,X,O,X,O,O,X
LOZJSTI,X,O,X,X,O,X
LOZJSIT,X,O,X,O,O,X
LOZSTIJ,X,O,X,O,O,X
LOZSTJI,X,O,X,X,X,X
LOZSITJ,X,O,X,O,O,X
LOZSIJT,X,O,X,O,O,X
LOZSJTI,X,O,X,X,O,X
LOZSJIT,X,O,X,O,O,X
JTILSZO,O,X,O,X,X,X
JTILSOZ,O,X,O,X,X,X
JTILZSO,X,O,O,X,X,O
JTILZOS,X,O,X,X,X,O
JTILOSZ,O,X,O,X,X,X
JTILOZS,X,X,X,X,X,O
JTISLZO,O,X,O,X,X,X
JTISLOZ,O,X,O,X,X,X
JTISZLO,O,X,O,X,X,X
JTISZOL,O,X,O,X,X,X
JTISOLZ,O,X,O,X,X,X
JTISOZL,O,X,O,X,X,X
JTIZLSO,O,O,O,X,X,O
JTIZLOS,O,O,X,X,X,O
JTIZSLO,O,O,X,X,X,X
JTIZSOL,O,O,X,O,O,X
JTIZOLS,O,X,X,O,O,O
JTIZOSL,O,O,X,O,O,X
JTIOLSZ,O,X,O,X,X,X
JTIOLZS,X,X,X,O,O,O
JTIOSLZ,O,X,X,X,X,X
JTIOSZL,O,X,X,X,X,X
JTIOZLS,X,X,X,O,O,O
JTIOZSL,O,X,X,O,O,X
JTLISZO,O,O,O,X,X,X
JTLISOZ,O,O,O,X,X,X
JTLIZSO,X,O,O,X,X,O
JTLIZOS,X,O,X,X,X,O
JTLIOSZ,O,X,O,X,X,X
JTLIOZS,X,X,X,X,X,O
JTLSIZO,O,O,O,X,X,X
JTLSIOZ,O,O,O,X,X,X
JTLSZIO,O,O,O,X,X,O
JTLSZOI,O,O,O,X,X,O
JTLSOIZ,O,O,O,X,X,X
JTLSOZI,O,O,O,X,X,O
JTLZISO,X,O,O,X,X,O
JTLZIOS,X,O,X,X,X,O
JTLZSIO,X,O,O,X,X,O
JTLZSOI,X,O,O,X,X,O
JTLZOIS,X,O,X,X,X,O
JTLZOSI,X,O,X,X,X,O
JTLOISZ,O,X,O,X,X,X
JTLOIZS,X,X,X,X,X,O
JTLOSIZ,O,X,O,X,X,X
JTLOSZI,O,X,O,X,X,O
JTLOZIS,X,O,X,X,X,O
JTLOZSI,X,O,X,X,X,O
JTSILZO,O,O,O,X,X,X
JTSILOZ,O,O,O,X,X,X
JTSIZLO,O,O,O,X,X,X
JTSIZOL,O,O,O,X,X,X
JTSIOLZ,O,O,O,X,X,X
JTSIOZL,O,O,O,X,X,X
JTSLIZO,O,O,O,X,X,X
JTSLIOZ,O,O,O,X,X,X
JTSLZIO,O,O,O,X,X,O
JTSLZOI,O,O,O,X,X,O
JTSLOIZ,O,O,O,X,X,X
JTSLOZI,O,O,O,X,X,O
JTSZILO,O,O,O,X,X,X
JTSZIOL,O,O,O,X,X,X
JTSZLIO,O,O,O,X,X,O
JTSZLOI,O,O,O,X,X,O
JTSZOIL,O,O,O,X,X,X
JTSZOLI,O,O,O,X,X,O
JTSOILZ,O,O,O,X,X,X
JTSOIZL,O,O,O,X,X,X
JTSOLIZ,O,O,O,X,X,X
JTSOLZI,O,O,O,X,X,O
JTSOZIL,O,O,O,X,X,X
JTSOZLI,O,O,O,X,X,O
JTZILSO,O,O,O,X,X,O
JTZILOS,O,O,X,X,X,O
JTZISLO,O,O,X,X,X,X
JTZISOL,O,O,X,O,O,X
JTZIOLS,O,X,X,O,O,O
JTZIOSL,O,O,X,O,O,X
JTZLISO,O,O,O,X,X,O
JTZLIOS,O,O,X,X,X,O
JTZLSIO,O,O,O,X,X,O
JTZLSOI,O,O,O,X,X,O
JTZLOIS,O,O,X,X,X,O
JTZLOSI,O,O,X,X,X,O
JTZSILO,O,O,X,X,X,X
JTZSIOL,O,O,X,O,O,X
JTZSLIO,O,O,X,X,X,O
JTZSLOI,O,O,X,X,X,O
JTZSOIL,O,O,X,O,O,X
JTZSOLI,O,O,X,O,O,O
JTZOILS,O,X,X,O,O,O
JTZOISL,O,O,X,O,O,X
JTZOLIS,O,O,X,O,O,O
JTZOLSI,O,O,X,O,O,O
JTZOSIL,O,O,X,O,O,X
JTZOSLI,O,O,X,O,O,O
JTOILSZ,O,X,O,X,X,X
JTOILZS,X,X,X,O,O,O
JTOISLZ,O,X,X,X,X,X
JTOISZL,O,X,X,X,X,X
JTOIZLS,X,X,X,O,O,O
JTOIZSL,O,X,X,O,O,X
JTOLISZ,O,X,O,X,X,X
JTOLIZS,X,X,X,O,O,O
JTOLSIZ,O,X,O,X,X,X
JTOLSZI,O,X,O,X,X,O
JTOLZIS,X,O,X,O,O,O
JTOLZSI,X,O,X,O,O,O
JTOSILZ,O,X,X,X,X,X
JTOSIZL,O,X,X,X,X,X
JTOSLIZ,O,X,X,X,X,X
JTOSLZI,O,X,X,X,X,O
JTOSZIL,O,X,X,X,X,X
JTOSZLI,O,X,X,X,X,O
JTOZILS,X,X,X,O,O,O
JTOZISL,O,O,X,O,O,X
JTOZLIS,X,O,X,O,O,O
JTOZLSI,X,O,X,O,O,O
JTOZSIL,O,O,X,O,O,X
JTOZSLI,O,O,X,O,O,O
JITLSZO,O,X,O,X,X,X
JITLSOZ,O,X,O,X,X,X
JITLZSO,X,O,O,X,X,O
JITLZOS,X,O,X,X,X,O
JITLOSZ,O,X,O,X,X,X
JITLOZS,X,X,X,X,X,O
JITSLZO,O,X,O,X,X,X
JITSLOZ,O,X,O,X,X,X
JITSZLO,O,X,O,X,X,X
JITSZOL,O,X,O,X,X,X
JITSOLZ,O,X,O,X,X,X
JITSOZL,O,X,O,X,X,X
JITZLSO,O,O,O,X,X,O
JITZLOS,O,O,X,X,X,O
JITZSLO,O,O,X,X,X,X
JITZSOL,O,O,X,O,O,X
JITZOLS,O,X,X,O,O,O
JITZOSL,O,O,X,O,O,X
JITOLSZ,O,X,O,X,X,X
JITOLZS,X,X,X,O,O,O
JITOSLZ,O,X,X,X,X,X
JITOSZL,O,X,X,X,X,X
JITOZLS,X,X,X,O,O,O
JITOZSL,O,X,X,O,O,X
JILTSZO,O,X,O,X,X,X
JILTSOZ,O,O,O,X,X,X
JILTZSO,X,O,O,X,X,O
JILTZOS,X,O,X,X,X,O
JILTOSZ,O,X,O,X,X,X
JILTOZS,X,X,X,X,X,O
JILSTZO,O,X,O,X,X,X
JILSTOZ,O,O,O,X,X,X
JILSZTO,O,O,X,X,X,X
JILSZOT,O,O,O,X,X,X
JILSOTZ,O,O,O,X,X,X
JILSOZT,O,O,O,X,X,X
JILZTSO,O,O,O,X,X,O
JILZTOS,O,O,X,X,X,O
JILZSTO,O,O,X,X,X,O
JILZSOT,O,O,O,X,O,X
JILZOTS,X,O,X,X,O,O
JILZOST,X,O,X,X,O,X
JILOTSZ,X,X,O,X,X,X
JILOTZS,X,X,X,X,O,X
JILOSTZ,X,O,O,X,X,X
JILOSZT,X,O,O,X,O,X
JILOZTS,X,X,X,X,O,X
JILOZST,X,X,X,X,O,X
JISTLZO,O,X,O,X,X,X
JISTLOZ,O,X,O,X,X,X
JISTZLO,O,X,X,X,X,X
JISTZOL,O,X,X,X,X,X
JISTOLZ,O,X,O,X,X,X
JISTOZL,O,X,X,X,X,X
JISLTZO,O,X,O,X,X,X
JISLTOZ,O,O,O,X,X,X
JISLZTO,O,O,X,X,X,X
JISLZOT,O,O,O,X,X,X
JISLOTZ,O,O,O,X,X,X
JISLOZT,O,O,O,X,X,X
JISZTLO,O,X,X,X,X,X
JISZTOL,O,O,X,X,O,X
JISZLTO,O,O,X,X,X,X
JISZLOT,O,O,O,X,O,X
JISZOTL,O,O,X,X,O,X
JISZOLT,O,O,O,X,O,X
JISOTLZ,O,X,O,X,X,X
JISOTZL,O,X,X,X,X,X
JISOLTZ,O,O,O,X,X,X
JISOLZT,O,O,O,X,O,X
JISOZTL,O,O,X,X,O,X
JISOZLT,O,O,O,X,O,X
JIZTLSO,O,O,O,X,X,O
JIZTLOS,O,O,X,X,X,O
JIZTSLO,O,O,X,X,X,X
JIZTSOL,O,O,X,X,O,X
JIZTOLS,O,X,X,X,O,O
JIZTOSL,O,O,X,X,O,X
JIZLTSO,O,O,O,X,X,O
JIZLTOS,O,O,X,X,X,O
JIZLSTO,O,O,X,X,X,O
JIZLSOT,O,O,O,X,O,X
JIZLOTS,X,O,X,X,O,O
JIZLOST,X,O,X,X,O,X
JIZSTLO,O,O,X,X,X,X
JIZSTOL,O,O,X,X,O,X
JIZSLTO,O,O,X,X,X,X
JIZSLOT,O,O,O,X,O,X
JIZSOTL,O,O,X,X,O,X
JIZSOLT,O,O,O,O,O,X
JIZOTLS,O,X,X,X,O,X
JIZOTSL,O,O,X,X,O,X
JIZOLTS,X,X,X,X,O,X
JIZOLST,X,X,X,O,O,X
JIZOSTL,O,O,X,X,O,X
JIZOSLT,O,O,X,O,O,X
JIOTLSZ,O,X,O,X,X,X
JIOTLZS,X,X,X,O,O,X
JIOTSLZ,O,X,X,X,X,X
JIOTSZL,O,X,X,X,X,X
JIOTZLS,X,X,X,O,O,X
JIOTZSL,O,X,X,O,O,X
JIOLTSZ,X,X,O,X,X,X
JIOLTZS,X,X,X,O,O,X
JIOLSTZ,X,X,O,X,X,X
JIOLSZT,X,X,O,X,O,X
JIOLZTS,X,X,X,X,O,X
JIOLZST,X,X,X,O,O,X
JIOSTLZ,O,X,O,X,X,X
JIOSTZL,O,X,X,X,X,X
JIOSLTZ,O,X,O,X,X,X
JIOSLZT,O,X,O,X,O,X
JIOSZTL,O,X,X,X,O,X
JIOSZLT,O,X,O,X,O,X
JIOZTLS,O,X,X,X,O,X
JIOZTSL,O,X,X,X,O,X
JIOZLTS,X,X,X,X,O,X
JIOZLST,X,X,X,O,O,X
JIOZSTL,O,X,X,X,O,X
JIOZSLT,O,X,X,O,O,X
JLTISZO,O,O,O,X,X,X
JLTISOZ,O,O,O,X,X,X
JLTIZSO,X,O,O,X,X,O
JLTIZOS,X,O,X,X,X,O
JLTIOSZ,O,X,O,X,X,X
JLTIOZS,X,X,X,X,X,O
JLTSIZO,O,O,O,X,X,X
JLTSIOZ,O,O,O,X,X,X
JLTSZIO,O,O,O,X,X,O
JLTSZOI,O,O,O,X,X,O
JLTSOIZ,O,O,O,X,X,X
JLTSOZI,O,O,O,X,X,O
JLTZISO,X,O,O,X,X,O
JLTZIOS,X,O,X,X,X,O
JLTZSIO,X,O,O,X,X,O
JLTZSOI,X,O,O,X,X,O
JLTZOIS,X,O,X,X,X,O
JLTZOSI,X,O,X,X,X,O
JLTOISZ,O,X,O,X,X,X
JLTOIZS,X,X,X,X,X,O
JLTOSIZ,O,X,O,X,X,X
JLTOSZI,O,X,O,X,X,O
JLTOZIS,X,O,X,X,X,O
JLTOZSI,X,O,X,X,X,O
JLITSZO,O,O,O,X,X,X
JLITSOZ,O,O,O,X,X,X
JLITZSO,X,O,O,X,X,O
JLITZOS,X,O,X,X,X,O
JLITOSZ,O,X,O,X,X,X
JLITOZS,X,X,X,X,X,O
JLISTZO,O,X,O,X,X,X
JLISTOZ,O,O,O,X,X,X
JLISZTO,O,O,X,X,X,X
JLISZOT,O,O,O,X,X,X
JLISOTZ,O,O,O,X,X,X
JLISOZT,O,O,O,X,X,X
JLIZTSO,O,O,O,X,X,O
JLIZTOS,O,O,X,X,X,O
JLIZSTO,O,O,X,X,X,O
JLIZSOT,O,O,O,X,O,X
JLIZOTS,X,O,X,X,O,O
JLIZOST,X,O,X,X,O,X
JLIOTSZ,X,X,O,X,X,X
JLIOTZS,X,X,X,X,O,X
JLIOSTZ,X,O,O,X,X,X
JLIOSZT,X,O,O,X,O,X
JLIOZTS,X,X,X,X,O,X
JLIOZST,X,X,X,X,O,X
JLSTIZO,O,X,O,X,X,X
JLSTIOZ,O,O,O,X,X,X
JLSTZIO,O,O,O,X,X,O
JLSTZOI,O,O,O,X,X,O
JLSTOIZ,O,O,O,X,X,X
JLSTOZI,O,O,O,X,X,O
JLSITZO,O,X,O,X,X,X
JLSITOZ,O,O,O,X,X,X
JLSIZTO,O,O,X,X,X,X
JLSIZOT,O,O,O,X,X,X
JLSIOTZ,O,O,O,X,X,X
JLSIOZT,O,O,O,X,X,X
JLSZTIO,O,O,X,X,X,O
JLSZTOI,O,O,X,X,X,O
JLSZITO,O,O,X,X,X,O
JLSZIOT,O,O,O,X,X,X
JLSZOTI,O,O,X,X,X,X
JLSZOIT,O,O,O,X,X,X
JLSOTIZ,O,O,O,X,X,X
JLSOTZI,O,O,X,X,X,X
JLSOITZ,O,O,O,X,X,X
JLSOIZT,O,O,O,X,X,X
JLSOZTI,O,O,X,X,X,X
JLSOZIT,O,O,O,X,X,X
JLZTISO,O,O,O,X,X,O
JLZTIOS,O,O,X,X,X,O
JLZTSIO,O,O,O,X,X,O
JLZTSOI,O,O,O,X,X,O
JLZTOIS,O,O,X,X,X,O
JLZTOSI,O,O,X,X,X,O
JLZITSO,O,O,O,X,X,O
JLZITOS,O,O,X,X,X,O
JLZISTO,O,O,X,X,X,O
JLZISOT,O,O,O,X,O,X
JLZIOTS,X,O,X,X,O,O
JLZIOST,X,O,X,X,O,X
JLZSTIO,O,O,X,X,X,O
JLZSTOI,O,O,X,X,X,O
JLZSITO,O,O,X,X,X,O
JLZSIOT,O,O,O,X,O,X
JLZSOTI,O,O,X,X,O,X
JLZSOIT,O,O,O,X,O,X
JLZOTIS,X,O,X,X,O,O
JLZOTSI,X,O,X,X,O,O
JLZOITS,X,O,X,X,O,O
JLZOIST,X,O,X,X,O,X
JLZOSTI,X,O,X,X,O,X
JLZOSIT,X,O,X,X,O,X
JLOTISZ,X,X,O,X,X,X
JLOTIZS,X,X,X,X,O,O
JLOTSIZ,X,X,O,X,X,X
JLOTSZI,X,X,O,X,X,O
JLOTZIS,X,O,X,X,O,O
JLOTZSI,X,O,X,X,O,O
JLOITSZ,X,X,O,X,X,X
JLOITZS,X,X,X,X,O,X
JLOISTZ,X,O,O,X,X,X
JLOISZT,X,O,O,X,O,X
JLOIZTS,X,X,X,X,O,X
JLOIZST,X,X,X,X,O,X
JLOSTIZ,X,O,O,X,X,X
JLOSTZI,X,O,X,X,X,X
JLOSITZ,X,O,O,X,X,X
JLOSIZT,X,O,O,X,O,X
JLOSZTI,X,O,X,X,O,X
JLOSZIT,X,O,O,X,O,X
JLOZTIS,X,O,X,X,O,O
JLOZTSI,X,O,X,X,O,O
JLOZITS,X,O,X,X,O,O
JLOZIST,X,O,X,X,O,X
JLOZSTI,X,O,X,X,O,X
JLOZSIT,X,O,X,X,O,X
JSTILZO,O,X,O,X,X,X
JSTILOZ,O,X,O,X,X,X
JSTIZLO,O,X,X,X,X,X
JSTIZOL,O,X,X,X,X,X
JSTIOLZ,O,X,O,X,X,X
JSTIOZL,O,X,X,X,X,X
JSTLIZO,O,X,O,X,X,X
JSTLIOZ,O,O,O,X,X,X
JSTLZIO,O,O,O,X,X,O
JSTLZOI,O,O,O,X,X,O
JSTLOIZ,O,O,O,X,X,X
JSTLOZI,O,O,O,X,X,O
JSTZILO,O,O,X,X,X,X
JSTZIOL,O,O,X,X,X,X
JSTZLIO,O,O,X,X,X,O
JSTZLOI,O,O,X,X,X,O
JSTZOIL,O,O,X,X,X,X
JSTZOLI,O,O,X,X,X,O
JSTOILZ,O,X,O,X,X,X
JSTOIZL,O,X,X,X,X,X
JSTOLIZ,O,O,O,X,X,X
JSTOLZI,O,O,X,X,X,O
JSTOZIL,O,O,X,X,X,X
JSTOZLI,O,O,X,X,X,O
JSITLZO,O,X,O,X,X,X
JSITLOZ,O,X,O,X,X,X
JSITZLO,O,X,X,X,X,X
JSITZOL,O,X,X,X,X,X
JSITOLZ,O,X,O,X,X,X
JSITOZL,O,X,X,X,X,X
JSILTZO,O,X,O,X,X,X
JSILTOZ,O,O,O,X,X,X
JSILZTO,O,O,X,X,X,X
JSILZOT,O,O,O,X,X,X
JSILOTZ,O,O,O,X,X,X
JSILOZT,O,O,O,X,X,X
JSIZTLO,O,X,X,X,X,X
JSIZTOL,O,O,X,X,O,X
JSIZLTO,O,O,X,X,X,X
JSIZLOT,O,O,O,X,O,X
JSIZOTL,O,O,X,X,O,X
JSIZOLT,O,O,O,X,O,X
JSIOTLZ,O,X,O,X,X,X
JSIOTZL,O,X,X,X,X,X
JSIOLTZ,O,O,O,X,X,X
JSIOLZT,O,O,O,X,O,X
JSIOZTL,O,O,X,X,O,X
JSIOZLT,O,O,O,X,O,X
JSLTIZO,O,X,O,X,X,X
JSLTIOZ,O,O,O,X,X,X
JSLTZIO,O,O,O,X,X,O
JSLTZOI,O,O,O,X,X,O
JSLTOIZ,O,O,O,X,X,X
JSLTOZI,O,O,O,X,X,O
JSLITZO,O,X,O,X,X,X
JSLITOZ,O,O,O,X,X,X
JSLIZTO,O,O,X,X,X,X
JSLIZOT,O,O,O,X,X,X
JSLIOTZ,O,O,O,X,X,X
JSLIOZT,O,O,O,X,X,X
JSLZTIO,O,O,X,X,X,O
JSLZTOI,O,O,X,X,X,O
JSLZITO,O,O,X,X,X,O
JSLZIOT,O,O,O,X,X,X
JSLZOTI,O,O,X,X,X,X
JSLZOIT,O,O,O,X,X,X
JSLOTIZ,O,O,O,X,X,X
JSLOTZI,O,O,X,X,X,X
JSLOITZ,O,O,O,X,X,X
JSLOIZT,O,O,O,X,X,X
JSLOZTI,O,O,X,X,X,X
JSLOZIT,O,O,O,X,X,X
JSZTILO,O,O,X,X,X,X
JSZTIOL,O,O,X,X,O,X
JSZTLIO,O,O,X,X,X,O
JSZTLOI,O,O,X,X,X,O
JSZTOIL,O,O,X,X,O,X
JSZTOLI,O,O,X,X,O,O
JSZITLO,O,O,X,X,X,X
JSZITOL,O,O,X,X,O,X
JSZILTO,O,O,X,X,X,X
JSZILOT,O,O,O,X,O,X
JSZIOTL,O,O,X,X,O,X
JSZIOLT,O,O,O,X,O,X
JSZLTIO,O,O,X,X,X,O
JSZLTOI,O,O,X,X,X,O
JSZLITO,O,O,X,X,X,O
JSZLIOT,O,O,O,X,O,X
JSZLOTI,O,O,X,X,O,X
JSZLOIT,O,O,O,X,O,X
JSZOTIL,O,O,X,X,O,X
JSZOTLI,O,O,X,X,O,X
JSZOITL,O,O,X,X,O,X
JSZOILT,O,O,O,X,O,X
JSZOLTI,O,O,X,X,O,X
JSZOLIT,O,O,O,X,O,X
JSOTILZ,O,X,O,X,X,X
JSOTIZL,O,X,X,X,X,X
JSOTLIZ,O,O,O,X,X,X
JSOTLZI,O,O,X,X,X,X
JSOTZIL,O,O,X,X,X,X
JSOTZLI,O,O,X,X,X,X
JSOITLZ,O,X,O,X,X,X
JSOITZL,O,X,X,X,X,X
JSOILTZ,O,O,O,X,X,X
JSOILZT,O,O,O,X,O,X
JSOIZTL,O,O,X,X,O,X
JSOIZLT,O,O,O,X,O,X
JSOLTIZ,O,O,O,X,X,X
JSOLTZI,O,O,X,X,X,X
JSOLITZ,O,O,O,X,X,X
JSOLIZT,O,O,O,X,O,X
JSOLZTI,O,O,X,X,O,X
JSOLZIT,O,O,O,X,O,X
JSOZTIL,O,O,X,X,O,X
JSOZTLI,O,O,X,X,O,X
JSOZITL,O,O,X,X,O,X
JSOZILT,O,O,O,X,O,X
JSOZLTI,O,O,X,X,O,X
JSOZLIT,O,O,O,X,O,X
JZTILSO,O,O,O,X,X,O
JZTILOS,O,O,X,X,X,O
JZTISLO,O,O,X,X,X,X
JZTISOL,O,O,X,X,O,X
JZTIOLS,O,X,X,X,O,O
JZTIOSL,O,O,X,X,O,X
JZTLISO,O,O,O,X,X,O
JZTLIOS,O,O,X,X,X,O
JZTLSIO,O,O,O,X,X,O
JZTLSOI,O,O,O,X,X,O
JZTLOIS,O,O,X,X,X,O
JZTLOSI,O,O,X,X,X,O
JZTSILO,O,O,X,X,X,X
JZTSIOL,O,O,X,X,O,X
JZTSLIO,O,O,X,X,X,O
JZTSLOI,O,O,X,X,X,O
JZTSOIL,O,O,X,X,O,X
JZTSOLI,O,O,X,X,O,O
JZTOILS,O,X,X,X,O,O
JZTOISL,O,O,X,X,O,X
JZTOLIS,O,O,X,X,O,O
JZTOLSI,O,O,X,X,O,O
JZTOSIL,O,O,X,X,O,X
JZTOSLI,O,O,X,X,O,O
JZITLSO,O,O,O,X,X,O
JZITLOS,O,O,X,X,X,O
JZITSLO,O,O,X,X,X,X
JZITSOL,O,O,X,X,O,X
JZITOLS,O,X,X,X,O,O
JZITOSL,O,O,X,X,O,X
JZILTSO,O,O,O,X,X,O
JZILTOS,O,O,X,X,X,O
JZILSTO,O,O,X,X,X,O
JZILSOT,O,O,O,X,O,X
JZILOTS,X,O,X,X,O,O
JZILOST,X,O,X,X,O,X
JZISTLO,O,O,X,X,X,X
JZISTOL,O,O,X,X,O,X
JZISLTO,O,O,X,X,X,X
JZISLOT,O,O,O,X,O,X
JZISOTL,O,O,X,X,O,X
JZISOLT,O,O,O,O,O,X
JZIOTLS,O,X,X,X,O,X
JZIOTSL,O,O,X,X,O,X
JZIOLTS,X,X,X,X,O,X
JZIOLST,X,X,X,O,O,X
JZIOSTL,O,O,X,X,O,X
JZIOSLT,O,O,X,O,O,X
JZLTISO,O,O,O,X,X,O
JZLTIOS,O,O,X,X,X,O
JZLTSIO,O,O,O,X,X,O
