sequence,v115@EhC8HeB8HeC8EeD8JeT/IvhF/lBamBUiBWsBlpBxvB,v115@EhC8HeB8HeC8EeD8Je0/IvhF6lBThB/nB2pBlrBRvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFihBTkB0lBGnBVvB3rB,v115@EhC8HeB8HeC8EeD8JeT/IvhFmgBqmB/nB0lBlpBxvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFThB/nBmkBqqB0pBlrB,v115@EhC8HeB8HeC8EeD8Jei/IvhFRhBFlBTnB0pBGrBXrB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGgBThB/nBUlBlrBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFlgBUiBzkBXmBCsBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFqmB/nBRlBzpBUrBlqB,v115@EhC8HeB8HeC8EeD8JeKEJvhFRhBFlB8qBGnB3rBzpB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGhB/nBRlB0qBlrBzpB
TSJOZLI,O,O,O,O,O,X,X,X,O,X,O
TSZILJO,O,O,O,O,O,X,O,X,X,X,O
TSZILOJ,O,O,O,O,O,X,O,X,X,X,O
TSZIJLO,O,O,O,O,X,X,X,X,X,X,O
TSZIJOL,O,O,O,O,X,X,X,X,X,X,X
TSZIOLJ,O,O,O,O,O,X,O,X,X,X,X
TSZIOJL,O,O,O,O,X,X,X,X,X,X,X
TSZLIJO,O,X,O,O,O,X,O,X,X,X,O
TSZLIOJ,O,X,O,O,O,X,O,X,X,X,O
TSZLJIO,O,X,O,O,O,X,O,X,X,X,O
TSZLJOI,O,X,O,O,O,X,O,X,X,X,O
TSZLOIJ,O,X,O,O,O,X,O,X,O,X,O
TSZLOJI,O,X,O,O,O,X,O,X,O,X,O
TSZJILO,O,O,O,O,O,X,X,X,X,X,O
TSZJIOL,O,O,O,O,X,X,X,X,X,X,X
TSZJLIO,O,O,O,O,O,X,X,X,X,X,O
TSZJLOI,O,O,O,O,O,X,X,X,X,X,O
TSZJOIL,O,O,O,O,X,X,X,X,X,X,X
TSZJOLI,O,O,O,O,O,X,X,X,X,X,O
TSZOILJ,O,O,O,O,O,X,O,X,O,X,X
TSZOIJL,O,O,O,O,X,X,X,X,O,X,X
TSZOLIJ,O,X,O,O,O,X,O,X,O,X,O
TSZOLJI,O,X,O,O,O,X,O,X,O,X,O
TSZOJIL,O,O,O,O,X,X,X,X,O,X,X
TSZOJLI,O,O,O,O,O,X,X,X,O,X,O
TSOILJZ,O,O,O,O,O,X,O,X,O,X,X
TSOILZJ,O,O,O,O,O,X,O,X,X,X,X
TSOIJLZ,O,O,O,O,X,X,O,X,O,X,X
TSOIJZL,O,O,O,O,X,X,X,X,X,X,X
TSOIZLJ,O,O,O,O,O,X,O,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,X,X,X,X
TSOLIJZ,O,O,O,O,O,X,O,X,O,X,X
TSOLIZJ,O,O,O,O,O,X,O,X,X,X,X
TSOLJIZ,O,X,O,X,O,X,X,X,O,X,X
TSOLJZI,O,O,O,O,O,X,O,X,O,X,O
TSOLZIJ,O,X,O,O,O,X,O,X,O,X,O
TSOLZJI,O,X,O,O,O,X,O,X,O,X,O
TSOJILZ,O,O,O,O,X,X,O,X,O,X,X
TSOJIZL,O,O,O,O,X,X,X,X,X,X,X
TSOJLIZ,O,X,O,X,O,X,X,X,O,X,X
TSOJLZI,O,O,O,O,O,X,O,X,O,X,O
TSOJZIL,O,O,O,O,X,X,X,X,O,X,X
TSOJZLI,O,O,O,O,O,X,X,X,O,X,O
TSOZILJ,O,O,O,O,O,X,O,X,O,X,X
TSOZIJL,O,O,O,O,X,X,X,X,O,X,X
TSOZLIJ,O,X,O,O,O,X,O,X,O,X,O
TSOZLJI,O,X,O,O,O,X,O,X,O,X,O
TSOZJIL,O,O,O,O,X,X,X,X,O,X,X
TSOZJLI,O,O,O,O,O,X,X,X,O,X,O
TZILJSO,X,X,O,X,X,O,X,X,X,X,X
TZILJOS,X,X,O,X,X,O,X,X,X,X,X
TZILSJO,X,X,O,O,X,O,X,X,X,X,X
TZILSOJ,X,X,O,O,X,O,X,X,X,X,X
TZILOJS,X,X,O,X,X,O,X,X,X,X,X
TZILOSJ,X,X,O,O,X,O,X,X,X,X,X
TZIJLSO,X,X,O,X,X,O,X,X,X,X,X
TZIJLOS,X,X,O,X,X,O,X,X,X,X,X
TZIJSLO,X,X,O,O,X,O,X,X,X,X,X
TZIJSOL,X,X,O,O,X,X,X,X,X,X,X
TZIJOLS,X,X,O,X,X,O,X,X,X,X,X
TZIJOSL,X,X,O,O,X,X,X,X,X,X,X
TZISLJO,X,X,O,O,X,O,X,X,X,X,X
TZISLOJ,X,X,O,O,X,O,X,X,X,X,X
TZISJLO,X,X,O,O,X,X,X,X,X,X,X
TZISJOL,X,X,O,O,X,X,X,X,X,X,X
TZISOLJ,X,X,O,O,X,X,X,X,X,X,X
TZISOJL,X,X,O,O,X,X,X,X,X,X,X
TZIOLJS,X,X,O,X,X,O,X,X,X,X,X
TZIOLSJ,X,X,O,O,X,O,X,X,X,X,X
TZIOJLS,X,X,O,X,X,O,X,X,X,X,X
TZIOJSL,X,X,O,O,X,O,X,X,X,X,X
TZIOSLJ,X,X,O,O,X,O,X,X,X,X,X
TZIOSJL,X,X,O,O,X,X,X,X,X,X,X
TZLIJSO,X,X,O,X,X,O,X,X,X,O,X
TZLIJOS,X,X,O,X,X,O,X,X,X,X,X
TZLISJO,X,X,O,O,O,O,X,X,X,X,X
TZLISOJ,X,X,O,O,O,O,X,X,X,X,X
TZLIOJS,X,X,O,X,X,O,X,X,X,X,X
TZLIOSJ,X,X,O,O,X,O,X,X,X,X,X
TZLJISO,X,X,O,X,O,O,X,X,X,O,X
TZLJIOS,X,X,O,X,X,O,X,X,X,X,X
TZLJSIO,X,X,O,X,O,O,X,X,X,O,X
TZLJSOI,X,X,O,X,O,X,X,X,X,O,X
TZLJOIS,X,X,O,X,X,O,X,X,X,X,X
TZLJOSI,X,X,O,X,X,O,X,X,X,O,X
TZLSIJO,X,X,O,O,O,O,X,X,X,X,O
TZLSIOJ,X,X,O,O,O,O,X,X,X,X,O
TZLSJIO,X,X,O,O,O,O,X,X,X,O,O
TZLSJOI,X,X,O,O,O,X,X,X,X,O,O
TZLSOIJ,X,X,O,O,O,O,X,X,X,X,O
TZLSOJI,X,X,O,O,O,O,X,X,X,X,O
TZLOIJS,X,X,O,X,X,O,X,X,X,X,X
TZLOISJ,X,X,O,O,X,O,X,X,X,X,X
TZLOJIS,X,X,O,X,X,O,X,X,X,X,X
TZLOJSI,X,X,O,X,X,O,X,X,X,O,X
TZLOSIJ,X,X,O,O,X,O,X,X,X,X,X
TZLOSJI,X,X,O,O,X,O,X,X,X,X,X
TZJILSO,X,X,O,X,O,O,X,X,X,X,X
TZJILOS,X,X,O,X,X,O,X,X,X,X,X
TZJISLO,O,X,O,O,O,O,X,X,X,X,X
TZJISOL,O,X,O,O,X,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,O,X,X,X,X,X
TZJIOSL,O,X,O,O,X,X,X,X,X,X,X
TZJLISO,X,X,O,X,O,O,X,X,X,O,X
TZJLIOS,X,X,O,X,X,O,X,X,X,X,X
TZJLSIO,O,X,O,X,O,O,X,X,X,O,X
TZJLSOI,O,X,O,X,O,X,X,X,X,O,X
TZJLOIS,X,X,O,X,X,O,X,X,X,X,X
TZJLOSI,O,X,O,X,X,O,X,X,X,O,X
TZJSILO,O,X,O,O,O,O,X,X,X,X,X
TZJSIOL,O,X,O,O,X,X,X,X,X,X,X
TZJSLIO,O,X,O,O,O,O,X,X,X,X,X
TZJSLOI,O,X,O,O,O,X,X,X,X,X,X
TZJSOIL,O,X,O,O,X,X,X,X,X,X,X
TZJSOLI,O,X,O,O,X,X,X,X,X,X,X
TZJOILS,X,X,O,X,X,O,X,X,X,X,X
TZJOISL,O,X,O,O,X,O,X,X,X,X,X
TZJOLIS,X,X,O,X,X,O,X,X,X,X,X
TZJOLSI,O,X,O,X,X,O,X,X,X,X,X
TZJOSIL,O,X,O,O,X,O,X,X,X,X,X
TZJOSLI,O,X,O,O,X,O,X,X,X,X,X
TZSILJO,O,X,O,O,O,O,X,X,X,X,O
TZSILOJ,O,X,O,O,O,O,X,X,X,X,O
TZSIJLO,O,X,O,O,X,X,X,X,X,X,O
TZSIJOL,O,X,O,O,X,X,X,X,X,X,X
TZSIOLJ,O,X,O,O,O,X,X,X,X,X,X
TZSIOJL,O,X,O,O,X,X,X,X,X,X,X
TZSLIJO,O,X,O,O,O,O,X,X,X,X,O
TZSLIOJ,O,X,O,O,O,O,X,X,X,X,O
TZSLJIO,O,X,O,O,O,O,X,X,X,X,O
TZSLJOI,O,X,O,O,O,X,X,X,X,X,O
TZSLOIJ,O,X,O,O,O,O,X,X,O,X,O
TZSLOJI,O,X,O,O,O,O,X,X,O,X,O
TZSJILO,O,X,O,O,O,O,X,X,X,X,O
TZSJIOL,O,X,O,O,X,X,X,X,X,X,X
TZSJLIO,O,X,O,O,O,O,X,X,X,X,O
TZSJLOI,O,X,O,O,O,X,X,X,X,X,O
TZSJOIL,O,X,O,O,X,X,X,X,X,X,X
TZSJOLI,O,X,O,O,O,X,X,X,X,X,O
TZSOILJ,O,X,O,O,O,O,X,X,O,X,X
TZSOIJL,O,X,O,O,X,X,X,X,O,X,X
TZSOLIJ,O,X,O,O,O,O,X,X,O,X,O
TZSOLJI,O,X,O,O,O,O,X,X,O,X,O
TZSOJIL,O,X,O,O,X,O,X,X,O,X,X
TZSOJLI,O,X,O,O,O,O,X,X,O,X,O
TZOILJS,X,X,O,X,X,O,X,X,X,X,X
TZOILSJ,X,X,O,O,X,O,X,X,X,X,X
TZOIJLS,X,X,O,X,X,O,X,X,X,X,X
TZOIJSL,X,X,O,O,X,O,X,X,O,X,X
TZOISLJ,X,X,O,O,X,O,X,X,O,X,X
TZOISJL,X,X,O,O,X,X,X,X,O,X,X
TZOLIJS,X,X,O,X,X,O,X,X,X,X,X
TZOLISJ,X,X,O,O,X,O,X,X,X,X,X
TZOLJIS,X,X,O,X,X,O,X,X,X,X,X
TZOLJSI,X,X,O,X,X,O,X,X,X,X,X
TZOLSIJ,X,X,O,O,X,O,X,X,X,X,X
TZOLSJI,X,X,O,O,X,O,X,X,X,X,X
TZOJILS,X,X,O,X,X,O,X,X,X,X,X
TZOJISL,O,X,O,O,X,O,X,X,O,X,X
TZOJLIS,X,X,O,X,X,O,X,X,X,X,X
TZOJLSI,O,X,O,X,X,O,X,X,X,X,X
TZOJSIL,O,X,O,O,X,O,X,X,O,X,X
TZOJSLI,O,X,O,O,X,O,X,X,O,X,X
TZOSILJ,O,X,O,O,X,O,X,X,O,X,X
TZOSIJL,O,X,O,O,X,X,X,X,O,X,X
TZOSLIJ,O,X,O,O,X,O,X,X,O,X,X
TZOSLJI,O,X,O,O,X,O,X,X,O,X,X
TZOSJIL,O,X,O,O,X,O,X,X,O,X,X
TZOSJLI,O,X,O,O,X,O,X,X,O,X,X
TOILJSZ,X,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,X,O,X,X,X,X,X,X,X,X
TOILSJZ,X,X,O,X,X,X,X,X,X,X,X
TOILSZJ,X,X,O,X,X,X,X,X,X,X,X
TOILZJS,X,X,O,X,X,X,X,X,X,X,X
TOILZSJ,X,X,O,X,X,X,X,X,X,X,X
TOIJLSZ,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,O,X,X,X,X,X,O,X,X
TOIJSZL,O,X,O,X,X,X,X,X,X,X,X
TOIJZLS,X,X,O,X,X,O,X,X,X,X,X
TOIJZSL,O,X,O,X,X,O,X,X,O,X,X
TOISLJZ,O,X,O,O,X,X,X,X,O,X,X
TOISLZJ,O,X,O,O,X,X,X,X,X,X,X
TOISJLZ,O,X,O,O,X,X,X,X,O,X,X
TOISJZL,O,X,O,O,X,X,X,X,X,X,X
TOISZLJ,O,X,O,O,X,X,X,X,X,X,X
TOISZJL,O,X,O,O,X,X,X,X,X,X,X
TOIZLJS,X,X,O,X,X,O,X,X,X,X,X
TOIZLSJ,X,X,O,O,X,O,X,X,X,X,X
TOIZJLS,X,X,O,X,X,O,X,X,X,X,X
TOIZJSL,X,X,O,O,X,O,X,X,O,X,X
TOIZSLJ,X,X,O,O,X,O,X,X,O,X,X
TOIZSJL,X,X,O,O,X,X,X,X,O,X,X
TOLIJSZ,X,X,O,X,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,X,X,X,X,X,X,X
TOLISJZ,X,X,O,X,X,X,X,X,X,X,X
TOLISZJ,X,X,O,X,X,X,X,X,X,X,X
TOLIZJS,X,X,O,X,X,X,X,X,X,X,X
TOLIZSJ,X,X,O,X,X,X,X,X,X,X,X
TOLJISZ,X,X,O,X,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,X,X,X,X,X,X,X
TOLJZIS,X,X,O,X,X,X,X,X,X,X,X
TOLJZSI,O,X,O,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,O,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X,X
TOLSJZI,O,X,O,O,X,X,X,X,X,X,X
TOLSZIJ,O,X,O,O,X,X,X,X,X,X,X
TOLSZJI,O,X,O,O,X,X,X,X,X,X,X
TOLZIJS,X,X,O,X,X,X,X,X,X,X,X
TOLZISJ,X,X,O,O,X,X,X,X,X,X,X
TOLZJIS,X,X,O,X,X,X,X,X,X,X,X
TOLZJSI,X,X,O,X,X,X,X,X,X,X,X
TOLZSIJ,X,X,O,O,X,X,X,X,X,X,X
TOLZSJI,X,X,O,O,X,X,X,X,X,X,X
TOJILSZ,X,X,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,X,X,X,X,X,X,X,X
TOJISLZ,O,X,O,X,X,X,X,X,O,X,X
TOJISZL,O,X,O,X,X,X,X,X,X,X,X
TOJIZLS,X,X,O,X,X,O,X,X,X,X,X
TOJIZSL,O,X,O,X,X,O,X,X,O,X,X
TOJLISZ,X,X,O,X,X,X,X,X,X,X,X
TOJLIZS,X,X,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X,X
TOJLSZI,O,X,O,X,X,X,X,X,X,X,X
TOJLZIS,X,X,O,X,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X,X,X,X,X
TOJSILZ,O,X,O,O,X,X,X,X,O,X,X
TOJSIZL,O,X,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,X,X,X,X,O,X,X
TOJSLZI,O,X,O,O,X,X,X,X,O,X,X
TOJSZIL,O,X,O,O,X,X,X,X,O,X,X
TOJSZLI,O,X,O,O,X,X,X,X,O,X,X
TOJZILS,X,X,O,X,X,O,X,X,X,X,X
TOJZISL,O,X,O,O,X,O,X,X,O,X,X
TOJZLIS,X,X,O,X,X,O,X,X,X,X,X
TOJZLSI,O,X,O,X,X,O,X,X,X,X,X
TOJZSIL,O,X,O,O,X,O,X,X,O,X,X
TOJZSLI,O,X,O,O,X,O,X,X,O,X,X
TOSILJZ,O,X,O,O,X,X,X,X,O,X,X
TOSILZJ,O,X,O,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,O,O,X,X,X,X,O,X,X
TOSIJZL,O,X,O,O,X,X,X,X,X,X,X
TOSIZLJ,O,X,O,O,X,X,X,X,X,X,X
TOSIZJL,O,X,O,O,X,X,X,X,X,X,X
TOSLIJZ,O,X,O,O,X,X,X,X,O,X,X
TOSLIZJ,O,X,O,O,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,X,O,X,X
TOSLJZI,O,X,O,O,X,X,X,X,O,X,X
TOSLZIJ,O,X,O,O,X,X,X,X,O,X,X
TOSLZJI,O,X,O,O,X,X,X,X,O,X,X
TOSJILZ,O,X,O,O,X,X,X,X,O,X,X
TOSJIZL,O,X,O,O,X,X,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,X,X,X,O,X,X
TOSJLZI,O,X,O,O,X,X,X,X,O,X,X
TOSJZIL,O,X,O,O,X,X,X,X,O,X,X
TOSJZLI,O,X,O,O,X,X,X,X,O,X,X
TOSZILJ,O,X,O,O,X,X,X,X,O,X,X
TOSZIJL,O,X,O,O,X,X,X,X,O,X,X
TOSZLIJ,O,X,O,O,X,X,X,X,O,X,X
TOSZLJI,O,X,O,O,X,X,X,X,O,X,X
TOSZJIL,O,X,O,O,X,X,X,X,O,X,X
TOSZJLI,O,X,O,O,X,X,X,X,O,X,X
TOZILJS,X,X,O,X,X,O,X,X,X,X,X
TOZILSJ,X,X,O,O,X,O,X,X,X,X,X
TOZIJLS,X,X,O,X,X,O,X,X,X,X,X
TOZIJSL,X,X,O,O,X,O,X,X,O,X,X
TOZISLJ,X,X,O,O,X,O,X,X,O,X,X
TOZISJL,X,X,O,O,X,X,X,X,O,X,X
TOZLIJS,X,X,O,X,X,O,X,X,X,X,X
TOZLISJ,X,X,O,O,X,O,X,X,X,X,X
TOZLJIS,X,X,O,X,X,O,X,X,X,X,X
TOZLJSI,X,X,O,X,X,O,X,X,X,X,X
TOZLSIJ,X,X,O,O,X,O,X,X,X,X,X
TOZLSJI,X,X,O,O,X,O,X,X,X,X,X
TOZJILS,X,X,O,X,X,O,X,X,X,X,X
TOZJISL,O,X,O,O,X,O,X,X,O,X,X
TOZJLIS,X,X,O,X,X,O,X,X,X,X,X
TOZJLSI,O,X,O,X,X,O,X,X,X,X,X
TOZJSIL,O,X,O,O,X,O,X,X,O,X,X
TOZJSLI,O,X,O,O,X,O,X,X,O,X,X
TOZSILJ,O,X,O,O,X,O,X,X,O,X,X
TOZSIJL,O,X,O,O,X,X,X,X,O,X,X
TOZSLIJ,O,X,O,O,X,O,X,X,O,X,X
TOZSLJI,O,X,O,O,X,O,X,X,O,X,X
TOZSJIL,O,X,O,O,X,O,X,X,O,X,X
TOZSJLI,O,X,O,O,X,O,X,X,O,X,X
ITLJSZO,O,O,X,X,X,X,X,O,X,X,X
ITLJSOZ,O,O,X,X,X,X,X,O,X,X,X
ITLJZSO,O,O,X,X,X,X,X,O,X,X,X
ITLJZOS,O,X,X,X,X,X,X,O,X,X,X
ITLJOSZ,O,X,X,X,X,X,X,O,X,X,X
ITLJOZS,O,X,X,X,X,X,X,O,X,X,X
ITLSJZO,O,O,X,O,X,X,O,O,X,X,X
ITLSJOZ,O,O,X,O,X,X,O,O,X,X,X
ITLSZJO,O,O,X,O,X,X,O,O,X,X,X
ITLSZOJ,O,O,X,O,X,X,O,O,X,X,X
ITLSOJZ,O,O,X,O,X,X,O,O,X,X,X
ITLSOZJ,O,O,X,O,X,X,O,O,X,X,X
ITLZJSO,X,X,X,X,X,X,O,O,X,X,X
ITLZJOS,X,X,X,X,X,X,X,O,X,X,X
ITLZSJO,X,X,X,O,X,X,O,O,X,X,X
ITLZSOJ,X,X,X,O,X,X,O,O,X,X,X
ITLZOJS,X,X,X,X,X,X,X,O,X,X,X
ITLZOSJ,X,X,X,O,X,X,X,O,X,X,X
ITLOJSZ,O,X,X,X,X,X,X,O,X,X,X
ITLOJZS,O,X,X,X,X,X,X,O,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,O,X,X,X
ITLOSZJ,O,X,X,O,X,X,X,O,X,X,X
ITLOZJS,X,X,X,X,X,X,X,O,X,X,X
ITLOZSJ,X,X,X,O,X,X,X,O,X,X,X
ITJLSZO,O,O,X,X,X,X,X,O,X,X,X
ITJLSOZ,O,O,X,X,X,X,X,O,X,X,X
ITJLZSO,O,O,X,X,X,X,X,O,X,X,X
ITJLZOS,O,X,X,X,X,X,X,O,X,X,X
ITJLOSZ,O,X,O,X,X,X,X,O,X,X,X
ITJLOZS,O,X,O,X,X,X,X,O,X,X,X
ITJSLZO,O,O,X,O,X,X,X,O,X,X,X
ITJSLOZ,O,O,O,O,X,X,X,X,X,X,X
ITJSZLO,O,O,O,O,X,X,X,O,X,X,X
ITJSZOL,O,O,O,O,X,X,X,O,X,X,X
ITJSOLZ,O,O,O,O,X,X,X,X,X,X,X
ITJSOZL,O,O,O,O,X,X,X,O,X,X,X
ITJZLSO,O,O,O,X,X,X,X,X,X,X,X
ITJZLOS,O,X,O,X,X,X,X,X,X,X,X
ITJZSLO,O,O,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,O,X,X,X,X,X,X,X
ITJZOLS,O,X,O,X,X,X,X,X,X,X,X
ITJZOSL,O,X,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,X,O,X,X,X,X,O,X,X,X
ITJOLZS,O,X,O,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,O,O,X,X,X,O,X,X,X
ITJOSZL,O,X,O,O,X,X,X,O,X,X,X
ITJOZLS,O,X,O,X,X,X,X,O,X,X,X
ITJOZSL,O,X,O,O,X,X,X,O,X,X,X
ITSLJZO,O,O,X,O,X,X,O,O,X,X,X
ITSLJOZ,O,O,X,O,X,X,O,X,X,X,X
ITSLZJO,O,O,X,O,X,X,O,O,X,X,X
ITSLZOJ,O,O,X,O,X,X,O,O,X,X,X
ITSLOJZ,O,O,X,O,X,X,O,O,X,X,X
ITSLOZJ,O,O,X,O,X,X,O,O,X,X,X
ITSJLZO,O,O,X,O,X,X,O,O,X,X,X
ITSJLOZ,O,O,O,O,X,X,O,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X,O,X,X,X
ITSJOLZ,O,O,O,O,X,X,O,O,X,X,X
ITSJOZL,O,O,O,O,X,X,X,O,X,X,X
ITSZLJO,O,O,O,O,X,X,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X,O,O,X,X,X
ITSZJLO,O,O,O,O,X,X,X,O,X,X,X
ITSZJOL,O,O,O,O,X,X,X,O,X,X,X
ITSZOLJ,O,O,O,O,X,X,O,O,X,X,X
ITSZOJL,O,O,O,O,X,X,X,O,X,X,X
ITSOLJZ,O,O,O,O,X,X,O,O,X,X,X
ITSOLZJ,O,O,O,O,X,X,O,O,X,X,X
ITSOJLZ,O,O,O,O,X,X,O,O,X,X,X
ITSOJZL,O,O,O,O,X,X,X,O,X,X,X
ITSOZLJ,O,O,O,O,X,X,O,O,X,X,X
ITSOZJL,O,O,O,O,X,X,X,O,X,X,X
ITZLJSO,X,X,O,X,X,X,X,X,X,X,X
ITZLJOS,X,X,O,X,X,X,X,X,X,X,X
ITZLSJO,X,X,O,O,X,X,X,X,X,X,X
ITZLSOJ,X,X,O,O,X,X,X,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X,X,X,X,X
ITZLOSJ,X,X,O,O,X,X,X,X,X,X,X
ITZJLSO,O,X,O,X,X,X,X,X,X,X,X
ITZJLOS,O,X,O,X,X,X,X,X,X,X,X
ITZJSLO,O,X,O,O,X,X,X,X,X,X,X
ITZJSOL,O,X,O,O,X,X,X,X,X,X,X
ITZJOLS,O,X,O,X,X,X,X,X,X,X,X
ITZJOSL,O,X,O,O,X,X,X,X,X,X,X
ITZSLJO,O,X,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,O,X,X,X,X,X,X,X
ITZSJLO,O,X,O,O,X,X,X,X,X,X,X
ITZSJOL,O,X,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,O,O,X,X,X,X,X,X,X
ITZSOJL,O,X,O,O,X,X,X,X,X,X,X
ITZOLJS,X,X,O,X,X,X,X,X,X,X,X
ITZOLSJ,X,X,O,O,X,X,X,X,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,O,X,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,O,O,X,X,X,X,X,X,X
ITZOSJL,O,X,O,O,X,X,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,X,O,X,X,X
ITOLJZS,O,X,O,X,X,X,X,O,X,X,X
ITOLSJZ,O,X,O,O,X,X,X,O,X,X,X
ITOLSZJ,O,X,O,O,X,X,X,O,X,X,X
ITOLZJS,X,X,O,X,X,X,X,O,X,X,X
ITOLZSJ,X,X,O,O,X,X,X,O,X,X,X
ITOJLSZ,O,X,O,X,X,X,X,O,X,X,X
ITOJLZS,O,X,O,X,X,X,X,O,X,X,X
ITOJSLZ,O,X,O,O,X,X,X,O,X,X,X
ITOJSZL,O,X,O,O,X,X,X,O,X,X,X
ITOJZLS,O,X,O,X,X,X,X,O,X,X,X
ITOJZSL,O,X,O,O,X,X,X,O,X,X,X
ITOSLJZ,O,X,O,O,X,X,X,O,X,X,X
ITOSLZJ,O,X,O,O,X,X,X,O,X,X,X
ITOSJLZ,O,X,O,O,X,X,X,O,X,X,X
ITOSJZL,O,X,O,O,X,X,X,O,X,X,X
ITOSZLJ,O,X,O,O,X,X,X,O,X,X,X
ITOSZJL,O,X,O,O,X,X,X,O,X,X,X
ITOZLJS,X,X,O,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,O,O,X,X,X,O,X,X,X
ITOZJLS,O,X,O,X,X,X,X,O,X,X,X
ITOZJSL,O,X,O,O,X,X,X,O,X,X,X
ITOZSLJ,O,X,O,O,X,X,X,O,X,X,X
ITOZSJL,O,X,O,O,X,X,X,O,X,X,X
ILTJSZO,O,O,X,X,X,X,X,O,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,O,X,X,X
ILTJZSO,O,O,X,X,X,X,X,O,X,X,X
ILTJZOS,O,X,X,X,X,X,X,O,X,X,X
ILTJOSZ,O,X,X,X,X,X,X,O,X,X,X
ILTJOZS,O,X,X,X,X,X,X,O,X,X,X
ILTSJZO,O,O,X,O,X,X,O,O,X,X,X
ILTSJOZ,O,O,X,O,O,X,O,O,X,X,X
ILTSZJO,O,O,X,O,X,X,O,O,X,X,X
ILTSZOJ,O,O,X,O,O,X,O,O,X,X,X
ILTSOJZ,O,O,X,O,O,X,O,O,X,X,X
ILTSOZJ,O,O,X,O,O,X,O,O,X,X,X
ILTZJSO,X,X,X,X,X,X,O,O,X,O,X
ILTZJOS,X,X,X,X,X,X,X,O,X,X,X
ILTZSJO,X,X,X,O,X,X,O,O,X,X,X
ILTZSOJ,X,X,X,O,X,X,O,O,X,X,X
ILTZOJS,X,X,X,X,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,O,X,X,X,O,X,X,X
ILTOJSZ,O,X,X,X,X,X,X,O,X,X,X
ILTOJZS,O,X,X,X,X,X,X,O,X,X,X
ILTOSJZ,O,X,X,O,X,X,X,O,X,X,X
ILTOSZJ,O,X,X,O,X,X,X,O,X,X,X
ILTOZJS,X,X,X,X,X,X,X,O,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,O,X,X,X
ILJTSZO,O,O,X,X,X,X,X,O,X,O,X
ILJTSOZ,O,O,X,X,X,X,X,O,X,X,X
ILJTZSO,O,O,X,X,X,X,X,O,X,X,X
ILJTZOS,O,X,X,X,X,X,X,O,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,O,X,X,X
ILJTOZS,O,X,X,X,X,X,X,O,X,X,X
ILJSTZO,O,O,X,X,X,X,O,O,X,O,X
ILJSTOZ,O,O,X,X,O,X,O,O,X,X,X
ILJSZTO,O,O,X,X,X,X,O,O,X,O,X
ILJSZOT,O,O,X,X,X,X,O,O,X,O,X
ILJSOTZ,O,O,X,X,X,X,X,O,X,X,X
ILJSOZT,O,O,X,X,X,X,X,O,X,O,X
ILJZTSO,O,O,X,X,X,X,O,O,X,O,X
ILJZTOS,O,X,X,X,X,X,X,O,X,X,X
