sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
TSLJOZI,O,X,X,X,X,X,O,X,X,X,X,X
TSLZIJO,O,X,O,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSLZJIO,O,X,O,O,X,X,X,X,X,X,X,X
TSLZJOI,O,X,O,O,X,X,X,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,O,X,O,X,X,X
TSLZOJI,X,X,O,O,X,X,O,X,O,X,X,X
TSLOIJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,O,O,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,O,X,X,X,X,X
TSLOZIJ,O,X,O,X,X,X,O,X,O,X,X,X
TSLOZJI,X,X,O,X,X,X,O,X,O,X,X,X
TSJILZO,O,X,X,O,X,X,X,X,X,X,X,X
TSJILOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSJIZLO,O,X,X,O,X,X,X,X,X,X,X,X
TSJIZOL,O,X,X,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TSJIOZL,O,X,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,X,X,O,X,X,X,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,O,X,X,X,X,X,X
TSJLZIO,O,X,X,O,X,X,X,X,X,X,X,X
TSJLZOI,O,X,X,O,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,O,O,X,X,X,O,X
TSJLOZI,O,X,X,X,X,X,O,X,X,X,O,X
TSJZILO,O,X,X,O,X,X,X,X,X,X,X,X
TSJZIOL,O,X,X,O,X,X,X,X,X,X,X,X
TSJZLIO,O,X,X,O,X,X,X,X,X,X,X,X
TSJZLOI,O,X,X,O,X,X,X,X,X,X,X,X
TSJZOIL,O,X,X,O,X,X,X,X,O,X,X,X
TSJZOLI,O,X,X,O,X,X,X,X,O,X,X,X
TSJOILZ,O,X,X,X,X,O,X,X,X,X,O,X
TSJOIZL,O,X,X,O,X,X,X,X,O,X,X,X
TSJOLIZ,O,X,X,X,X,O,O,X,X,X,O,X
TSJOLZI,O,X,X,X,X,X,O,X,X,X,O,X
TSJOZIL,O,X,X,O,X,X,O,X,O,X,X,X
TSJOZLI,O,X,X,O,X,X,O,X,O,X,X,X
TSZILJO,O,X,O,O,X,X,X,X,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSZIJLO,O,X,O,O,X,X,X,X,X,X,X,X
TSZIJOL,O,X,O,O,X,X,X,X,X,X,X,X
TSZIOLJ,O,X,O,X,X,X,X,X,O,O,X,X
TSZIOJL,O,X,O,O,X,X,X,X,O,O,X,X
TSZLIJO,O,X,O,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,X,O,X,X,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X,X,X,X,X,X,X
TSZLJOI,O,X,O,O,X,X,X,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,O,X,O,O,X,X
TSZLOJI,X,X,O,O,X,X,O,X,O,O,X,X
TSZJILO,O,X,O,O,X,X,X,X,X,X,X,X
TSZJIOL,O,X,O,O,X,X,X,X,X,X,X,X
TSZJLIO,O,X,O,O,X,X,X,X,X,X,X,X
TSZJLOI,O,X,O,O,O,X,X,X,X,X,X,X
TSZJOIL,O,X,O,O,O,X,X,X,O,O,X,X
TSZJOLI,O,X,O,O,O,X,X,X,O,O,X,X
TSZOILJ,O,X,O,X,X,X,O,X,O,O,X,X
TSZOIJL,O,X,O,O,O,X,O,X,O,O,X,X
TSZOLIJ,O,X,O,X,X,X,O,X,O,O,X,X
TSZOLJI,X,X,O,O,X,X,O,X,O,O,X,X
TSZOJIL,O,X,O,O,O,X,O,X,O,O,X,X
TSZOJLI,O,X,O,O,O,X,O,X,O,O,X,X
TSOILJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSOILZJ,O,X,O,X,X,X,O,X,O,X,X,X
TSOIJLZ,O,X,X,X,X,O,X,X,X,X,O,X
TSOIJZL,O,X,X,O,X,X,X,X,O,X,X,X
TSOIZLJ,O,X,O,X,X,X,O,X,O,O,X,X
TSOIZJL,O,X,O,O,O,X,O,X,O,O,X,X
TSOLIJZ,O,X,X,X,X,O,O,X,X,X,X,X
TSOLIZJ,O,X,O,X,X,X,O,X,O,X,X,X
TSOLJIZ,O,X,X,X,X,O,O,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X,O,X,X,X,X,X
TSOLZIJ,O,X,O,X,X,X,O,X,O,X,X,X
TSOLZJI,X,X,O,X,X,X,O,X,O,X,X,X
TSOJILZ,O,X,X,X,X,O,X,X,X,X,O,X
TSOJIZL,O,X,X,O,X,X,X,X,O,X,X,X
TSOJLIZ,O,X,X,X,X,O,O,X,X,X,O,X
TSOJLZI,O,X,X,X,X,X,O,X,X,X,O,X
TSOJZIL,O,X,X,O,X,X,O,X,O,X,X,X
TSOJZLI,O,X,X,O,X,X,O,X,O,X,X,X
TSOZILJ,O,X,O,X,X,X,O,X,O,O,X,X
TSOZIJL,O,X,O,O,O,X,O,X,O,O,X,X
TSOZLIJ,O,X,O,X,X,X,O,X,O,O,X,X
TSOZLJI,X,X,O,O,X,X,O,X,O,O,X,X
TSOZJIL,O,X,O,O,O,X,O,X,O,O,X,X
TSOZJLI,O,X,O,O,O,X,O,X,O,O,X,X
TZILJSO,X,O,O,X,X,X,X,O,X,X,X,X
TZILJOS,X,X,X,X,X,O,X,O,X,X,X,X
TZILSJO,X,O,O,X,X,X,X,O,X,X,X,X
TZILSOJ,X,O,O,X,X,X,X,O,X,X,X,X
TZILOJS,X,O,X,X,X,O,X,O,X,X,X,X
TZILOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TZIJLSO,X,X,O,X,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,O,X,X,X,X,X,X
TZIJSLO,X,X,O,O,X,X,X,X,X,X,X,X
TZIJSOL,X,X,O,O,X,X,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,O,X,X,X,X,X,X
TZIJOSL,X,X,X,O,X,X,X,X,X,X,X,X
TZISLJO,X,O,O,O,X,X,X,X,X,X,X,X
TZISLOJ,X,O,O,X,X,X,X,X,X,X,X,X
TZISJLO,X,O,O,O,X,X,X,X,X,X,X,X
TZISJOL,X,X,O,O,X,X,X,X,X,X,X,X
TZISOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TZISOJL,X,X,O,O,X,X,X,X,X,O,X,X
TZIOLJS,X,O,X,X,X,O,X,X,X,O,X,X
TZIOLSJ,X,O,O,X,X,X,X,X,X,O,X,X
TZIOJLS,X,O,X,X,X,O,X,X,X,O,X,X
TZIOJSL,X,O,X,X,X,X,X,X,X,O,X,X
TZIOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TZIOSJL,X,O,O,X,X,X,X,X,X,O,X,X
TZLIJSO,X,O,O,X,X,X,X,O,X,X,X,X
TZLIJOS,X,X,X,X,X,O,X,O,X,X,X,X
TZLISJO,X,O,O,X,X,X,X,O,X,X,X,X
TZLISOJ,X,O,O,X,X,X,X,O,X,X,X,X
TZLIOJS,X,O,X,X,X,O,X,O,X,X,X,X
TZLIOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TZLJISO,X,O,O,X,X,X,X,O,X,X,X,X
TZLJIOS,X,X,X,X,X,O,X,O,X,X,X,X
TZLJSIO,X,O,X,X,X,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,O,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X,X,X,X,X,X,X
TZLSIJO,X,O,O,X,X,X,X,X,X,X,X,X
TZLSIOJ,X,O,O,X,X,X,X,X,X,X,X,X
TZLSJIO,X,O,X,X,X,X,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X,X,X,X,X,X,X
TZLSOIJ,X,O,X,X,X,X,X,X,X,O,X,X
TZLSOJI,X,X,X,X,X,X,X,X,X,O,X,X
TZLOIJS,X,O,X,X,X,O,O,X,X,O,X,X
TZLOISJ,X,O,O,X,X,X,O,X,X,O,X,X
TZLOJIS,X,O,X,X,X,O,O,X,X,O,X,X
TZLOJSI,X,O,X,X,X,X,X,X,X,O,X,X
TZLOSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TZLOSJI,X,O,X,X,X,X,X,X,X,O,X,X
TZJILSO,X,X,O,X,X,X,X,O,X,X,X,X
TZJILOS,X,X,X,X,X,O,X,O,X,X,X,X
TZJISLO,X,X,O,O,X,X,X,X,X,X,X,X
TZJISOL,X,X,O,O,X,X,X,X,X,X,X,X
TZJIOLS,X,X,X,X,X,O,X,X,X,X,X,X
TZJIOSL,X,X,X,O,X,X,X,X,X,X,X,X
TZJLISO,X,X,O,X,X,X,X,O,X,X,X,X
TZJLIOS,X,X,X,X,X,O,X,O,X,X,X,X
TZJLSIO,X,X,X,X,X,X,X,X,X,X,X,X
TZJLSOI,X,X,X,X,O,X,X,X,X,X,X,X
TZJLOIS,X,X,X,X,O,O,X,X,X,X,O,X
TZJLOSI,X,X,X,X,O,X,X,X,X,X,O,X
TZJSILO,X,X,X,O,X,X,X,X,X,X,X,X
TZJSIOL,X,X,X,O,X,X,X,X,X,X,X,X
TZJSLIO,X,X,X,O,X,X,X,X,X,X,X,X
TZJSLOI,X,X,X,O,O,X,X,X,X,X,X,X
TZJSOIL,X,X,X,O,O,X,X,X,X,O,X,X
TZJSOLI,X,X,X,O,O,X,X,X,X,O,X,X
TZJOILS,X,X,X,X,O,O,X,X,X,O,O,X
TZJOISL,X,X,X,O,O,X,X,X,X,O,X,X
TZJOLIS,X,X,X,X,O,O,X,X,X,O,O,X
TZJOLSI,X,X,X,X,O,X,X,X,X,O,O,X
TZJOSIL,X,X,X,O,O,X,X,X,X,O,X,X
TZJOSLI,X,X,X,O,O,X,X,X,X,O,X,X
TZSILJO,X,O,O,O,X,X,X,X,X,X,X,X
TZSILOJ,X,O,O,X,X,X,X,X,X,X,X,X
TZSIJLO,X,O,O,O,X,X,X,X,X,X,X,X
TZSIJOL,X,X,O,O,X,X,X,X,X,X,X,X
TZSIOLJ,X,O,O,X,X,X,X,X,O,O,X,X
TZSIOJL,X,X,O,O,X,X,X,X,O,O,X,X
TZSLIJO,X,O,O,O,X,X,X,X,X,X,X,X
TZSLIOJ,X,O,O,X,X,X,X,X,X,X,X,X
TZSLJIO,X,O,X,O,X,X,X,X,X,X,X,X
TZSLJOI,X,X,X,O,X,X,X,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,X,X,X,O,O,X,X
TZSLOJI,X,X,X,O,X,X,X,X,O,O,X,X
TZSJILO,X,O,X,O,X,X,X,X,X,X,X,X
TZSJIOL,X,X,X,O,X,X,X,X,X,X,X,X
TZSJLIO,X,O,X,O,X,X,X,X,X,X,X,X
TZSJLOI,X,X,X,O,O,X,X,X,X,X,X,X
TZSJOIL,X,X,X,O,O,X,X,X,O,O,X,X
TZSJOLI,X,X,X,O,O,X,X,X,O,O,X,X
TZSOILJ,X,O,X,X,X,X,X,X,O,O,X,X
TZSOIJL,X,X,X,O,O,X,X,X,O,O,X,X
TZSOLIJ,X,O,X,X,X,X,X,X,O,O,X,X
TZSOLJI,X,X,X,O,X,X,X,X,O,O,X,X
TZSOJIL,X,X,X,O,O,X,X,X,O,O,X,X
TZSOJLI,X,X,X,O,O,X,X,X,O,O,X,X
TZOILJS,X,O,X,X,X,O,O,X,X,O,X,X
TZOILSJ,X,O,O,X,X,X,O,X,X,O,X,X
TZOIJLS,X,O,X,X,O,O,O,X,X,O,O,X
TZOIJSL,X,O,X,X,O,X,O,X,X,O,X,X
TZOISLJ,X,O,O,X,X,X,O,X,O,O,X,X
TZOISJL,X,O,O,X,O,X,O,X,O,O,X,X
TZOLIJS,X,O,X,X,X,O,O,X,X,O,X,X
TZOLISJ,X,O,O,X,X,X,O,X,X,O,X,X
TZOLJIS,X,O,X,X,X,O,O,X,X,O,X,X
TZOLJSI,X,O,X,X,X,X,X,X,X,O,X,X
TZOLSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TZOLSJI,X,O,X,X,X,X,X,X,X,O,X,X
TZOJILS,X,O,X,X,O,O,O,X,X,O,O,X
TZOJISL,X,O,X,O,O,X,O,X,X,O,X,X
TZOJLIS,X,O,X,X,O,O,O,X,X,O,O,X
TZOJLSI,X,O,X,X,O,X,X,X,X,O,O,X
TZOJSIL,X,O,X,O,O,X,X,X,X,O,X,X
TZOJSLI,X,O,X,O,O,X,X,X,X,O,X,X
TZOSILJ,X,O,X,X,X,X,O,X,O,O,X,X
TZOSIJL,X,O,X,O,O,X,O,X,O,O,X,X
TZOSLIJ,X,O,X,X,X,X,O,X,O,O,X,X
TZOSLJI,X,O,X,O,X,X,X,X,O,O,X,X
TZOSJIL,X,O,X,O,O,X,X,X,O,O,X,X
TZOSJLI,X,O,X,O,O,X,X,X,O,O,X,X
TOILJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TOILJZS,X,O,X,X,O,O,X,X,X,X,O,X
TOILSJZ,X,X,X,X,X,O,X,X,X,X,X,X
TOILSZJ,X,O,X,X,X,X,X,X,O,X,X,X
TOILZJS,X,O,X,X,X,O,O,X,X,O,X,X
TOILZSJ,X,O,X,X,X,X,O,X,X,O,X,X
TOIJLSZ,X,X,X,X,X,O,X,X,X,X,O,X
TOIJLZS,X,O,X,X,O,O,X,X,X,X,O,X
TOIJSLZ,O,X,X,X,X,O,X,X,X,X,O,X
TOIJSZL,O,X,X,X,X,X,X,X,O,X,X,X
TOIJZLS,X,O,X,X,O,O,X,X,X,O,O,X
TOIJZSL,O,O,X,X,O,X,X,X,X,O,X,X
TOISLJZ,O,X,X,X,X,O,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X,O,X,X,X
TOISJLZ,O,X,X,X,X,O,X,X,X,X,O,X
TOISJZL,O,X,X,X,X,X,X,X,O,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X,O,O,X,X
TOISZJL,O,O,X,X,O,X,X,X,O,O,X,X
TOIZLJS,X,O,X,X,X,O,O,X,X,O,X,X
TOIZLSJ,X,O,X,X,X,X,O,X,X,O,X,X
TOIZJLS,X,O,X,X,O,O,O,X,X,O,O,X
TOIZJSL,X,O,X,X,O,X,O,X,X,O,X,X
TOIZSLJ,X,O,X,X,X,X,O,X,O,O,X,X
TOIZSJL,X,O,X,X,O,X,O,X,O,O,X,X
TOLIJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TOLIJZS,X,O,X,X,O,O,X,X,X,X,O,X
TOLISJZ,X,X,X,X,X,O,X,X,X,X,X,X
TOLISZJ,X,O,X,X,X,X,X,X,O,X,X,X
TOLIZJS,X,O,X,X,X,O,O,X,X,O,X,X
TOLIZSJ,X,O,X,X,X,X,O,X,X,O,X,X
TOLJISZ,X,X,X,X,X,O,X,X,X,X,O,X
TOLJIZS,X,O,X,X,O,O,X,X,X,X,O,X
TOLJSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TOLJSZI,X,X,X,X,X,X,X,X,X,X,O,X
TOLJZIS,X,O,X,X,O,O,O,X,X,X,O,X
TOLJZSI,X,O,X,X,O,X,X,X,X,X,O,X
TOLSIJZ,X,X,X,X,X,O,O,X,X,X,X,X
TOLSIZJ,X,O,X,X,X,X,O,X,O,X,X,X
TOLSJIZ,X,X,X,X,X,O,O,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X,O,X,X,X,X,X
TOLSZIJ,X,O,X,X,X,X,O,X,O,X,X,X
TOLSZJI,X,O,X,X,X,X,O,X,O,X,X,X
TOLZIJS,X,O,X,X,X,O,O,X,X,O,X,X
TOLZISJ,X,O,X,X,X,X,O,X,X,O,X,X
TOLZJIS,X,O,X,X,X,O,O,X,X,O,X,X
TOLZJSI,X,O,X,X,X,X,X,X,X,O,X,X
TOLZSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TOLZSJI,X,O,X,X,X,X,O,X,X,O,X,X
TOJILSZ,X,X,X,X,X,O,X,X,X,X,O,X
TOJILZS,X,O,X,X,O,O,X,X,X,X,O,X
TOJISLZ,O,X,X,X,X,O,X,X,X,X,O,X
TOJISZL,O,X,X,X,X,X,X,X,O,X,X,X
TOJIZLS,X,O,X,X,O,O,X,X,X,O,O,X
TOJIZSL,O,O,X,X,O,X,X,X,X,O,X,X
TOJLISZ,X,X,X,X,X,O,X,X,X,X,O,X
TOJLIZS,X,O,X,X,O,O,X,X,X,X,O,X
TOJLSIZ,X,X,X,X,X,O,X,X,X,X,O,X
TOJLSZI,X,X,X,X,X,X,X,X,X,X,O,X
TOJLZIS,X,O,X,X,O,O,O,X,X,X,O,X
TOJLZSI,X,O,X,X,O,X,X,X,X,X,O,X
TOJSILZ,O,X,X,X,X,O,X,X,X,X,O,X
TOJSIZL,O,X,X,X,X,X,X,X,O,X,X,X
TOJSLIZ,O,X,X,X,X,O,X,X,X,X,O,X
TOJSLZI,O,X,X,X,X,X,X,X,X,X,O,X
TOJSZIL,O,X,X,X,X,X,X,X,O,X,X,X
TOJSZLI,O,X,X,X,X,X,X,X,O,X,X,X
TOJZILS,X,O,X,X,O,O,O,X,X,O,O,X
TOJZISL,O,O,X,X,O,X,O,X,X,O,X,X
TOJZLIS,X,O,X,X,O,O,O,X,X,O,O,X
TOJZLSI,X,O,X,X,O,X,X,X,X,O,O,X
TOJZSIL,O,O,X,X,O,X,X,X,X,O,X,X
TOJZSLI,O,O,X,X,O,X,X,X,X,O,X,X
TOSILJZ,O,X,X,X,X,O,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,O,X,O,X,X,X
TOSIJLZ,O,X,X,X,X,O,X,X,X,X,O,X
TOSIJZL,O,X,X,X,X,X,X,X,O,X,X,X
TOSIZLJ,O,O,X,X,X,X,O,X,O,O,X,X
TOSIZJL,O,O,X,X,O,X,O,X,O,O,X,X
TOSLIJZ,O,X,X,X,X,O,O,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,O,X,O,X,X,X
TOSLJIZ,O,X,X,X,X,O,O,X,X,X,X,X
TOSLJZI,O,X,X,X,X,X,O,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,O,X,O,X,X,X
TOSLZJI,X,O,X,X,X,X,O,X,O,X,X,X
TOSJILZ,O,X,X,X,X,O,X,X,X,X,O,X
TOSJIZL,O,X,X,X,X,X,X,X,O,X,X,X
TOSJLIZ,O,X,X,X,X,O,O,X,X,X,O,X
TOSJLZI,O,X,X,X,X,X,O,X,X,X,O,X
TOSJZIL,O,X,X,X,X,X,O,X,O,X,X,X
TOSJZLI,O,X,X,X,X,X,O,X,O,X,X,X
TOSZILJ,O,O,X,X,X,X,O,X,O,O,X,X
TOSZIJL,O,O,X,X,O,X,O,X,O,O,X,X
TOSZLIJ,O,O,X,X,X,X,O,X,O,O,X,X
TOSZLJI,X,O,X,X,X,X,O,X,O,O,X,X
TOSZJIL,O,O,X,X,O,X,O,X,O,O,X,X
TOSZJLI,O,O,X,X,O,X,O,X,O,O,X,X
TOZILJS,X,O,X,X,X,O,O,X,X,O,X,X
TOZILSJ,X,O,X,X,X,X,O,X,X,O,X,X
TOZIJLS,X,O,X,X,O,O,O,X,X,O,O,X
TOZIJSL,X,O,X,X,O,X,O,X,X,O,X,X
TOZISLJ,X,O,X,X,X,X,O,X,O,O,X,X
TOZISJL,X,O,X,X,O,X,O,X,O,O,X,X
TOZLIJS,X,O,X,X,X,O,O,X,X,O,X,X
TOZLISJ,X,O,X,X,X,X,O,X,X,O,X,X
TOZLJIS,X,O,X,X,X,O,O,X,X,O,X,X
TOZLJSI,X,O,X,X,X,X,X,X,X,O,X,X
TOZLSIJ,X,O,X,X,X,X,O,X,X,O,X,X
TOZLSJI,X,O,X,X,X,X,O,X,X,O,X,X
TOZJILS,X,O,X,X,O,O,O,X,X,O,O,X
TOZJISL,X,O,X,X,O,X,O,X,X,O,X,X
TOZJLIS,X,O,X,X,O,O,O,X,X,O,O,X
TOZJLSI,X,O,X,X,O,X,X,X,X,O,O,X
TOZJSIL,X,O,X,X,O,X,X,X,X,O,X,X
TOZJSLI,X,O,X,X,O,X,X,X,X,O,X,X
TOZSILJ,X,O,X,X,X,X,O,X,O,O,X,X
TOZSIJL,X,O,X,X,O,X,O,X,O,O,X,X
TOZSLIJ,X,O,X,X,X,X,O,X,O,O,X,X
TOZSLJI,X,O,X,X,X,X,O,X,O,O,X,X
TOZSJIL,X,O,X,X,O,X,O,X,O,O,X,X
TOZSJLI,X,O,X,X,O,X,O,X,O,O,X,X
ITLJSZO,X,X,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLJZSO,X,O,O,X,X,X,X,X,X,X,X,X
ITLJZOS,X,X,X,X,X,O,X,X,X,X,X,X
ITLJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLJOZS,X,O,X,X,X,O,X,X,X,X,X,X
ITLSJZO,X,X,X,X,X,X,X,X,X,X,X,O
ITLSJOZ,X,X,X,X,X,O,X,X,X,X,X,O
ITLSZJO,X,O,O,X,X,X,X,X,X,X,X,O
ITLSZOJ,X,O,O,X,X,X,X,X,X,X,X,O
ITLSOJZ,X,X,X,X,X,O,X,X,X,X,X,O
ITLSOZJ,X,O,O,X,X,X,X,X,X,X,X,O
ITLZJSO,X,O,O,X,X,X,X,O,X,X,X,X
ITLZJOS,X,X,X,X,X,O,X,O,X,X,X,X
ITLZSJO,X,O,O,X,X,X,X,O,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ITLZOJS,X,O,X,X,X,O,X,O,X,X,X,X
ITLZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
ITLOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLOJZS,X,O,X,X,X,O,X,X,X,X,X,X
ITLOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,O,O,X,X,X,X,X
ITLOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
ITJLSZO,X,X,X,X,X,X,X,X,X,X,X,X
ITJLSOZ,X,X,X,X,X,O,X,X,X,X,X,X
ITJLZSO,X,X,X,X,X,X,X,X,X,X,X,X
ITJLZOS,X,X,X,X,X,O,X,X,X,X,X,X
ITJLOSZ,X,X,X,X,X,O,X,X,X,X,O,X
ITJLOZS,X,X,X,X,X,O,X,X,X,X,O,X
ITJSLZO,O,X,X,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,O,X,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,X,X,X,X
ITJSZOL,O,X,X,O,X,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,X,X,X,X,X
ITJZLOS,X,X,X,X,X,O,X,X,X,X,X,X
ITJZSLO,O,X,X,O,X,X,X,X,X,X,X,X
ITJZSOL,O,X,X,O,X,X,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,O,X,X,X,X,X,X
ITJZOSL,O,X,X,O,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,X,X,X,O,X,X,X,X,O,X
ITJOLZS,X,X,X,X,X,O,X,X,X,X,O,X
ITJOSLZ,O,X,X,X,X,O,X,X,X,X,O,X
ITJOSZL,O,X,X,X,X,X,X,X,X,X,X,X
ITJOZLS,X,X,X,X,X,O,X,X,X,X,O,X
ITJOZSL,O,X,X,X,X,X,X,X,X,X,X,X
ITSLJZO,O,X,X,O,X,X,X,X,X,X,X,O
ITSLJOZ,O,X,X,X,X,O,X,X,X,X,X,O
ITSLZJO,O,X,O,O,X,X,X,X,X,X,X,O
ITSLZOJ,O,X,O,X,X,X,X,X,X,X,X,O
ITSLOJZ,O,X,X,X,X,O,X,X,X,X,X,O
ITSLOZJ,O,X,O,X,X,X,X,X,X,X,X,O
ITSJLZO,O,X,X,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,O,X,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X,X,X,X
ITSJZOL,O,X,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X,X
ITSZLJO,O,X,O,O,X,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X,X,X,X,X,X
ITSZJLO,O,X,O,O,X,X,X,X,X,X,X,X
ITSZJOL,O,X,O,O,X,X,X,X,X,X,X,X
ITSZOLJ,O,X,O,X,X,X,X,X,O,X,X,X
ITSZOJL,O,X,O,O,X,X,X,X,O,X,X,X
ITSOLJZ,O,X,X,X,X,O,X,X,X,X,X,X
ITSOLZJ,O,X,O,X,X,X,X,X,O,X,X,X
ITSOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,O,X,X,X
ITSOZLJ,O,X,O,X,X,X,X,X,O,X,X,X
ITSOZJL,O,X,O,O,X,X,X,X,O,X,X,X
ITZLJSO,X,O,O,X,X,X,X,O,X,X,X,X
ITZLJOS,X,X,X,X,X,O,X,O,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ITZLOJS,X,O,X,X,X,O,X,O,X,X,X,X
ITZLOSJ,X,O,O,X,X,X,X,O,X,X,X,X
ITZJLSO,X,X,O,X,X,X,X,X,X,X,X,X
ITZJLOS,X,X,X,X,X,O,X,X,X,X,X,X
ITZJSLO,X,X,O,O,X,X,X,X,X,X,X,X
ITZJSOL,X,X,O,O,X,X,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,O,X,X,X,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X,X,X,X,X
ITZSLJO,X,O,O,O,X,X,X,X,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,O,X,X,X,X,X,X,X,X
ITZSJOL,X,X,O,O,X,X,X,X,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
ITZSOJL,X,X,O,O,X,X,X,X,X,O,X,X
