sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
TZJSOLI,O,O,X,O,O,O,X,X
TZJOILS,O,O,X,O,X,X,X,X
TZJOISL,O,O,X,O,O,X,X,X
TZJOLIS,O,O,X,O,X,X,X,X
TZJOLSI,O,O,X,O,X,X,X,X
TZJOSIL,O,O,X,O,O,X,X,X
TZJOSLI,O,O,X,O,O,X,X,X
TZSILJO,O,O,O,O,X,X,X,O
TZSILOJ,X,O,O,O,O,X,X,O
TZSIJLO,O,O,O,O,X,X,X,O
TZSIJOL,O,O,O,O,O,O,X,X
TZSIOLJ,X,O,O,O,O,X,X,X
TZSIOJL,O,O,O,O,O,O,X,X
TZSLIJO,O,O,O,O,X,X,X,O
TZSLIOJ,X,O,O,O,O,X,X,O
TZSLJIO,O,O,O,O,X,X,X,O
TZSLJOI,O,O,O,O,X,X,X,O
TZSLOIJ,X,O,O,O,O,X,X,O
TZSLOJI,X,O,O,O,O,X,X,O
TZSJILO,O,O,O,O,X,X,X,O
TZSJIOL,O,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,X,X,X,O
TZSJLOI,O,O,O,O,X,X,X,O
TZSJOIL,O,O,O,O,O,O,X,X
TZSJOLI,O,O,X,O,O,O,X,X
TZSOILJ,X,O,O,O,O,X,X,X
TZSOIJL,O,O,O,O,O,O,X,X
TZSOLIJ,X,O,O,O,O,X,X,X
TZSOLJI,X,O,O,O,O,X,X,X
TZSOJIL,O,O,O,O,O,O,X,X
TZSOJLI,O,O,X,O,O,O,X,X
TZOILJS,O,O,X,O,X,X,O,X
TZOILSJ,X,O,X,O,O,X,O,X
TZOIJLS,O,O,X,O,X,X,X,X
TZOIJSL,O,O,X,O,O,X,X,X
TZOISLJ,X,O,X,O,O,X,X,X
TZOISJL,O,O,X,O,O,X,X,X
TZOLIJS,O,O,X,O,X,X,O,X
TZOLISJ,X,O,X,O,O,X,O,X
TZOLJIS,O,O,X,O,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X
TZOLSIJ,X,O,X,O,O,X,X,X
TZOLSJI,X,O,X,O,O,X,X,X
TZOJILS,O,O,X,O,X,X,X,X
TZOJISL,O,O,X,O,O,X,X,X
TZOJLIS,O,O,X,O,X,X,X,X
TZOJLSI,O,O,X,O,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X
TZOJSLI,O,O,X,O,O,X,X,X
TZOSILJ,X,O,X,O,O,X,X,X
TZOSIJL,O,O,X,O,O,X,X,X
TZOSLIJ,X,O,X,O,O,X,X,X
TZOSLJI,X,O,X,O,O,X,X,X
TZOSJIL,O,O,X,O,O,X,X,X
TZOSJLI,O,O,X,O,O,X,X,X
TOILJSZ,O,O,X,X,X,X,O,X
TOILJZS,O,O,X,X,X,X,O,X
TOILSJZ,X,O,X,X,X,X,O,X
TOILSZJ,X,O,X,O,X,X,O,X
TOILZJS,O,O,X,O,X,X,O,X
TOILZSJ,X,O,X,O,X,X,O,X
TOIJLSZ,O,O,X,O,X,X,O,X
TOIJLZS,O,O,X,O,X,X,O,X
TOIJSLZ,O,X,X,O,X,O,X,X
TOIJSZL,O,X,X,O,X,O,X,X
TOIJZLS,O,O,X,O,X,X,X,X
TOIJZSL,O,O,X,O,X,X,X,X
TOISLJZ,X,X,X,X,X,O,O,X
TOISLZJ,X,X,X,O,X,X,O,X
TOISJLZ,O,X,X,X,X,O,X,X
TOISJZL,O,X,X,O,O,O,X,X
TOISZLJ,X,X,X,O,O,X,X,X
TOISZJL,O,X,X,O,O,O,X,X
TOIZLJS,O,O,X,O,X,X,O,X
TOIZLSJ,X,O,X,O,O,X,O,X
TOIZJLS,O,O,X,O,X,X,X,X
TOIZJSL,O,O,X,O,O,X,X,X
TOIZSLJ,X,O,X,O,O,X,X,X
TOIZSJL,O,O,X,O,O,X,X,X
TOLIJSZ,O,O,X,X,X,X,O,X
TOLIJZS,O,O,X,X,X,X,O,X
TOLISJZ,X,O,X,X,X,X,O,X
TOLISZJ,X,O,X,O,X,X,O,X
TOLIZJS,O,O,X,O,X,X,O,X
TOLIZSJ,X,O,X,O,X,X,O,X
TOLJISZ,O,O,X,O,X,X,O,X
TOLJIZS,O,O,X,O,X,X,O,X
TOLJSIZ,O,O,X,O,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X,X
TOLJZSI,O,O,X,O,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,O,X
TOLSIZJ,X,O,X,O,X,X,O,X
TOLSJIZ,X,O,X,X,X,X,X,X
TOLSJZI,X,O,X,X,X,X,X,X
TOLSZIJ,X,O,X,O,X,X,X,X
TOLSZJI,X,O,X,O,X,X,X,X
TOLZIJS,O,O,X,O,X,X,O,X
TOLZISJ,X,O,X,O,X,X,O,X
TOLZJIS,O,O,X,O,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X
TOLZSIJ,X,O,X,O,X,X,X,X
TOLZSJI,X,O,X,O,X,X,X,X
TOJILSZ,O,O,X,O,X,X,O,X
TOJILZS,O,O,X,O,X,X,O,X
TOJISLZ,O,X,X,O,X,O,X,X
TOJISZL,O,X,X,O,X,O,X,X
TOJIZLS,O,O,X,O,X,X,X,X
TOJIZSL,O,O,X,O,X,X,X,X
TOJLISZ,O,O,X,O,X,X,O,X
TOJLIZS,O,O,X,O,X,X,O,X
TOJLSIZ,O,O,X,O,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X
TOJLZIS,O,O,X,O,X,X,X,X
TOJLZSI,O,O,X,O,X,X,X,X
TOJSILZ,O,X,X,O,X,O,X,X
TOJSIZL,O,X,X,O,X,O,X,X
TOJSLIZ,O,O,X,O,X,O,X,X
TOJSLZI,O,O,X,O,X,O,X,X
TOJSZIL,O,O,X,O,X,O,X,X
TOJSZLI,O,O,X,O,X,O,X,X
TOJZILS,O,O,X,O,X,X,X,X
TOJZISL,O,O,X,O,X,X,X,X
TOJZLIS,O,O,X,O,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,X,O,X,X,X,X
TOJZSLI,O,O,X,O,X,X,X,X
TOSILJZ,X,X,X,X,X,O,O,X
TOSILZJ,X,X,X,O,X,X,O,X
TOSIJLZ,O,X,X,X,X,O,X,X
TOSIJZL,O,X,X,O,O,O,X,X
TOSIZLJ,X,X,X,O,O,X,X,X
TOSIZJL,O,X,X,O,O,O,X,X
TOSLIJZ,X,O,X,X,X,O,O,X
TOSLIZJ,X,O,X,O,X,X,O,X
TOSLJIZ,X,O,X,X,X,O,X,X
TOSLJZI,X,O,X,X,X,O,X,X
TOSLZIJ,X,O,X,O,X,X,X,X
TOSLZJI,X,O,X,O,X,X,X,X
TOSJILZ,O,X,X,O,X,O,X,X
TOSJIZL,O,X,X,O,O,O,X,X
TOSJLIZ,O,O,X,O,X,O,X,X
TOSJLZI,O,O,X,O,X,O,X,X
TOSJZIL,O,O,X,O,O,O,X,X
TOSJZLI,O,O,X,O,O,O,X,X
TOSZILJ,X,O,X,O,O,X,X,X
TOSZIJL,O,O,X,O,O,O,X,X
TOSZLIJ,X,O,X,O,O,X,X,X
TOSZLJI,X,O,X,O,O,X,X,X
TOSZJIL,O,O,X,O,O,O,X,X
TOSZJLI,O,O,X,O,O,O,X,X
TOZILJS,O,O,X,O,X,X,O,X
TOZILSJ,X,O,X,O,O,X,O,X
TOZIJLS,O,O,X,O,X,X,X,X
TOZIJSL,O,O,X,O,O,X,X,X
TOZISLJ,X,O,X,O,O,X,X,X
TOZISJL,O,O,X,O,O,X,X,X
TOZLIJS,O,O,X,O,X,X,O,X
TOZLISJ,X,O,X,O,O,X,O,X
TOZLJIS,O,O,X,O,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X
TOZLSIJ,X,O,X,O,O,X,X,X
TOZLSJI,X,O,X,O,O,X,X,X
TOZJILS,O,O,X,O,X,X,X,X
TOZJISL,O,O,X,O,O,X,X,X
TOZJLIS,O,O,X,O,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X
TOZJSLI,O,O,X,O,O,X,X,X
TOZSILJ,X,O,X,O,O,X,X,X
TOZSIJL,O,O,X,O,O,X,X,X
TOZSLIJ,X,O,X,O,O,X,X,X
TOZSLJI,X,O,X,O,O,X,X,X
TOZSJIL,O,O,X,O,O,X,X,X
TOZSJLI,O,O,X,O,O,X,X,X
ITLJSZO,O,O,O,O,X,X,X,X
ITLJSOZ,O,O,X,X,X,O,X,X
ITLJZSO,O,O,O,O,X,X,X,O
ITLJZOS,O,O,O,O,X,X,X,O
ITLJOSZ,O,O,O,O,X,X,O,X
ITLJOZS,O,O,O,O,X,X,O,O
ITLSJZO,X,O,O,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,O,X,X
ITLSZJO,X,O,O,X,X,X,X,X
ITLSZOJ,X,O,O,X,X,X,X,X
ITLSOJZ,X,O,O,X,X,O,O,X
ITLSOZJ,X,O,O,X,X,X,O,X
ITLZJSO,O,O,O,O,X,X,X,O
ITLZJOS,O,O,O,O,X,X,X,O
ITLZSJO,X,O,O,O,X,X,X,O
ITLZSOJ,X,O,O,O,X,X,X,O
ITLZOJS,O,O,O,O,X,X,O,O
ITLZOSJ,X,O,O,O,X,X,O,O
ITLOJSZ,O,O,O,X,X,X,O,X
ITLOJZS,O,O,O,X,X,X,O,O
ITLOSJZ,X,O,O,X,X,X,O,X
ITLOSZJ,X,O,O,O,X,X,O,X
ITLOZJS,O,O,O,O,X,X,O,O
ITLOZSJ,X,O,O,O,X,X,O,O
ITJLSZO,O,O,O,O,X,X,X,X
ITJLSOZ,O,O,X,X,X,O,X,X
ITJLZSO,O,O,O,O,X,X,X,O
ITJLZOS,O,O,O,O,X,X,X,O
ITJLOSZ,O,O,X,O,X,X,O,X
ITJLOZS,O,O,O,O,X,X,O,O
ITJSLZO,O,O,X,O,X,X,X,X
ITJSLOZ,O,O,X,X,X,O,X,X
ITJSZLO,O,O,X,O,X,X,X,X
ITJSZOL,O,O,X,O,X,O,X,X
ITJSOLZ,O,X,X,O,X,O,X,X
ITJSOZL,O,X,X,O,X,O,X,X
ITJZLSO,O,O,O,O,X,X,X,O
ITJZLOS,O,O,O,O,X,X,X,O
ITJZSLO,O,O,O,O,X,X,X,O
ITJZSOL,O,O,O,O,X,O,X,X
ITJZOLS,O,O,X,O,X,X,X,X
ITJZOSL,O,O,X,O,X,X,X,X
ITJOLSZ,O,O,X,O,X,X,O,X
ITJOLZS,O,O,X,O,X,X,O,X
ITJOSLZ,O,X,X,O,X,O,X,X
ITJOSZL,O,X,X,O,X,O,X,X
ITJOZLS,O,O,X,O,X,X,X,X
ITJOZSL,O,O,X,O,X,X,X,X
ITSLJZO,X,O,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,O,X,X
ITSLZJO,X,O,X,X,X,X,X,X
ITSLZOJ,X,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,O,O,X
ITSLOZJ,X,O,X,X,X,X,O,X
ITSJLZO,O,O,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,X,O,X,X
ITSJZLO,O,O,X,O,X,X,X,X
ITSJZOL,O,O,X,O,X,O,X,X
ITSJOLZ,O,X,X,O,X,O,X,X
ITSJOZL,O,X,X,O,X,O,X,X
ITSZLJO,X,O,X,O,X,X,X,X
ITSZLOJ,X,O,X,O,O,X,X,X
ITSZJLO,O,O,X,O,X,X,X,X
ITSZJOL,O,O,X,O,O,O,X,X
ITSZOLJ,X,O,X,O,O,X,X,X
ITSZOJL,O,O,X,O,O,O,X,X
ITSOLJZ,X,X,X,X,X,O,O,X
ITSOLZJ,X,X,X,O,X,X,O,X
ITSOJLZ,O,X,X,X,X,O,X,X
ITSOJZL,O,X,X,O,O,O,X,X
ITSOZLJ,X,X,X,O,O,X,X,X
ITSOZJL,O,X,X,O,O,O,X,X
ITZLJSO,O,O,O,O,X,X,X,O
ITZLJOS,O,O,O,O,X,X,X,O
ITZLSJO,X,O,O,O,X,X,X,O
ITZLSOJ,X,O,O,O,O,X,X,O
ITZLOJS,O,O,O,O,X,X,O,O
ITZLOSJ,X,O,O,O,O,X,O,O
ITZJLSO,O,O,O,O,X,X,X,O
ITZJLOS,O,O,O,O,X,X,X,O
ITZJSLO,O,O,O,O,X,X,X,O
ITZJSOL,O,O,O,O,O,O,X,X
ITZJOLS,O,O,X,O,X,X,X,X
ITZJOSL,O,O,X,O,O,X,X,X
ITZSLJO,O,O,O,O,X,X,X,O
ITZSLOJ,X,O,O,O,O,X,X,O
ITZSJLO,O,O,O,O,X,X,X,O
ITZSJOL,O,O,O,O,O,O,X,X
ITZSOLJ,X,O,O,O,O,X,X,X
ITZSOJL,O,O,O,O,O,O,X,X
ITZOLJS,O,O,X,O,X,X,O,X
ITZOLSJ,X,O,X,O,O,X,O,X
ITZOJLS,O,O,X,O,X,X,X,X
ITZOJSL,O,O,X,O,O,X,X,X
ITZOSLJ,X,O,X,O,O,X,X,X
ITZOSJL,O,O,X,O,O,X,X,X
ITOLJSZ,O,O,X,X,X,X,O,X
ITOLJZS,O,O,X,X,X,X,O,X
ITOLSJZ,X,O,X,X,X,X,O,X
ITOLSZJ,X,O,X,O,X,X,O,X
ITOLZJS,O,O,X,O,X,X,O,X
ITOLZSJ,X,O,X,O,X,X,O,X
ITOJLSZ,O,O,X,O,X,X,O,X
ITOJLZS,O,O,X,O,X,X,O,X
ITOJSLZ,O,X,X,O,X,O,X,X
ITOJSZL,O,X,X,O,X,O,X,X
ITOJZLS,O,O,X,O,X,X,X,X
ITOJZSL,O,O,X,O,X,X,X,X
ITOSLJZ,X,X,X,X,X,O,O,X
ITOSLZJ,X,X,X,O,X,X,O,X
ITOSJLZ,O,X,X,X,X,O,X,X
ITOSJZL,O,X,X,O,O,O,X,X
ITOSZLJ,X,X,X,O,O,X,X,X
ITOSZJL,O,X,X,O,O,O,X,X
ITOZLJS,O,O,X,O,X,X,O,X
ITOZLSJ,X,O,X,O,O,X,O,X
ITOZJLS,O,O,X,O,X,X,X,X
ITOZJSL,O,O,X,O,O,X,X,X
ITOZSLJ,X,O,X,O,O,X,X,X
ITOZSJL,O,O,X,O,O,X,X,X
ILTJSZO,O,O,O,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,X,X,X
ILTJZSO,O,O,O,X,X,X,X,O
ILTJZOS,O,O,O,X,X,X,X,O
ILTJOSZ,O,O,O,X,X,X,O,X
ILTJOZS,O,O,O,X,X,X,O,O
ILTSJZO,X,O,O,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X
ILTSZJO,X,O,O,X,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X,X
ILTSOJZ,X,O,O,X,X,X,O,X
ILTSOZJ,X,O,O,X,X,X,O,X
ILTZJSO,O,O,O,X,X,X,X,O
ILTZJOS,O,O,O,X,X,X,X,O
ILTZSJO,X,O,O,X,X,X,X,O
ILTZSOJ,X,O,O,X,X,X,X,O
ILTZOJS,O,O,O,X,X,X,O,O
ILTZOSJ,X,O,O,X,X,X,O,O
ILTOJSZ,O,O,O,X,X,X,O,X
ILTOJZS,O,O,O,X,X,X,O,O
ILTOSJZ,X,O,O,X,X,X,O,X
ILTOSZJ,X,O,O,X,X,X,O,X
ILTOZJS,O,O,O,X,X,X,O,O
ILTOZSJ,X,O,O,X,X,X,O,O
ILJTSZO,O,O,O,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,X,X,X
ILJTZSO,O,O,O,X,X,X,X,O
ILJTZOS,O,O,O,X,X,X,X,O
ILJTOSZ,O,O,O,X,X,X,O,X
ILJTOZS,O,O,O,X,X,X,O,O
ILJSTZO,O,X,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X
ILJSZTO,O,X,O,X,X,X,X,O
ILJSZOT,O,X,O,X,X,X,X,O
ILJSOTZ,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,O
ILJZTSO,O,O,O,X,X,X,X,O
ILJZTOS,O,O,O,X,X,X,X,O
ILJZSTO,O,O,O,X,X,X,X,O
ILJZSOT,O,X,O,X,X,X,X,O
ILJZOTS,O,X,O,X,X,X,X,O
ILJZOST,O,X,O,X,X,X,X,O
ILJOTSZ,O,X,O,X,X,X,O,X
ILJOTZS,O,X,O,X,X,X,O,O
ILJOSTZ,X,X,O,X,X,X,X,X
ILJOSZT,X,X,O,X,X,X,X,O
ILJOZTS,O,X,O,X,X,X,X,O
ILJOZST,O,X,O,X,X,X,X,O
ILSTJZO,X,O,O,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X
ILSTZJO,X,O,O,X,X,X,X,X
ILSTZOJ,X,O,O,X,X,X,X,X
ILSTOJZ,X,O,O,X,X,X,O,X
ILSTOZJ,X,O,O,X,X,X,O,X
ILSJTZO,X,X,O,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,X,X
ILSJZTO,X,X,O,X,X,X,X,O
ILSJZOT,X,X,O,X,X,X,X,O
ILSJOTZ,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,X,X,O
ILSZTJO,X,O,O,X,X,X,X,O
ILSZTOJ,X,O,O,X,O,X,X,O
ILSZJTO,X,O,O,X,X,X,X,O
ILSZJOT,X,X,O,X,X,X,X,O
ILSZOTJ,X,O,O,X,O,X,X,O
ILSZOJT,X,X,O,X,O,X,X,O
ILSOTJZ,X,X,O,X,X,X,O,X
ILSOTZJ,X,X,O,X,X,X,O,X
ILSOJTZ,X,X,O,X,X,X,X,X
ILSOJZT,X,X,O,X,O,X,X,O
ILSOZTJ,X,X,O,X,O,X,X,O
ILSOZJT,X,X,O,X,O,X,X,O
ILZTJSO,O,O,O,X,X,X,X,O
ILZTJOS,O,O,O,X,X,X,X,O
ILZTSJO,X,O,O,X,X,X,X,O
ILZTSOJ,X,O,O,X,O,X,X,O
ILZTOJS,O,O,O,X,X,X,O,O
ILZTOSJ,X,O,O,X,O,X,O,O
ILZJTSO,O,O,O,X,X,X,X,O
ILZJTOS,O,O,O,X,X,X,X,O
ILZJSTO,O,O,O,X,X,X,X,O
ILZJSOT,O,X,O,X,X,X,X,O
ILZJOTS,O,X,O,X,X,X,X,O
ILZJOST,O,X,O,X,X,X,X,O
ILZSTJO,O,O,O,X,X,X,X,O
ILZSTOJ,X,O,O,X,O,X,X,O
ILZSJTO,O,O,O,X,X,X,X,O
ILZSJOT,O,X,O,X,X,X,X,O
ILZSOTJ,X,O,O,X,O,X,X,O
ILZSOJT,O,X,O,X,O,X,X,O
ILZOTJS,X,O,O,X,X,X,O,O
ILZOTSJ,X,O,O,X,O,X,O,O
ILZOJTS,X,X,O,X,X,X,X,O
ILZOJST,X,X,O,X,X,X,X,O
ILZOSTJ,X,O,O,X,O,X,X,O
ILZOSJT,X,X,O,X,O,X,X,O
ILOTJSZ,X,O,O,X,X,X,O,X
ILOTJZS,X,O,O,X,X,X,O,O
ILOTSJZ,X,O,O,X,X,X,O,X
ILOTSZJ,X,O,O,X,X,X,O,X
ILOTZJS,X,O,O,X,X,X,O,O
ILOTZSJ,X,O,O,X,X,X,O,O
ILOJTSZ,X,X,O,X,X,X,O,X
ILOJTZS,X,X,O,X,X,X,O,O
ILOJSTZ,X,X,O,X,X,X,X,X
ILOJSZT,X,X,O,X,X,X,X,O
ILOJZTS,X,X,O,X,X,X,X,O
ILOJZST,X,X,O,X,X,X,X,O
ILOSTJZ,X,X,O,X,X,X,O,X
ILOSTZJ,X,X,O,X,X,X,O,X
ILOSJTZ,X,X,O,X,X,X,X,X
ILOSJZT,X,X,O,X,O,X,X,O
ILOSZTJ,X,X,O,X,O,X,X,O
ILOSZJT,X,X,O,X,O,X,X,O
ILOZTJS,X,O,O,X,X,X,O,O
ILOZTSJ,X,O,O,X,O,X,O,O
ILOZJTS,X,X,O,X,X,X,X,O
ILOZJST,X,X,O,X,X,X,X,O
ILOZSTJ,X,O,O,X,O,X,X,O
ILOZSJT,X,X,O,X,O,X,X,O
IJTLSZO,O,O,O,O,X,X,X,X
IJTLSOZ,O,O,X,X,X,O,X,X
IJTLZSO,O,O,O,O,X,X,X,O
IJTLZOS,O,O,O,O,X,X,X,O
IJTLOSZ,O,O,X,O,X,X,O,X
IJTLOZS,O,O,O,O,X,X,O,O
IJTSLZO,O,O,X,O,X,X,X,X
IJTSLOZ,O,O,X,X,X,O,X,X
IJTSZLO,O,O,X,O,X,X,X,X
IJTSZOL,O,O,X,O,X,O,X,X
IJTSOLZ,O,X,X,O,X,O,X,X
IJTSOZL,O,X,X,O,X,O,X,X
IJTZLSO,O,O,O,O,X,X,X,O
IJTZLOS,O,O,O,O,X,X,X,O
IJTZSLO,O,O,O,O,X,X,X,O
IJTZSOL,O,O,O,O,X,O,X,X
IJTZOLS,O,O,X,O,X,X,X,X
IJTZOSL,O,O,X,O,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,O,X
IJTOLZS,O,O,X,O,X,X,O,X
IJTOSLZ,O,X,X,O,X,O,X,X
IJTOSZL,O,X,X,O,X,O,X,X
IJTOZLS,O,O,X,O,X,X,X,X
IJTOZSL,O,O,X,O,X,X,X,X
IJLTSZO,O,O,O,X,X,X,X,X
IJLTSOZ,O,O,X,X,X,X,X,X
IJLTZSO,O,O,O,X,X,X,X,O
IJLTZOS,O,O,O,X,X,X,X,O
IJLTOSZ,O,O,O,X,X,X,O,X
IJLTOZS,O,O,O,X,X,X,O,O
IJLSTZO,O,X,O,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X,O
IJLSZOT,O,X,O,O,X,X,X,O
IJLSOTZ,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,X,X,O
IJLZTSO,O,O,O,O,X,X,X,O
IJLZTOS,O,O,O,X,X,X,X,O
IJLZSTO,O,O,O,O,X,X,X,O
IJLZSOT,O,X,O,O,X,X,X,O
IJLZOTS,O,X,O,O,X,X,X,O
IJLZOST,O,X,O,O,X,X,X,O
IJLOTSZ,O,X,O,X,X,X,O,X
IJLOTZS,O,X,O,X,X,X,O,O
IJLOSTZ,X,X,O,X,X,X,X,X
IJLOSZT,X,X,O,O,X,X,X,O
IJLOZTS,O,X,O,O,X,X,X,O
IJLOZST,O,X,O,O,X,X,X,O
IJSTLZO,O,X,X,O,X,X,X,X
IJSTLOZ,O,X,X,X,X,O,X,X
IJSTZLO,O,X,X,O,X,X,X,X
IJSTZOL,O,X,X,O,X,O,X,X
IJSTOLZ,O,X,X,X,X,O,X,X
IJSTOZL,O,X,X,O,X,O,X,X
IJSLTZO,O,X,O,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X,X,X
IJSLZTO,O,X,O,O,X,X,X,O
IJSLZOT,O,X,O,O,X,X,X,O
IJSLOTZ,X,X,X,X,X,X,X,X
IJSLOZT,X,X,X,X,X,X,X,O
IJSZTLO,O,X,O,O,X,X,X,O
IJSZTOL,O,X,O,O,O,X,X,X
IJSZLTO,O,X,O,O,X,X,X,O
IJSZLOT,O,X,O,O,X,X,X,O
IJSZOTL,O,X,O,O,O,X,X,X
IJSZOLT,O,X,O,O,O,X,X,O
IJSOTLZ,X,X,X,X,X,O,X,X
IJSOTZL,X,X,X,O,O,O,X,X
IJSOLTZ,X,X,X,X,X,X,X,X
IJSOLZT,X,X,X,O,O,X,X,X
IJSOZTL,X,X,X,O,O,X,X,X
IJSOZLT,X,X,X,O,O,X,X,X
IJZTLSO,O,O,O,O,X,X,X,O
IJZTLOS,O,O,O,O,X,X,X,O
IJZTSLO,O,O,O,O,X,X,X,O
IJZTSOL,O,O,O,O,O,X,X,X
IJZTOLS,O,O,X,O,X,X,X,X
IJZTOSL,O,O,X,O,O,X,X,X
IJZLTSO,O,O,O,O,X,X,X,O
IJZLTOS,O,O,O,O,X,X,X,O
IJZLSTO,O,O,O,O,X,X,X,O
IJZLSOT,O,X,O,O,X,X,X,O
IJZLOTS,O,X,O,O,X,X,X,O
IJZLOST,O,X,O,O,X,X,X,O
IJZSTLO,O,O,O,O,X,X,X,O
IJZSTOL,O,O,O,O,O,X,X,X
IJZSLTO,O,O,O,O,X,X,X,O
IJZSLOT,O,X,O,O,X,X,X,O
IJZSOTL,O,X,O,O,O,X,X,X
IJZSOLT,O,X,O,O,O,X,X,O
IJZOTLS,O,X,X,O,X,X,X,X
IJZOTSL,O,X,X,O,O,X,X,X
IJZOLTS,O,X,O,O,X,X,X,O
IJZOLST,O,X,O,O,X,X,X,O
IJZOSTL,O,X,O,O,O,X,X,X
IJZOSLT,O,X,O,O,O,X,X,O
IJOTLSZ,O,X,X,O,X,X,O,X
IJOTLZS,O,X,X,O,X,X,O,X
IJOTSLZ,O,X,X,O,X,X,X,X
IJOTSZL,O,X,X,O,X,X,X,X
IJOTZLS,O,X,X,O,X,X,X,X
IJOTZSL,O,X,X,O,X,X,X,X
IJOLTSZ,O,X,X,X,X,X,O,X
IJOLTZS,O,X,O,X,X,X,O,O
IJOLSTZ,X,X,X,X,X,X,X,X
IJOLSZT,X,X,X,O,X,X,X,O
IJOLZTS,O,X,O,O,X,X,X,O
IJOLZST,O,X,O,O,X,X,X,O
IJOSTLZ,X,X,X,O,X,X,X,X
IJOSTZL,X,X,X,O,O,X,X,X
IJOSLTZ,X,X,X,X,X,X,X,X
IJOSLZT,X,X,X,O,O,X,X,X
IJOSZTL,X,X,X,O,O,X,X,X
IJOSZLT,X,X,X,O,O,X,X,X
IJOZTLS,O,X,X,O,X,X,X,X
IJOZTSL,O,X,X,O,O,X,X,X
IJOZLTS,O,X,O,O,X,X,X,O
IJOZLST,O,X,O,O,X,X,X,O
IJOZSTL,O,X,O,O,O,X,X,X
IJOZSLT,O,X,O,O,O,X,X,O
ISTLJZO,X,O,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,O,X,X
ISTLZJO,X,O,X,X,X,X,X,X
ISTLZOJ,X,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,O,O,X
ISTLOZJ,X,O,X,X,X,X,O,X
ISTJLZO,O,O,X,X,X,X,X,X
ISTJLOZ,O,O,X,X,X,O,X,X
ISTJZLO,O,O,X,X,X,X,X,X
ISTJZOL,O,O,X,X,X,O,X,X
ISTJOLZ,O,X,X,X,X,O,X,X
ISTJOZL,O,X,X,X,X,O,X,X
ISTZLJO,X,O,X,X,X,X,X,X
ISTZLOJ,X,O,X,X,O,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,O,X,X,O,O,X,X
ISTZOLJ,X,O,X,X,O,X,X,X
ISTZOJL,O,O,X,X,O,O,X,X
ISTOLJZ,X,X,X,X,X,O,O,X
ISTOLZJ,X,X,X,X,X,X,O,X
ISTOJLZ,O,X,X,X,X,O,X,X
ISTOJZL,O,X,X,X,O,O,X,X
ISTOZLJ,X,X,X,X,O,X,X,X
ISTOZJL,O,X,X,X,O,O,X,X
