sequence,v115@PhD8GeD8BeB8AeB8Jei/IvhFzgBWnBxiBUlBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF2lBRhBCjB3mB0qBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhFXhB8mBCjBmkBzqBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhF8lBzhBCjBmkBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF0gBxiB/qBCnBOrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhFXhBxiB2qBCnBlsB0qB,v115@PhD8GeD8BeB8AeB8JeT/IvhFUiB/qBFmBRsBmqBCtB
IZTOLJS,O,O,X,X,X,O,X
IZTOLSJ,O,O,X,X,O,O,X
IZTOJLS,O,O,X,X,X,O,X
IZTOJSL,O,O,X,X,X,X,X
IZTOSLJ,O,O,X,X,O,X,O
IZTOSJL,O,O,X,X,O,X,O
IZLTJSO,O,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X
IZLJSTO,O,O,O,X,X,X,X
IZLJSOT,O,O,O,X,X,X,X
IZLJOTS,X,O,O,X,X,X,X
IZLJOST,X,O,O,X,X,X,X
IZLSTJO,O,O,O,X,X,X,X
IZLSTOJ,O,O,X,X,O,X,O
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,O,X,O,X,X
IZLSOTJ,O,O,X,X,O,X,O
IZLSOJT,O,O,O,X,O,X,X
IZLOTJS,O,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X
IZLOJTS,X,O,O,X,X,X,X
IZLOJST,X,O,O,X,X,X,X
IZLOSTJ,O,O,O,X,O,X,O
IZLOSJT,O,O,O,X,O,X,X
IZJTLSO,O,O,O,X,X,O,X
IZJTLOS,O,O,X,X,X,O,X
IZJTSLO,O,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,O,X
IZJTOSL,O,O,X,X,X,X,X
IZJLTSO,O,O,O,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X
IZJLSTO,O,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,X,X
IZJLOTS,X,O,O,X,X,X,X
IZJLOST,X,O,O,X,X,X,X
IZJSTLO,O,O,O,X,X,X,X
IZJSTOL,O,O,X,X,X,X,O
IZJSLTO,O,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X
IZJSOTL,O,O,X,X,X,X,O
IZJSOLT,O,O,O,X,X,X,X
IZJOTLS,X,O,O,X,X,O,X
IZJOTSL,X,O,O,X,X,X,X
IZJOLTS,X,O,O,X,X,X,X
IZJOLST,X,O,O,X,X,X,X
IZJOSTL,X,O,O,X,X,X,O
IZJOSLT,X,O,O,X,X,X,X
IZSTLJO,O,O,O,X,O,X,X
IZSTLOJ,O,O,X,X,O,X,O
IZSTJLO,O,O,X,X,O,X,X
IZSTJOL,O,O,X,X,O,X,O
IZSTOLJ,O,O,X,X,O,X,O
IZSTOJL,O,O,X,X,O,X,O
IZSLTJO,O,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,O,X,O
IZSLJTO,O,O,O,X,X,X,X
IZSLJOT,O,O,O,X,O,X,X
IZSLOTJ,O,O,X,X,O,X,O
IZSLOJT,O,O,O,X,O,X,X
IZSJTLO,O,O,O,X,X,X,X
IZSJTOL,O,O,X,X,X,X,O
IZSJLTO,O,O,O,X,X,X,X
IZSJLOT,O,O,O,X,O,X,X
IZSJOTL,O,O,X,X,X,X,O
IZSJOLT,O,O,O,X,O,X,X
IZSOTLJ,O,O,X,X,O,X,O
IZSOTJL,O,O,X,X,O,X,O
IZSOLTJ,O,O,X,X,O,X,O
IZSOLJT,O,O,O,X,O,X,X
IZSOJTL,O,O,X,X,X,X,O
IZSOJLT,O,O,X,X,O,X,X
IZOTLJS,O,O,X,X,X,O,X
IZOTLSJ,O,O,X,X,O,O,X
IZOTJLS,O,O,X,X,X,O,X
IZOTJSL,O,O,X,X,X,X,X
IZOTSLJ,O,O,X,X,O,X,O
IZOTSJL,O,O,X,X,O,X,O
IZOLTJS,O,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X
IZOLJTS,X,O,O,X,X,X,X
IZOLJST,X,O,O,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,O
IZOLSJT,O,O,O,X,O,X,X
IZOJTLS,X,O,O,X,X,O,X
IZOJTSL,X,O,O,X,X,X,X
IZOJLTS,X,O,O,X,X,X,X
IZOJLST,X,O,O,X,X,X,X
IZOJSTL,X,O,O,X,X,X,O
IZOJSLT,X,O,O,X,X,X,X
IZOSTLJ,O,O,O,X,O,X,O
IZOSTJL,O,O,X,X,O,X,O
IZOSLTJ,O,O,O,X,O,X,O
IZOSLJT,O,O,O,X,O,X,X
IZOSJTL,O,O,O,X,X,X,O
IZOSJLT,O,O,O,X,O,X,X
IOTLJSZ,O,X,O,X,O,O,X
IOTLJZS,O,X,O,X,X,O,X
IOTLSJZ,O,O,X,X,O,O,X
IOTLSZJ,O,O,X,X,O,O,X
IOTLZJS,O,O,O,X,X,O,X
IOTLZSJ,O,O,O,X,O,O,X
IOTJLSZ,O,X,O,X,O,O,X
IOTJLZS,O,X,O,X,X,O,X
IOTJSLZ,O,X,O,X,O,O,X
IOTJSZL,O,X,O,X,O,X,X
IOTJZLS,O,X,O,X,X,O,X
IOTJZSL,O,X,O,X,X,X,X
IOTSLJZ,O,O,X,X,O,O,X
IOTSLZJ,O,O,X,X,O,O,O
IOTSJLZ,O,O,X,X,O,O,X
IOTSJZL,O,O,X,X,O,X,O
IOTSZLJ,O,O,X,X,O,X,O
IOTSZJL,O,O,X,X,O,X,O
IOTZLJS,O,O,O,X,X,O,X
IOTZLSJ,O,O,O,X,O,O,X
IOTZJLS,O,O,O,X,X,O,X
IOTZJSL,O,O,O,X,X,X,X
IOTZSLJ,O,O,O,X,O,X,O
IOTZSJL,O,O,O,X,O,X,O
IOLTJSZ,O,X,X,X,O,O,X
IOLTJZS,O,X,X,X,X,O,X
IOLTSJZ,O,X,X,X,O,O,X
IOLTSZJ,O,X,X,X,O,O,X
IOLTZJS,O,X,X,X,X,O,X
IOLTZSJ,O,X,X,X,O,O,X
IOLJTSZ,X,X,X,X,X,O,X
IOLJTZS,X,X,O,X,X,O,X
IOLJSTZ,X,X,X,X,X,O,X
IOLJSZT,X,X,O,X,O,X,X
IOLJZTS,X,X,O,X,X,X,X
IOLJZST,X,X,O,X,X,X,X
IOLSTJZ,O,O,X,X,O,X,X
IOLSTZJ,X,X,X,X,O,X,O
IOLSJTZ,O,O,X,X,X,O,X
IOLSJZT,O,O,X,X,O,X,X
IOLSZTJ,O,O,X,X,O,X,O
IOLSZJT,O,O,X,X,O,X,X
IOLZTJS,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X
IOLZJTS,X,O,O,X,X,X,X
IOLZJST,X,O,O,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,O
IOLZSJT,O,O,O,X,O,X,X
IOJTLSZ,X,X,O,X,O,O,X
IOJTLZS,X,X,O,X,X,O,X
IOJTSLZ,X,X,O,X,O,O,X
IOJTSZL,X,X,O,X,O,X,X
IOJTZLS,X,X,O,X,X,O,X
IOJTZSL,X,X,O,X,X,X,X
IOJLTSZ,X,X,O,X,X,O,X
IOJLTZS,X,X,O,X,X,O,X
IOJLSTZ,X,X,X,X,X,O,X
IOJLSZT,X,X,O,X,O,X,X
IOJLZTS,X,X,O,X,X,X,X
IOJLZST,X,X,O,X,X,X,X
IOJSTLZ,X,X,O,X,O,O,X
IOJSTZL,X,X,O,X,O,X,O
IOJSLTZ,X,X,X,X,X,O,X
IOJSLZT,X,X,O,X,O,X,X
IOJSZTL,X,X,O,X,X,X,O
IOJSZLT,X,X,O,X,O,X,X
IOJZTLS,X,X,O,X,X,O,X
IOJZTSL,X,X,O,X,X,X,X
IOJZLTS,X,X,O,X,X,X,X
IOJZLST,X,X,O,X,X,X,X
IOJZSTL,X,X,O,X,X,X,O
IOJZSLT,X,X,O,X,X,X,X
IOSTLJZ,O,O,X,X,O,O,X
IOSTLZJ,X,X,X,X,O,O,O
IOSTJLZ,O,O,X,X,O,O,X
IOSTJZL,X,X,X,X,O,X,O
IOSTZLJ,X,X,O,X,O,X,O
IOSTZJL,X,X,X,X,O,X,O
IOSLTJZ,O,O,X,X,O,X,X
IOSLTZJ,X,X,X,X,O,X,O
IOSLJTZ,O,O,X,X,X,X,X
IOSLJZT,O,O,X,X,O,X,X
IOSLZTJ,O,O,O,X,O,X,O
IOSLZJT,O,O,O,X,O,X,X
IOSJTLZ,O,O,X,X,O,O,X
IOSJTZL,X,X,O,X,O,X,O
IOSJLTZ,O,O,X,X,X,X,X
IOSJLZT,O,O,O,X,O,X,X
IOSJZTL,O,X,O,X,X,X,O
IOSJZLT,O,O,O,X,O,X,X
IOSZTLJ,O,O,O,X,O,X,O
IOSZTJL,O,O,X,X,O,X,O
IOSZLTJ,O,O,O,X,O,X,O
IOSZLJT,O,O,O,X,O,X,X
IOSZJTL,O,O,O,X,X,X,O
IOSZJLT,O,O,O,X,O,X,X
IOZTLJS,O,O,X,X,X,O,X
IOZTLSJ,O,O,X,X,O,O,X
IOZTJLS,O,O,X,X,X,O,X
IOZTJSL,O,O,X,X,X,X,X
IOZTSLJ,O,O,X,X,O,X,O
IOZTSJL,O,O,X,X,O,X,O
IOZLTJS,O,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X
IOZLJTS,X,O,O,X,X,X,X
IOZLJST,X,O,O,X,X,X,X
IOZLSTJ,O,O,O,X,O,X,O
IOZLSJT,O,O,O,X,O,X,X
IOZJTLS,X,O,O,X,X,O,X
IOZJTSL,X,O,O,X,X,X,X
IOZJLTS,X,O,O,X,X,X,X
IOZJLST,X,O,O,X,X,X,X
IOZJSTL,X,O,O,X,X,X,O
IOZJSLT,X,O,O,X,X,X,X
IOZSTLJ,O,O,O,X,O,X,O
IOZSTJL,O,O,X,X,O,X,O
IOZSLTJ,O,O,O,X,O,X,O
IOZSLJT,O,O,O,X,O,X,X
IOZSJTL,O,O,O,X,X,X,O
IOZSJLT,O,O,O,X,O,X,X
LTIJSZO,O,X,O,O,O,O,X
LTIJSOZ,O,X,O,O,O,O,X
LTIJZSO,O,X,O,X,X,O,X
LTIJZOS,O,X,O,X,X,O,X
LTIJOSZ,O,X,O,O,O,O,X
LTIJOZS,O,X,O,X,X,O,X
LTISJZO,O,O,X,O,O,O,X
LTISJOZ,O,O,X,O,O,O,X
LTISZJO,O,O,X,O,O,O,X
LTISZOJ,O,O,X,O,O,O,X
LTISOJZ,O,O,X,O,O,O,X
LTISOZJ,O,O,X,O,O,O,X
LTIZJSO,O,O,O,X,X,O,X
LTIZJOS,O,O,O,X,X,O,X
LTIZSJO,O,O,O,X,O,O,X
LTIZSOJ,O,O,O,X,O,O,X
LTIZOJS,O,O,O,X,X,O,X
LTIZOSJ,O,O,O,X,O,O,X
LTIOJSZ,O,X,O,O,O,O,X
LTIOJZS,O,X,O,X,X,O,X
LTIOSJZ,O,O,X,O,O,O,X
LTIOSZJ,O,O,X,O,O,O,X
LTIOZJS,O,O,O,X,X,O,X
LTIOZSJ,O,O,O,X,O,O,X
LTJISZO,O,X,O,O,O,O,X
LTJISOZ,O,X,O,O,O,O,X
LTJIZSO,O,X,O,X,X,O,X
LTJIZOS,O,X,O,X,X,O,X
LTJIOSZ,O,X,O,O,O,O,X
LTJIOZS,O,X,O,X,X,O,X
LTJSIZO,O,O,O,O,O,O,X
LTJSIOZ,O,O,O,O,O,O,X
LTJSZIO,O,O,O,O,O,O,X
LTJSZOI,O,O,O,O,O,O,X
LTJSOIZ,O,O,O,O,O,O,X
LTJSOZI,O,O,O,O,O,O,X
LTJZISO,O,O,O,X,X,O,X
LTJZIOS,O,O,O,X,X,O,X
LTJZSIO,O,O,O,O,X,O,X
LTJZSOI,O,O,O,O,X,O,X
LTJZOIS,O,O,O,X,X,O,X
LTJZOSI,O,O,O,O,X,O,X
LTJOISZ,O,X,O,O,O,O,X
LTJOIZS,O,X,O,X,X,O,X
LTJOSIZ,O,O,O,O,O,O,X
LTJOSZI,O,O,O,O,O,O,X
LTJOZIS,O,O,O,X,X,O,X
LTJOZSI,O,O,O,O,X,O,X
LTSIJZO,O,O,X,O,O,O,X
LTSIJOZ,O,O,X,O,O,O,X
LTSIZJO,O,O,X,O,O,O,X
LTSIZOJ,O,O,X,O,O,O,X
LTSIOJZ,O,O,X,O,O,O,X
LTSIOZJ,O,O,X,O,O,O,X
LTSJIZO,O,O,O,O,O,O,X
LTSJIOZ,O,O,O,O,O,O,X
LTSJZIO,O,O,O,O,O,O,X
LTSJZOI,O,O,O,O,O,O,X
LTSJOIZ,O,O,O,O,O,O,X
LTSJOZI,O,O,O,O,O,O,X
LTSZIJO,O,O,O,O,O,O,X
LTSZIOJ,O,O,O,O,O,O,X
LTSZJIO,O,O,O,O,O,O,X
LTSZJOI,O,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,O,O,X
LTSZOJI,O,O,O,O,O,O,X
LTSOIJZ,O,O,X,O,O,O,X
LTSOIZJ,O,O,X,O,O,O,X
LTSOJIZ,O,O,O,O,O,O,X
LTSOJZI,O,O,O,O,O,O,X
LTSOZIJ,O,O,O,O,O,O,X
LTSOZJI,O,O,O,O,O,O,X
LTZIJSO,O,O,O,X,X,O,X
LTZIJOS,O,O,O,X,X,O,X
LTZISJO,O,O,O,X,O,O,X
LTZISOJ,O,O,O,X,O,O,X
LTZIOJS,O,O,O,X,X,O,X
LTZIOSJ,O,O,O,X,O,O,X
LTZJISO,O,O,O,X,X,O,X
LTZJIOS,O,O,O,X,X,O,X
LTZJSIO,O,O,O,O,X,O,X
LTZJSOI,O,O,O,O,X,O,X
LTZJOIS,O,O,O,X,X,O,X
LTZJOSI,O,O,O,O,X,O,X
LTZSIJO,O,O,O,O,O,O,X
LTZSIOJ,O,O,O,O,O,O,X
LTZSJIO,O,O,O,O,O,O,X
LTZSJOI,O,O,O,O,O,O,X
LTZSOIJ,O,O,O,O,O,O,X
LTZSOJI,O,O,O,O,O,O,X
LTZOIJS,O,O,O,X,X,O,X
LTZOISJ,O,O,O,X,O,O,X
LTZOJIS,O,O,O,X,X,O,X
LTZOJSI,O,O,O,O,X,O,X
LTZOSIJ,O,O,O,O,O,O,X
LTZOSJI,O,O,O,O,O,O,X
LTOIJSZ,O,X,O,O,O,O,X
LTOIJZS,O,X,O,X,X,O,X
LTOISJZ,O,O,X,O,O,O,X
LTOISZJ,O,O,X,O,O,O,X
LTOIZJS,O,O,O,X,X,O,X
LTOIZSJ,O,O,O,X,O,O,X
LTOJISZ,O,X,O,O,O,O,X
LTOJIZS,O,X,O,X,X,O,X
LTOJSIZ,O,O,O,O,O,O,X
LTOJSZI,O,O,O,O,O,O,X
LTOJZIS,O,O,O,X,X,O,X
LTOJZSI,O,O,O,O,X,O,X
LTOSIJZ,O,O,X,O,O,O,X
LTOSIZJ,O,O,X,O,O,O,X
LTOSJIZ,O,O,O,O,O,O,X
LTOSJZI,O,O,O,O,O,O,X
LTOSZIJ,O,O,O,O,O,O,X
LTOSZJI,O,O,O,O,O,O,X
LTOZIJS,O,O,O,X,X,O,X
LTOZISJ,O,O,O,X,O,O,X
LTOZJIS,O,O,O,X,X,O,X
LTOZJSI,O,O,O,O,X,O,X
LTOZSIJ,O,O,O,O,O,O,X
LTOZSJI,O,O,O,O,O,O,X
LITJSZO,O,X,X,X,O,O,X
LITJSOZ,O,X,X,X,O,O,X
LITJZSO,O,X,X,X,X,O,X
LITJZOS,O,X,X,X,X,O,X
LITJOSZ,O,X,X,X,O,O,X
LITJOZS,O,X,X,X,X,O,X
LITSJZO,O,X,X,X,O,O,X
LITSJOZ,O,X,X,X,O,O,X
LITSZJO,O,X,X,X,O,O,X
LITSZOJ,O,X,X,X,O,O,X
LITSOJZ,O,X,X,X,O,O,X
LITSOZJ,O,X,X,X,O,O,X
LITZJSO,O,X,X,X,X,O,X
LITZJOS,O,X,X,X,X,O,X
LITZSJO,O,X,X,X,O,O,X
LITZSOJ,O,X,X,X,O,O,X
LITZOJS,O,X,X,X,X,O,X
LITZOSJ,O,X,X,X,O,O,X
LITOJSZ,O,X,X,X,O,O,X
LITOJZS,O,X,X,X,X,O,X
LITOSJZ,O,X,X,X,O,O,X
LITOSZJ,O,X,X,X,O,O,X
LITOZJS,O,X,X,X,X,O,X
LITOZSJ,O,X,X,X,O,O,X
LIJTSZO,O,X,X,X,X,O,X
LIJTSOZ,O,X,X,X,X,O,X
LIJTZSO,O,X,O,X,X,O,X
LIJTZOS,O,X,X,X,X,O,X
LIJTOSZ,O,X,X,X,X,O,X
LIJTOZS,O,X,O,X,X,O,X
LIJSTZO,O,X,X,X,X,X,X
LIJSTOZ,O,X,X,X,X,X,X
LIJSZTO,O,X,O,O,X,X,X
LIJSZOT,O,X,O,O,O,X,X
LIJSOTZ,O,X,X,X,X,O,X
LIJSOZT,O,X,O,O,O,X,X
LIJZTSO,O,X,O,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X
LIJZSTO,O,X,O,X,X,X,X
LIJZSOT,O,X,O,X,X,X,X
LIJZOTS,X,X,O,X,X,X,X
LIJZOST,X,X,O,X,X,X,X
LIJOTSZ,X,X,X,X,X,O,X
LIJOTZS,X,X,O,X,X,O,X
LIJOSTZ,X,X,X,X,X,O,X
LIJOSZT,X,X,O,X,O,X,X
LIJOZTS,X,X,O,X,X,X,X
LIJOZST,X,X,O,X,X,X,X
LISTJZO,O,X,X,X,O,X,X
LISTJOZ,O,O,X,X,O,X,X
LISTZJO,O,X,X,X,O,X,X
LISTZOJ,O,X,X,X,O,X,O
LISTOJZ,O,O,X,X,O,X,X
LISTOZJ,O,X,X,X,O,X,O
LISJTZO,O,X,X,X,X,X,X
LISJTOZ,O,O,X,X,X,X,X
LISJZTO,O,X,X,O,X,X,X
LISJZOT,O,O,X,O,O,X,X
LISJOTZ,O,O,X,X,X,O,X
LISJOZT,O,O,X,O,O,X,X
LISZTJO,O,O,X,X,X,X,X
LISZTOJ,O,O,X,O,O,X,O
LISZJTO,O,O,X,O,X,X,X
LISZJOT,O,O,X,O,O,X,X
LISZOTJ,O,O,X,O,O,X,O
LISZOJT,O,O,X,O,O,X,X
LISOTJZ,O,O,X,X,O,X,X
LISOTZJ,O,X,X,X,O,X,O
LISOJTZ,O,O,X,X,X,O,X
LISOJZT,O,O,X,O,O,X,X
LISOZTJ,O,O,X,O,O,X,O
LISOZJT,O,O,X,O,O,X,X
LIZTJSO,O,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X
LIZTSJO,O,X,X,X,X,X,X
LIZTSOJ,O,X,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,X
LIZJTOS,O,O,X,X,X,X,X
LIZJSTO,O,O,O,X,X,X,X
LIZJSOT,O,O,O,X,X,X,X
LIZJOTS,X,O,O,X,X,X,X
LIZJOST,X,O,O,X,X,X,X
LIZSTJO,O,O,O,X,X,X,X
LIZSTOJ,O,O,X,X,O,X,O
LIZSJTO,O,O,O,X,X,X,X
LIZSJOT,O,O,O,X,O,X,X
LIZSOTJ,O,O,X,X,O,X,O
LIZSOJT,O,O,O,X,O,X,X
LIZOTJS,O,X,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,X
LIZOJTS,X,O,O,X,X,X,X
LIZOJST,X,O,O,X,X,X,X
LIZOSTJ,O,O,O,X,O,X,O
LIZOSJT,O,O,O,X,O,X,X
LIOTJSZ,O,X,X,X,O,O,X
LIOTJZS,O,X,X,X,X,O,X
LIOTSJZ,O,X,X,X,O,O,X
LIOTSZJ,O,X,X,X,O,O,X
LIOTZJS,O,X,X,X,X,O,X
LIOTZSJ,O,X,X,X,O,O,X
LIOJTSZ,X,X,X,X,X,O,X
LIOJTZS,X,X,O,X,X,O,X
LIOJSTZ,X,X,X,X,X,O,X
LIOJSZT,X,X,O,X,O,X,X
LIOJZTS,X,X,O,X,X,X,X
LIOJZST,X,X,O,X,X,X,X
LIOSTJZ,O,O,X,X,O,X,X
LIOSTZJ,X,X,X,X,O,X,O
LIOSJTZ,O,O,X,X,X,O,X
LIOSJZT,O,O,X,X,O,X,X
LIOSZTJ,O,O,X,X,O,X,O
LIOSZJT,O,O,X,X,O,X,X
LIOZTJS,O,X,X,X,X,X,X
LIOZTSJ,O,X,X,X,X,X,X
LIOZJTS,X,O,O,X,X,X,X
LIOZJST,X,O,O,X,X,X,X
LIOZSTJ,O,O,O,X,O,X,O
LIOZSJT,O,O,O,X,O,X,X
LJTISZO,O,X,O,O,X,O,X
LJTISOZ,O,X,O,O,X,O,X
LJTIZSO,O,X,O,X,X,O,X
LJTIZOS,O,X,O,X,X,O,X
LJTIOSZ,O,X,O,O,X,O,X
LJTIOZS,O,X,O,X,X,O,X
LJTSIZO,O,X,O,O,X,O,X
LJTSIOZ,O,X,O,O,X,O,X
LJTSZIO,O,X,O,O,X,O,X
LJTSZOI,O,X,O,O,X,O,X
LJTSOIZ,O,X,O,O,X,O,X
LJTSOZI,O,X,O,O,X,O,X
LJTZISO,O,X,O,X,X,O,X
LJTZIOS,O,X,O,X,X,O,X
LJTZSIO,O,X,O,O,X,O,X
LJTZSOI,O,X,O,O,X,O,X
LJTZOIS,O,X,O,X,X,O,X
LJTZOSI,O,X,O,O,X,O,X
LJTOISZ,O,X,O,O,X,O,X
LJTOIZS,O,X,O,X,X,O,X
LJTOSIZ,O,X,O,O,X,O,X
LJTOSZI,O,X,O,O,X,O,X
LJTOZIS,O,X,O,X,X,O,X
LJTOZSI,O,X,O,O,X,O,X
LJITSZO,O,X,O,X,X,O,X
LJITSOZ,O,X,O,X,X,O,X
LJITZSO,O,X,O,X,X,O,X
LJITZOS,O,X,O,X,X,O,X
LJITOSZ,O,X,O,X,X,O,X
LJITOZS,O,X,O,X,X,O,X
LJISTZO,O,X,X,X,X,X,X
LJISTOZ,O,X,X,X,X,X,X
LJISZTO,O,X,O,O,X,X,X
LJISZOT,O,X,O,O,O,X,X
LJISOTZ,O,X,X,X,X,O,X
LJISOZT,O,X,O,O,O,X,X
LJIZTSO,O,X,O,X,X,X,X
LJIZTOS,O,X,X,X,X,X,X
LJIZSTO,O,X,O,X,X,X,X
LJIZSOT,O,X,O,X,X,X,X
LJIZOTS,X,X,O,X,X,X,X
LJIZOST,X,X,O,X,X,X,X
LJIOTSZ,X,X,O,X,X,O,X
LJIOTZS,X,X,O,X,X,O,X
LJIOSTZ,X,X,X,X,X,O,X
LJIOSZT,X,X,O,X,O,X,X
LJIOZTS,X,X,O,X,X,X,X
LJIOZST,X,X,O,X,X,X,X
LJSTIZO,O,X,X,O,X,X,X
LJSTIOZ,O,O,X,O,X,X,X
LJSTZIO,O,X,X,O,X,X,X
LJSTZOI,O,X,X,O,X,X,X
LJSTOIZ,O,O,X,O,X,O,X
LJSTOZI,O,O,X,O,X,O,X
LJSITZO,O,X,X,X,X,X,X
LJSITOZ,O,O,X,X,X,X,X
LJSIZTO,O,X,O,O,X,X,X
LJSIZOT,O,O,O,O,O,X,X
LJSIOTZ,O,O,X,X,X,O,X
LJSIOZT,O,O,O,O,O,X,X
LJSZTIO,O,O,O,O,X,X,X
LJSZTOI,O,O,X,O,X,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,O,O,X,X
LJSZOTI,O,O,O,O,O,O,X
LJSZOIT,O,O,O,O,O,X,X
LJSOTIZ,O,O,X,X,X,O,X
LJSOTZI,O,O,X,O,X,O,X
LJSOITZ,O,O,X,X,X,O,X
LJSOIZT,O,O,O,O,O,X,X
LJSOZTI,O,O,O,O,O,O,X
LJSOZIT,O,O,O,O,O,X,X
LJZTISO,O,O,O,X,X,X,X
LJZTIOS,O,O,X,X,X,X,X
LJZTSIO,O,O,O,X,X,X,X
LJZTSOI,O,O,X,X,X,X,X
LJZTOIS,O,O,O,X,X,X,X
LJZTOSI,O,O,O,X,X,X,X
LJZITSO,O,O,O,X,X,X,X
LJZITOS,O,O,X,X,X,X,X
LJZISTO,O,O,O,X,X,X,X
LJZISOT,O,O,O,X,X,X,X
LJZIOTS,X,O,O,X,X,X,X
LJZIOST,X,O,O,X,X,X,X
LJZSTIO,O,O,O,O,X,X,X
LJZSTOI,O,O,X,O,X,X,X
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,O,O,O,X,X,X
LJZSOTI,O,O,O,O,X,O,X
LJZSOIT,O,O,O,O,X,X,X
LJZOTIS,O,O,O,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X
LJZOITS,X,O,O,X,X,X,X
LJZOIST,X,O,O,X,X,X,X
LJZOSTI,X,O,O,X,X,O,X
LJZOSIT,X,O,O,X,X,X,X
LJOTISZ,X,X,O,X,X,O,X
LJOTIZS,X,X,O,X,X,O,X
LJOTSIZ,X,X,O,X,X,O,X
LJOTSZI,X,X,O,X,X,O,X
LJOTZIS,X,X,O,X,X,O,X
LJOTZSI,X,X,O,X,X,O,X
LJOITSZ,X,X,O,X,X,O,X
LJOITZS,X,X,O,X,X,O,X
LJOISTZ,X,X,X,X,X,O,X
LJOISZT,X,X,O,X,O,X,X
LJOIZTS,X,X,O,X,X,X,X
LJOIZST,X,X,O,X,X,X,X
LJOSTIZ,X,O,X,X,X,O,X
LJOSTZI,X,O,X,O,X,O,X
LJOSITZ,X,O,X,X,X,O,X
LJOSIZT,X,O,O,O,O,X,X
LJOSZTI,X,O,O,O,O,O,X
LJOSZIT,X,O,O,O,O,X,X
LJOZTIS,X,O,O,X,X,X,X
LJOZTSI,X,O,O,X,X,X,X
LJOZITS,X,O,O,X,X,X,X
LJOZIST,X,O,O,X,X,X,X
LJOZSTI,X,O,O,X,X,O,X
LJOZSIT,X,O,O,X,X,X,X
LSTIJZO,O,X,X,O,O,X,X
LSTIJOZ,O,O,X,O,O,X,X
LSTIZJO,O,X,X,O,O,X,X
LSTIZOJ,O,X,X,O,O,X,O
LSTIOJZ,O,O,X,O,O,X,X
LSTIOZJ,O,X,X,O,O,X,O
LSTJIZO,O,X,X,O,O,X,X
LSTJIOZ,O,O,X,O,O,X,X
LSTJZIO,O,X,X,O,O,X,X
LSTJZOI,O,X,X,O,O,X,X
LSTJOIZ,O,O,X,O,O,O,X
LSTJOZI,O,O,X,O,O,O,X
LSTZIJO,O,O,X,O,O,X,X
LSTZIOJ,O,O,X,O,O,X,X
LSTZJIO,O,O,X,O,O,X,X
LSTZJOI,O,O,X,O,O,X,X
LSTZOIJ,O,O,X,O,O,X,O
LSTZOJI,O,O,X,O,O,X,X
LSTOIJZ,O,O,X,O,O,X,X
LSTOIZJ,O,X,X,O,O,X,O
LSTOJIZ,O,O,X,O,O,O,X
LSTOJZI,O,O,X,O,O,O,X
LSTOZIJ,O,O,X,O,O,X,O
LSTOZJI,O,O,X,O,O,X,X
LSITJZO,O,X,X,X,O,X,X
LSITJOZ,O,O,X,X,O,X,X
LSITZJO,O,X,X,X,O,X,X
LSITZOJ,O,X,X,X,O,X,O
LSITOJZ,O,O,X,X,O,X,X
LSITOZJ,O,X,X,X,O,X,O
LSIJTZO,O,X,X,X,X,X,X
LSIJTOZ,O,O,X,X,X,X,X
LSIJZTO,O,X,X,O,X,X,X
LSIJZOT,O,O,X,O,O,X,X
LSIJOTZ,O,O,X,X,X,O,X
LSIJOZT,O,O,X,O,O,X,X
