sequence,v115@HhB8HeB8EeD8EeD8Jem/IvhFRiBSoBFmB8rBXqBzqB,v115@HhB8HeB8EeD8EeD8Jex/IvhFlhBcnBTjBmlBXqBSwB,v115@HhB8HeB8EeD8EeD8Jex/IvhFylBumBcnBTjBXqBVwB,v115@HhB8HeB8EeD8EeD8Jex/IvhF8lBCiBTjBeqBXnBVwB,v115@HhB8HeB8EeD8EeD8JeKFJvhFWmBxhBTjBXnBVwB0pB,v115@HhB8HeB8EeD8EeD8Jem/IvhFUhBTjB1qBXnBCsBRvB,v115@HhB8HeB8EeD8EeD8Jem/IvhFSnBTjB3lBFmB8rBRvB
TOILZSJ,X,O,O,X,X,O,X
TOIJLSZ,X,X,X,X,O,O,O
TOIJLZS,X,X,O,X,X,O,X
TOIJSLZ,X,X,X,O,O,O,O
TOIJSZL,X,X,X,O,O,O,X
TOIJZLS,X,X,O,O,X,O,X
TOIJZSL,X,X,O,O,X,O,X
TOISLJZ,X,X,X,O,O,O,O
TOISLZJ,X,X,O,X,O,O,X
TOISJLZ,X,X,X,O,O,O,O
TOISJZL,X,O,X,O,O,O,X
TOISZLJ,X,O,O,X,O,O,X
TOISZJL,X,O,O,X,O,O,X
TOIZLJS,X,O,O,X,X,O,X
TOIZLSJ,X,O,O,X,X,O,X
TOIZJLS,X,O,O,X,X,O,X
TOIZJSL,X,O,O,X,X,O,X
TOIZSLJ,X,O,O,X,X,O,X
TOIZSJL,X,O,O,X,X,O,X
TOLIJSZ,X,X,X,X,O,X,O
TOLIJZS,X,O,O,X,X,X,X
TOLISJZ,X,X,X,X,O,X,O
TOLISZJ,X,X,O,X,O,X,X
TOLIZJS,X,O,O,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X
TOLJISZ,X,X,X,X,O,X,O
TOLJIZS,X,O,O,X,X,X,X
TOLJSIZ,X,X,X,O,O,X,X
TOLJSZI,X,X,X,O,O,X,X
TOLJZIS,X,O,O,O,X,X,X
TOLJZSI,X,O,O,O,O,X,X
TOLSIJZ,X,X,X,O,O,X,X
TOLSIZJ,X,X,O,X,O,X,X
TOLSJIZ,X,X,X,O,O,X,X
TOLSJZI,X,X,X,O,O,X,X
TOLSZIJ,X,X,O,X,O,X,X
TOLSZJI,X,X,O,O,O,X,X
TOLZIJS,X,O,O,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X
TOLZJSI,X,O,O,X,O,X,X
TOLZSIJ,X,O,O,X,O,X,X
TOLZSJI,X,O,O,X,O,X,X
TOJILSZ,X,X,X,X,O,O,O
TOJILZS,X,X,O,X,X,O,X
TOJISLZ,X,X,X,O,O,O,O
TOJISZL,X,X,X,O,O,O,X
TOJIZLS,X,X,O,O,X,O,X
TOJIZSL,X,X,O,O,X,O,X
TOJLISZ,X,X,X,X,O,X,O
TOJLIZS,X,X,O,X,X,X,X
TOJLSIZ,X,X,X,O,O,X,X
TOJLSZI,X,X,X,O,O,X,X
TOJLZIS,X,X,O,O,X,X,X
TOJLZSI,X,X,O,O,O,X,X
TOJSILZ,X,X,X,O,O,X,X
TOJSIZL,X,X,X,O,O,X,X
TOJSLIZ,X,X,X,O,O,X,X
TOJSLZI,X,X,X,O,O,X,X
TOJSZIL,X,X,X,O,O,X,X
TOJSZLI,X,X,X,O,O,X,X
TOJZILS,X,X,O,O,X,X,X
TOJZISL,X,X,O,O,X,X,X
TOJZLIS,X,X,O,O,X,X,X
TOJZLSI,X,X,O,O,O,X,X
TOJZSIL,X,X,O,O,O,X,X
TOJZSLI,X,X,O,O,O,X,X
TOSILJZ,X,X,X,O,O,O,X
TOSILZJ,X,X,O,X,O,O,X
TOSIJLZ,X,X,X,O,O,O,X
TOSIJZL,X,O,X,O,O,O,X
TOSIZLJ,X,O,O,X,O,O,X
TOSIZJL,X,O,O,X,O,O,X
TOSLIJZ,X,X,X,O,O,X,X
TOSLIZJ,X,X,O,X,O,X,X
TOSLJIZ,X,X,X,O,O,X,X
TOSLJZI,X,X,X,O,O,X,X
TOSLZIJ,X,X,O,X,O,X,X
TOSLZJI,X,X,O,O,O,X,X
TOSJILZ,X,X,X,O,O,X,X
TOSJIZL,X,O,X,O,O,X,X
TOSJLIZ,X,X,X,O,O,X,X
TOSJLZI,X,X,X,O,O,X,X
TOSJZIL,X,O,X,O,O,X,X
TOSJZLI,X,O,X,O,O,X,X
TOSZILJ,X,O,O,X,O,X,X
TOSZIJL,X,O,O,X,O,X,X
TOSZLIJ,X,O,O,X,O,X,X
TOSZLJI,X,O,O,O,O,X,X
TOSZJIL,X,O,O,O,O,X,X
TOSZJLI,X,O,O,O,O,X,X
TOZILJS,X,O,O,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X
TOZIJLS,X,O,O,X,X,X,X
TOZIJSL,X,O,O,X,X,X,X
TOZISLJ,X,O,O,X,X,X,X
TOZISJL,X,O,O,X,X,X,X
TOZLIJS,X,O,O,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X
TOZLJSI,X,O,O,X,O,X,X
TOZLSIJ,X,O,O,X,O,X,X
TOZLSJI,X,O,O,X,O,X,X
TOZJILS,X,O,O,O,X,X,X
TOZJISL,X,O,O,O,X,X,X
TOZJLIS,X,O,O,O,X,X,X
TOZJLSI,X,O,O,O,O,X,X
TOZJSIL,X,O,O,O,O,X,X
TOZJSLI,X,X,O,O,O,X,X
TOZSILJ,X,O,O,X,O,X,X
TOZSIJL,X,O,O,X,O,X,X
TOZSLIJ,X,O,O,X,O,X,X
TOZSLJI,X,O,O,O,O,X,X
TOZSJIL,X,O,O,O,O,X,X
TOZSJLI,X,O,O,O,O,X,X
ITLJSZO,X,X,X,X,O,O,X
ITLJSOZ,X,X,X,X,O,O,O
ITLJZSO,X,O,O,X,X,O,X
ITLJZOS,X,O,O,X,X,O,X
ITLJOSZ,X,X,X,X,O,O,O
ITLJOZS,X,O,O,X,X,O,X
ITLSJZO,X,X,X,X,O,O,X
ITLSJOZ,X,X,X,X,O,O,O
ITLSZJO,X,X,O,X,O,O,X
ITLSZOJ,X,X,O,X,O,O,X
ITLSOJZ,X,X,X,X,O,O,O
ITLSOZJ,X,X,O,X,O,O,X
ITLZJSO,X,O,O,X,X,O,X
ITLZJOS,X,O,O,X,X,O,X
ITLZSJO,X,X,O,X,X,O,X
ITLZSOJ,X,O,O,X,X,O,X
ITLZOJS,X,O,O,X,X,O,X
ITLZOSJ,X,O,O,X,X,O,X
ITLOJSZ,X,X,X,X,O,O,O
ITLOJZS,X,O,O,X,X,O,X
ITLOSJZ,X,X,X,X,O,O,O
ITLOSZJ,X,X,O,X,O,O,X
ITLOZJS,X,O,O,X,X,O,X
ITLOZSJ,X,O,O,X,X,O,X
ITJLSZO,X,X,X,X,O,O,X
ITJLSOZ,X,X,X,X,O,O,O
ITJLZSO,X,X,O,X,X,O,X
ITJLZOS,X,X,O,X,X,O,X
ITJLOSZ,X,X,X,X,O,O,O
ITJLOZS,X,X,O,X,X,O,X
ITJSLZO,X,X,X,O,O,O,X
ITJSLOZ,X,X,X,O,O,O,O
ITJSZLO,X,X,X,O,O,O,X
ITJSZOL,X,X,X,O,O,O,X
ITJSOLZ,X,X,X,O,O,O,O
ITJSOZL,X,X,X,O,O,O,X
ITJZLSO,X,X,O,O,X,O,X
ITJZLOS,X,X,O,O,X,O,X
ITJZSLO,X,X,O,O,X,O,X
ITJZSOL,X,X,O,O,X,O,X
ITJZOLS,X,X,O,O,X,O,X
ITJZOSL,X,X,O,O,X,O,X
ITJOLSZ,X,X,X,X,O,O,O
ITJOLZS,X,X,O,X,X,O,X
ITJOSLZ,X,X,X,O,O,O,O
ITJOSZL,X,X,X,O,O,O,X
ITJOZLS,X,X,O,O,X,O,X
ITJOZSL,X,X,O,O,X,O,X
ITSLJZO,X,X,X,O,O,O,X
ITSLJOZ,X,X,X,O,O,O,O
ITSLZJO,X,X,O,X,O,O,X
ITSLZOJ,X,X,O,X,O,O,X
ITSLOJZ,X,X,X,O,O,O,O
ITSLOZJ,X,X,O,X,O,O,X
ITSJLZO,X,X,X,O,O,O,X
ITSJLOZ,X,X,X,O,O,O,O
ITSJZLO,X,O,X,O,O,O,X
ITSJZOL,X,O,X,O,O,O,X
ITSJOLZ,X,X,X,O,O,O,O
ITSJOZL,X,O,X,O,O,O,X
ITSZLJO,X,O,O,X,O,O,X
ITSZLOJ,X,O,O,X,O,O,X
ITSZJLO,X,O,O,X,O,O,X
ITSZJOL,X,O,O,X,O,O,X
ITSZOLJ,X,O,O,X,O,O,X
ITSZOJL,X,O,O,X,O,O,X
ITSOLJZ,X,X,X,O,O,O,O
ITSOLZJ,X,X,O,X,O,O,X
ITSOJLZ,X,X,X,O,O,O,O
ITSOJZL,X,O,X,O,O,O,X
ITSOZLJ,X,O,O,X,O,O,X
ITSOZJL,X,O,O,X,O,O,X
ITZLJSO,X,O,O,X,X,O,X
ITZLJOS,X,O,O,X,X,O,X
ITZLSJO,X,X,O,X,X,O,X
ITZLSOJ,X,O,O,X,X,O,X
ITZLOJS,X,O,O,X,X,O,X
ITZLOSJ,X,O,O,X,X,O,X
ITZJLSO,X,X,O,X,X,O,X
ITZJLOS,X,X,O,X,X,O,X
ITZJSLO,X,X,O,X,X,O,X
ITZJSOL,X,X,O,X,X,O,X
ITZJOLS,X,O,O,X,X,O,X
ITZJOSL,X,O,O,X,X,O,X
ITZSLJO,X,O,O,X,X,O,X
ITZSLOJ,X,O,O,X,X,O,X
ITZSJLO,X,O,O,X,X,O,X
ITZSJOL,X,O,O,X,X,O,X
ITZSOLJ,X,O,O,X,X,O,X
ITZSOJL,X,O,O,X,X,O,X
ITZOLJS,X,O,O,X,X,O,X
ITZOLSJ,X,O,O,X,X,O,X
ITZOJLS,X,O,O,X,X,O,X
ITZOJSL,X,O,O,X,X,O,X
ITZOSLJ,X,O,O,X,X,O,X
ITZOSJL,X,O,O,X,X,O,X
ITOLJSZ,X,X,X,X,O,O,O
ITOLJZS,X,O,O,X,X,O,X
ITOLSJZ,X,X,X,X,O,O,O
ITOLSZJ,X,X,O,X,O,O,X
ITOLZJS,X,O,O,X,X,O,X
ITOLZSJ,X,O,O,X,X,O,X
ITOJLSZ,X,X,X,X,O,O,O
ITOJLZS,X,X,O,X,X,O,X
ITOJSLZ,X,X,X,O,O,O,O
ITOJSZL,X,X,X,O,O,O,X
ITOJZLS,X,X,O,O,X,O,X
ITOJZSL,X,X,O,O,X,O,X
ITOSLJZ,X,X,X,O,O,O,O
ITOSLZJ,X,X,O,X,O,O,X
ITOSJLZ,X,X,X,O,O,O,O
ITOSJZL,X,O,X,O,O,O,X
ITOSZLJ,X,O,O,X,O,O,X
ITOSZJL,X,O,O,X,O,O,X
ITOZLJS,X,O,O,X,X,O,X
ITOZLSJ,X,O,O,X,X,O,X
ITOZJLS,X,O,O,X,X,O,X
ITOZJSL,X,O,O,X,X,O,X
ITOZSLJ,X,O,O,X,X,O,X
ITOZSJL,X,O,O,X,X,O,X
ILTJSZO,O,X,X,X,X,O,X
ILTJSOZ,X,X,X,X,X,O,O
ILTJZSO,O,O,O,X,X,O,X
ILTJZOS,X,O,O,X,X,O,X
ILTJOSZ,X,X,X,X,X,O,O
ILTJOZS,X,O,O,X,X,O,X
ILTSJZO,O,X,X,X,X,O,X
ILTSJOZ,X,X,X,X,X,O,O
ILTSZJO,O,X,O,X,X,O,X
ILTSZOJ,O,X,O,X,X,O,X
ILTSOJZ,X,X,X,X,X,O,O
ILTSOZJ,X,X,O,X,X,O,X
ILTZJSO,O,O,O,X,X,O,X
ILTZJOS,X,O,O,X,X,O,X
ILTZSJO,O,X,O,X,X,O,X
ILTZSOJ,O,O,O,X,X,O,X
ILTZOJS,X,O,O,X,X,O,X
ILTZOSJ,X,O,O,X,X,O,X
ILTOJSZ,X,X,X,X,X,O,O
ILTOJZS,X,O,O,X,X,O,X
ILTOSJZ,X,X,X,X,X,O,O
ILTOSZJ,X,X,O,X,X,O,X
ILTOZJS,X,O,O,X,X,O,X
ILTOZSJ,X,O,O,X,X,O,X
ILJTSZO,O,X,X,X,X,O,X
ILJTSOZ,X,X,X,X,X,O,O
ILJTZSO,O,O,X,X,X,O,X
ILJTZOS,X,O,X,X,X,O,X
ILJTOSZ,X,X,X,X,X,O,O
ILJTOZS,X,O,X,X,X,O,X
ILJSTZO,O,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,X,X,O
ILJSZTO,O,O,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,O
ILJSOTZ,X,X,X,X,X,X,O
ILJSOZT,O,O,X,X,X,X,O
ILJZTSO,O,O,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X
ILJZSTO,O,O,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,O
ILJZOTS,X,O,X,X,X,X,X
ILJZOST,O,O,X,X,X,X,O
ILJOTSZ,X,X,X,X,X,O,O
ILJOTZS,X,O,X,X,X,O,X
ILJOSTZ,X,X,X,X,X,X,O
ILJOSZT,O,O,X,X,X,X,O
ILJOZTS,X,O,X,X,X,X,X
ILJOZST,O,O,X,X,X,X,O
ILSTJZO,O,X,X,X,X,O,X
ILSTJOZ,X,X,X,X,X,O,O
ILSTZJO,O,X,X,X,X,O,X
ILSTZOJ,O,X,X,X,X,O,X
ILSTOJZ,X,X,X,X,X,O,O
ILSTOZJ,X,X,X,X,X,O,X
ILSJTZO,O,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,X,X,O
ILSJZTO,O,O,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,O
ILSJOTZ,X,X,X,X,X,X,O
ILSJOZT,O,O,X,X,X,X,O
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,O
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,O,X,X,X,X,O
ILSOTJZ,X,X,X,X,X,O,O
ILSOTZJ,X,X,X,X,X,O,X
ILSOJTZ,X,X,X,X,X,X,O
ILSOJZT,O,O,X,X,X,X,O
ILSOZTJ,O,O,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X,O
ILZTJSO,O,O,O,X,X,X,X
ILZTJOS,X,O,O,X,X,X,X
ILZTSJO,O,X,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X
ILZTOJS,X,O,O,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,O
ILZJOTS,X,O,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,O
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,O
ILZSOTJ,O,O,O,X,X,X,X
ILZSOJT,O,O,X,X,X,X,O
ILZOTJS,X,O,O,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X
ILZOJTS,X,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,O
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X,O
ILOTJSZ,X,X,X,X,X,O,O
ILOTJZS,X,O,O,X,X,O,X
ILOTSJZ,X,X,X,X,X,O,O
ILOTSZJ,X,X,O,X,X,O,X
ILOTZJS,X,O,O,X,X,O,X
ILOTZSJ,X,O,O,X,X,O,X
ILOJTSZ,X,X,X,X,X,O,O
ILOJTZS,X,O,X,X,X,O,X
ILOJSTZ,X,X,X,X,X,X,O
ILOJSZT,O,O,X,X,X,X,O
ILOJZTS,X,O,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,O
ILOSTJZ,X,X,X,X,X,O,O
ILOSTZJ,X,X,X,X,X,O,X
ILOSJTZ,X,X,X,X,X,X,O
ILOSJZT,O,O,X,X,X,X,O
ILOSZTJ,O,O,O,X,X,X,X
ILOSZJT,O,O,X,X,X,X,O
ILOZTJS,X,O,O,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X
ILOZJTS,X,O,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,O
ILOZSTJ,O,O,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X,O
IJTLSZO,X,X,X,X,X,O,X
IJTLSOZ,X,X,X,X,X,O,O
IJTLZSO,X,X,O,X,X,O,X
IJTLZOS,X,X,O,X,X,O,X
IJTLOSZ,X,X,X,X,X,O,O
IJTLOZS,X,X,O,X,X,O,X
IJTSLZO,X,X,X,O,X,O,X
IJTSLOZ,X,X,X,O,X,O,O
IJTSZLO,X,X,X,O,X,O,X
IJTSZOL,X,X,X,O,X,O,X
IJTSOLZ,X,X,X,O,X,O,O
IJTSOZL,X,X,X,O,X,O,X
IJTZLSO,X,X,O,O,X,O,X
IJTZLOS,X,X,O,O,X,O,X
IJTZSLO,X,X,O,O,X,O,X
IJTZSOL,X,X,O,O,X,O,X
IJTZOLS,X,X,O,O,X,O,X
IJTZOSL,X,X,O,O,X,O,X
IJTOLSZ,X,X,X,X,X,O,O
IJTOLZS,X,X,O,X,X,O,X
IJTOSLZ,X,X,X,O,X,O,O
IJTOSZL,X,X,X,O,X,O,X
IJTOZLS,X,X,O,O,X,O,X
IJTOZSL,X,X,O,O,X,O,X
IJLTSZO,O,X,X,X,X,O,X
IJLTSOZ,X,X,X,X,X,O,O
IJLTZSO,O,O,X,X,X,O,X
IJLTZOS,X,O,X,X,X,O,X
IJLTOSZ,X,X,X,X,X,O,O
IJLTOZS,X,O,X,X,X,O,X
IJLSTZO,O,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,X,X,O
IJLSZTO,O,O,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,O
IJLSOTZ,X,X,X,X,X,X,O
IJLSOZT,O,O,X,X,X,X,O
IJLZTSO,O,O,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X
IJLZSTO,O,O,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,O
IJLZOTS,X,O,X,X,X,X,X
IJLZOST,O,O,X,X,X,X,O
IJLOTSZ,X,X,X,X,X,O,O
IJLOTZS,X,O,X,X,X,O,X
IJLOSTZ,X,X,X,X,X,X,O
IJLOSZT,O,O,X,X,X,X,O
IJLOZTS,X,O,X,X,X,X,X
IJLOZST,O,O,X,X,X,X,O
IJSTLZO,X,X,X,O,X,O,X
IJSTLOZ,X,X,X,O,X,O,O
IJSTZLO,X,O,X,O,X,O,X
IJSTZOL,X,O,X,O,X,O,X
IJSTOLZ,X,X,X,O,X,O,O
IJSTOZL,X,O,X,O,X,O,X
IJSLTZO,O,X,X,O,X,X,X
IJSLTOZ,X,X,X,O,X,X,O
IJSLZTO,O,O,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,O
IJSLOTZ,X,X,X,O,X,X,O
IJSLOZT,O,O,X,X,X,X,O
IJSZTLO,O,O,O,X,X,X,X
IJSZTOL,O,O,O,X,X,X,X
IJSZLTO,O,O,X,X,X,X,X
IJSZLOT,O,O,X,X,X,X,O
IJSZOTL,O,O,O,X,X,X,X
IJSZOLT,O,O,X,X,X,X,O
IJSOTLZ,X,X,X,O,X,O,O
IJSOTZL,X,O,X,O,X,O,X
IJSOLTZ,X,X,X,O,X,X,O
IJSOLZT,X,O,X,X,X,X,O
IJSOZTL,X,O,O,X,X,X,X
IJSOZLT,X,O,X,X,X,X,O
IJZTLSO,O,X,O,X,X,O,X
IJZTLOS,X,X,O,X,X,O,X
IJZTSLO,O,X,O,X,X,O,X
IJZTSOL,O,X,O,X,X,O,X
IJZTOLS,X,O,O,X,X,O,X
IJZTOSL,X,O,O,X,X,O,X
IJZLTSO,O,O,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X
IJZLSTO,O,O,X,X,X,X,X
IJZLSOT,O,O,X,X,X,X,O
IJZLOTS,X,O,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,O
IJZSTLO,O,O,O,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X
IJZSLTO,O,O,X,X,X,X,X
IJZSLOT,O,O,X,X,X,X,O
IJZSOTL,O,O,O,X,X,X,X
IJZSOLT,O,O,X,X,X,X,O
IJZOTLS,X,O,O,X,X,O,X
IJZOTSL,X,O,O,X,X,O,X
IJZOLTS,X,O,X,X,X,X,X
IJZOLST,O,O,X,X,X,X,O
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,X,X,X,X,O
IJOTLSZ,X,X,X,X,X,O,O
IJOTLZS,X,X,O,X,X,O,X
IJOTSLZ,X,X,X,O,X,O,O
IJOTSZL,X,X,X,O,X,O,X
IJOTZLS,X,X,O,O,X,O,X
IJOTZSL,X,X,O,O,X,O,X
IJOLTSZ,X,X,X,X,X,O,O
IJOLTZS,X,O,X,X,X,O,X
IJOLSTZ,X,X,X,X,X,X,O
IJOLSZT,X,O,X,X,X,X,O
IJOLZTS,X,O,X,X,X,X,X
IJOLZST,X,O,X,X,X,X,O
IJOSTLZ,X,X,X,O,X,O,O
IJOSTZL,X,O,X,O,X,O,X
IJOSLTZ,X,X,X,O,X,X,O
IJOSLZT,X,O,X,X,X,X,O
IJOSZTL,X,O,O,X,X,X,X
IJOSZLT,X,O,X,X,X,X,O
IJOZTLS,X,O,O,X,X,O,X
IJOZTSL,X,O,O,X,X,O,X
IJOZLTS,X,O,X,X,X,X,X
IJOZLST,X,O,X,X,X,X,O
IJOZSTL,X,O,O,X,X,X,X
IJOZSLT,X,O,X,X,X,X,O
ISTLJZO,X,X,X,O,O,O,X
ISTLJOZ,X,X,X,O,O,O,O
ISTLZJO,X,X,O,X,O,O,X
ISTLZOJ,X,X,O,X,O,O,X
ISTLOJZ,X,X,X,O,O,O,O
ISTLOZJ,X,X,O,X,O,O,X
ISTJLZO,X,X,X,O,O,O,X
ISTJLOZ,X,X,X,O,O,O,O
ISTJZLO,X,O,X,O,O,O,X
ISTJZOL,X,O,X,O,O,O,X
ISTJOLZ,X,X,X,O,O,O,O
ISTJOZL,X,O,X,O,O,O,X
ISTZLJO,X,O,O,X,O,O,X
ISTZLOJ,X,O,O,X,O,O,X
ISTZJLO,X,O,O,X,O,O,X
ISTZJOL,X,O,O,X,O,O,X
ISTZOLJ,X,O,O,X,O,O,X
ISTZOJL,X,O,O,X,O,O,X
ISTOLJZ,X,X,X,O,O,O,O
ISTOLZJ,X,X,O,X,O,O,X
ISTOJLZ,X,X,X,O,O,O,O
ISTOJZL,X,O,X,O,O,O,X
ISTOZLJ,X,O,O,X,O,O,X
ISTOZJL,X,O,O,X,O,O,X
ISLTJZO,O,X,X,O,O,O,X
ISLTJOZ,X,X,X,O,O,O,O
ISLTZJO,O,X,X,X,O,O,X
ISLTZOJ,O,X,X,X,O,O,X
ISLTOJZ,X,X,X,O,O,O,O
ISLTOZJ,X,X,X,X,O,O,X
ISLJTZO,O,X,X,O,X,X,X
ISLJTOZ,X,X,X,O,X,X,O
ISLJZTO,O,O,X,X,X,X,X
ISLJZOT,O,O,X,X,X,X,O
ISLJOTZ,X,X,X,O,X,X,O
ISLJOZT,O,O,X,X,X,X,O
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X,X
ISLZJOT,O,O,X,X,X,X,O
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,X,X,X,X,O
ISLOTJZ,X,X,X,O,O,O,O
ISLOTZJ,X,X,X,X,O,O,X
ISLOJTZ,X,X,X,O,X,X,O
ISLOJZT,O,O,X,X,X,X,O
ISLOZTJ,O,O,O,X,X,X,X
ISLOZJT,O,O,X,X,X,X,O
ISJTLZO,X,X,X,O,O,O,X
ISJTLOZ,X,X,X,O,O,O,O
ISJTZLO,X,O,X,O,O,O,X
ISJTZOL,X,O,X,O,O,O,X
ISJTOLZ,X,X,X,O,O,O,O
ISJTOZL,X,O,X,O,O,O,X
ISJLTZO,O,X,X,O,X,X,X
ISJLTOZ,X,X,X,O,X,X,O
ISJLZTO,O,O,X,X,X,X,X
ISJLZOT,O,O,X,X,X,X,O
ISJLOTZ,X,X,X,O,X,X,O
ISJLOZT,O,O,X,X,X,X,O
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X
ISJZLOT,O,O,X,X,X,X,O
ISJZOTL,O,O,O,X,X,X,X
ISJZOLT,O,O,X,X,X,X,O
ISJOTLZ,X,X,X,O,O,O,O
ISJOTZL,X,O,X,O,O,O,X
ISJOLTZ,X,X,X,O,X,X,O
ISJOLZT,X,O,X,X,X,X,O
ISJOZTL,X,O,O,X,X,X,X
ISJOZLT,X,O,X,X,X,X,O
ISZTLJO,O,O,O,X,O,O,X
ISZTLOJ,O,O,O,X,O,O,X
ISZTJLO,O,O,O,X,O,O,X
ISZTJOL,O,O,O,X,O,O,X
ISZTOLJ,O,O,O,X,O,O,X
ISZTOJL,O,O,O,X,O,O,X
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,X,X
ISZLJOT,O,O,X,X,X,X,O
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,X,X,X,X,O
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X
ISZJLTO,O,O,X,X,X,X,X
ISZJLOT,O,O,X,X,X,X,O
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,X,X,X,X,O
ISZOTLJ,O,O,O,X,O,O,X
ISZOTJL,O,O,O,X,O,O,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,X,X,X,X,O
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,X,X,X,X,O
ISOTLJZ,X,X,X,O,O,O,O
ISOTLZJ,X,X,O,X,O,O,X
ISOTJLZ,X,X,X,O,O,O,O
ISOTJZL,X,O,X,O,O,O,X
ISOTZLJ,X,O,O,X,O,O,X
ISOTZJL,X,O,O,X,O,O,X
ISOLTJZ,X,X,X,O,O,O,O
ISOLTZJ,X,X,X,X,O,O,X
ISOLJTZ,X,X,X,O,X,X,O
ISOLJZT,X,O,X,X,X,X,O
ISOLZTJ,X,O,O,X,X,X,X
ISOLZJT,X,O,X,X,X,X,O
ISOJTLZ,X,X,X,O,O,O,O
ISOJTZL,X,O,X,O,O,O,X
ISOJLTZ,X,X,X,O,X,X,O
ISOJLZT,X,O,X,X,X,X,O
ISOJZTL,X,O,O,X,X,X,X
ISOJZLT,X,O,X,X,X,X,O
ISOZTLJ,X,O,O,X,O,O,X
ISOZTJL,X,O,O,X,O,O,X
ISOZLTJ,X,O,O,X,X,X,X
ISOZLJT,X,O,X,X,X,X,O
ISOZJTL,X,O,O,X,X,X,X
ISOZJLT,X,O,X,X,X,X,O
IZTLJSO,O,O,O,X,X,O,X
IZTLJOS,X,O,O,X,X,O,X
IZTLSJO,O,X,O,X,X,O,X
IZTLSOJ,O,O,O,X,X,O,X
IZTLOJS,X,O,O,X,X,O,X
IZTLOSJ,X,O,O,X,X,O,X
IZTJLSO,O,X,O,X,X,O,X
IZTJLOS,X,X,O,X,X,O,X
IZTJSLO,O,X,O,X,X,O,X
IZTJSOL,O,X,O,X,X,O,X
IZTJOLS,X,O,O,X,X,O,X
IZTJOSL,X,O,O,X,X,O,X
IZTSLJO,O,O,O,X,X,O,X
IZTSLOJ,O,O,O,X,X,O,X
IZTSJLO,O,O,O,X,X,O,X
IZTSJOL,O,O,O,X,X,O,X
IZTSOLJ,O,O,O,X,X,O,X
IZTSOJL,O,O,O,X,X,O,X
