sequence,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBxhBXjB1rBStB2xB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBxnBCoBmrBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhFxgB/nB+oBFmBUsBatB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBGjBRnBimBFsBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBGjBxrBXtBisB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhB3iB+oBxrByxB
TOJZSIL,X,O,O,O,X,O
TOJZSLI,X,O,O,X,X,X
TOSILJZ,O,X,X,O,O,X
TOSILZJ,O,O,X,O,O,X
TOSIJLZ,X,O,X,O,O,X
TOSIJZL,X,O,O,O,O,X
TOSIZLJ,O,O,O,O,O,X
TOSIZJL,X,O,O,O,O,X
TOSLIJZ,O,X,X,O,X,X
TOSLIZJ,O,X,X,O,X,X
TOSLJIZ,O,X,X,O,X,X
TOSLJZI,O,X,X,X,X,X
TOSLZIJ,O,X,X,O,X,X
TOSLZJI,O,X,X,X,X,X
TOSJILZ,X,O,X,O,O,X
TOSJIZL,X,O,O,O,O,X
TOSJLIZ,X,O,X,O,X,X
TOSJLZI,X,O,X,X,X,X
TOSJZIL,X,O,O,O,O,X
TOSJZLI,X,O,O,X,O,X
TOSZILJ,O,O,O,O,O,X
TOSZIJL,X,O,O,O,O,X
TOSZLIJ,O,O,O,O,O,X
TOSZLJI,O,X,O,X,O,X
TOSZJIL,X,O,O,O,O,X
TOSZJLI,X,X,O,X,O,X
TOZILJS,O,X,O,O,X,O
TOZILSJ,O,X,O,X,O,X
TOZIJLS,O,O,O,O,X,O
TOZIJSL,X,O,O,O,O,O
TOZISLJ,O,O,O,O,O,X
TOZISJL,X,O,O,O,O,O
TOZLIJS,O,X,O,O,X,O
TOZLISJ,O,X,O,X,O,X
TOZLJIS,O,O,O,X,X,O
TOZLJSI,O,O,O,X,X,X
TOZLSIJ,O,O,O,O,O,X
TOZLSJI,O,X,O,X,O,X
TOZJILS,O,O,O,O,X,O
TOZJISL,X,O,O,O,O,O
TOZJLIS,O,O,O,X,X,O
TOZJLSI,O,O,O,X,X,X
TOZJSIL,X,O,O,O,O,O
TOZJSLI,X,O,O,X,O,X
TOZSILJ,O,O,O,O,O,X
TOZSIJL,X,O,O,O,O,O
TOZSLIJ,O,O,O,O,O,X
TOZSLJI,O,X,O,X,O,X
TOZSJIL,X,O,O,O,O,O
TOZSJLI,X,O,O,X,O,X
ITLJSZO,O,X,X,X,X,O
ITLJSOZ,O,X,X,X,X,O
ITLJZSO,O,X,O,X,X,O
ITLJZOS,O,X,O,O,X,O
ITLJOSZ,O,X,X,X,X,O
ITLJOZS,O,X,O,O,X,O
ITLSJZO,O,X,X,X,O,X
ITLSJOZ,O,X,X,X,O,X
ITLSZJO,O,X,X,X,O,X
ITLSZOJ,O,X,X,X,O,X
ITLSOJZ,O,X,X,X,O,X
ITLSOZJ,O,X,X,X,O,X
ITLZJSO,O,X,O,X,X,O
ITLZJOS,O,X,O,O,X,O
ITLZSJO,O,X,O,X,O,X
ITLZSOJ,O,X,O,X,O,X
ITLZOJS,O,X,O,O,X,O
ITLZOSJ,O,X,O,X,O,X
ITLOJSZ,O,X,X,X,X,O
ITLOJZS,O,X,O,O,X,O
ITLOSJZ,O,X,X,X,O,X
ITLOSZJ,O,X,X,X,O,X
ITLOZJS,O,X,O,O,X,O
ITLOZSJ,O,X,O,X,O,X
ITJLSZO,O,X,X,X,X,O
ITJLSOZ,O,X,X,X,X,O
ITJLZSO,O,X,O,X,X,O
ITJLZOS,O,X,O,O,X,O
ITJLOSZ,O,X,X,X,X,O
ITJLOZS,O,X,O,O,X,O
ITJSLZO,X,X,X,X,O,O
ITJSLOZ,X,X,X,X,O,O
ITJSZLO,X,X,O,X,O,O
ITJSZOL,X,X,O,O,O,O
ITJSOLZ,X,X,X,X,O,O
ITJSOZL,X,X,O,O,O,O
ITJZLSO,O,X,O,X,X,O
ITJZLOS,O,X,O,O,X,O
ITJZSLO,X,X,O,X,O,O
ITJZSOL,X,X,O,O,O,O
ITJZOLS,O,X,O,O,X,O
ITJZOSL,X,X,O,O,O,O
ITJOLSZ,O,X,X,X,X,O
ITJOLZS,O,X,O,O,X,O
ITJOSLZ,X,X,X,X,O,O
ITJOSZL,X,X,O,O,O,O
ITJOZLS,O,X,O,O,X,O
ITJOZSL,X,X,O,O,O,O
ITSLJZO,O,X,X,O,O,X
ITSLJOZ,O,X,X,O,O,X
ITSLZJO,O,X,X,O,O,X
ITSLZOJ,O,X,X,O,O,X
ITSLOJZ,O,X,X,O,O,X
ITSLOZJ,O,X,X,O,O,X
ITSJLZO,X,X,X,O,O,O
ITSJLOZ,X,X,X,O,O,O
ITSJZLO,X,X,O,O,O,O
ITSJZOL,X,X,O,O,O,O
ITSJOLZ,X,X,X,O,O,O
ITSJOZL,X,X,O,O,O,O
ITSZLJO,O,X,O,O,O,X
ITSZLOJ,O,X,O,O,O,X
ITSZJLO,X,X,O,O,O,O
ITSZJOL,X,X,O,O,O,O
ITSZOLJ,O,X,O,O,O,X
ITSZOJL,X,X,O,O,O,O
ITSOLJZ,O,X,X,O,O,X
ITSOLZJ,O,X,X,O,O,X
ITSOJLZ,X,X,X,O,O,O
ITSOJZL,X,X,O,O,O,O
ITSOZLJ,O,X,O,O,O,X
ITSOZJL,X,X,O,O,O,O
ITZLJSO,O,X,O,X,X,O
ITZLJOS,O,X,O,O,X,O
ITZLSJO,O,X,O,X,O,X
ITZLSOJ,O,X,O,X,O,X
ITZLOJS,O,X,O,O,X,O
ITZLOSJ,O,X,O,X,O,X
ITZJLSO,O,X,O,X,X,O
ITZJLOS,O,X,O,O,X,O
ITZJSLO,X,X,O,X,O,O
ITZJSOL,X,X,O,O,O,O
ITZJOLS,O,X,O,O,X,O
ITZJOSL,X,X,O,O,O,O
ITZSLJO,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,O,X
ITZSJLO,X,X,O,O,O,O
ITZSJOL,X,X,O,O,O,O
ITZSOLJ,O,X,O,O,O,X
ITZSOJL,X,X,O,O,O,O
ITZOLJS,O,X,O,O,X,O
ITZOLSJ,O,X,O,X,O,X
ITZOJLS,O,X,O,O,X,O
ITZOJSL,X,X,O,O,O,O
ITZOSLJ,O,X,O,O,O,X
ITZOSJL,X,X,O,O,O,O
ITOLJSZ,O,X,X,X,X,O
ITOLJZS,O,X,O,O,X,O
ITOLSJZ,O,X,X,X,O,X
ITOLSZJ,O,X,X,X,O,X
ITOLZJS,O,X,O,O,X,O
ITOLZSJ,O,X,O,X,O,X
ITOJLSZ,O,X,X,X,X,O
ITOJLZS,O,X,O,O,X,O
ITOJSLZ,X,X,X,X,O,O
ITOJSZL,X,X,O,O,O,O
ITOJZLS,O,X,O,O,X,O
ITOJZSL,X,X,O,O,O,O
ITOSLJZ,O,X,X,O,O,X
ITOSLZJ,O,X,X,O,O,X
ITOSJLZ,X,X,X,O,O,O
ITOSJZL,X,X,O,O,O,O
ITOSZLJ,O,X,O,O,O,X
ITOSZJL,X,X,O,O,O,O
ITOZLJS,O,X,O,O,X,O
ITOZLSJ,O,X,O,X,O,X
ITOZJLS,O,X,O,O,X,O
ITOZJSL,X,X,O,O,O,O
ITOZSLJ,O,X,O,O,O,X
ITOZSJL,X,X,O,O,O,O
ILTJSZO,O,X,X,X,X,O
ILTJSOZ,O,X,X,X,X,O
ILTJZSO,O,X,O,X,X,O
ILTJZOS,O,X,O,X,X,O
ILTJOSZ,O,X,X,X,X,O
ILTJOZS,O,X,O,X,X,O
ILTSJZO,O,X,X,X,O,X
ILTSJOZ,O,X,X,X,O,X
ILTSZJO,O,X,X,X,O,X
ILTSZOJ,O,X,X,X,O,X
ILTSOJZ,O,X,X,X,O,X
ILTSOZJ,O,X,X,X,O,X
ILTZJSO,O,X,O,X,X,O
ILTZJOS,O,X,O,X,X,O
ILTZSJO,O,X,O,X,O,X
ILTZSOJ,O,X,O,X,O,X
ILTZOJS,O,X,O,X,X,O
ILTZOSJ,O,X,O,X,O,X
ILTOJSZ,O,X,X,X,X,O
ILTOJZS,O,X,O,X,X,O
ILTOSJZ,O,X,X,X,O,X
ILTOSZJ,O,X,X,X,O,X
ILTOZJS,O,X,O,X,X,O
ILTOZSJ,O,X,O,X,O,X
ILJTSZO,X,X,X,X,X,O
ILJTSOZ,X,X,X,X,X,O
ILJTZSO,X,X,O,X,X,O
ILJTZOS,X,X,O,X,X,O
ILJTOSZ,X,X,X,X,X,O
ILJTOZS,X,X,O,X,X,O
ILJSTZO,X,X,X,X,X,O
ILJSTOZ,X,X,X,X,X,O
ILJSZTO,X,X,X,X,X,O
ILJSZOT,X,X,X,X,X,O
ILJSOTZ,X,X,X,X,X,O
ILJSOZT,X,X,X,X,X,O
ILJZTSO,X,X,X,X,X,O
ILJZTOS,X,X,X,X,X,O
ILJZSTO,X,X,X,X,X,O
ILJZSOT,X,X,X,X,X,O
ILJZOTS,X,X,X,X,X,O
ILJZOST,X,X,X,X,X,O
ILJOTSZ,X,X,X,X,X,O
ILJOTZS,X,X,O,X,X,O
ILJOSTZ,X,X,X,X,X,O
ILJOSZT,X,X,X,X,X,O
ILJOZTS,X,X,X,X,X,O
ILJOZST,X,X,X,X,X,O
ILSTJZO,O,X,X,X,O,X
ILSTJOZ,O,X,X,X,O,X
ILSTZJO,O,X,X,X,O,X
ILSTZOJ,O,X,X,X,O,X
ILSTOJZ,O,X,X,X,O,X
ILSTOZJ,O,X,X,X,O,X
ILSJTZO,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,O,X
ILSJZTO,X,X,X,X,O,X
ILSJZOT,O,X,X,X,O,X
ILSJOTZ,X,X,X,X,O,X
ILSJOZT,O,X,X,X,O,X
ILSZTJO,O,X,X,X,O,X
ILSZTOJ,O,X,X,X,O,X
ILSZJTO,X,X,X,X,O,X
ILSZJOT,O,X,X,X,O,X
ILSZOTJ,O,X,X,X,O,X
ILSZOJT,O,X,X,X,O,X
ILSOTJZ,O,X,X,X,O,X
ILSOTZJ,O,X,X,X,O,X
ILSOJTZ,X,X,X,X,O,X
ILSOJZT,O,X,X,X,O,X
ILSOZTJ,O,X,X,X,O,X
ILSOZJT,O,X,X,X,O,X
ILZTJSO,O,X,X,X,X,O
ILZTJOS,O,X,X,X,X,O
ILZTSJO,O,X,X,X,O,X
ILZTSOJ,O,X,X,X,O,X
ILZTOJS,O,X,X,X,X,O
ILZTOSJ,O,X,X,X,O,X
ILZJTSO,X,X,X,X,X,O
ILZJTOS,X,X,X,X,X,O
ILZJSTO,X,X,X,X,X,O
ILZJSOT,O,X,X,X,X,O
ILZJOTS,X,X,X,X,X,O
ILZJOST,O,X,X,X,X,O
ILZSTJO,O,X,X,X,O,X
ILZSTOJ,O,X,X,X,O,X
ILZSJTO,X,X,X,X,O,X
ILZSJOT,O,X,X,X,O,X
ILZSOTJ,O,X,X,X,O,X
ILZSOJT,O,X,X,X,O,X
ILZOTJS,O,X,X,X,X,O
ILZOTSJ,O,X,X,X,O,X
ILZOJTS,X,X,X,X,X,O
ILZOJST,O,X,X,X,X,O
ILZOSTJ,O,X,X,X,O,X
ILZOSJT,O,X,X,X,O,X
ILOTJSZ,O,X,X,X,X,O
ILOTJZS,O,X,O,X,X,O
ILOTSJZ,O,X,X,X,O,X
ILOTSZJ,O,X,X,X,O,X
ILOTZJS,O,X,O,X,X,O
ILOTZSJ,O,X,O,X,O,X
ILOJTSZ,X,X,X,X,X,O
ILOJTZS,X,X,O,X,X,O
ILOJSTZ,X,X,X,X,X,O
ILOJSZT,X,X,X,X,X,O
ILOJZTS,X,X,X,X,X,O
ILOJZST,X,X,X,X,X,O
ILOSTJZ,O,X,X,X,O,X
ILOSTZJ,O,X,X,X,O,X
ILOSJTZ,X,X,X,X,O,X
ILOSJZT,O,X,X,X,O,X
ILOSZTJ,O,X,X,X,O,X
ILOSZJT,O,X,X,X,O,X
ILOZTJS,O,X,X,X,X,O
ILOZTSJ,O,X,X,X,O,X
ILOZJTS,X,X,X,X,X,O
ILOZJST,O,X,X,X,X,O
ILOZSTJ,O,X,X,X,O,X
ILOZSJT,O,X,X,X,O,X
IJTLSZO,X,X,X,X,X,O
IJTLSOZ,X,X,X,X,X,O
IJTLZSO,X,X,O,X,X,O
IJTLZOS,X,O,O,X,X,O
IJTLOSZ,X,X,X,X,X,O
IJTLOZS,X,O,O,X,X,O
IJTSLZO,X,O,X,X,O,O
IJTSLOZ,X,O,X,X,O,O
IJTSZLO,X,O,O,X,O,O
IJTSZOL,X,O,O,X,O,O
IJTSOLZ,X,O,X,X,O,O
IJTSOZL,X,O,O,X,O,O
IJTZLSO,X,X,O,X,X,O
IJTZLOS,X,O,O,X,X,O
IJTZSLO,X,O,O,X,O,O
IJTZSOL,X,O,O,X,O,O
IJTZOLS,X,O,O,X,X,O
IJTZOSL,X,O,O,X,O,O
IJTOLSZ,X,X,X,X,X,O
IJTOLZS,X,O,O,X,X,O
IJTOSLZ,X,O,X,X,O,O
IJTOSZL,X,O,O,X,O,O
IJTOZLS,X,O,O,X,X,O
IJTOZSL,X,O,O,X,O,O
IJLTSZO,X,X,X,X,X,O
IJLTSOZ,X,X,X,X,X,O
IJLTZSO,X,X,O,X,X,O
IJLTZOS,X,O,O,X,X,O
IJLTOSZ,X,X,X,X,X,O
IJLTOZS,X,O,O,X,X,O
IJLSTZO,X,X,X,X,X,O
IJLSTOZ,X,X,X,X,X,O
IJLSZTO,X,X,X,X,X,O
IJLSZOT,X,X,X,X,X,O
IJLSOTZ,X,X,X,X,X,O
IJLSOZT,X,X,X,X,X,O
IJLZTSO,X,X,X,X,X,O
IJLZTOS,X,O,X,X,X,O
IJLZSTO,X,X,X,X,X,O
IJLZSOT,X,X,X,X,X,O
IJLZOTS,X,O,X,X,X,O
IJLZOST,X,X,X,X,X,O
IJLOTSZ,X,X,X,X,X,O
IJLOTZS,X,O,O,X,X,O
IJLOSTZ,X,X,X,X,X,O
IJLOSZT,X,X,X,X,X,O
IJLOZTS,X,O,X,X,X,O
IJLOZST,X,X,X,X,X,O
IJSTLZO,X,O,X,X,O,O
IJSTLOZ,X,O,X,X,O,O
IJSTZLO,X,O,O,X,O,O
IJSTZOL,X,O,O,X,O,O
IJSTOLZ,X,O,X,X,O,O
IJSTOZL,X,O,O,X,O,O
IJSLTZO,X,O,X,X,O,O
IJSLTOZ,X,O,X,X,O,O
IJSLZTO,X,O,X,X,O,O
IJSLZOT,X,O,X,X,O,O
IJSLOTZ,X,O,X,X,O,O
IJSLOZT,X,O,X,X,O,O
IJSZTLO,X,O,X,X,O,O
IJSZTOL,X,O,X,X,O,O
IJSZLTO,X,O,X,X,O,O
IJSZLOT,X,O,X,X,O,O
IJSZOTL,X,O,X,X,O,O
IJSZOLT,X,O,X,X,O,O
IJSOTLZ,X,O,X,X,O,O
IJSOTZL,X,O,O,X,O,O
IJSOLTZ,X,O,X,X,O,O
IJSOLZT,X,O,X,X,O,O
IJSOZTL,X,O,X,X,O,O
IJSOZLT,X,O,X,X,O,O
IJZTLSO,X,X,O,X,X,O
IJZTLOS,X,O,O,X,X,O
IJZTSLO,X,O,O,X,O,O
IJZTSOL,X,O,O,X,O,O
IJZTOLS,X,O,O,X,X,O
IJZTOSL,X,O,O,X,O,O
IJZLTSO,X,X,X,X,X,O
IJZLTOS,X,O,X,X,X,O
IJZLSTO,X,X,X,X,X,O
IJZLSOT,X,X,X,X,X,O
IJZLOTS,X,O,X,X,X,O
IJZLOST,X,X,X,X,X,O
IJZSTLO,X,O,O,X,O,O
IJZSTOL,X,O,O,X,O,O
IJZSLTO,X,O,X,X,O,O
IJZSLOT,X,O,X,X,O,O
IJZSOTL,X,O,O,X,O,O
IJZSOLT,X,O,X,X,O,O
IJZOTLS,X,O,O,X,X,O
IJZOTSL,X,O,O,X,O,O
IJZOLTS,X,O,X,X,X,O
IJZOLST,X,X,X,X,X,O
IJZOSTL,X,O,O,X,O,O
IJZOSLT,X,O,X,X,O,O
IJOTLSZ,X,X,X,X,X,O
IJOTLZS,X,O,O,X,X,O
IJOTSLZ,X,O,X,X,O,O
IJOTSZL,X,O,O,X,O,O
IJOTZLS,X,O,O,X,X,O
IJOTZSL,X,O,O,X,O,O
IJOLTSZ,X,X,X,X,X,O
IJOLTZS,X,O,O,X,X,O
IJOLSTZ,X,X,X,X,X,O
IJOLSZT,X,X,X,X,X,O
IJOLZTS,X,O,X,X,X,O
IJOLZST,X,X,X,X,X,O
IJOSTLZ,X,O,X,X,O,O
IJOSTZL,X,O,O,X,O,O
IJOSLTZ,X,O,X,X,O,O
IJOSLZT,X,O,X,X,O,O
IJOSZTL,X,O,X,X,O,O
IJOSZLT,X,O,X,X,O,O
IJOZTLS,X,O,O,X,X,O
IJOZTSL,X,O,O,X,O,O
IJOZLTS,X,O,X,X,X,O
IJOZLST,X,X,X,X,X,O
IJOZSTL,X,O,O,X,O,O
IJOZSLT,X,O,X,X,O,O
ISTLJZO,X,X,X,O,O,X
ISTLJOZ,X,X,X,O,O,X
ISTLZJO,X,X,X,O,O,X
ISTLZOJ,X,O,X,O,O,X
ISTLOJZ,X,X,X,O,O,X
ISTLOZJ,X,O,X,O,O,X
ISTJLZO,X,O,X,O,O,O
ISTJLOZ,X,O,X,O,O,O
ISTJZLO,X,O,O,O,O,O
ISTJZOL,X,O,O,O,O,O
ISTJOLZ,X,O,X,O,O,O
ISTJOZL,X,O,O,O,O,O
ISTZLJO,X,X,O,O,O,X
ISTZLOJ,X,O,O,O,O,X
ISTZJLO,X,O,O,O,O,O
ISTZJOL,X,O,O,O,O,O
ISTZOLJ,X,O,O,O,O,X
ISTZOJL,X,O,O,O,O,O
ISTOLJZ,X,X,X,O,O,X
ISTOLZJ,X,O,X,O,O,X
ISTOJLZ,X,O,X,O,O,O
ISTOJZL,X,O,O,O,O,O
ISTOZLJ,X,O,O,O,O,X
ISTOZJL,X,O,O,O,O,O
ISLTJZO,X,X,X,X,O,X
ISLTJOZ,X,X,X,X,O,X
ISLTZJO,X,X,X,X,O,X
ISLTZOJ,X,O,X,X,O,X
ISLTOJZ,X,X,X,X,O,X
ISLTOZJ,X,O,X,X,O,X
ISLJTZO,X,O,X,X,O,X
ISLJTOZ,X,O,X,X,O,X
ISLJZTO,X,O,X,X,O,X
ISLJZOT,X,O,X,O,O,X
ISLJOTZ,X,O,X,X,O,X
ISLJOZT,X,O,X,O,O,X
ISLZTJO,X,X,X,X,O,X
ISLZTOJ,X,O,X,X,O,X
ISLZJTO,X,O,X,X,O,X
ISLZJOT,X,O,X,O,O,X
ISLZOTJ,X,O,X,X,O,X
ISLZOJT,X,O,X,O,O,X
ISLOTJZ,X,X,X,X,O,X
ISLOTZJ,X,O,X,X,O,X
ISLOJTZ,X,O,X,X,O,X
ISLOJZT,X,O,X,O,O,X
ISLOZTJ,X,O,X,X,O,X
ISLOZJT,X,O,X,O,O,X
ISJTLZO,X,O,X,O,O,O
ISJTLOZ,X,O,X,O,O,O
ISJTZLO,X,O,O,O,O,O
ISJTZOL,X,O,O,O,O,O
ISJTOLZ,X,O,X,O,O,O
ISJTOZL,X,O,O,O,O,O
ISJLTZO,X,O,X,X,O,O
ISJLTOZ,X,O,X,X,O,O
ISJLZTO,X,O,X,X,O,O
ISJLZOT,X,O,X,O,O,O
ISJLOTZ,X,O,X,X,O,O
ISJLOZT,X,O,X,O,O,O
ISJZTLO,X,O,X,X,O,O
ISJZTOL,X,O,X,O,O,O
ISJZLTO,X,O,X,X,O,O
ISJZLOT,X,O,X,O,O,O
ISJZOTL,X,O,X,O,O,O
ISJZOLT,X,O,X,O,O,O
ISJOTLZ,X,O,X,O,O,O
ISJOTZL,X,O,O,O,O,O
ISJOLTZ,X,O,X,X,O,O
ISJOLZT,X,O,X,O,O,O
ISJOZTL,X,O,X,O,O,O
ISJOZLT,X,O,X,O,O,O
ISZTLJO,X,X,X,O,O,X
ISZTLOJ,X,O,X,O,O,X
ISZTJLO,X,O,X,O,O,O
ISZTJOL,X,O,X,O,O,O
ISZTOLJ,X,O,X,O,O,X
ISZTOJL,X,O,X,O,O,O
ISZLTJO,X,X,X,X,O,X
ISZLTOJ,X,O,X,X,O,X
ISZLJTO,X,O,X,X,O,X
ISZLJOT,X,O,X,O,O,X
ISZLOTJ,X,O,X,X,O,X
ISZLOJT,X,O,X,O,O,X
ISZJTLO,X,O,X,X,O,O
ISZJTOL,X,O,X,O,O,O
ISZJLTO,X,O,X,X,O,O
ISZJLOT,X,O,X,O,O,O
ISZJOTL,X,O,X,O,O,O
ISZJOLT,X,O,X,O,O,O
ISZOTLJ,X,O,X,O,O,X
ISZOTJL,X,O,X,O,O,O
ISZOLTJ,X,O,X,X,O,X
ISZOLJT,X,O,X,O,O,X
ISZOJTL,X,O,X,O,O,O
ISZOJLT,X,O,X,O,O,O
ISOTLJZ,X,X,X,O,O,X
ISOTLZJ,X,O,X,O,O,X
ISOTJLZ,X,O,X,O,O,O
ISOTJZL,X,O,O,O,O,O
ISOTZLJ,X,O,O,O,O,X
ISOTZJL,X,O,O,O,O,O
ISOLTJZ,X,X,X,X,O,X
ISOLTZJ,X,O,X,X,O,X
ISOLJTZ,X,O,X,X,O,X
ISOLJZT,X,O,X,O,O,X
ISOLZTJ,X,O,X,X,O,X
ISOLZJT,X,O,X,O,O,X
ISOJTLZ,X,O,X,O,O,O
ISOJTZL,X,O,O,O,O,O
ISOJLTZ,X,O,X,X,O,O
ISOJLZT,X,O,X,O,O,O
ISOJZTL,X,O,X,O,O,O
ISOJZLT,X,O,X,O,O,O
ISOZTLJ,X,O,X,O,O,X
ISOZTJL,X,O,X,O,O,O
ISOZLTJ,X,O,X,X,O,X
ISOZLJT,X,O,X,O,O,X
ISOZJTL,X,O,X,O,O,O
ISOZJLT,X,O,X,O,O,O
IZTLJSO,O,X,O,X,X,O
IZTLJOS,O,X,O,O,X,O
IZTLSJO,O,X,O,X,O,X
IZTLSOJ,O,X,O,X,O,X
IZTLOJS,O,X,O,O,X,O
IZTLOSJ,O,X,O,X,O,X
IZTJLSO,O,X,O,X,X,O
IZTJLOS,O,O,O,O,X,O
IZTJSLO,X,O,O,X,O,O
IZTJSOL,X,O,O,O,O,O
IZTJOLS,O,O,O,O,X,O
IZTJOSL,X,O,O,O,O,O
IZTSLJO,O,X,O,O,O,X
IZTSLOJ,O,O,O,O,O,X
IZTSJLO,X,X,O,O,O,O
IZTSJOL,X,O,O,O,O,O
IZTSOLJ,O,O,O,O,O,X
IZTSOJL,X,O,O,O,O,O
IZTOLJS,O,X,O,O,X,O
IZTOLSJ,O,X,O,X,O,X
IZTOJLS,O,O,O,O,X,O
IZTOJSL,X,O,O,O,O,O
IZTOSLJ,O,O,O,O,O,X
IZTOSJL,X,O,O,O,O,O
IZLTJSO,O,X,X,X,X,O
IZLTJOS,O,X,X,X,X,O
IZLTSJO,O,X,X,X,O,X
IZLTSOJ,O,X,X,X,O,X
IZLTOJS,O,X,X,X,X,O
IZLTOSJ,O,X,X,X,O,X
IZLJTSO,X,X,X,X,X,O
IZLJTOS,X,X,X,X,X,O
IZLJSTO,X,X,X,X,X,O
IZLJSOT,O,X,X,X,X,O
IZLJOTS,X,X,X,X,X,O
IZLJOST,O,X,X,X,X,O
IZLSTJO,O,X,X,X,O,X
IZLSTOJ,O,X,X,X,O,X
IZLSJTO,X,X,X,X,O,X
IZLSJOT,O,X,X,X,O,X
IZLSOTJ,O,X,X,X,O,X
IZLSOJT,O,X,X,X,O,X
IZLOTJS,O,X,X,X,X,O
IZLOTSJ,O,X,X,X,O,X
IZLOJTS,X,X,X,X,X,O
IZLOJST,O,X,X,X,X,O
IZLOSTJ,O,X,X,X,O,X
IZLOSJT,O,X,X,X,O,X
IZJTLSO,O,X,O,X,X,O
IZJTLOS,O,O,O,X,X,O
IZJTSLO,X,O,O,X,O,O
IZJTSOL,X,O,O,X,O,O
IZJTOLS,O,O,O,X,X,O
IZJTOSL,X,O,O,X,O,O
IZJLTSO,X,X,X,X,X,O
IZJLTOS,X,O,X,X,X,O
IZJLSTO,X,X,X,X,X,O
IZJLSOT,O,X,X,X,X,O
IZJLOTS,X,O,X,X,X,O
IZJLOST,O,X,X,X,X,O
IZJSTLO,X,O,O,X,O,O
IZJSTOL,X,O,O,X,O,O
IZJSLTO,X,O,X,X,O,O
IZJSLOT,X,O,X,X,O,O
IZJSOTL,X,O,O,X,O,O
IZJSOLT,X,O,X,X,O,O
IZJOTLS,O,O,O,X,X,O
IZJOTSL,X,O,O,X,O,O
IZJOLTS,X,O,X,X,X,O
IZJOLST,O,X,X,X,X,O
IZJOSTL,X,O,O,X,O,O
IZJOSLT,X,O,X,X,O,O
IZSTLJO,O,X,O,O,O,X
IZSTLOJ,O,O,O,O,O,X
IZSTJLO,X,O,O,O,O,O
IZSTJOL,X,O,O,O,O,O
IZSTOLJ,O,O,O,O,O,X
IZSTOJL,X,O,O,O,O,O
IZSLTJO,X,X,X,X,O,X
IZSLTOJ,O,O,X,X,O,X
IZSLJTO,X,O,X,X,O,X
IZSLJOT,O,O,X,O,O,X
IZSLOTJ,O,O,X,X,O,X
IZSLOJT,O,O,X,O,O,X
IZSJTLO,X,O,O,X,O,O
IZSJTOL,X,O,O,O,O,O
IZSJLTO,X,O,X,X,O,O
IZSJLOT,X,O,X,O,O,O
IZSJOTL,X,O,O,O,O,O
IZSJOLT,X,O,X,O,O,O
IZSOTLJ,O,O,O,O,O,X
IZSOTJL,X,O,O,O,O,O
IZSOLTJ,O,O,X,X,O,X
IZSOLJT,O,O,X,O,O,X
IZSOJTL,X,O,O,O,O,O
IZSOJLT,X,O,X,O,O,O
IZOTLJS,O,X,O,O,X,O
IZOTLSJ,O,X,O,X,O,X
IZOTJLS,O,O,O,O,X,O
IZOTJSL,X,O,O,O,O,O
IZOTSLJ,O,O,O,O,O,X
IZOTSJL,X,O,O,O,O,O
IZOLTJS,O,X,X,X,X,O
IZOLTSJ,O,X,X,X,O,X
IZOLJTS,X,X,X,X,X,O
IZOLJST,O,X,X,X,X,O
IZOLSTJ,O,X,X,X,O,X
IZOLSJT,O,X,X,X,O,X
IZOJTLS,O,O,O,X,X,O
IZOJTSL,X,O,O,X,O,O
IZOJLTS,X,O,X,X,X,O
IZOJLST,O,X,X,X,X,O
IZOJSTL,X,O,O,X,O,O
IZOJSLT,X,O,X,X,O,O
IZOSTLJ,O,O,O,O,O,X
IZOSTJL,X,O,O,O,O,O
IZOSLTJ,O,O,X,X,O,X
IZOSLJT,O,O,X,O,O,X
IZOSJTL,X,O,O,O,O,O
IZOSJLT,X,O,X,O,O,O
IOTLJSZ,O,X,X,X,X,O
IOTLJZS,O,X,O,O,X,O
IOTLSJZ,O,X,X,X,O,X
IOTLSZJ,O,X,X,X,O,X
IOTLZJS,O,X,O,O,X,O
IOTLZSJ,O,X,O,X,O,X
IOTJLSZ,O,X,X,X,X,O
IOTJLZS,O,X,O,O,X,O
IOTJSLZ,X,X,X,X,O,O
IOTJSZL,X,X,O,O,O,O
IOTJZLS,O,X,O,O,X,O
IOTJZSL,X,X,O,O,O,O
IOTSLJZ,O,X,X,O,O,X
IOTSLZJ,O,X,X,O,O,X
IOTSJLZ,X,X,X,O,O,O
IOTSJZL,X,X,O,O,O,O
IOTSZLJ,O,X,O,O,O,X
IOTSZJL,X,X,O,O,O,O
IOTZLJS,O,X,O,O,X,O
IOTZLSJ,O,X,O,X,O,X
IOTZJLS,O,X,O,O,X,O
IOTZJSL,X,X,O,O,O,O
IOTZSLJ,O,X,O,O,O,X
IOTZSJL,X,X,O,O,O,O
IOLTJSZ,O,X,X,X,X,O
IOLTJZS,O,X,O,X,X,O
