sequence,v115@QhA8HeE8AeF8JeUBJvhFFiBXjBTkB6qBmpBxwB,v115@QhA8HeE8AeF8Je1FJvhF0hBxiBTkB3nBmkBCrB,v115@QhA8HeE8AeF8Je3AJvhFqmBxiBTkB8qBlsBmpB,v115@QhA8HeE8AeF8JeOEJvhFXgBzhBFjBSsBRqB8qB,v115@QhA8HeE8AeF8JeOEJvhFxhBXjBzkBVrBUnB6qB,v115@QhA8HeE8AeF8JexCJvhFTkB0lBlmB3nBmkBCrB,v115@QhA8HeE8AeF8Jex/IvhFqmB/nBFjBTkB2qB8qB,v115@QhA8HeE8AeF8JeT/IvhFXjBmlBUnBCnBxpBlqB,v115@QhA8HeE8AeF8JeFCJvhFXjBxkB8qBWxBTpBiqB,v115@QhA8HeE8AeF8JeUBJvhFFjBxkBTnBikB3mBGqB
TSOJILZ,O,X,X,X,X,X,O,X,X,X
TSOJIZL,X,X,X,X,O,O,X,X,X,O
TSOJLIZ,X,X,X,X,X,X,O,X,X,X
TSOJLZI,O,X,X,X,O,X,O,X,X,X
TSOJZIL,X,X,X,X,O,O,X,X,O,X
TSOJZLI,X,X,X,X,O,O,O,X,X,X
TSOZILJ,O,X,O,X,O,O,X,X,X,X
TSOZIJL,X,X,X,X,O,O,X,X,X,X
TSOZLIJ,O,X,O,X,O,O,X,X,X,X
TSOZLJI,O,X,O,X,O,O,O,X,X,X
TSOZJIL,X,X,X,X,O,O,X,X,X,X
TSOZJLI,X,X,X,X,O,O,O,X,X,X
TZILJSO,X,X,O,O,X,X,X,X,X,X
TZILJOS,X,X,O,O,X,X,X,X,X,X
TZILSJO,X,X,O,X,X,X,X,X,X,X
TZILSOJ,X,X,O,X,O,X,X,X,X,X
TZILOJS,X,X,O,O,O,X,X,X,X,X
TZILOSJ,X,X,O,X,O,X,X,X,X,X
TZIJLSO,X,X,O,O,X,X,X,X,O,X
TZIJLOS,X,X,O,O,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X,O,X
TZIJSOL,X,X,X,X,O,X,X,O,O,X
TZIJOLS,X,X,O,X,O,X,X,X,X,X
TZIJOSL,X,X,X,X,O,X,X,O,O,X
TZISLJO,X,X,O,X,X,X,X,X,X,X
TZISLOJ,X,X,O,X,O,O,X,X,X,X
TZISJLO,X,X,X,X,X,X,X,X,O,X
TZISJOL,X,X,X,X,O,O,X,O,O,X
TZISOLJ,X,X,O,X,O,O,X,X,X,X
TZISOJL,X,X,X,X,O,O,X,O,X,X
TZIOLJS,X,X,O,X,O,X,X,X,X,X
TZIOLSJ,X,X,O,X,O,X,X,X,X,X
TZIOJLS,X,X,O,X,O,X,X,X,X,X
TZIOJSL,X,X,X,X,O,X,X,O,X,X
TZIOSLJ,X,X,O,X,O,O,X,X,X,X
TZIOSJL,X,X,X,X,O,O,X,O,X,X
TZLIJSO,X,X,O,O,X,X,X,X,X,X
TZLIJOS,X,X,O,O,X,X,X,X,X,X
TZLISJO,X,X,O,X,X,X,X,X,X,X
TZLISOJ,X,X,O,X,O,X,X,X,X,X
TZLIOJS,X,X,O,O,O,X,X,X,X,X
TZLIOSJ,X,X,O,X,O,X,X,X,X,X
TZLJISO,X,X,O,O,X,X,X,X,X,X
TZLJIOS,X,X,O,O,X,X,X,X,X,X
TZLJSIO,X,X,O,X,X,X,X,X,X,X
TZLJSOI,X,X,O,X,X,X,X,X,X,X
TZLJOIS,X,X,O,O,X,X,X,X,X,X
TZLJOSI,X,X,O,X,X,X,X,X,X,X
TZLSIJO,X,X,O,X,X,X,X,X,X,X
TZLSIOJ,X,X,O,X,O,O,X,X,X,X
TZLSJIO,X,X,O,X,X,X,X,X,X,X
TZLSJOI,X,X,O,X,X,X,X,X,X,X
TZLSOIJ,X,X,O,X,O,O,X,X,X,X
TZLSOJI,X,X,O,X,O,O,X,X,X,X
TZLOIJS,X,X,O,O,O,X,X,X,X,X
TZLOISJ,X,X,O,X,O,X,X,X,X,X
TZLOJIS,X,X,O,O,O,X,X,X,X,X
TZLOJSI,X,X,O,X,O,X,X,X,X,X
TZLOSIJ,X,X,O,X,O,O,X,X,X,X
TZLOSJI,X,X,O,X,O,O,X,X,X,X
TZJILSO,X,X,O,O,X,X,X,X,O,X
TZJILOS,X,X,O,O,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X,X,X,O,X
TZJISOL,X,X,X,X,O,X,X,O,O,X
TZJIOLS,X,X,O,X,O,X,X,X,X,O
TZJIOSL,X,X,X,X,O,X,X,O,O,O
TZJLISO,X,X,O,O,X,X,X,X,O,X
TZJLIOS,X,X,O,O,X,X,X,X,X,X
TZJLSIO,X,X,O,X,X,X,X,X,O,X
TZJLSOI,X,X,O,X,X,X,X,X,X,X
TZJLOIS,X,X,O,O,X,X,X,X,X,X
TZJLOSI,X,X,O,X,X,X,X,X,X,X
TZJSILO,X,X,X,X,X,X,X,X,O,X
TZJSIOL,X,X,X,X,O,O,X,O,O,X
TZJSLIO,X,X,X,X,X,X,X,X,O,X
TZJSLOI,X,X,X,X,X,X,O,X,X,X
TZJSOIL,X,X,X,X,O,O,X,X,O,X
TZJSOLI,X,X,X,X,O,O,O,X,X,X
TZJOILS,X,X,O,X,O,X,X,X,X,O
TZJOISL,X,X,X,X,O,X,X,X,O,O
TZJOLIS,X,X,O,X,O,X,X,X,X,X
TZJOLSI,X,X,O,X,O,X,X,X,X,X
TZJOSIL,X,X,X,X,O,O,X,X,O,X
TZJOSLI,X,X,X,X,O,O,O,X,X,X
TZSILJO,X,X,O,X,X,X,X,X,X,X
TZSILOJ,X,X,O,X,O,O,X,X,X,X
TZSIJLO,X,X,X,X,X,X,X,X,O,X
TZSIJOL,X,X,X,X,O,O,X,O,O,X
TZSIOLJ,X,X,O,X,O,O,X,X,X,X
TZSIOJL,X,X,X,X,O,O,X,O,X,X
TZSLIJO,X,X,O,X,X,X,X,X,X,X
TZSLIOJ,X,X,O,X,O,O,X,X,X,X
TZSLJIO,X,X,O,X,X,X,X,X,X,X
TZSLJOI,X,X,O,X,X,X,O,X,X,X
TZSLOIJ,X,X,O,X,O,O,X,X,X,X
TZSLOJI,X,X,O,X,O,O,O,X,X,X
TZSJILO,X,X,X,X,X,X,X,X,O,X
TZSJIOL,X,X,X,X,O,O,X,O,O,X
TZSJLIO,X,X,X,X,X,X,X,X,O,X
TZSJLOI,X,X,X,X,X,X,O,X,X,X
TZSJOIL,X,X,X,X,O,O,X,X,O,X
TZSJOLI,X,X,X,X,O,O,O,X,X,X
TZSOILJ,X,X,O,X,O,O,X,X,X,X
TZSOIJL,X,X,X,X,O,O,X,X,X,X
TZSOLIJ,X,X,O,X,O,O,X,X,X,X
TZSOLJI,X,X,O,X,O,O,O,X,X,X
TZSOJIL,X,X,X,X,O,O,X,X,X,X
TZSOJLI,X,X,X,X,O,O,O,X,X,X
TZOILJS,X,X,O,X,O,X,X,X,X,X
TZOILSJ,X,X,O,X,O,X,X,X,X,X
TZOIJLS,X,X,O,X,O,X,X,X,X,X
TZOIJSL,X,X,X,X,O,X,X,X,X,X
TZOISLJ,X,X,O,X,O,O,X,X,X,X
TZOISJL,X,X,X,X,O,O,X,X,X,X
TZOLIJS,X,X,O,X,O,X,X,X,X,X
TZOLISJ,X,X,O,X,O,X,X,X,X,X
TZOLJIS,X,X,O,X,O,X,X,X,X,X
TZOLJSI,X,X,O,X,O,X,X,X,X,X
TZOLSIJ,X,X,O,X,O,O,X,X,X,X
TZOLSJI,X,X,O,X,O,O,X,X,X,X
TZOJILS,X,X,O,X,O,X,X,X,X,O
TZOJISL,X,X,X,X,O,X,X,X,X,O
TZOJLIS,X,X,O,X,O,X,X,X,X,X
TZOJLSI,X,X,O,X,O,X,X,X,X,X
TZOJSIL,X,X,X,X,O,O,X,X,X,X
TZOJSLI,X,X,X,X,O,O,O,X,X,X
TZOSILJ,X,X,O,X,O,O,X,X,X,X
TZOSIJL,X,X,X,X,O,O,X,X,X,X
TZOSLIJ,X,X,O,X,O,O,X,X,X,X
TZOSLJI,X,X,O,X,O,O,O,X,X,X
TZOSJIL,X,X,X,X,O,O,X,X,X,X
TZOSJLI,X,X,X,X,O,O,O,X,X,X
TOILJSZ,O,X,X,O,X,X,X,X,X,X
TOILJZS,O,X,O,O,X,X,X,X,X,X
TOILSJZ,O,X,X,O,X,X,X,X,X,X
TOILSZJ,O,X,O,X,X,X,X,X,X,X
TOILZJS,O,X,O,O,X,X,X,X,X,X
TOILZSJ,O,X,O,X,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,X,X,X,X
TOIJLZS,O,X,O,O,X,X,X,X,X,O
TOIJSLZ,O,X,X,X,X,X,O,X,X,X
TOIJSZL,X,X,X,X,O,X,X,X,X,O
TOIJZLS,X,X,O,X,O,X,X,X,X,O
TOIJZSL,X,X,X,X,O,X,X,X,X,O
TOISLJZ,O,O,X,X,X,X,O,X,X,X
TOISLZJ,O,O,O,X,X,O,X,X,X,X
TOISJLZ,O,X,X,X,X,X,O,X,X,X
TOISJZL,X,X,X,X,O,O,X,X,X,X
TOISZLJ,O,X,O,X,O,O,X,X,X,X
TOISZJL,X,X,X,X,O,O,X,X,X,X
TOIZLJS,O,X,O,X,O,X,X,X,X,X
TOIZLSJ,O,X,O,X,O,X,X,X,X,X
TOIZJLS,X,X,O,X,O,X,X,X,X,X
TOIZJSL,X,X,X,X,O,X,X,X,X,X
TOIZSLJ,O,X,O,X,O,O,X,X,X,X
TOIZSJL,X,X,X,X,O,O,X,X,X,X
TOLIJSZ,O,X,X,O,X,X,X,X,X,X
TOLIJZS,O,X,O,O,X,X,X,X,X,X
TOLISJZ,O,O,X,O,X,X,X,X,X,X
TOLISZJ,O,O,O,X,X,X,X,X,X,X
TOLIZJS,O,X,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,X,X,X,X
TOLJISZ,X,X,X,O,X,X,X,X,X,X
TOLJIZS,X,X,O,O,X,X,X,X,X,O
TOLJSIZ,X,O,X,O,X,X,O,X,X,X
TOLJSZI,X,O,X,X,O,X,O,X,X,X
TOLJZIS,X,X,O,O,O,X,X,X,X,X
TOLJZSI,X,O,O,X,O,X,X,X,X,X
TOLSIJZ,X,O,X,O,X,X,O,X,X,X
TOLSIZJ,O,O,O,X,X,O,X,X,X,X
TOLSJIZ,X,O,X,O,X,X,O,X,X,X
TOLSJZI,O,O,X,X,O,X,O,X,X,X
TOLSZIJ,O,O,O,X,O,O,X,X,X,X
TOLSZJI,O,O,O,X,O,O,O,X,X,X
TOLZIJS,O,X,O,O,O,X,X,X,X,X
TOLZISJ,O,O,O,X,O,X,X,X,X,X
TOLZJIS,X,X,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,X,O,X,X,X,X,X
TOLZSIJ,O,O,O,X,O,O,X,X,X,X
TOLZSJI,O,O,O,X,O,O,X,X,X,X
TOJILSZ,X,X,X,O,X,X,X,X,X,X
TOJILZS,X,X,O,O,X,X,X,X,X,O
TOJISLZ,X,X,X,X,X,X,O,X,X,X
TOJISZL,X,X,X,X,O,X,X,X,X,O
TOJIZLS,X,X,O,X,O,X,X,X,X,O
TOJIZSL,X,X,X,X,O,X,X,X,X,O
TOJLISZ,X,X,X,O,X,X,X,X,X,X
TOJLIZS,X,X,O,O,X,X,X,X,X,O
TOJLSIZ,X,X,X,O,X,X,O,X,X,X
TOJLSZI,X,X,X,X,O,X,O,X,X,X
TOJLZIS,X,X,O,O,O,X,X,X,X,X
TOJLZSI,X,X,O,X,O,X,X,X,X,X
TOJSILZ,X,X,X,X,X,X,O,X,X,X
TOJSIZL,X,X,X,X,O,O,X,X,X,O
TOJSLIZ,X,X,X,X,X,X,O,X,X,X
TOJSLZI,X,X,X,X,O,X,O,X,X,X
TOJSZIL,X,X,X,X,O,O,X,X,X,X
TOJSZLI,X,X,X,X,O,O,O,X,X,X
TOJZILS,X,X,O,X,O,X,X,X,X,O
TOJZISL,X,X,X,X,O,X,X,X,X,O
TOJZLIS,X,X,O,X,O,X,X,X,X,X
TOJZLSI,X,X,O,X,O,X,X,X,X,X
TOJZSIL,X,X,X,X,O,O,X,X,X,X
TOJZSLI,X,X,X,X,O,O,O,X,X,X
TOSILJZ,O,O,X,X,X,X,O,X,X,X
TOSILZJ,O,O,O,X,X,O,X,X,X,X
TOSIJLZ,O,X,X,X,X,X,O,X,X,X
TOSIJZL,X,X,X,X,O,O,X,X,X,X
TOSIZLJ,O,X,O,X,O,O,X,X,X,X
TOSIZJL,X,X,X,X,O,O,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,O,X,X,X
TOSLIZJ,O,O,O,X,X,O,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,O,X,X,X
TOSLJZI,O,O,X,X,O,X,O,X,X,X
TOSLZIJ,O,O,O,X,O,O,X,X,X,X
TOSLZJI,O,O,O,X,O,O,O,X,X,X
TOSJILZ,O,X,X,X,X,X,O,X,X,X
TOSJIZL,X,X,X,X,O,O,X,X,X,O
TOSJLIZ,X,X,X,X,X,X,O,X,X,X
TOSJLZI,O,X,X,X,O,X,O,X,X,X
TOSJZIL,X,X,X,X,O,O,X,X,X,X
TOSJZLI,X,X,X,X,O,O,O,X,X,X
TOSZILJ,O,X,O,X,O,O,X,X,X,X
TOSZIJL,X,X,X,X,O,O,X,X,X,X
TOSZLIJ,O,X,O,X,O,O,X,X,X,X
TOSZLJI,O,X,O,X,O,O,O,X,X,X
TOSZJIL,X,X,X,X,O,O,X,X,X,X
TOSZJLI,X,X,X,X,O,O,O,X,X,X
TOZILJS,X,X,O,X,O,X,X,X,X,X
TOZILSJ,X,X,O,X,O,X,X,X,X,X
TOZIJLS,X,X,O,X,O,X,X,X,X,X
TOZIJSL,X,X,X,X,O,X,X,X,X,X
TOZISLJ,X,X,O,X,O,O,X,X,X,X
TOZISJL,X,X,X,X,O,O,X,X,X,X
TOZLIJS,X,X,O,X,O,X,X,X,X,X
TOZLISJ,X,X,O,X,O,X,X,X,X,X
TOZLJIS,X,X,O,X,O,X,X,X,X,X
TOZLJSI,X,X,O,X,O,X,X,X,X,X
TOZLSIJ,X,X,O,X,O,O,X,X,X,X
TOZLSJI,X,X,O,X,O,O,X,X,X,X
TOZJILS,X,X,O,X,O,X,X,X,X,O
TOZJISL,X,X,X,X,O,X,X,X,X,O
TOZJLIS,X,X,O,X,O,X,X,X,X,X
TOZJLSI,X,X,O,X,O,X,X,X,X,X
TOZJSIL,X,X,X,X,O,O,X,X,X,X
TOZJSLI,X,X,X,X,O,O,O,X,X,X
TOZSILJ,X,X,O,X,O,O,X,X,X,X
TOZSIJL,X,X,X,X,O,O,X,X,X,X
TOZSLIJ,X,X,O,X,O,O,X,X,X,X
TOZSLJI,X,X,O,X,O,O,O,X,X,X
TOZSJIL,X,X,X,X,O,O,X,X,X,X
TOZSJLI,X,X,X,X,O,O,O,X,X,X
ITLJSZO,O,X,X,O,X,X,X,X,X,X
ITLJSOZ,O,X,X,O,X,X,X,X,X,X
ITLJZSO,O,X,O,O,X,X,X,X,X,X
ITLJZOS,O,X,O,O,X,X,X,X,X,X
ITLJOSZ,O,X,X,O,X,X,X,X,X,X
ITLJOZS,O,X,O,O,X,X,X,X,X,X
ITLSJZO,O,X,X,O,X,X,X,X,X,X
ITLSJOZ,O,X,X,O,X,X,X,X,X,X
ITLSZJO,O,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,X,O,X,X,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X,X,X,X
ITLZJSO,O,X,O,O,X,X,X,X,X,X
ITLZJOS,O,X,O,O,X,X,X,X,X,X
ITLZSJO,O,X,O,X,X,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,X,X,X,X,X
ITLZOJS,O,X,O,O,X,X,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X,X,X,X
ITLOJSZ,O,X,X,O,X,X,X,X,X,X
ITLOJZS,O,X,O,O,X,X,X,X,X,X
ITLOSJZ,O,X,X,O,X,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,X,X,X,X
ITLOZJS,O,X,O,O,X,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,X,X,X
ITJLSZO,O,X,X,O,X,X,X,X,X,X
ITJLSOZ,O,X,X,O,X,X,X,X,X,X
ITJLZSO,O,X,O,O,X,X,X,X,X,X
ITJLZOS,O,X,O,O,X,X,X,X,X,X
ITJLOSZ,O,X,X,O,X,X,X,X,X,X
ITJLOZS,O,X,O,O,X,X,X,X,X,O
ITJSLZO,O,X,X,O,X,X,X,X,X,X
ITJSLOZ,O,X,X,O,X,X,O,X,X,X
ITJSZLO,O,X,X,X,X,X,X,X,X,X
ITJSZOL,X,X,X,X,X,X,X,O,X,X
ITJSOLZ,O,X,X,X,X,X,O,X,X,X
ITJSOZL,X,X,X,X,X,X,X,O,X,O
ITJZLSO,O,X,O,O,X,X,X,X,X,X
ITJZLOS,O,X,O,O,X,X,X,X,X,X
ITJZSLO,O,X,X,X,X,X,X,X,X,X
ITJZSOL,X,X,X,X,X,X,X,O,X,X
ITJZOLS,X,X,O,X,X,X,X,X,X,O
ITJZOSL,X,X,X,X,X,X,X,O,X,O
ITJOLSZ,O,X,X,O,X,X,X,X,X,X
ITJOLZS,O,X,O,O,X,X,X,X,X,O
ITJOSLZ,O,X,X,X,X,X,O,X,X,X
ITJOSZL,X,X,X,X,X,X,X,O,X,O
ITJOZLS,X,X,O,X,X,X,X,X,X,O
ITJOZSL,X,X,X,X,X,X,X,O,X,O
ITSLJZO,O,O,X,O,X,X,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,O,X,X,X
ITSLZJO,O,O,O,X,X,X,X,X,X,X
ITSLZOJ,O,O,O,X,X,O,X,X,X,X
ITSLOJZ,O,O,X,O,X,X,O,X,X,X
ITSLOZJ,O,O,O,X,X,O,X,X,X,X
ITSJLZO,O,X,X,O,X,X,X,X,X,X
ITSJLOZ,O,X,X,O,X,X,O,X,X,X
ITSJZLO,O,X,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,X,X,O,X,O,X,X
ITSJOLZ,O,X,X,X,X,X,O,X,X,X
ITSJOZL,X,X,X,X,X,O,X,O,X,X
ITSZLJO,O,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,X,O,O,X,X,X,X
ITSZJLO,O,X,X,X,X,X,X,X,X,X
ITSZJOL,X,X,X,X,O,O,X,O,X,X
ITSZOLJ,O,X,O,X,O,O,X,X,X,X
ITSZOJL,X,X,X,X,O,O,X,O,X,X
ITSOLJZ,O,O,X,X,X,X,O,X,X,X
ITSOLZJ,O,O,O,X,X,O,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,O,X,X,X
ITSOJZL,X,X,X,X,O,O,X,O,X,X
ITSOZLJ,O,X,O,X,O,O,X,X,X,X
ITSOZJL,X,X,X,X,O,O,X,O,X,X
ITZLJSO,O,X,O,O,X,X,X,X,X,X
ITZLJOS,O,X,O,O,X,X,X,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,O,X,X,X,X,X
ITZLOJS,O,X,O,O,O,X,X,X,X,X
ITZLOSJ,O,X,O,X,O,X,X,X,X,X
ITZJLSO,O,X,O,O,X,X,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X,X,X
ITZJSLO,O,X,X,X,X,X,X,X,X,X
ITZJSOL,X,X,X,X,O,X,X,O,X,X
ITZJOLS,X,X,O,X,O,X,X,X,X,X
ITZJOSL,X,X,X,X,O,X,X,O,X,X
ITZSLJO,O,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,X,O,O,X,X,X,X
ITZSJLO,O,X,X,X,X,X,X,X,X,X
ITZSJOL,X,X,X,X,O,O,X,O,X,X
ITZSOLJ,O,X,O,X,O,O,X,X,X,X
ITZSOJL,X,X,X,X,O,O,X,O,X,X
ITZOLJS,O,X,O,X,O,X,X,X,X,X
ITZOLSJ,O,X,O,X,O,X,X,X,X,X
ITZOJLS,X,X,O,X,O,X,X,X,X,X
ITZOJSL,X,X,X,X,O,X,X,O,X,X
ITZOSLJ,O,X,O,X,O,O,X,X,X,X
ITZOSJL,X,X,X,X,O,O,X,O,X,X
ITOLJSZ,O,X,X,O,X,X,X,X,X,X
ITOLJZS,O,X,O,O,X,X,X,X,X,X
ITOLSJZ,O,X,X,O,X,X,X,X,X,X
ITOLSZJ,O,X,O,X,X,X,X,X,X,X
ITOLZJS,O,X,O,O,X,X,X,X,X,X
ITOLZSJ,O,X,O,X,X,X,X,X,X,X
ITOJLSZ,O,X,X,O,X,X,X,X,X,X
ITOJLZS,O,X,O,O,X,X,X,X,X,O
ITOJSLZ,O,X,X,X,X,X,O,X,X,X
ITOJSZL,X,X,X,X,O,X,X,O,X,O
ITOJZLS,X,X,O,X,O,X,X,X,X,O
ITOJZSL,X,X,X,X,O,X,X,O,X,O
ITOSLJZ,O,O,X,X,X,X,O,X,X,X
ITOSLZJ,O,O,O,X,X,O,X,X,X,X
ITOSJLZ,O,X,X,X,X,X,O,X,X,X
ITOSJZL,X,X,X,X,O,O,X,O,X,X
ITOSZLJ,O,X,O,X,O,O,X,X,X,X
ITOSZJL,X,X,X,X,O,O,X,O,X,X
ITOZLJS,O,X,O,X,O,X,X,X,X,X
ITOZLSJ,O,X,O,X,O,X,X,X,X,X
ITOZJLS,X,X,O,X,O,X,X,X,X,X
ITOZJSL,X,X,X,X,O,X,X,O,X,X
ITOZSLJ,O,X,O,X,O,O,X,X,X,X
ITOZSJL,X,X,X,X,O,O,X,O,X,X
ILTJSZO,O,X,X,O,X,X,X,X,X,X
ILTJSOZ,O,X,X,O,X,X,X,X,X,X
ILTJZSO,O,X,O,O,X,X,X,X,X,X
ILTJZOS,O,X,O,O,X,X,X,X,X,X
ILTJOSZ,O,X,X,O,X,X,X,X,X,X
ILTJOZS,O,X,O,O,X,X,X,X,X,X
ILTSJZO,O,O,X,O,X,X,X,X,X,X
ILTSJOZ,O,O,X,O,X,X,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,O,X,X,X,X,X,X
ILTSOZJ,O,O,O,X,X,X,X,X,X,X
ILTZJSO,O,X,O,O,X,X,X,X,X,X
ILTZJOS,O,X,O,O,X,X,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X,X,X,X
ILTZOJS,O,X,O,O,X,X,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,X,X,X,X
ILTOJSZ,O,X,X,O,X,X,X,X,X,X
ILTOJZS,O,X,O,O,X,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,X,X,X
ILTOZJS,O,X,O,O,X,X,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X,X,X,X
ILJTSZO,O,X,X,O,X,X,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,X,X,X
ILJTOSZ,O,X,X,O,X,X,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,O,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,O,X,X
ILJSOTZ,O,X,X,O,X,X,O,X,X,X
ILJSOZT,O,X,X,O,X,X,O,O,X,X
ILJZTSO,O,X,X,O,X,X,X,X,X,X
ILJZTOS,O,X,X,O,X,X,X,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,O,X,X
ILJZOTS,O,X,X,O,X,X,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,O,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X,X
ILJOTZS,O,X,X,O,X,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,O,X,X,X
ILJOSZT,O,X,X,O,X,X,O,O,X,X
ILJOZTS,O,X,X,O,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,O,X,X
ILSTJZO,O,O,X,O,X,X,X,X,X,X
ILSTJOZ,O,O,X,O,X,X,O,X,X,X
ILSTZJO,O,O,X,X,X,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,O,X,X,X,X
ILSTOJZ,O,O,X,O,X,X,O,X,X,X
ILSTOZJ,O,O,X,X,X,O,X,X,X,X
ILSJTZO,O,O,X,O,X,X,X,X,X,X
ILSJTOZ,O,O,X,O,X,X,O,X,X,X
ILSJZTO,O,O,X,O,X,X,X,X,X,X
ILSJZOT,O,O,X,O,X,X,X,O,X,X
ILSJOTZ,O,O,X,O,X,X,O,X,X,X
ILSJOZT,O,O,X,O,X,X,O,O,X,X
ILSZTJO,O,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,X,O,X,X
ILSZOTJ,O,O,X,X,X,O,X,X,X,X
ILSZOJT,O,O,X,X,X,X,X,O,X,X
ILSOTJZ,O,O,X,O,X,X,O,X,X,X
ILSOTZJ,O,O,X,X,X,O,X,X,X,X
ILSOJTZ,O,O,X,O,X,X,O,X,X,X
ILSOJZT,O,O,X,O,X,X,O,O,X,X
ILSOZTJ,O,O,X,X,X,O,X,X,X,X
ILSOZJT,O,O,X,X,X,X,X,O,X,X
ILZTJSO,O,X,O,O,X,X,X,X,X,X
ILZTJOS,O,X,O,O,X,X,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X,X,X,X
ILZTOJS,O,X,O,O,X,X,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,X,X,X,X
ILZJTSO,O,X,X,O,X,X,X,X,X,X
ILZJTOS,O,X,X,O,X,X,X,X,X,X
ILZJSTO,O,X,X,O,X,X,X,X,X,X
ILZJSOT,O,X,X,O,X,X,X,O,X,X
ILZJOTS,O,X,X,O,X,X,X,X,X,X
ILZJOST,O,X,X,O,X,X,X,O,X,X
ILZSTJO,O,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,O,X,X,O,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,X,O,X,X
ILZSOTJ,O,O,O,X,X,O,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,O,X,X
ILZOTJS,O,X,O,O,X,X,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X,X,X,X
ILZOJTS,O,X,X,O,X,X,X,X,X,X
ILZOJST,O,X,X,O,X,X,X,O,X,X
ILZOSTJ,O,O,O,X,X,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,O,X,X
ILOTJSZ,O,X,X,O,X,X,X,X,X,X
ILOTJZS,O,X,O,O,X,X,X,X,X,X
ILOTSJZ,O,O,X,O,X,X,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,X,X,X
ILOTZJS,O,X,O,O,X,X,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X,X,X,X
ILOJTSZ,O,X,X,O,X,X,X,X,X,X
ILOJTZS,O,X,X,O,X,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,O,X,X,X
ILOJSZT,O,X,X,O,X,X,O,O,X,X
ILOJZTS,O,X,X,O,X,X,X,X,X,X
ILOJZST,O,X,X,O,X,X,X,O,X,X
ILOSTJZ,O,O,X,O,X,X,O,X,X,X
