sequence,v115@AhA8IeE8EeB8HeC8CeA8Je/EJvhFalBxhBTjB2uBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Jem/IvhFxhBTjBKpBfqBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Je2EJvhFxhBTjB3kByuBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBTjB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBcpBeqBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBmpBUsBFt?B3pB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBTjByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBikB3pBUsBFt?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBToB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFOpBToB6pBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhF6pBToBOpBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBToByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexCJvhFikBToB0mB3pB1x?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBmkB0pBFsBXt?BipB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFTjB6pBOpBlmBcs?BXtB
IZTJSLO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZTJSOL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZTJOLS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZTJOSL,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZTSLJO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
IZTSLOJ,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
IZTSJLO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZTSJOL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZTSOLJ,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
IZTSOJL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZTOLJS,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
IZTOJLS,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZTOJSL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZTOSLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTJSO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
IZLTJOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLTSJO,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
IZLTSOJ,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
IZLTOJS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLTOSJ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZLJTSO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
IZLJTOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLJSTO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLJSOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
IZLJOST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZLSTOJ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZLSJTO,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
IZLSJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
IZLSOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZLOTJS,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IZLOTSJ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IZLOJTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IZLOJST,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOSJT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZJTLSO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
IZJTLOS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZJTSLO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZJTSOL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZJTOLS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZJTOSL,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZJLTSO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
IZJLTOS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
IZJLSTO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJLOTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZJSTOL,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZJSLTO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZJSLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJSOLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJOTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,O,X
IZJOLTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IZJOLST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZJOSTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZJOSLT,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSTLOJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSTJLO,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSTJOL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSTOLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZSTOJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZSLTJO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSLJTO,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O
IZSLOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZSJTLO,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZSJTOL,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
IZSJLTO,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSJOLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IZSOLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZSOJTL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZSOJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOTSLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZOTSJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZOLTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IZOLJST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJTSL,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IZOJLTS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
IOTLSJZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOTLZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOTLZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOTJLSZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTJSLZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
IOTJSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTJZLS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOTSLJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
IOTSJLZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
IOTSJZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
IOTSZJL,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
IOTZLJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
IOTZLSJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTZJLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
IOLTSJZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOLTZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOLTZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLJZTS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLSTZJ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLSJTZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLSJZT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLSZTJ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLSZJT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IOLZTJS,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOLZTSJ,X,O,O,X,X,X,O,X,X,X,O,O,X,X,X
IOLZJTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
IOLZJST,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLZSJT,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
IOJTSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJTZLS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
IOJTZSL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOJLSZT,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOJLZTS,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJSTLZ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSTZL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJSLZT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJSZTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOJZTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOJZLTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
IOJZLST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZSTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSTJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOSLTZJ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSLJTZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O
IOSLJZT,X,X,X,O,O,X,O,X,X,X,O,X,X,X,O
IOSLZTJ,X,X,X,X,X,X,O,O,X,X,O,X,X,X,O
IOSLZJT,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O
IOSJTLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IOSJLZT,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O
IOSJZTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
IOSJZLT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
IOSZLJT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSZJTL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZTSLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IOZTSJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IOZLTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOZLJST,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSJT,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJTSL,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X
IOZJLTS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSLT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTIJZSO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
LTIJZOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
LTIJOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTISJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTISZOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTISOJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
LTISOZJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O
LTIZJSO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTIZJOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTIZSJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTIZSOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTIZOJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTIZOSJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTIOJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
LTIOSJZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
LTIOZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
LTIOZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
LTJISZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJIZSO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
LTJIZOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
LTJIOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJSIZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJSZIO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJSZOI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJSOZI,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
LTJZISO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
LTJZIOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
LTJZSIO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
LTJZSOI,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
LTJZOIS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
LTJZOSI,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
LTJOISZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJOSIZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJOSZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTSIJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSIJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSIZOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSIOJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
LTSIOZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
LTSJIZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSJIOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
LTSJZIO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSJZOI,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSJOIZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTSJOZI,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X
LTSZIJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSZIOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSZJIO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSZJOI,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
LTSZOIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
LTSZOJI,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
LTSOIJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
LTSOIZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
LTSOJIZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
LTSOJZI,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X
LTSOZIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
LTSOZJI,X,O,X,X,X,X,O,O,X,X,X,O,O,O,X
LTZIJSO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZIJOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZISJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZISOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZIOJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZIOSJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJISO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZJIOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJSIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZJSOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZJOIS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJOSI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZSIJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZSIOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZSJIO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZSJOI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZSOIJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZSOJI,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
LTZOIJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZOISJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZOJIS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZOJSI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZOSIJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZOSJI,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
LTOIJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
LTOISJZ,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X
LTOISZJ,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
LTOIZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
LTOIZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
LTOJISZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTOJSIZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJSZI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOJZIS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTOJZSI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
LTOSIJZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
LTOSIZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
LTOSJIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
LTOSJZI,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
LTOSZIJ,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
LTOSZJI,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X
