sequence,v115@LhD8FeA8EeF8CeA8JeOEJvhFXgBxhBTjBSqBUsBFtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxhBTjB3kBUsBFtB,v115@LhD8FeA8EeF8CeA8Je0/IvhF6lBxhBTjB2pBFsBXtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxiB3kBToB0mB1xB,v115@LhD8FeA8EeF8CeA8JeKEJvhFGgBxhBTjBUlBFsBXtB
TSILJZO,X,X,O,X,X
TSILJOZ,X,X,O,X,X
TSILZJO,X,X,X,X,O
TSILZOJ,X,X,X,X,O
TSILOJZ,X,X,O,X,X
TSILOZJ,X,X,X,X,O
TSIJLZO,X,X,O,X,X
TSIJLOZ,X,X,O,X,X
TSIJZLO,X,X,O,X,X
TSIJZOL,X,X,O,X,X
TSIJOLZ,X,X,O,X,X
TSIJOZL,X,X,O,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,O,X,X
TSIOLZJ,X,X,X,X,O
TSIOJLZ,X,X,O,X,X
TSIOJZL,X,X,O,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,O,X,X
TSLIJOZ,X,X,O,X,X
TSLIZJO,X,X,X,X,O
TSLIZOJ,X,X,X,X,O
TSLIOJZ,X,X,O,X,X
TSLIOZJ,X,X,X,X,O
TSLJIZO,X,X,O,X,X
TSLJIOZ,X,O,O,X,X
TSLJZIO,X,X,O,X,X
TSLJZOI,X,X,O,X,X
TSLJOIZ,X,O,O,O,X
TSLJOZI,X,O,O,O,X
TSLZIJO,X,X,X,X,O
TSLZIOJ,X,X,X,X,O
TSLZJIO,X,X,X,X,O
TSLZJOI,X,X,X,X,O
TSLZOIJ,X,X,X,X,O
TSLZOJI,X,X,X,X,O
TSLOIJZ,X,X,O,O,X
TSLOIZJ,X,X,X,X,O
TSLOJIZ,X,O,O,O,X
TSLOJZI,X,O,O,O,X
TSLOZIJ,X,X,X,X,O
TSLOZJI,X,X,X,X,O
TSJILZO,X,X,O,X,X
TSJILOZ,X,O,O,X,X
TSJIZLO,X,X,O,X,X
TSJIZOL,X,X,O,X,X
TSJIOLZ,X,O,O,X,X
TSJIOZL,X,X,O,X,X
TSJLIZO,X,X,O,X,X
TSJLIOZ,X,O,O,X,X
TSJLZIO,X,X,O,X,X
TSJLZOI,X,X,O,X,X
TSJLOIZ,X,O,O,O,X
TSJLOZI,X,O,O,O,X
TSJZILO,X,X,O,X,X
TSJZIOL,X,X,O,X,X
TSJZLIO,X,X,O,X,X
TSJZLOI,X,X,O,X,X
TSJZOIL,X,X,O,X,X
TSJZOLI,X,X,O,X,X
TSJOILZ,X,O,O,O,X
TSJOIZL,X,X,O,X,X
TSJOLIZ,X,O,O,O,X
TSJOLZI,X,O,O,O,X
TSJOZIL,X,X,O,X,X
TSJOZLI,X,X,O,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,X,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,X,X,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,X,O,O,X
TSOILZJ,X,X,X,X,O
TSOIJLZ,X,X,O,O,X
TSOIJZL,X,X,O,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,O,O,X
TSOLIZJ,X,X,X,X,O
TSOLJIZ,X,O,O,O,X
TSOLJZI,X,O,O,O,X
TSOLZIJ,X,X,X,X,O
TSOLZJI,X,X,X,X,O
TSOJILZ,X,O,O,O,X
TSOJIZL,X,X,O,X,X
TSOJLIZ,X,O,O,O,X
TSOJLZI,X,O,O,O,X
TSOJZIL,X,X,O,X,X
TSOJZLI,X,X,O,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,X,X,X,X
