sequence,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBcnBTjBXrBFt?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFzgBFiBXjBctBxr?BSwB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBFjBTnBctBXr?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFlhB+oB/rBTnBat?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFGiBTjByrBFtB/r?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFSnBTjBmlB8rBFt?BXrB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFmlBSsBToB8rBXr?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFUiBToBxrBqqB/r?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhF0iB6oB3mBmsBlq?BTrB
TZIOSLJ,O,O,O,X,X,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X,X
TZLIJSO,X,X,X,X,O,X,X,X,X
TZLIJOS,X,X,X,X,O,O,X,X,X
TZLISJO,O,X,X,X,O,X,X,X,X
TZLISOJ,O,X,O,X,O,X,X,X,X
TZLIOJS,X,X,X,X,O,O,X,X,X
TZLIOSJ,O,X,O,X,O,X,X,X,X
TZLJISO,X,X,X,X,O,X,X,X,X
TZLJIOS,X,X,X,X,O,O,X,X,X
TZLJSIO,X,X,X,X,O,X,X,X,X
TZLJSOI,X,X,X,X,O,X,X,X,X
TZLJOIS,X,X,X,X,O,O,X,X,X
TZLJOSI,X,X,X,X,O,O,X,X,X
TZLSIJO,O,X,X,X,O,X,X,X,X
TZLSIOJ,O,X,O,X,O,X,X,X,X
TZLSJIO,O,X,X,X,O,X,X,X,X
TZLSJOI,O,X,X,X,O,X,X,X,X
TZLSOIJ,O,X,O,X,O,X,X,X,X
TZLSOJI,O,X,O,X,O,X,X,X,X
TZLOIJS,X,X,X,X,O,O,X,X,X
TZLOISJ,O,X,O,X,O,X,X,X,X
TZLOJIS,X,X,X,X,O,O,X,X,X
TZLOJSI,X,X,X,X,O,O,X,X,X
TZLOSIJ,O,X,O,X,O,X,X,X,X
TZLOSJI,O,X,O,X,O,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,X,X
TZJILOS,X,O,X,X,X,O,X,X,X
TZJISLO,O,O,X,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,O,X,X,X
TZJIOSL,O,O,O,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X,X,X
TZJLIOS,X,X,X,X,X,O,X,X,X
TZJLSIO,X,X,X,X,O,X,X,X,X
TZJLSOI,X,X,X,X,O,X,X,X,X
TZJLOIS,X,X,X,X,X,O,X,X,X
TZJLOSI,X,X,X,X,O,O,X,X,X
TZJSILO,O,O,X,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,X,X,X,X
TZJOLIS,X,X,X,X,X,O,X,X,X
TZJOLSI,X,X,X,X,O,O,X,X,X
TZJOSIL,O,O,O,X,X,X,X,X,X
TZJOSLI,O,O,O,X,X,X,X,X,X
TZSILJO,O,O,X,X,X,X,X,X,X
TZSILOJ,O,O,O,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X,X
TZSIOLJ,O,O,O,X,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,X,X
TZSLIOJ,O,O,O,X,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,X,X
TZSLJOI,O,O,X,X,X,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,X,X,X
TZSLOJI,O,O,O,X,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,X,X,X,X
TZSJOIL,O,O,X,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,X,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,X
TZSOLIJ,O,X,O,X,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X,X
TZOILJS,X,O,X,X,O,O,X,X,X
TZOILSJ,O,O,O,X,O,X,X,X,X
TZOIJLS,X,O,X,X,X,O,X,X,X
TZOIJSL,O,O,O,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X,X
TZOLIJS,X,X,X,X,O,O,X,X,X
TZOLISJ,O,X,O,X,O,X,X,X,X
TZOLJIS,X,X,X,X,O,O,X,X,X
TZOLJSI,X,X,X,X,O,O,X,X,X
TZOLSIJ,O,X,O,X,O,X,X,X,X
TZOLSJI,O,X,O,X,O,X,X,X,X
TZOJILS,X,O,X,X,X,O,X,X,X
TZOJISL,O,O,O,X,X,X,X,X,X
TZOJLIS,X,X,X,X,X,O,X,X,X
TZOJLSI,X,X,X,X,O,O,X,X,X
TZOJSIL,O,O,O,X,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X,X
TZOSILJ,O,O,O,X,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,X
TZOSLIJ,O,X,O,X,X,X,X,X,X
TZOSLJI,O,O,O,X,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X,X
TOILJSZ,O,X,X,X,O,O,X,O,X
TOILJZS,X,O,X,X,O,O,O,X,X
TOILSJZ,O,X,X,X,O,O,X,O,X
TOILSZJ,O,X,X,X,O,X,X,O,X
TOILZJS,X,O,X,X,O,O,X,X,X
TOILZSJ,O,O,X,X,O,X,X,X,X
TOIJLSZ,O,X,X,X,O,O,X,O,X
TOIJLZS,X,O,X,X,O,O,O,X,X
TOIJSLZ,O,X,X,O,X,O,X,X,X
TOIJSZL,O,O,X,O,X,X,X,X,X
TOIJZLS,X,O,X,X,X,O,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X,X
TOISLJZ,O,X,X,O,O,O,X,O,X
TOISLZJ,O,X,O,X,O,X,X,O,X
TOISJLZ,O,X,X,O,X,O,X,X,X
TOISJZL,O,O,X,O,X,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,O,X
TOISZJL,O,O,O,O,X,X,X,X,X
TOIZLJS,X,O,X,X,O,O,X,X,X
TOIZLSJ,O,O,O,X,O,X,X,X,X
TOIZJLS,X,O,X,X,X,O,X,X,X
TOIZJSL,O,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,X,X,O,X
TOIZSJL,O,O,O,X,X,X,X,X,X
TOLIJSZ,O,X,X,X,O,O,X,X,X
TOLIJZS,X,X,X,X,O,O,O,X,X
TOLISJZ,O,X,X,X,O,O,X,X,X
TOLISZJ,O,X,X,X,O,X,X,X,X
TOLIZJS,X,X,X,X,O,O,X,X,X
TOLIZSJ,O,X,X,X,O,X,X,X,X
TOLJISZ,O,X,X,X,O,O,X,X,X
TOLJIZS,X,X,X,X,O,O,O,X,X
TOLJSIZ,O,X,X,X,O,O,X,X,X
TOLJSZI,O,X,X,X,O,O,X,X,X
TOLJZIS,X,X,X,X,O,O,O,X,X
TOLJZSI,X,X,X,X,O,O,O,X,X
TOLSIJZ,O,X,X,X,O,O,X,X,X
TOLSIZJ,O,X,X,X,O,X,X,X,X
TOLSJIZ,O,X,X,X,O,O,X,X,X
TOLSJZI,O,X,X,X,O,O,X,X,X
TOLSZIJ,O,X,X,X,O,X,X,X,X
TOLSZJI,O,X,X,X,O,X,X,X,X
TOLZIJS,X,X,X,X,O,O,X,X,X
TOLZISJ,O,X,X,X,O,X,X,X,X
TOLZJIS,X,X,X,X,O,O,X,X,X
TOLZJSI,X,X,X,X,O,O,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,X,X
TOLZSJI,O,X,X,X,O,X,X,X,X
TOJILSZ,O,X,X,X,O,O,X,O,X
TOJILZS,X,O,X,X,O,O,O,X,X
TOJISLZ,O,X,X,O,X,O,X,X,X
TOJISZL,O,O,X,O,X,X,X,X,X
TOJIZLS,X,O,X,X,X,O,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X,X
TOJLISZ,O,X,X,X,O,O,X,X,X
TOJLIZS,X,X,X,X,O,O,O,X,X
TOJLSIZ,O,X,X,X,O,O,X,X,X
TOJLSZI,O,X,X,X,O,O,X,X,X
TOJLZIS,X,X,X,X,O,O,O,X,X
TOJLZSI,X,X,X,X,O,O,O,X,X
TOJSILZ,O,X,X,O,X,O,X,X,X
TOJSIZL,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,X,X,O,O,O,X,X,X
TOJSLZI,O,X,X,O,O,O,X,X,X
TOJSZIL,O,X,X,O,X,X,X,X,X
TOJSZLI,O,X,X,O,X,X,X,X,X
TOJZILS,X,O,X,X,X,O,X,X,X
TOJZISL,O,O,X,X,X,X,X,X,X
TOJZLIS,X,X,X,X,X,O,X,X,X
TOJZLSI,X,X,X,X,O,O,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X,X
TOSILJZ,O,X,X,O,O,O,X,X,X
TOSILZJ,O,X,O,X,O,X,X,X,X
TOSIJLZ,O,X,X,O,X,O,X,X,X
TOSIJZL,O,X,X,O,X,X,X,X,X
TOSIZLJ,O,X,O,X,X,X,X,X,X
TOSIZJL,O,X,O,O,X,X,X,X,X
TOSLIJZ,O,X,X,O,O,O,X,X,X
TOSLIZJ,O,X,O,X,O,X,X,X,X
TOSLJIZ,O,X,X,O,O,O,X,X,X
TOSLJZI,O,X,X,O,O,O,X,X,X
TOSLZIJ,O,X,O,X,O,X,X,X,X
TOSLZJI,O,X,O,X,O,X,X,X,X
TOSJILZ,O,X,X,O,X,O,X,X,X
TOSJIZL,O,X,X,O,X,X,X,X,X
TOSJLIZ,O,X,X,O,O,O,X,X,X
TOSJLZI,O,X,X,O,O,O,X,X,X
TOSJZIL,O,X,X,O,X,X,X,X,X
TOSJZLI,O,X,X,O,X,X,X,X,X
TOSZILJ,O,X,O,X,X,X,X,X,X
TOSZIJL,O,X,O,O,X,X,X,X,X
TOSZLIJ,O,X,O,X,X,X,X,X,X
TOSZLJI,O,X,O,X,X,X,X,X,X
TOSZJIL,O,X,O,O,X,X,X,X,X
TOSZJLI,O,X,O,O,X,X,X,X,X
TOZILJS,X,O,X,X,O,O,X,X,X
TOZILSJ,O,O,O,X,O,X,X,X,X
TOZIJLS,X,O,X,X,X,O,X,X,X
TOZIJSL,O,O,O,X,X,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X,X
TOZLIJS,X,X,X,X,O,O,X,X,X
TOZLISJ,O,X,O,X,O,X,X,X,X
TOZLJIS,X,X,X,X,O,O,X,X,X
TOZLJSI,X,X,X,X,O,O,X,X,X
TOZLSIJ,O,X,O,X,O,X,X,X,X
TOZLSJI,O,X,O,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,O,X,X,X
TOZJISL,O,O,O,X,X,X,X,X,X
TOZJLIS,X,X,X,X,X,O,X,X,X
TOZJLSI,X,X,X,X,O,O,X,X,X
TOZJSIL,O,O,O,X,X,X,X,X,X
TOZJSLI,O,O,O,X,X,X,X,X,X
TOZSILJ,O,O,O,X,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X,X
TOZSLIJ,O,X,O,X,X,X,X,X,X
TOZSLJI,O,O,O,X,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X,X,X
TOZSJLI,O,O,O,X,X,X,X,X,X
ITLJSZO,O,X,X,X,O,X,X,X,X
ITLJSOZ,O,X,X,X,O,O,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X,X
ITLJZOS,X,O,X,X,O,O,X,X,X
ITLJOSZ,O,X,X,X,O,O,X,X,X
ITLJOZS,X,O,X,X,O,O,O,X,X
ITLSJZO,O,X,X,X,O,X,X,X,X
ITLSJOZ,O,X,X,X,O,O,X,X,X
ITLSZJO,O,X,X,X,O,X,X,X,X
ITLSZOJ,O,X,O,X,O,X,X,X,X
ITLSOJZ,O,X,X,X,O,O,X,X,X
ITLSOZJ,O,X,O,X,O,X,X,X,X
ITLZJSO,X,O,X,X,O,X,X,X,X
ITLZJOS,X,O,X,X,O,O,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X
ITLZSOJ,O,O,O,X,O,X,X,X,X
ITLZOJS,X,O,X,X,O,O,X,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X
ITLOJSZ,O,X,X,X,O,O,X,X,X
ITLOJZS,X,O,X,X,O,O,O,X,X
ITLOSJZ,O,X,X,X,O,O,X,X,X
ITLOSZJ,O,X,X,X,O,X,X,X,X
ITLOZJS,X,O,X,X,O,O,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X,X
ITJLSZO,O,X,X,X,O,X,X,X,X
ITJLSOZ,O,X,X,X,O,O,X,X,X
ITJLZSO,X,O,X,X,O,X,X,X,X
ITJLZOS,X,O,X,X,O,O,X,X,X
ITJLOSZ,O,X,X,X,O,O,X,X,X
ITJLOZS,X,O,X,X,O,O,O,X,X
ITJSLZO,O,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,O,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X
ITJSZOL,O,O,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,O,X,O,X,X,X
ITJSOZL,O,O,X,O,X,X,X,X,X
ITJZLSO,X,O,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,O,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X
ITJZSOL,O,O,X,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,O,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,O,O,X,O,X
ITJOLZS,X,O,X,X,O,O,O,X,X
ITJOSLZ,O,X,X,O,X,O,X,X,X
ITJOSZL,O,O,X,O,X,X,X,X,X
ITJOZLS,X,O,X,X,X,O,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,O,X,X,X,X
ITSLJOZ,O,X,X,X,O,O,X,X,X
ITSLZJO,O,X,X,X,O,X,X,X,X
ITSLZOJ,O,X,O,X,O,X,X,X,X
ITSLOJZ,O,X,X,O,O,O,X,X,X
ITSLOZJ,O,X,O,X,O,X,X,X,X
ITSJLZO,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,O,X,X,X
ITSJZLO,O,O,X,X,X,X,X,X,X
ITSJZOL,O,O,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,X,O,X,X,X
ITSJOZL,O,O,X,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,X,X
ITSZJOL,O,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X,X
ITSOLJZ,O,X,X,O,O,O,X,X,X
ITSOLZJ,O,X,O,X,O,X,X,X,X
ITSOJLZ,O,X,X,O,X,O,X,X,X
ITSOJZL,O,O,X,O,X,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,X,X
ITZLJSO,X,O,X,X,O,X,X,X,X
ITZLJOS,X,O,X,X,O,O,X,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X
ITZLSOJ,O,O,O,X,O,X,X,X,X
ITZLOJS,X,O,X,X,O,O,X,X,X
ITZLOSJ,O,O,O,X,O,X,X,X,X
ITZJLSO,X,O,X,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,O,X,X,X
ITZJSLO,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,X,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,O,X,X,X
ITZJOSL,O,O,O,X,X,X,X,X,X
ITZSLJO,O,O,X,X,X,X,X,X,X
ITZSLOJ,O,O,O,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X
ITZSOJL,O,O,O,X,X,X,X,X,X
ITZOLJS,X,O,X,X,O,O,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,X,X
ITZOJLS,X,O,X,X,X,O,X,X,X
ITZOJSL,O,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,O,X
ITZOSJL,O,O,O,X,X,X,X,X,X
ITOLJSZ,O,X,X,X,O,O,X,O,X
ITOLJZS,X,O,X,X,O,O,O,X,X
ITOLSJZ,O,X,X,X,O,O,X,O,X
ITOLSZJ,O,X,X,X,O,X,X,O,X
ITOLZJS,X,O,X,X,O,O,X,X,X
ITOLZSJ,O,O,X,X,O,X,X,X,X
ITOJLSZ,O,X,X,X,O,O,X,O,X
ITOJLZS,X,O,X,X,O,O,O,X,X
ITOJSLZ,O,X,X,O,X,O,X,X,X
ITOJSZL,O,O,X,O,X,X,X,X,X
ITOJZLS,X,O,X,X,X,O,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,X,X,O,O,O,X,O,X
ITOSLZJ,O,X,O,X,O,X,X,O,X
ITOSJLZ,O,X,X,O,X,O,X,X,X
ITOSJZL,O,O,X,O,X,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,O,X
ITOSZJL,O,O,O,O,X,X,X,X,X
ITOZLJS,X,O,X,X,O,O,X,X,X
ITOZLSJ,O,O,O,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,O,X,X,X
ITOZJSL,O,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,O,X
ITOZSJL,O,O,O,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,X,X,X,X
ILTJSOZ,O,X,X,X,O,O,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X,X
ILTJZOS,X,O,X,X,O,O,X,X,X
ILTJOSZ,O,X,X,X,O,O,X,X,X
ILTJOZS,X,O,X,X,O,O,O,X,X
ILTSJZO,O,X,X,X,O,X,X,X,X
ILTSJOZ,O,X,X,X,O,O,X,X,X
ILTSZJO,O,X,X,X,O,X,X,X,X
ILTSZOJ,O,X,O,X,O,X,X,X,X
ILTSOJZ,O,X,X,X,O,O,X,X,X
ILTSOZJ,O,X,O,X,O,X,X,X,X
ILTZJSO,X,O,X,X,O,X,X,X,X
ILTZJOS,X,O,X,X,O,O,X,X,X
ILTZSJO,O,O,X,X,O,X,X,X,X
ILTZSOJ,O,O,O,X,O,X,X,X,X
ILTZOJS,X,O,X,X,O,O,X,X,X
ILTZOSJ,O,O,X,X,O,X,X,X,X
ILTOJSZ,O,X,X,X,O,O,X,X,X
ILTOJZS,X,O,X,X,O,O,O,X,X
ILTOSJZ,O,X,X,X,O,O,X,X,X
ILTOSZJ,O,X,X,X,O,X,X,X,X
ILTOZJS,X,O,X,X,O,O,X,X,X
ILTOZSJ,O,O,X,X,O,X,X,X,X
ILJTSZO,O,X,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,X,O,O,X,X,X
ILJTZSO,X,O,X,X,O,X,X,X,X
ILJTZOS,X,O,X,X,O,O,X,X,X
ILJTOSZ,O,X,X,X,O,O,X,X,X
ILJTOZS,X,O,X,X,O,O,O,X,X
ILJSTZO,O,X,X,X,X,X,X,X,O
ILJSTOZ,O,X,X,X,X,X,X,X,O
ILJSZTO,O,X,X,X,X,X,X,X,O
ILJSZOT,X,X,O,X,X,X,X,X,X
ILJSOTZ,X,X,X,O,X,X,X,X,X
ILJSOZT,X,X,O,O,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X
ILJZTOS,X,O,X,X,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,X,O
ILJZSOT,X,O,O,X,X,X,X,X,X
ILJZOTS,X,O,X,X,X,X,O,X,X
ILJZOST,X,O,X,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X
ILJOTZS,X,O,X,X,X,X,O,X,X
ILJOSTZ,X,X,X,O,X,X,X,O,X
ILJOSZT,X,X,X,O,X,X,O,O,X
ILJOZTS,X,O,X,X,X,X,O,X,X
ILJOZST,X,O,X,X,X,X,O,O,X
ILSTJZO,O,X,X,X,O,X,X,X,X
ILSTJOZ,O,X,X,X,O,X,X,X,X
ILSTZJO,O,X,X,X,O,X,X,X,X
ILSTZOJ,O,X,O,X,O,X,X,X,X
ILSTOJZ,O,X,X,O,O,X,X,X,X
ILSTOZJ,O,X,O,X,O,X,X,X,X
ILSJTZO,O,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X,X,X,X
ILSJZOT,X,X,O,X,X,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X,X
ILSJOZT,X,X,O,O,X,X,O,X,X
ILSZTJO,O,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,O,X,X,X,X,X,X
ILSZJTO,O,X,X,X,X,X,X,X,X
ILSZJOT,X,X,O,X,X,X,X,X,X
ILSZOTJ,O,X,O,X,X,X,X,X,X
ILSZOJT,X,X,O,X,X,X,X,X,X
ILSOTJZ,O,X,X,O,X,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,X,X
ILSOJZT,X,X,O,O,X,X,O,X,X
ILSOZTJ,O,X,O,X,X,X,X,X,X
ILSOZJT,X,X,O,X,X,X,X,X,X
ILZTJSO,X,O,X,X,O,X,X,X,X
ILZTJOS,X,O,X,X,O,X,X,X,X
ILZTSJO,O,O,X,X,O,X,X,X,X
ILZTSOJ,O,O,O,X,O,X,X,X,X
ILZTOJS,X,O,X,X,O,X,X,X,X
ILZTOSJ,O,O,O,X,O,X,X,X,X
ILZJTSO,X,O,X,X,X,X,X,X,X
ILZJTOS,X,O,X,X,X,X,X,X,X
ILZJSTO,X,O,X,X,X,X,X,X,X
ILZJSOT,X,O,O,X,X,X,X,X,X
ILZJOTS,X,O,X,X,X,X,O,X,X
ILZJOST,X,O,X,X,X,X,O,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,X,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,O,X,X,X,X,X,X
ILZSOJT,X,O,O,X,X,X,X,X,X
ILZOTJS,X,O,X,X,X,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X,X,X
ILZOJTS,X,O,X,X,X,X,O,X,X
ILZOJST,X,O,X,X,X,X,O,X,X
ILZOSTJ,X,O,O,X,X,X,X,O,X
ILZOSJT,X,O,O,X,X,X,X,O,X
ILOTJSZ,O,X,X,X,O,X,X,O,X
ILOTJZS,X,O,X,X,O,X,O,X,X
ILOTSJZ,O,X,X,X,O,X,X,O,X
ILOTSZJ,O,X,X,X,O,X,X,O,X
ILOTZJS,X,O,X,X,O,X,X,X,X
ILOTZSJ,O,O,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,X,X,O,X
ILOJTZS,X,O,X,X,X,X,O,X,X
ILOJSTZ,X,X,X,O,X,X,X,O,X
ILOJSZT,X,X,X,O,X,X,O,O,X
ILOJZTS,X,O,X,X,X,X,O,X,X
ILOJZST,X,O,X,X,X,X,O,O,X
ILOSTJZ,O,X,X,O,X,X,X,O,X
ILOSTZJ,O,X,O,X,X,X,X,O,X
ILOSJTZ,X,X,X,O,X,X,X,O,X
ILOSJZT,X,X,O,O,X,X,O,O,X
ILOSZTJ,O,X,O,X,X,X,X,O,X
ILOSZJT,X,X,O,X,X,X,X,O,X
ILOZTJS,X,O,X,X,X,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X,X,X
ILOZJTS,X,O,X,X,X,X,O,X,X
ILOZJST,X,O,X,X,X,X,O,O,X
ILOZSTJ,X,O,O,X,X,X,X,O,X
ILOZSJT,X,O,O,X,X,X,X,O,X
IJTLSZO,O,X,X,X,O,X,X,X,X
IJTLSOZ,O,X,X,X,O,O,X,X,X
IJTLZSO,X,O,X,X,O,X,X,X,X
IJTLZOS,X,O,X,X,O,O,X,X,X
IJTLOSZ,O,X,X,X,O,O,X,X,X
IJTLOZS,X,O,X,X,O,O,O,X,X
IJTSLZO,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,O,X,X,X
IJTSZLO,O,O,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,O,X,X,X
IJTSOZL,O,O,X,O,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,O,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,O,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,X,X,X,O,O,X,O,X
IJTOLZS,X,O,X,X,O,O,O,X,X
IJTOSLZ,O,X,X,O,X,O,X,X,X
IJTOSZL,O,O,X,O,X,X,X,X,X
IJTOZLS,X,O,X,X,X,O,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X
IJLTSZO,O,X,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,X,O,O,X,X,X
IJLTZSO,X,O,X,X,O,X,X,X,X
IJLTZOS,X,O,X,X,O,O,X,X,X
IJLTOSZ,O,X,X,X,O,O,X,X,X
IJLTOZS,X,O,X,X,O,O,O,X,X
IJLSTZO,O,X,X,X,X,X,X,X,O
IJLSTOZ,O,X,X,X,X,X,X,X,O
IJLSZTO,O,X,X,X,X,X,X,X,O
IJLSZOT,X,X,O,X,X,X,X,X,X
IJLSOTZ,X,X,X,O,X,X,X,X,X
IJLSOZT,X,X,O,O,X,X,O,X,X
IJLZTSO,X,O,X,X,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,O
IJLZSOT,X,O,O,X,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,O,X,X
IJLZOST,X,O,X,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,X,X,X,O,X
IJLOTZS,X,O,X,X,X,X,O,X,X
IJLOSTZ,X,X,X,O,X,X,X,O,X
IJLOSZT,X,X,X,O,X,X,O,O,X
IJLOZTS,X,O,X,X,X,X,O,X,X
IJLOZST,X,O,X,X,X,X,O,O,X
IJSTLZO,O,X,X,X,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,O,X,X,X
IJSTZLO,O,O,X,X,X,X,X,X,X
IJSTZOL,O,O,X,X,X,X,X,X,X
IJSTOLZ,O,X,X,O,X,O,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X,X
IJSLTZO,O,X,X,X,X,X,X,X,O
IJSLTOZ,O,X,X,X,X,X,X,X,O
IJSLZTO,O,X,X,X,X,X,X,X,O
IJSLZOT,X,X,O,X,X,X,X,X,X
