sequence,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeuEJvhF0iB6oB?/qBRmBFmBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFTjBClB?8qBGnBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeGAJvhFlhBzkB?8qBxnBCoBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFfmB0hB?xiBGqBFtBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBRqBuqB0sB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBRqBuqBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFRhB3iB?FmBGqBCtBctB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeCAJvhFlhBXlB?8qBxnBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBRqBuqBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFClB8qB?GnBToBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhF3hB0lB?xnBGoBzsBlqB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhFTgBlhB?8qBxnBWtBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Je3BJvhFFlBxnB?ClB8qBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBFmB6sBGqB
IZLJOST,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IZLSTJO,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,X,X,O,O,X,O,O,X,X
IZLSJTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLSJOT,X,O,X,O,O,X,X,X,X,O,O,X,X,O
IZLSOTJ,X,X,X,X,O,X,X,O,O,X,O,O,X,X
IZLSOJT,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZLOTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IZLOTSJ,X,X,X,X,O,O,X,X,O,X,X,O,X,X
IZLOJTS,X,X,O,X,O,O,X,X,X,O,X,O,X,X
IZLOJST,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,O,X,X,X,O,X,O,O,X,X
IZLOSJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJTLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IZJTLOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IZJTSLO,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJTSOL,X,O,X,X,X,X,X,X,O,X,X,X,X,O
IZJTOLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJTOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZJLTSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZJLSTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLSOT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
IZJLOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZJLOST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
IZJSTLO,X,O,X,X,X,X,X,O,O,X,X,X,X,X
IZJSTOL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IZJSLTO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJSLOT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
IZJSOTL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
IZJSOLT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
IZJOTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZJOTSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
IZJOLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZJOLST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
IZJOSTL,X,O,O,X,X,X,X,X,O,X,X,X,X,O
IZJOSLT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
IZSTLJO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
IZSTLOJ,X,X,O,X,X,X,X,O,O,X,X,O,O,X
IZSTJLO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
IZSTJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,O
IZSTOLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IZSTOJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
IZSLTJO,X,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSLTOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
IZSLJTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSLJOT,X,O,X,O,O,X,X,X,X,O,O,X,X,O
IZSLOTJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
IZSLOJT,X,O,O,X,O,X,X,O,X,X,O,X,X,X
IZSJTLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
IZSJTOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
IZSJLTO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJLOT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
IZSJOTL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
IZSJOLT,X,O,O,O,X,X,X,X,X,O,X,X,X,O
IZSOTLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSOTJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSOLTJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IZSOLJT,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,O,O,O,X,X,X,O,O,X,X,X,X,O
IZSOJLT,X,O,O,O,X,X,X,O,X,X,X,X,X,O
IZOTLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IZOTLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
IZOTJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOTSLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IZOTSJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOLTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IZOLTSJ,X,X,X,X,O,O,X,O,O,X,X,O,X,X
IZOLJTS,X,X,O,X,O,O,X,X,X,O,X,O,X,X
IZOLJST,X,O,X,X,O,X,X,X,X,O,X,X,X,X
IZOLSTJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X
IZOLSJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IZOJLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
IZOJSTL,X,O,O,X,X,X,X,O,O,X,X,X,X,O
IZOJSLT,X,O,O,X,X,X,X,O,X,O,X,X,X,O
IZOSTLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOSTJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IZOSLTJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOSLJT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,O,O,X,X,X,O,O,X,X,X,X,O
IZOSJLT,X,X,O,O,X,X,X,O,X,X,X,X,X,O
IOTLJSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOTLZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTLZSJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
IOTJLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTSLZJ,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOTSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,X,X,X,X,X,O,X,O,O,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOTZLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOTZLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
IOTZJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTZJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,O,X,O,O,X,X,X,O,X
IOTZSJL,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IOLTJSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOLTZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IOLTZSJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
IOLJTSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLJZTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOLSTZJ,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOLSJTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLSZTJ,O,X,X,X,O,X,X,X,O,X,O,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLZTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IOLZTSJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
IOLZJTS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
IOLZJST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,O,O,X,O,O,X,X
IOLZSJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTSZL,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZLS,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJTZSL,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOJLTSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJLZTS,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,O,O,X,X,O
IOJSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,X,X,X,O
IOJSZLT,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJZTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOJZTSL,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IOJZLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJZSTL,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOJZSLT,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSTLJZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSTLZJ,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTZLJ,O,X,O,X,X,O,X,O,O,X,X,X,O,X
IOSTZJL,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSLTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOSLTZJ,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOSLJTZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSLZTJ,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOSLZJT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJTZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSJZTL,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSZTJL,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSZLTJ,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOSZLJT,O,X,O,X,O,X,X,O,X,X,O,X,X,X
IOSZJTL,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSZJLT,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZTLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOZTLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
IOZTJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOZTJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZTSLJ,X,X,O,X,X,O,X,O,O,X,X,X,O,X
IOZTSJL,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZLTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IOZLTSJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
IOZLJTS,X,X,O,X,O,O,X,X,X,O,X,O,X,X
IOZLJST,O,X,X,X,O,X,X,X,X,O,O,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,O,O,X,O,O,X,X
IOZLSJT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IOZJTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IOZJLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOZJSTL,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOZJSLT,O,X,O,X,X,X,X,O,X,O,X,X,X,O
IOZSTLJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZSTJL,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZSLTJ,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOZSLJT,O,X,O,X,O,X,X,O,X,X,O,X,X,X
IOZSJTL,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOZSJLT,O,X,O,X,X,X,X,O,X,X,X,X,X,O
LTIJSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTIJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTISJZO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
LTISJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTISZJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTISZOJ,X,X,X,X,O,O,X,X,X,X,O,O,O,X
LTISOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTISOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTIZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTIZSJO,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
LTIZOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
LTIZOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTIOJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTIOZSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTJISZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTJIOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTJSIZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTJSZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJZIOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJZSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LTJZOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJOSZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTSIJZO,O,X,X,X,O,O,O,X,X,X,X,X,O,X
LTSIJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTSIZJO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
LTSIZOJ,X,X,O,X,O,O,X,X,X,X,O,O,O,X
LTSIOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTSIOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTSJIZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,O,O,X,O,X,X,X,X,X,X,X
LTSJZIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSJOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,X,O,O,X,X,X,X,O,O,X,X
LTSZJIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,X,X,X,X,X,X,X,O,O,X,X
LTSZOJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTSOIZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTSOJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTZIJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LTZISJO,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTZISOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
LTZIOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
LTZIOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTZJISO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTZJIOS,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTZJSIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LTZJOSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTZSIJO,X,X,X,O,O,O,X,O,X,X,X,X,X,X
LTZSIOJ,X,X,O,X,O,O,X,O,X,X,O,O,X,X
LTZSJIO,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZSJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LTZSOIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
LTZSOJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTZOIJS,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZOISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTZOJIS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTZOJSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
LTZOSJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LTOISZJ,X,X,X,X,O,O,X,X,X,X,O,X,O,X
LTOIZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LTOIZSJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
LTOJISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,O,X,X,X,X,X,X,X,O,X
LTOSIZJ,X,X,X,X,O,X,X,X,X,X,O,X,O,X
LTOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOZISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
LTOZJIS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X
LTOZSJI,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITJZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LITJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITSJZO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
LITSJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITSZJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LITSZOJ,X,X,X,X,O,O,X,X,X,X,O,O,O,X
LITSOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LITSOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
LITZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITZJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LITZSJO,X,X,X,X,O,O,X,O,X,X,X,X,X,X
LITZSOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
LITZOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
LITZOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LITOJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITOJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LITOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LITOZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LITOZSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LIJTSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LIJTOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJSTZO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSZTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
LIJSOTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
LIJZSTO,X,X,X,X,O,X,X,X,X,X,X,X,X,X
