sequence,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBGjB8sB3rBFsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBGhBcoBXnBlnBxwB,v115@KhB8GeC8DeE8DeB8JeRBJvhF3iBcoBlkB+rBikBTsB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBlkB0nBikBXnBxwB,v115@KhB8GeC8DeE8DeB8Jei/IvhFRhBTjB3kB+rBlsBcsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBcoBFsBusB3rB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBikBXnBlkB0nBxwB,v115@KhB8GeC8DeE8DeB8Jem/IvhFxiBTkBXoBUsBCsBFrB,v115@KhB8GeC8DeE8DeB8Jei/IvhFTjB3kBFnBGmB0nBxwB
TZLIJOS,O,O,X,X,X,O,X,X,X
TZLISJO,X,O,X,X,X,O,X,X,X
TZLISOJ,X,O,X,X,X,O,X,X,X
TZLIOJS,O,O,X,X,X,O,X,X,X
TZLIOSJ,X,O,X,X,X,O,X,X,X
TZLJISO,X,O,O,X,X,O,X,X,X
TZLJIOS,O,O,X,X,X,O,X,X,X
TZLJSIO,O,X,O,X,X,O,X,X,X
TZLJSOI,O,X,O,X,X,O,X,X,X
TZLJOIS,O,O,O,O,X,O,X,X,X
TZLJOSI,O,X,O,O,X,O,X,X,X
TZLSIJO,O,X,X,X,X,O,X,X,X
TZLSIOJ,O,X,X,X,X,O,X,X,X
TZLSJIO,O,X,X,X,X,O,X,X,X
TZLSJOI,O,X,X,X,X,O,X,X,X
TZLSOIJ,O,X,X,X,X,O,X,X,X
TZLSOJI,O,X,X,X,X,O,X,X,X
TZLOIJS,O,O,X,X,X,O,X,X,X
TZLOISJ,X,O,X,X,X,O,X,X,X
TZLOJIS,O,O,O,O,X,O,X,X,X
TZLOJSI,O,X,O,O,X,O,X,X,X
TZLOSIJ,O,X,X,X,X,O,X,X,X
TZLOSJI,O,X,X,X,X,O,X,X,X
TZJILSO,X,O,O,X,X,O,X,X,X
TZJILOS,O,O,X,O,X,O,X,X,X
TZJISLO,X,O,O,X,X,X,X,X,X
TZJISOL,X,X,O,O,X,X,X,X,X
TZJIOLS,X,X,O,O,X,X,X,X,X
TZJIOSL,X,X,O,O,X,X,X,X,X
TZJLISO,X,O,O,X,X,O,X,X,X
TZJLIOS,O,O,X,X,X,O,X,X,X
TZJLSIO,O,X,O,X,X,O,X,X,X
TZJLSOI,O,X,O,X,X,O,X,X,X
TZJLOIS,O,O,O,O,X,O,X,X,X
TZJLOSI,O,X,O,O,X,O,X,X,X
TZJSILO,O,X,O,X,O,X,X,X,X
TZJSIOL,X,X,O,X,O,X,X,X,X
TZJSLIO,O,X,O,X,O,X,X,X,X
TZJSLOI,O,X,O,X,O,X,X,X,X
TZJSOIL,X,X,O,O,O,X,X,X,X
TZJSOLI,X,X,O,O,O,X,X,X,X
TZJOILS,X,X,O,O,X,X,X,X,X
TZJOISL,X,X,O,O,X,X,X,X,X
TZJOLIS,X,X,O,O,X,X,X,X,X
TZJOLSI,X,X,O,O,X,X,X,X,X
TZJOSIL,X,X,O,O,O,X,X,X,X
TZJOSLI,X,X,O,O,O,X,X,X,X
TZSILJO,O,X,X,X,X,O,X,X,X
TZSILOJ,O,X,X,X,X,O,X,X,X
TZSIJLO,O,X,O,X,X,X,X,X,X
TZSIJOL,X,X,O,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,X,X,O,X
TZSIOJL,X,X,X,X,X,X,X,O,X
TZSLIJO,O,X,X,X,X,O,X,X,X
TZSLIOJ,O,X,X,X,X,O,X,X,X
TZSLJIO,O,X,X,X,O,O,X,X,X
TZSLJOI,O,X,X,X,O,O,X,X,X
TZSLOIJ,O,X,X,X,X,O,X,X,X
TZSLOJI,O,X,X,X,O,O,X,X,X
TZSJILO,O,X,O,X,O,X,X,X,X
TZSJIOL,X,X,O,X,O,X,X,X,X
TZSJLIO,O,X,O,X,O,X,X,X,X
TZSJLOI,O,X,O,X,O,X,X,X,X
TZSJOIL,X,X,O,O,O,X,X,X,X
TZSJOLI,X,X,O,O,O,X,X,X,X
TZSOILJ,X,X,X,X,X,X,X,O,X
TZSOIJL,X,X,X,X,X,X,X,O,X
TZSOLIJ,X,X,X,X,X,X,X,O,X
TZSOLJI,X,X,X,X,O,X,X,O,X
TZSOJIL,X,X,O,O,O,X,X,O,X
TZSOJLI,X,X,O,O,O,X,X,O,X
TZOILJS,X,X,X,O,X,O,X,X,X
TZOILSJ,X,X,X,X,X,O,X,X,X
TZOIJLS,X,X,O,O,X,X,X,X,X
TZOIJSL,X,X,O,O,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X,X,X,X
TZOISJL,X,X,X,O,X,X,X,X,X
TZOLIJS,X,X,X,X,X,O,X,X,X
TZOLISJ,X,X,X,X,X,O,X,X,X
TZOLJIS,X,X,O,O,X,O,X,X,X
TZOLJSI,X,X,O,O,X,O,X,X,X
TZOLSIJ,X,X,X,X,X,O,X,X,X
TZOLSJI,X,X,X,X,X,O,X,X,X
TZOJILS,X,X,O,O,X,X,X,X,X
TZOJISL,X,X,O,O,X,X,X,X,X
TZOJLIS,X,X,O,O,X,X,X,X,X
TZOJLSI,X,X,O,O,X,X,X,X,X
TZOJSIL,X,X,O,O,O,X,X,O,X
TZOJSLI,X,X,O,O,O,X,X,O,X
TZOSILJ,X,X,X,X,X,X,X,O,X
TZOSIJL,X,X,X,X,X,X,X,O,X
TZOSLIJ,X,X,X,X,X,X,X,O,X
TZOSLJI,X,X,X,X,O,X,X,O,X
TZOSJIL,X,X,O,O,O,X,X,O,X
TZOSJLI,X,X,O,O,O,X,X,O,X
TOILJSZ,X,X,X,X,X,X,O,X,X
TOILJZS,X,X,X,O,X,O,X,X,X
TOILSJZ,X,X,X,X,X,X,O,X,O
TOILSZJ,X,X,X,X,X,O,X,X,O
TOILZJS,X,X,X,O,X,O,X,X,X
TOILZSJ,X,X,X,X,X,O,X,X,X
TOIJLSZ,X,X,X,X,X,X,O,X,X
TOIJLZS,X,X,O,O,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,O,X,O
TOIJSZL,X,X,O,O,O,X,X,X,X
TOIJZLS,X,X,O,O,X,X,X,X,X
TOIJZSL,X,X,O,O,X,X,X,X,X
TOISLJZ,X,X,X,X,O,X,O,X,O
TOISLZJ,X,X,X,X,X,X,X,X,O
TOISJLZ,X,X,X,X,O,X,O,X,O
TOISJZL,X,X,X,O,O,X,X,X,X
TOISZLJ,X,X,X,X,X,X,X,X,O
TOISZJL,X,X,X,O,X,X,X,X,X
TOIZLJS,X,X,X,O,X,O,X,X,X
TOIZLSJ,X,X,X,X,X,O,X,X,X
TOIZJLS,X,X,O,O,X,X,X,X,X
TOIZJSL,X,X,O,O,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X,X,X,O
TOIZSJL,X,X,X,O,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,O,X,X
TOLIJZS,X,X,X,O,X,O,X,X,X
TOLISJZ,X,X,X,X,X,X,O,X,X
TOLISZJ,X,X,X,X,X,O,X,X,X
TOLIZJS,X,X,X,O,X,O,X,X,X
TOLIZSJ,X,X,X,X,X,O,X,X,X
TOLJISZ,X,X,X,X,X,X,O,X,X
TOLJIZS,X,X,O,O,X,O,X,X,X
TOLJSIZ,X,X,X,X,O,X,X,X,X
TOLJSZI,X,X,X,X,O,X,X,X,X
TOLJZIS,X,X,O,O,X,O,X,X,X
TOLJZSI,X,X,O,O,X,O,X,X,X
TOLSIJZ,X,X,X,X,O,X,X,X,X
TOLSIZJ,X,X,X,X,X,O,X,X,X
TOLSJIZ,X,X,X,X,O,X,X,X,X
TOLSJZI,X,X,X,X,O,X,X,X,X
TOLSZIJ,X,X,X,X,X,O,X,X,X
TOLSZJI,X,X,X,X,O,O,X,X,X
TOLZIJS,X,X,X,X,X,O,X,X,X
TOLZISJ,X,X,X,X,X,O,X,X,X
TOLZJIS,X,X,O,O,X,O,X,X,X
TOLZJSI,X,X,O,O,X,O,X,X,X
TOLZSIJ,X,X,X,X,X,O,X,X,X
TOLZSJI,X,X,X,X,X,O,X,X,X
TOJILSZ,X,X,X,X,X,X,O,X,X
TOJILZS,X,X,O,O,X,X,X,X,X
TOJISLZ,X,X,X,X,O,X,O,X,X
TOJISZL,X,X,O,O,O,X,X,X,X
TOJIZLS,X,X,O,O,X,X,X,X,X
TOJIZSL,X,X,O,O,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X,O,X,X
TOJLIZS,X,X,O,O,X,X,X,X,X
TOJLSIZ,X,X,X,X,O,X,X,X,X
TOJLSZI,X,X,X,X,O,X,X,X,X
TOJLZIS,X,X,O,O,X,X,X,X,X
TOJLZSI,X,X,O,O,X,X,X,X,X
TOJSILZ,X,X,X,X,O,X,X,X,X
TOJSIZL,X,X,O,O,O,X,X,X,X
TOJSLIZ,X,X,X,X,O,X,X,X,X
TOJSLZI,X,X,X,X,O,X,X,X,X
TOJSZIL,X,X,O,O,O,X,X,O,X
TOJSZLI,X,X,O,O,O,X,X,O,X
TOJZILS,X,X,O,O,X,X,X,X,X
TOJZISL,X,X,O,O,X,X,X,X,X
TOJZLIS,X,X,O,O,X,X,X,X,X
TOJZLSI,X,X,O,O,X,X,X,X,X
TOJZSIL,X,X,O,O,O,X,X,O,X
TOJZSLI,X,X,O,O,O,X,X,O,X
TOSILJZ,X,X,X,X,O,X,X,X,O
TOSILZJ,X,X,X,X,X,X,X,X,O
TOSIJLZ,X,X,X,X,O,X,X,X,O
TOSIJZL,X,X,X,O,O,X,X,X,X
TOSIZLJ,X,X,X,X,X,X,X,X,O
TOSIZJL,X,X,X,O,X,X,X,X,X
TOSLIJZ,X,X,X,X,O,X,X,X,O
TOSLIZJ,X,X,X,X,X,X,X,X,O
TOSLJIZ,X,X,X,X,O,X,X,X,X
TOSLJZI,X,X,X,X,O,X,X,X,X
TOSLZIJ,X,X,X,X,X,X,X,X,X
TOSLZJI,X,X,X,X,O,X,X,X,X
TOSJILZ,X,X,X,X,O,X,X,X,X
TOSJIZL,X,X,O,O,O,X,X,X,X
TOSJLIZ,X,X,X,X,O,X,X,X,X
TOSJLZI,X,X,X,X,O,X,X,X,X
TOSJZIL,X,X,O,O,O,X,X,O,X
TOSJZLI,X,X,O,O,O,X,X,O,X
TOSZILJ,X,X,X,X,X,X,X,O,X
TOSZIJL,X,X,X,X,X,X,X,O,X
TOSZLIJ,X,X,X,X,X,X,X,O,X
TOSZLJI,X,X,X,X,O,X,X,O,X
TOSZJIL,X,X,O,O,O,X,X,O,X
TOSZJLI,X,X,O,O,O,X,X,O,X
TOZILJS,X,X,X,O,X,O,X,X,X
TOZILSJ,X,X,X,X,X,O,X,X,X
TOZIJLS,X,X,O,O,X,X,X,X,X
TOZIJSL,X,X,O,O,X,X,X,X,X
TOZISLJ,X,X,X,X,X,X,X,X,X
TOZISJL,X,X,X,O,X,X,X,X,X
TOZLIJS,X,X,X,X,X,O,X,X,X
TOZLISJ,X,X,X,X,X,O,X,X,X
TOZLJIS,X,X,O,O,X,O,X,X,X
TOZLJSI,X,X,O,O,X,O,X,X,X
TOZLSIJ,X,X,X,X,X,O,X,X,X
TOZLSJI,X,X,X,X,X,O,X,X,X
TOZJILS,X,X,O,O,X,X,X,X,X
TOZJISL,X,X,O,O,X,X,X,X,X
TOZJLIS,X,X,O,O,X,X,X,X,X
TOZJLSI,X,X,O,O,X,X,X,X,X
TOZJSIL,X,X,O,O,O,X,X,O,X
TOZJSLI,X,X,O,O,O,X,X,O,X
TOZSILJ,X,X,X,X,X,X,X,O,X
TOZSIJL,X,X,X,X,X,X,X,O,X
TOZSLIJ,X,X,X,X,X,X,X,O,X
TOZSLJI,X,X,X,X,O,X,X,O,X
TOZSJIL,X,X,O,O,O,X,X,O,X
TOZSJLI,X,X,O,O,O,X,X,O,X
ITLJSZO,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,O,X,X
ITLJZSO,X,O,O,X,X,O,X,X,X
ITLJZOS,X,O,X,O,X,O,X,X,X
ITLJOSZ,O,O,X,X,X,X,O,X,X
ITLJOZS,O,O,O,O,X,O,X,X,X
ITLSJZO,X,O,X,X,X,X,X,X,X
ITLSJOZ,O,O,X,X,X,X,O,X,O
ITLSZJO,O,O,X,X,X,O,X,X,X
ITLSZOJ,O,O,X,X,X,O,X,X,O
ITLSOJZ,O,O,X,X,X,X,O,X,O
ITLSOZJ,O,O,X,X,X,O,X,X,O
ITLZJSO,X,O,O,X,X,O,X,X,X
ITLZJOS,O,O,X,O,X,O,X,X,X
ITLZSJO,X,O,X,X,X,O,X,X,X
ITLZSOJ,X,O,X,X,X,O,X,X,X
ITLZOJS,O,O,X,O,X,O,X,X,X
ITLZOSJ,X,O,X,X,X,O,X,X,X
ITLOJSZ,O,O,X,X,X,X,O,X,X
ITLOJZS,O,O,X,O,X,O,X,X,X
ITLOSJZ,O,O,X,X,X,X,O,X,O
ITLOSZJ,O,O,X,X,X,O,X,X,O
ITLOZJS,O,O,X,O,X,O,X,X,X
ITLOZSJ,X,O,X,X,X,O,X,X,X
ITJLSZO,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,O,X,X
ITJLZSO,X,O,O,X,X,O,X,X,X
ITJLZOS,X,O,X,O,X,O,X,X,X
ITJLOSZ,O,O,X,X,X,X,O,X,X
ITJLOZS,O,O,O,O,X,O,X,X,X
ITJSLZO,X,O,X,X,O,X,X,X,X
ITJSLOZ,X,O,X,X,O,X,O,X,O
ITJSZLO,X,O,O,X,O,X,X,X,X
ITJSZOL,X,X,O,O,O,X,X,X,X
ITJSOLZ,X,X,X,X,O,X,O,X,O
ITJSOZL,X,X,O,O,O,X,X,X,X
ITJZLSO,X,O,O,X,X,O,X,X,X
ITJZLOS,X,O,X,O,X,O,X,X,X
ITJZSLO,X,O,O,X,X,X,X,X,X
ITJZSOL,X,X,O,O,X,X,X,X,X
ITJZOLS,X,X,O,O,X,X,X,X,X
ITJZOSL,X,X,O,O,X,X,X,X,X
ITJOLSZ,X,X,X,X,X,X,O,X,X
ITJOLZS,X,X,O,O,X,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,O,X,O
ITJOSZL,X,X,O,O,O,X,X,X,X
ITJOZLS,X,X,O,O,X,X,X,X,X
ITJOZSL,X,X,O,O,X,X,X,X,X
ITSLJZO,X,O,X,X,O,X,X,X,X
ITSLJOZ,O,O,X,X,O,X,O,X,O
ITSLZJO,O,O,X,X,X,O,X,X,X
ITSLZOJ,O,O,X,X,X,O,X,X,O
ITSLOJZ,O,O,X,X,O,X,O,X,O
ITSLOZJ,O,O,X,X,X,O,X,X,O
ITSJLZO,X,O,X,X,O,X,X,X,X
ITSJLOZ,O,O,X,X,O,X,O,X,O
ITSJZLO,X,O,O,X,O,X,X,X,X
ITSJZOL,X,X,O,O,O,X,X,X,X
ITSJOLZ,X,X,X,X,O,X,O,X,O
ITSJOZL,X,X,O,O,O,X,X,X,X
ITSZLJO,O,O,X,X,X,O,X,X,X
ITSZLOJ,O,O,X,X,X,O,X,X,O
ITSZJLO,O,O,O,X,X,X,X,X,X
ITSZJOL,X,X,O,O,X,X,X,X,X
ITSZOLJ,X,X,X,X,X,X,X,X,O
ITSZOJL,X,X,X,O,X,X,X,X,X
ITSOLJZ,X,X,X,X,O,X,O,X,O
ITSOLZJ,X,X,X,X,X,X,X,X,O
ITSOJLZ,X,X,X,X,O,X,O,X,O
ITSOJZL,X,X,X,O,O,X,X,X,X
ITSOZLJ,X,X,X,X,X,X,X,X,O
ITSOZJL,X,X,X,O,X,X,X,X,X
ITZLJSO,X,O,O,X,X,O,X,X,X
ITZLJOS,O,O,X,O,X,O,X,X,X
ITZLSJO,X,O,X,X,X,O,X,X,X
ITZLSOJ,X,O,X,X,X,O,X,X,X
ITZLOJS,O,O,X,O,X,O,X,X,X
ITZLOSJ,X,O,X,X,X,O,X,X,X
ITZJLSO,X,O,O,X,X,O,X,X,X
ITZJLOS,O,O,X,O,X,O,X,X,X
ITZJSLO,X,O,O,X,X,X,X,X,X
ITZJSOL,X,X,O,O,X,X,X,X,X
ITZJOLS,X,X,O,O,X,X,X,X,X
ITZJOSL,X,X,O,O,X,X,X,X,X
ITZSLJO,X,O,X,X,X,O,X,X,X
ITZSLOJ,X,O,X,X,X,O,X,X,O
ITZSJLO,X,O,O,X,X,X,X,X,X
ITZSJOL,X,X,O,O,X,X,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,X,O
ITZSOJL,X,X,X,O,X,X,X,X,X
ITZOLJS,X,X,X,O,X,O,X,X,X
ITZOLSJ,X,X,X,X,X,O,X,X,X
ITZOJLS,X,X,O,O,X,X,X,X,X
ITZOJSL,X,X,O,O,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,X,X,X,O
ITZOSJL,X,X,X,O,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,X,O,X,X
ITOLJZS,X,X,X,O,X,O,X,X,X
ITOLSJZ,X,X,X,X,X,X,O,X,O
ITOLSZJ,X,X,X,X,X,O,X,X,O
ITOLZJS,X,X,X,O,X,O,X,X,X
ITOLZSJ,X,X,X,X,X,O,X,X,X
ITOJLSZ,X,X,X,X,X,X,O,X,X
ITOJLZS,X,X,O,O,X,X,X,X,X
ITOJSLZ,X,X,X,X,O,X,O,X,O
ITOJSZL,X,X,O,O,O,X,X,X,X
ITOJZLS,X,X,O,O,X,X,X,X,X
ITOJZSL,X,X,O,O,X,X,X,X,X
ITOSLJZ,X,X,X,X,O,X,O,X,O
ITOSLZJ,X,X,X,X,X,X,X,X,O
ITOSJLZ,X,X,X,X,O,X,O,X,O
ITOSJZL,X,X,X,O,O,X,X,X,X
ITOSZLJ,X,X,X,X,X,X,X,X,O
ITOSZJL,X,X,X,O,X,X,X,X,X
ITOZLJS,X,X,X,O,X,O,X,X,X
ITOZLSJ,X,X,X,X,X,O,X,X,X
ITOZJLS,X,X,O,O,X,X,X,X,X
ITOZJSL,X,X,O,O,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X,X,X,O
ITOZSJL,X,X,X,O,X,X,X,X,X
ILTJSZO,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,O,X,X
ILTJZSO,X,O,O,X,X,O,X,X,X
ILTJZOS,X,O,X,O,X,O,X,X,X
ILTJOSZ,O,O,X,X,X,X,O,X,X
ILTJOZS,O,O,O,O,X,O,X,X,X
ILTSJZO,X,O,X,X,X,X,X,X,X
ILTSJOZ,O,O,X,X,X,X,O,X,O
ILTSZJO,O,O,X,X,X,O,X,X,X
ILTSZOJ,O,O,X,X,X,O,X,X,O
ILTSOJZ,O,O,X,X,X,X,O,X,O
ILTSOZJ,O,O,X,X,X,O,X,X,O
ILTZJSO,X,O,O,X,X,O,X,X,X
ILTZJOS,O,O,X,O,X,O,X,X,X
ILTZSJO,X,O,X,X,X,O,X,X,X
ILTZSOJ,X,O,X,X,X,O,X,X,X
ILTZOJS,O,O,X,O,X,O,X,X,X
ILTZOSJ,X,O,X,X,X,O,X,X,X
ILTOJSZ,O,O,X,X,X,X,O,X,X
ILTOJZS,O,O,X,O,X,O,X,X,X
ILTOSJZ,O,O,X,X,X,X,O,X,O
ILTOSZJ,O,O,X,X,X,O,X,X,O
ILTOZJS,O,O,X,O,X,O,X,X,X
ILTOZSJ,X,O,X,X,X,O,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,O,X,X
ILJTZSO,X,O,O,X,X,O,X,X,X
ILJTZOS,X,O,X,O,X,O,X,X,X
ILJTOSZ,O,O,X,X,X,X,O,X,X
ILJTOZS,O,O,O,O,X,O,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,O,X,X
ILJSZTO,O,O,X,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,O,X,X
ILJSOTZ,O,O,X,X,X,X,O,X,X
ILJSOZT,O,O,X,X,X,X,O,X,X
ILJZTSO,X,O,O,X,X,X,X,X,X
ILJZTOS,O,O,X,O,X,X,X,X,X
ILJZSTO,O,O,O,X,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,O,X,X
ILJZOTS,O,O,X,O,X,X,X,X,X
ILJZOST,O,O,X,X,X,X,O,X,X
ILJOTSZ,O,O,X,X,X,X,O,X,X
ILJOTZS,O,O,O,O,X,O,X,X,X
ILJOSTZ,O,O,X,X,X,X,O,X,X
ILJOSZT,O,O,X,X,X,X,O,X,X
ILJOZTS,O,O,O,O,X,X,X,X,X
ILJOZST,O,O,O,X,X,X,O,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,O,X,O
ILSTZJO,O,O,X,X,X,O,X,X,X
ILSTZOJ,O,O,X,X,X,O,X,X,O
ILSTOJZ,O,O,X,X,X,X,O,X,O
ILSTOZJ,O,O,X,X,X,O,X,X,O
ILSJTZO,X,O,X,X,X,X,X,X,X
ILSJTOZ,O,O,X,X,X,X,O,X,O
ILSJZTO,O,O,X,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,O,X,X
ILSJOTZ,O,O,X,X,X,X,O,X,O
ILSJOZT,O,O,X,X,X,X,O,X,X
ILSZTJO,O,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X,O
ILSZJTO,O,O,X,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,O,X,X
ILSZOTJ,O,O,X,X,X,X,X,X,O
ILSZOJT,O,O,X,X,X,X,O,X,X
ILSOTJZ,O,O,X,X,X,X,O,X,O
ILSOTZJ,O,O,X,X,X,O,X,X,O
ILSOJTZ,O,O,X,X,X,X,O,X,O
ILSOJZT,O,O,X,X,X,X,O,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,O
ILSOZJT,O,O,X,X,X,X,O,X,X
ILZTJSO,X,O,O,X,X,O,X,X,X
ILZTJOS,O,O,X,O,X,O,X,X,X
ILZTSJO,X,O,X,X,X,O,X,X,X
ILZTSOJ,X,O,X,X,X,O,X,X,X
ILZTOJS,O,O,X,O,X,O,X,X,X
ILZTOSJ,X,O,X,X,X,O,X,X,X
ILZJTSO,X,O,O,X,X,X,X,X,X
ILZJTOS,O,O,X,O,X,X,X,X,X
ILZJSTO,O,O,O,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,O,X,X
ILZJOTS,O,O,X,O,X,X,X,X,X
ILZJOST,O,O,X,X,X,X,O,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,O,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,O,X,X
ILZOTJS,O,O,X,O,X,O,X,X,X
ILZOTSJ,X,O,X,X,X,O,X,X,X
ILZOJTS,O,O,X,O,X,X,X,X,X
ILZOJST,O,O,X,X,X,X,O,X,X
ILZOSTJ,O,O,X,X,X,X,X,X,X
ILZOSJT,O,O,X,X,X,X,O,X,X
ILOTJSZ,O,O,X,X,X,X,O,X,X
ILOTJZS,O,O,X,O,X,O,X,X,X
ILOTSJZ,O,O,X,X,X,X,O,X,O
ILOTSZJ,O,O,X,X,X,O,X,X,O
ILOTZJS,O,O,X,O,X,O,X,X,X
ILOTZSJ,X,O,X,X,X,O,X,X,X
ILOJTSZ,O,O,X,X,X,X,O,X,X
ILOJTZS,O,O,X,O,X,O,X,X,X
ILOJSTZ,O,O,X,X,X,X,O,X,X
ILOJSZT,O,O,X,X,X,X,O,X,X
ILOJZTS,O,O,X,O,X,X,X,X,X
ILOJZST,O,O,X,X,X,X,O,X,X
ILOSTJZ,O,O,X,X,X,X,O,X,O
ILOSTZJ,O,O,X,X,X,O,X,X,O
ILOSJTZ,O,O,X,X,X,X,O,X,O
ILOSJZT,O,O,X,X,X,X,O,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,O
ILOSZJT,O,O,X,X,X,X,O,X,X
ILOZTJS,O,O,X,O,X,O,X,X,X
ILOZTSJ,X,O,X,X,X,O,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X,X
ILOZJST,O,O,X,X,X,X,O,X,X
ILOZSTJ,O,O,X,X,X,X,X,X,X
ILOZSJT,O,O,X,X,X,X,O,X,X
IJTLSZO,X,O,X,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,O,X,X
IJTLZSO,X,O,O,X,X,O,X,X,X
IJTLZOS,X,O,X,O,X,O,X,X,X
IJTLOSZ,O,O,X,X,X,X,O,X,X
IJTLOZS,O,O,O,O,X,O,X,X,X
IJTSLZO,X,O,X,X,O,X,X,X,X
IJTSLOZ,X,O,X,X,O,X,O,X,O
IJTSZLO,X,O,O,X,O,X,X,X,X
IJTSZOL,X,X,O,O,O,X,X,X,X
IJTSOLZ,X,X,X,X,O,X,O,X,O
IJTSOZL,X,X,O,O,O,X,X,X,X
IJTZLSO,X,O,O,X,X,O,X,X,X
IJTZLOS,X,O,X,O,X,O,X,X,X
IJTZSLO,X,O,O,X,X,X,X,X,X
IJTZSOL,X,X,O,O,X,X,X,X,X
IJTZOLS,X,X,O,O,X,X,X,X,X
IJTZOSL,X,X,O,O,X,X,X,X,X
IJTOLSZ,X,X,X,X,X,X,O,X,X
IJTOLZS,X,X,O,O,X,X,X,X,X
IJTOSLZ,X,X,X,X,O,X,O,X,O
IJTOSZL,X,X,O,O,O,X,X,X,X
IJTOZLS,X,X,O,O,X,X,X,X,X
IJTOZSL,X,X,O,O,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,O,X,X
IJLTZSO,X,O,O,X,X,O,X,X,X
IJLTZOS,X,O,X,O,X,O,X,X,X
IJLTOSZ,O,O,X,X,X,X,O,X,X
IJLTOZS,O,O,O,O,X,O,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,O,X,X
IJLSZTO,O,O,X,X,X,X,X,X,X
IJLSZOT,O,O,X,X,X,X,O,X,X
IJLSOTZ,O,O,X,X,X,X,O,X,X
IJLSOZT,O,O,X,X,X,X,O,X,X
IJLZTSO,X,O,O,X,X,X,X,X,X
IJLZTOS,O,O,X,O,X,X,X,X,X
IJLZSTO,O,O,O,X,X,X,X,X,X
IJLZSOT,O,O,X,X,X,X,O,X,X
IJLZOTS,O,O,X,O,X,X,X,X,X
IJLZOST,O,O,X,X,X,X,O,X,X
IJLOTSZ,O,O,X,X,X,X,O,X,X
IJLOTZS,O,O,O,O,X,O,X,X,X
IJLOSTZ,O,O,X,X,X,X,O,X,X
IJLOSZT,O,O,X,X,X,X,O,X,X
IJLOZTS,O,O,O,O,X,X,X,X,X
IJLOZST,O,O,O,X,X,X,O,X,X
IJSTLZO,X,O,X,X,O,X,X,X,X
IJSTLOZ,O,O,X,X,O,X,O,X,O
IJSTZLO,X,O,O,X,O,X,X,X,X
IJSTZOL,X,X,O,O,O,X,X,X,X
IJSTOLZ,X,X,X,X,O,X,O,X,O
IJSTOZL,X,X,O,O,O,X,X,X,X
IJSLTZO,X,O,X,X,O,X,X,X,X
IJSLTOZ,O,O,X,X,O,X,O,X,O
IJSLZTO,O,O,X,X,X,X,X,X,X
IJSLZOT,O,O,X,X,X,X,O,X,X
IJSLOTZ,O,O,X,X,O,X,O,X,O
IJSLOZT,O,O,X,X,X,X,O,X,X
IJSZTLO,O,O,O,X,X,X,X,X,X
IJSZTOL,X,X,O,O,X,X,X,X,X
IJSZLTO,O,O,O,X,X,X,X,X,X
