sequence,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBcnBTjBSqBFtB,v115@RhA8CeB8DeH8AeA8Je/EJvhFRgB1mB0iB6oBTlBmsB,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBFjBSqBTnBctB,v115@RhA8CeB8DeH8AeA8Jei/IvhFulB1mBxiBzkB3nBctB,v115@RhA8CeB8DeH8AeA8JeXDJvhFlkBRmBctBmpBCrBTsB
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,O,X,X,O,X
TOLJZSI,O,X,X,O,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,O,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,O,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,O,X,X,O,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,X,X,O,X
TOLZJSI,O,X,X,O,X
TOLZSIJ,O,O,X,O,X
TOLZSJI,O,X,X,O,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,O,X
TOJISLZ,X,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,O,X,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,O,X,X,O,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,O,X,X,O,X
TOJLZSI,O,X,X,O,X
TOJSILZ,X,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,X,O,X
TOJZISL,O,X,X,X,X
TOJZLIS,O,X,X,O,X
TOJZLSI,O,X,X,O,X
TOJZSIL,O,X,X,O,X
TOJZSLI,O,X,X,O,X
TOSILJZ,X,X,X,X,X
TOSILZJ,X,O,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,O,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,O,X,X,X
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,O,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,X,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,O,X,X,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,O,X,X,X
TOSZLJI,X,X,X,X,X
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,X,X,X,O,X
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,X,O,X
TOZIJSL,X,X,X,X,X
TOZISLJ,X,X,X,X,X
TOZISJL,X,X,X,X,X
TOZLIJS,O,X,X,O,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,X,X,O,X
TOZLJSI,O,X,X,O,X
TOZLSIJ,O,O,X,O,X
TOZLSJI,O,X,X,O,X
TOZJILS,X,X,X,O,X
TOZJISL,O,X,X,X,X
TOZJLIS,O,X,X,O,X
TOZJLSI,O,X,X,O,X
TOZJSIL,O,X,X,O,X
TOZJSLI,O,X,X,O,X
TOZSILJ,X,O,X,O,X
TOZSIJL,O,X,X,O,X
TOZSLIJ,O,O,X,O,X
TOZSLJI,O,X,X,O,X
TOZSJIL,O,X,X,O,X
TOZSJLI,O,X,X,O,X
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
