sequence,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeeFJvhFRhBCjB8rBT?oB3qBFrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JelAJvhF3hBCjB8rBT?oBRqB2vB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JecGJvhFenBCjBXlBT?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFxiBKrBFnBT?oBGmBUqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFGjBXlBTmBU?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFRhBziB+oBU?qBirBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeCCJvhFmlBxnBllBT?oBUqB3rB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiAJvhFcmBxiBXnBT?oBFqBWwB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiBJvhFXlBzmBFoB0?lBGoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JezBJvhFSoBXlB2rBl?lBUoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexAJvhFziB+oBVqBi?rB8rB3qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexCJvhFmlBXnBToBF?qB6rB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeGDJvhFVqBRmBUoBi?mB3rBTqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFWoBxlB/rBT?oBFqB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0AJvhFfoB6oBzmBR?qB2vBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0BJvhFWoBllBXlBy?rBToBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JefIJvhF6oBVqBRmBO?rB8rBTqB
IZTJSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZTJSOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZTJOLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZTJOSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZTSLJO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IZTSLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTSJLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IZTSJOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZTSOLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTSOJL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZTOLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTOJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IZTOJSL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
IZTOSLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZTOSJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZLJOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
IZJTLOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
IZJTSLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
IZJTSOL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZJTOLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IZJTOSL,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
IZJLTSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJLOTS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJSTLO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZJSTOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZJSLTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJSOTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZJOSTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZSTLJO,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZSTLOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJLO,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZSTJOL,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZSTOLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSLTJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
IZSJTLO,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZSJTOL,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZSJOTL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSOLJT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
IZSOJTL,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOTSJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTJL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IZOSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IZOSJTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTLZJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTJZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOTSLZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTSZLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTSZJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTZLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTZJSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTZSLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLTZJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOLJSZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOLSTZJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOLSJZT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOLSZTJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOLZTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJTLZS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOJTSZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJTZLS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZSL,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJLSZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJLZTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X
IOJSLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJSZTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJZTLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJZSTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOSTLZJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSTZLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSTZJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X
IOSLTZJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOSLJZT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOSLZTJ,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOSJTLZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IOSJLZT,O,X,O,X,O,X,O,X,X,O,X,X,X,X,O,X,X
IOSJZTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZTJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSZLTJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOSZJTL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJLS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZLTJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSTJL,X,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZSLTJ,X,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZSLJT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
IOZSJTL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTIJZSO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTISJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTISZJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTIZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTIOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJIZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJIOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJIOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJSZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJZSIO,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJZSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
LTSIJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
LTSIJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
LTSIZJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
LTSIZOJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSIOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
LTSJIZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
LTSJIOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
LTSJZIO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
LTSZIOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSZJIO,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
LTSZJOI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOJI,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSOIZJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O
LTSOJIZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSOZIJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTSOZJI,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LTZIJSO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
LTZIJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
