sequence,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgB3hBOsBTtBCtBxvB,v115@HhA8IeB8HeF8AeC8Jex/IvhFXhBVnBUlBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jex/IvhFemBUiBFlBfsBTtBCtB,v115@HhA8IeB8HeF8AeC8Jel/IvhFzgB0iB6oB2qBRsBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFxgB6oB3lB1rBznBOsB,v115@HhA8IeB8HeF8AeC8Jex/IvhFUlBFmBXnBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jel/IvhFclBemBxiBSsBToBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFTjB3lBCnBmlBxsBFsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgByqBfsBxsBGsBTtB,v115@HhA8IeB8HeF8AeC8Jel/IvhF3hBTlBxnBUmBGoBisB
TSOLJZI,X,X,O,X,O,X,X,X,X,X
TSOLZIJ,X,X,X,X,O,O,X,X,X,X
TSOLZJI,X,X,X,X,O,O,O,X,X,X
TSOJILZ,X,X,O,X,O,X,X,X,X,X
TSOJIZL,X,X,O,X,O,X,X,X,X,X
TSOJLIZ,X,X,O,X,O,X,X,X,X,X
TSOJLZI,X,X,O,X,O,X,X,X,X,X
TSOJZIL,X,X,O,X,O,O,X,X,X,X
TSOJZLI,X,X,O,X,O,O,X,X,X,X
TSOZILJ,X,X,X,X,O,O,X,X,X,X
TSOZIJL,X,X,O,X,O,O,X,X,X,X
TSOZLIJ,X,X,X,X,O,O,X,X,X,X
TSOZLJI,X,X,X,X,O,O,O,X,X,X
TSOZJIL,X,X,O,X,O,O,X,X,X,X
TSOZJLI,X,X,O,X,O,O,O,X,X,X
TZILJSO,O,X,X,O,X,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,O,X,X,X
TZILSJO,O,X,X,X,X,X,X,X,O,X
TZILSOJ,X,X,X,X,X,O,X,O,O,X
TZILOJS,O,X,X,X,X,X,O,X,X,X
TZILOSJ,X,X,X,X,X,O,X,O,X,X
TZIJLSO,O,O,X,O,X,X,X,X,X,X
TZIJLOS,O,O,X,O,X,X,O,X,X,X
TZIJSLO,O,O,O,X,X,X,X,X,X,X
TZIJSOL,O,O,O,X,X,O,X,X,X,X
TZIJOLS,O,O,X,O,X,X,O,X,X,X
TZIJOSL,O,O,O,X,X,O,X,X,X,X
TZISLJO,O,X,X,X,X,X,X,X,X,X
TZISLOJ,X,X,X,X,O,O,X,O,X,X
TZISJLO,O,X,O,X,X,X,X,X,X,X
TZISJOL,O,X,O,X,O,O,X,X,X,X
TZISOLJ,X,X,X,X,O,O,X,O,X,X
TZISOJL,O,X,O,X,O,O,X,X,X,X
TZIOLJS,O,X,X,X,X,X,O,X,X,X
TZIOLSJ,X,X,X,X,O,O,X,O,X,X
TZIOJLS,O,O,X,X,X,X,O,X,X,X
TZIOJSL,O,O,O,X,X,O,X,X,X,X
TZIOSLJ,X,X,X,X,O,O,X,O,X,X
TZIOSJL,O,X,O,X,O,O,X,X,X,X
TZLIJSO,O,X,X,O,X,X,X,X,X,X
TZLIJOS,O,X,X,O,X,X,O,X,X,X
TZLISJO,O,X,X,X,X,X,X,X,O,X
TZLISOJ,X,X,X,X,X,O,X,O,O,X
TZLIOJS,O,X,X,X,X,X,O,X,X,X
TZLIOSJ,X,X,X,X,X,O,X,O,X,O
TZLJISO,X,X,X,O,X,X,X,X,X,X
TZLJIOS,X,X,X,O,X,X,O,X,X,X
TZLJSIO,X,X,X,X,X,X,X,X,O,X
TZLJSOI,O,X,X,X,X,X,O,X,X,X
TZLJOIS,X,X,X,O,X,X,O,X,X,X
TZLJOSI,O,X,X,X,X,X,O,X,X,X
TZLSIJO,X,X,X,X,X,X,X,X,O,X
TZLSIOJ,X,X,X,X,O,O,X,O,O,X
TZLSJIO,X,X,X,X,X,X,X,X,O,X
TZLSJOI,X,X,X,X,X,X,O,X,X,X
TZLSOIJ,X,X,X,X,O,O,X,X,O,X
TZLSOJI,X,X,X,X,O,O,O,X,X,X
TZLOIJS,O,X,X,X,X,X,O,X,X,X
TZLOISJ,X,X,X,X,O,O,X,X,X,O
TZLOJIS,X,X,X,X,X,X,O,X,X,X
TZLOJSI,O,X,X,X,O,X,O,X,X,X
TZLOSIJ,X,X,X,X,O,O,X,X,O,X
TZLOSJI,X,X,X,X,O,O,O,X,X,X
TZJILSO,O,O,X,O,X,X,X,X,X,X
TZJILOS,O,O,X,O,X,X,O,X,X,X
TZJISLO,O,O,O,X,X,X,X,X,X,X
TZJISOL,O,O,O,X,X,O,X,X,X,X
TZJIOLS,O,O,X,O,X,X,O,X,X,X
TZJIOSL,O,O,O,X,X,O,X,X,X,X
TZJLISO,X,O,X,O,X,X,X,X,X,X
TZJLIOS,X,O,X,O,X,X,O,X,X,X
TZJLSIO,X,O,X,X,X,X,X,X,O,X
TZJLSOI,O,O,X,X,X,X,O,X,X,X
TZJLOIS,X,O,X,O,X,X,O,X,X,X
TZJLOSI,O,O,X,X,X,X,O,X,X,X
TZJSILO,X,O,O,X,X,X,X,X,X,X
TZJSIOL,O,O,O,X,O,O,X,X,X,X
TZJSLIO,X,O,O,X,X,X,X,X,X,X
TZJSLOI,O,O,O,X,X,X,O,X,X,X
TZJSOIL,O,O,O,X,O,O,X,X,X,X
TZJSOLI,O,O,O,X,O,O,O,X,X,X
TZJOILS,O,O,X,O,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,O,X,X,X,X
TZJOLIS,X,O,X,O,X,X,O,X,X,X
TZJOLSI,O,O,X,X,O,X,O,X,X,X
TZJOSIL,O,O,O,X,O,O,X,X,X,X
TZJOSLI,O,O,O,X,O,O,O,X,X,X
TZSILJO,O,X,X,X,X,X,X,X,O,X
TZSILOJ,X,X,X,X,O,O,X,O,O,X
TZSIJLO,O,X,O,X,X,X,X,X,X,X
TZSIJOL,O,X,O,X,O,O,X,X,X,X
TZSIOLJ,X,X,X,X,O,O,X,O,X,X
TZSIOJL,O,X,O,X,O,O,X,X,X,X
TZSLIJO,X,X,X,X,X,X,X,X,O,X
TZSLIOJ,X,X,X,X,O,O,X,O,O,X
TZSLJIO,X,X,X,X,X,X,X,X,O,X
TZSLJOI,X,X,X,X,X,X,O,X,X,X
TZSLOIJ,X,X,X,X,O,O,X,X,O,X
TZSLOJI,X,X,X,X,O,O,O,X,X,X
TZSJILO,X,X,O,X,X,X,X,X,X,X
TZSJIOL,O,X,O,X,O,O,X,X,X,X
TZSJLIO,X,X,O,X,X,X,X,X,X,X
TZSJLOI,O,X,O,X,X,X,O,X,X,X
TZSJOIL,O,X,O,X,O,O,X,X,X,X
TZSJOLI,O,X,O,X,O,O,O,X,X,X
TZSOILJ,X,X,X,X,O,O,X,X,X,X
TZSOIJL,O,X,O,X,O,O,X,X,X,X
TZSOLIJ,X,X,X,X,O,O,X,X,X,X
TZSOLJI,X,X,X,X,O,O,O,X,X,X
TZSOJIL,O,X,O,X,O,O,X,X,X,X
TZSOJLI,O,X,O,X,O,O,O,X,X,X
TZOILJS,O,X,X,X,X,X,O,X,X,X
TZOILSJ,X,X,X,X,O,O,X,X,X,X
TZOIJLS,O,O,X,X,X,X,O,X,X,X
TZOIJSL,O,O,O,X,X,O,X,X,X,X
TZOISLJ,X,X,X,X,O,O,X,X,X,X
TZOISJL,O,X,O,X,O,O,X,X,X,X
TZOLIJS,O,X,X,X,X,X,O,X,X,X
TZOLISJ,X,X,X,X,O,O,X,X,X,O
TZOLJIS,X,X,X,X,X,X,O,X,X,X
TZOLJSI,O,X,X,X,O,X,O,X,X,X
TZOLSIJ,X,X,X,X,O,O,X,X,O,X
TZOLSJI,X,X,X,X,O,O,O,X,X,X
TZOJILS,O,O,X,X,X,X,O,X,X,X
TZOJISL,O,O,O,X,X,O,X,X,X,X
TZOJLIS,X,O,X,X,X,X,O,X,X,X
TZOJLSI,O,O,X,X,O,X,O,X,X,X
TZOJSIL,O,O,O,X,O,O,X,X,X,X
TZOJSLI,O,O,O,X,O,O,O,X,X,X
TZOSILJ,X,X,X,X,O,O,X,X,X,X
TZOSIJL,O,X,O,X,O,O,X,X,X,X
TZOSLIJ,X,X,X,X,O,O,X,X,X,X
TZOSLJI,X,X,X,X,O,O,O,X,X,X
TZOSJIL,O,X,O,X,O,O,X,X,X,X
TZOSJLI,O,X,O,X,O,O,O,X,X,X
TOILJSZ,O,X,O,O,X,X,X,X,X,O
TOILJZS,O,X,X,O,X,X,X,X,X,X
TOILSJZ,X,X,O,X,O,X,X,X,X,O
TOILSZJ,X,X,X,X,O,X,X,X,X,O
TOILZJS,O,X,X,X,X,X,O,X,X,X
TOILZSJ,X,X,X,X,O,X,X,X,X,O
TOIJLSZ,O,X,O,O,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X
TOIJSLZ,O,X,O,O,X,X,X,X,X,X
TOIJSZL,O,X,O,X,X,X,X,X,X,X
TOIJZLS,O,X,X,O,X,X,X,X,X,X
TOIJZSL,O,X,O,X,X,X,X,X,X,X
TOISLJZ,X,X,O,X,O,X,X,X,X,X
TOISLZJ,X,X,X,X,O,X,X,X,X,X
TOISJLZ,O,X,O,X,O,X,X,X,X,X
TOISJZL,O,X,O,X,O,X,X,X,X,X
TOISZLJ,X,X,X,X,O,O,X,X,X,X
TOISZJL,O,X,O,X,O,O,X,X,X,X
TOIZLJS,O,X,X,X,X,X,O,X,X,X
TOIZLSJ,X,X,X,X,O,O,X,X,X,X
TOIZJLS,O,O,X,X,X,X,O,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X,X,X
TOIZSLJ,X,X,X,X,O,O,X,X,X,X
TOIZSJL,O,X,O,X,O,O,X,X,X,X
TOLIJSZ,X,X,O,O,X,X,X,X,X,O
TOLIJZS,X,X,X,O,X,X,X,X,X,X
TOLISJZ,X,X,O,X,O,X,X,X,X,O
TOLISZJ,X,X,X,X,O,X,X,X,X,O
TOLIZJS,X,X,X,X,X,X,O,X,X,X
TOLIZSJ,X,X,X,X,O,X,X,X,X,O
TOLJISZ,X,X,O,O,X,X,X,X,X,O
TOLJIZS,X,X,X,O,X,X,X,X,X,X
TOLJSIZ,X,X,O,O,O,X,X,X,X,X
TOLJSZI,X,X,O,X,O,X,X,X,X,X
TOLJZIS,X,X,X,O,X,X,O,X,X,X
TOLJZSI,X,X,X,X,O,X,O,X,X,X
TOLSIJZ,X,X,O,X,O,X,X,X,X,O
TOLSIZJ,X,X,X,X,O,X,X,X,X,O
TOLSJIZ,X,X,O,X,O,X,X,X,X,X
TOLSJZI,X,X,O,X,O,X,X,X,X,X
TOLSZIJ,X,X,X,X,O,O,X,X,X,X
TOLSZJI,X,X,X,X,O,O,O,X,X,X
TOLZIJS,X,X,X,X,X,X,O,X,X,X
TOLZISJ,X,X,X,X,O,O,X,X,X,O
TOLZJIS,X,X,X,X,X,X,O,X,X,X
TOLZJSI,X,X,X,X,O,X,O,X,X,X
TOLZSIJ,X,X,X,X,O,O,X,X,X,X
TOLZSJI,X,X,X,X,O,O,O,X,X,X
TOJILSZ,O,X,O,O,X,X,X,X,X,X
TOJILZS,O,X,X,O,X,X,X,X,X,X
TOJISLZ,O,X,O,O,X,X,X,X,X,X
TOJISZL,O,O,O,X,X,X,X,X,X,X
TOJIZLS,O,O,X,O,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,X,X,X
TOJLISZ,X,X,O,O,X,X,X,X,X,O
TOJLIZS,X,X,X,O,X,X,X,X,X,X
TOJLSIZ,X,X,O,O,O,X,X,X,X,X
TOJLSZI,X,O,O,X,O,X,X,X,X,X
TOJLZIS,X,O,X,O,X,X,O,X,X,X
TOJLZSI,X,O,X,X,O,X,O,X,X,X
TOJSILZ,O,X,O,O,O,X,X,X,X,X
TOJSIZL,O,O,O,X,O,X,X,X,X,X
TOJSLIZ,X,X,O,O,O,X,X,X,X,X
TOJSLZI,O,O,O,X,O,X,X,X,X,X
TOJSZIL,O,O,O,X,O,O,X,X,X,X
TOJSZLI,O,O,O,X,O,O,X,X,X,X
TOJZILS,X,O,X,O,X,X,O,X,X,X
TOJZISL,O,O,O,X,X,O,X,X,X,X
TOJZLIS,X,O,X,O,X,X,O,X,X,X
TOJZLSI,O,O,X,X,O,X,O,X,X,X
TOJZSIL,O,O,O,X,O,O,X,X,X,X
TOJZSLI,O,O,O,X,O,O,O,X,X,X
TOSILJZ,X,X,O,X,O,X,X,X,X,X
TOSILZJ,X,X,X,X,O,X,X,X,X,X
TOSIJLZ,X,X,O,X,O,X,X,X,X,X
TOSIJZL,X,X,O,X,O,X,X,X,X,X
TOSIZLJ,X,X,X,X,O,O,X,X,X,X
TOSIZJL,X,X,O,X,O,O,X,X,X,X
TOSLIJZ,X,X,O,X,O,X,X,X,X,O
TOSLIZJ,X,X,X,X,O,X,X,X,X,O
TOSLJIZ,X,X,O,X,O,X,X,X,X,X
TOSLJZI,X,X,O,X,O,X,X,X,X,X
TOSLZIJ,X,X,X,X,O,O,X,X,X,X
TOSLZJI,X,X,X,X,O,O,O,X,X,X
TOSJILZ,X,X,O,X,O,X,X,X,X,X
TOSJIZL,X,X,O,X,O,X,X,X,X,X
TOSJLIZ,X,X,O,X,O,X,X,X,X,X
TOSJLZI,X,X,O,X,O,X,X,X,X,X
TOSJZIL,X,X,O,X,O,O,X,X,X,X
TOSJZLI,X,X,O,X,O,O,X,X,X,X
TOSZILJ,X,X,X,X,O,O,X,X,X,X
TOSZIJL,X,X,O,X,O,O,X,X,X,X
TOSZLIJ,X,X,X,X,O,O,X,X,X,X
TOSZLJI,X,X,X,X,O,O,O,X,X,X
TOSZJIL,X,X,O,X,O,O,X,X,X,X
TOSZJLI,X,X,O,X,O,O,O,X,X,X
TOZILJS,O,X,X,X,X,X,O,X,X,X
TOZILSJ,X,X,X,X,O,O,X,X,X,X
TOZIJLS,O,O,X,X,X,X,O,X,X,X
TOZIJSL,O,O,O,X,X,O,X,X,X,X
TOZISLJ,X,X,X,X,O,O,X,X,X,X
TOZISJL,O,X,O,X,O,O,X,X,X,X
TOZLIJS,O,X,X,X,X,X,O,X,X,X
TOZLISJ,X,X,X,X,O,O,X,X,X,O
TOZLJIS,X,X,X,X,X,X,O,X,X,X
TOZLJSI,O,X,X,X,O,X,O,X,X,X
TOZLSIJ,X,X,X,X,O,O,X,X,X,X
TOZLSJI,X,X,X,X,O,O,O,X,X,X
TOZJILS,O,O,X,X,X,X,O,X,X,X
TOZJISL,O,O,O,X,X,O,X,X,X,X
TOZJLIS,X,O,X,X,X,X,O,X,X,X
TOZJLSI,O,O,X,X,O,X,O,X,X,X
TOZJSIL,O,O,O,X,O,O,X,X,X,X
TOZJSLI,O,O,O,X,O,O,O,X,X,X
TOZSILJ,X,X,X,X,O,O,X,X,X,X
TOZSIJL,O,X,O,X,O,O,X,X,X,X
TOZSLIJ,X,X,X,X,O,O,X,X,X,X
TOZSLJI,X,X,X,X,O,O,O,X,X,X
TOZSJIL,O,X,O,X,O,O,X,X,X,X
TOZSJLI,O,X,O,X,O,O,O,X,X,X
ITLJSZO,O,X,O,O,X,X,X,X,X,X
ITLJSOZ,O,X,O,O,X,X,X,X,X,X
ITLJZSO,O,X,X,O,X,X,X,X,X,X
ITLJZOS,O,X,X,O,X,X,X,X,X,X
ITLJOSZ,O,X,O,O,X,X,X,X,X,O
ITLJOZS,O,X,X,O,X,X,X,X,X,X
ITLSJZO,O,X,O,O,X,X,X,X,X,X
ITLSJOZ,O,X,O,O,X,X,X,X,X,X
ITLSZJO,O,X,X,X,X,X,X,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,O,X,X
ITLSOJZ,X,X,O,X,X,X,X,X,X,O
ITLSOZJ,X,X,X,X,X,X,X,O,X,O
ITLZJSO,O,X,X,O,X,X,X,X,X,X
ITLZJOS,O,X,X,O,X,X,O,X,X,X
ITLZSJO,O,X,X,X,X,X,X,X,X,X
ITLZSOJ,X,X,X,X,X,X,X,O,X,X
ITLZOJS,O,X,X,X,X,X,O,X,X,X
ITLZOSJ,X,X,X,X,X,X,X,O,X,O
ITLOJSZ,O,X,O,O,X,X,X,X,X,O
ITLOJZS,O,X,X,O,X,X,X,X,X,X
ITLOSJZ,X,X,O,X,X,X,X,X,X,O
ITLOSZJ,X,X,X,X,X,X,X,O,X,O
ITLOZJS,O,X,X,X,X,X,O,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,O,X,O
ITJLSZO,O,X,O,O,X,X,X,X,X,X
ITJLSOZ,O,X,O,O,X,X,X,X,X,X
ITJLZSO,O,X,X,O,X,X,X,X,X,X
ITJLZOS,O,X,X,O,X,X,X,X,X,X
ITJLOSZ,O,X,O,O,X,X,X,X,X,X
ITJLOZS,O,X,X,O,X,X,X,X,X,X
ITJSLZO,O,X,O,O,X,X,X,X,X,X
ITJSLOZ,O,X,O,O,X,X,X,X,X,X
ITJSZLO,O,X,O,X,X,X,X,X,X,X
ITJSZOL,O,X,O,X,X,X,X,X,X,X
ITJSOLZ,O,X,O,O,X,X,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X,X,X
ITJZLSO,O,X,X,O,X,X,X,X,X,X
ITJZLOS,O,X,X,O,X,X,X,X,X,X
ITJZSLO,O,X,O,X,X,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,X,X,X
ITJOLSZ,O,X,O,O,X,X,X,X,X,X
ITJOLZS,O,X,X,O,X,X,X,X,X,X
ITJOSLZ,O,X,O,O,X,X,X,X,X,X
ITJOSZL,O,X,O,X,X,X,X,X,X,X
ITJOZLS,O,X,X,O,X,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X,X
ITSLJZO,O,X,O,O,X,X,X,X,X,X
ITSLJOZ,O,X,O,O,X,X,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,X
ITSLZOJ,X,X,X,X,O,X,X,O,X,X
ITSLOJZ,X,X,O,X,O,X,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,O,X,X
ITSJLZO,O,X,O,O,X,X,X,X,X,X
ITSJLOZ,O,X,O,O,X,X,X,X,X,X
ITSJZLO,O,X,O,X,X,X,X,X,X,X
ITSJZOL,O,X,O,X,O,X,X,X,X,X
ITSJOLZ,O,X,O,O,O,X,X,X,X,X
ITSJOZL,O,X,O,X,O,X,X,X,X,X
ITSZLJO,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,X,X,X,O,O,X,O,X,X
ITSZJLO,O,X,O,X,X,X,X,X,X,X
ITSZJOL,O,X,O,X,O,O,X,X,X,X
ITSZOLJ,X,X,X,X,O,O,X,O,X,X
ITSZOJL,O,X,O,X,O,O,X,X,X,X
ITSOLJZ,X,X,O,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,X,O,X,X,O,X,X
ITSOJLZ,O,X,O,X,O,X,X,X,X,X
ITSOJZL,O,X,O,X,O,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,O,X,O,X,X
ITSOZJL,O,X,O,X,O,O,X,X,X,X
ITZLJSO,O,X,X,O,X,X,X,X,X,X
ITZLJOS,O,X,X,O,X,X,O,X,X,X
ITZLSJO,O,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,X,O,X,O,X,X
ITZLOJS,O,X,X,X,X,X,O,X,X,X
ITZLOSJ,X,X,X,X,X,O,X,O,X,X
ITZJLSO,O,O,X,O,X,X,X,X,X,X
ITZJLOS,O,O,X,O,X,X,O,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X,X
ITZJSOL,O,O,O,X,X,O,X,X,X,X
ITZJOLS,O,O,X,O,X,X,O,X,X,X
ITZJOSL,O,O,O,X,X,O,X,X,X,X
ITZSLJO,O,X,X,X,X,X,X,X,X,X
ITZSLOJ,X,X,X,X,O,O,X,O,X,X
ITZSJLO,O,X,O,X,X,X,X,X,X,X
ITZSJOL,O,X,O,X,O,O,X,X,X,X
ITZSOLJ,X,X,X,X,O,O,X,O,X,X
ITZSOJL,O,X,O,X,O,O,X,X,X,X
ITZOLJS,O,X,X,X,X,X,O,X,X,X
ITZOLSJ,X,X,X,X,O,O,X,O,X,X
ITZOJLS,O,O,X,X,X,X,O,X,X,X
ITZOJSL,O,O,O,X,X,O,X,X,X,X
ITZOSLJ,X,X,X,X,O,O,X,O,X,X
ITZOSJL,O,X,O,X,O,O,X,X,X,X
ITOLJSZ,O,X,O,O,X,X,X,X,X,O
ITOLJZS,O,X,X,O,X,X,X,X,X,X
ITOLSJZ,X,X,O,X,O,X,X,X,X,O
ITOLSZJ,X,X,X,X,O,X,X,O,X,O
ITOLZJS,O,X,X,X,X,X,O,X,X,X
ITOLZSJ,X,X,X,X,O,X,X,O,X,O
ITOJLSZ,O,X,O,O,X,X,X,X,X,X
ITOJLZS,O,X,X,O,X,X,X,X,X,X
ITOJSLZ,O,X,O,O,X,X,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X,X,X,X
ITOJZLS,O,X,X,O,X,X,X,X,X,X
ITOJZSL,O,X,O,X,X,X,X,X,X,X
ITOSLJZ,X,X,O,X,O,X,X,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,O,X,X
ITOSJLZ,O,X,O,X,O,X,X,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,O,X,O,X,X
ITOSZJL,O,X,O,X,O,O,X,X,X,X
ITOZLJS,O,X,X,X,X,X,O,X,X,X
ITOZLSJ,X,X,X,X,O,O,X,O,X,X
ITOZJLS,O,O,X,X,X,X,O,X,X,X
ITOZJSL,O,O,O,X,X,O,X,X,X,X
ITOZSLJ,X,X,X,X,O,O,X,O,X,X
ITOZSJL,O,X,O,X,O,O,X,X,X,X
ILTJSZO,O,X,O,O,X,X,X,X,X,X
ILTJSOZ,O,X,O,O,X,X,X,X,X,X
ILTJZSO,O,X,X,O,X,X,X,X,X,X
ILTJZOS,O,X,X,O,X,X,X,X,X,X
ILTJOSZ,O,X,O,O,X,X,X,X,X,O
ILTJOZS,O,X,X,O,X,X,X,X,X,X
ILTSJZO,O,X,O,O,X,X,X,X,O,X
ILTSJOZ,O,X,O,O,X,X,X,X,X,X
ILTSZJO,O,X,X,X,X,X,X,X,O,X
ILTSZOJ,X,X,X,X,X,X,X,O,O,X
ILTSOJZ,X,X,O,X,X,X,X,X,X,O
ILTSOZJ,X,X,X,X,X,X,X,O,O,O
ILTZJSO,O,X,X,O,X,X,X,X,X,X
ILTZJOS,O,X,X,O,X,X,O,X,X,X
ILTZSJO,O,X,X,X,X,X,X,X,O,X
ILTZSOJ,X,X,X,X,X,X,X,O,O,X
ILTZOJS,O,X,X,X,X,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,X,X,O,X,O
ILTOJSZ,O,X,O,O,X,X,X,X,X,O
ILTOJZS,O,X,X,O,X,X,X,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,X,X,O
ILTOSZJ,X,X,X,X,X,X,X,O,X,O
ILTOZJS,O,X,X,X,X,X,O,X,X,X
ILTOZSJ,X,X,X,X,X,X,X,O,X,O
ILJTSZO,O,X,X,O,X,X,X,X,X,X
ILJTSOZ,O,X,X,O,X,X,X,X,X,X
ILJTZSO,O,X,X,O,X,X,X,X,X,X
ILJTZOS,O,X,X,O,X,X,X,X,X,X
ILJTOSZ,O,X,X,O,X,X,X,X,X,O
ILJTOZS,O,X,X,O,X,X,X,X,X,X
ILJSTZO,O,X,X,O,X,X,X,X,X,X
ILJSTOZ,O,X,X,O,X,X,X,X,X,X
ILJSZTO,O,X,X,O,X,X,X,X,X,X
ILJSZOT,O,X,X,O,X,X,X,O,X,X
ILJSOTZ,O,X,X,O,X,X,X,X,X,O
ILJSOZT,O,X,X,O,X,X,X,O,X,X
ILJZTSO,O,X,X,O,X,X,X,X,X,X
ILJZTOS,O,X,X,O,X,X,O,X,X,X
ILJZSTO,O,X,X,O,X,X,X,X,X,X
ILJZSOT,O,X,X,O,X,X,X,O,X,X
ILJZOTS,O,X,X,O,X,X,O,X,X,X
ILJZOST,O,X,X,O,X,X,O,O,X,X
ILJOTSZ,O,X,X,O,X,X,X,X,X,O
ILJOTZS,O,X,X,O,X,X,X,X,X,X
ILJOSTZ,O,X,X,O,X,X,X,X,X,O
ILJOSZT,O,X,X,O,X,X,X,O,X,X
ILJOZTS,O,X,X,O,X,X,O,X,X,X
ILJOZST,O,X,X,O,X,X,O,O,X,X
ILSTJZO,O,X,X,O,X,X,X,X,O,X
ILSTJOZ,O,X,X,O,X,X,X,X,X,X
ILSTZJO,O,X,X,X,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,X,X,X,O,O,X
ILSTOJZ,X,X,X,X,X,X,X,X,X,O
ILSTOZJ,X,X,X,X,X,X,X,O,O,O
ILSJTZO,O,X,X,O,X,X,X,X,O,X
ILSJTOZ,O,X,X,O,X,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,O,X
ILSJZOT,O,X,X,O,X,X,X,O,X,X
ILSJOTZ,O,X,X,O,X,X,X,X,X,O
ILSJOZT,O,X,X,O,X,X,X,O,X,X
ILSZTJO,O,X,X,X,X,X,X,X,O,X
ILSZTOJ,X,X,X,X,X,O,X,O,O,X
ILSZJTO,O,X,X,X,X,X,X,X,O,X
ILSZJOT,O,X,X,X,X,X,X,O,X,X
ILSZOTJ,X,X,X,X,O,O,X,O,O,O
ILSZOJT,X,X,X,X,X,X,X,O,X,X
ILSOTJZ,X,X,X,X,O,X,X,X,X,O
ILSOTZJ,X,X,X,X,O,X,X,O,O,O
ILSOJTZ,X,X,X,X,X,X,X,X,X,O
ILSOJZT,X,X,X,X,X,X,X,O,X,X
ILSOZTJ,X,X,X,X,O,O,X,O,O,O
ILSOZJT,X,X,X,X,X,X,X,O,X,X
ILZTJSO,O,X,X,O,X,X,X,X,X,X
ILZTJOS,O,X,X,O,X,X,O,X,X,X
ILZTSJO,O,X,X,X,X,X,X,X,O,X
ILZTSOJ,X,X,X,X,X,O,X,O,O,X
ILZTOJS,O,X,X,X,X,X,O,X,X,X
ILZTOSJ,X,X,X,X,X,O,X,O,X,O
ILZJTSO,O,O,X,O,X,X,X,X,X,X
ILZJTOS,O,O,X,O,X,X,O,X,X,X
ILZJSTO,O,O,X,O,X,X,X,X,X,X
ILZJSOT,O,O,X,O,X,X,X,O,X,X
ILZJOTS,O,O,X,O,X,X,O,X,X,X
ILZJOST,O,O,X,O,X,X,O,O,X,X
ILZSTJO,O,X,X,X,X,X,X,X,O,X
ILZSTOJ,X,X,X,X,X,O,X,O,O,X
ILZSJTO,O,X,X,X,X,X,X,X,O,X
ILZSJOT,O,X,X,X,X,X,X,O,X,X
ILZSOTJ,X,X,X,X,O,O,X,O,O,O
ILZSOJT,X,X,X,X,X,X,X,O,X,X
ILZOTJS,O,X,X,X,X,X,O,X,X,X
ILZOTSJ,X,X,X,X,O,O,X,O,X,O
ILZOJTS,O,O,X,X,X,X,O,X,X,X
ILZOJST,O,O,X,X,X,X,O,O,X,X
ILZOSTJ,X,X,X,X,O,O,X,O,X,O
ILZOSJT,X,X,X,X,X,X,X,O,X,X
ILOTJSZ,O,X,O,O,X,X,X,X,X,O
ILOTJZS,O,X,X,O,X,X,X,X,X,X
ILOTSJZ,X,X,O,X,O,X,X,X,X,O
ILOTSZJ,X,X,X,X,O,X,X,O,X,O
ILOTZJS,O,X,X,X,X,X,O,X,X,X
ILOTZSJ,X,X,X,X,O,X,X,O,X,O
ILOJTSZ,O,X,X,O,X,X,X,X,X,O
ILOJTZS,O,X,X,O,X,X,X,X,X,X
ILOJSTZ,O,X,X,O,X,X,X,X,X,O
