sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB
IOJSTLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJSTZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
IOJSLTZ,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOJSLZT,O,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,X,X,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O,O,O,X,O
IOJSZTL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOJSZLT,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O,O,O,X,O
IOJZTLS,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOJZTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOJZLTS,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,O,X,X,X,X,O,O,X,O
IOJZLST,O,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,O,O,O,O,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,X,X,O,O,O,O,X,O,O,O,X,O
IOJZSTL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOJZSLT,X,X,X,X,O,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,O,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O,O,O,X,O
IOSTLJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IOSTJLZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSTJZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IOSTZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOSLTJZ,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOSLTZJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOSLJTZ,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,O,O,X
IOSLJZT,X,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,X,X,O,O,O,O,O,X,O,O,O,X
IOSLZTJ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOSLZJT,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X,O,O,X,O,X,O,O,O,X
IOSJTLZ,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
IOSJTZL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X
IOSJLTZ,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,O,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,O,X
IOSJLZT,X,O,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,X,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,O,O,O,O,O
IOSJZTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOSJZLT,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,O,O,O,O,O
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOSZLTJ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOSZLJT,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,O,O,X,O,X,O,O,O,O
IOSZJTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOSZJLT,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,O,O,O,O,O
IOZTLJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZTJLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZTJSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZTSLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZLTJS,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZLTSJ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
IOZLJTS,X,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,O
IOZLJST,X,O,X,X,O,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,O,O,X,O,X,O,O,O,O
IOZLSTJ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOZLSJT,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X,O,O,X,O,X,O,O,O,O
IOZJTLS,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOZJTSL,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOZJLTS,X,O,X,X,O,X,O,O,X,X,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,O,X,O
IOZJLST,X,O,X,X,O,X,O,O,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,O,O,O,O,X,O,O,O,X,O
IOZJSTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOZJSLT,X,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,O,X,O,O,O,X,O
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O
IOZSLTJ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
IOZSLJT,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X,O,O,X,O,X,O,O,O,O
IOZSJTL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,O,X,O
IOZSJLT,X,X,X,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,O,X,O,O,O,O,O
LTIJSZO,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIJZSO,X,X,X,O,X,X,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIJOSZ,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTIJOZS,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
LTISJZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTISZJO,X,X,X,X,X,X,O,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTISZOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTISOJZ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTISOZJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIZJSO,X,X,X,O,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIZSJO,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
LTIZOJS,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
