sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
IZJSTLO,O,O,X,O,O,X,O,X,X,X,X
IZJSTOL,O,X,X,O,O,X,O,X,X,X,X
IZJSLTO,O,X,X,O,O,X,O,X,X,X,X
IZJSLOT,O,X,X,X,X,X,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,O,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,O,O,O,X,O,O,X,X,X
IZJOTSL,O,X,O,O,O,X,O,X,X,X,X
IZJOLTS,X,X,X,O,O,X,X,O,X,X,X
IZJOLST,X,X,X,O,X,X,X,X,X,X,X
IZJOSTL,X,X,X,O,X,X,O,X,X,X,X
IZJOSLT,X,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,X,O,O,O,X
IZSTLOJ,O,O,O,O,X,X,X,O,O,O,X
IZSTJLO,O,O,O,O,O,X,O,X,X,X,X
IZSTJOL,O,X,O,O,O,X,O,X,X,X,X
IZSTOLJ,O,O,O,O,X,X,X,O,O,X,X
IZSTOJL,O,X,O,X,O,X,O,X,X,X,X
IZSLTJO,O,O,O,O,X,X,X,O,O,O,X
IZSLTOJ,O,O,O,O,X,X,X,O,O,O,X
IZSLJTO,O,O,O,O,X,X,X,O,O,O,X
IZSLJOT,O,X,O,X,X,X,X,X,X,O,X
IZSLOTJ,O,X,O,X,X,X,X,X,X,O,X
IZSLOJT,O,X,O,X,X,X,X,X,X,O,X
IZSJTLO,O,O,O,O,O,X,O,X,X,X,X
IZSJTOL,O,X,O,O,O,X,O,X,X,X,X
IZSJLTO,O,X,X,O,O,X,O,X,X,X,X
IZSJLOT,O,X,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,O,O,X,X,O,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,O,X,X,X,X,X,X,X
IZSOTJL,O,X,O,X,X,X,O,X,X,X,X
IZSOLTJ,O,X,O,X,X,X,X,X,X,X,X
IZSOLJT,O,X,O,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,O,X,X,O,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,O,X,O,O,X,X,X
IZOTLSJ,O,O,O,O,X,X,X,O,X,X,X
IZOTJLS,O,O,O,O,O,X,O,O,X,X,X
IZOTJSL,O,O,O,O,O,X,O,X,X,X,X
IZOTSLJ,O,O,O,O,X,X,X,O,X,X,X
IZOTSJL,O,O,O,O,O,X,O,X,X,X,X
IZOLTJS,X,O,X,O,O,X,X,O,X,X,X
IZOLTSJ,X,O,X,O,X,X,X,O,X,X,X
IZOLJTS,X,O,X,O,O,X,X,O,X,X,X
IZOLJST,X,O,X,O,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,O,X,X,X,X,X,X,X
IZOLSJT,X,O,X,O,X,X,X,X,X,X,X
IZOJTLS,O,O,O,O,O,X,O,O,X,X,X
IZOJTSL,O,O,O,O,O,X,O,X,X,X,X
IZOJLTS,X,X,X,O,O,X,X,O,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,O,X,X,X,X
IZOJSLT,X,X,X,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,O,X,X,X,X,X,X,X
IZOSTJL,O,O,O,O,X,X,O,X,X,X,X
IZOSLTJ,O,O,O,O,X,X,X,X,X,X,X
IZOSLJT,O,O,O,O,X,X,X,X,X,X,X
IZOSJTL,O,O,O,O,X,X,O,X,X,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,X,X
IOTLJSZ,X,O,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,O,X,X,X
IOTLSJZ,X,O,O,X,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,O,X,O,X,X,O,O,X
IOTLZJS,X,O,O,O,X,X,X,O,X,O,X
IOTLZSJ,X,O,O,O,X,X,X,O,X,O,X
IOTJLSZ,X,O,X,O,X,O,X,X,X,X,X
IOTJLZS,X,O,O,O,O,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,X,O,X,X,O,X,X
IOTJSZL,X,X,O,O,X,O,O,X,X,X,X
IOTJZLS,O,O,O,O,O,X,O,X,X,X,X
IOTJZSL,O,O,O,O,O,X,O,X,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,X,O,X,X
IOTSLZJ,O,O,O,O,X,O,X,X,O,O,X
IOTSJLZ,X,X,O,X,X,O,X,X,O,X,X
IOTSJZL,O,X,O,X,X,O,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,O,X,X,O,X,X
IOTSZJL,O,O,O,O,X,O,X,X,X,X,X
IOTZLJS,O,O,O,O,O,X,O,O,X,X,X
IOTZLSJ,O,O,O,O,X,X,X,O,X,X,X
IOTZJLS,O,O,O,O,O,X,O,O,X,X,X
IOTZJSL,O,O,O,O,O,X,O,X,X,X,X
IOTZSLJ,O,O,O,O,X,X,X,O,O,X,X
IOTZSJL,O,O,O,O,O,X,O,X,X,X,X
IOLTJSZ,X,O,X,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,O,X,X,X
IOLTSJZ,X,O,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,O,O,O,X,X,X,X,X,O,X
IOLTZJS,X,O,O,O,X,X,X,O,X,O,X
IOLTZSJ,X,O,O,O,X,X,X,O,X,O,X
IOLJTSZ,X,O,X,O,X,X,X,X,X,X,O
IOLJTZS,X,O,O,O,X,X,X,O,X,X,O
IOLJSTZ,X,X,X,X,X,X,X,X,X,X,O
IOLJSZT,X,X,X,X,X,X,X,X,X,X,O
IOLJZTS,X,O,X,O,X,X,X,O,X,X,X
IOLJZST,X,O,X,O,X,X,X,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,X,X,O,X
IOLSJTZ,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,X,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,X,X,X,X,X,O,X
IOLSZJT,X,X,O,X,X,X,X,X,X,O,X
IOLZTJS,X,O,X,O,X,X,X,O,X,O,X
IOLZTSJ,X,O,X,O,X,X,X,O,X,O,X
IOLZJTS,X,O,X,O,X,X,X,O,X,O,X
IOLZJST,X,O,X,O,X,X,X,X,X,O,X
IOLZSTJ,X,O,X,O,X,X,X,X,X,O,X
IOLZSJT,X,O,X,O,X,X,X,X,X,O,X
IOJTLSZ,X,O,X,O,X,O,X,X,X,X,X
IOJTLZS,X,O,O,O,O,X,X,X,X,X,X
IOJTSLZ,X,X,O,O,X,O,X,X,X,X,X
IOJTSZL,X,X,O,O,X,O,O,X,X,X,X
IOJTZLS,O,O,O,O,O,X,O,X,X,X,X
IOJTZSL,O,O,O,O,O,X,O,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,X,O
IOJLTZS,X,X,O,O,O,X,X,X,X,X,O
IOJLSTZ,X,X,X,X,X,X,X,X,X,X,O
IOJLSZT,X,X,X,X,X,X,X,X,X,X,O
IOJLZTS,X,X,X,O,O,X,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,O,X,O,X,X,X,X,X
IOJSTZL,X,X,O,O,X,O,O,X,X,X,X
IOJSLTZ,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,X,O,O,X,O,O,X,X,X,X
IOJSZLT,X,X,X,O,X,O,X,X,X,X,X
IOJZTLS,O,O,O,O,O,X,O,X,X,X,X
IOJZTSL,O,O,O,O,O,X,O,X,X,X,X
IOJZLTS,X,X,X,O,O,X,X,X,X,X,X
IOJZLST,X,X,X,O,X,X,X,X,X,X,X
IOJZSTL,X,O,X,O,X,X,O,X,X,X,X
IOJZSLT,X,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,X,O,X,X
IOSTLZJ,O,O,O,O,X,O,X,X,O,O,X
IOSTJLZ,X,X,O,X,X,O,X,X,O,X,X
IOSTJZL,O,X,O,X,X,O,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,O,X,X,O,X,X
IOSTZJL,O,O,O,O,X,O,X,X,X,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,O,X,X
IOSLTZJ,O,X,O,X,X,X,X,X,O,O,X
IOSLJTZ,O,X,O,X,X,X,X,X,O,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,X,X,X,X,O,X
IOSLZJT,O,X,O,X,X,X,X,X,X,O,X
IOSJTLZ,X,X,O,O,X,O,X,X,O,X,X
IOSJTZL,O,X,O,O,X,O,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,X,X,O,X,X
IOSJLZT,X,X,O,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,O,X,O,X,X,X,X,X
IOSJZLT,X,X,X,O,X,O,X,X,X,X,X
IOSZTLJ,O,O,O,O,X,O,X,X,X,X,X
IOSZTJL,O,O,O,O,X,O,X,X,X,X,X
IOSZLTJ,O,O,O,O,X,O,X,X,X,X,X
IOSZLJT,O,X,O,O,X,O,X,X,X,X,X
IOSZJTL,O,O,O,O,X,O,X,X,X,X,X
IOSZJLT,X,X,X,O,X,O,X,X,X,X,X
IOZTLJS,O,O,O,O,O,X,O,O,X,X,X
IOZTLSJ,O,O,O,O,X,X,X,O,X,X,X
IOZTJLS,O,O,O,O,O,X,O,O,X,X,X
IOZTJSL,O,O,O,O,O,X,O,X,X,X,X
IOZTSLJ,O,O,O,O,X,X,X,O,X,X,X
IOZTSJL,O,O,O,O,O,X,O,X,X,X,X
IOZLTJS,X,O,X,O,X,X,X,O,X,X,X
IOZLTSJ,X,O,X,O,X,X,X,O,X,X,X
IOZLJTS,X,O,X,O,X,X,X,O,X,X,X
IOZLJST,X,O,X,O,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,O,X,X,X,X,X,X,X
IOZLSJT,X,O,X,O,X,X,X,X,X,X,X
IOZJTLS,O,O,O,O,O,X,O,X,X,X,X
IOZJTSL,O,O,O,O,O,X,O,X,X,X,X
IOZJLTS,X,X,X,O,O,X,X,X,X,X,X
IOZJLST,X,X,X,O,X,X,X,X,X,X,X
IOZJSTL,X,O,X,O,X,X,O,X,X,X,X
IOZJSLT,X,X,X,O,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,O,X,X,X,X,X,X,X
IOZSTJL,O,O,O,O,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,O,X,X,X,X,X,X,X
IOZSLJT,O,O,O,O,X,X,X,X,X,X,X
IOZSJTL,O,O,O,O,X,X,X,X,X,X,X
IOZSJLT,X,X,X,O,X,X,X,X,X,X,X
LTIJSZO,X,O,X,X,O,X,O,O,X,O,O
LTIJSOZ,X,O,X,X,X,X,X,X,X,X,O
LTIJZSO,X,O,O,O,O,X,O,O,X,O,O
LTIJZOS,O,O,X,X,O,X,O,O,X,O,O
LTIJOSZ,X,O,X,X,X,X,X,X,X,X,O
LTIJOZS,X,O,X,O,O,X,X,O,X,X,O
LTISJZO,O,O,O,X,X,X,X,O,O,O,X
LTISJOZ,O,O,O,X,X,X,X,X,O,X,X
LTISZJO,O,O,O,O,X,O,X,O,O,O,X
LTISZOJ,O,O,O,O,X,O,X,O,O,O,X
LTISOJZ,O,O,O,X,X,X,X,X,O,X,X
LTISOZJ,O,O,O,O,X,O,X,X,O,O,X
LTIZJSO,X,O,O,O,O,X,O,O,X,O,X
LTIZJOS,O,O,X,X,O,X,O,O,X,O,X
LTIZSJO,O,O,O,O,X,X,X,O,X,O,X
LTIZSOJ,O,O,O,O,X,X,X,O,X,O,X
LTIZOJS,O,O,X,O,O,X,O,O,X,O,X
LTIZOSJ,O,O,X,O,X,X,X,O,X,O,X
LTIOJSZ,X,O,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,O,X,X,X,O,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,X,O,X,X
LTIOSZJ,X,O,X,O,X,O,X,X,O,O,X
LTIOZJS,X,O,X,O,X,X,X,O,X,O,X
LTIOZSJ,X,O,X,O,X,X,X,O,X,O,X
LTJISZO,X,O,X,O,O,O,O,O,X,O,O
LTJISOZ,X,O,X,O,X,O,X,X,X,X,O
LTJIZSO,X,O,O,O,O,X,O,O,X,O,O
LTJIZOS,O,O,X,O,O,X,O,O,X,O,O
LTJIOSZ,X,O,X,O,X,O,X,X,X,X,O
LTJIOZS,X,O,X,O,O,X,X,O,X,X,O
LTJSIZO,X,O,X,O,O,O,O,O,X,O,O
LTJSIOZ,X,O,X,O,X,O,X,X,X,X,O
LTJSZIO,X,O,X,O,O,O,O,O,X,O,O
LTJSZOI,X,O,X,O,O,O,O,O,X,O,O
LTJSOIZ,X,O,X,O,X,O,X,X,X,X,O
LTJSOZI,X,O,X,O,X,O,X,X,X,X,O
LTJZISO,X,O,O,O,O,X,O,O,X,O,O
LTJZIOS,O,O,X,O,O,X,O,O,X,O,O
LTJZSIO,X,O,X,O,O,O,O,O,X,O,O
LTJZSOI,X,O,X,O,O,O,O,O,X,O,O
LTJZOIS,O,O,X,O,O,X,O,O,X,O,O
LTJZOSI,X,O,X,O,O,O,O,O,X,O,O
LTJOISZ,X,O,X,O,X,O,X,X,X,X,O
LTJOIZS,X,O,X,O,O,X,X,O,X,X,O
LTJOSIZ,X,O,X,O,X,O,X,X,X,X,O
LTJOSZI,X,O,X,O,X,O,X,X,X,X,O
LTJOZIS,X,O,X,O,O,X,X,O,X,X,O
LTJOZSI,X,O,X,O,O,O,X,O,X,X,O
LTSIJZO,O,O,O,X,X,X,X,O,O,O,X
LTSIJOZ,O,O,O,X,X,X,X,X,O,X,X
LTSIZJO,O,O,O,O,X,O,X,O,O,O,X
LTSIZOJ,O,O,O,O,X,O,X,O,O,O,X
LTSIOJZ,O,O,O,X,X,X,X,X,O,X,X
LTSIOZJ,O,O,O,O,X,O,X,X,O,O,X
LTSJIZO,O,O,O,X,O,O,O,O,O,O,X
LTSJIOZ,O,O,O,X,X,O,X,X,O,X,X
LTSJZIO,O,O,O,X,O,O,O,O,O,O,X
LTSJZOI,O,O,O,X,O,O,O,O,O,O,X
LTSJOIZ,O,O,O,X,X,O,X,X,O,X,X
LTSJOZI,O,O,O,X,X,O,X,X,O,X,X
LTSZIJO,O,O,O,O,X,O,X,O,O,O,X
LTSZIOJ,O,O,O,O,X,O,X,O,O,O,X
LTSZJIO,O,O,O,O,O,O,O,O,O,O,X
LTSZJOI,O,O,O,X,O,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,X,O,X,O,O,O,X
LTSZOJI,O,O,O,O,O,O,O,O,O,O,X
LTSOIJZ,O,O,O,X,X,X,X,X,O,X,X
LTSOIZJ,O,O,O,O,X,O,X,X,O,O,X
LTSOJIZ,O,O,O,X,X,O,X,X,O,X,X
LTSOJZI,O,O,O,X,X,O,X,X,O,X,X
LTSOZIJ,O,O,O,O,X,O,X,X,O,O,X
LTSOZJI,O,O,O,O,X,O,X,X,O,O,X
LTZIJSO,X,O,O,O,O,X,O,O,X,O,X
LTZIJOS,O,O,X,X,O,X,O,O,X,O,X
LTZISJO,O,O,O,O,X,X,X,O,X,O,X
LTZISOJ,O,O,O,O,X,X,X,O,X,O,X
LTZIOJS,O,O,X,O,O,X,O,O,X,O,X
LTZIOSJ,O,O,X,O,X,X,X,O,X,O,X
LTZJISO,X,O,O,O,O,X,O,O,X,O,X
LTZJIOS,O,O,X,O,O,X,O,O,X,O,X
LTZJSIO,X,O,X,O,O,X,O,O,X,O,X
LTZJSOI,X,O,X,O,O,X,O,O,X,O,X
LTZJOIS,O,O,X,O,O,X,O,O,X,O,X
LTZJOSI,X,O,X,O,O,X,O,O,X,O,X
LTZSIJO,O,O,O,O,X,O,X,O,X,O,X
LTZSIOJ,O,O,O,O,X,O,X,O,X,O,X
LTZSJIO,O,O,O,O,O,O,O,O,X,O,X
LTZSJOI,O,O,O,O,O,O,O,O,X,O,X
LTZSOIJ,O,O,O,O,X,O,X,O,X,O,X
LTZSOJI,O,O,O,O,O,O,O,O,X,O,X
LTZOIJS,O,O,X,O,O,X,O,O,X,O,X
LTZOISJ,O,O,X,O,X,X,X,O,X,O,X
LTZOJIS,O,O,X,O,O,X,O,O,X,O,X
LTZOJSI,X,O,X,O,O,X,O,O,X,O,X
LTZOSIJ,O,O,X,O,X,O,X,O,X,O,X
LTZOSJI,O,O,X,O,O,O,O,O,X,O,X
LTOIJSZ,X,O,X,X,X,X,X,X,X,X,X
LTOIJZS,X,O,X,O,X,X,X,O,X,X,X
LTOISJZ,X,O,X,X,X,X,X,X,O,X,X
LTOISZJ,X,O,X,O,X,O,X,X,O,O,X
LTOIZJS,X,O,X,O,X,X,X,O,X,O,X
LTOIZSJ,X,O,X,O,X,X,X,O,X,O,X
LTOJISZ,X,O,X,O,X,O,X,X,X,X,O
LTOJIZS,X,O,X,O,O,X,X,O,X,X,O
LTOJSIZ,X,O,X,O,X,O,X,X,X,X,O
LTOJSZI,X,O,X,O,X,O,X,X,X,X,O
LTOJZIS,X,O,X,O,O,X,X,O,X,X,O
LTOJZSI,X,O,X,O,O,O,X,O,X,X,O
LTOSIJZ,X,O,X,X,X,X,X,X,O,X,X
LTOSIZJ,X,O,X,O,X,O,X,X,O,O,X
LTOSJIZ,X,O,X,X,X,O,X,X,O,X,X
LTOSJZI,X,O,X,X,X,O,X,X,O,X,X
LTOSZIJ,X,O,X,O,X,O,X,X,O,O,X
LTOSZJI,X,O,X,O,X,O,X,X,O,O,X
LTOZIJS,X,O,X,O,O,X,X,O,X,O,X
LTOZISJ,X,O,X,O,X,X,X,O,X,O,X
LTOZJIS,X,O,X,O,O,X,X,O,X,O,X
LTOZJSI,X,O,X,O,O,X,X,O,X,O,X
LTOZSIJ,X,O,X,O,X,O,X,O,X,O,X
LTOZSJI,X,O,X,O,O,O,X,O,X,O,X
LITJSZO,X,O,X,X,O,X,O,O,X,O,O
LITJSOZ,X,O,X,X,X,X,X,X,X,X,O
LITJZSO,X,O,O,O,O,X,O,O,X,O,O
LITJZOS,O,O,X,X,O,X,O,O,X,O,O
LITJOSZ,X,O,X,X,X,X,X,X,X,X,O
LITJOZS,X,O,X,O,O,X,X,O,X,X,O
LITSJZO,O,O,O,X,X,X,X,O,O,O,X
LITSJOZ,O,O,O,X,X,X,X,X,O,X,X
LITSZJO,O,O,O,O,X,X,X,O,O,O,X
LITSZOJ,O,O,O,O,X,X,X,O,O,O,X
LITSOJZ,O,O,O,X,X,X,X,X,O,X,X
LITSOZJ,O,O,O,O,X,X,X,X,O,O,X
LITZJSO,X,O,O,O,O,X,O,O,X,O,X
LITZJOS,O,O,X,X,O,X,O,O,X,O,X
LITZSJO,O,O,O,O,X,X,X,O,X,O,X
LITZSOJ,O,O,O,O,X,X,X,O,X,O,X
LITZOJS,O,O,X,O,O,X,O,O,X,O,X
LITZOSJ,O,O,X,O,X,X,X,O,X,O,X
LITOJSZ,X,O,X,X,X,X,X,X,X,X,X
LITOJZS,X,O,X,O,X,X,X,O,X,X,X
LITOSJZ,X,O,X,X,X,X,X,X,O,X,X
LITOSZJ,X,O,X,O,X,X,X,X,O,O,X
LITOZJS,X,O,X,O,X,X,X,O,X,O,X
LITOZSJ,X,O,X,O,X,X,X,O,X,O,X
LIJTSZO,X,O,X,O,O,X,O,O,X,O,O
LIJTSOZ,X,O,X,O,X,X,X,X,X,X,O
LIJTZSO,X,O,O,O,O,X,O,O,X,O,O
LIJTZOS,O,O,X,O,O,X,O,O,X,O,O
LIJTOSZ,X,O,X,O,X,X,X,X,X,X,O
LIJTOZS,X,O,X,O,O,X,X,O,X,X,O
LIJSTZO,X,X,X,X,O,X,O,O,X,O,O
LIJSTOZ,X,X,X,X,X,X,X,X,X,X,O
LIJSZTO,X,X,X,X,O,X,O,O,X,O,O
LIJSZOT,X,X,X,X,X,X,X,X,X,O,O
LIJSOTZ,X,X,X,X,X,X,X,X,X,X,O
LIJSOZT,X,X,X,X,X,X,X,X,X,X,O
LIJZTSO,X,O,X,O,O,X,O,O,X,O,O
LIJZTOS,O,O,X,O,O,X,O,O,X,O,O
LIJZSTO,X,O,X,O,O,X,O,O,X,O,O
LIJZSOT,X,X,X,X,X,X,X,X,X,O,O
LIJZOTS,X,O,X,X,O,X,X,O,X,O,X
LIJZOST,X,O,X,X,X,X,X,X,X,O,X
LIJOTSZ,X,O,X,O,X,X,X,X,X,X,O
LIJOTZS,X,O,O,O,O,X,X,O,X,X,O
LIJOSTZ,X,X,X,X,X,X,X,X,X,X,O
LIJOSZT,X,X,X,X,X,X,X,X,X,X,O
LIJOZTS,X,O,X,O,O,X,X,O,X,X,X
LIJOZST,X,O,X,O,X,X,X,X,X,X,X
LISTJZO,O,X,O,X,X,X,X,O,O,O,X
LISTJOZ,O,X,O,X,X,X,X,X,O,X,X
LISTZJO,O,X,O,X,X,X,X,O,O,O,X
LISTZOJ,O,X,O,X,X,X,X,O,O,O,X
LISTOJZ,O,X,O,X,X,X,X,X,O,X,X
LISTOZJ,O,X,O,X,X,X,X,X,O,O,X
LISJTZO,O,X,O,X,X,X,X,O,O,O,O
LISJTOZ,O,X,O,X,X,X,X,X,O,X,O
LISJZTO,O,X,O,X,X,X,X,O,O,O,O
LISJZOT,O,X,O,X,X,X,X,X,X,O,O
LISJOTZ,O,X,O,X,X,X,X,X,O,X,O
LISJOZT,O,X,O,X,X,X,X,X,X,X,O
LISZTJO,O,X,O,X,X,X,X,O,O,O,X
LISZTOJ,O,X,O,X,X,X,X,O,O,O,X
LISZJTO,O,X,O,X,X,X,X,O,O,O,X
LISZJOT,O,X,O,X,X,X,X,X,X,O,X
LISZOTJ,O,X,O,X,X,X,X,X,X,O,X
LISZOJT,O,X,O,X,X,X,X,X,X,O,X
LISOTJZ,O,X,O,X,X,X,X,X,O,X,X
LISOTZJ,O,X,O,X,X,X,X,X,O,O,X
LISOJTZ,O,X,O,X,X,X,X,X,O,X,X
LISOJZT,O,X,O,X,X,X,X,X,X,X,X
LISOZTJ,O,X,O,X,X,X,X,X,X,O,X
LISOZJT,O,X,O,X,X,X,X,X,X,O,X
LIZTJSO,X,O,X,O,O,X,O,O,X,O,X
LIZTJOS,O,O,X,X,O,X,O,O,X,O,X
LIZTSJO,O,O,X,O,X,X,X,O,X,O,X
LIZTSOJ,O,O,X,O,X,X,X,O,X,O,X
LIZTOJS,O,O,X,X,O,X,O,O,X,O,X
LIZTOSJ,O,O,X,O,X,X,X,O,X,O,X
LIZJTSO,X,O,X,O,O,X,O,O,X,O,O
LIZJTOS,O,O,X,O,O,X,O,O,X,O,O
LIZJSTO,X,O,X,O,O,X,O,O,X,O,O
LIZJSOT,X,X,X,X,X,X,X,X,X,O,O
LIZJOTS,X,O,X,X,O,X,X,O,X,O,X
LIZJOST,X,O,X,X,X,X,X,X,X,O,X
LIZSTJO,O,O,X,O,X,X,X,O,X,O,X
LIZSTOJ,O,O,X,O,X,X,X,O,X,O,X
LIZSJTO,O,O,X,O,X,X,X,O,X,O,X
LIZSJOT,O,X,X,X,X,X,X,X,X,O,X
LIZSOTJ,O,X,X,X,X,X,X,X,X,O,X
LIZSOJT,O,X,X,X,X,X,X,X,X,O,X
LIZOTJS,X,O,X,X,O,X,X,O,X,O,X
LIZOTSJ,X,O,X,X,X,X,X,O,X,O,X
LIZOJTS,X,O,X,X,O,X,X,O,X,O,X
LIZOJST,X,O,X,X,X,X,X,X,X,O,X
LIZOSTJ,X,O,X,X,X,X,X,X,X,O,X
LIZOSJT,X,O,X,X,X,X,X,X,X,O,X
LIOTJSZ,X,O,X,X,X,X,X,X,X,X,X
LIOTJZS,X,O,O,O,X,X,X,O,X,X,X
LIOTSJZ,X,O,O,X,X,X,X,X,X,X,X
LIOTSZJ,X,O,O,O,X,X,X,X,X,O,X
LIOTZJS,X,O,O,O,X,X,X,O,X,O,X
LIOTZSJ,X,O,O,O,X,X,X,O,X,O,X
LIOJTSZ,X,O,X,O,X,X,X,X,X,X,O
LIOJTZS,X,O,O,O,X,X,X,O,X,X,O
LIOJSTZ,X,X,X,X,X,X,X,X,X,X,O
LIOJSZT,X,X,X,X,X,X,X,X,X,X,O
LIOJZTS,X,O,X,O,X,X,X,O,X,X,X
LIOJZST,X,O,X,O,X,X,X,X,X,X,X
LIOSTJZ,X,X,O,X,X,X,X,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,X,X,X,O,X
LIOSJTZ,X,X,O,X,X,X,X,X,X,X,X
LIOSJZT,X,X,O,X,X,X,X,X,X,X,X
LIOSZTJ,X,X,O,X,X,X,X,X,X,O,X
LIOSZJT,X,X,O,X,X,X,X,X,X,O,X
LIOZTJS,X,O,X,O,X,X,X,O,X,O,X
LIOZTSJ,X,O,X,O,X,X,X,O,X,O,X
LIOZJTS,X,O,X,O,X,X,X,O,X,O,X
LIOZJST,X,O,X,O,X,X,X,X,X,O,X
LIOZSTJ,X,O,X,O,X,X,X,X,X,O,X
LIOZSJT,X,O,X,O,X,X,X,X,X,O,X
LJTISZO,X,O,X,O,O,O,O,O,X,O,O
LJTISOZ,X,O,X,O,X,O,X,X,X,X,O
LJTIZSO,X,O,O,O,O,X,O,O,X,O,O
LJTIZOS,O,O,X,O,O,X,O,O,X,O,O
LJTIOSZ,X,O,X,O,X,O,X,X,X,X,O
LJTIOZS,X,O,X,O,O,X,X,O,X,X,O
LJTSIZO,X,O,X,O,O,O,O,O,X,O,O
LJTSIOZ,X,O,X,O,X,O,X,X,X,X,O
LJTSZIO,X,O,X,O,O,O,O,O,X,O,O
LJTSZOI,X,O,X,O,O,O,O,O,X,O,O
LJTSOIZ,X,O,X,O,X,O,X,X,X,X,O
LJTSOZI,X,O,X,O,X,O,X,X,X,X,O
LJTZISO,X,O,O,O,O,X,O,O,X,O,O
LJTZIOS,O,O,X,O,O,X,O,O,X,O,O
LJTZSIO,X,O,X,O,O,O,O,O,X,O,O
LJTZSOI,X,O,X,O,O,O,O,O,X,O,O
LJTZOIS,O,O,X,O,O,X,O,O,X,O,O
LJTZOSI,X,O,X,O,O,O,O,O,X,O,O
LJTOISZ,X,O,X,O,X,O,X,X,X,X,O
LJTOIZS,X,O,X,O,O,X,X,O,X,X,O
LJTOSIZ,X,O,X,O,X,O,X,X,X,X,O
LJTOSZI,X,O,X,O,X,O,X,X,X,X,O
LJTOZIS,X,O,X,O,O,X,X,O,X,X,O
LJTOZSI,X,O,X,O,O,O,X,O,X,X,O
LJITSZO,X,O,X,O,O,X,O,O,X,O,O
