sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TJILOZS,X,O,X,O,O,X,X,O,X,X,O
TJISLZO,O,X,O,O,O,O,O,X,O,O,X
TJISLOZ,O,X,O,O,X,O,X,X,O,X,X
TJISZLO,O,X,O,O,O,O,O,X,X,X,X
TJISZOL,O,X,O,O,O,O,O,X,X,X,X
TJISOLZ,X,X,X,O,X,O,X,X,O,X,X
TJISOZL,O,X,O,O,X,O,O,X,X,X,X
TJIZLSO,X,O,O,O,O,X,O,O,X,X,X
TJIZLOS,O,O,X,O,O,X,O,O,X,X,X
TJIZSLO,O,O,O,O,O,X,O,X,X,X,X
TJIZSOL,O,X,O,O,O,X,O,X,X,X,X
TJIZOLS,O,X,X,O,O,X,O,O,X,X,X
TJIZOSL,O,X,O,O,O,X,O,X,X,X,X
TJIOLSZ,X,O,X,O,X,O,X,X,X,X,X
TJIOLZS,X,O,O,O,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,X,O,X,X,O,X,X
TJIOSZL,X,X,O,O,X,O,O,X,X,X,X
TJIOZLS,O,O,O,O,O,X,O,X,X,X,X
TJIOZSL,O,O,O,O,O,X,O,X,X,X,X
TJLISZO,X,O,X,O,O,O,O,O,X,O,O
TJLISOZ,X,O,X,O,X,O,X,X,X,X,O
TJLIZSO,X,O,O,O,O,X,O,O,X,O,O
TJLIZOS,O,O,X,O,O,X,O,O,X,O,O
TJLIOSZ,X,O,X,O,X,O,X,X,X,X,O
TJLIOZS,X,O,X,O,O,X,X,O,X,X,O
TJLSIZO,X,O,X,O,O,O,O,O,X,O,O
TJLSIOZ,X,O,X,O,X,O,X,X,X,X,O
TJLSZIO,X,O,X,O,O,O,O,O,X,O,O
TJLSZOI,X,O,X,O,O,O,O,O,X,O,O
TJLSOIZ,X,O,X,O,X,O,X,X,X,X,O
TJLSOZI,X,O,X,O,X,O,X,X,X,X,O
TJLZISO,X,O,O,O,O,X,O,O,X,O,O
TJLZIOS,O,O,X,O,O,X,O,O,X,O,O
TJLZSIO,X,O,X,O,O,O,O,O,X,O,O
TJLZSOI,X,O,X,O,O,O,O,O,X,O,O
TJLZOIS,O,O,X,O,O,X,O,O,X,O,O
TJLZOSI,X,O,X,O,O,O,O,O,X,O,O
TJLOISZ,X,O,X,O,X,O,X,X,X,X,O
TJLOIZS,X,O,X,O,O,X,X,O,X,X,O
TJLOSIZ,X,O,X,O,X,O,X,X,X,X,O
TJLOSZI,X,O,X,O,X,O,X,X,X,X,O
TJLOZIS,X,O,X,O,O,X,X,O,X,X,O
TJLOZSI,X,O,X,O,O,O,X,O,X,X,O
TJSILZO,O,X,O,O,O,O,O,X,O,O,X
TJSILOZ,O,X,O,O,X,O,X,X,O,X,X
TJSIZLO,O,X,O,O,O,O,O,X,X,X,X
TJSIZOL,O,X,O,O,O,O,O,X,X,X,X
TJSIOLZ,X,X,X,O,X,O,X,X,O,X,X
TJSIOZL,O,X,O,O,X,O,O,X,X,X,X
TJSLIZO,O,X,O,O,O,O,O,O,O,O,X
TJSLIOZ,O,X,O,O,X,O,X,X,O,X,X
TJSLZIO,O,X,O,O,O,O,O,O,O,O,X
TJSLZOI,O,X,O,O,O,O,O,O,O,O,X
TJSLOIZ,O,X,O,O,X,O,X,X,O,X,X
TJSLOZI,O,X,O,O,X,O,X,X,O,X,X
TJSZILO,O,X,O,O,O,O,O,X,X,X,X
TJSZIOL,O,X,O,O,O,O,O,X,X,X,X
TJSZLIO,O,X,O,O,O,O,O,O,O,O,X
TJSZLOI,O,X,O,O,O,O,O,O,O,O,X
TJSZOIL,O,X,O,O,O,O,O,X,X,X,X
TJSZOLI,O,X,O,O,O,O,O,O,O,X,X
TJSOILZ,X,X,X,O,X,O,X,X,O,X,X
TJSOIZL,O,X,O,O,X,O,O,X,X,X,X
TJSOLIZ,O,X,O,O,X,O,X,X,O,X,X
TJSOLZI,O,X,O,O,X,O,X,X,O,X,X
TJSOZIL,O,X,O,O,X,O,O,X,X,X,X
TJSOZLI,O,X,O,O,X,O,O,X,O,X,X
TJZILSO,X,O,O,O,O,X,O,O,X,X,X
TJZILOS,O,O,X,O,O,X,O,O,X,X,X
TJZISLO,O,O,O,O,O,X,O,X,X,X,X
TJZISOL,O,X,O,O,O,X,O,X,X,X,X
TJZIOLS,O,X,X,O,O,X,O,O,X,X,X
TJZIOSL,O,X,O,O,O,X,O,X,X,X,X
TJZLISO,X,O,O,O,O,X,O,O,X,O,X
TJZLIOS,O,O,X,O,O,X,O,O,X,O,X
TJZLSIO,X,O,X,O,O,O,O,O,X,O,X
TJZLSOI,X,O,X,O,O,O,O,O,X,O,X
TJZLOIS,O,O,X,O,O,X,O,O,X,O,X
TJZLOSI,X,O,X,O,O,O,O,O,X,O,X
TJZSILO,O,O,O,O,O,O,O,X,X,X,X
TJZSIOL,O,X,O,O,O,O,O,X,X,X,X
TJZSLIO,O,O,O,O,O,O,O,O,X,O,X
TJZSLOI,O,O,O,O,O,O,O,O,X,O,X
TJZSOIL,O,X,O,O,O,O,O,X,X,X,X
TJZSOLI,O,X,O,O,O,O,O,O,X,X,X
TJZOILS,O,O,X,O,O,X,O,O,X,X,X
TJZOISL,O,O,O,O,O,X,O,X,X,X,X
TJZOLIS,O,O,X,O,O,X,O,O,X,X,X
TJZOLSI,X,O,X,O,O,O,O,O,X,X,X
TJZOSIL,O,O,X,O,O,O,O,X,X,X,X
TJZOSLI,O,O,X,O,O,O,O,O,X,X,X
TJOILSZ,X,O,X,O,X,O,X,X,X,X,X
TJOILZS,X,O,O,O,O,X,X,X,X,X,X
TJOISLZ,X,X,X,O,X,O,X,X,O,X,X
TJOISZL,X,X,O,O,X,O,O,X,X,X,X
TJOIZLS,O,O,O,O,O,X,O,X,X,X,X
TJOIZSL,O,O,O,O,O,X,O,X,X,X,X
TJOLISZ,X,O,X,O,X,O,X,X,X,X,O
