sequence,v115@VhA8CeB8AeI8JeZEJvhFUlBFmBXnBToBWvBSxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBUmBGnBToBVxB,v115@VhA8CeB8AeI8JeZEJvhFqpB/qBFmB8rB+sBTtB,v115@VhA8CeB8AeI8JeZEJvhFClBXmB8rB+sBToBVvB,v115@VhA8CeB8AeI8JeT/IvhF/lBRhBGjB0mBlnBipB
TZJOILS,O,O,O,O,X
TZJOISL,O,O,O,O,O
TZJOLIS,O,O,O,O,O
TZJOLSI,O,O,O,O,O
TZJOSIL,O,O,O,O,O
TZJOSLI,O,O,O,O,O
TZSILJO,X,O,O,O,O
TZSILOJ,X,O,O,O,O
TZSIJLO,X,O,O,O,O
TZSIJOL,X,O,O,O,O
TZSIOLJ,X,O,X,O,O
TZSIOJL,X,O,X,O,O
TZSLIJO,X,O,O,O,O
TZSLIOJ,X,O,O,O,O
TZSLJIO,X,O,O,O,O
TZSLJOI,X,O,O,O,O
TZSLOIJ,X,O,O,O,O
TZSLOJI,X,O,O,O,O
TZSJILO,X,O,O,O,O
TZSJIOL,X,O,O,O,O
TZSJLIO,X,O,O,O,O
TZSJLOI,X,O,O,O,O
TZSJOIL,X,O,O,O,O
TZSJOLI,X,O,O,O,O
TZSOILJ,X,O,X,O,O
TZSOIJL,X,O,X,O,O
TZSOLIJ,X,O,O,O,O
TZSOLJI,X,O,O,O,O
TZSOJIL,X,O,O,O,O
TZSOJLI,X,O,O,O,O
TZOILJS,O,O,X,O,X
TZOILSJ,O,O,X,O,X
TZOIJLS,O,O,X,O,X
TZOIJSL,O,O,X,O,O
TZOISLJ,X,O,X,O,O
TZOISJL,X,O,X,O,O
TZOLIJS,O,O,X,O,O
TZOLISJ,O,O,X,O,O
TZOLJIS,O,O,X,O,O
TZOLJSI,O,O,X,O,O
TZOLSIJ,O,O,X,O,O
TZOLSJI,O,O,X,O,O
TZOJILS,O,O,X,O,X
TZOJISL,O,O,O,O,O
TZOJLIS,O,O,X,O,O
TZOJLSI,O,O,O,O,O
TZOJSIL,O,O,O,O,O
TZOJSLI,O,O,O,O,O
TZOSILJ,X,O,X,O,O
TZOSIJL,X,O,X,O,O
TZOSLIJ,X,O,O,O,O
TZOSLJI,X,O,O,O,O
TZOSJIL,X,O,O,O,O
TZOSJLI,X,O,O,O,O
TOILJSZ,O,O,O,O,X
TOILJZS,O,O,O,O,X
TOILSJZ,O,O,O,O,X
TOILSZJ,O,O,X,O,X
TOILZJS,O,O,X,O,X
TOILZSJ,O,O,X,O,X
TOIJLSZ,O,O,O,O,X
TOIJLZS,O,O,O,O,X
TOIJSLZ,O,O,X,O,O
TOIJSZL,O,O,X,O,X
TOIJZLS,O,O,O,O,X
TOIJZSL,O,O,X,O,X
TOISLJZ,O,O,X,O,O
TOISLZJ,O,O,X,O,O
TOISJLZ,O,O,X,O,O
TOISJZL,O,O,X,O,X
TOISZLJ,X,O,X,O,X
TOISZJL,X,O,X,O,X
TOIZLJS,O,O,X,O,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,O,X,O,X
TOIZJSL,O,O,X,O,X
TOIZSLJ,X,O,X,O,X
TOIZSJL,X,O,X,O,X
TOLIJSZ,O,O,O,O,O
TOLIJZS,O,O,O,O,O
TOLISJZ,O,O,O,O,O
TOLISZJ,O,O,X,O,O
TOLIZJS,O,O,X,O,O
TOLIZSJ,O,O,X,O,O
TOLJISZ,O,O,O,O,O
TOLJIZS,O,O,O,O,O
TOLJSIZ,O,O,O,O,O
TOLJSZI,O,O,O,O,O
TOLJZIS,O,O,O,O,O
TOLJZSI,O,O,O,O,O
TOLSIJZ,O,O,O,O,O
TOLSIZJ,O,O,X,O,O
TOLSJIZ,O,O,O,O,O
TOLSJZI,O,O,O,O,O
TOLSZIJ,O,O,X,O,O
TOLSZJI,O,O,X,O,O
TOLZIJS,O,O,X,O,O
TOLZISJ,O,O,X,O,O
TOLZJIS,O,O,X,O,O
TOLZJSI,O,O,X,O,O
TOLZSIJ,O,O,X,O,O
TOLZSJI,O,O,X,O,O
TOJILSZ,O,O,O,O,X
TOJILZS,O,O,O,O,X
TOJISLZ,O,O,X,O,O
TOJISZL,O,O,X,O,X
TOJIZLS,O,O,O,O,X
TOJIZSL,O,O,X,O,X
TOJLISZ,O,O,O,O,O
TOJLIZS,O,O,O,O,O
TOJLSIZ,O,O,O,O,O
TOJLSZI,O,O,O,O,O
TOJLZIS,O,O,O,O,O
TOJLZSI,O,O,O,O,O
TOJSILZ,O,O,X,O,O
TOJSIZL,O,O,X,O,X
TOJSLIZ,O,O,O,O,O
TOJSLZI,O,O,O,O,O
TOJSZIL,O,O,O,O,O
TOJSZLI,O,O,O,O,O
TOJZILS,O,O,O,O,X
TOJZISL,O,O,O,O,O
TOJZLIS,O,O,O,O,O
TOJZLSI,O,O,O,O,O
TOJZSIL,O,O,O,O,O
TOJZSLI,O,O,O,O,O
TOSILJZ,O,O,X,O,O
TOSILZJ,O,O,X,O,O
TOSIJLZ,O,O,X,O,O
TOSIJZL,O,O,X,O,X
TOSIZLJ,X,O,X,O,X
TOSIZJL,X,O,X,O,X
TOSLIJZ,O,O,O,O,O
TOSLIZJ,O,O,O,O,O
TOSLJIZ,O,O,O,O,O
TOSLJZI,O,O,O,O,O
TOSLZIJ,O,O,O,O,O
TOSLZJI,O,O,O,O,O
TOSJILZ,O,O,X,O,O
TOSJIZL,O,O,X,O,X
TOSJLIZ,O,O,O,O,O
TOSJLZI,O,O,O,O,O
TOSJZIL,O,O,O,O,O
TOSJZLI,O,O,O,O,O
TOSZILJ,X,O,X,O,O
TOSZIJL,X,O,X,O,O
TOSZLIJ,X,O,O,O,O
TOSZLJI,X,O,O,O,O
TOSZJIL,X,O,O,O,O
TOSZJLI,X,O,O,O,O
TOZILJS,O,O,X,O,X
TOZILSJ,O,O,X,O,X
TOZIJLS,O,O,X,O,X
TOZIJSL,O,O,X,O,O
TOZISLJ,X,O,X,O,O
TOZISJL,X,O,X,O,O
TOZLIJS,O,O,X,O,O
TOZLISJ,O,O,X,O,O
TOZLJIS,O,O,X,O,O
TOZLJSI,O,O,X,O,O
TOZLSIJ,O,O,X,O,O
TOZLSJI,O,O,X,O,O
TOZJILS,O,O,X,O,X
TOZJISL,O,O,O,O,O
TOZJLIS,O,O,X,O,O
TOZJLSI,O,O,O,O,O
TOZJSIL,O,O,O,O,O
TOZJSLI,O,O,O,O,O
TOZSILJ,X,O,X,O,O
TOZSIJL,X,O,X,O,O
TOZSLIJ,X,O,O,O,O
TOZSLJI,X,O,O,O,O
TOZSJIL,X,O,O,O,O
TOZSJLI,X,O,O,O,O
ITLJSZO,O,O,O,O,O
ITLJSOZ,O,O,O,O,O
ITLJZSO,O,O,O,O,O
ITLJZOS,O,O,O,O,O
ITLJOSZ,O,O,O,O,O
ITLJOZS,O,O,O,O,O
ITLSJZO,O,O,O,O,O
ITLSJOZ,O,O,O,O,O
