sequence,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBXjBurBct?BTsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBTjBurBcs?BXtB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToB0s?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBTjBxsBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulBRiB9oB0mBzs?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBXiBTjBWtB0m?BRxB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToB0s?BXsB
TZIOSLJ,O,O,X,O,X,X,X,X,X
TZIOSJL,O,O,X,O,X,X,X,X,X
TZLIJSO,O,O,X,X,O,X,O,X,O
TZLIJOS,O,O,X,O,O,O,O,X,O
TZLISJO,O,O,X,X,X,X,X,X,O
TZLISOJ,O,O,X,X,X,X,X,X,X
TZLIOJS,O,X,X,O,O,X,X,X,O
TZLIOSJ,O,O,X,O,X,X,X,X,X
TZLJISO,O,O,X,X,O,X,O,X,O
TZLJIOS,O,O,X,O,O,O,O,X,O
TZLJSIO,O,O,X,X,X,X,X,O,O
TZLJSOI,O,O,O,O,X,X,O,X,X
TZLJOIS,O,O,O,O,X,O,O,X,O
TZLJOSI,O,O,O,O,X,O,O,X,X
TZLSIJO,O,O,X,X,X,X,X,O,O
TZLSIOJ,O,O,X,X,X,X,X,X,X
TZLSJIO,O,O,X,X,X,X,X,O,O
TZLSJOI,O,O,O,O,X,X,X,X,X
TZLSOIJ,O,O,O,O,X,X,X,X,X
TZLSOJI,O,O,O,O,X,X,X,X,X
TZLOIJS,O,X,O,O,X,O,X,X,O
TZLOISJ,O,O,X,O,X,O,X,X,X
TZLOJIS,O,O,O,O,X,O,X,X,O
TZLOJSI,O,O,O,O,X,O,X,X,X
TZLOSIJ,O,O,O,O,X,O,X,X,X
TZLOSJI,O,O,O,O,X,O,X,X,X
TZJILSO,O,O,X,X,O,X,O,X,O
TZJILOS,O,O,X,O,O,O,O,X,O
TZJISLO,O,O,X,X,O,X,O,X,O
TZJISOL,O,O,X,X,O,X,O,X,X
TZJIOLS,O,O,X,O,O,X,O,X,O
TZJIOSL,O,O,X,O,O,X,O,X,X
TZJLISO,O,O,X,X,O,X,O,X,O
TZJLIOS,O,O,X,O,O,O,O,X,O
TZJLSIO,O,O,X,X,X,X,X,O,O
TZJLSOI,O,O,O,O,X,X,O,X,X
TZJLOIS,O,O,O,O,X,O,O,X,O
TZJLOSI,O,O,O,O,X,O,O,X,X
TZJSILO,O,O,X,X,X,X,X,O,O
TZJSIOL,O,O,X,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,O,O
TZJSLOI,O,O,O,O,X,X,O,X,X
TZJSOIL,O,O,O,O,X,X,X,X,X
TZJSOLI,O,O,O,O,X,X,O,X,X
TZJOILS,O,O,O,O,X,O,O,X,O
TZJOISL,O,O,X,O,X,O,O,X,X
TZJOLIS,O,O,O,O,X,O,O,X,O
TZJOLSI,O,O,O,O,X,O,O,X,X
TZJOSIL,O,O,O,O,X,O,X,X,X
TZJOSLI,O,O,O,O,X,O,O,X,X
TZSILJO,O,O,X,X,X,X,X,O,O
TZSILOJ,O,O,X,X,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,O,O
TZSIJOL,O,O,X,X,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X,X,O,O
TZSLIOJ,O,O,X,X,X,X,X,X,X
TZSLJIO,O,O,X,X,X,X,X,O,O
TZSLJOI,O,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,O,O,X,X,X,X,X
TZSLOJI,O,O,O,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,O,O
TZSJIOL,O,O,X,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X,X,O,O
TZSJLOI,O,O,O,O,X,X,X,X,X
TZSJOIL,O,O,O,O,X,X,X,X,X
TZSJOLI,O,O,O,O,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X,X
TZSOLIJ,O,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,X,X
TZSOJIL,O,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X,X
TZOILJS,O,X,O,O,X,O,X,X,O
TZOILSJ,O,O,X,O,X,O,X,X,X
TZOIJLS,O,X,O,O,X,O,X,X,O
TZOIJSL,O,X,X,O,X,O,X,X,X
TZOISLJ,O,O,X,O,X,O,X,X,X
TZOISJL,O,O,X,O,X,O,X,X,X
TZOLIJS,O,X,O,O,X,O,X,X,O
TZOLISJ,O,O,X,O,X,O,X,X,X
TZOLJIS,O,O,O,O,X,O,X,X,O
TZOLJSI,O,O,O,O,X,O,X,X,X
TZOLSIJ,O,O,O,O,X,O,X,X,X
TZOLSJI,O,O,O,O,X,O,X,X,X
TZOJILS,O,O,O,O,X,O,X,X,O
TZOJISL,O,O,X,O,X,O,X,X,X
TZOJLIS,O,O,O,O,X,O,X,X,O
TZOJLSI,O,O,O,O,X,O,X,X,X
TZOJSIL,O,O,O,O,X,O,X,X,X
TZOJSLI,O,O,O,O,X,O,X,X,X
TZOSILJ,O,O,O,O,X,O,X,X,X
TZOSIJL,O,O,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,O,X,O,X,X,X
TZOSLJI,O,O,O,O,X,O,X,X,X
TZOSJIL,O,O,O,O,X,O,X,X,X
TZOSJLI,O,O,O,O,X,O,X,X,X
TOILJSZ,O,X,O,O,O,O,O,X,X
TOILJZS,O,O,O,O,O,O,O,X,X
TOILSJZ,X,O,O,O,O,O,X,X,X
TOILSZJ,O,O,O,X,X,X,X,X,X
TOILZJS,O,X,O,O,O,O,X,X,X
TOILZSJ,O,O,X,O,X,O,X,X,X
TOIJLSZ,O,X,O,O,O,O,O,X,X
TOIJLZS,O,O,O,O,O,O,O,X,X
TOIJSLZ,O,X,O,O,O,O,O,X,X
TOIJSZL,O,X,O,X,O,X,O,X,X
TOIJZLS,O,O,O,O,O,O,O,X,X
TOIJZSL,O,O,X,O,O,O,O,X,X
TOISLJZ,X,O,O,O,O,O,X,X,X
TOISLZJ,O,O,O,X,X,X,X,X,X
TOISJLZ,X,O,O,O,O,O,X,X,X
TOISJZL,X,X,O,X,O,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X,X,X
TOISZJL,O,X,O,X,X,X,X,X,X
TOIZLJS,O,X,O,O,O,O,X,X,X
TOIZLSJ,O,O,X,O,X,O,X,X,X
TOIZJLS,O,X,O,O,O,O,X,X,X
TOIZJSL,O,X,X,O,O,O,X,X,X
TOIZSLJ,O,O,X,O,X,O,X,X,X
TOIZSJL,O,O,X,O,X,O,X,X,X
TOLIJSZ,O,X,O,O,O,O,O,X,X
TOLIJZS,O,O,O,O,O,O,O,X,X
TOLISJZ,X,O,O,O,O,O,X,X,X
TOLISZJ,O,O,O,X,X,X,X,X,X
TOLIZJS,O,X,O,O,O,O,X,X,X
TOLIZSJ,O,O,X,O,X,O,X,X,X
TOLJISZ,O,X,O,O,O,O,O,X,X
TOLJIZS,O,O,O,O,O,O,O,X,X
TOLJSIZ,O,X,O,O,X,O,O,O,X
TOLJSZI,O,X,O,O,X,O,O,X,X
TOLJZIS,O,O,O,O,X,O,O,X,O
TOLJZSI,O,O,O,O,X,O,O,X,X
TOLSIJZ,X,O,O,O,X,O,X,O,X
TOLSIZJ,O,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,O,O,X,O,X,O,X
TOLSJZI,O,O,O,O,X,O,X,X,X
TOLSZIJ,O,O,O,O,X,O,X,X,X
TOLSZJI,O,O,O,O,X,O,X,X,X
TOLZIJS,O,X,O,O,X,O,X,X,O
TOLZISJ,O,O,X,O,X,O,X,X,X
TOLZJIS,O,O,O,O,X,O,X,X,O
TOLZJSI,O,O,O,O,X,O,X,X,X
TOLZSIJ,O,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,O,X,O,X,X,X
TOJILSZ,O,X,O,O,O,O,O,X,X
TOJILZS,O,O,O,O,O,O,O,X,X
TOJISLZ,O,X,O,O,O,O,O,X,X
TOJISZL,O,X,O,X,O,X,O,X,X
TOJIZLS,O,O,O,O,O,O,O,X,X
TOJIZSL,O,O,X,O,O,O,O,X,X
TOJLISZ,O,X,O,O,O,O,O,X,X
TOJLIZS,O,O,O,O,O,O,O,X,X
TOJLSIZ,O,X,O,O,X,O,O,O,X
TOJLSZI,O,X,O,O,X,O,O,X,X
TOJLZIS,O,O,O,O,X,O,O,X,O
TOJLZSI,O,O,O,O,X,O,O,X,X
TOJSILZ,O,X,O,O,X,O,O,O,X
TOJSIZL,O,X,O,X,X,X,O,X,X
TOJSLIZ,O,X,O,O,X,O,O,O,X
TOJSLZI,O,X,O,O,X,O,O,X,X
TOJSZIL,O,X,O,O,X,O,X,X,X
TOJSZLI,O,X,O,O,X,O,O,X,X
TOJZILS,O,O,O,O,X,O,O,X,O
TOJZISL,O,O,X,O,X,O,O,X,X
TOJZLIS,O,O,O,O,X,O,O,X,O
TOJZLSI,O,O,O,O,X,O,O,X,X
TOJZSIL,O,O,O,O,X,O,X,X,X
TOJZSLI,O,O,O,O,X,O,O,X,X
TOSILJZ,X,O,O,O,X,O,X,O,X
TOSILZJ,O,O,O,X,X,X,X,X,X
TOSIJLZ,X,O,O,O,X,O,X,O,X
TOSIJZL,X,X,O,X,X,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X,X
TOSLIJZ,X,O,O,O,X,O,X,O,X
TOSLIZJ,O,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,O,O,X,O,X,O,X
TOSLJZI,O,O,O,O,X,O,X,X,X
TOSLZIJ,O,O,O,O,X,O,X,X,X
TOSLZJI,O,O,O,O,X,O,X,X,X
TOSJILZ,O,O,O,O,X,O,X,O,X
TOSJIZL,O,X,O,X,X,X,X,X,X
TOSJLIZ,O,O,O,O,X,O,X,O,X
TOSJLZI,O,O,O,O,X,O,X,X,X
TOSJZIL,O,O,O,O,X,O,X,X,X
TOSJZLI,O,O,O,O,X,O,X,X,X
TOSZILJ,O,O,O,O,X,O,X,X,X
TOSZIJL,O,O,O,O,X,O,X,X,X
TOSZLIJ,O,O,O,O,X,O,X,X,X
TOSZLJI,O,O,O,O,X,O,X,X,X
TOSZJIL,O,O,O,O,X,O,X,X,X
TOSZJLI,O,O,O,O,X,O,X,X,X
TOZILJS,O,X,O,O,X,O,X,X,O
TOZILSJ,O,O,X,O,X,O,X,X,X
TOZIJLS,O,X,O,O,X,O,X,X,O
TOZIJSL,O,X,X,O,X,O,X,X,X
TOZISLJ,O,O,X,O,X,O,X,X,X
TOZISJL,O,O,X,O,X,O,X,X,X
TOZLIJS,O,X,O,O,X,O,X,X,O
TOZLISJ,O,O,X,O,X,O,X,X,X
TOZLJIS,O,O,O,O,X,O,X,X,O
TOZLJSI,O,O,O,O,X,O,X,X,X
TOZLSIJ,O,O,O,O,X,O,X,X,X
TOZLSJI,O,O,O,O,X,O,X,X,X
TOZJILS,O,O,O,O,X,O,X,X,O
TOZJISL,O,O,X,O,X,O,X,X,X
TOZJLIS,O,O,O,O,X,O,X,X,O
TOZJLSI,O,O,O,O,X,O,X,X,X
TOZJSIL,O,O,O,O,X,O,X,X,X
TOZJSLI,O,O,O,O,X,O,X,X,X
TOZSILJ,O,O,O,O,X,O,X,X,X
TOZSIJL,O,O,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,O,X,O,X,X,X
TOZSLJI,O,O,O,O,X,O,X,X,X
TOZSJIL,O,O,O,O,X,O,X,X,X
TOZSJLI,O,O,O,O,X,O,X,X,X
ITLJSZO,O,O,X,X,O,X,O,O,X
ITLJSOZ,O,O,O,X,O,O,O,O,X
ITLJZSO,O,O,X,X,O,X,O,X,O
ITLJZOS,O,O,X,O,O,O,O,X,O
ITLJOSZ,O,X,O,O,O,O,O,X,X
ITLJOZS,O,O,O,O,O,O,O,X,X
ITLSJZO,O,O,X,X,O,X,O,O,X
ITLSJOZ,O,O,O,X,O,O,O,O,X
ITLSZJO,O,O,X,X,X,X,X,O,X
ITLSZOJ,O,O,X,X,X,X,X,X,X
ITLSOJZ,X,O,O,X,O,X,X,O,X
ITLSOZJ,O,O,O,X,X,X,X,X,X
ITLZJSO,O,O,X,X,O,X,O,X,O
ITLZJOS,O,O,X,O,O,O,O,X,O
ITLZSJO,O,O,X,X,X,X,X,X,O
ITLZSOJ,O,O,X,X,X,X,X,X,X
ITLZOJS,O,X,X,O,O,X,X,X,O
ITLZOSJ,O,O,X,O,X,X,X,X,X
ITLOJSZ,O,X,O,O,O,O,O,X,X
ITLOJZS,O,O,O,O,O,O,O,X,X
ITLOSJZ,X,O,O,O,O,O,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,X,X
ITLOZJS,O,X,O,O,O,O,X,X,X
ITLOZSJ,O,O,X,O,X,O,X,X,X
ITJLSZO,O,O,X,X,O,X,O,O,X
ITJLSOZ,O,O,O,X,O,O,O,O,X
ITJLZSO,O,O,X,X,O,X,O,X,O
ITJLZOS,O,O,X,O,O,O,O,X,O
ITJLOSZ,O,X,O,O,O,O,O,X,X
ITJLOZS,O,O,O,O,O,O,O,X,X
ITJSLZO,O,O,X,X,O,X,O,O,X
ITJSLOZ,O,O,O,X,O,O,O,O,X
ITJSZLO,O,O,X,X,O,X,O,O,X
ITJSZOL,O,O,X,X,O,X,O,X,X
ITJSOLZ,O,O,O,X,O,X,O,O,X
ITJSOZL,O,X,O,X,O,X,O,X,X
ITJZLSO,O,O,X,X,O,X,O,X,O
ITJZLOS,O,O,X,O,O,O,O,X,O
ITJZSLO,O,O,X,X,O,X,O,X,O
ITJZSOL,O,O,X,X,O,X,O,X,X
ITJZOLS,O,O,X,O,O,X,O,X,O
ITJZOSL,O,O,X,O,O,X,O,X,X
ITJOLSZ,O,X,O,O,O,O,O,X,X
ITJOLZS,O,O,O,O,O,O,O,X,X
ITJOSLZ,O,X,O,O,O,O,O,X,X
ITJOSZL,O,X,O,X,O,X,O,X,X
ITJOZLS,O,O,O,O,O,O,O,X,X
ITJOZSL,O,O,X,O,O,O,O,X,X
ITSLJZO,O,O,X,X,O,X,O,O,X
ITSLJOZ,O,O,O,X,O,O,O,O,X
ITSLZJO,O,O,X,X,X,X,X,O,X
ITSLZOJ,O,O,X,X,X,X,X,X,X
ITSLOJZ,X,O,O,X,O,X,X,O,X
ITSLOZJ,O,O,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,O,X,O,O,X
ITSJLOZ,O,O,O,X,O,O,O,O,X
ITSJZLO,O,O,X,X,O,X,O,O,X
ITSJZOL,O,O,X,X,O,X,O,X,X
ITSJOLZ,O,O,O,X,O,X,O,O,X
ITSJOZL,O,X,O,X,O,X,O,X,X
ITSZLJO,O,O,X,X,X,X,X,O,X
ITSZLOJ,O,O,X,X,X,X,X,X,X
ITSZJLO,O,O,X,X,X,X,X,O,X
ITSZJOL,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,O,X,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,X,X,X
ITSOLJZ,X,O,O,X,O,X,X,O,X
ITSOLZJ,O,O,O,X,X,X,X,X,X
ITSOJLZ,X,O,O,X,O,X,X,O,X
ITSOJZL,X,X,O,X,O,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X,X
ITZLJSO,O,O,X,X,O,X,O,X,O
ITZLJOS,O,O,X,O,O,O,O,X,O
ITZLSJO,O,O,X,X,X,X,X,X,O
ITZLSOJ,O,O,X,X,X,X,X,X,X
ITZLOJS,O,X,X,O,O,X,X,X,O
ITZLOSJ,O,O,X,O,X,X,X,X,X
ITZJLSO,O,O,X,X,O,X,O,X,O
ITZJLOS,O,O,X,O,O,O,O,X,O
ITZJSLO,O,O,X,X,O,X,O,X,O
ITZJSOL,O,O,X,X,O,X,O,X,X
ITZJOLS,O,O,X,O,O,X,O,X,O
ITZJOSL,O,O,X,O,O,X,O,X,X
ITZSLJO,O,O,X,X,X,X,X,X,O
ITZSLOJ,O,O,X,X,X,X,X,X,X
ITZSJLO,O,O,X,X,X,X,X,X,O
ITZSJOL,O,O,X,X,X,X,X,X,X
ITZSOLJ,O,O,X,X,X,X,X,X,X
ITZSOJL,O,O,X,X,X,X,X,X,X
ITZOLJS,O,X,X,O,O,X,X,X,O
ITZOLSJ,O,O,X,O,X,X,X,X,X
ITZOJLS,O,X,X,O,O,X,X,X,O
ITZOJSL,O,X,X,O,O,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X,X
ITZOSJL,O,O,X,O,X,X,X,X,X
ITOLJSZ,O,X,O,O,O,O,O,X,X
ITOLJZS,O,O,O,O,O,O,O,X,X
ITOLSJZ,X,O,O,O,O,O,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X
ITOLZJS,O,X,O,O,O,O,X,X,X
ITOLZSJ,O,O,X,O,X,O,X,X,X
ITOJLSZ,O,X,O,O,O,O,O,X,X
ITOJLZS,O,O,O,O,O,O,O,X,X
ITOJSLZ,O,X,O,O,O,O,O,X,X
ITOJSZL,O,X,O,X,O,X,O,X,X
ITOJZLS,O,O,O,O,O,O,O,X,X
ITOJZSL,O,O,X,O,O,O,O,X,X
ITOSLJZ,X,O,O,O,O,O,X,X,X
ITOSLZJ,O,O,O,X,X,X,X,X,X
ITOSJLZ,X,O,O,O,O,O,X,X,X
ITOSJZL,X,X,O,X,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X,X,X
ITOSZJL,O,X,O,X,X,X,X,X,X
ITOZLJS,O,X,O,O,O,O,X,X,X
ITOZLSJ,O,O,X,O,X,O,X,X,X
ITOZJLS,O,X,O,O,O,O,X,X,X
ITOZJSL,O,X,X,O,O,O,X,X,X
ITOZSLJ,O,O,X,O,X,O,X,X,X
ITOZSJL,O,O,X,O,X,O,X,X,X
ILTJSZO,O,O,X,X,O,X,O,O,X
ILTJSOZ,O,O,O,X,O,O,O,O,X
ILTJZSO,O,O,X,X,O,X,O,X,O
ILTJZOS,O,O,X,O,O,O,O,X,O
ILTJOSZ,O,X,O,O,O,O,O,X,X
ILTJOZS,O,O,O,O,O,O,O,X,X
ILTSJZO,O,O,X,X,O,X,O,O,X
ILTSJOZ,O,O,O,X,O,O,O,O,X
ILTSZJO,O,O,X,X,X,X,X,O,X
ILTSZOJ,O,O,X,X,X,X,X,X,X
ILTSOJZ,X,O,O,X,O,X,X,O,X
ILTSOZJ,O,O,O,X,X,X,X,X,X
ILTZJSO,O,O,X,X,O,X,O,X,O
ILTZJOS,O,O,X,O,O,O,O,X,O
ILTZSJO,O,O,X,X,X,X,X,X,O
ILTZSOJ,O,O,X,X,X,X,X,X,X
ILTZOJS,O,X,X,O,O,X,X,X,O
ILTZOSJ,O,O,X,O,X,X,X,X,X
ILTOJSZ,O,X,O,O,O,O,O,X,X
ILTOJZS,O,O,O,O,O,O,O,X,X
ILTOSJZ,X,O,O,O,O,O,X,X,X
ILTOSZJ,O,O,O,X,X,X,X,X,X
ILTOZJS,O,X,O,O,O,O,X,X,X
ILTOZSJ,O,O,X,O,X,O,X,X,X
ILJTSZO,O,O,X,X,O,X,O,O,X
ILJTSOZ,O,X,O,X,O,O,O,O,X
ILJTZSO,O,O,X,X,O,X,O,X,O
ILJTZOS,O,O,X,O,O,O,O,X,O
ILJTOSZ,O,X,O,O,O,O,O,X,X
ILJTOZS,O,O,O,O,O,O,O,X,X
ILJSTZO,X,X,X,X,O,X,O,O,X
ILJSTOZ,X,X,O,X,O,X,O,O,X
ILJSZTO,X,X,X,X,X,X,O,X,X
ILJSZOT,X,X,X,X,X,X,O,X,X
ILJSOTZ,X,X,O,X,O,X,O,X,X
ILJSOZT,X,X,X,X,X,X,O,X,X
ILJZTSO,O,O,X,X,O,X,O,X,O
ILJZTOS,O,O,X,O,O,X,O,X,O
ILJZSTO,O,O,X,X,X,X,O,X,X
ILJZSOT,X,O,X,X,X,X,O,X,X
ILJZOTS,X,X,X,O,O,O,O,X,X
ILJZOST,X,X,X,X,X,X,O,X,X
ILJOTSZ,O,X,O,O,O,O,O,X,X
ILJOTZS,O,X,O,O,O,O,O,X,X
ILJOSTZ,X,X,O,X,O,X,O,X,X
ILJOSZT,X,X,X,X,X,X,O,X,X
ILJOZTS,O,X,X,O,O,O,O,X,X
ILJOZST,O,X,X,X,X,X,O,X,X
ILSTJZO,X,X,X,X,O,X,O,O,X
ILSTJOZ,X,O,O,X,O,X,O,O,X
ILSTZJO,X,O,X,X,X,X,X,O,X
ILSTZOJ,X,O,X,X,X,X,X,X,X
ILSTOJZ,X,O,O,X,O,X,X,O,X
ILSTOZJ,X,O,O,X,X,X,X,X,X
ILSJTZO,X,X,X,X,O,X,O,O,X
ILSJTOZ,X,X,O,X,O,X,O,O,X
ILSJZTO,X,X,X,X,X,X,O,X,X
ILSJZOT,X,X,X,X,X,X,O,X,X
ILSJOTZ,X,X,O,X,O,X,O,X,X
ILSJOZT,X,X,X,X,X,X,O,X,X
ILSZTJO,X,O,X,X,X,X,X,O,X
ILSZTOJ,X,O,X,X,X,X,X,X,X
ILSZJTO,X,O,X,X,X,X,X,X,X
ILSZJOT,X,O,X,X,X,X,X,X,X
ILSZOTJ,X,O,X,X,X,X,X,X,X
ILSZOJT,X,O,X,X,X,X,X,X,X
ILSOTJZ,X,O,O,X,O,X,X,O,X
ILSOTZJ,X,O,O,X,X,X,X,X,X
ILSOJTZ,X,X,O,X,O,X,X,X,X
ILSOJZT,X,X,X,X,X,X,X,X,X
ILSOZTJ,X,O,O,X,X,X,X,X,X
ILSOZJT,X,O,X,X,X,X,X,X,X
ILZTJSO,O,O,X,X,O,X,O,X,O
ILZTJOS,O,O,X,O,O,X,O,X,O
ILZTSJO,O,O,X,X,X,X,X,X,O
ILZTSOJ,O,O,X,X,X,X,X,X,X
ILZTOJS,O,X,X,O,O,X,X,X,O
ILZTOSJ,O,O,X,O,X,X,X,X,X
ILZJTSO,O,O,X,X,O,X,O,X,O
ILZJTOS,O,O,X,O,O,X,O,X,O
ILZJSTO,O,O,X,X,X,X,O,X,X
ILZJSOT,X,O,X,X,X,X,O,X,X
ILZJOTS,X,X,X,O,O,O,O,X,X
ILZJOST,X,X,X,X,X,X,O,X,X
ILZSTJO,O,O,X,X,X,X,X,X,O
ILZSTOJ,O,O,X,X,X,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,X,X,X
ILZOTJS,O,X,X,O,O,O,X,X,O
ILZOTSJ,O,X,X,O,X,O,X,X,X
ILZOJTS,O,X,X,O,O,O,X,X,X
ILZOJST,O,X,X,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,O,O,O,O,X,X
ILOTJZS,O,X,O,O,O,O,O,X,X
ILOTSJZ,X,X,O,O,O,O,X,X,X
ILOTSZJ,O,X,O,X,X,X,X,X,X
ILOTZJS,O,X,O,O,O,O,X,X,X
ILOTZSJ,O,X,X,O,X,O,X,X,X
ILOJTSZ,O,X,O,O,O,O,O,X,X
ILOJTZS,O,X,O,O,O,O,O,X,X
ILOJSTZ,X,X,O,X,O,X,O,X,X
ILOJSZT,X,X,X,X,X,X,O,X,X
ILOJZTS,O,X,X,O,O,O,O,X,X
ILOJZST,O,X,X,X,X,X,O,X,X
ILOSTJZ,X,X,O,O,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X,X,X
ILOSJTZ,X,X,O,X,O,X,X,X,X
ILOSJZT,X,X,X,X,X,X,X,X,X
ILOSZTJ,X,X,O,O,X,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,O,O,O,O,X,X,X
ILOZTSJ,O,X,X,O,X,O,X,X,X
ILOZJTS,O,X,X,O,O,O,X,X,X
ILOZJST,O,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,O,O,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X
IJTLSZO,O,O,X,X,O,X,O,O,X
IJTLSOZ,O,X,O,X,O,O,O,O,X
IJTLZSO,O,O,X,X,O,X,O,X,O
IJTLZOS,O,O,X,O,O,O,O,X,O
IJTLOSZ,O,X,O,O,O,O,O,X,X
IJTLOZS,O,O,O,O,O,O,O,X,X
IJTSLZO,O,O,X,X,O,X,O,O,X
IJTSLOZ,O,X,O,X,O,O,O,O,X
IJTSZLO,O,O,X,X,O,X,O,O,X
IJTSZOL,O,O,X,X,O,X,O,X,X
IJTSOLZ,O,X,O,X,O,X,O,O,X
IJTSOZL,O,X,O,X,O,X,O,X,X
IJTZLSO,O,O,X,X,O,X,O,X,O
IJTZLOS,O,O,X,O,O,O,O,X,O
IJTZSLO,O,O,X,X,O,X,O,X,O
IJTZSOL,O,O,X,X,O,X,O,X,X
IJTZOLS,O,O,X,O,O,X,O,X,O
IJTZOSL,O,O,X,O,O,X,O,X,X
IJTOLSZ,O,X,O,O,O,O,O,X,X
IJTOLZS,O,O,O,O,O,O,O,X,X
IJTOSLZ,O,X,O,O,O,O,O,X,X
IJTOSZL,O,X,O,X,O,X,O,X,X
IJTOZLS,O,O,O,O,O,O,O,X,X
IJTOZSL,O,O,X,O,O,O,O,X,X
IJLTSZO,O,O,X,X,O,X,O,O,X
IJLTSOZ,O,X,O,X,O,O,O,O,X
IJLTZSO,O,O,X,X,O,X,O,X,O
IJLTZOS,O,O,X,O,O,O,O,X,O
IJLTOSZ,O,X,O,O,O,O,O,X,X
IJLTOZS,O,O,O,O,O,O,O,X,X
IJLSTZO,X,X,X,X,O,X,O,O,X
IJLSTOZ,X,X,O,X,O,X,O,O,X
IJLSZTO,X,X,X,X,X,X,O,X,X
IJLSZOT,X,X,X,X,X,X,O,X,X
IJLSOTZ,X,X,O,X,O,X,O,X,X
IJLSOZT,X,X,X,X,X,X,O,X,X
IJLZTSO,O,O,X,X,O,X,O,X,O
IJLZTOS,O,O,X,O,O,X,O,X,O
IJLZSTO,O,O,X,X,X,X,O,X,X
IJLZSOT,X,O,X,X,X,X,O,X,X
IJLZOTS,X,X,X,O,O,O,O,X,X
IJLZOST,X,X,X,X,X,X,O,X,X
IJLOTSZ,O,X,O,O,O,O,O,X,X
IJLOTZS,O,X,O,O,O,O,O,X,X
IJLOSTZ,X,X,O,X,O,X,O,X,X
IJLOSZT,X,X,X,X,X,X,O,X,X
IJLOZTS,O,X,X,O,O,O,O,X,X
IJLOZST,O,X,X,X,X,X,O,X,X
IJSTLZO,X,X,X,X,O,X,O,O,X
IJSTLOZ,X,X,O,X,O,X,O,O,X
IJSTZLO,X,X,X,X,O,X,O,O,X
IJSTZOL,X,X,X,X,O,X,O,X,X
IJSTOLZ,X,X,O,X,O,X,O,O,X
IJSTOZL,X,X,O,X,O,X,O,X,X
IJSLTZO,X,X,X,X,O,X,O,O,X
IJSLTOZ,X,X,O,X,O,X,O,O,X
IJSLZTO,X,X,X,X,X,X,O,X,X
IJSLZOT,X,X,X,X,X,X,O,X,X
