sequence,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqB8?rB+sBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgBRiB/qB9?rB0sBisB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JetEJvhFThBmiBxqBX?sB6qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB/sBC?rBdtB0rB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB8qBq?rB/sBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFziBxqB0sB9?qB/rBasB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqB0?sB9qBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF6mBmiBRqBX?sBtqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqBX?sB9qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhFfmBxhBGqBC?sBdtBUsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF0hBRqBCsBt?qB3sBmsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeqEJvhFUhBRiBNsBG?rB/qBzsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhFCiBzkBuqB/?sB0rBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqBC?sBcsBetB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFUiBxqBTsB9?qB/rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFRhB/qBUmB9?sBatBzrB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF/nBRqBUsBu?qB9rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeCAJvhFxhBXlB8qBu?rBTsBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgB/qBxrBd?tBUsBCsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqBX?sBuqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JexBJvhFzkBCmB/sB0?rBdtBGqB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqB0?sBuqBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeWFJvhF8qBRnBXlB6?rBNsBzsB
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
