sequence,v115@vhHT5I5oBdtBCnBsqBXlBOpBywB,v115@vhHT1IZkB6tBPtBmmB0lBtpBSwB,v115@vhHT1IZkBGoBimB6qBtpBUtB3rB,v115@vhHT1IZkB6tBPtBsrBOrB6qBtpB,v115@vhHa+IPoBOkBzkBSyBFsBUrBxuB,v115@vhH6IJzhBKtB+sB3lBMpBlrBRvB,v115@vhHTDJanBWtBFmBUlBvpBSwBxxB,v115@vhHPIJymBOkBzkBSyBFsBUrBxuB,v115@vhHzCJ6kB+tB3mBMqBKpBlsBRwB,v115@vhHUDJOkBFnBRlBTtBSxBCrB3pB,v115@vhHTDJPnBylBKpBGtBFrBUqBRxB,v115@vhHzCJPnBylBKpBGtBFrBUqBRxB,v115@vhHa9ITjBPnBKpBGtBFrBUqBRxB,v115@vhHa9IziBPnBKpBGtBFrBUqBRxB,v115@vhHx8IslB+tBtrBzkBKpB3sByvB,v115@vhHx7IPnBCoBdrBKpBTtBWxBUqB,v115@vhHx7IWnBXoBdrBKpBSyBzrBUqB,v115@vhH6+IKjB+sB3lBMpBTtBlrBRvB,v115@vhHT5I6oBKtB+sB3lBMpBlrBRvB,v115@vhH66IKfB+tB3mBMqBlsBTpBRwB,v115@vhHT1I6kB+tB3mBMqBKpBlsBRwB,v115@vhHK6IykB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPnB2pBTtBSxBFrBxuB,v115@vhH5+IejBPnBKpBTtBSxBFrBUqB,v115@vhHa7IqfB+tB3mBMqBlsBTpBRwB,v115@vhHa+IPoBzlBspBOpBSyBFsBxvB,v115@vhHyCJPmBUoBzmBKpBWyBFqBRwB,v115@vhHqAJPoBzfB2pBSyBFsBUrBxuB,v115@vhHSAJPoBzlBspBOpBSyBFsBxvB,v115@vhHe9IxbBvsBqrBdrBKpBTtBUqB,v115@vhHqGJPmBzfBUoBKpBWyBFqBRwB,v115@vhHPIJzhB5lBKrB0kBSyBFsB2uB,v115@vhHq6IynB+tBTlBMpB3sBlrBRvB,v115@vhHq6IvoB0nBqqBzkBlrB2uBxxB,v115@vhHe+IMkBinBXlBTtBSxBFrBxuB,v115@vhHK/IXjBsmB+tBlsBiqBTpBRwB,v115@vhHS+I5oBPlBdtBKrB+qBUsBTpB,v115@vhHPAJKfBsmB+tBlsBiqBTpBRwB,v115@vhHK6IPoBzlBspBOpBSyBFsBxvB,v115@vhHS8IumBvtBTnBdrBKpBUqBRxB,v115@vhHS+I5oBPmBdtBaqBUsBWwBTpB,v115@vhH26IsmBZkBznBtpBSyBywB3qB,v115@vhH28IslBPlBStBtrByvBTpBxxB,v115@vhHS8IPoB5mB+tBdrBKpBTsBUqB,v115@vhHSAJZkB6tB0nBFmBupB3rBTqB,v115@vhHMAJTfBxnBFmBGtB3rBSvBipB,v115@vhHMAJ6kBxnBFmBKpBGtB3rBTqB,v115@vhH6+IKfB+tB3mBMqBlsBTpBRwB,v115@vhH6+IqfB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPmBKpBTtBGsBFqBRwB,v115@vhHM+I5oBPmBznBKpB2xBSwBFqB,v115@vhHPIJzhBZkBKrBUlBSyBFsBWvB,v115@vhHK6IziBPnBKpBGtBFrBUqBRxB,v115@vhH01IKfBGoBRmBNqBisBXrBTpB,v115@vhHa+IPoBzhB2pBSyBFsBUrBxuB,v115@vhHa+I0iBPnB2pBTtBSxBFrBxuB,v115@vhHa+I+nBzhBvtBKpBFrBUqBRxB,v115@vhH69IKjB+sB3lBMpBTtBlrBRvB,v115@vhHi1ItkBZkBGoBasBUmBzsBXqB,v115@vhHG5I5oBdoB3mBilBTkB0sBSvB,v115@vhHK6IPoBOlBTkBSyBFsBUrBxuB,v115@vhHK6ITjBPnBKpBGtBFrBUqBRxB,v115@vhHO6IqfBvsBUmBKpBTtBFqBRwB,v115@vhHKDJPmB0fBKpBTtBGsBFqBRwB,v115@vhHZDJPmB0fB+tBKpBTsBSwBFqB,v115@vhHK/IPnB0gBKqBGtBFrBTpBRxB,v115@vhHZ/IPnB0gBKqB+pBTtBSxBFrB,v115@vhHaAJslBTfB+tB3sBlrBipBRvB,v115@vhHz9ISoBPnBKpBGtBFrBUqBRxB,v115@vhH36IslBykBStBlrB2vBTpBxxB,v115@vhHz6IylBZkB+tBqpB3sBlrB0qB,v115@vhHz6IylBvkBStBlrB0qB2uBxxB,v115@vhH5IJPmBzfBetBMsBKpBSwBFqB,v115@vhHKCJMoBXmBmkBSyBFsBTpBxvB,v115@vhHT8IMoBPmBWsBKpBSyBFqBRwB,v115@vhH26IPoBTfBypBSyBFsBUrBxuB,v115@vhHZ6IufBPoBKqBSyBFsBUrBTpB,v115@vhHS+I6oBskBznB3rBlqB2uBxxB,v115@vhHZ6IMoBWnBKqBSyBXsBFrBTpB,v115@vhH5+IMnBWmBKpBTtBSxBXrBFqB
ZISTJOL,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZISTOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZISTOJL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZISLTJO,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZISLTOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZISLJTO,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,X,X
ZISLJOT,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X,X,X,O,O,O,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,O,X,O,O,O,X,O,O,X,X,O,O
ZISLOTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
ZISLOJT,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X,O,O
ZISJTLO,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X
ZISJTOL,O,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,O,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZISJLTO,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X,O,O,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X
ZISJLOT,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,O,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,X,O,O,X,X,O,O
ZISJOTL,O,O,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,X,O,O,X,X,X,O,O
ZISJOLT,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X,O,O
ZISOTLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O
ZISOTJL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
ZISOLTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
ZISOLJT,O,O,O,O,O,O,O,O,O,X,X,X,O,O,X,X,X,O,O,O,O,O,O,X,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O,O,X,O,O
ZISOJTL,O,O,O,O,O,X,O,O,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O
ZISOJLT,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,O,O,O,O,X,O,O
ZIOTLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZIOTLSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
ZIOTJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZIOTJSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ZIOTSLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZIOTSJL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
ZIOLTJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZIOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O
ZIOLJTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X
ZIOLJST,O,O,O,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,X,O,O,O,O,X,O,O
ZIOLSTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
ZIOLSJT,O,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O,O,X,O,O
ZIOJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,O,O,X,X,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X,X,X,O,O,O,X,X,X
ZIOJTSL,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O,X,O,X,X,O,O,O,O,O,X,X,X,O,O,X,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
ZIOJLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,O,O,O,X,X,X
ZIOJLST,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,X,O,O,O,O,X,O,O
ZIOJSTL,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,O,X,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X,O,O,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,X,O,O,X,X,X,O,O
ZIOJSLT,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,O,X,O,O,O,O,X,O,O
ZIOSTLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O
ZIOSTJL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O
ZIOSLTJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O
ZIOSLJT,O,O,O,O,O,O,X,O,O,X,X,X,O,O,X,X,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,O,O,O,X,O,O
ZIOSJTL,O,O,O,O,O,X,X,O,X,X,O,O,O,O,X,X,X,O,X,O,X,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,O,O,O,X,O,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,O,O,X,X,X,O,O
ZIOSJLT,O,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,O,O,O,O,X,O,O
ZLTIJSO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLTIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLTISJO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLTISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLTIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLTIOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJISO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZLTJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLTJSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLTJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLTJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZLTJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLTSIJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSJIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLTSJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLTSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLTOIJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLTOISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
ZLTOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLTOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLTOSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O
