sequence,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFmhBCjB/qBToB0r?BFrB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhFChBxiB/rBToB0q?BFsB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhF8mBCjB3lBToBFm?BRwB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoB0r?BXrB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoBXr?B0rB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhF/mBGjBTlBUoBVw?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFlhBziB+oB/qBUm?BywB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFzhBfoB6oB2qB1w?B8qB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFVmBGjB/qBUoBTr?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFylB3mBFoBGoB0q?BzrB,v115@HhB8HeB8DeB8BeC8DeC8JeFBJvhF6qBcrBxnBmkBTo?BXsB,v115@HhB8HeB8DeB8BeC8DeC8Je3AJvhFCiB8qBxnBmkBTo?B1wB
TSLZJIO,O,X,X,X,X,X,X,O,X,O,X,O
TSLZJOI,X,X,X,X,X,O,X,O,X,O,X,X
TSLZOIJ,X,X,X,O,O,O,X,X,X,O,X,O
TSLZOJI,X,X,X,O,O,O,X,O,X,O,X,X
TSLOIJZ,X,X,X,O,O,X,X,O,X,X,X,X
TSLOIZJ,X,X,X,O,O,O,X,X,X,X,X,X
TSLOJIZ,X,X,X,O,O,X,X,O,X,X,X,X
TSLOJZI,X,X,X,O,O,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,O,O,O,X,X,X,X,X,X
TSLOZJI,X,X,X,O,O,O,X,O,X,X,X,X
TSJILZO,O,X,X,X,X,X,X,O,X,X,X,X
TSJILOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSJIZLO,X,X,X,X,X,X,O,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,O,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X,X,O,X,X,X,X
TSJIOZL,X,X,X,X,X,X,O,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X,X,O,X,X,X,X
TSJLIOZ,O,X,X,X,X,X,X,O,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X,O,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,O,X,X,X,X
TSJLOIZ,X,X,X,X,O,X,X,O,X,X,X,X
TSJLOZI,X,X,X,X,O,X,X,O,X,X,X,X
TSJZILO,X,X,X,X,X,X,O,X,X,O,X,X
TSJZIOL,X,X,X,X,X,O,O,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,O,O,X,O,X,X
TSJZLOI,X,X,X,X,X,O,O,O,X,O,X,X
TSJZOIL,X,X,X,X,X,O,O,X,X,X,X,X
TSJZOLI,X,X,O,X,X,O,O,O,X,X,X,X
TSJOILZ,O,X,X,X,O,X,X,O,X,X,X,X
TSJOIZL,X,X,X,X,X,O,O,X,X,X,X,X
TSJOLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TSJOLZI,X,X,O,X,O,X,X,O,X,X,X,X
TSJOZIL,X,X,X,X,X,O,O,X,X,X,X,X
TSJOZLI,X,X,O,X,X,O,O,O,X,X,X,X
TSZILJO,O,X,X,X,X,X,O,X,X,O,X,O
TSZILOJ,X,X,X,X,X,X,X,X,X,O,X,O
TSZIJLO,O,X,X,X,X,X,O,X,X,O,X,O
TSZIJOL,O,X,X,X,X,O,O,X,O,X,X,X
TSZIOLJ,O,X,X,X,X,O,X,X,O,O,X,O
TSZIOJL,O,X,X,X,X,O,O,X,O,X,X,X
TSZLIJO,O,X,X,X,X,X,O,X,X,O,X,O
TSZLIOJ,X,X,X,X,X,X,X,X,X,O,X,O
TSZLJIO,O,X,X,X,X,X,O,O,X,O,X,O
TSZLJOI,X,O,X,X,X,O,O,O,X,O,X,X
TSZLOIJ,X,O,X,O,O,O,X,X,X,O,X,O
TSZLOJI,X,O,X,O,O,O,X,O,X,O,X,X
TSZJILO,O,X,X,X,X,X,O,X,X,O,X,O
TSZJIOL,O,X,X,X,X,O,O,X,O,X,X,X
TSZJLIO,O,X,X,X,X,X,O,O,X,O,X,O
TSZJLOI,X,O,X,X,X,O,O,O,X,O,X,X
TSZJOIL,O,O,X,X,X,O,O,X,O,X,X,X
TSZJOLI,O,O,O,X,X,O,O,O,O,X,X,X
TSZOILJ,O,O,X,O,O,O,X,X,O,O,X,O
TSZOIJL,O,O,X,X,X,O,O,X,O,X,X,X
TSZOLIJ,O,O,X,O,O,O,X,X,O,O,X,O
TSZOLJI,O,O,O,O,O,O,X,O,O,O,X,X
TSZOJIL,O,O,X,X,X,O,O,X,O,X,X,X
TSZOJLI,O,O,O,X,X,O,O,O,O,X,X,X
TSOILJZ,O,X,X,O,O,X,X,O,X,X,X,X
TSOILZJ,O,X,X,O,O,O,X,X,O,X,X,X
TSOIJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TSOIJZL,X,X,X,X,X,O,X,X,O,X,X,X
TSOIZLJ,O,O,X,O,O,O,X,X,O,X,X,X
TSOIZJL,O,O,X,X,X,O,X,X,O,X,X,X
TSOLIJZ,O,X,X,O,O,X,X,O,X,X,X,X
TSOLIZJ,O,X,X,O,O,O,X,X,O,X,X,X
TSOLJIZ,O,X,X,O,O,X,X,O,X,X,X,X
TSOLJZI,X,X,O,O,O,X,X,O,X,X,X,X
TSOLZIJ,O,X,X,O,O,O,X,X,O,X,X,X
TSOLZJI,O,X,O,O,O,O,X,O,O,X,X,X
TSOJILZ,O,X,X,X,O,X,X,O,X,X,X,X
TSOJIZL,X,X,X,X,X,O,X,X,O,X,X,X
TSOJLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TSOJLZI,X,X,O,X,O,X,X,O,X,X,X,X
TSOJZIL,X,X,X,X,X,O,X,X,O,X,X,X
TSOJZLI,X,X,O,X,X,O,X,O,O,X,X,X
TSOZILJ,O,O,X,O,O,O,X,X,O,O,X,X
TSOZIJL,O,O,X,X,X,O,X,X,O,X,X,X
TSOZLIJ,O,O,X,O,O,O,X,X,O,O,X,X
TSOZLJI,O,O,O,O,O,O,X,O,O,O,X,X
TSOZJIL,O,O,X,X,X,O,X,X,O,X,X,X
TSOZJLI,O,O,O,X,X,O,X,O,O,X,X,X
TZILJSO,O,X,X,X,X,X,X,X,X,X,O,O
TZILJOS,O,X,X,X,X,X,X,X,X,X,O,X
TZILSJO,X,X,X,X,X,X,X,X,X,O,O,O
TZILSOJ,X,X,X,X,X,X,X,X,X,O,O,O
TZILOJS,X,X,X,O,X,X,X,X,X,X,O,X
TZILOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TZIJLSO,O,X,X,X,X,X,X,X,X,X,X,O
TZIJLOS,O,X,X,X,X,X,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X,X,O,X,O
TZIJSOL,X,X,O,X,X,O,X,X,O,X,X,X
TZIJOLS,O,X,O,X,X,O,X,X,X,X,X,X
TZIJOSL,X,X,O,X,X,O,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X,X,X,O,X,O
TZISLOJ,X,X,X,X,X,X,X,X,X,O,X,O
TZISJLO,X,X,X,X,X,X,X,X,X,O,X,O
TZISJOL,X,X,O,X,X,O,X,X,O,X,X,X
TZISOLJ,X,X,O,X,X,O,X,X,O,O,X,O
TZISOJL,X,X,O,X,X,O,X,X,O,X,X,X
TZIOLJS,O,X,O,O,O,O,X,X,X,X,X,X
TZIOLSJ,X,X,O,O,O,O,X,X,X,X,X,O
TZIOJLS,O,X,O,O,X,O,X,X,X,X,X,X
TZIOJSL,X,X,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,X,X,O,O,O,O,X,X,X,O,X,O
TZIOSJL,X,X,O,X,X,O,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,X,X,X,X,O,O
TZLIJOS,O,X,X,X,X,X,X,X,X,X,O,X
TZLISJO,X,X,X,X,X,X,X,X,X,O,O,O
TZLISOJ,X,X,X,X,X,X,X,X,X,O,O,O
TZLIOJS,X,X,X,O,X,X,X,X,X,X,O,X
TZLIOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TZLJISO,O,X,X,X,X,X,X,X,X,X,O,O
TZLJIOS,O,X,X,X,X,X,X,X,X,X,O,X
TZLJSIO,O,X,X,X,X,X,X,X,X,X,X,O
TZLJSOI,X,X,X,X,X,O,X,X,X,X,X,X
TZLJOIS,X,O,X,O,X,O,X,X,X,X,X,X
TZLJOSI,X,X,X,O,X,O,X,X,X,X,X,X
TZLSIJO,O,X,X,X,X,X,X,X,X,O,O,O
TZLSIOJ,X,X,X,X,X,X,X,X,X,O,O,O
TZLSJIO,O,X,X,X,X,X,X,X,X,O,X,O
TZLSJOI,X,X,X,X,X,O,X,X,X,O,X,X
TZLSOIJ,X,X,X,O,O,O,X,X,X,O,X,O
TZLSOJI,X,X,X,O,O,O,X,X,X,O,X,X
TZLOIJS,X,O,X,O,O,O,X,X,X,X,O,X
TZLOISJ,X,X,X,O,O,O,X,X,X,X,O,O
TZLOJIS,X,O,X,O,O,O,X,X,X,X,X,X
TZLOJSI,X,X,X,O,O,O,X,X,X,X,X,X
TZLOSIJ,X,X,X,O,O,O,X,X,X,X,X,O
TZLOSJI,X,X,X,O,O,O,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,X,X,X,X,X,X,O
TZJILOS,O,X,X,X,X,X,X,X,X,X,X,X
TZJISLO,X,X,X,X,X,X,X,X,X,O,X,O
TZJISOL,X,X,O,X,X,O,X,X,O,X,X,X
TZJIOLS,O,X,O,X,X,O,X,X,X,X,X,X
TZJIOSL,X,X,O,X,X,O,X,X,X,X,X,X
TZJLISO,O,X,X,X,X,X,X,X,X,X,X,O
TZJLIOS,O,X,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,X,X,X,X,X,X,X,X,X,X,O
TZJLSOI,X,X,X,X,X,O,X,X,X,X,X,X
TZJLOIS,X,O,X,O,X,O,X,X,X,X,X,X
TZJLOSI,X,X,X,O,X,O,X,X,X,X,X,X
TZJSILO,O,X,X,X,X,X,X,X,X,O,X,O
TZJSIOL,O,X,X,X,X,O,X,X,O,X,X,X
TZJSLIO,O,X,X,X,X,X,X,O,X,O,X,O
TZJSLOI,X,O,X,X,X,O,X,O,X,O,X,X
TZJSOIL,O,O,X,X,X,O,X,X,O,X,X,X
TZJSOLI,O,O,O,X,X,O,X,O,O,X,X,X
TZJOILS,O,O,O,O,X,O,X,X,X,X,X,X
TZJOISL,X,O,O,X,X,O,X,X,O,X,X,X
TZJOLIS,O,O,O,O,X,O,X,X,X,X,X,X
TZJOLSI,O,X,O,O,X,O,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,O,X,X,O,X,X,X
TZJOSLI,O,O,O,X,X,O,X,O,O,X,X,X
TZSILJO,O,X,X,X,X,X,X,X,X,O,X,O
TZSILOJ,X,X,X,X,X,X,X,X,X,O,X,O
TZSIJLO,O,X,X,X,X,X,X,X,X,O,X,O
TZSIJOL,O,X,X,X,X,O,X,X,O,X,X,X
TZSIOLJ,O,X,X,X,X,O,X,X,O,O,X,O
TZSIOJL,O,X,X,X,X,O,X,X,O,X,X,X
TZSLIJO,O,X,X,X,X,X,X,X,X,O,X,O
TZSLIOJ,X,X,X,X,X,X,X,X,X,O,X,O
TZSLJIO,O,X,X,X,X,X,X,O,X,O,X,O
TZSLJOI,X,O,X,X,X,O,X,O,X,O,X,X
TZSLOIJ,X,O,X,O,O,O,X,X,X,O,X,O
TZSLOJI,X,O,X,O,O,O,X,O,X,O,X,X
TZSJILO,O,X,X,X,X,X,X,X,X,O,X,O
TZSJIOL,O,X,X,X,X,O,X,X,O,X,X,X
TZSJLIO,O,X,X,X,X,X,X,O,X,O,X,O
TZSJLOI,X,O,X,X,X,O,X,O,X,O,X,X
TZSJOIL,O,O,X,X,X,O,X,X,O,X,X,X
TZSJOLI,O,O,O,X,X,O,X,O,O,X,X,X
TZSOILJ,O,O,X,O,O,O,X,X,O,O,X,O
TZSOIJL,O,O,X,X,X,O,X,X,O,X,X,X
TZSOLIJ,O,O,X,O,O,O,X,X,O,O,X,O
TZSOLJI,O,O,O,O,O,O,X,O,O,O,X,X
TZSOJIL,O,O,X,X,X,O,X,X,O,X,X,X
TZSOJLI,O,O,O,X,X,O,X,O,O,X,X,X
TZOILJS,O,O,O,O,O,O,X,X,X,X,X,X
TZOILSJ,X,X,O,O,O,O,X,X,X,X,X,O
TZOIJLS,O,O,O,O,X,O,X,X,X,X,X,X
TZOIJSL,X,O,O,X,X,O,X,X,O,X,X,X
TZOISLJ,X,O,O,O,O,O,X,X,O,O,X,O
TZOISJL,X,O,O,X,X,O,X,X,O,X,X,X
TZOLIJS,O,O,O,O,O,O,X,X,X,X,X,X
TZOLISJ,X,X,O,O,O,O,X,X,X,X,X,O
TZOLJIS,O,O,O,O,O,O,X,X,X,X,X,X
TZOLJSI,O,X,O,O,O,O,X,X,O,X,X,X
TZOLSIJ,O,X,X,O,O,O,X,X,O,X,X,O
TZOLSJI,O,X,O,O,O,O,X,X,O,X,X,X
TZOJILS,O,O,O,O,X,O,X,X,X,X,X,X
TZOJISL,X,O,O,X,X,O,X,X,O,X,X,X
TZOJLIS,O,O,O,O,X,O,X,X,X,X,X,X
TZOJLSI,O,X,O,O,X,O,X,X,O,X,X,X
TZOJSIL,O,O,X,X,X,O,X,X,O,X,X,X
TZOJSLI,O,O,O,X,X,O,X,O,O,X,X,X
TZOSILJ,O,O,X,O,O,O,X,X,O,O,X,O
TZOSIJL,O,O,X,X,X,O,X,X,O,X,X,X
TZOSLIJ,O,O,X,O,O,O,X,X,O,O,X,O
TZOSLJI,O,O,O,O,O,O,X,O,O,O,X,X
TZOSJIL,O,O,X,X,X,O,X,X,O,X,X,X
TZOSJLI,O,O,O,X,X,O,X,O,O,X,X,X
TOILJSZ,O,X,X,O,O,X,X,X,X,X,X,X
TOILJZS,O,X,X,O,O,X,X,X,X,X,X,X
TOILSJZ,O,X,X,O,O,X,X,X,X,X,X,X
TOILSZJ,O,X,X,O,O,O,X,X,X,X,X,X
TOILZJS,O,X,X,O,O,O,X,X,X,X,X,X
TOILZSJ,X,X,X,O,O,O,X,X,X,X,X,O
TOIJLSZ,O,X,X,O,O,X,X,X,X,X,X,X
TOIJLZS,O,X,X,O,O,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,O,X,X,X,X
TOIJSZL,X,X,X,X,X,O,X,X,X,X,X,X
TOIJZLS,X,O,X,O,X,O,X,X,X,X,X,X
TOIJZSL,X,O,X,X,X,O,X,X,X,X,X,X
TOISLJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOISLZJ,O,X,X,O,O,O,X,X,O,X,X,X
TOISJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TOISJZL,X,X,X,X,X,O,X,X,O,X,X,X
TOISZLJ,O,O,X,O,O,O,X,X,O,X,X,X
TOISZJL,O,O,X,X,X,O,X,X,O,X,X,X
TOIZLJS,O,O,X,O,O,O,X,X,X,X,X,X
TOIZLSJ,X,X,X,O,O,O,X,X,X,X,X,O
TOIZJLS,O,O,X,O,X,O,X,X,X,X,X,X
TOIZJSL,X,O,X,X,X,O,X,X,O,X,X,X
TOIZSLJ,X,O,X,O,O,O,X,X,O,O,X,O
TOIZSJL,X,O,X,X,X,O,X,X,O,X,X,X
TOLIJSZ,O,X,X,O,O,X,X,X,X,X,X,X
TOLIJZS,O,X,X,O,O,X,X,X,X,X,X,X
TOLISJZ,O,X,X,O,O,X,X,X,X,X,X,X
TOLISZJ,O,X,X,O,O,O,X,X,X,X,X,X
TOLIZJS,O,X,X,O,O,O,X,X,X,X,X,X
TOLIZSJ,X,X,X,O,O,O,X,X,X,X,X,O
TOLJISZ,O,X,O,O,O,X,X,X,X,X,X,X
TOLJIZS,O,X,O,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,X,X,O,O,X,X,O,X,X,X,X
TOLJSZI,X,X,O,O,O,X,X,O,X,X,X,X
TOLJZIS,O,X,O,O,O,X,X,X,X,X,X,X
TOLJZSI,O,X,O,O,O,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOLSIZJ,O,X,X,O,O,O,X,X,O,X,X,X
TOLSJIZ,O,X,X,O,O,X,X,O,X,X,X,X
TOLSJZI,X,X,O,O,O,X,X,O,X,X,X,X
TOLSZIJ,O,X,X,O,O,O,X,X,O,X,X,X
TOLSZJI,O,X,O,O,O,O,X,O,O,X,X,X
TOLZIJS,O,X,O,O,O,O,X,X,X,X,X,X
TOLZISJ,X,X,O,O,O,O,X,X,X,X,X,O
TOLZJIS,O,X,O,O,O,O,X,X,X,X,X,X
TOLZJSI,O,X,O,O,O,O,X,X,O,X,X,X
TOLZSIJ,O,X,X,O,O,O,X,X,O,X,X,O
TOLZSJI,O,X,O,O,O,O,X,X,O,X,X,X
TOJILSZ,O,X,O,O,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,O,O,X,X,X,X,X,X,X
TOJISLZ,X,X,O,X,O,X,X,O,X,X,X,X
TOJISZL,X,X,O,X,X,O,X,X,X,X,X,X
TOJIZLS,X,O,O,O,X,O,X,X,X,X,X,X
TOJIZSL,X,O,O,X,X,O,X,X,X,X,X,X
TOJLISZ,O,X,O,O,O,X,X,X,X,X,X,X
TOJLIZS,O,X,O,O,O,X,X,X,X,X,X,X
TOJLSIZ,O,X,X,O,O,X,X,O,X,X,X,X
TOJLSZI,X,X,O,O,O,X,X,O,X,X,X,X
TOJLZIS,O,X,O,O,O,X,X,X,X,X,X,X
TOJLZSI,O,X,O,O,O,X,X,X,X,X,X,X
TOJSILZ,O,X,X,X,O,X,X,O,X,X,X,X
TOJSIZL,X,X,X,X,X,O,X,X,O,X,X,X
TOJSLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TOJSLZI,X,X,O,X,O,X,X,O,X,X,X,X
TOJSZIL,X,X,X,X,X,O,X,X,O,X,X,X
TOJSZLI,X,X,O,X,X,O,X,O,O,X,X,X
TOJZILS,O,O,O,O,X,O,X,X,X,X,X,X
TOJZISL,X,O,O,X,X,O,X,X,O,X,X,X
TOJZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TOJZLSI,O,X,O,O,X,O,X,X,O,X,X,X
TOJZSIL,O,O,X,X,X,O,X,X,O,X,X,X
TOJZSLI,O,O,O,X,X,O,X,O,O,X,X,X
TOSILJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOSILZJ,O,X,X,O,O,O,X,X,O,X,X,X
TOSIJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TOSIJZL,X,X,X,X,X,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,O,O,O,X,X,O,X,X,X
TOSIZJL,O,O,X,X,X,O,X,X,O,X,X,X
TOSLIJZ,O,X,X,O,O,X,X,O,X,X,X,X
TOSLIZJ,O,X,X,O,O,O,X,X,O,X,X,X
TOSLJIZ,O,X,X,O,O,X,X,O,X,X,X,X
TOSLJZI,X,X,O,O,O,X,X,O,X,X,X,X
TOSLZIJ,O,X,X,O,O,O,X,X,O,X,X,X
TOSLZJI,O,X,O,O,O,O,X,O,O,X,X,X
TOSJILZ,O,X,X,X,O,X,X,O,X,X,X,X
TOSJIZL,X,X,X,X,X,O,X,X,O,X,X,X
TOSJLIZ,O,X,X,X,O,X,X,O,X,X,X,X
TOSJLZI,X,X,O,X,O,X,X,O,X,X,X,X
TOSJZIL,X,X,X,X,X,O,X,X,O,X,X,X
TOSJZLI,X,X,O,X,X,O,X,O,O,X,X,X
TOSZILJ,O,O,X,O,O,O,X,X,O,O,X,X
TOSZIJL,O,O,X,X,X,O,X,X,O,X,X,X
TOSZLIJ,O,O,X,O,O,O,X,X,O,O,X,X
TOSZLJI,O,O,O,O,O,O,X,O,O,O,X,X
TOSZJIL,O,O,X,X,X,O,X,X,O,X,X,X
TOSZJLI,O,O,O,X,X,O,X,O,O,X,X,X
TOZILJS,O,O,O,O,O,O,X,X,X,X,X,X
TOZILSJ,X,X,O,O,O,O,X,X,X,X,X,O
TOZIJLS,O,O,O,O,X,O,X,X,X,X,X,X
TOZIJSL,X,O,O,X,X,O,X,X,O,X,X,X
TOZISLJ,X,O,O,O,O,O,X,X,O,O,X,O
TOZISJL,X,O,O,X,X,O,X,X,O,X,X,X
TOZLIJS,O,O,O,O,O,O,X,X,X,X,X,X
TOZLISJ,X,X,O,O,O,O,X,X,X,X,X,O
TOZLJIS,O,O,O,O,O,O,X,X,X,X,X,X
TOZLJSI,O,X,O,O,O,O,X,X,O,X,X,X
TOZLSIJ,O,X,X,O,O,O,X,X,O,X,X,O
TOZLSJI,O,X,O,O,O,O,X,X,O,X,X,X
TOZJILS,O,O,O,O,X,O,X,X,X,X,X,X
TOZJISL,X,O,O,X,X,O,X,X,O,X,X,X
TOZJLIS,O,O,O,O,X,O,X,X,X,X,X,X
TOZJLSI,O,X,O,O,X,O,X,X,O,X,X,X
TOZJSIL,O,O,X,X,X,O,X,X,O,X,X,X
TOZJSLI,O,O,O,X,X,O,X,O,O,X,X,X
TOZSILJ,O,O,X,O,O,O,X,X,O,O,X,O
TOZSIJL,O,O,X,X,X,O,X,X,O,X,X,X
TOZSLIJ,O,O,X,O,O,O,X,X,O,O,X,O
TOZSLJI,O,O,O,O,O,O,X,O,O,O,X,X
TOZSJIL,O,O,X,X,X,O,X,X,O,X,X,X
TOZSJLI,O,O,O,X,X,O,X,O,O,X,X,X
ITLJSZO,O,X,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
ITLJZSO,O,X,X,X,X,X,X,X,X,X,X,O
ITLJZOS,O,X,X,X,X,X,X,X,X,X,X,X
ITLJOSZ,O,X,X,X,X,X,X,X,X,X,X,X
ITLJOZS,O,X,X,X,X,X,X,X,X,X,X,X
ITLSJZO,O,X,X,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,X,X,X,X,X,X,X,O
ITLSZOJ,X,X,X,X,X,X,X,X,X,X,X,O
ITLSOJZ,X,X,X,X,O,X,X,X,X,X,X,X
ITLSOZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITLZJSO,O,X,X,X,X,X,X,X,X,X,O,O
ITLZJOS,O,X,X,X,X,X,X,X,X,X,O,X
ITLZSJO,X,X,X,X,X,X,X,X,X,O,O,O
ITLZSOJ,X,X,X,X,X,X,X,X,X,O,O,O
ITLZOJS,X,X,X,O,X,X,X,X,X,X,O,X
ITLZOSJ,X,X,X,O,X,X,X,X,X,X,O,O
ITLOJSZ,X,X,X,O,O,X,X,X,X,X,X,X
ITLOJZS,X,X,X,O,O,X,X,X,X,X,X,X
ITLOSJZ,X,X,X,O,O,X,X,X,X,X,X,X
ITLOSZJ,X,X,X,O,O,X,X,X,X,X,X,X
ITLOZJS,X,X,X,O,O,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,O,O,X,X,X,X,X,X,O
ITJLSZO,O,X,X,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,X,X,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,X,X,X,X,X,O
ITJLZOS,O,X,X,X,X,X,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,X,X,X,X,X,X
ITJSLZO,X,X,X,X,X,X,X,O,X,X,X,X
ITJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
ITJSZLO,X,X,X,X,X,X,O,X,X,X,X,X
ITJSZOL,X,X,X,X,X,X,O,X,X,X,X,X
ITJSOLZ,X,X,X,X,X,X,X,O,X,X,X,X
ITJSOZL,X,X,X,X,X,X,O,X,X,X,X,X
ITJZLSO,X,X,X,X,X,X,X,X,X,X,X,O
ITJZLOS,X,X,X,X,X,X,X,X,X,X,X,X
ITJZSLO,X,X,X,X,X,X,X,X,X,O,X,O
ITJZSOL,X,X,X,X,X,X,X,X,X,X,X,X
ITJZOLS,X,X,X,X,X,X,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,X,X,X,X,X,X,X
ITJOLSZ,O,X,X,O,O,X,X,X,X,X,X,X
ITJOLZS,O,X,X,O,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,O,X,X,O,X,X,X,X
ITJOSZL,X,X,X,X,X,X,O,X,X,X,X,X
ITJOZLS,X,X,X,O,X,X,X,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X,X,X,X,X,X,X
ITSLJZO,O,X,X,X,X,X,X,O,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,O,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,X,X,O
ITSLZOJ,X,X,X,X,X,X,X,X,X,X,X,O
ITSLOJZ,X,X,X,X,O,X,X,O,X,X,X,X
ITSLOZJ,X,X,X,X,O,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,X,O,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,O,X,X,X,X
ITSJZLO,X,X,X,X,X,X,O,X,X,X,X,X
ITSJZOL,X,X,X,X,X,X,O,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,O,X,X,X,X
ITSJOZL,X,X,X,X,X,X,O,X,X,X,X,X
ITSZLJO,O,X,X,X,X,X,O,X,X,O,X,O
ITSZLOJ,X,X,X,X,X,X,X,X,X,O,X,O
ITSZJLO,O,X,X,X,X,X,O,X,X,O,X,O
ITSZJOL,O,X,X,X,X,O,O,X,O,X,X,X
ITSZOLJ,O,X,X,X,X,O,X,X,O,O,X,O
ITSZOJL,O,X,X,X,X,O,O,X,O,X,X,X
ITSOLJZ,O,X,X,O,O,X,X,O,X,X,X,X
ITSOLZJ,O,X,X,O,O,O,X,X,O,X,X,X
ITSOJLZ,O,X,X,X,O,X,X,O,X,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,O,X,X,X
ITSOZLJ,O,X,X,O,O,O,X,X,O,X,X,X
ITSOZJL,O,X,X,X,X,O,X,X,O,X,X,X
ITZLJSO,O,X,X,X,X,X,X,X,X,X,O,O
ITZLJOS,O,X,X,X,X,X,X,X,X,X,O,X
ITZLSJO,X,X,X,X,X,X,X,X,X,O,O,O
ITZLSOJ,X,X,X,X,X,X,X,X,X,O,O,O
ITZLOJS,X,X,X,O,X,X,X,X,X,X,O,X
ITZLOSJ,X,X,X,O,X,X,X,X,X,X,O,O
ITZJLSO,O,X,X,X,X,X,X,X,X,X,X,O
ITZJLOS,O,X,X,X,X,X,X,X,X,X,X,X
ITZJSLO,X,X,X,X,X,X,X,X,X,O,X,O
ITZJSOL,X,X,X,X,X,O,X,X,O,X,X,X
ITZJOLS,O,X,X,X,X,O,X,X,X,X,X,X
ITZJOSL,X,X,X,X,X,O,X,X,X,X,X,X
ITZSLJO,X,X,X,X,X,X,X,X,X,O,X,O
ITZSLOJ,X,X,X,X,X,X,X,X,X,O,X,O
ITZSJLO,X,X,X,X,X,X,X,X,X,O,X,O
ITZSJOL,X,X,X,X,X,O,X,X,O,X,X,X
ITZSOLJ,X,X,X,X,X,O,X,X,O,O,X,O
ITZSOJL,X,X,X,X,X,O,X,X,O,X,X,X
ITZOLJS,O,X,X,O,O,O,X,X,X,X,X,X
ITZOLSJ,X,X,X,O,O,O,X,X,X,X,X,O
ITZOJLS,O,X,X,O,X,O,X,X,X,X,X,X
ITZOJSL,X,X,X,X,X,O,X,X,X,X,X,X
