sequence,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBThBNnB5oBSq?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBThBNnB5oB3k?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeKEJvhFzfBGhBNnB5oB3l?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBNmBUiB5oBSq?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNmBUiB5oB3k?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNnB5oB3kBTm?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kem/IvhFSmBNnB5oBTkB3l?B0rB
TOILSJZ,O,X,O,O,X,O,X
TOILSZJ,O,X,O,O,X,O,X
TOILZJS,O,X,X,O,O,X,X
TOILZSJ,O,X,O,O,X,X,X
TOIJLSZ,O,X,X,O,O,O,X
TOIJLZS,O,X,X,O,O,X,X
TOIJSLZ,X,O,X,O,O,O,X
TOIJSZL,X,O,X,O,O,O,X
TOIJZLS,X,O,X,O,O,X,O
TOIJZSL,X,O,X,O,O,O,O
TOISLJZ,X,O,O,O,O,O,X
TOISLZJ,X,X,O,O,X,O,X
TOISJLZ,X,O,O,O,O,O,X
TOISJZL,X,O,X,O,O,O,X
TOISZLJ,X,X,X,O,X,O,X
TOISZJL,X,X,X,O,O,O,X
TOIZLJS,X,X,X,O,O,X,O
TOIZLSJ,X,X,X,O,X,X,O
TOIZJLS,X,X,X,O,O,X,O
TOIZJSL,X,X,X,O,O,O,O
TOIZSLJ,X,X,X,O,X,O,O
TOIZSJL,X,X,X,O,O,O,O
TOLIJSZ,O,X,O,O,O,O,X
TOLIJZS,O,X,X,O,O,X,X
TOLISJZ,O,X,O,O,X,O,X
TOLISZJ,O,X,O,O,X,O,X
TOLIZJS,O,X,X,O,O,X,X
TOLIZSJ,O,X,O,O,X,X,X
TOLJISZ,O,X,O,O,O,O,X
TOLJIZS,O,X,X,O,O,X,X
TOLJSIZ,O,X,O,O,O,O,X
TOLJSZI,O,X,O,O,O,O,X
TOLJZIS,O,X,X,O,O,X,X
TOLJZSI,O,X,X,O,O,X,X
TOLSIJZ,O,X,O,O,X,O,X
TOLSIZJ,O,X,O,O,X,O,X
TOLSJIZ,O,X,O,O,X,O,X
TOLSJZI,O,X,O,O,X,O,X
TOLSZIJ,O,X,O,O,X,O,X
TOLSZJI,O,X,O,O,X,O,X
TOLZIJS,O,X,X,O,O,X,X
TOLZISJ,O,X,O,O,X,X,X
TOLZJIS,O,X,X,O,O,X,X
TOLZJSI,O,X,X,O,O,X,X
TOLZSIJ,O,X,O,O,X,X,X
TOLZSJI,O,X,O,O,X,X,X
TOJILSZ,O,X,X,O,O,O,X
TOJILZS,O,X,X,O,O,X,X
TOJISLZ,X,O,X,O,O,O,X
TOJISZL,X,O,X,O,O,O,X
TOJIZLS,X,O,X,O,O,X,O
TOJIZSL,X,O,X,O,O,O,O
TOJLISZ,O,X,X,O,O,O,X
TOJLIZS,O,X,X,O,O,X,X
TOJLSIZ,O,X,X,O,O,O,X
TOJLSZI,O,X,X,O,O,O,X
TOJLZIS,O,X,X,O,O,X,X
TOJLZSI,O,X,X,O,O,X,X
TOJSILZ,X,O,X,O,O,O,X
TOJSIZL,X,O,X,O,O,O,X
TOJSLIZ,X,O,X,O,O,O,X
TOJSLZI,X,O,X,O,O,O,X
TOJSZIL,X,O,X,O,O,O,X
TOJSZLI,X,O,X,O,O,O,X
TOJZILS,X,O,X,O,O,X,O
TOJZISL,X,O,X,O,O,O,O
TOJZLIS,X,O,X,O,O,X,O
TOJZLSI,X,O,X,O,O,X,O
TOJZSIL,X,O,X,O,O,O,O
TOJZSLI,X,O,X,O,O,O,O
TOSILJZ,X,O,O,O,O,O,X
TOSILZJ,X,X,O,O,X,O,X
TOSIJLZ,X,O,O,O,O,O,X
TOSIJZL,X,O,X,O,O,O,X
TOSIZLJ,X,X,X,O,X,O,X
TOSIZJL,X,X,X,O,O,O,X
TOSLIJZ,X,O,O,O,O,O,X
TOSLIZJ,X,X,O,O,X,O,X
TOSLJIZ,X,O,O,O,O,O,X
TOSLJZI,X,O,O,O,O,O,X
TOSLZIJ,X,X,O,O,X,O,X
TOSLZJI,X,X,O,O,X,O,X
TOSJILZ,X,O,O,O,O,O,X
TOSJIZL,X,O,X,O,O,O,X
TOSJLIZ,X,O,O,O,O,O,X
TOSJLZI,X,O,O,O,O,O,X
TOSJZIL,X,O,X,O,O,O,X
TOSJZLI,X,O,X,O,O,O,X
TOSZILJ,X,X,X,O,X,O,X
TOSZIJL,X,X,X,O,O,O,X
TOSZLIJ,X,X,X,O,X,O,X
TOSZLJI,X,X,X,O,X,O,X
TOSZJIL,X,X,X,O,O,O,X
TOSZJLI,X,X,X,O,O,O,X
TOZILJS,X,X,X,O,O,X,O
TOZILSJ,X,X,X,O,X,X,O
TOZIJLS,X,X,X,O,O,X,O
TOZIJSL,X,X,X,O,O,O,O
TOZISLJ,X,X,X,O,X,O,O
TOZISJL,X,X,X,O,O,O,O
TOZLIJS,X,X,X,O,O,X,O
TOZLISJ,X,X,X,O,X,X,O
TOZLJIS,X,X,X,O,O,X,O
TOZLJSI,X,X,X,O,O,X,O
TOZLSIJ,X,X,X,O,X,X,O
TOZLSJI,X,X,X,O,X,X,O
TOZJILS,X,X,X,O,O,X,O
TOZJISL,X,X,X,O,O,O,O
TOZJLIS,X,X,X,O,O,X,O
TOZJLSI,X,X,X,O,O,X,O
TOZJSIL,X,X,X,O,O,O,O
TOZJSLI,X,X,X,O,O,O,O
TOZSILJ,X,X,X,O,X,O,O
TOZSIJL,X,X,X,O,O,O,O
TOZSLIJ,X,X,X,O,X,O,O
TOZSLJI,X,X,X,O,X,O,O
TOZSJIL,X,X,X,O,O,O,O
TOZSJLI,X,X,X,O,O,O,O
ITLJSZO,O,O,O,O,O,O,X
ITLJSOZ,O,O,O,O,O,O,X
ITLJZSO,O,O,X,O,O,X,X
ITLJZOS,O,O,X,O,X,X,X
ITLJOSZ,O,X,O,O,X,O,X
ITLJOZS,O,X,X,O,X,X,X
ITLSJZO,O,O,O,O,X,O,X
ITLSJOZ,O,O,O,O,X,O,X
ITLSZJO,O,O,O,O,X,O,X
ITLSZOJ,O,X,O,O,X,O,X
ITLSOJZ,O,O,O,O,X,O,X
ITLSOZJ,O,X,O,O,X,O,X
ITLZJSO,O,X,O,O,O,X,X
ITLZJOS,O,X,O,O,X,X,X
ITLZSJO,O,X,O,O,X,X,X
ITLZSOJ,O,X,O,O,X,X,X
ITLZOJS,O,X,O,O,X,X,X
ITLZOSJ,O,X,O,O,X,X,X
ITLOJSZ,O,X,O,O,X,O,X
ITLOJZS,O,X,X,O,X,X,X
ITLOSJZ,O,X,O,O,X,O,X
ITLOSZJ,O,X,O,O,X,O,X
ITLOZJS,O,X,O,O,X,X,X
ITLOZSJ,O,X,O,O,X,X,X
ITJLSZO,O,O,O,O,O,O,X
ITJLSOZ,O,O,O,O,O,O,X
ITJLZSO,O,O,X,O,O,X,X
ITJLZOS,O,O,X,O,X,X,X
ITJLOSZ,O,X,O,O,X,O,X
ITJLOZS,O,X,X,O,X,X,X
ITJSLZO,O,O,O,O,O,O,X
ITJSLOZ,O,O,O,O,O,O,X
ITJSZLO,X,O,O,O,O,O,X
ITJSZOL,X,O,X,X,O,O,X
ITJSOLZ,X,O,O,X,O,O,X
ITJSOZL,X,O,X,X,O,O,X
ITJZLSO,O,O,X,O,O,X,X
ITJZLOS,O,O,X,O,X,X,X
ITJZSLO,O,O,X,O,O,O,X
ITJZSOL,O,O,X,X,O,O,X
ITJZOLS,O,O,X,O,X,X,X
ITJZOSL,O,O,X,X,O,O,X
ITJOLSZ,O,X,X,O,O,O,X
ITJOLZS,O,X,X,O,O,X,X
ITJOSLZ,X,O,X,O,O,O,X
ITJOSZL,X,O,X,O,O,O,X
ITJOZLS,X,O,X,O,O,X,X
ITJOZSL,X,O,X,O,O,O,X
ITSLJZO,O,O,O,O,O,O,X
ITSLJOZ,O,O,O,O,O,O,X
ITSLZJO,O,O,O,O,X,O,X
ITSLZOJ,O,O,O,O,X,O,X
ITSLOJZ,O,O,O,O,O,O,X
ITSLOZJ,O,X,O,O,X,O,X
ITSJLZO,O,O,O,O,O,O,X
ITSJLOZ,O,O,O,O,O,O,X
ITSJZLO,X,O,O,O,O,O,X
ITSJZOL,X,O,X,X,O,O,X
ITSJOLZ,X,O,O,X,O,O,X
ITSJOZL,X,O,X,X,O,O,X
ITSZLJO,X,O,O,O,X,O,X
ITSZLOJ,X,O,O,O,X,O,X
ITSZJLO,X,O,O,O,O,O,X
ITSZJOL,X,O,O,X,O,O,X
ITSZOLJ,X,O,O,X,X,O,X
ITSZOJL,X,O,O,X,X,O,X
ITSOLJZ,X,O,O,X,O,O,X
ITSOLZJ,X,X,O,X,X,O,X
ITSOJLZ,X,O,O,X,O,O,X
ITSOJZL,X,O,X,X,O,O,X
ITSOZLJ,X,X,X,X,X,O,X
ITSOZJL,X,X,X,X,X,O,X
ITZLJSO,O,O,O,O,O,X,X
ITZLJOS,O,O,O,O,X,X,O
ITZLSJO,O,O,O,O,X,X,X
ITZLSOJ,O,O,O,O,X,X,O
ITZLOJS,O,O,O,O,X,X,O
ITZLOSJ,O,X,O,O,X,X,O
ITZJLSO,O,O,O,O,O,X,X
ITZJLOS,O,O,O,O,X,X,O
ITZJSLO,O,O,O,O,O,O,X
ITZJSOL,O,O,O,X,O,O,X
ITZJOLS,O,O,O,O,X,X,O
ITZJOSL,O,O,O,X,O,O,O
ITZSLJO,O,O,O,O,X,O,X
ITZSLOJ,O,O,O,O,X,O,O
ITZSJLO,O,O,O,O,O,O,X
ITZSJOL,O,O,O,X,O,O,X
ITZSOLJ,O,O,O,X,X,O,O
ITZSOJL,O,O,O,X,X,O,O
ITZOLJS,O,O,O,O,X,X,O
ITZOLSJ,O,X,O,O,X,X,O
ITZOJLS,O,O,O,O,X,X,O
ITZOJSL,O,O,O,X,O,O,O
ITZOSLJ,O,O,O,X,X,O,O
ITZOSJL,O,O,O,X,X,O,O
ITOLJSZ,O,X,O,O,O,O,X
ITOLJZS,O,X,X,O,O,X,X
ITOLSJZ,O,X,O,O,X,O,X
ITOLSZJ,O,X,O,O,X,O,X
ITOLZJS,O,X,X,O,O,X,X
ITOLZSJ,O,X,O,O,X,X,X
ITOJLSZ,O,X,X,O,O,O,X
ITOJLZS,O,X,X,O,O,X,X
ITOJSLZ,X,O,X,O,O,O,X
ITOJSZL,X,O,X,O,O,O,X
ITOJZLS,X,O,X,O,O,X,O
ITOJZSL,X,O,X,O,O,O,O
ITOSLJZ,X,O,O,O,O,O,X
ITOSLZJ,X,X,O,O,X,O,X
ITOSJLZ,X,O,O,O,O,O,X
ITOSJZL,X,O,X,O,O,O,X
ITOSZLJ,X,X,X,O,X,O,X
ITOSZJL,X,X,X,O,O,O,X
ITOZLJS,X,X,X,O,O,X,O
ITOZLSJ,X,X,X,O,X,X,O
ITOZJLS,X,X,X,O,O,X,O
ITOZJSL,X,X,X,O,O,O,O
ITOZSLJ,X,X,X,O,X,O,O
ITOZSJL,X,X,X,O,O,O,O
ILTJSZO,O,O,O,O,O,O,X
ILTJSOZ,O,O,O,O,O,O,X
ILTJZSO,O,O,X,O,O,X,X
ILTJZOS,O,O,X,O,X,X,X
ILTJOSZ,O,X,O,O,X,O,X
ILTJOZS,O,X,X,O,X,X,X
ILTSJZO,O,O,O,O,X,O,X
ILTSJOZ,O,O,O,O,X,O,X
ILTSZJO,O,O,O,O,X,O,X
ILTSZOJ,O,X,O,O,X,O,X
ILTSOJZ,O,O,O,O,X,O,X
ILTSOZJ,O,X,O,O,X,O,X
ILTZJSO,O,X,O,O,O,X,X
ILTZJOS,O,X,O,O,X,X,X
ILTZSJO,O,X,O,O,X,X,X
ILTZSOJ,O,X,O,O,X,X,X
ILTZOJS,O,X,O,O,X,X,X
ILTZOSJ,O,X,O,O,X,X,X
ILTOJSZ,O,X,O,O,X,O,X
ILTOJZS,O,X,X,O,X,X,X
ILTOSJZ,O,X,O,O,X,O,X
ILTOSZJ,O,X,O,O,X,O,X
ILTOZJS,O,X,O,O,X,X,X
ILTOZSJ,O,X,O,O,X,X,X
ILJTSZO,O,O,O,O,O,O,X
ILJTSOZ,O,O,O,O,O,O,X
ILJTZSO,O,O,X,O,O,X,X
ILJTZOS,O,O,X,O,X,X,X
ILJTOSZ,O,X,O,O,X,O,X
ILJTOZS,O,X,X,O,X,X,X
ILJSTZO,O,O,O,O,O,O,X
ILJSTOZ,O,O,O,O,O,O,X
ILJSZTO,O,O,O,O,O,O,X
ILJSZOT,O,O,O,O,O,X,X
ILJSOTZ,O,O,O,O,O,O,X
ILJSOZT,O,O,O,O,O,X,X
ILJZTSO,O,O,O,O,X,X,X
ILJZTOS,O,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,X,X,X
ILJZOTS,O,X,O,O,X,X,X
ILJZOST,O,X,X,O,X,X,X
ILJOTSZ,O,X,O,O,O,X,X
ILJOTZS,O,X,X,O,O,X,X
ILJOSTZ,O,X,O,O,O,X,X
ILJOSZT,O,X,O,O,O,X,X
ILJOZTS,O,X,O,O,X,X,X
ILJOZST,O,X,X,O,X,X,X
ILSTJZO,O,O,O,O,O,O,X
ILSTJOZ,O,O,O,O,O,O,X
ILSTZJO,O,O,O,O,X,O,X
ILSTZOJ,O,O,O,O,X,O,X
ILSTOJZ,O,O,O,O,O,O,X
ILSTOZJ,O,X,O,O,X,O,X
ILSJTZO,O,O,O,O,O,O,X
ILSJTOZ,O,O,O,O,O,O,X
ILSJZTO,O,O,O,O,O,O,X
ILSJZOT,O,O,O,O,O,X,X
ILSJOTZ,O,O,O,O,O,O,X
ILSJOZT,O,O,O,O,O,X,X
ILSZTJO,O,O,O,O,X,O,X
ILSZTOJ,O,O,O,O,X,O,X
ILSZJTO,O,O,O,O,O,O,X
ILSZJOT,O,O,O,O,O,X,X
ILSZOTJ,O,O,O,O,X,X,X
ILSZOJT,O,O,O,O,O,X,X
ILSOTJZ,O,O,O,O,O,O,X
ILSOTZJ,O,X,O,O,X,O,X
ILSOJTZ,O,O,O,O,O,O,X
ILSOJZT,O,O,O,O,O,X,X
ILSOZTJ,O,O,O,O,X,X,X
ILSOZJT,O,O,O,O,O,X,X
ILZTJSO,O,O,O,O,O,X,X
ILZTJOS,O,O,O,O,X,X,O
ILZTSJO,O,O,O,O,X,X,X
ILZTSOJ,O,O,O,O,X,X,O
ILZTOJS,O,O,O,O,X,X,O
ILZTOSJ,O,X,O,O,X,X,O
ILZJTSO,O,O,O,O,X,X,X
ILZJTOS,O,O,O,O,X,X,X
ILZJSTO,O,O,O,O,X,X,X
ILZJSOT,O,O,O,O,X,X,X
ILZJOTS,O,X,O,O,X,X,X
ILZJOST,O,X,X,O,X,X,X
ILZSTJO,O,O,O,O,X,X,X
ILZSTOJ,O,O,O,O,X,X,X
ILZSJTO,O,O,O,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X
ILZSOTJ,O,O,O,O,X,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,O,X,O,O,X,X,O
ILZOTSJ,O,X,O,O,X,X,O
ILZOJTS,O,X,O,O,X,X,O
ILZOJST,O,X,X,O,X,X,X
ILZOSTJ,O,X,O,O,X,X,X
ILZOSJT,O,X,O,O,X,X,X
ILOTJSZ,O,X,O,O,O,X,X
ILOTJZS,O,X,X,O,O,X,X
ILOTSJZ,O,X,O,O,X,X,X
ILOTSZJ,O,X,O,O,X,X,X
ILOTZJS,O,X,O,O,O,X,X
ILOTZSJ,O,X,O,O,X,X,X
ILOJTSZ,O,X,O,O,O,X,X
ILOJTZS,O,X,X,O,O,X,X
ILOJSTZ,O,X,O,O,O,X,X
ILOJSZT,O,X,O,O,O,X,X
ILOJZTS,O,X,O,O,X,X,O
ILOJZST,O,X,X,O,X,X,X
ILOSTJZ,O,X,O,O,O,X,X
ILOSTZJ,O,X,O,O,X,X,X
ILOSJTZ,O,X,O,O,O,X,X
ILOSJZT,O,X,O,O,O,X,X
ILOSZTJ,O,X,O,O,X,X,X
ILOSZJT,O,X,O,O,O,X,X
ILOZTJS,O,X,O,O,O,X,O
ILOZTSJ,O,X,O,O,X,X,O
ILOZJTS,O,X,O,O,X,X,O
ILOZJST,O,X,X,O,X,X,X
ILOZSTJ,O,X,O,O,X,X,X
ILOZSJT,O,X,O,O,X,X,X
IJTLSZO,O,O,O,O,O,O,X
IJTLSOZ,O,O,O,O,O,O,X
IJTLZSO,O,O,X,O,O,X,X
IJTLZOS,O,O,X,O,X,X,X
IJTLOSZ,O,X,O,O,X,O,X
IJTLOZS,O,X,X,O,X,X,X
IJTSLZO,O,O,O,O,O,O,X
IJTSLOZ,O,O,O,O,O,O,X
IJTSZLO,X,O,O,O,O,O,X
IJTSZOL,X,O,X,X,O,O,X
IJTSOLZ,X,O,O,X,O,O,X
IJTSOZL,X,O,X,X,O,O,X
IJTZLSO,O,O,X,O,O,X,X
IJTZLOS,O,O,X,O,X,X,X
IJTZSLO,O,O,X,O,O,O,X
IJTZSOL,O,O,X,X,O,O,X
IJTZOLS,O,O,X,O,X,X,X
IJTZOSL,O,O,X,X,O,O,X
IJTOLSZ,O,X,X,O,O,O,X
IJTOLZS,O,X,X,O,O,X,X
IJTOSLZ,X,O,X,O,O,O,X
IJTOSZL,X,O,X,O,O,O,X
IJTOZLS,X,O,X,O,O,X,X
IJTOZSL,X,O,X,O,O,O,X
IJLTSZO,O,O,O,O,O,O,X
IJLTSOZ,O,O,O,O,O,O,X
IJLTZSO,O,O,X,O,O,X,X
IJLTZOS,O,O,X,O,X,X,X
IJLTOSZ,O,X,O,O,X,O,X
IJLTOZS,O,X,X,O,X,X,X
IJLSTZO,O,O,O,O,O,O,X
IJLSTOZ,O,O,O,O,O,O,X
IJLSZTO,O,O,O,O,O,O,X
IJLSZOT,O,O,O,O,O,X,X
IJLSOTZ,O,O,O,O,O,O,X
IJLSOZT,O,O,O,O,O,X,X
IJLZTSO,O,O,O,O,X,X,X
IJLZTOS,O,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,X,X
IJLZSOT,O,O,O,O,X,X,X
IJLZOTS,O,X,O,O,X,X,X
IJLZOST,O,X,X,O,X,X,X
IJLOTSZ,O,X,O,O,O,X,X
IJLOTZS,O,X,X,O,O,X,X
IJLOSTZ,O,X,O,O,O,X,X
IJLOSZT,O,X,O,O,O,X,X
IJLOZTS,O,X,O,O,X,X,X
IJLOZST,O,X,X,O,X,X,X
IJSTLZO,O,O,O,O,O,O,X
IJSTLOZ,O,O,O,O,O,O,X
IJSTZLO,X,O,O,O,O,O,X
IJSTZOL,X,O,X,X,O,O,X
IJSTOLZ,X,O,O,X,O,O,X
IJSTOZL,X,O,X,X,O,O,X
IJSLTZO,O,O,O,O,O,O,X
IJSLTOZ,O,O,O,O,O,O,X
IJSLZTO,O,O,O,O,O,O,X
IJSLZOT,O,O,O,O,O,X,X
IJSLOTZ,O,O,O,O,O,O,X
IJSLOZT,O,O,O,O,O,X,X
IJSZTLO,O,O,O,O,O,O,X
IJSZTOL,O,O,O,X,O,O,X
IJSZLTO,O,O,O,X,O,O,X
IJSZLOT,O,O,O,X,O,X,X
IJSZOTL,X,O,X,X,O,X,X
IJSZOLT,X,O,X,X,O,X,X
IJSOTLZ,X,O,X,O,O,O,X
IJSOTZL,X,O,X,O,O,O,X
IJSOLTZ,X,O,X,O,O,O,X
IJSOLZT,X,O,X,O,O,X,X
IJSOZTL,X,O,X,O,O,X,X
IJSOZLT,X,O,X,X,O,X,X
IJZTLSO,O,O,O,O,O,X,X
IJZTLOS,O,O,O,O,X,X,O
IJZTSLO,O,O,O,O,O,O,X
IJZTSOL,O,O,O,X,O,O,X
IJZTOLS,O,O,O,O,X,X,O
IJZTOSL,O,O,O,X,O,O,O
IJZLTSO,O,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X
IJZLOTS,O,X,O,O,X,X,X
IJZLOST,O,X,X,O,X,X,X
IJZSTLO,O,O,O,O,O,O,X
IJZSTOL,O,O,O,X,O,O,X
IJZSLTO,O,O,O,X,O,O,X
IJZSLOT,O,O,O,X,O,X,X
IJZSOTL,X,O,X,X,O,X,X
IJZSOLT,X,O,X,X,O,X,X
IJZOTLS,O,O,X,O,O,X,O
IJZOTSL,O,O,X,O,O,X,O
IJZOLTS,O,X,X,O,X,X,O
IJZOLST,O,X,X,O,X,X,X
IJZOSTL,X,O,X,O,O,X,O
IJZOSLT,X,O,X,X,O,X,X
IJOTLSZ,O,X,X,O,O,O,X
IJOTLZS,O,X,X,O,O,X,X
IJOTSLZ,X,O,X,O,O,O,X
IJOTSZL,X,O,X,O,O,O,X
IJOTZLS,X,O,X,O,O,X,O
IJOTZSL,X,O,X,O,O,O,O
IJOLTSZ,O,X,X,O,O,X,X
IJOLTZS,O,X,X,O,O,X,X
IJOLSTZ,O,X,X,O,O,X,X
IJOLSZT,O,X,X,O,O,X,X
IJOLZTS,O,X,X,O,X,X,O
IJOLZST,O,X,X,O,X,X,X
IJOSTLZ,X,O,X,O,O,O,X
IJOSTZL,X,O,X,O,O,O,X
IJOSLTZ,X,O,X,O,O,O,X
IJOSLZT,X,O,X,O,O,X,X
IJOSZTL,X,O,X,O,O,X,O
IJOSZLT,X,O,X,X,O,X,X
IJOZTLS,O,O,X,O,O,X,O
IJOZTSL,O,O,X,O,O,X,O
IJOZLTS,O,X,X,O,X,X,O
IJOZLST,O,X,X,O,X,X,X
IJOZSTL,X,O,X,O,O,X,O
IJOZSLT,X,O,X,X,O,X,X
ISTLJZO,O,O,O,O,O,O,X
ISTLJOZ,O,O,O,O,O,O,X
ISTLZJO,O,O,O,O,X,O,X
ISTLZOJ,O,O,O,O,X,O,X
ISTLOJZ,O,O,O,O,O,O,X
ISTLOZJ,O,X,O,O,X,O,X
ISTJLZO,O,O,O,O,O,O,X
ISTJLOZ,O,O,O,O,O,O,X
ISTJZLO,X,O,O,O,O,O,X
ISTJZOL,X,O,X,X,O,O,X
ISTJOLZ,X,O,O,X,O,O,X
ISTJOZL,X,O,X,X,O,O,X
ISTZLJO,X,O,O,O,X,O,X
ISTZLOJ,X,O,O,O,X,O,X
ISTZJLO,X,O,O,O,O,O,X
ISTZJOL,X,O,O,X,O,O,X
ISTZOLJ,X,O,O,X,X,O,X
ISTZOJL,X,O,O,X,X,O,X
ISTOLJZ,X,O,O,X,O,O,X
ISTOLZJ,X,X,O,X,X,O,X
ISTOJLZ,X,O,O,X,O,O,X
ISTOJZL,X,O,X,X,O,O,X
ISTOZLJ,X,X,X,X,X,O,X
ISTOZJL,X,X,X,X,X,O,X
ISLTJZO,O,O,O,O,O,O,X
ISLTJOZ,O,O,O,O,O,O,X
ISLTZJO,O,O,O,O,X,O,X
ISLTZOJ,O,O,O,O,X,O,X
ISLTOJZ,O,O,O,O,O,O,X
ISLTOZJ,O,X,O,O,X,O,X
ISLJTZO,O,O,O,O,O,O,X
ISLJTOZ,O,O,O,O,O,O,X
ISLJZTO,O,O,O,O,O,O,X
ISLJZOT,O,O,O,O,O,X,X
ISLJOTZ,O,O,O,O,O,O,X
ISLJOZT,O,O,O,O,O,X,X
ISLZTJO,O,O,O,O,X,O,X
ISLZTOJ,O,O,O,O,X,O,X
ISLZJTO,O,O,O,O,O,O,X
ISLZJOT,O,O,O,O,O,X,X
ISLZOTJ,O,O,O,O,X,X,X
ISLZOJT,O,O,O,O,O,X,X
ISLOTJZ,O,O,O,O,O,O,X
ISLOTZJ,O,X,O,O,X,O,X
ISLOJTZ,O,O,O,O,O,O,X
ISLOJZT,O,O,O,O,O,X,X
ISLOZTJ,O,O,O,O,X,X,X
ISLOZJT,O,O,O,O,O,X,X
ISJTLZO,O,O,O,O,O,O,X
ISJTLOZ,O,O,O,O,O,O,X
ISJTZLO,X,O,O,O,O,O,X
ISJTZOL,X,O,X,X,O,O,X
ISJTOLZ,X,O,O,X,O,O,X
ISJTOZL,X,O,X,X,O,O,X
ISJLTZO,O,O,O,O,O,O,X
ISJLTOZ,O,O,O,O,O,O,X
ISJLZTO,O,O,O,O,O,O,X
ISJLZOT,O,O,O,O,O,X,X
ISJLOTZ,O,O,O,O,O,O,X
ISJLOZT,O,O,O,O,O,X,X
ISJZTLO,O,O,O,O,O,O,X
ISJZTOL,O,O,O,X,O,O,X
ISJZLTO,O,O,O,X,O,O,X
ISJZLOT,O,O,O,X,O,X,X
ISJZOTL,X,O,X,X,O,X,X
ISJZOLT,X,O,X,X,O,X,X
ISJOTLZ,X,O,X,O,O,O,X
ISJOTZL,X,O,X,O,O,O,X
ISJOLTZ,X,O,X,O,O,O,X
ISJOLZT,X,O,X,O,O,X,X
ISJOZTL,X,O,X,O,O,X,X
ISJOZLT,X,O,X,X,O,X,X
ISZTLJO,O,O,O,O,X,O,X
ISZTLOJ,O,O,O,O,X,O,O
ISZTJLO,O,O,O,O,O,O,X
ISZTJOL,O,O,O,X,O,O,X
ISZTOLJ,O,O,O,X,X,O,O
ISZTOJL,O,O,O,X,X,O,O
ISZLTJO,O,O,O,X,X,O,X
ISZLTOJ,O,O,O,X,X,O,X
ISZLJTO,O,O,O,X,O,O,X
ISZLJOT,O,O,O,X,O,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,X,O,X,X
ISZJTLO,O,O,O,O,O,O,X
ISZJTOL,O,O,O,X,O,O,X
ISZJLTO,O,O,O,X,O,O,X
ISZJLOT,O,O,O,X,O,X,X
ISZJOTL,X,O,X,X,O,X,X
ISZJOLT,X,O,X,X,O,X,X
ISZOTLJ,X,O,O,X,X,X,O
ISZOTJL,X,O,O,X,X,X,O
ISZOLTJ,X,O,O,X,X,X,X
ISZOLJT,X,O,O,X,O,X,X
ISZOJTL,X,O,X,X,O,X,O
ISZOJLT,X,O,X,X,O,X,X
ISOTLJZ,X,O,O,O,O,O,X
ISOTLZJ,X,X,O,O,X,O,X
ISOTJLZ,X,O,O,O,O,O,X
ISOTJZL,X,O,X,O,O,O,X
ISOTZLJ,X,X,X,O,X,O,X
ISOTZJL,X,X,X,O,O,O,X
ISOLTJZ,X,O,O,O,O,O,X
ISOLTZJ,X,X,O,O,X,O,X
ISOLJTZ,X,O,O,O,O,O,X
ISOLJZT,X,O,O,O,O,X,X
ISOLZTJ,X,O,O,O,X,X,X
ISOLZJT,X,O,O,O,O,X,X
ISOJTLZ,X,O,X,O,O,O,X
ISOJTZL,X,O,X,O,O,O,X
ISOJLTZ,X,O,X,O,O,O,X
ISOJLZT,X,O,X,O,O,X,X
ISOJZTL,X,O,X,O,O,X,O
ISOJZLT,X,O,X,X,O,X,X
ISOZTLJ,X,O,O,O,X,X,O
ISOZTJL,X,O,O,O,O,X,O
ISOZLTJ,X,O,O,X,X,X,X
ISOZLJT,X,O,O,X,O,X,X
ISOZJTL,X,O,X,O,O,X,O
ISOZJLT,X,O,X,X,O,X,X
IZTLJSO,O,O,O,O,O,X,X
IZTLJOS,O,O,O,O,X,X,O
IZTLSJO,O,O,O,O,X,X,X
IZTLSOJ,O,O,O,O,X,X,O
IZTLOJS,O,O,O,O,X,X,O
IZTLOSJ,O,X,O,O,X,X,O
IZTJLSO,O,O,O,O,O,X,X
IZTJLOS,O,O,O,O,X,X,O
IZTJSLO,O,O,O,O,O,O,X
IZTJSOL,O,O,O,X,O,O,X
IZTJOLS,O,O,O,O,X,X,O
IZTJOSL,O,O,O,X,O,O,O
IZTSLJO,O,O,O,O,X,O,X
IZTSLOJ,O,O,O,O,X,O,O
