sequence,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBTjBG?lBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhB9nB6?oBetBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB3iB9oBG?lBUqBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhBGjB6?sBNtBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je2EJvhFRhB9nBTjBS?qBXtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhF/lBRhBGjB6?sBNtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeRBJvhF9nBTjB0kB6?qBXtBmpB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeyEJvhFRhB9nBTjB+?qB0kBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBGlBT?oBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFalBRhB9oB+?qB0nBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhFRhB3iBGqBC?tBNqBctB
TSJZOLI,O,O,O,O,O,O,O,O,X,O,X
TSJOILZ,O,O,X,O,O,X,O,O,X,O,X
TSJOIZL,O,O,X,O,X,X,X,O,X,O,X
TSJOLIZ,O,O,X,O,O,X,O,O,X,O,X
TSJOLZI,X,O,X,O,O,X,O,O,X,O,X
TSJOZIL,O,O,X,O,X,O,X,O,X,O,X
TSJOZLI,O,O,X,O,O,O,O,O,X,O,X
TSZILJO,O,O,O,O,O,O,O,X,X,X,X
TSZILOJ,O,X,O,O,O,O,O,X,X,X,X
TSZIJLO,O,O,O,O,X,O,X,O,O,O,X
TSZIJOL,O,O,O,O,X,O,X,O,O,O,X
TSZIOLJ,O,X,O,X,O,O,O,X,X,X,X
TSZIOJL,O,O,O,O,X,O,X,O,O,X,X
TSZLIJO,O,O,O,O,O,O,O,X,X,X,X
TSZLIOJ,O,X,O,O,O,O,O,X,X,X,X
TSZLJIO,O,O,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,O,O,O,X
TSZLOIJ,O,X,O,O,O,O,O,X,X,X,X
TSZLOJI,O,X,O,O,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,X,O,X,O,O,O,X
TSZJIOL,O,O,O,O,X,O,X,O,O,O,X
TSZJLIO,O,O,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,O,O,O,X
TSZJOIL,O,O,O,O,X,O,X,O,O,O,X
TSZJOLI,O,O,O,O,O,O,O,O,O,O,X
TSZOILJ,O,O,O,O,O,O,O,X,X,X,X
TSZOIJL,O,O,O,O,X,O,X,O,O,X,X
TSZOLIJ,O,O,O,O,O,O,O,X,X,X,X
TSZOLJI,O,O,O,O,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,X,O,X,O,O,O,X
TSZOJLI,O,O,O,O,O,O,O,O,O,O,X
TSOILJZ,O,O,X,O,O,X,O,O,X,X,X
TSOILZJ,O,O,O,O,O,X,O,X,X,X,X
TSOIJLZ,O,O,X,O,O,X,O,O,X,X,X
TSOIJZL,O,O,X,O,X,X,X,O,X,X,X
TSOIZLJ,O,O,O,O,O,X,O,X,X,X,X
TSOIZJL,O,O,O,O,X,X,X,O,O,X,X
TSOLIJZ,O,O,X,O,O,X,O,O,X,X,X
TSOLIZJ,O,O,O,O,O,X,O,X,X,X,X
TSOLJIZ,O,O,X,O,O,X,O,O,X,X,X
TSOLJZI,X,O,X,O,O,O,O,O,X,X,X
TSOLZIJ,O,O,X,O,O,O,O,X,X,X,X
TSOLZJI,O,O,X,O,O,O,O,O,X,X,X
TSOJILZ,O,O,X,O,O,X,O,O,X,O,X
TSOJIZL,O,O,X,O,X,X,X,O,X,O,X
TSOJLIZ,O,O,X,O,O,X,O,O,X,O,X
TSOJLZI,X,O,X,O,O,X,O,O,X,O,X
TSOJZIL,O,O,X,O,X,O,X,O,X,O,X
TSOJZLI,O,O,X,O,O,O,O,O,X,O,X
TSOZILJ,O,O,O,O,O,O,O,X,X,X,X
TSOZIJL,O,O,O,O,X,O,X,O,O,X,X
TSOZLIJ,O,O,O,O,O,O,O,X,X,X,X
TSOZLJI,O,O,O,O,O,O,O,O,O,X,X
TSOZJIL,O,O,O,O,X,O,X,O,O,O,X
TSOZJLI,O,O,O,O,O,O,O,O,O,O,X
TZILJSO,O,X,O,X,O,O,O,X,O,O,X
TZILJOS,O,X,O,X,X,O,X,X,O,X,X
TZILSJO,O,X,O,X,O,O,O,X,X,X,X
TZILSOJ,O,X,O,X,O,O,O,X,X,X,X
TZILOJS,X,X,O,X,X,O,X,X,O,X,X
TZILOSJ,O,X,O,X,X,O,O,X,X,X,X
TZIJLSO,O,O,O,X,X,X,X,O,O,O,X
TZIJLOS,O,O,O,X,X,X,X,X,O,X,X
TZIJSLO,O,O,O,O,X,O,X,O,O,O,X
TZIJSOL,O,O,O,O,X,O,X,O,O,O,X
TZIJOLS,O,O,O,X,X,X,X,X,O,X,X
TZIJOSL,O,O,O,O,X,O,X,X,O,O,X
TZISLJO,O,O,O,O,O,O,O,X,X,X,X
TZISLOJ,O,X,O,X,O,O,O,X,X,X,X
TZISJLO,O,O,O,O,X,O,X,O,O,O,X
TZISJOL,O,O,O,O,X,O,X,O,O,O,X
TZISOLJ,O,X,O,X,O,O,O,X,X,X,X
TZISOJL,O,O,O,O,X,O,X,O,O,X,X
TZIOLJS,X,X,O,X,X,O,X,X,O,X,X
TZIOLSJ,O,X,O,X,X,O,X,X,X,X,X
TZIOJLS,O,O,O,X,X,X,X,X,O,X,X
TZIOJSL,O,O,O,O,X,O,X,X,O,O,X
TZIOSLJ,O,O,O,O,X,O,X,X,X,X,X
TZIOSJL,O,O,O,O,X,O,X,X,O,X,X
TZLIJSO,O,X,O,O,O,O,O,X,O,O,X
TZLIJOS,O,X,O,O,X,O,X,X,O,X,X
TZLISJO,O,X,O,O,O,O,O,X,X,X,X
TZLISOJ,O,X,O,O,O,O,O,X,X,X,X
TZLIOJS,X,X,O,O,X,O,X,X,O,X,X
TZLIOSJ,O,X,O,O,X,O,O,X,X,X,X
TZLJISO,O,X,O,O,O,O,O,O,O,O,X
TZLJIOS,O,X,O,O,X,O,X,X,O,X,X
TZLJSIO,O,X,O,O,O,O,O,O,O,O,X
TZLJSOI,O,X,O,O,O,O,O,O,O,O,X
TZLJOIS,O,X,O,O,X,O,X,X,O,X,X
TZLJOSI,O,X,O,O,X,O,X,X,O,X,X
TZLSIJO,O,X,O,O,O,O,O,X,X,X,X
TZLSIOJ,O,X,O,O,O,O,O,X,X,X,X
TZLSJIO,O,X,O,O,O,O,O,O,O,O,X
TZLSJOI,O,X,O,O,O,O,O,O,O,O,X
TZLSOIJ,O,X,O,O,O,O,O,X,X,X,X
TZLSOJI,O,X,O,O,O,O,O,O,O,X,X
TZLOIJS,X,X,O,O,X,O,X,X,O,X,X
TZLOISJ,O,X,O,O,X,O,O,X,X,X,X
TZLOJIS,O,X,O,O,X,O,X,X,O,X,X
TZLOJSI,O,X,O,O,X,O,X,X,O,X,X
TZLOSIJ,O,X,O,O,X,O,O,X,X,X,X
TZLOSJI,O,X,O,O,X,O,O,X,O,X,X
TZJILSO,O,O,O,X,X,X,X,O,O,O,X
TZJILOS,O,O,O,X,X,X,X,X,O,X,X
TZJISLO,O,O,O,O,X,O,X,O,O,O,X
TZJISOL,O,O,O,O,X,O,X,O,O,O,X
TZJIOLS,O,O,O,X,X,X,X,X,O,X,X
TZJIOSL,O,O,O,O,X,O,X,X,O,O,X
TZJLISO,O,O,O,X,O,O,O,O,O,O,X
TZJLIOS,O,O,O,X,X,O,X,X,O,X,X
TZJLSIO,O,O,O,X,O,O,O,O,O,O,X
TZJLSOI,O,O,O,X,O,O,O,O,O,O,X
TZJLOIS,O,O,O,X,X,O,X,X,O,X,X
TZJLOSI,O,O,O,X,X,O,X,X,O,X,X
TZJSILO,O,O,O,O,X,O,X,O,O,O,X
TZJSIOL,O,O,O,O,X,O,X,O,O,O,X
TZJSLIO,O,O,O,O,O,O,O,O,O,O,X
TZJSLOI,O,O,O,X,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,X,O,X,O,O,O,X
TZJSOLI,O,O,O,O,O,O,O,O,O,O,X
TZJOILS,O,O,O,X,X,X,X,X,O,X,X
TZJOISL,O,O,O,O,X,O,X,X,O,O,X
TZJOLIS,O,O,O,X,X,O,X,X,O,X,X
TZJOLSI,O,O,O,X,X,O,X,X,O,X,X
TZJOSIL,O,O,O,O,X,O,X,X,O,O,X
TZJOSLI,O,O,O,O,X,O,X,X,O,O,X
TZSILJO,O,O,O,O,O,O,O,X,X,X,X
TZSILOJ,O,X,O,O,O,O,O,X,X,X,X
TZSIJLO,O,O,O,O,X,O,X,O,O,O,X
TZSIJOL,O,O,O,O,X,O,X,O,O,O,X
TZSIOLJ,O,X,O,X,O,O,O,X,X,X,X
TZSIOJL,O,O,O,O,X,O,X,O,O,X,X
TZSLIJO,O,O,O,O,O,O,O,X,X,X,X
TZSLIOJ,O,X,O,O,O,O,O,X,X,X,X
TZSLJIO,O,O,O,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,O,O,O,X
TZSLOIJ,O,X,O,O,O,O,O,X,X,X,X
TZSLOJI,O,X,O,O,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,X,O,X,O,O,O,X
TZSJIOL,O,O,O,O,X,O,X,O,O,O,X
TZSJLIO,O,O,O,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,X,O,X,O,O,O,X
TZSJOLI,O,O,O,O,O,O,O,O,O,O,X
TZSOILJ,O,O,O,O,O,O,O,X,X,X,X
TZSOIJL,O,O,O,O,X,O,X,O,O,X,X
TZSOLIJ,O,O,O,O,O,O,O,X,X,X,X
TZSOLJI,O,O,O,O,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,X,O,X,O,O,O,X
TZSOJLI,O,O,O,O,O,O,O,O,O,O,X
TZOILJS,X,X,O,X,X,O,X,X,O,X,X
TZOILSJ,O,X,O,X,X,O,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X,O,X,X
TZOIJSL,O,O,O,O,X,O,X,X,O,O,X
TZOISLJ,O,O,O,O,X,O,X,X,X,X,X
TZOISJL,O,O,O,O,X,O,X,X,O,X,X
TZOLIJS,X,X,O,O,X,O,X,X,O,X,X
TZOLISJ,O,X,O,O,X,O,O,X,X,X,X
TZOLJIS,O,X,O,O,X,O,X,X,O,X,X
TZOLJSI,O,X,O,O,X,O,X,X,O,X,X
TZOLSIJ,O,X,O,O,X,O,O,X,X,X,X
TZOLSJI,O,X,O,O,X,O,O,X,O,X,X
TZOJILS,O,O,O,X,X,X,X,X,O,X,X
TZOJISL,O,O,O,O,X,O,X,X,O,O,X
TZOJLIS,O,O,O,X,X,O,X,X,O,X,X
TZOJLSI,O,O,O,X,X,O,X,X,O,X,X
TZOJSIL,O,O,O,O,X,O,X,X,O,O,X
TZOJSLI,O,O,O,O,X,O,X,X,O,O,X
TZOSILJ,O,O,O,O,X,O,O,X,X,X,X
TZOSIJL,O,O,O,O,X,O,X,X,O,X,X
TZOSLIJ,O,O,O,O,X,O,O,X,X,X,X
TZOSLJI,O,O,O,O,X,O,O,X,O,X,X
TZOSJIL,O,O,O,O,X,O,X,X,O,O,X
TZOSJLI,O,O,O,O,X,O,O,X,O,O,X
TOILJSZ,X,O,O,O,O,X,X,X,X,X,X
TOILJZS,X,O,X,O,X,O,X,X,X,X,X
TOILSJZ,O,O,O,O,O,X,O,X,X,X,X
TOILSZJ,O,O,O,O,O,X,O,X,X,X,X
TOILZJS,X,X,O,O,X,O,X,X,O,X,X
TOILZSJ,X,X,O,O,X,O,O,X,X,X,X
TOIJLSZ,X,O,O,O,X,X,X,O,X,X,X
TOIJLZS,X,O,X,X,X,X,X,X,X,X,X
TOIJSLZ,X,O,O,O,X,X,X,O,X,O,X
TOIJSZL,X,O,O,O,X,X,X,O,X,O,X
TOIJZLS,X,O,O,X,X,X,X,X,O,X,X
TOIJZSL,X,O,O,O,X,O,X,X,O,O,X
TOISLJZ,O,O,O,O,O,X,O,O,X,X,X
TOISLZJ,O,O,O,O,O,X,O,X,X,X,X
TOISJLZ,O,O,O,O,O,X,O,O,X,X,X
TOISJZL,O,O,O,O,X,X,X,O,X,X,X
TOISZLJ,O,O,O,O,O,X,O,X,X,X,X
TOISZJL,O,O,O,O,X,X,X,O,O,X,X
TOIZLJS,X,X,O,X,X,O,X,X,O,X,X
TOIZLSJ,O,X,O,X,X,O,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,X,O,X,X
TOIZJSL,O,O,O,O,X,O,X,X,O,O,X
TOIZSLJ,O,O,O,O,X,O,X,X,X,X,X
TOIZSJL,O,O,O,O,X,O,X,X,O,X,X
TOLIJSZ,X,O,O,O,O,X,X,X,X,X,X
TOLIJZS,X,O,X,O,X,O,X,X,X,X,X
TOLISJZ,O,O,O,O,O,X,O,X,X,X,X
TOLISZJ,O,O,O,O,O,X,O,X,X,X,X
TOLIZJS,X,X,O,O,X,O,X,X,O,X,X
TOLIZSJ,X,X,O,O,X,O,O,X,X,X,X
TOLJISZ,X,O,O,O,O,X,X,O,X,X,O
TOLJIZS,X,O,X,O,X,O,X,X,X,X,O
TOLJSIZ,X,O,O,O,O,X,X,O,X,X,O
TOLJSZI,X,O,X,O,O,O,X,O,X,X,O
TOLJZIS,X,O,X,O,X,O,X,X,X,X,O
TOLJZSI,X,O,X,O,X,O,X,X,X,X,O
TOLSIJZ,O,O,O,O,O,X,O,O,X,X,X
TOLSIZJ,O,O,O,O,O,X,O,X,X,X,X
TOLSJIZ,O,O,O,O,O,X,O,O,X,X,X
TOLSJZI,X,O,X,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,O,O,O,O,O,X,X,X,X
TOLSZJI,X,O,O,O,O,O,O,O,X,X,X
TOLZIJS,X,X,O,O,X,O,X,X,O,X,X
TOLZISJ,X,X,O,O,X,O,O,X,X,X,X
TOLZJIS,X,X,O,O,X,O,X,X,O,X,X
TOLZJSI,X,X,O,O,X,O,X,X,O,X,X
TOLZSIJ,X,X,O,O,X,O,O,X,X,X,X
TOLZSJI,X,X,O,O,X,O,O,X,O,X,X
TOJILSZ,X,O,O,O,X,X,X,O,X,X,X
TOJILZS,X,O,X,X,X,X,X,X,X,X,X
TOJISLZ,X,O,O,O,X,X,X,O,X,O,X
TOJISZL,X,O,O,O,X,X,X,O,X,O,X
TOJIZLS,X,O,O,X,X,X,X,X,O,X,X
TOJIZSL,X,O,O,O,X,O,X,X,O,O,X
TOJLISZ,X,O,O,O,O,X,X,O,X,X,O
TOJLIZS,X,O,X,O,X,O,X,X,X,X,O
TOJLSIZ,X,O,O,O,O,X,X,O,X,X,O
TOJLSZI,X,O,X,O,O,O,X,O,X,X,O
TOJLZIS,X,O,X,O,X,O,X,X,X,X,O
TOJLZSI,X,O,X,O,X,O,X,X,X,X,O
TOJSILZ,X,O,O,O,O,X,X,O,X,O,X
TOJSIZL,X,O,O,O,X,X,X,O,X,O,X
TOJSLIZ,X,O,O,O,O,X,X,O,X,O,X
TOJSLZI,X,O,X,O,O,X,X,O,X,O,X
TOJSZIL,X,O,O,O,X,O,X,O,X,O,X
TOJSZLI,X,O,O,O,O,O,X,O,X,O,X
TOJZILS,X,O,O,X,X,X,X,X,O,X,X
TOJZISL,X,O,O,O,X,O,X,X,O,O,X
TOJZLIS,X,O,O,X,X,O,X,X,O,X,X
TOJZLSI,X,O,O,X,X,O,X,X,O,X,X
TOJZSIL,X,O,O,O,X,O,X,X,O,O,X
TOJZSLI,X,O,O,O,X,O,X,X,O,O,X
TOSILJZ,O,O,O,O,O,X,O,O,X,X,X
TOSILZJ,O,O,O,O,O,X,O,X,X,X,X
TOSIJLZ,O,O,O,O,O,X,O,O,X,X,X
TOSIJZL,O,O,O,O,X,X,X,O,X,X,X
TOSIZLJ,O,O,O,O,O,X,O,X,X,X,X
TOSIZJL,O,O,O,O,X,X,X,O,O,X,X
TOSLIJZ,O,O,O,O,O,X,O,O,X,X,X
TOSLIZJ,O,O,O,O,O,X,O,X,X,X,X
TOSLJIZ,O,O,O,O,O,X,O,O,X,X,X
TOSLJZI,X,O,X,O,O,O,O,O,X,X,X
TOSLZIJ,O,O,O,O,O,O,O,X,X,X,X
TOSLZJI,O,O,O,O,O,O,O,O,X,X,X
TOSJILZ,O,O,O,O,O,X,O,O,X,O,X
TOSJIZL,O,O,O,O,X,X,X,O,X,O,X
TOSJLIZ,O,O,O,O,O,X,O,O,X,O,X
TOSJLZI,X,O,X,O,O,X,O,O,X,O,X
TOSJZIL,O,O,O,O,X,O,X,O,X,O,X
TOSJZLI,O,O,O,O,O,O,O,O,X,O,X
TOSZILJ,O,O,O,O,O,O,O,X,X,X,X
TOSZIJL,O,O,O,O,X,O,X,O,O,X,X
TOSZLIJ,O,O,O,O,O,O,O,X,X,X,X
TOSZLJI,O,O,O,O,O,O,O,O,O,X,X
TOSZJIL,O,O,O,O,X,O,X,O,O,O,X
TOSZJLI,O,O,O,O,O,O,O,O,O,O,X
TOZILJS,X,X,O,X,X,O,X,X,O,X,X
TOZILSJ,O,X,O,X,X,O,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,X,O,X,X
TOZIJSL,O,O,O,O,X,O,X,X,O,O,X
TOZISLJ,O,O,O,O,X,O,X,X,X,X,X
TOZISJL,O,O,O,O,X,O,X,X,O,X,X
TOZLIJS,X,X,O,O,X,O,X,X,O,X,X
TOZLISJ,O,X,O,O,X,O,O,X,X,X,X
TOZLJIS,O,X,O,O,X,O,X,X,O,X,X
TOZLJSI,O,X,O,O,X,O,X,X,O,X,X
TOZLSIJ,O,X,O,O,X,O,O,X,X,X,X
TOZLSJI,O,X,O,O,X,O,O,X,O,X,X
TOZJILS,O,O,O,X,X,X,X,X,O,X,X
TOZJISL,O,O,O,O,X,O,X,X,O,O,X
TOZJLIS,O,O,O,X,X,O,X,X,O,X,X
TOZJLSI,O,O,O,X,X,O,X,X,O,X,X
TOZJSIL,O,O,O,O,X,O,X,X,O,O,X
TOZJSLI,O,O,O,O,X,O,X,X,O,O,X
TOZSILJ,O,O,O,O,X,O,O,X,X,X,X
TOZSIJL,O,O,O,O,X,O,X,X,O,X,X
TOZSLIJ,O,O,O,O,X,O,O,X,X,X,X
TOZSLJI,O,O,O,O,X,O,O,X,O,X,X
TOZSJIL,O,O,O,O,X,O,X,X,O,O,X
TOZSJLI,O,O,O,O,X,O,O,X,O,O,X
ITLJSZO,X,O,O,O,O,X,O,O,X,O,O
ITLJSOZ,O,O,X,O,O,X,O,O,X,O,O
ITLJZSO,X,O,X,O,O,O,O,O,X,O,O
ITLJZOS,X,O,X,O,X,O,X,X,X,X,O
ITLJOSZ,X,O,X,O,O,X,X,O,X,X,O
ITLJOZS,X,O,X,O,X,O,X,X,X,X,O
ITLSJZO,X,O,O,O,O,X,O,O,X,X,X
ITLSJOZ,O,O,X,O,O,X,O,O,X,X,X
ITLSZJO,O,O,O,O,O,X,O,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,O,X,X,X,X
ITLSOJZ,O,X,X,O,O,X,O,O,X,X,X
ITLSOZJ,O,X,O,O,O,X,O,X,X,X,X
ITLZJSO,O,X,O,O,O,O,O,X,O,O,X
ITLZJOS,O,X,O,O,X,O,X,X,O,X,X
ITLZSJO,O,X,O,O,O,O,O,X,X,X,X
ITLZSOJ,O,X,O,O,O,O,O,X,X,X,X
ITLZOJS,X,X,X,O,X,O,X,X,O,X,X
ITLZOSJ,O,X,O,O,X,O,O,X,X,X,X
ITLOJSZ,X,O,O,O,O,X,X,X,X,X,X
ITLOJZS,X,O,X,O,X,O,X,X,X,X,X
ITLOSJZ,O,O,O,O,O,X,O,X,X,X,X
ITLOSZJ,O,O,O,O,O,X,O,X,X,X,X
ITLOZJS,X,X,X,O,X,O,X,X,O,X,X
ITLOZSJ,X,X,O,O,X,O,O,X,X,X,X
ITJLSZO,X,O,O,O,O,X,O,O,X,O,O
ITJLSOZ,O,O,X,X,O,X,O,O,X,O,O
ITJLZSO,X,O,X,X,O,X,O,O,X,O,O
ITJLZOS,X,O,X,X,X,X,X,X,X,X,O
ITJLOSZ,X,O,X,O,O,X,X,O,X,X,O
ITJLOZS,X,O,X,X,X,X,X,X,X,X,O
ITJSLZO,X,O,O,O,O,X,O,O,X,O,X
ITJSLOZ,O,O,X,X,O,X,O,O,X,O,X
ITJSZLO,O,O,O,O,X,X,X,O,X,O,X
ITJSZOL,O,O,O,O,X,X,X,O,X,O,X
ITJSOLZ,O,O,X,O,O,X,O,O,X,O,X
ITJSOZL,O,O,X,O,X,X,X,O,X,O,X
ITJZLSO,O,O,O,X,X,X,X,O,O,O,X
ITJZLOS,O,O,O,X,X,X,X,X,O,X,X
ITJZSLO,O,O,O,O,X,O,X,O,O,O,X
ITJZSOL,O,O,O,O,X,O,X,O,O,O,X
ITJZOLS,O,O,O,X,X,X,X,X,O,X,X
ITJZOSL,O,O,O,O,X,O,X,X,O,O,X
ITJOLSZ,X,O,X,O,X,X,X,O,X,X,X
ITJOLZS,X,O,X,X,X,X,X,X,X,X,X
ITJOSLZ,X,O,X,O,X,X,X,O,X,O,X
ITJOSZL,X,O,X,O,X,X,X,O,X,O,X
ITJOZLS,X,O,X,X,X,X,X,X,O,X,X
ITJOZSL,X,O,X,O,X,O,X,X,O,O,X
ITSLJZO,X,O,O,O,O,X,O,O,X,X,X
ITSLJOZ,O,O,X,O,O,X,O,O,X,X,X
ITSLZJO,O,O,O,O,O,X,O,X,X,X,X
ITSLZOJ,O,X,O,O,O,X,O,X,X,X,X
ITSLOJZ,O,X,X,O,O,X,O,O,X,X,X
ITSLOZJ,O,X,O,O,O,X,O,X,X,X,X
ITSJLZO,X,O,O,O,O,X,O,O,X,O,X
ITSJLOZ,O,O,X,X,O,X,O,O,X,O,X
ITSJZLO,O,O,O,O,X,X,X,O,X,O,X
ITSJZOL,O,O,O,O,X,X,X,O,X,O,X
ITSJOLZ,O,O,X,O,O,X,O,O,X,O,X
ITSJOZL,O,O,X,O,X,X,X,O,X,O,X
ITSZLJO,O,O,O,O,O,X,O,X,X,X,X
ITSZLOJ,O,X,O,O,O,X,O,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,O,O,O,X
ITSZJOL,O,O,O,O,X,X,X,O,O,O,X
ITSZOLJ,O,X,O,X,O,X,O,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,O,O,X,X
ITSOLJZ,O,O,X,O,O,X,O,O,X,X,X
ITSOLZJ,O,O,O,O,O,X,O,X,X,X,X
ITSOJLZ,O,O,X,O,O,X,O,O,X,X,X
ITSOJZL,O,O,X,O,X,X,X,O,X,X,X
ITSOZLJ,O,O,O,O,O,X,O,X,X,X,X
ITSOZJL,O,O,O,O,X,X,X,O,O,X,X
ITZLJSO,O,X,O,X,O,O,O,X,O,O,X
ITZLJOS,O,X,O,X,X,O,X,X,O,X,X
ITZLSJO,O,X,O,X,O,O,O,X,X,X,X
ITZLSOJ,O,X,O,X,O,O,O,X,X,X,X
ITZLOJS,X,X,O,X,X,O,X,X,O,X,X
ITZLOSJ,O,X,O,X,X,O,O,X,X,X,X
ITZJLSO,O,O,O,X,X,X,X,O,O,O,X
ITZJLOS,O,O,O,X,X,X,X,X,O,X,X
ITZJSLO,O,O,O,O,X,O,X,O,O,O,X
ITZJSOL,O,O,O,O,X,O,X,O,O,O,X
ITZJOLS,O,O,O,X,X,X,X,X,O,X,X
ITZJOSL,O,O,O,O,X,O,X,X,O,O,X
ITZSLJO,O,O,O,O,O,O,O,X,X,X,X
ITZSLOJ,O,X,O,X,O,O,O,X,X,X,X
ITZSJLO,O,O,O,O,X,O,X,O,O,O,X
ITZSJOL,O,O,O,O,X,O,X,O,O,O,X
ITZSOLJ,O,X,O,X,O,O,O,X,X,X,X
ITZSOJL,O,O,O,O,X,O,X,O,O,X,X
ITZOLJS,X,X,O,X,X,O,X,X,O,X,X
ITZOLSJ,O,X,O,X,X,O,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,X,O,X,X
ITZOJSL,O,O,O,O,X,O,X,X,O,O,X
ITZOSLJ,O,O,O,O,X,O,X,X,X,X,X
ITZOSJL,O,O,O,O,X,O,X,X,O,X,X
ITOLJSZ,X,O,O,O,O,X,X,X,X,X,X
ITOLJZS,X,O,X,O,X,O,X,X,X,X,X
ITOLSJZ,O,O,O,O,O,X,O,X,X,X,X
ITOLSZJ,O,O,O,O,O,X,O,X,X,X,X
ITOLZJS,X,X,O,O,X,O,X,X,O,X,X
ITOLZSJ,X,X,O,O,X,O,O,X,X,X,X
ITOJLSZ,X,O,O,O,X,X,X,O,X,X,X
ITOJLZS,X,O,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,O,O,X,X,X,O,X,O,X
ITOJSZL,X,O,O,O,X,X,X,O,X,O,X
ITOJZLS,X,O,O,X,X,X,X,X,O,X,X
ITOJZSL,X,O,O,O,X,O,X,X,O,O,X
ITOSLJZ,O,O,O,O,O,X,O,O,X,X,X
ITOSLZJ,O,O,O,O,O,X,O,X,X,X,X
ITOSJLZ,O,O,O,O,O,X,O,O,X,X,X
ITOSJZL,O,O,O,O,X,X,X,O,X,X,X
ITOSZLJ,O,O,O,O,O,X,O,X,X,X,X
ITOSZJL,O,O,O,O,X,X,X,O,O,X,X
ITOZLJS,X,X,O,X,X,O,X,X,O,X,X
ITOZLSJ,O,X,O,X,X,O,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,X,O,X,X
ITOZJSL,O,O,O,O,X,O,X,X,O,O,X
ITOZSLJ,O,O,O,O,X,O,X,X,X,X,X
ITOZSJL,O,O,O,O,X,O,X,X,O,X,X
ILTJSZO,X,O,O,O,O,X,O,O,X,O,O
ILTJSOZ,O,O,X,O,O,X,O,O,X,O,O
ILTJZSO,X,O,X,O,O,O,O,O,X,O,O
ILTJZOS,X,O,X,O,X,O,X,X,X,X,O
ILTJOSZ,X,O,X,O,O,X,X,O,X,X,O
ILTJOZS,X,O,X,O,X,O,X,X,X,X,O
ILTSJZO,X,O,O,O,O,X,O,O,X,X,X
ILTSJOZ,O,O,X,O,O,X,O,O,X,X,X
ILTSZJO,O,O,O,O,O,X,O,X,X,X,X
ILTSZOJ,O,X,O,O,O,X,O,X,X,X,X
ILTSOJZ,O,X,X,O,O,X,O,O,X,X,X
ILTSOZJ,O,X,O,O,O,X,O,X,X,X,X
ILTZJSO,O,X,O,O,O,O,O,X,O,O,X
ILTZJOS,O,X,O,O,X,O,X,X,O,X,X
ILTZSJO,O,X,O,O,O,O,O,X,X,X,X
ILTZSOJ,O,X,O,O,O,O,O,X,X,X,X
ILTZOJS,X,X,X,O,X,O,X,X,O,X,X
ILTZOSJ,O,X,O,O,X,O,O,X,X,X,X
ILTOJSZ,X,O,O,O,O,X,X,X,X,X,X
ILTOJZS,X,O,X,O,X,O,X,X,X,X,X
ILTOSJZ,O,O,O,O,O,X,O,X,X,X,X
ILTOSZJ,O,O,O,O,O,X,O,X,X,X,X
ILTOZJS,X,X,X,O,X,O,X,X,O,X,X
ILTOZSJ,X,X,O,O,X,O,O,X,X,X,X
ILJTSZO,X,X,O,O,O,X,O,O,X,O,O
ILJTSOZ,O,X,X,O,O,X,O,O,X,O,O
ILJTZSO,X,X,X,O,O,X,O,O,X,O,O
ILJTZOS,X,X,X,O,X,X,X,X,X,X,O
ILJTOSZ,X,X,X,O,O,X,X,O,X,X,O
