sequence,v115@HhA8IeB8FeD8CeE8Jel/IvhFRhB+nBTjB3mB0qBiqB,v115@HhA8IeB8FeD8CeE8Jel/IvhF6nBTjBmmBxqBcqBXrB,v115@HhA8IeB8FeD8CeE8Jel/IvhF3gBGiBTjBUnBxqByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhFTjBUlBFmBXnBGnByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhF8lBTjBaqBFnBGnBXrB
TZLISJO,X,X,O,X,X
TZLISOJ,X,X,O,O,X
TZLIOJS,X,O,O,X,X
TZLIOSJ,X,X,O,O,X
TZLJISO,X,O,O,X,X
TZLJIOS,X,O,O,X,X
TZLJSIO,O,X,X,X,X
TZLJSOI,O,X,X,X,X
TZLJOIS,X,O,O,X,X
TZLJOSI,O,X,X,X,X
TZLSIJO,O,X,X,X,O
TZLSIOJ,X,X,X,O,O
TZLSJIO,O,X,X,X,O
TZLSJOI,O,X,X,X,O
TZLSOIJ,X,X,X,O,O
TZLSOJI,X,X,X,O,O
TZLOIJS,X,O,O,X,X
TZLOISJ,X,X,O,O,X
TZLOJIS,X,O,O,X,X
TZLOJSI,O,X,X,X,X
TZLOSIJ,X,X,X,O,O
TZLOSJI,X,X,X,O,O
TZJILSO,X,O,O,X,X
TZJILOS,X,O,O,X,X
TZJISLO,O,X,O,X,X
TZJISOL,O,X,O,O,X
TZJIOLS,X,O,O,X,X
TZJIOSL,O,X,O,O,X
TZJLISO,X,O,O,X,X
TZJLIOS,X,O,O,X,X
TZJLSIO,O,X,X,X,X
TZJLSOI,O,X,X,X,X
TZJLOIS,X,O,O,X,X
TZJLOSI,O,X,X,X,X
TZJSILO,O,X,O,X,X
TZJSIOL,O,X,O,O,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,X,O,O,X
TZJSOLI,O,X,X,O,X
TZJOILS,X,O,O,X,X
TZJOISL,O,X,O,O,X
TZJOLIS,X,O,O,X,X
TZJOLSI,O,X,X,X,X
TZJOSIL,O,X,O,O,X
TZJOSLI,O,X,X,O,X
TZSILJO,O,X,O,X,O
TZSILOJ,X,X,O,O,O
TZSIJLO,O,X,O,X,X
TZSIJOL,O,X,O,O,X
TZSIOLJ,X,X,O,O,O
TZSIOJL,O,X,O,O,X
TZSLIJO,O,X,X,X,O
TZSLIOJ,X,X,X,O,O
TZSLJIO,O,X,X,X,O
TZSLJOI,O,X,X,X,O
TZSLOIJ,X,X,X,O,O
TZSLOJI,X,X,X,O,O
TZSJILO,O,X,O,X,X
TZSJIOL,O,X,O,O,X
TZSJLIO,O,X,X,X,O
TZSJLOI,O,X,X,X,O
TZSJOIL,O,X,O,O,X
TZSJOLI,O,X,X,O,O
TZSOILJ,X,X,O,O,O
TZSOIJL,O,X,O,O,X
TZSOLIJ,X,X,X,O,O
TZSOLJI,X,X,X,O,O
