sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TJOZISL,O,O,X,X,X,X,X,X
TJOZLIS,X,X,O,O,X,X,X,O
TJOZLSI,X,X,O,O,X,X,X,O
TJOZSIL,O,O,X,X,X,X,X,X
TJOZSLI,O,O,O,O,X,X,X,O
TSILJZO,X,O,X,X,O,O,X,X
TSILJOZ,X,X,O,X,O,O,X,X
TSILZJO,X,O,X,X,O,X,X,X
TSILZOJ,X,O,X,X,O,X,X,X
TSILOJZ,X,O,O,O,O,X,X,X
TSILOZJ,X,O,X,O,O,X,X,X
TSIJLZO,O,O,X,X,O,O,X,X
TSIJLOZ,X,X,O,X,O,O,X,X
TSIJZLO,O,O,X,X,O,X,X,X
TSIJZOL,O,X,X,X,X,X,O,X
TSIJOLZ,O,X,O,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,X,O,X,X,X
TSIZLOJ,X,O,X,X,O,X,X,X
TSIZJLO,O,O,X,X,O,X,X,X
TSIZJOL,O,X,X,X,X,X,O,X
TSIZOLJ,O,O,X,X,O,X,X,X
TSIZOJL,O,X,X,X,X,X,O,X
TSIOLJZ,X,O,O,O,O,X,X,X
TSIOLZJ,O,O,X,O,O,X,X,X
TSIOJLZ,O,O,O,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,O,O,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,X,X,X,X,O,O,X,X
TSLIJOZ,X,X,O,X,O,O,X,X
TSLIZJO,X,X,X,X,O,X,X,X
TSLIZOJ,X,X,X,X,O,X,X,X
TSLIOJZ,X,X,O,O,O,X,X,X
TSLIOZJ,X,X,X,O,O,X,X,X
TSLJIZO,O,X,X,X,O,O,X,X
TSLJIOZ,X,X,O,X,O,O,X,X
TSLJZIO,O,X,X,X,X,O,X,X
TSLJZOI,O,X,O,X,X,O,X,O
TSLJOIZ,O,X,O,O,X,O,X,X
TSLJOZI,O,X,O,O,X,O,X,X
TSLZIJO,X,X,X,X,O,X,X,X
TSLZIOJ,X,X,X,X,O,X,X,X
TSLZJIO,O,X,X,X,X,O,X,X
TSLZJOI,O,X,O,X,X,O,X,O
