sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
TLIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLISJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TLISZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLISOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLIZJSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
