sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
ZSTLJIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLJOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLOJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJILO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSTJIOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSTJLIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLOI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X
ZSTOIJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLIJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSTOLJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSTOJIL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSTOJLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITLOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSITJOL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZSITOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSITOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSILTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZSILJOT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
ZSILOTJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIJTOL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSIJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZSIJLOT,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSIJOTL,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSIJOLT,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
ZSIOTLJ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
ZSIOTJL,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSIOLTJ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
ZSIOLJT,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOJTL,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X
ZSIOJLT,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
ZSLTIJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSLTIOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTJIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSLTJOI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSLITOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJTO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZSLIJOT,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLIOTJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSLJTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSLJTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLJITO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZSLJIOT,O,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLJOTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLJOIT,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSLOTIJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZSLOIJT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSLOJTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSJTILO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSJTIOL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSJTLIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLOI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJITLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSJITOL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSJILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
ZSJILOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSJIOTL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSJIOLT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSJLTIO,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTOI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJLITO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZSJLIOT,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSJLOTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJLOIT,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJOTIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJOTLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSJOITL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZSJOILT,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSJOLTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ZSOTIJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZSOTLIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSOTLJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSOTJIL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOTJLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOITLJ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
ZSOITJL,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZSOILTJ,O,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
ZSOILJT,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSOIJTL,O,X,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X
ZSOIJLT,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
ZSOLTIJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSOLTJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZSOLITJ,O,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,X
ZSOLIJT,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSOLJTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSOJTIL,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJTLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJITL,O,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
ZSOJILT,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZSOJLTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZOTILJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZOTILSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X
ZOTIJLS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZOTIJSL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X
ZOTISLJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZOTISJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X
ZOTLIJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZOTLISJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
ZOTLJIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTLJSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLSIJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTLSJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTJILS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTJISL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZOTJLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOTJLSI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOTJSIL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOTJSLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOTSILJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZOTSIJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
ZOTSLIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSLJI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOTSJIL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOTSJLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOITLJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
ZOITLSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X
ZOITJLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
ZOITJSL,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X
ZOITSLJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
ZOITSJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X
ZOILTJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZOILTSJ,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
ZOILJTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ZOILJST,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZOILSTJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X
ZOILSJT,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOIJTLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
ZOIJTSL,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
ZOIJLTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
ZOIJLST,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZOIJSTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZOIJSLT,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZOISTLJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ZOISTJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
ZOISLTJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
ZOISLJT,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOISJTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZOISJLT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZOLTIJS,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZOLTISJ,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
ZOLTJIS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTJSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTSIJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLTSJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLITJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZOLITSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZOLIJTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ZOLIJST,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOLISTJ,O,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X
ZOLISJT,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOLJTIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOLJTSI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJITS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ZOLJIST,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOLJSTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOLJSIT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOLSTIJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOLSTJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOLSITJ,O,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,X
ZOLSIJT,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
ZOLSJTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOLSJIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZOJTILS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOJTISL,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZOJTLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZOJTLSI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJTSIL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZOJTSLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJITLS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZOJITSL,O,X,X,X,X,O,O,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZOJILTS,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZOJILST,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJISTL,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZOJISLT,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZOJLTIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOJLTSI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJLITS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ZOJLIST,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZOJLSTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOJLSIT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOJSTIL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJSTLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOJSITL,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZOJSILT,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOJSLTI,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOJSLIT,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZOSTILJ,O,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X
ZOSTIJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
ZOSTLIJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOSTLJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOSTJIL,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOSTJLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOSITLJ,O,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X
ZOSITJL,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZOSILTJ,O,X,X,O,X,X,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
ZOSILJT,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZOSIJTL,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X
ZOSIJLT,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
ZOSLTIJ,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOSLTJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZOSLITJ,O,O,X,O,X,X,X,X,O,O,X,O,X,O,X,X,O,O,X,X,X
ZOSLIJT,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZOSLJTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOSLJIT,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZOSJTIL,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOSJTLI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZOSJITL,O,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
ZOSJILT,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZOSJLTI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZOSJLIT,O,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
OTILJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTILJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTILSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OTILSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTILZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
OTILZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
OTIJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTIJLZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
OTIJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTIJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
OTIJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OTIJZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
OTISLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTISLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTISJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTISJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTISZLJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
OTISZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
OTIZLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
OTIZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
OTIZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
OTIZJSL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X
OTIZSLJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
