sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TLZOIJS,O,X,O,X,X,X,X,X,O,O,O,X,O
TLZOISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TLZOJIS,O,X,O,X,X,X,X,X,O,O,O,X,O
TLZOJSI,O,X,O,X,X,O,O,X,X,X,X,X,O
TLZOSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLZOSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TLOIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOIJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
TLOISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLOIZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TLOIZSJ,O,X,O,X,X,O,O,X,X,O,O,X,X
TLOJISZ,O,X,O,X,X,X,X,O,X,X,X,X,O
TLOJIZS,O,X,O,X,X,O,O,O,O,O,O,X,O
TLOJSIZ,O,X,O,X,X,X,X,O,X,X,X,X,O
TLOJSZI,O,X,O,X,X,X,X,O,X,X,X,X,O
TLOJZIS,O,X,O,X,X,X,X,O,O,O,O,X,O
TLOJZSI,O,X,O,X,X,O,O,O,X,X,X,X,O
TLOSIJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLOSJIZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOSJZI,O,X,O,X,X,X,X,X,X,X,X,X,O
TLOSZIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLOSZJI,O,X,O,X,X,X,O,X,X,X,X,X,O
TLOZIJS,O,X,O,X,X,X,O,X,O,O,O,X,O
TLOZISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TLOZJIS,O,X,O,X,X,X,X,O,O,O,O,X,O
TLOZJSI,O,X,O,X,X,O,O,O,X,X,X,X,O
TLOZSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TLOZSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TJILSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJILSOZ,X,O,O,X,X,X,X,O,X,X,X,X,X
TJILZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJILZOS,O,X,O,O,X,X,X,O,O,O,O,X,X
TJILOSZ,X,O,O,O,X,X,X,O,X,X,X,X,O
TJILOZS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJISLZO,X,X,X,O,X,X,X,X,X,O,X,O,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISZLO,X,X,X,O,X,X,X,X,X,O,X,O,X
TJISZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TJISOLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
TJISOZL,X,X,X,O,X,X,X,O,O,X,X,O,O
TJIZLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJIZLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TJIZSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
TJIZSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
TJIZOLS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJIZOSL,X,X,X,O,X,O,O,O,O,X,X,O,O
TJIOLSZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJIOLZS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJIOSLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
TJIOSZL,X,X,X,O,X,O,X,O,O,X,X,O,O
TJIOZLS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJIOZSL,X,X,X,O,X,O,O,O,O,X,X,O,O
TJLISZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLISOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLIZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLIZOS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLIOSZ,X,O,O,O,X,X,X,O,X,X,X,X,O
TJLIOZS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLSIZO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
TJLSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLSOZI,X,O,O,X,X,X,X,O,X,X,X,X,O
TJLZISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLZIOS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLZSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJLZSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLZOSI,O,X,O,O,X,X,X,O,X,X,X,X,O
TJLOISZ,O,O,O,O,X,X,X,O,X,X,X,X,O
TJLOIZS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLOSIZ,O,O,O,O,X,X,X,O,X,X,X,X,O
TJLOSZI,O,O,O,O,X,X,X,O,X,X,X,X,O
TJLOZIS,O,X,O,O,X,X,X,O,O,O,O,X,O
TJLOZSI,O,X,O,O,X,X,X,O,X,X,X,X,O
TJSILZO,X,O,X,O,X,X,X,X,X,O,X,O,X
TJSILOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TJSIZLO,X,X,X,O,X,X,X,X,X,O,X,O,X
TJSIZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TJSIOLZ,X,O,X,O,X,X,X,O,X,X,X,O,O
TJSIOZL,X,X,X,O,X,X,X,O,O,X,X,O,O
TJSLIZO,O,O,X,O,X,X,X,X,X,O,X,O,X
TJSLIOZ,X,O,X,X,X,X,X,X,X,X,X,O,X
TJSLZIO,O,O,X,O,X,X,X,X,X,O,X,O,X
TJSLZOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,O,X,X,X,X,X,O,X,O,X
TJSZIOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TJSZLIO,O,O,X,O,X,X,X,X,X,O,X,O,X
TJSZLOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,O,X,X,X,X,O,X,X,X,X
TJSZOLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TJSOILZ,X,O,X,O,X,X,X,O,X,X,X,X,O
TJSOIZL,X,X,X,O,X,X,X,O,O,X,X,X,O
TJSOLIZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJSOLZI,O,O,X,O,X,X,X,O,X,X,X,X,O
TJSOZIL,X,X,X,O,X,X,X,O,O,X,X,X,O
TJSOZLI,O,O,X,O,X,X,X,X,X,X,X,X,O
TJZILSO,O,X,X,O,X,X,X,X,X,O,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,O,O,O,X,X
TJZISLO,X,X,X,O,X,X,X,X,X,O,X,O,X
