sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
ISTZJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
ISTZOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISTZOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ISTOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
ISTOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
ISTOZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
ISTOZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
ISLTJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLTZJO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLTZOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISLTOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISLJTZO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLJTOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLJZTO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLJZOT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLJOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISLZJTO,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLZJOT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLZOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLOTJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLOJZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLOZJT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJTLZO,X,O,X,O,O,X,X,X,X,X,X,O,X
ISJTLOZ,X,O,X,X,O,X,X,X,X,X,X,O,X
ISJTZLO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISJTZOL,X,X,X,O,X,X,X,X,O,X,X,O,X
ISJTOLZ,X,O,X,O,X,X,X,O,X,X,X,O,X
ISJTOZL,X,X,X,O,X,X,X,O,O,X,X,O,X
ISJLTZO,X,O,X,O,O,X,X,X,X,X,X,O,X
ISJLTOZ,X,O,X,X,O,X,X,O,X,X,X,O,X
ISJLZTO,X,O,X,O,O,X,X,X,X,X,X,O,X
ISJLZOT,X,O,X,O,O,X,X,X,X,X,X,O,X
ISJLOTZ,X,O,X,X,O,X,X,O,X,X,X,O,X
ISJLOZT,X,O,X,X,O,X,X,O,X,X,X,O,X
ISJZTLO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISJZTOL,X,X,X,O,X,X,X,X,O,X,X,O,X
ISJZLTO,X,X,X,O,O,X,X,X,X,X,X,O,X
ISJZLOT,X,X,X,O,O,X,X,X,X,X,X,O,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X,X,O,X
ISJZOLT,X,X,X,O,O,X,X,X,X,X,X,O,X
ISJOTLZ,X,O,X,O,X,X,X,O,X,X,X,O,X
ISJOTZL,X,X,X,O,X,X,X,O,X,X,X,O,X
ISJOLTZ,X,O,X,O,O,X,X,O,X,X,X,O,X
ISJOLZT,X,O,X,O,O,X,X,O,X,X,X,O,X
ISJOZTL,X,X,X,O,X,X,X,O,X,X,X,O,X
ISJOZLT,X,X,X,O,O,X,X,O,X,X,X,O,X
ISZTLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ISZTJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
ISZTOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
ISZTOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
ISZLTJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZLTOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
ISZLJTO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZLJOT,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZLOTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZLOJT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZJTLO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZJTOL,X,X,X,O,X,O,O,X,O,X,X,O,X
ISZJLTO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZJLOT,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZJOTL,X,X,X,O,X,O,O,X,X,X,X,O,X
ISZJOLT,X,X,X,O,O,O,O,X,X,X,X,O,X
ISZOTLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,O,O,X,X,X,X,X,X
ISZOLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZOLJT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZOJTL,X,X,X,O,X,O,O,X,X,X,X,O,X
ISZOJLT,X,X,X,O,O,O,O,X,X,X,X,O,X
ISOTLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLJZT,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOLZJT,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,X,X,X,X,O,X,X,X,O,X
ISOJTZL,X,X,X,X,X,O,X,O,X,X,X,O,X
ISOJLTZ,X,X,X,X,O,X,X,O,X,X,X,O,X
ISOJLZT,X,X,X,X,O,X,X,O,X,X,X,O,X
ISOJZTL,X,X,X,X,X,O,X,O,X,X,X,O,X
ISOJZLT,X,X,X,X,O,O,X,O,X,X,X,O,X
ISOZTLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,O,O,X,X,X,X,X,X
ISOZLJT,X,X,X,X,O,O,O,X,X,X,X,X,X
ISOZJTL,X,X,X,X,X,O,O,O,X,X,X,O,X
ISOZJLT,X,X,X,X,O,O,O,O,X,X,X,O,X
IZTLJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
IZTLJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
IZTLSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
IZTLSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
IZTLOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
IZTLOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
IZTJLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
IZTJLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
IZTJSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
IZTJSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZTJOLS,O,X,X,O,X,O,O,X,O,O,O,X,X
IZTJOSL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZTSLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
IZTSLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
IZTSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZTSOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTSOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZTOLJS,O,X,O,X,X,O,O,X,O,O,O,X,X
IZTOLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
IZTOJLS,O,X,X,O,X,O,O,X,O,X,O,X,X
IZTOJSL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZTOSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTOSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZLTJSO,O,X,O,O,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,O,O,X,X,X,X,O,X,O,X,X
IZLTSJO,O,X,O,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZLTOJS,O,X,O,X,X,O,O,X,O,X,O,X,X
IZLTOSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZLJTSO,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJTOS,X,X,O,O,X,X,X,X,O,X,O,X,X
IZLJSTO,X,O,O,O,O,X,X,X,X,X,X,O,X
IZLJSOT,X,O,O,O,O,X,X,X,X,X,X,O,X
IZLJOTS,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJOST,X,O,O,O,O,X,X,X,X,X,X,O,X
IZLSTJO,X,O,O,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZLSJTO,X,O,O,O,O,X,X,X,X,X,X,X,X
IZLSJOT,X,O,O,O,O,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLSOJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLOTJS,X,X,O,X,X,O,O,X,X,X,O,X,X
IZLOTSJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZLOJTS,X,X,O,X,X,O,O,X,X,X,X,X,X
IZLOJST,X,X,O,X,O,O,O,X,X,X,X,O,X
IZLOSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZLOSJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZJTLSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IZJTLOS,X,X,O,O,X,X,X,X,O,O,O,X,X
IZJTSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
IZJTSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZJTOLS,X,X,X,O,X,O,O,O,O,O,O,X,X
IZJTOSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IZJLTSO,X,X,O,O,X,X,X,X,X,O,X,X,X
IZJLTOS,X,X,O,O,X,X,X,O,O,O,O,X,X
IZJLSTO,X,O,O,O,O,X,X,X,X,O,X,O,X
IZJLSOT,X,O,O,O,O,X,X,X,X,O,X,O,X
IZJLOTS,X,X,O,O,X,X,X,O,X,O,X,X,X
IZJLOST,X,O,O,O,O,X,X,O,X,O,X,O,X
IZJSTLO,X,X,O,O,O,X,X,X,X,X,X,O,X
IZJSTOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZJSLTO,X,X,O,O,O,X,X,X,X,O,X,O,X
IZJSLOT,X,X,O,O,O,X,X,X,X,O,X,O,X
IZJSOTL,X,X,X,O,X,O,O,X,X,X,X,O,X
IZJSOLT,X,X,X,O,O,O,O,X,X,X,X,O,X
IZJOTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IZJOTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IZJOLTS,X,X,X,O,X,O,O,O,X,O,X,X,X
IZJOLST,X,O,X,O,O,O,O,O,X,O,X,O,X
IZJOSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IZJOSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
IZSTLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZSTJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZSTOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IZSTOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZSLTJO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,O,X,O,O,O,X,X,X,O,X,X
IZSLJTO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSLJOT,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSLOJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSJTLO,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSJTOL,X,X,X,O,X,O,O,X,O,X,X,O,X
IZSJLTO,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSJLOT,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSJOTL,X,X,X,O,X,O,O,X,X,X,X,O,X
IZSJOLT,X,X,X,O,O,O,O,X,X,X,X,O,X
IZSOTLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZSOTJL,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSOLJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSOJTL,X,X,X,O,X,O,O,X,X,X,X,O,X
IZSOJLT,X,X,X,O,O,O,O,X,X,X,X,O,X
IZOTLJS,O,X,O,X,X,O,O,X,O,X,O,X,X
IZOTLSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IZOTJLS,O,X,X,O,X,O,O,O,O,X,O,X,X
IZOTJSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IZOTSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IZOTSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IZOLTJS,O,X,O,X,X,O,O,X,X,X,O,X,X
IZOLTSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IZOLJTS,O,X,O,X,X,O,O,O,X,X,X,X,X
IZOLJST,O,X,O,X,O,O,O,O,X,X,X,O,X
IZOLSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZOLSJT,O,X,O,X,O,O,O,X,X,X,X,X,X
IZOJTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IZOJTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IZOJLTS,O,X,X,O,X,O,O,O,X,X,X,X,X
IZOJLST,O,X,X,O,O,O,O,O,X,X,X,O,X
IZOJSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOJSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSTLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IZOSTJL,X,X,X,O,X,O,O,X,X,X,X,X,X
IZOSLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IZOSLJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZOSJTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IZOSJLT,X,X,X,O,O,O,O,O,X,X,X,O,X
IOTLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
IOTLJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTLSJZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,O,X,O,X,O,X,X,X,O,X,X
IOTLZJS,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTLZSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOTJLSZ,O,X,X,O,X,X,X,O,X,X,X,X,O
IOTJLZS,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTJSLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
IOTJSZL,X,X,X,O,X,O,X,O,O,X,X,O,O
IOTJZLS,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTJZSL,X,X,X,O,X,O,O,O,O,X,X,O,O
IOTSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
IOTSJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTSZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
IOTSZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
IOTZLJS,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTZLSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOTZJLS,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTZJSL,X,X,X,O,X,O,O,O,O,X,X,O,O
IOTZSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IOTZSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
IOLTJZS,O,X,O,X,X,O,O,X,X,X,O,X,O
IOLTSJZ,O,X,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,O,X,O,X,O,X,X,X,O,X,X
IOLTZJS,O,X,O,X,X,O,O,X,X,X,O,X,O
IOLTZSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOLJTSZ,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLJTZS,O,X,O,X,X,O,O,O,X,X,X,X,X
IOLJSTZ,O,O,O,X,O,X,X,O,X,X,X,O,X
IOLJSZT,O,O,O,X,O,X,X,O,X,X,X,O,X
IOLJZTS,O,X,O,X,X,O,O,O,X,X,X,X,X
IOLJZST,O,O,O,X,O,O,O,O,X,X,X,O,X
IOLSTJZ,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,X,O,X,O,X,X,X,X,X,X
IOLSJTZ,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,O,X,O,X,X,X,X,X,X
IOLSZJT,O,X,O,X,O,X,O,X,X,X,X,X,X
IOLZTJS,O,X,O,X,X,O,O,X,X,X,O,X,O
IOLZTSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOLZJTS,O,X,O,X,X,O,O,O,X,X,X,X,X
IOLZJST,O,X,O,X,O,O,O,O,X,X,X,O,X
IOLZSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOLZSJT,O,X,O,X,O,O,O,X,X,X,X,X,X
IOJTLSZ,O,O,X,O,X,X,X,O,X,X,X,X,X
IOJTLZS,O,X,X,O,X,O,O,O,O,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IOJTSZL,X,X,X,O,X,O,X,O,O,X,X,O,X
IOJTZLS,O,X,X,O,X,O,O,O,O,X,X,X,X
IOJTZSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IOJLTSZ,O,O,X,O,X,X,X,O,X,X,X,X,X
IOJLTZS,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJLSTZ,O,O,X,O,O,X,X,O,X,X,X,O,X
IOJLSZT,O,O,X,O,O,X,X,O,X,X,X,O,X
IOJLZTS,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJLZST,O,O,X,O,O,O,O,O,X,X,X,O,X
IOJSTLZ,X,X,X,O,X,X,X,O,X,X,X,O,X
IOJSTZL,X,X,X,O,X,O,X,O,X,X,X,O,X
IOJSLTZ,X,O,X,O,X,X,X,O,X,X,X,O,X
IOJSLZT,X,O,X,O,X,X,X,O,X,X,X,O,X
IOJSZTL,X,X,X,O,X,O,X,O,X,X,X,O,X
IOJSZLT,X,X,X,O,X,O,X,O,X,X,X,O,X
IOJZTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IOJZTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IOJZLTS,O,X,X,O,X,O,O,O,X,X,X,X,X
IOJZLST,O,O,X,O,O,O,O,O,X,X,X,O,X
IOJZSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IOJZSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSTLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSLZJT,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,X,X,O,X
IOSJTZL,X,X,X,X,X,O,X,O,X,X,X,O,X
IOSJLTZ,X,X,X,X,O,X,X,O,X,X,X,O,X
IOSJLZT,X,X,X,X,O,X,X,O,X,X,X,O,X
IOSJZTL,X,X,X,X,X,O,X,O,X,X,X,O,X
IOSJZLT,X,X,X,X,O,O,X,O,X,X,X,O,X
IOSZTLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,O,O,X,X,X,X,X,X
IOSZLJT,X,X,X,X,O,O,O,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,O,O,O,X,X,X,O,X
IOSZJLT,X,X,X,X,O,O,O,O,X,X,X,O,X
IOZTLJS,O,X,O,X,X,O,O,X,O,X,O,X,O
IOZTLSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOZTJLS,O,X,X,O,X,O,O,O,O,X,O,X,O
IOZTJSL,X,X,X,O,X,O,O,O,O,X,X,O,O
IOZTSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
IOZTSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
IOZLTJS,O,X,O,X,X,O,O,X,X,X,O,X,O
IOZLTSJ,O,X,O,X,O,O,O,X,X,X,O,X,X
IOZLJTS,O,X,O,X,X,O,O,O,X,X,X,X,X
IOZLJST,O,X,O,X,O,O,O,O,X,X,X,O,X
IOZLSTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOZLSJT,O,X,O,X,O,O,O,X,X,X,X,X,X
IOZJTLS,X,X,X,O,X,O,O,O,O,X,X,X,X
IOZJTSL,X,X,X,O,X,O,O,O,O,X,X,O,X
IOZJLTS,O,X,X,O,X,O,O,O,X,X,X,X,X
IOZJLST,O,X,X,O,O,O,O,O,X,X,X,O,X
IOZJSTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZJSLT,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSTLJ,X,X,O,X,X,O,O,X,X,X,X,X,X
IOZSTJL,X,X,X,O,X,O,O,X,X,X,X,X,X
IOZSLTJ,X,X,O,X,O,O,O,X,X,X,X,X,X
IOZSLJT,X,X,O,X,O,O,O,X,X,X,X,X,X
IOZSJTL,X,X,X,O,X,O,O,O,X,X,X,O,X
IOZSJLT,X,X,X,O,O,O,O,O,X,X,X,O,X
LTIJSZO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIJZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTIJZOS,O,X,O,O,X,X,X,X,O,O,O,X,O
LTIJOSZ,X,O,O,O,X,X,X,X,X,X,X,X,O
LTIJOZS,O,X,O,O,X,X,X,X,O,O,O,X,O
LTISJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
LTISJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
LTISZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
LTISOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
LTIZJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTIZJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
LTIZSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
LTIZSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
LTIZOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
LTIZOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,X,X,O
LTIOJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
LTIOSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,O,X,O,X,X,X,O,X,X
LTIOZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
LTIOZSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
LTJISZO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJISOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJIZSO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJIZOS,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJIOSZ,X,O,O,O,X,X,X,O,X,X,X,X,O
LTJIOZS,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJSIZO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJSIOZ,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJSZOI,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJSOZI,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJZISO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJZIOS,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJZSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJZSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJZOSI,O,X,O,O,X,X,X,O,X,X,X,X,O
LTJOISZ,O,O,O,O,X,X,X,O,X,X,X,X,O
LTJOIZS,O,X,O,O,X,X,X,O,O,O,O,X,O
