sequence,v115@NhA8IeA8BeD8AeF8JeOEJvhF8kBRhBCjB9qBTrBXtB,v115@NhA8IeA8BeD8AeF8Jei/IvhFRhBunBcoB3kB9qBTrB,v115@NhA8IeA8BeD8AeF8JeNEJvhFUgBRhBCjBTmBXoBGqB,v115@NhA8IeA8BeD8AeF8JeNEJvhFRgBumBqnBTjBXlB8qB
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,X
TOJZILS,O,O,O,O
TOJZISL,O,O,O,X
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,O
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,O,O,O
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,X
TOSIJZL,O,O,O,X
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,O,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,O,O,O,O
TOSZIJL,O,O,O,O
TOSZLIJ,O,O,O,O
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,O,X,O
TOZILSJ,O,O,O,O
TOZIJLS,O,O,X,O
TOZIJSL,O,O,O,X
TOZISLJ,O,O,O,O
TOZISJL,O,O,O,O
TOZLIJS,O,O,X,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,X,O
TOZLJSI,O,O,X,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,O,O,O,O
TOZJISL,O,O,O,X
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,O
TOZJSIL,O,O,O,O
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,O
TOZSIJL,O,O,O,O
TOZSLIJ,O,O,O,O
TOZSLJI,O,O,O,O
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,X,O
ITLJZSO,X,X,X,O
ITLJZOS,X,X,X,O
ITLJOSZ,X,X,X,O
ITLJOZS,X,X,X,O
ITLSJZO,O,O,O,X
ITLSJOZ,X,X,X,O
ITLSZJO,O,O,O,X
ITLSZOJ,O,O,O,X
ITLSOJZ,X,X,X,O
ITLSOZJ,O,O,O,X
ITLZJSO,O,O,X,O
ITLZJOS,X,X,X,O
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,O,O
ITLZOJS,X,X,X,O
ITLZOSJ,X,X,X,O
ITLOJSZ,X,X,X,O
ITLOJZS,X,X,X,O
ITLOSJZ,X,X,X,O
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,O
ITLOZSJ,X,X,X,O
ITJLSZO,X,X,O,X
ITJLSOZ,X,X,O,O
ITJLZSO,X,X,O,O
ITJLZOS,X,X,X,O
ITJLOSZ,X,X,X,O
ITJLOZS,X,X,X,O
ITJSLZO,O,O,O,X
ITJSLOZ,X,X,O,O
ITJSZLO,O,O,O,X
ITJSZOL,O,O,O,X
ITJSOLZ,X,X,O,X
ITJSOZL,X,X,O,X
ITJZLSO,O,O,O,O
ITJZLOS,X,X,X,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,O,O
ITJZOLS,X,X,X,O
ITJZOSL,O,O,O,X
ITJOLSZ,X,X,X,O
ITJOLZS,X,X,X,O
ITJOSLZ,X,X,O,X
ITJOSZL,X,X,O,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,O,X
ITSLJZO,O,O,O,X
