sequence,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFxhBTjB3mB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFlhB3iB5oBetBzq?BCsB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFXiBTjBUmB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFzhB5nB8qB6tBOt?B3rB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFTjBqqB/rBFnBGt?B0sB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFRiBSoB8qB+rB/s?BTtB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB6tBGrBzs?B0qB,v115@9gB8HeC8GeC8GeC8CeA8Me6FJvhFThBxiBXnB8sB+t?BVwB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhF5oBFnB8sB6qBTr?BmsB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB8sB+tB6q?BTrB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnBGrBCtBTt?B0qB
TSJOLIZ,O,X,O,X,X,O,O,O,X,X,O
TSJOLZI,O,X,O,X,X,O,O,O,X,X,O
TSJOZIL,O,X,O,X,X,O,X,O,X,X,X
TSJOZLI,O,X,O,X,X,O,O,O,X,X,X
TSZILJO,O,X,X,O,X,X,X,X,X,X,X
TSZILOJ,O,X,O,O,X,X,X,X,X,X,X
TSZIJLO,O,X,X,O,X,X,X,X,X,X,X
TSZIJOL,O,X,X,O,X,X,X,X,X,X,X
TSZIOLJ,O,X,X,O,X,X,X,X,O,X,X
TSZIOJL,O,X,O,O,X,X,X,X,O,X,X
TSZLIJO,O,X,X,O,X,X,X,X,X,X,X
TSZLIOJ,O,X,O,O,X,X,X,X,X,X,X
TSZLJIO,O,X,O,O,X,X,X,X,X,X,X
TSZLJOI,O,X,O,O,X,X,O,X,X,X,X
TSZLOIJ,O,X,O,O,X,X,O,X,X,X,X
TSZLOJI,O,X,O,O,X,X,O,X,X,X,X
TSZJILO,O,X,O,O,X,O,X,X,X,X,X
TSZJIOL,O,X,O,O,X,O,X,X,X,X,X
TSZJLIO,O,X,O,O,X,O,X,X,X,X,X
TSZJLOI,O,X,O,O,X,O,X,X,X,X,X
TSZJOIL,O,X,O,O,X,O,X,X,X,X,X
TSZJOLI,O,X,O,O,X,O,X,X,X,X,X
TSZOILJ,O,X,X,O,X,X,X,X,O,X,X
TSZOIJL,O,X,O,O,X,X,X,X,O,X,X
TSZOLIJ,O,X,X,O,X,X,O,X,O,X,X
TSZOLJI,O,X,X,O,X,X,O,X,X,X,X
TSZOJIL,O,X,O,O,X,O,X,X,O,X,X
TSZOJLI,O,X,O,O,X,O,X,X,X,X,X
TSOILJZ,O,X,O,X,X,O,O,X,X,X,X
TSOILZJ,O,X,O,O,X,X,O,X,X,X,X
TSOIJLZ,O,X,O,X,X,O,X,X,X,X,X
TSOIJZL,O,X,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,X,X,O,X,X,X,X,O,X,X
TSOIZJL,O,X,O,O,X,X,X,X,O,X,X
TSOLIJZ,O,X,O,X,X,O,O,X,X,X,X
TSOLIZJ,O,X,O,O,X,X,O,X,X,X,X
TSOLJIZ,O,X,O,X,X,O,O,O,X,X,X
TSOLJZI,O,X,O,X,X,O,O,O,X,X,X
TSOLZIJ,O,X,O,O,X,X,O,X,O,X,X
TSOLZJI,O,X,O,O,X,X,O,X,X,X,X
TSOJILZ,O,X,O,X,X,O,O,O,X,X,X
TSOJIZL,O,X,O,X,X,O,X,X,X,X,X
TSOJLIZ,O,X,O,X,X,O,O,O,X,X,X
TSOJLZI,O,X,O,X,X,O,O,O,X,X,X
TSOJZIL,O,X,O,X,X,O,X,O,O,X,X
TSOJZLI,O,X,O,X,X,O,O,O,X,X,X
TSOZILJ,O,X,X,O,X,X,X,X,O,X,X
TSOZIJL,O,X,O,O,X,X,X,X,O,X,X
TSOZLIJ,O,X,X,O,X,X,O,X,O,X,X
TSOZLJI,O,X,X,O,X,X,O,X,X,X,X
TSOZJIL,O,X,O,O,X,O,X,X,O,X,X
TSOZJLI,O,X,O,O,X,O,X,X,X,X,X
TZILJSO,O,O,X,O,X,X,X,X,X,X,X
TZILJOS,O,O,X,X,X,X,X,X,X,X,X
TZILSJO,O,X,X,O,X,X,X,X,X,X,X
TZILSOJ,O,X,O,O,X,X,X,X,X,X,X
TZILOJS,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,O,X,O,O,X,X,X,X,O,X,X
TZIJLSO,O,O,X,O,X,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,O,X,O,X,X,X,X,X
TZIJSOL,O,O,X,O,X,O,X,X,X,X,X
TZIJOLS,O,X,X,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,O,X,X,O,X,X
TZISLJO,O,X,X,O,X,X,X,X,X,X,X
TZISLOJ,O,X,O,O,X,X,X,X,X,X,X
TZISJLO,O,O,X,O,X,X,X,X,X,X,X
TZISJOL,O,O,X,O,X,X,X,X,X,X,X
TZISOLJ,O,X,X,O,X,X,X,X,O,X,X
TZISOJL,O,X,O,O,X,X,X,X,O,X,X
TZIOLJS,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X,O,X,X
TZIOJLS,O,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,O,X,X,O,X,X
TZIOSLJ,O,X,X,O,X,X,X,X,O,X,X
TZIOSJL,O,X,O,O,X,X,X,X,O,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X,X,X
TZLIJOS,O,O,X,X,X,X,X,X,X,X,X
TZLISJO,O,X,X,O,X,X,X,X,X,X,X
TZLISOJ,O,X,O,O,X,X,X,X,X,X,X
TZLIOJS,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,O,X,O,O,X,X,X,X,O,X,X
TZLJISO,O,O,O,O,X,X,X,O,X,X,X
TZLJIOS,O,O,O,X,X,X,X,O,X,X,X
TZLJSIO,O,O,O,X,X,O,X,O,X,X,X
TZLJSOI,O,O,O,X,X,O,O,O,X,X,O
TZLJOIS,O,O,O,X,X,X,X,O,X,X,O
TZLJOSI,O,O,O,X,X,O,X,O,X,X,O
TZLSIJO,O,X,X,O,X,X,X,X,X,X,X
TZLSIOJ,O,X,O,O,X,X,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X,X,X,X
TZLSJOI,O,O,O,X,X,X,O,X,X,X,X
TZLSOIJ,O,X,O,X,X,X,O,X,X,X,X
TZLSOJI,O,X,O,X,X,X,O,X,X,X,X
TZLOIJS,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,O,O,X,X,X,X,O,X,X
TZLOJIS,O,O,O,X,X,X,X,O,X,X,X
TZLOJSI,O,O,O,X,X,O,X,O,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X,O,X,X
TZLOSJI,O,X,O,X,X,X,X,X,X,X,X
TZJILSO,O,O,O,O,X,X,X,O,X,X,X
TZJILOS,O,O,O,X,X,X,X,O,X,X,X
TZJISLO,O,O,O,O,X,O,X,O,X,X,X
TZJISOL,O,O,O,O,X,O,X,O,X,X,X
TZJIOLS,O,X,O,X,X,X,X,O,X,X,X
TZJIOSL,O,O,O,X,X,O,X,O,O,X,X
TZJLISO,O,O,O,O,X,X,X,O,X,X,X
TZJLIOS,O,O,O,X,X,X,X,O,X,X,X
TZJLSIO,O,O,O,X,X,O,X,O,X,X,X
TZJLSOI,O,O,O,X,X,O,O,O,X,X,O
TZJLOIS,O,O,O,X,X,X,X,O,X,X,O
TZJLOSI,O,O,O,X,X,O,X,O,X,X,O
TZJSILO,O,O,O,X,X,O,X,O,X,X,X
TZJSIOL,O,O,O,X,X,O,X,O,X,X,X
TZJSLIO,O,O,O,X,X,O,X,O,X,X,X
TZJSLOI,O,O,O,X,X,O,O,O,X,X,O
TZJSOIL,O,O,O,X,X,O,X,O,X,X,X
TZJSOLI,O,X,O,X,X,O,O,O,X,X,X
TZJOILS,O,X,O,X,X,X,X,O,X,X,X
TZJOISL,O,O,O,X,X,O,X,O,O,X,X
TZJOLIS,O,X,O,X,X,X,O,O,X,X,X
TZJOLSI,O,X,O,X,X,O,O,O,X,X,X
TZJOSIL,O,O,O,X,X,O,X,O,O,X,X
TZJOSLI,O,X,O,X,X,O,O,O,X,X,X
TZSILJO,O,X,X,O,X,X,X,X,X,X,X
TZSILOJ,O,X,O,O,X,X,X,X,X,X,X
TZSIJLO,O,O,X,O,X,X,X,X,X,X,X
TZSIJOL,O,O,X,O,X,X,X,X,X,X,X
TZSIOLJ,O,X,X,O,X,X,X,X,O,X,X
TZSIOJL,O,X,O,O,X,X,X,X,O,X,X
TZSLIJO,O,X,X,O,X,X,X,X,X,X,X
TZSLIOJ,O,X,O,O,X,X,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,O,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,O,X,X,X,X
TZSLOJI,O,X,O,X,X,X,O,X,X,X,X
TZSJILO,O,O,O,X,X,O,X,X,X,X,X
TZSJIOL,O,O,O,X,X,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,O,X,X,X,X,X
TZSJLOI,O,X,O,X,X,O,X,X,X,X,X
TZSJOIL,O,O,O,X,X,O,X,X,X,X,X
TZSJOLI,O,X,O,X,X,O,X,X,X,X,X
TZSOILJ,O,X,X,X,X,X,X,X,O,X,X
TZSOIJL,O,X,O,X,X,X,X,X,O,X,X
TZSOLIJ,O,X,X,X,X,X,O,X,O,X,X
TZSOLJI,O,X,X,X,X,X,O,X,X,X,X
TZSOJIL,O,X,O,X,X,O,X,X,O,X,X
TZSOJLI,O,X,O,X,X,O,X,X,X,X,X
TZOILJS,O,X,X,X,X,X,X,X,X,X,X
TZOILSJ,O,X,X,O,X,X,X,X,O,X,X
TZOIJLS,O,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,O,X,X,O,X,X
TZOISLJ,O,X,X,O,X,X,X,X,O,X,X
TZOISJL,O,X,O,O,X,X,X,X,O,X,X
TZOLIJS,O,X,X,X,X,X,O,X,X,X,X
TZOLISJ,O,X,X,O,X,X,O,X,O,X,X
TZOLJIS,O,O,X,X,X,X,O,O,X,X,X
TZOLJSI,O,O,X,X,X,O,O,O,X,X,X
TZOLSIJ,O,X,X,X,X,X,O,X,O,X,X
TZOLSJI,O,X,X,X,X,X,O,X,X,X,X
TZOJILS,O,X,O,X,X,X,X,O,X,X,X
TZOJISL,O,O,O,X,X,O,X,O,O,X,X
TZOJLIS,O,X,O,X,X,X,O,O,X,X,X
TZOJLSI,O,X,O,X,X,O,O,O,X,X,X
TZOJSIL,O,O,O,X,X,O,X,O,O,X,X
TZOJSLI,O,X,O,X,X,O,O,O,X,X,X
TZOSILJ,O,X,X,X,X,X,X,X,O,X,X
TZOSIJL,O,X,O,X,X,X,X,X,O,X,X
TZOSLIJ,O,X,X,X,X,X,O,X,O,X,X
TZOSLJI,O,X,X,X,X,X,O,X,X,X,X
TZOSJIL,O,X,O,X,X,O,X,X,O,X,X
TZOSJLI,O,X,O,X,X,O,X,X,X,X,X
TOILJSZ,O,X,O,X,X,X,O,O,X,X,X
TOILJZS,O,X,X,X,X,X,O,O,X,X,X
TOILSJZ,O,X,O,X,X,X,O,X,X,X,X
TOILSZJ,O,X,O,X,X,X,O,X,X,X,X
TOILZJS,O,X,X,X,X,X,O,X,X,X,X
TOILZSJ,O,X,O,O,X,X,O,X,X,X,X
TOIJLSZ,O,O,O,X,X,X,O,O,X,X,X
TOIJLZS,O,O,X,X,X,X,O,O,X,X,X
TOIJSLZ,O,O,O,X,X,X,O,O,X,X,X
TOIJSZL,O,O,O,X,X,X,X,X,X,X,X
TOIJZLS,O,O,O,X,X,X,X,O,X,X,X
TOIJZSL,O,O,O,X,X,X,X,O,X,X,X
TOISLJZ,X,X,O,X,X,X,O,X,X,X,X
TOISLZJ,O,X,O,X,X,X,O,X,X,X,X
TOISJLZ,O,X,O,X,X,X,X,X,X,X,X
TOISJZL,O,X,O,X,X,X,X,X,X,X,X
TOISZLJ,O,X,X,X,X,X,X,X,O,X,X
TOISZJL,O,X,O,X,X,X,X,X,O,X,X
TOIZLJS,O,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,O,X,X,O,X,X,X,X,O,X,X
TOIZJLS,O,O,X,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,O,X,X,O,X,X
TOIZSLJ,O,X,X,O,X,X,X,X,O,X,X
TOIZSJL,O,O,O,O,X,X,X,X,O,X,X
TOLIJSZ,O,O,O,X,X,X,O,O,X,X,X
TOLIJZS,O,O,O,X,X,X,O,O,X,X,X
TOLISJZ,O,X,O,X,X,X,O,X,X,X,X
TOLISZJ,O,X,O,X,X,X,O,X,X,X,X
TOLIZJS,O,O,X,X,X,X,O,X,X,X,X
TOLIZSJ,O,X,O,O,X,X,O,X,X,X,X
TOLJISZ,O,O,O,X,X,X,O,O,X,X,O
TOLJIZS,O,O,O,X,X,X,O,O,X,X,O
TOLJSIZ,O,O,O,X,X,X,O,O,X,X,O
TOLJSZI,O,O,O,X,X,X,O,O,X,X,O
TOLJZIS,O,O,O,X,X,X,O,O,X,X,O
TOLJZSI,O,O,O,X,X,X,O,O,X,X,O
TOLSIJZ,O,X,O,X,X,X,O,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,O,X,X,X,X
TOLSJIZ,O,O,O,X,X,X,O,O,X,X,X
TOLSJZI,O,O,O,X,X,X,O,O,X,X,X
TOLSZIJ,O,X,O,X,X,X,O,X,O,X,X
TOLSZJI,O,O,O,X,X,X,O,X,X,X,X
TOLZIJS,O,O,X,X,X,X,O,X,X,X,X
TOLZISJ,O,X,O,O,X,X,O,X,O,X,X
TOLZJIS,O,O,O,X,X,X,O,O,X,X,X
TOLZJSI,O,O,O,X,X,O,O,O,X,X,X
TOLZSIJ,O,X,O,X,X,X,O,X,O,X,X
TOLZSJI,O,O,O,X,X,X,O,X,X,X,X
TOJILSZ,O,O,O,X,X,X,O,O,X,X,X
TOJILZS,O,O,O,X,X,X,O,O,X,X,X
TOJISLZ,O,O,O,X,X,X,O,O,X,X,X
TOJISZL,O,O,O,X,X,X,X,X,X,X,X
TOJIZLS,O,O,O,X,X,X,X,O,X,X,X
TOJIZSL,O,O,O,X,X,X,X,O,X,X,X
TOJLISZ,O,O,O,X,X,X,O,O,X,X,O
TOJLIZS,O,O,O,X,X,X,O,O,X,X,O
TOJLSIZ,O,O,O,X,X,X,O,O,X,X,O
TOJLSZI,O,O,O,X,X,X,O,O,X,X,O
TOJLZIS,O,O,O,X,X,X,O,O,X,X,O
TOJLZSI,O,O,O,X,X,X,O,O,X,X,O
TOJSILZ,O,O,O,X,X,O,O,O,X,X,X
TOJSIZL,O,O,O,X,X,O,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,O,O,O,X,X,O
TOJSLZI,O,O,O,X,X,O,O,O,X,X,O
TOJSZIL,O,O,O,X,X,O,X,O,O,O,X
TOJSZLI,O,O,O,X,X,O,O,O,X,O,X
TOJZILS,O,O,O,X,X,X,X,O,X,O,X
TOJZISL,O,O,O,X,X,O,X,O,O,O,X
TOJZLIS,O,O,O,X,X,X,O,O,X,O,X
TOJZLSI,O,O,O,X,X,O,O,O,X,O,X
TOJZSIL,O,O,O,X,X,O,X,O,O,O,X
TOJZSLI,O,O,O,X,X,O,O,O,X,O,X
TOSILJZ,O,X,O,X,X,O,O,X,X,X,X
TOSILZJ,O,X,O,X,X,X,O,X,X,X,X
TOSIJLZ,O,X,O,X,X,O,X,X,X,X,X
TOSIJZL,O,X,O,X,X,O,X,X,X,X,X
TOSIZLJ,O,X,X,X,X,X,X,X,O,X,X
TOSIZJL,O,X,O,X,X,X,X,X,O,X,X
TOSLIJZ,O,X,O,X,X,O,O,X,X,X,X
TOSLIZJ,O,X,O,X,X,X,O,X,X,X,X
TOSLJIZ,O,X,O,X,X,O,O,O,X,X,X
TOSLJZI,O,X,O,X,X,O,O,O,X,X,X
TOSLZIJ,O,X,O,X,X,X,O,X,O,X,X
TOSLZJI,O,X,O,X,X,X,O,X,X,X,X
TOSJILZ,O,X,O,X,X,O,O,O,X,X,X
TOSJIZL,O,X,O,X,X,O,X,X,X,X,X
TOSJLIZ,O,X,O,X,X,O,O,O,X,X,X
TOSJLZI,O,X,O,X,X,O,O,O,X,X,X
TOSJZIL,O,X,O,X,X,O,X,O,O,O,X
TOSJZLI,O,X,O,X,X,O,O,O,X,O,X
TOSZILJ,O,X,X,X,X,X,X,X,O,X,X
TOSZIJL,O,X,O,X,X,X,X,X,O,X,X
TOSZLIJ,O,X,X,X,X,X,O,X,O,X,X
TOSZLJI,O,X,X,X,X,X,O,X,X,X,X
TOSZJIL,O,X,O,X,X,O,X,X,O,X,X
TOSZJLI,O,X,O,X,X,O,X,X,X,X,X
TOZILJS,O,O,X,X,X,X,X,X,X,X,X
TOZILSJ,O,X,X,O,X,X,X,X,O,X,X
TOZIJLS,O,O,X,X,X,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,O,X,X,O,X,X
TOZISLJ,O,X,X,O,X,X,X,X,O,X,X
TOZISJL,O,O,O,O,X,X,X,X,O,X,X
TOZLIJS,O,O,X,X,X,X,O,X,X,X,X
TOZLISJ,O,X,X,O,X,X,O,X,O,X,X
TOZLJIS,O,O,X,X,X,X,O,O,X,X,X
TOZLJSI,O,O,X,X,X,O,O,O,X,X,X
TOZLSIJ,O,X,X,X,X,X,O,X,O,X,X
TOZLSJI,O,O,X,X,X,X,O,X,X,X,X
TOZJILS,O,O,O,X,X,X,X,O,X,X,X
TOZJISL,O,O,O,X,X,O,X,O,O,X,X
TOZJLIS,O,O,O,X,X,X,O,O,X,X,X
TOZJLSI,O,O,O,X,X,O,O,O,X,X,X
TOZJSIL,O,O,O,X,X,O,X,O,O,X,X
TOZJSLI,O,O,O,X,X,O,O,O,X,X,X
TOZSILJ,O,X,X,X,X,X,X,X,O,X,X
TOZSIJL,O,O,O,X,X,X,X,X,O,X,X
TOZSLIJ,O,X,X,X,X,X,O,X,O,X,X
TOZSLJI,O,O,X,X,X,X,O,X,X,X,X
TOZSJIL,O,O,O,X,X,O,X,X,O,X,X
TOZSJLI,O,O,O,X,X,O,X,X,X,X,X
ITLJSZO,O,X,O,X,O,X,X,O,X,X,X
ITLJSOZ,O,X,O,X,O,X,O,O,X,X,O
ITLJZSO,O,X,O,O,X,X,X,O,X,X,X
ITLJZOS,O,X,O,X,X,X,X,O,X,X,X
ITLJOSZ,O,X,O,X,O,X,X,O,X,X,O
ITLJOZS,O,X,O,X,X,X,X,O,X,X,O
ITLSJZO,O,X,O,X,O,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,O,X,O,X,X,X,X
ITLSZJO,O,X,X,O,O,X,X,X,X,X,X
ITLSZOJ,O,X,O,O,X,X,X,X,X,X,X
ITLSOJZ,O,X,O,X,O,X,O,X,X,X,X
ITLSOZJ,O,X,O,O,X,X,O,X,X,X,X
ITLZJSO,O,X,X,O,X,X,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,X,X,O,X,X,X,X,X,X,X
ITLZSOJ,O,X,O,O,X,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,X,O,O,X,X,X,X,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,O,X,X,X
ITLOJZS,O,X,O,X,X,X,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,O,X,X,X,X,X,X,X
ITJLSZO,O,O,O,X,O,X,X,O,X,X,X
ITJLSOZ,O,O,O,X,O,X,O,O,X,X,O
ITJLZSO,O,O,O,O,X,X,X,O,X,X,X
ITJLZOS,O,O,O,X,X,X,X,O,X,X,X
ITJLOSZ,O,O,O,X,O,X,X,O,X,X,O
ITJLOZS,O,O,O,X,X,X,X,O,X,X,O
ITJSLZO,O,O,O,X,X,X,X,O,X,X,X
ITJSLOZ,O,O,O,X,X,X,O,O,X,X,O
ITJSZLO,O,O,O,X,X,X,X,O,X,X,X
ITJSZOL,O,O,O,X,X,X,X,O,X,X,X
ITJSOLZ,O,O,O,X,X,X,O,O,X,X,X
ITJSOZL,O,O,O,X,X,X,X,X,X,X,X
ITJZLSO,O,O,O,O,X,X,X,O,X,X,X
ITJZLOS,O,O,O,X,X,X,X,O,X,X,X
ITJZSLO,O,O,O,O,X,X,X,O,X,X,X
ITJZSOL,O,O,O,O,X,X,X,O,X,X,X
ITJZOLS,O,X,O,X,X,X,X,O,X,X,X
ITJZOSL,O,O,O,X,X,X,X,O,X,X,X
ITJOLSZ,O,O,O,X,O,X,O,O,X,X,X
ITJOLZS,O,O,O,X,X,X,O,O,X,X,X
ITJOSLZ,O,O,O,X,X,X,O,O,X,X,X
ITJOSZL,O,O,O,X,X,X,X,X,X,X,X
ITJOZLS,O,O,O,X,X,X,X,O,X,X,X
ITJOZSL,O,O,O,X,X,X,X,O,X,X,X
ITSLJZO,O,X,O,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,O,X,X,X,O,X,X,X,X
ITSLZJO,O,X,X,O,X,X,X,X,X,X,X
ITSLZOJ,O,X,O,O,X,X,X,X,X,X,X
ITSLOJZ,O,X,O,X,X,X,O,X,X,X,X
ITSLOZJ,O,X,O,O,X,X,O,X,X,X,X
ITSJLZO,O,X,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,O,X,X,X,X,X,X,X,X
ITSJZLO,O,X,O,X,X,X,X,X,X,X,X
ITSJZOL,O,X,O,X,X,X,X,X,X,X,X
ITSJOLZ,O,X,O,X,X,X,X,X,X,X,X
ITSJOZL,O,X,O,X,X,X,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,O,O,X,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,X,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X,X
ITSZOJL,O,X,O,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,O,X,X,X,O,X,X,X,X
ITSOLZJ,O,X,O,O,X,X,O,X,X,X,X
ITSOJLZ,O,X,O,X,X,X,X,X,X,X,X
ITSOJZL,O,X,O,X,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,X,X,X,X
ITSOZJL,O,X,O,O,X,X,X,X,X,X,X
ITZLJSO,O,O,X,O,X,X,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X,X,X,X,X,X
ITZLSJO,O,X,X,O,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,O,X,X,X,X,X,X,X
ITZLOJS,O,X,X,X,X,X,X,X,X,X,X
ITZLOSJ,O,X,O,O,X,X,X,X,O,X,X
ITZJLSO,O,O,X,O,X,X,X,X,X,X,X
ITZJLOS,O,O,X,X,X,X,X,X,X,X,X
ITZJSLO,O,O,X,O,X,O,X,X,X,X,X
ITZJSOL,O,O,X,O,X,O,X,X,X,X,X
ITZJOLS,O,X,X,X,X,X,X,X,X,X,X
ITZJOSL,O,O,X,X,X,O,X,X,O,X,X
ITZSLJO,O,X,X,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,O,X,X,X,X,X,X,X
ITZSJLO,O,O,X,O,X,X,X,X,X,X,X
ITZSJOL,O,O,X,O,X,X,X,X,X,X,X
ITZSOLJ,O,X,X,O,X,X,X,X,O,X,X
ITZSOJL,O,X,O,O,X,X,X,X,O,X,X
ITZOLJS,O,X,X,X,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,O,X,X,X,X,O,X,X
ITZOJLS,O,X,X,X,X,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,O,X,X,O,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,O,X,X
ITZOSJL,O,X,O,O,X,X,X,X,O,X,X
ITOLJSZ,O,X,O,X,X,X,O,O,X,X,X
ITOLJZS,O,X,X,X,X,X,O,O,X,X,X
ITOLSJZ,O,X,O,X,X,X,O,X,X,X,X
ITOLSZJ,O,X,O,X,X,X,O,X,X,X,X
ITOLZJS,O,X,X,X,X,X,O,X,X,X,X
ITOLZSJ,O,X,O,O,X,X,O,X,X,X,X
ITOJLSZ,O,O,O,X,X,X,O,O,X,X,X
ITOJLZS,O,O,X,X,X,X,O,O,X,X,X
ITOJSLZ,O,O,O,X,X,X,O,O,X,X,X
ITOJSZL,O,O,O,X,X,X,X,X,X,X,X
ITOJZLS,O,O,O,X,X,X,X,O,X,X,X
ITOJZSL,O,O,O,X,X,X,X,O,X,X,X
ITOSLJZ,X,X,O,X,X,X,O,X,X,X,X
ITOSLZJ,O,X,O,X,X,X,O,X,X,X,X
ITOSJLZ,O,X,O,X,X,X,X,X,X,X,X
ITOSJZL,O,X,O,X,X,X,X,X,X,X,X
ITOSZLJ,O,X,X,X,X,X,X,X,O,X,X
ITOSZJL,O,X,O,X,X,X,X,X,O,X,X
ITOZLJS,O,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,X,X,O,X,X,X,X,O,X,X
ITOZJLS,O,O,X,X,X,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,O,X,X,O,X,X
ITOZSLJ,O,X,X,O,X,X,X,X,O,X,X
ITOZSJL,O,O,O,O,X,X,X,X,O,X,X
ILTJSZO,O,O,O,X,O,X,X,X,X,X,X
ILTJSOZ,O,O,O,X,O,X,O,X,X,X,O
ILTJZSO,O,O,O,O,X,X,X,X,X,X,X
ILTJZOS,O,O,O,X,X,X,X,X,X,X,X
ILTJOSZ,O,O,O,X,O,X,X,X,X,X,O
ILTJOZS,O,O,O,X,X,X,X,X,X,X,O
ILTSJZO,O,X,O,X,O,X,X,X,X,X,X
ILTSJOZ,O,X,O,X,O,X,O,X,X,X,X
ILTSZJO,O,X,X,O,O,X,X,X,X,X,X
ILTSZOJ,O,X,O,O,X,X,X,X,X,X,X
ILTSOJZ,O,X,O,X,O,X,O,X,X,X,X
ILTSOZJ,O,X,O,O,X,X,O,X,X,X,X
ILTZJSO,O,O,X,O,X,X,X,X,X,X,X
ILTZJOS,O,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,X,O,X,X,X,X,X,X,X
ILTZSOJ,O,X,O,O,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,O,O,X,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X,X
ILTOJZS,O,X,O,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,O,O,X,X,X,X,X,X,X
ILJTSZO,O,O,O,X,O,X,X,X,X,X,X
ILJTSOZ,O,O,O,X,O,X,O,X,X,X,O
ILJTZSO,O,O,O,O,X,X,X,X,X,X,X
ILJTZOS,O,O,O,X,X,X,X,X,X,X,X
ILJTOSZ,O,O,O,X,O,X,X,X,X,X,O
ILJTOZS,O,O,O,X,X,X,X,X,X,X,O
ILJSTZO,X,O,O,X,O,X,X,X,X,X,X
ILJSTOZ,X,O,O,X,O,X,O,X,X,X,O
ILJSZTO,X,O,O,O,O,X,X,X,X,X,X
