sequence,v115@OhC8GeC8CeA8AeE8Jei/IvhFzgBfnBxiBcpBeqBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBzgBfnBxnByuBFrB,v115@OhC8GeC8CeA8AeE8JeT/IvhF0hBxiBllBXlB2uBirB,v115@OhC8GeC8CeA8AeE8Jei/IvhFFhBxiBcpBzmBmqBXqB,v115@OhC8GeC8CeA8AeE8Jem/IvhFzgBfnBxiBipBFrB0pB,v115@OhC8GeC8CeA8AeE8JeyEJvhFzgBfnB0kBxnB2uBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBFhBxiBfrBzmByuB,v115@OhC8GeC8CeA8AeE8JezAJvhFfnBxiBmkB0pBFrBipB,v115@OhC8GeC8CeA8AeE8Je/EJvhFUgBxiByqBzmB2uBFrB,v115@OhC8GeC8CeA8AeE8JeFBJvhFxiBmkBfrBzmB0pBipB,v115@OhC8GeC8CeA8AeE8JefHJvhFxiBikBUmBFqBTpBmqB
TJZOILS,O,X,O,O,X,X,X,X,X,X,X
TJZOISL,O,X,O,O,X,X,X,O,X,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,O,X,O,X,X,X
TJZOSIL,O,X,O,O,X,O,X,O,X,X,X
TJZOSLI,O,X,O,O,X,O,X,O,X,X,X
TJOILSZ,X,X,O,X,X,O,X,X,O,X,X
TJOILZS,X,X,O,O,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,O,X,X,O,X,X
TJOISZL,O,X,O,O,X,O,X,X,O,X,X
TJOIZLS,O,X,O,O,X,X,X,X,X,X,X
TJOIZSL,O,X,O,O,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,O,O,X,X,O,X,X
TJOLIZS,X,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,O,O,X,X,O,X,X
TJOLSZI,O,O,O,X,O,O,X,X,O,X,X
TJOLZIS,O,O,O,O,X,X,X,X,X,X,X
TJOLZSI,O,O,O,O,O,O,X,X,X,X,X
TJOSILZ,O,O,X,X,O,O,X,X,O,X,X
TJOSIZL,O,X,O,O,X,O,X,O,O,X,X
TJOSLIZ,O,O,O,X,O,O,X,X,O,X,X
TJOSLZI,O,O,O,X,O,O,X,X,O,X,X
TJOSZIL,O,X,O,O,X,O,X,O,O,X,X
TJOSZLI,O,X,O,O,X,O,X,O,O,X,X
TJOZILS,O,X,O,O,X,X,X,X,X,X,X
TJOZISL,O,X,O,O,X,X,X,O,X,X,X
TJOZLIS,O,X,O,O,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,O,X,O,X,X,X
TJOZSIL,O,X,O,O,X,O,X,O,X,X,X
TJOZSLI,O,X,O,O,X,O,X,O,X,X,X
TSILJZO,O,O,X,X,O,O,O,X,X,X,X
TSILJOZ,O,O,X,X,O,O,X,X,X,X,X
TSILZJO,O,O,X,X,O,X,O,O,X,X,X
TSILZOJ,X,O,X,X,O,X,O,O,X,X,X
TSILOJZ,O,O,X,X,O,O,X,X,X,X,X
TSILOZJ,X,O,X,X,O,X,O,O,X,X,X
TSIJLZO,O,O,X,X,O,O,O,X,X,X,X
TSIJLOZ,O,O,X,X,O,O,X,X,X,X,X
TSIJZLO,O,X,X,X,X,O,X,O,X,X,X
TSIJZOL,O,X,O,X,X,O,X,O,X,X,X
TSIJOLZ,O,O,X,X,O,O,X,X,X,X,X
TSIJOZL,O,X,O,X,X,O,X,O,X,X,X
TSIZLJO,O,O,X,X,O,X,O,O,X,X,O
TSIZLOJ,X,O,X,X,O,X,O,O,X,X,O
TSIZJLO,O,X,X,X,X,O,X,O,X,X,O
TSIZJOL,O,X,O,X,X,O,X,O,X,X,X
TSIZOLJ,X,O,X,X,O,X,X,O,X,X,O
TSIZOJL,O,X,X,X,X,O,X,O,X,X,X
TSIOLJZ,O,O,X,X,O,O,X,X,X,X,X
TSIOLZJ,X,O,X,X,O,X,O,O,X,X,X
TSIOJLZ,O,O,X,X,O,O,X,X,X,X,X
TSIOJZL,O,X,X,X,X,O,X,O,X,X,X
TSIOZLJ,X,O,X,X,O,X,X,O,X,X,X
TSIOZJL,O,X,X,X,X,O,X,O,X,X,X
TSLIJZO,O,O,O,X,O,O,O,X,X,X,X
TSLIJOZ,O,O,O,X,O,O,X,X,X,X,X
TSLIZJO,O,O,O,X,O,X,O,O,X,X,X
TSLIZOJ,X,O,X,X,O,X,O,O,X,X,X
TSLIOJZ,O,O,X,X,O,O,X,X,X,X,X
TSLIOZJ,X,O,X,X,O,X,O,O,X,X,X
TSLJIZO,O,O,O,X,O,O,O,X,X,X,X
TSLJIOZ,O,O,O,X,O,O,X,X,X,X,X
TSLJZIO,O,O,O,X,O,O,O,X,X,X,X
TSLJZOI,O,O,O,X,O,O,O,X,X,X,X
TSLJOIZ,O,O,O,X,O,O,X,X,X,X,X
TSLJOZI,O,O,O,X,O,O,X,X,X,X,X
TSLZIJO,O,O,O,X,O,X,O,O,X,X,O
TSLZIOJ,X,O,X,X,O,X,O,O,X,X,O
TSLZJIO,O,O,O,X,O,X,O,O,X,X,O
