sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
TSIZLOJ,X,X,X,O,X
TSIZJLO,O,X,X,X,X
TSIZJOL,O,X,X,X,X
TSIZOLJ,O,X,X,O,X
TSIZOJL,O,X,X,X,X
TSIOLJZ,X,X,O,O,X
TSIOLZJ,X,X,X,O,X
TSIOJLZ,X,X,O,X,X
TSIOJZL,O,X,X,X,X
TSIOZLJ,O,X,X,O,X
TSIOZJL,O,X,X,X,X
TSLIJZO,X,X,O,O,O
TSLIJOZ,X,X,O,O,O
TSLIZJO,X,X,X,O,X
TSLIZOJ,X,X,X,O,X
TSLIOJZ,X,X,O,O,O
TSLIOZJ,X,X,X,O,X
TSLJIZO,X,X,O,O,O
TSLJIOZ,X,X,O,O,O
TSLJZIO,O,X,X,O,O
TSLJZOI,O,X,X,O,O
TSLJOIZ,X,X,O,O,O
TSLJOZI,O,X,X,O,O
TSLZIJO,O,X,X,O,X
TSLZIOJ,X,X,X,O,X
TSLZJIO,O,X,X,O,X
TSLZJOI,O,X,X,O,X
TSLZOIJ,O,X,X,O,X
TSLZOJI,O,X,X,O,X
TSLOIJZ,X,X,O,O,O
TSLOIZJ,X,X,X,O,X
TSLOJIZ,X,X,O,O,O
TSLOJZI,O,X,X,O,O
TSLOZIJ,O,X,X,O,X
TSLOZJI,O,X,X,O,X
TSJILZO,X,X,O,X,X
TSJILOZ,X,X,O,X,X
TSJIZLO,O,X,X,X,X
TSJIZOL,O,X,X,X,X
TSJIOLZ,X,X,O,X,X
TSJIOZL,O,X,X,X,X
TSJLIZO,X,X,O,O,O
TSJLIOZ,X,X,O,O,O
TSJLZIO,O,X,X,O,O
TSJLZOI,O,X,X,O,O
TSJLOIZ,X,X,O,O,O
TSJLOZI,O,X,X,O,O
TSJZILO,O,X,X,X,X
TSJZIOL,O,X,X,X,X
TSJZLIO,O,X,X,O,X
TSJZLOI,O,X,X,O,X
TSJZOIL,O,X,X,X,X
TSJZOLI,O,X,X,O,X
TSJOILZ,X,X,O,X,X
TSJOIZL,O,X,X,X,X
TSJOLIZ,X,X,O,O,O
TSJOLZI,O,X,X,O,O
TSJOZIL,O,X,X,X,X
TSJOZLI,O,X,X,O,X
TSZILJO,O,X,X,O,X
TSZILOJ,X,X,X,O,X
TSZIJLO,O,X,X,X,X
TSZIJOL,O,X,X,X,X
TSZIOLJ,O,X,X,O,X
TSZIOJL,O,X,X,X,X
TSZLIJO,O,X,X,O,X
TSZLIOJ,X,X,X,O,X
TSZLJIO,O,X,X,O,X
TSZLJOI,O,X,X,O,X
