sequence,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFRhBGjB3mBznB0q?BiqB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhFmhBCjBTmBXoB0q?BFqB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhF3gBzhBunBcoBxq?ByvB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhF8mBqnBTjBFlB3q?BOrB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFymBGjBznBxqBcq?BXrB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFqnBTjBRmBllB3m?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFSoBRmBllB3mBzn?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFxhBTjBKqBGmB0n?BfrB,v115@HhA8IeB8DeA8BeC8CeE8JeUBJvhFFlBxnBCnBXoBzq?BmpB
TZIOJSL,O,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,O,O,X,X,X,X
TZIOSJL,O,O,O,X,O,X,X,X,X
TZLIJSO,X,X,O,X,X,X,O,X,X
TZLIJOS,X,X,O,X,X,X,O,O,X
TZLISJO,X,X,O,O,X,X,O,X,X
TZLISOJ,X,X,O,O,X,X,O,X,X
TZLIOJS,X,X,O,X,O,O,O,O,X
TZLIOSJ,X,X,O,O,O,O,O,X,X
TZLJISO,X,X,O,X,X,X,O,X,X
TZLJIOS,X,X,O,X,X,O,O,O,X
TZLJSIO,O,X,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X,O,X
TZLJOIS,X,X,O,X,X,O,X,O,X
TZLJOSI,X,X,X,X,X,X,X,O,X
TZLSIJO,O,X,X,O,X,X,X,X,X
TZLSIOJ,O,X,X,O,X,X,X,X,X
TZLSJIO,O,X,X,O,X,X,X,X,X
TZLSJOI,X,X,X,O,X,X,X,O,X
TZLSOIJ,O,X,X,O,X,X,X,X,X
TZLSOJI,O,X,X,O,X,X,X,O,X
TZLOIJS,X,X,O,X,O,O,X,O,X
TZLOISJ,X,X,O,O,O,O,X,X,X
TZLOJIS,X,X,O,X,O,O,X,O,X
TZLOJSI,O,X,X,X,X,X,X,O,X
TZLOSIJ,O,X,X,O,X,X,X,X,X
TZLOSJI,O,X,X,O,X,X,X,O,X
TZJILSO,X,X,O,X,X,X,O,X,X
TZJILOS,X,X,O,X,X,O,O,X,X
TZJISLO,O,O,O,X,X,X,X,X,X
TZJISOL,O,X,O,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,O,X,X,X
TZJIOSL,X,X,O,X,X,X,X,X,X
TZJLISO,X,X,O,X,X,X,O,X,X
TZJLIOS,X,X,O,X,X,O,O,O,X
TZJLSIO,O,X,X,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X,X,O,X
TZJLOIS,X,X,O,X,X,O,X,O,X
TZJLOSI,X,X,X,X,X,X,X,O,X
TZJSILO,O,O,O,X,X,X,X,X,X
TZJSIOL,O,X,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X,X
TZJSLOI,X,X,X,X,X,X,X,X,X
TZJSOIL,O,X,O,X,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X,X,X,X
TZJOILS,X,X,O,X,X,O,X,X,X
TZJOISL,O,X,O,X,X,X,X,X,X
TZJOLIS,X,X,O,X,X,O,X,O,X
TZJOLSI,O,X,X,X,X,X,X,O,X
TZJOSIL,O,X,O,X,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,X,X,X
TZSILOJ,O,O,O,O,X,X,X,X,X
TZSIJLO,O,O,O,O,X,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,X
TZSLIJO,O,O,X,O,X,X,X,X,X
TZSLIOJ,O,O,X,O,X,X,X,X,X
TZSLJIO,O,O,X,O,X,X,X,X,X
TZSLJOI,X,X,X,O,X,X,X,O,X
TZSLOIJ,O,O,X,O,X,X,X,X,X
TZSLOJI,O,O,X,O,X,X,X,O,X
TZSJILO,O,O,O,O,X,X,X,X,X
TZSJIOL,O,X,O,X,X,X,X,X,X
TZSJLIO,O,O,X,O,X,X,X,X,X
TZSJLOI,X,X,X,O,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,X
TZSOLIJ,O,O,X,O,X,X,X,X,X
TZSOLJI,O,O,X,O,X,X,X,O,X
TZSOJIL,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,X,X
TZOILJS,X,X,O,X,O,O,X,O,X
TZOILSJ,X,X,O,O,O,O,X,X,X
TZOIJLS,X,X,O,X,O,X,X,X,X
TZOIJSL,O,O,O,X,O,X,X,X,X
TZOISLJ,O,O,O,O,O,X,X,X,X
TZOISJL,O,O,O,X,O,X,X,X,X
TZOLIJS,X,X,O,X,O,O,X,O,X
TZOLISJ,X,X,O,O,O,O,X,X,X
TZOLJIS,X,X,O,X,O,O,X,O,X
TZOLJSI,O,X,X,X,X,X,X,O,X
TZOLSIJ,O,X,X,O,X,X,X,X,X
TZOLSJI,O,X,X,O,X,X,X,O,X
TZOJILS,X,X,O,X,O,O,X,X,X
TZOJISL,O,O,O,X,O,X,X,X,X
TZOJLIS,X,X,O,X,O,O,X,O,X
TZOJLSI,O,X,X,X,X,X,X,O,X
TZOJSIL,O,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,O,X,X,X,X,X
TZOSLJI,O,O,X,O,X,X,X,O,X
TZOSJIL,O,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X,X
TOILJSZ,X,X,X,O,O,X,X,X,X
TOILJZS,X,X,X,X,O,O,X,X,X
TOILSJZ,X,X,X,O,O,X,X,X,X
TOILSZJ,X,X,O,O,O,X,X,X,X
TOILZJS,X,X,O,X,O,O,X,X,O
TOILZSJ,X,X,O,O,O,O,X,X,O
TOIJLSZ,X,X,X,O,O,X,X,X,X
TOIJLZS,X,X,X,X,O,O,X,X,X
TOIJSLZ,O,O,X,O,O,X,X,X,X
TOIJSZL,O,X,O,X,O,X,X,X,X
TOIJZLS,X,X,O,X,O,O,X,X,O
TOIJZSL,O,X,O,X,O,X,X,X,O
TOISLJZ,O,O,X,O,O,X,X,X,X
TOISLZJ,X,X,O,O,O,X,X,X,X
TOISJLZ,O,O,X,O,O,X,X,X,X
TOISJZL,O,X,O,X,O,X,X,X,X
TOISZLJ,O,X,O,O,O,X,X,X,O
TOISZJL,O,X,O,X,O,X,X,X,O
TOIZLJS,X,X,O,X,O,O,X,X,O
TOIZLSJ,X,X,O,O,O,O,X,X,O
TOIZJLS,X,X,O,X,O,X,X,X,O
TOIZJSL,O,X,O,X,O,X,X,X,O
TOIZSLJ,O,X,O,O,O,X,X,X,O
TOIZSJL,O,X,O,X,O,X,X,X,O
TOLIJSZ,X,X,X,O,O,X,X,X,X
TOLIJZS,X,X,X,X,O,O,X,X,X
TOLISJZ,X,X,X,O,O,X,X,X,X
TOLISZJ,X,X,O,O,O,X,X,X,X
TOLIZJS,X,X,O,X,O,O,X,X,O
TOLIZSJ,X,X,O,O,O,O,X,X,O
TOLJISZ,X,X,X,O,O,X,X,X,X
TOLJIZS,X,X,X,X,O,O,X,X,X
TOLJSIZ,O,X,X,O,O,X,X,X,X
TOLJSZI,O,X,X,O,X,X,X,X,X
TOLJZIS,X,X,X,X,O,O,X,O,X
TOLJZSI,O,X,X,X,X,X,X,O,X
TOLSIJZ,O,X,X,O,O,X,X,X,X
TOLSIZJ,X,X,X,O,O,X,X,X,X
TOLSJIZ,O,X,X,O,O,X,X,X,X
TOLSJZI,O,X,X,O,X,X,X,X,X
TOLSZIJ,O,X,X,O,X,X,X,X,X
TOLSZJI,O,X,X,O,X,X,X,X,X
TOLZIJS,X,X,O,X,O,O,X,O,O
TOLZISJ,X,X,O,O,O,O,X,X,O
TOLZJIS,X,X,O,X,O,O,X,O,X
TOLZJSI,O,X,X,X,X,X,X,O,X
TOLZSIJ,O,X,X,O,X,X,X,X,X
TOLZSJI,O,X,X,O,X,X,X,O,X
TOJILSZ,X,X,X,O,O,X,X,X,X
TOJILZS,X,X,X,X,O,O,X,X,X
TOJISLZ,O,O,X,O,O,X,X,X,X
TOJISZL,O,X,O,X,O,X,X,X,X
TOJIZLS,X,X,O,X,O,O,X,X,O
TOJIZSL,O,X,O,X,O,X,X,X,O
TOJLISZ,X,X,X,O,O,X,X,X,X
TOJLIZS,X,X,X,X,O,O,X,X,X
TOJLSIZ,O,X,X,O,O,X,X,X,X
TOJLSZI,O,X,X,O,X,X,X,X,X
TOJLZIS,X,X,X,X,O,O,X,X,X
TOJLZSI,O,X,X,X,X,X,X,X,X
TOJSILZ,O,O,X,O,O,X,X,X,X
TOJSIZL,O,X,X,X,O,X,X,X,X
TOJSLIZ,O,O,X,O,O,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X,X
TOJZILS,X,X,O,X,O,O,X,X,O
TOJZISL,O,O,O,X,O,X,X,X,O
TOJZLIS,X,X,O,X,O,O,X,X,X
TOJZLSI,O,X,X,X,X,X,X,X,X
TOJZSIL,O,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X,X
TOSILJZ,O,O,X,O,O,X,X,X,X
TOSILZJ,X,X,O,O,O,X,X,X,X
TOSIJLZ,O,O,X,O,O,X,X,X,X
TOSIJZL,O,X,O,X,O,X,X,X,X
TOSIZLJ,O,X,O,O,O,X,X,X,O
TOSIZJL,O,X,O,X,O,X,X,X,O
TOSLIJZ,O,O,X,O,O,X,X,X,X
TOSLIZJ,X,X,X,O,O,X,X,X,X
TOSLJIZ,O,O,X,O,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X
TOSLZIJ,O,O,X,O,X,X,X,X,X
TOSLZJI,O,O,X,O,X,X,X,X,X
TOSJILZ,O,O,X,O,O,X,X,X,X
TOSJIZL,O,X,X,X,O,X,X,X,X
TOSJLIZ,O,O,X,O,O,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X,X
TOSZILJ,O,O,O,O,X,X,X,X,O
TOSZIJL,O,O,O,X,X,X,X,X,O
TOSZLIJ,O,O,X,O,X,X,X,X,X
TOSZLJI,O,O,X,O,X,X,X,X,X
TOSZJIL,O,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X,X
TOZILJS,X,X,O,X,O,O,X,O,O
TOZILSJ,X,X,O,O,O,O,X,X,O
TOZIJLS,X,X,O,X,O,X,X,X,O
TOZIJSL,O,O,O,X,O,X,X,X,O
TOZISLJ,O,O,O,O,O,X,X,X,O
TOZISJL,O,O,O,X,O,X,X,X,O
TOZLIJS,X,X,O,X,O,O,X,O,O
TOZLISJ,X,X,O,O,O,O,X,X,O
TOZLJIS,X,X,O,X,O,O,X,O,X
TOZLJSI,O,X,X,X,X,X,X,O,X
TOZLSIJ,O,X,X,O,X,X,X,X,X
TOZLSJI,O,X,X,O,X,X,X,O,X
TOZJILS,X,X,O,X,O,O,X,X,O
TOZJISL,O,O,O,X,O,X,X,X,O
TOZJLIS,X,X,O,X,O,O,X,O,X
TOZJLSI,O,X,X,X,X,X,X,O,X
TOZJSIL,O,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X,O
TOZSIJL,O,O,O,X,X,X,X,X,O
TOZSLIJ,O,O,X,O,X,X,X,X,X
TOZSLJI,O,O,X,O,X,X,X,O,X
TOZSJIL,O,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X,X
ITLJSZO,X,X,X,O,X,X,X,X,X
ITLJSOZ,X,X,X,O,X,X,X,X,X
ITLJZSO,X,X,X,X,X,X,O,X,X
ITLJZOS,X,X,X,X,X,O,O,O,X
ITLJOSZ,X,X,X,O,O,X,X,X,X
ITLJOZS,X,X,X,X,O,O,X,X,X
ITLSJZO,X,X,X,O,X,X,X,X,X
ITLSJOZ,X,X,X,O,X,X,X,X,X
ITLSZJO,X,X,O,O,X,X,X,X,X
ITLSZOJ,X,X,O,O,X,X,X,X,X
ITLSOJZ,X,X,X,O,O,X,X,X,X
ITLSOZJ,X,X,O,O,O,X,X,X,X
ITLZJSO,X,X,O,X,X,X,O,X,X
ITLZJOS,X,X,O,X,X,X,O,O,X
ITLZSJO,X,X,O,O,X,X,O,X,X
ITLZSOJ,X,X,O,O,X,X,O,X,X
ITLZOJS,X,X,O,X,O,O,O,O,X
ITLZOSJ,X,X,O,O,O,O,O,X,X
ITLOJSZ,X,X,X,O,O,X,X,X,X
ITLOJZS,X,X,X,X,O,O,X,X,X
ITLOSJZ,X,X,X,O,O,X,X,X,X
ITLOSZJ,X,X,O,O,O,X,X,X,X
ITLOZJS,X,X,O,X,O,O,X,X,X
ITLOZSJ,X,X,O,O,O,O,X,X,X
ITJLSZO,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,X,O,X,X,X,X,X
ITJLZSO,X,X,X,X,X,X,O,X,X
ITJLZOS,X,X,X,X,X,O,O,X,X
ITJLOSZ,X,X,X,O,O,X,X,X,X
ITJLOZS,X,X,X,X,O,O,X,X,X
ITJSLZO,O,O,X,O,X,X,X,X,X
ITJSLOZ,O,O,X,O,X,X,X,X,X
ITJSZLO,O,X,O,O,X,X,X,X,X
ITJSZOL,O,X,O,X,X,X,X,X,X
ITJSOLZ,O,X,X,O,X,X,X,X,X
ITJSOZL,O,X,O,X,X,X,X,X,X
ITJZLSO,X,X,O,X,X,X,O,X,X
ITJZLOS,X,X,O,X,X,O,O,X,X
ITJZSLO,O,X,O,X,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X,X
ITJZOLS,X,X,O,X,X,O,X,X,X
ITJZOSL,X,X,O,X,X,X,X,X,X
ITJOLSZ,X,X,X,O,O,X,X,X,X
ITJOLZS,X,X,X,X,O,O,X,X,X
ITJOSLZ,X,X,X,O,O,X,X,X,X
ITJOSZL,X,X,O,X,O,X,X,X,X
ITJOZLS,X,X,O,X,O,O,X,X,X
ITJOZSL,X,X,O,X,O,X,X,X,X
ITSLJZO,O,O,X,O,X,X,X,X,X
ITSLJOZ,O,O,X,O,X,X,X,X,X
ITSLZJO,X,O,O,O,X,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,X,X,X
ITSLOJZ,O,O,X,O,O,X,X,X,X
ITSLOZJ,X,X,O,O,O,X,X,X,X
ITSJLZO,O,O,X,O,X,X,X,X,X
ITSJLOZ,O,O,X,O,X,X,X,X,X
ITSJZLO,O,X,O,O,X,X,X,X,X
ITSJZOL,O,X,O,X,X,X,X,X,X
ITSJOLZ,O,X,X,O,X,X,X,X,X
ITSJOZL,O,X,O,X,X,X,X,X,X
ITSZLJO,O,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,O,O,X,X,X,X,X
ITSZJLO,O,O,O,O,X,X,X,X,X
ITSZJOL,O,X,O,X,X,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X,X
ITSOLJZ,O,O,X,O,O,X,X,X,X
ITSOLZJ,X,X,O,O,O,X,X,X,X
ITSOJLZ,O,O,X,O,O,X,X,X,X
ITSOJZL,O,X,O,X,O,X,X,X,X
ITSOZLJ,O,X,O,O,O,X,X,X,X
ITSOZJL,O,X,O,X,O,X,X,X,X
ITZLJSO,X,X,O,X,X,X,O,X,X
ITZLJOS,X,X,O,X,X,X,O,O,X
ITZLSJO,X,X,O,O,X,X,O,X,X
ITZLSOJ,X,X,O,O,X,X,O,X,X
ITZLOJS,X,X,O,X,O,O,O,O,X
ITZLOSJ,X,X,O,O,O,O,O,X,X
ITZJLSO,X,X,O,X,X,X,X,X,X
ITZJLOS,X,X,O,X,X,X,X,X,X
ITZJSLO,O,O,O,X,X,X,X,X,X
ITZJSOL,O,X,O,X,X,X,X,X,X
ITZJOLS,X,X,O,X,X,X,X,X,X
ITZJOSL,X,X,O,X,X,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,X,X
ITZSLOJ,O,O,O,O,X,X,X,X,X
ITZSJLO,O,O,O,O,X,X,X,X,X
ITZSJOL,O,X,O,X,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X,X
ITZSOJL,O,O,O,X,X,X,X,X,X
ITZOLJS,X,X,O,X,O,O,X,O,X
ITZOLSJ,X,X,O,O,O,O,X,X,X
ITZOJLS,X,X,O,X,O,X,X,X,X
ITZOJSL,O,O,O,X,O,X,X,X,X
ITZOSLJ,O,O,O,O,O,X,X,X,X
ITZOSJL,O,O,O,X,O,X,X,X,X
ITOLJSZ,X,X,X,O,O,X,X,X,X
ITOLJZS,X,X,X,X,O,O,X,X,X
ITOLSJZ,X,X,X,O,O,X,X,X,X
ITOLSZJ,X,X,O,O,O,X,X,X,X
ITOLZJS,X,X,O,X,O,O,X,X,O
ITOLZSJ,X,X,O,O,O,O,X,X,O
ITOJLSZ,X,X,X,O,O,X,X,X,X
ITOJLZS,X,X,X,X,O,O,X,X,X
ITOJSLZ,O,O,X,O,O,X,X,X,X
ITOJSZL,O,X,O,X,O,X,X,X,X
ITOJZLS,X,X,O,X,O,O,X,X,O
ITOJZSL,O,X,O,X,O,X,X,X,O
ITOSLJZ,O,O,X,O,O,X,X,X,X
ITOSLZJ,X,X,O,O,O,X,X,X,X
ITOSJLZ,O,O,X,O,O,X,X,X,X
ITOSJZL,O,X,O,X,O,X,X,X,X
ITOSZLJ,O,X,O,O,O,X,X,X,O
ITOSZJL,O,X,O,X,O,X,X,X,O
ITOZLJS,X,X,O,X,O,O,X,X,O
ITOZLSJ,X,X,O,O,O,O,X,X,O
ITOZJLS,X,X,O,X,O,X,X,X,O
ITOZJSL,O,X,O,X,O,X,X,X,O
ITOZSLJ,O,X,O,O,O,X,X,X,O
ITOZSJL,O,X,O,X,O,X,X,X,O
ILTJSZO,X,X,X,O,X,X,X,X,X
ILTJSOZ,X,X,X,O,X,X,X,X,X
ILTJZSO,X,X,X,X,X,X,O,X,X
ILTJZOS,X,X,X,X,X,O,O,O,X
ILTJOSZ,X,X,X,O,O,X,X,X,X
ILTJOZS,X,X,X,X,O,O,X,X,X
ILTSJZO,X,X,X,O,X,X,X,X,X
ILTSJOZ,X,X,X,O,X,X,X,X,X
ILTSZJO,X,X,O,O,X,X,X,X,X
ILTSZOJ,X,X,O,O,X,X,X,X,X
ILTSOJZ,X,X,X,O,O,X,X,X,X
ILTSOZJ,X,X,O,O,O,X,X,X,X
ILTZJSO,X,X,O,X,X,X,O,X,X
ILTZJOS,X,X,O,X,X,X,O,O,X
ILTZSJO,X,X,O,O,X,X,O,X,X
ILTZSOJ,X,X,O,O,X,X,O,X,X
ILTZOJS,X,X,O,X,O,O,O,O,X
ILTZOSJ,X,X,O,O,O,O,O,X,X
ILTOJSZ,X,X,X,O,O,X,X,X,X
ILTOJZS,X,X,X,X,O,O,X,X,X
ILTOSJZ,X,X,X,O,O,X,X,X,X
ILTOSZJ,X,X,O,O,O,X,X,X,X
ILTOZJS,X,X,O,X,O,O,X,X,X
ILTOZSJ,X,X,O,O,O,O,X,X,X
ILJTSZO,X,X,X,O,X,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,X,X
ILJTZSO,X,X,X,X,X,X,O,X,X
ILJTZOS,X,X,X,X,X,O,O,O,X
ILJTOSZ,X,X,X,O,O,X,X,X,X
ILJTOZS,X,X,X,X,O,O,X,X,X
ILJSTZO,X,O,X,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X
ILJSZTO,X,O,X,X,X,X,O,X,X
ILJSZOT,X,O,X,X,X,O,O,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,X,O,X,X,X,O,X,X,X
ILJZTSO,X,X,X,X,X,X,O,X,X
ILJZTOS,X,X,X,X,X,O,O,O,X
ILJZSTO,X,X,X,X,X,X,O,X,X
ILJZSOT,X,X,X,X,X,O,O,X,X
ILJZOTS,X,X,X,X,X,O,O,O,X
ILJZOST,X,X,X,X,X,O,O,X,X
ILJOTSZ,X,X,X,O,O,X,X,X,X
ILJOTZS,X,X,X,X,O,O,X,X,X
ILJOSTZ,X,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,X,O,O,X,X,X
ILJOZTS,X,X,X,X,O,O,O,X,X
ILJOZST,X,X,X,X,O,O,O,X,X
ILSTJZO,X,O,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,X,X,X
ILSTZJO,X,O,O,O,X,X,X,X,X
ILSTZOJ,X,O,O,O,X,X,X,X,X
ILSTOJZ,X,O,X,O,O,X,X,X,X
ILSTOZJ,X,X,O,O,O,X,X,X,X
ILSJTZO,X,O,X,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X
ILSJZTO,X,O,X,X,X,X,O,X,X
ILSJZOT,X,O,X,X,X,O,O,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X
ILSJOZT,X,O,X,X,X,O,X,X,X
ILSZTJO,X,O,O,O,X,X,O,X,X
ILSZTOJ,X,O,O,O,X,X,O,X,X
ILSZJTO,X,O,O,X,X,X,O,X,X
ILSZJOT,X,O,O,X,X,X,O,X,X
ILSZOTJ,X,O,O,O,X,O,O,X,X
ILSZOJT,X,O,O,X,X,O,O,X,X
ILSOTJZ,X,O,X,O,O,X,X,X,X
ILSOTZJ,X,X,O,O,O,X,X,X,X
ILSOJTZ,X,O,X,X,O,X,X,X,X
ILSOJZT,X,O,X,X,O,O,X,X,X
ILSOZTJ,X,O,O,O,O,O,X,X,X
ILSOZJT,X,O,O,X,O,O,X,X,X
ILZTJSO,X,X,O,X,X,X,O,X,X
ILZTJOS,X,X,O,X,X,X,O,O,X
ILZTSJO,X,X,O,O,X,X,O,X,X
ILZTSOJ,X,X,O,O,X,X,O,X,X
ILZTOJS,X,X,O,X,O,O,O,O,X
ILZTOSJ,X,X,O,O,O,O,O,X,X
ILZJTSO,X,X,O,X,X,X,O,X,X
ILZJTOS,X,X,O,X,X,O,O,O,X
ILZJSTO,X,O,O,X,X,X,O,X,X
ILZJSOT,X,O,O,X,X,O,O,X,X
ILZJOTS,X,X,O,X,X,O,O,O,X
ILZJOST,X,X,O,X,X,O,O,X,X
ILZSTJO,X,O,O,O,X,X,O,X,X
ILZSTOJ,X,O,O,O,X,X,O,X,X
ILZSJTO,X,O,O,X,X,X,O,X,X
ILZSJOT,X,O,O,X,X,X,O,X,X
ILZSOTJ,X,O,O,O,X,O,O,X,X
ILZSOJT,X,O,O,X,X,O,O,X,X
ILZOTJS,X,X,O,X,O,O,O,O,X
ILZOTSJ,X,X,O,O,O,O,O,X,X
ILZOJTS,X,X,O,X,O,O,O,O,X
ILZOJST,X,O,O,X,O,O,O,X,X
ILZOSTJ,X,O,O,O,O,O,O,X,X
ILZOSJT,X,O,O,X,O,O,O,X,X
ILOTJSZ,X,X,X,O,O,X,X,X,X
ILOTJZS,X,X,X,X,O,O,X,X,X
ILOTSJZ,X,X,X,O,O,X,X,X,X
ILOTSZJ,X,X,O,O,O,X,X,X,X
ILOTZJS,X,X,O,X,O,O,X,X,O
ILOTZSJ,X,X,O,O,O,O,X,X,O
ILOJTSZ,X,X,X,O,O,X,X,X,X
ILOJTZS,X,X,X,X,O,O,X,X,X
ILOJSTZ,X,O,X,X,O,X,X,X,X
ILOJSZT,X,O,X,X,O,O,X,X,X
ILOJZTS,X,X,X,X,O,O,O,X,X
ILOJZST,X,X,X,X,O,O,O,X,X
ILOSTJZ,X,O,X,O,O,X,X,X,X
ILOSTZJ,X,X,O,O,O,X,X,X,X
ILOSJTZ,X,O,X,X,O,X,X,X,X
ILOSJZT,X,O,X,X,O,O,X,X,X
ILOSZTJ,X,X,O,O,O,O,X,X,X
ILOSZJT,X,O,O,X,O,O,X,X,X
ILOZTJS,X,X,O,X,O,O,O,X,O
ILOZTSJ,X,X,O,O,O,O,O,X,O
ILOZJTS,X,X,O,X,O,O,O,X,X
ILOZJST,X,X,O,X,O,O,O,X,X
ILOZSTJ,X,X,O,O,O,O,O,X,X
ILOZSJT,X,X,O,X,O,O,O,X,X
IJTLSZO,X,X,X,O,X,X,X,X,X
IJTLSOZ,X,X,X,O,X,X,X,X,X
IJTLZSO,X,X,X,X,X,X,O,X,X
IJTLZOS,X,X,X,X,X,O,O,X,X
IJTLOSZ,X,X,X,O,O,X,X,X,X
IJTLOZS,X,X,X,X,O,O,X,X,X
IJTSLZO,O,O,X,O,X,X,X,X,X
IJTSLOZ,O,O,X,O,X,X,X,X,X
IJTSZLO,O,X,O,O,X,X,X,X,X
IJTSZOL,O,X,O,X,X,X,X,X,X
IJTSOLZ,O,X,X,O,X,X,X,X,X
IJTSOZL,O,X,O,X,X,X,X,X,X
IJTZLSO,X,X,O,X,X,X,O,X,X
IJTZLOS,X,X,O,X,X,O,O,X,X
IJTZSLO,O,X,O,X,X,X,X,X,X
IJTZSOL,O,X,O,X,X,X,X,X,X
IJTZOLS,X,X,O,X,X,O,X,X,X
IJTZOSL,X,X,O,X,X,X,X,X,X
IJTOLSZ,X,X,X,O,O,X,X,X,X
IJTOLZS,X,X,X,X,O,O,X,X,X
IJTOSLZ,X,X,X,O,O,X,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X,X
IJTOZLS,X,X,O,X,O,O,X,X,X
IJTOZSL,X,X,O,X,O,X,X,X,X
IJLTSZO,X,X,X,O,X,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,X,X
IJLTZSO,X,X,X,X,X,X,O,X,X
IJLTZOS,X,X,X,X,X,O,O,O,X
IJLTOSZ,X,X,X,O,O,X,X,X,X
IJLTOZS,X,X,X,X,O,O,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,X
IJLSZTO,X,O,X,X,X,X,O,X,X
IJLSZOT,X,O,X,X,X,O,O,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X
IJLSOZT,X,O,X,X,X,O,X,X,X
IJLZTSO,X,X,X,X,X,X,O,X,X
IJLZTOS,X,X,X,X,X,O,O,O,X
IJLZSTO,X,X,X,X,X,X,O,X,X
IJLZSOT,X,X,X,X,X,O,O,X,X
IJLZOTS,X,X,X,X,X,O,O,O,X
IJLZOST,X,X,X,X,X,O,O,X,X
IJLOTSZ,X,X,X,O,O,X,X,X,X
IJLOTZS,X,X,X,X,O,O,X,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,X,O,O,X,X,X
IJLOZTS,X,X,X,X,O,O,O,X,X
IJLOZST,X,X,X,X,O,O,O,X,X
IJSTLZO,O,O,X,X,X,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,X,X
IJSTZLO,O,X,O,X,X,X,X,X,X
IJSTZOL,O,X,O,X,X,X,X,X,X
IJSTOLZ,O,X,X,X,X,X,X,X,X
IJSTOZL,O,X,O,X,X,X,X,X,X
IJSLTZO,O,O,X,X,X,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,X,X
IJSLZTO,O,O,X,X,X,X,O,X,X
