sequence,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFRiBcoBTnBFqBXr?BGrB,v115@9gB8HeB8HeA8HeC8DeD8JecGJvhFenBqnBTjBXlBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeCCJvhFTjBXlB2rB0nBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRhBqnBTjB8rB3q?BFrB,v115@9gB8HeB8HeA8HeC8DeD8JelAJvhF3hBqnBTjB8rBRq?B2vB,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFGiBTjBfrBUqBRs?BlrB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFTjBRmB1sBCnB3q?BUrB,v115@9gB8HeB8HeA8HeC8DeD8JeRCJvhFcoBXlB6rBTnBml?B1vB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRmBFoBzmBCoB3q?BUrB
TZIOJSL,O,X,O,X,X,O,O,X,X
TZIOSLJ,O,X,X,X,O,O,X,O,X
TZIOSJL,O,X,O,X,X,O,X,X,X
TZLIJSO,O,X,O,X,O,X,X,X,X
TZLIJOS,O,X,O,X,O,O,X,X,X
TZLISJO,O,X,X,X,O,X,X,X,X
TZLISOJ,O,X,X,X,O,X,X,X,X
TZLIOJS,O,X,O,X,O,O,X,X,X
TZLIOSJ,O,X,X,X,O,X,X,X,X
TZLJISO,O,X,O,X,X,X,X,X,X
TZLJIOS,O,X,O,O,X,X,X,X,X
TZLJSIO,O,X,X,O,X,X,X,X,X
TZLJSOI,O,X,O,O,X,X,X,X,X
TZLJOIS,O,X,O,O,X,X,X,X,X
TZLJOSI,X,X,O,O,X,X,X,X,X
TZLSIJO,O,X,X,X,O,O,X,X,X
TZLSIOJ,O,X,X,X,O,O,X,X,X
TZLSJIO,O,X,X,O,X,X,X,X,X
TZLSJOI,O,X,X,O,O,X,X,X,X
TZLSOIJ,O,X,X,X,O,O,X,O,X
TZLSOJI,O,X,X,O,O,X,X,O,X
TZLOIJS,O,X,O,X,O,O,X,X,X
TZLOISJ,O,X,X,X,O,X,X,O,X
TZLOJIS,O,X,O,O,X,X,X,X,X
TZLOJSI,X,X,O,O,X,X,X,X,X
TZLOSIJ,O,X,X,X,O,O,X,O,X
TZLOSJI,O,X,X,O,O,X,X,O,X
TZJILSO,O,X,O,X,X,X,X,X,X
TZJILOS,O,X,O,O,X,X,X,X,X
TZJISLO,O,X,O,X,X,X,X,X,X
TZJISOL,X,X,O,X,X,X,X,X,X
TZJIOLS,X,X,O,X,X,X,O,X,X
TZJIOSL,X,X,O,X,X,X,O,X,X
TZJLISO,O,X,O,X,X,X,X,X,X
TZJLIOS,O,X,O,O,X,X,X,X,X
TZJLSIO,O,X,X,O,X,X,X,X,X
TZJLSOI,O,X,O,O,X,X,X,X,X
TZJLOIS,O,X,O,O,X,X,X,X,X
TZJLOSI,X,X,O,O,X,X,X,X,X
TZJSILO,O,X,X,O,X,X,X,X,O
TZJSIOL,X,X,X,X,X,X,O,X,O
TZJSLIO,O,X,X,O,X,X,X,X,X
TZJSLOI,O,X,O,O,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,O,X,X
TZJSOLI,O,X,O,O,X,X,X,X,X
TZJOILS,O,X,O,X,X,X,O,X,X
TZJOISL,O,X,O,X,X,X,O,X,X
TZJOLIS,O,X,O,O,X,X,X,X,X
TZJOLSI,X,X,O,O,X,X,X,X,X
TZJOSIL,O,X,X,X,X,X,O,X,X
TZJOSLI,O,X,O,O,X,X,X,X,X
TZSILJO,O,X,X,X,O,O,X,X,X
TZSILOJ,O,X,X,X,O,O,X,O,X
TZSIJLO,O,X,O,X,O,O,X,X,O
TZSIJOL,X,X,O,X,X,O,O,X,O
TZSIOLJ,O,X,X,X,O,O,X,O,X
TZSIOJL,O,X,O,X,X,O,O,X,X
TZSLIJO,O,X,X,X,O,O,X,X,X
TZSLIOJ,O,X,X,X,O,O,X,O,X
TZSLJIO,O,X,X,O,X,X,X,X,X
TZSLJOI,O,X,X,O,O,X,X,O,X
TZSLOIJ,O,X,X,X,O,O,X,O,X
TZSLOJI,O,X,X,O,O,X,X,O,X
TZSJILO,O,X,X,O,X,X,X,X,O
TZSJIOL,X,X,X,X,X,X,O,X,O
TZSJLIO,O,X,X,O,X,X,X,X,X
TZSJLOI,O,X,O,O,O,X,X,O,X
TZSJOIL,O,X,X,X,X,X,O,X,X
TZSJOLI,O,X,O,O,X,X,X,O,X
TZSOILJ,O,X,X,X,X,O,X,O,X
TZSOIJL,O,X,O,X,X,O,O,X,X
TZSOLIJ,O,X,X,X,O,O,X,O,X
TZSOLJI,O,X,X,O,O,X,X,O,X
TZSOJIL,O,X,X,X,X,X,O,X,X
TZSOJLI,O,X,O,O,X,X,X,O,X
TZOILJS,O,X,O,X,O,O,X,X,X
TZOILSJ,O,X,X,X,O,X,X,O,X
TZOIJLS,O,X,O,X,O,O,O,X,X
TZOIJSL,O,X,O,X,X,O,O,X,X
TZOISLJ,O,X,X,X,O,O,X,O,X
TZOISJL,O,X,O,X,X,O,X,X,X
TZOLIJS,O,X,O,X,O,O,X,X,X
TZOLISJ,O,X,X,X,O,X,X,O,X
TZOLJIS,O,X,O,O,X,X,X,X,X
TZOLJSI,X,X,O,O,X,X,X,X,X
TZOLSIJ,O,X,X,X,O,O,X,O,X
TZOLSJI,O,X,X,O,O,X,X,O,X
TZOJILS,O,X,O,X,X,X,O,X,X
TZOJISL,O,X,O,X,X,X,O,X,X
TZOJLIS,O,X,O,O,X,X,X,X,X
TZOJLSI,X,X,O,O,X,X,X,X,X
TZOJSIL,O,X,X,X,X,X,O,X,X
TZOJSLI,O,X,O,O,X,X,X,X,X
TZOSILJ,O,X,X,X,X,O,X,O,X
TZOSIJL,O,X,O,X,X,O,O,X,X
TZOSLIJ,O,X,X,X,X,O,X,O,X
TZOSLJI,O,X,X,O,X,X,X,O,X
TZOSJIL,O,X,X,X,X,X,O,X,X
TZOSJLI,O,X,O,O,X,X,X,O,X
TOILJSZ,X,O,X,X,X,X,O,X,X
TOILJZS,X,O,X,X,O,X,O,X,X
TOILSJZ,X,O,X,X,X,X,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X,X
TOILZJS,O,X,X,X,O,X,X,X,X
TOILZSJ,O,X,X,X,O,X,X,X,X
TOIJLSZ,X,X,X,X,X,X,O,X,X
TOIJLZS,X,X,X,X,O,X,O,X,X
TOIJSLZ,X,X,X,X,X,X,O,X,X
TOIJSZL,X,X,X,X,X,X,O,X,X
TOIJZLS,X,X,X,X,O,O,O,X,X
TOIJZSL,X,X,X,X,X,O,O,X,X
TOISLJZ,X,O,X,X,X,X,O,X,X
TOISLZJ,O,X,X,X,O,X,X,X,X
TOISJLZ,X,X,X,X,X,X,O,X,X
TOISJZL,X,X,X,X,X,X,O,X,X
TOISZLJ,O,X,X,X,O,X,X,X,X
TOISZJL,O,X,O,X,X,X,O,X,X
TOIZLJS,O,X,O,X,O,O,X,X,X
TOIZLSJ,O,X,X,X,O,X,X,X,X
TOIZJLS,O,X,O,X,O,O,O,X,X
TOIZJSL,O,X,O,X,X,O,O,X,X
TOIZSLJ,O,X,X,X,O,O,X,X,X
TOIZSJL,O,X,O,X,X,O,X,X,X
TOLIJSZ,X,O,X,X,X,X,O,X,X
TOLIJZS,X,O,X,X,O,X,O,X,X
TOLISJZ,X,O,X,X,X,X,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X,X
TOLIZJS,O,X,X,X,O,X,X,X,X
TOLIZSJ,O,X,X,X,O,X,X,X,X
TOLJISZ,X,O,X,X,X,X,O,X,X
TOLJIZS,X,O,X,X,X,X,O,X,X
TOLJSIZ,X,X,X,X,X,X,O,X,X
TOLJSZI,X,O,X,O,X,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X,X,X
TOLJZSI,X,O,X,O,X,X,X,X,X
TOLSIJZ,X,O,X,X,X,X,O,X,X
TOLSIZJ,O,X,X,X,X,X,X,X,X
TOLSJIZ,X,X,X,X,X,X,O,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X
TOLSZIJ,O,X,X,X,X,X,X,O,X
TOLSZJI,O,X,X,O,X,X,X,O,X
TOLZIJS,O,X,X,X,O,X,X,X,X
TOLZISJ,O,X,X,X,O,X,X,O,X
TOLZJIS,O,X,X,O,X,X,X,X,X
TOLZJSI,X,X,X,O,X,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,O,X
TOLZSJI,O,X,X,O,O,X,X,O,X
TOJILSZ,X,X,X,X,X,X,O,X,X
TOJILZS,X,X,X,X,X,X,O,X,X
TOJISLZ,X,X,X,X,X,X,O,X,X
TOJISZL,X,X,X,X,X,X,O,X,X
TOJIZLS,X,X,X,X,X,X,O,X,X
TOJIZSL,X,X,X,X,X,X,O,X,X
TOJLISZ,X,X,X,X,X,X,O,X,X
TOJLIZS,X,X,X,X,X,X,O,X,X
TOJLSIZ,X,X,X,X,X,X,O,X,X
TOJLSZI,X,X,X,O,X,X,X,X,X
TOJLZIS,O,X,X,O,X,X,X,X,X
TOJLZSI,X,X,X,O,X,X,X,X,X
TOJSILZ,X,X,X,X,X,X,O,X,O
TOJSIZL,X,X,X,X,X,X,O,X,O
TOJSLIZ,X,X,X,X,X,X,O,X,X
TOJSLZI,O,X,X,O,X,X,X,X,X
TOJSZIL,O,X,X,X,X,X,O,X,X
TOJSZLI,O,X,X,O,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,O,X,X
TOJZISL,O,X,X,X,X,X,O,X,X
TOJZLIS,O,X,X,O,X,X,X,X,X
TOJZLSI,X,X,X,O,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X,O,X,X
TOJZSLI,O,X,X,O,X,X,X,X,X
TOSILJZ,X,O,X,X,X,X,O,X,X
TOSILZJ,O,X,X,X,X,X,X,O,X
TOSIJLZ,X,X,X,X,X,X,O,X,O
TOSIJZL,X,X,X,X,X,X,O,X,O
TOSIZLJ,O,X,X,X,X,X,X,O,X
TOSIZJL,O,X,O,X,X,X,O,X,X
TOSLIJZ,X,O,X,X,X,X,O,X,X
TOSLIZJ,O,X,X,X,X,X,X,O,X
TOSLJIZ,X,X,X,X,X,X,O,X,X
TOSLJZI,O,O,X,O,X,X,X,O,X
TOSLZIJ,O,X,X,X,X,X,X,O,X
TOSLZJI,O,X,X,O,X,X,X,O,X
TOSJILZ,X,X,X,X,X,X,O,X,O
TOSJIZL,X,X,X,X,X,X,O,X,O
TOSJLIZ,X,X,X,X,X,X,O,X,X
TOSJLZI,O,X,X,O,X,X,X,O,X
TOSJZIL,O,X,X,X,X,X,O,X,X
TOSJZLI,O,X,X,O,X,X,X,O,X
TOSZILJ,O,X,X,X,X,X,X,O,X
TOSZIJL,O,X,O,X,X,X,O,X,X
TOSZLIJ,O,X,X,X,X,X,X,O,X
TOSZLJI,O,X,X,O,X,X,X,O,X
TOSZJIL,O,X,X,X,X,X,O,X,X
TOSZJLI,O,X,O,O,X,X,X,O,X
TOZILJS,O,X,O,X,O,O,X,X,X
TOZILSJ,O,X,X,X,O,X,X,O,X
TOZIJLS,O,X,O,X,O,O,O,X,X
TOZIJSL,O,X,O,X,X,O,O,X,X
TOZISLJ,O,X,X,X,O,O,X,O,X
TOZISJL,O,X,O,X,X,O,X,X,X
TOZLIJS,O,X,O,X,O,O,X,X,X
TOZLISJ,O,X,X,X,O,X,X,O,X
TOZLJIS,O,X,O,O,X,X,X,X,X
TOZLJSI,X,X,O,O,X,X,X,X,X
TOZLSIJ,O,X,X,X,O,O,X,O,X
TOZLSJI,O,X,X,O,O,X,X,O,X
TOZJILS,O,X,O,X,X,X,O,X,X
TOZJISL,O,X,O,X,X,X,O,X,X
TOZJLIS,O,X,O,O,X,X,X,X,X
TOZJLSI,X,X,O,O,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X,O,X,X
TOZJSLI,O,X,O,O,X,X,X,X,X
TOZSILJ,O,X,X,X,X,O,X,O,X
TOZSIJL,O,X,O,X,X,O,O,X,X
TOZSLIJ,O,X,X,X,X,O,X,O,X
TOZSLJI,O,X,X,O,X,X,X,O,X
TOZSJIL,O,X,X,X,X,X,O,X,X
TOZSJLI,O,X,O,O,X,X,X,O,X
ITLJSZO,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X,X
ITLJZOS,X,O,X,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,X,O,X,X
ITLJOZS,X,O,X,X,O,X,O,X,X
ITLSJZO,X,O,X,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,O,X,X,X,X
ITLSZOJ,O,X,X,X,O,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X,X
ITLSOZJ,O,X,X,X,O,X,X,X,X
ITLZJSO,O,X,X,X,O,X,X,X,X
ITLZJOS,O,X,X,X,O,X,X,X,X
ITLZSJO,O,X,X,X,O,X,X,X,X
ITLZSOJ,O,X,X,X,O,X,X,X,X
ITLZOJS,O,X,X,X,O,X,X,X,X
ITLZOSJ,O,X,X,X,O,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,O,X,X
ITLOJZS,X,O,X,X,O,X,O,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,O,X,X,X,X
ITLOZJS,O,X,X,X,O,X,X,X,X
ITLOZSJ,O,X,X,X,O,X,X,X,X
ITJLSZO,X,O,O,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,X
ITJLZSO,X,O,O,X,O,X,X,X,X
ITJLZOS,X,O,O,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,O,X,X
ITJLOZS,X,O,X,X,O,X,O,X,X
ITJSLZO,X,O,O,X,X,X,X,X,O
ITJSLOZ,X,O,X,X,X,X,O,X,O
ITJSZLO,X,O,O,X,X,X,X,X,O
ITJSZOL,X,X,O,X,X,X,O,X,O
ITJSOLZ,X,X,X,X,X,X,O,X,O
ITJSOZL,X,X,X,X,X,X,O,X,O
ITJZLSO,X,O,O,X,O,X,X,X,X
ITJZLOS,X,O,O,X,O,O,X,X,X
ITJZSLO,X,O,O,X,O,O,X,X,X
ITJZSOL,X,X,O,X,X,O,X,X,X
ITJZOLS,X,X,O,X,O,O,O,X,X
ITJZOSL,X,X,O,X,X,O,O,X,X
ITJOLSZ,X,X,X,X,X,X,O,X,X
ITJOLZS,X,X,X,X,O,X,O,X,X
ITJOSLZ,X,X,X,X,X,X,O,X,X
ITJOSZL,X,X,X,X,X,X,O,X,X
ITJOZLS,X,X,X,X,O,O,O,X,X
ITJOZSL,X,X,X,X,X,O,O,X,X
ITSLJZO,X,O,X,X,X,X,X,X,O
ITSLJOZ,X,O,X,X,X,X,O,X,O
ITSLZJO,O,X,X,X,O,X,X,X,X
ITSLZOJ,O,X,X,X,O,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,O,X,X
ITSLOZJ,O,X,X,X,O,X,X,X,X
ITSJLZO,X,O,O,X,X,X,X,X,O
ITSJLOZ,X,O,X,X,X,X,O,X,O
ITSJZLO,X,O,O,X,X,X,X,X,O
ITSJZOL,X,X,O,X,X,X,O,X,O
ITSJOLZ,X,X,X,X,X,X,O,X,O
ITSJOZL,X,X,X,X,X,X,O,X,O
ITSZLJO,O,X,X,X,O,X,X,X,X
ITSZLOJ,O,X,X,X,O,X,X,X,X
ITSZJLO,O,O,O,X,O,X,X,X,O
ITSZJOL,X,X,O,X,X,X,O,X,O
ITSZOLJ,O,X,X,X,O,X,X,X,X
ITSZOJL,O,X,O,X,X,X,O,X,X
ITSOLJZ,X,O,X,X,X,X,O,X,X
ITSOLZJ,O,X,X,X,O,X,X,X,X
ITSOJLZ,X,X,X,X,X,X,O,X,O
ITSOJZL,X,X,X,X,X,X,O,X,O
ITSOZLJ,O,X,X,X,O,X,X,X,X
ITSOZJL,O,X,O,X,X,X,O,X,X
ITZLJSO,O,X,O,X,O,X,X,X,X
ITZLJOS,O,X,O,X,O,O,X,X,X
ITZLSJO,O,X,X,X,O,X,X,X,X
ITZLSOJ,O,X,X,X,O,X,X,X,X
ITZLOJS,O,X,O,X,O,O,X,X,X
ITZLOSJ,O,X,X,X,O,X,X,X,X
ITZJLSO,O,O,O,X,O,X,X,X,X
ITZJLOS,O,O,O,X,O,O,X,X,X
ITZJSLO,O,O,O,X,O,O,X,X,X
ITZJSOL,X,X,O,X,X,O,X,X,X
ITZJOLS,X,X,O,X,O,O,O,X,X
ITZJOSL,X,X,O,X,X,O,O,X,X
ITZSLJO,O,X,X,X,O,O,X,X,X
ITZSLOJ,O,X,X,X,O,O,X,X,X
ITZSJLO,O,O,O,X,O,O,X,X,X
ITZSJOL,X,X,O,X,X,O,X,X,X
ITZSOLJ,O,X,X,X,O,O,X,X,X
ITZSOJL,O,X,O,X,X,O,X,X,X
ITZOLJS,O,X,O,X,O,O,X,X,X
ITZOLSJ,O,X,X,X,O,X,X,X,X
ITZOJLS,O,X,O,X,O,O,O,X,X
ITZOJSL,O,X,O,X,X,O,O,X,X
ITZOSLJ,O,X,X,X,O,O,X,X,X
ITZOSJL,O,X,O,X,X,O,X,X,X
ITOLJSZ,X,O,X,X,X,X,O,X,X
ITOLJZS,X,O,X,X,O,X,O,X,X
ITOLSJZ,X,O,X,X,X,X,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,X,X
ITOLZJS,O,X,X,X,O,X,X,X,X
ITOLZSJ,O,X,X,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,X,X,O,X,X
ITOJLZS,X,X,X,X,O,X,O,X,X
ITOJSLZ,X,X,X,X,X,X,O,X,X
ITOJSZL,X,X,X,X,X,X,O,X,X
ITOJZLS,X,X,X,X,O,O,O,X,X
ITOJZSL,X,X,X,X,X,O,O,X,X
ITOSLJZ,X,O,X,X,X,X,O,X,X
ITOSLZJ,O,X,X,X,O,X,X,X,X
ITOSJLZ,X,X,X,X,X,X,O,X,X
ITOSJZL,X,X,X,X,X,X,O,X,X
ITOSZLJ,O,X,X,X,O,X,X,X,X
ITOSZJL,O,X,O,X,X,X,O,X,X
ITOZLJS,O,X,O,X,O,O,X,X,X
ITOZLSJ,O,X,X,X,O,X,X,X,X
ITOZJLS,O,X,O,X,O,O,O,X,X
ITOZJSL,O,X,O,X,X,O,O,X,X
ITOZSLJ,O,X,X,X,O,O,X,X,X
ITOZSJL,O,X,O,X,X,O,X,X,X
ILTJSZO,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X,X
ILTJZOS,X,O,X,X,O,X,X,X,X
ILTJOSZ,X,O,X,X,X,X,X,X,X
ILTJOZS,X,O,X,X,O,X,X,X,X
ILTSJZO,X,O,X,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X,X
ILTSZJO,X,X,X,X,O,X,X,X,X
ILTSZOJ,X,X,X,X,O,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X,X
ILTSOZJ,X,X,X,X,O,X,X,X,X
ILTZJSO,X,X,X,X,O,X,X,X,X
ILTZJOS,X,X,X,X,O,X,X,X,X
ILTZSJO,X,X,X,X,O,X,X,X,X
ILTZSOJ,X,X,X,X,O,X,X,X,X
ILTZOJS,X,X,X,X,O,X,X,X,X
ILTZOSJ,X,X,X,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X,X
ILTOJZS,X,O,X,X,O,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,X,X
ILTOZJS,X,X,X,X,O,X,X,X,X
ILTOZSJ,X,X,X,X,O,X,X,X,X
ILJTSZO,X,O,O,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X
ILJTZSO,X,O,O,X,O,X,X,X,X
ILJTZOS,X,O,O,X,O,X,X,X,X
ILJTOSZ,X,O,X,X,X,X,X,X,X
ILJTOZS,X,O,X,X,O,X,X,X,X
ILJSTZO,X,O,O,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X
ILJSZTO,X,O,O,O,X,X,X,X,X
ILJSZOT,X,O,O,O,X,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,X,O,O,O,X,X,X,X,X
ILJZTSO,X,O,O,X,O,X,X,X,X
ILJZTOS,X,O,O,O,O,O,X,X,X
ILJZSTO,X,O,O,O,O,O,X,X,X
ILJZSOT,X,O,O,O,O,O,X,X,X
ILJZOTS,X,O,O,O,O,O,X,X,X
ILJZOST,X,O,O,O,O,O,X,X,X
ILJOTSZ,X,O,X,X,X,X,X,X,X
ILJOTZS,X,O,X,X,O,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X
ILJOSZT,X,O,O,O,X,X,X,X,X
ILJOZTS,X,O,O,O,O,O,X,X,X
ILJOZST,X,O,O,O,O,O,X,X,X
ILSTJZO,X,O,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X,X
ILSTZJO,X,X,X,X,O,X,X,X,X
ILSTZOJ,X,X,X,X,O,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X,X
ILSTOZJ,X,X,X,X,O,X,X,X,X
ILSJTZO,X,O,O,X,X,X,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X,X
ILSJZTO,X,O,O,O,X,X,X,X,X
ILSJZOT,X,O,O,O,X,X,X,X,X
ILSJOTZ,X,O,X,X,X,X,X,X,X
ILSJOZT,X,O,O,O,X,X,X,X,X
ILSZTJO,X,X,X,X,O,X,X,X,X
ILSZTOJ,X,X,X,X,O,X,X,X,X
ILSZJTO,X,O,O,O,O,X,X,X,X
ILSZJOT,X,O,O,O,O,X,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,O,X
ILSZOJT,X,O,O,O,O,X,X,O,X
ILSOTJZ,X,O,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,X,O,X,X,X,X
ILSOJTZ,X,O,X,X,X,X,X,X,X
ILSOJZT,X,O,X,O,X,X,X,X,X
ILSOZTJ,X,X,X,X,O,X,X,O,X
ILSOZJT,X,O,O,O,O,X,X,O,X
ILZTJSO,X,X,O,X,O,X,X,X,X
ILZTJOS,X,X,O,X,O,O,X,X,X
ILZTSJO,X,X,X,X,O,X,X,X,X
ILZTSOJ,X,X,X,X,O,X,X,X,X
ILZTOJS,X,X,O,X,O,O,X,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X
ILZJTSO,X,O,O,X,O,X,X,X,X
ILZJTOS,X,O,O,O,O,O,X,X,X
ILZJSTO,X,O,O,O,O,O,X,X,X
ILZJSOT,X,O,O,O,O,O,X,X,X
ILZJOTS,X,O,O,O,O,O,X,X,X
ILZJOST,X,O,O,O,O,O,X,X,X
ILZSTJO,X,X,X,X,O,O,X,X,X
ILZSTOJ,X,X,X,X,O,O,X,X,X
ILZSJTO,X,O,O,O,O,O,X,X,X
ILZSJOT,X,O,O,O,O,O,X,X,X
ILZSOTJ,X,X,X,X,O,O,X,O,X
ILZSOJT,X,O,O,O,O,O,X,O,X
ILZOTJS,X,X,O,X,O,O,X,X,X
ILZOTSJ,X,X,X,X,O,X,X,O,X
ILZOJTS,X,O,O,O,O,O,X,X,X
ILZOJST,X,O,O,O,O,O,X,O,X
ILZOSTJ,X,X,X,X,O,O,X,O,X
ILZOSJT,X,O,O,O,O,O,X,O,X
ILOTJSZ,X,O,X,X,X,X,X,X,X
ILOTJZS,X,O,X,X,O,X,X,X,X
ILOTSJZ,X,O,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,X,O,X,X,X,X
ILOTZJS,X,X,X,X,O,X,X,X,X
ILOTZSJ,X,X,X,X,O,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,X,X
ILOJTZS,X,O,X,X,O,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,X,X,X
ILOJSZT,X,O,X,O,X,X,X,X,X
ILOJZTS,X,O,X,O,O,O,X,X,X
ILOJZST,X,O,X,O,O,O,X,X,X
ILOSTJZ,X,O,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,X,O,X,X,X,X
ILOSJTZ,X,O,X,X,X,X,X,X,X
ILOSJZT,X,O,X,O,X,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,X,O,X
ILOSZJT,X,O,O,O,O,X,X,O,X
ILOZTJS,X,X,O,X,O,O,X,X,X
ILOZTSJ,X,X,X,X,O,X,X,O,X
ILOZJTS,X,O,O,O,O,O,X,X,X
ILOZJST,X,O,O,O,O,O,X,O,X
ILOZSTJ,X,X,X,X,O,O,X,O,X
ILOZSJT,X,O,O,O,O,O,X,O,X
IJTLSZO,X,O,O,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X,X
IJTLZSO,X,O,O,X,O,X,X,X,X
IJTLZOS,X,O,O,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,X,X,O,X,X
IJTLOZS,X,O,X,X,O,X,O,X,X
IJTSLZO,X,O,O,X,X,X,X,X,O
IJTSLOZ,X,O,X,X,X,X,O,X,O
IJTSZLO,X,O,O,X,X,X,X,X,O
IJTSZOL,X,X,O,X,X,X,O,X,O
IJTSOLZ,X,X,X,X,X,X,O,X,O
IJTSOZL,X,X,X,X,X,X,O,X,O
IJTZLSO,X,O,O,X,O,X,X,X,X
IJTZLOS,X,O,O,X,O,O,X,X,X
IJTZSLO,X,O,O,X,O,O,X,X,X
IJTZSOL,X,X,O,X,X,O,X,X,X
IJTZOLS,X,X,O,X,O,O,O,X,X
IJTZOSL,X,X,O,X,X,O,O,X,X
IJTOLSZ,X,X,X,X,X,X,O,X,X
IJTOLZS,X,X,X,X,O,X,O,X,X
IJTOSLZ,X,X,X,X,X,X,O,X,X
IJTOSZL,X,X,X,X,X,X,O,X,X
IJTOZLS,X,X,X,X,O,O,O,X,X
IJTOZSL,X,X,X,X,X,O,O,X,X
IJLTSZO,X,O,O,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X
IJLTZSO,X,O,O,X,O,X,X,X,X
IJLTZOS,X,O,O,X,O,X,X,X,X
IJLTOSZ,X,O,X,X,X,X,X,X,X
IJLTOZS,X,O,X,X,O,X,X,X,X
IJLSTZO,X,O,O,X,X,X,X,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,X
IJLSZTO,X,O,O,O,X,X,X,X,X
IJLSZOT,X,O,O,O,X,X,X,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,X
IJLSOZT,X,O,O,O,X,X,X,X,X
IJLZTSO,X,O,O,X,O,X,X,X,X
IJLZTOS,X,O,O,O,O,O,X,X,X
IJLZSTO,X,O,O,O,O,O,X,X,X
IJLZSOT,X,O,O,O,O,O,X,X,X
IJLZOTS,X,O,O,O,O,O,X,X,X
IJLZOST,X,O,O,O,O,O,X,X,X
IJLOTSZ,X,O,X,X,X,X,X,X,X
IJLOTZS,X,O,X,X,O,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,X,X,X
IJLOSZT,X,O,O,O,X,X,X,X,X
IJLOZTS,X,O,O,O,O,O,X,X,X
IJLOZST,X,O,O,O,O,O,X,X,X
IJSTLZO,X,O,O,X,X,X,X,X,O
IJSTLOZ,X,O,X,X,X,X,O,X,O
IJSTZLO,X,O,O,X,X,X,X,X,O
IJSTZOL,X,X,O,X,X,X,O,X,O
IJSTOLZ,X,X,X,X,X,X,O,X,O
IJSTOZL,X,X,X,X,X,X,O,X,O
IJSLTZO,X,O,O,X,X,X,X,X,O
IJSLTOZ,X,O,X,X,X,X,X,X,O
IJSLZTO,X,O,O,O,X,X,X,X,X
