sequence,v115@NhA8HeF8DeE8Je0/IvhFRiBSoB/pBFmBTqBmqB,v115@NhA8HeF8DeE8JeUBJvhFRiBSoB/pBFlBzqBmpB,v115@NhA8HeF8DeE8JeT/IvhFRiBSoB/qBFmB0pBmqB,v115@NhA8HeF8DeE8JeT/IvhFlgBRiBSoB/qBOrB0pB,v115@NhA8HeF8DeE8Jem/IvhFUhBRiBSoBTkBfrBVvB,v115@NhA8HeF8DeE8JeRCJvhFSoBTkB/qBFmB0pBmqB,v115@NhA8HeF8DeE8Jex/IvhFGiBTjB/pBUlBFmByvB,v115@NhA8HeF8DeE8JeOEJvhF8kBRiBSoBFmBXqBzqB
TZSILOJ,O,X,O,O,O,O,O,O
TZSIJLO,O,X,O,O,O,X,O,O
TZSIJOL,X,X,O,O,O,X,O,O
TZSIOLJ,O,X,O,O,O,O,O,O
TZSIOJL,X,X,O,O,O,X,O,O
TZSLIJO,O,X,O,O,O,X,O,O
TZSLIOJ,O,X,O,O,O,O,O,O
TZSLJIO,O,X,O,O,O,X,O,O
TZSLJOI,O,X,O,O,O,X,O,O
TZSLOIJ,O,X,O,O,O,O,O,O
TZSLOJI,O,X,O,O,O,O,O,O
TZSJILO,O,X,O,O,O,X,O,O
TZSJIOL,X,X,O,O,O,X,O,O
TZSJLIO,O,X,O,O,O,X,O,O
TZSJLOI,O,X,O,O,O,X,O,O
TZSJOIL,X,X,O,O,O,X,O,O
TZSJOLI,X,X,O,O,O,X,O,O
TZSOILJ,O,X,O,O,O,O,O,O
TZSOIJL,X,X,O,O,O,X,O,O
TZSOLIJ,O,X,O,O,O,O,O,O
TZSOLJI,O,X,O,O,O,O,O,O
TZSOJIL,X,X,O,O,O,X,O,O
TZSOJLI,X,X,O,O,O,X,O,O
TZOILJS,X,X,X,O,O,X,X,X
TZOILSJ,O,O,O,O,O,X,X,X
TZOIJLS,X,X,X,O,O,X,X,X
TZOIJSL,X,X,X,O,O,X,X,X
TZOISLJ,O,O,O,O,O,X,X,X
TZOISJL,O,O,O,O,O,X,X,X
TZOLIJS,X,X,X,O,O,X,X,X
TZOLISJ,O,O,O,O,O,X,X,X
TZOLJIS,X,X,X,O,O,X,X,X
TZOLJSI,X,X,X,O,O,X,X,X
TZOLSIJ,O,O,O,O,O,X,X,X
TZOLSJI,O,O,O,O,O,X,X,X
TZOJILS,X,X,X,O,O,X,X,X
TZOJISL,X,X,X,O,O,X,X,X
TZOJLIS,X,X,X,O,O,X,X,X
TZOJLSI,X,X,X,O,O,X,X,X
TZOJSIL,X,X,X,O,O,X,O,X
TZOJSLI,X,X,X,O,O,X,O,X
TZOSILJ,O,O,O,O,O,X,O,X
TZOSIJL,O,O,O,O,O,X,O,X
TZOSLIJ,O,O,O,O,O,X,O,X
TZOSLJI,O,O,O,O,O,X,O,X
TZOSJIL,O,O,O,O,O,X,O,X
TZOSJLI,O,O,O,O,O,X,O,X
TOILJSZ,O,X,X,X,O,X,X,X
TOILJZS,X,X,X,X,O,X,X,X
TOILSJZ,O,O,X,X,O,O,X,X
TOILSZJ,O,O,O,X,O,O,X,O
TOILZJS,X,X,X,X,O,X,X,X
TOILZSJ,O,O,X,X,O,X,X,X
TOIJLSZ,O,X,X,X,O,X,X,X
TOIJLZS,X,X,X,X,O,X,X,X
TOIJSLZ,O,X,X,X,O,X,X,X
TOIJSZL,O,X,X,X,O,X,O,X
TOIJZLS,X,X,X,X,O,X,X,X
TOIJZSL,X,X,X,X,O,X,X,X
TOISLJZ,O,O,X,X,O,O,X,X
TOISLZJ,O,O,O,X,O,O,X,O
TOISJLZ,O,O,X,X,O,O,X,X
TOISJZL,O,O,X,X,O,X,O,X
TOISZLJ,O,O,O,X,O,O,O,O
TOISZJL,O,O,O,X,O,X,O,O
TOIZLJS,X,X,X,X,O,X,X,X
TOIZLSJ,O,O,X,X,O,X,X,X
TOIZJLS,X,X,X,X,O,X,X,X
TOIZJSL,X,X,X,X,O,X,X,X
TOIZSLJ,O,O,X,X,O,X,X,X
TOIZSJL,O,O,X,X,O,X,X,X
TOLIJSZ,O,X,X,X,O,X,X,X
TOLIJZS,X,X,X,X,O,X,X,X
TOLISJZ,O,O,X,X,O,O,X,X
TOLISZJ,O,O,O,X,O,O,X,O
TOLIZJS,X,X,X,X,O,X,X,X
TOLIZSJ,O,O,X,X,O,X,X,X
TOLJISZ,O,X,X,X,O,X,X,X
TOLJIZS,X,X,X,X,O,X,X,X
TOLJSIZ,O,X,X,X,O,X,X,X
TOLJSZI,O,X,X,X,O,X,O,X
TOLJZIS,X,X,X,X,O,X,X,X
TOLJZSI,X,X,X,X,O,X,X,X
TOLSIJZ,O,O,X,X,O,O,X,X
TOLSIZJ,O,O,O,X,O,O,X,O
TOLSJIZ,O,O,X,X,O,O,X,X
TOLSJZI,O,O,X,X,O,O,O,X
TOLSZIJ,O,O,O,X,O,O,O,O
TOLSZJI,O,O,O,X,O,O,O,O
TOLZIJS,X,X,X,X,O,X,X,X
TOLZISJ,O,O,X,X,O,X,X,X
TOLZJIS,X,X,X,X,O,X,X,X
TOLZJSI,X,X,X,X,O,X,X,X
TOLZSIJ,O,O,X,X,O,X,X,X
TOLZSJI,O,O,X,X,O,X,X,X
TOJILSZ,O,X,X,X,O,X,X,X
TOJILZS,X,X,X,X,O,X,X,X
TOJISLZ,O,X,X,X,O,X,X,X
TOJISZL,O,X,X,X,O,X,O,X
TOJIZLS,X,X,X,X,O,X,X,X
TOJIZSL,X,X,X,X,O,X,X,X
TOJLISZ,O,X,X,X,O,X,X,X
TOJLIZS,X,X,X,X,O,X,X,X
TOJLSIZ,O,X,X,X,O,X,X,X
TOJLSZI,O,X,X,X,O,X,O,X
TOJLZIS,X,X,X,X,O,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X
TOJSILZ,O,X,X,X,O,X,X,X
TOJSIZL,O,X,X,X,O,X,O,X
TOJSLIZ,O,X,X,X,O,X,X,X
TOJSLZI,O,X,X,X,O,X,O,X
TOJSZIL,O,X,X,X,O,X,O,X
TOJSZLI,O,X,X,X,O,X,O,X
TOJZILS,X,X,X,X,O,X,X,X
TOJZISL,X,X,X,X,O,X,X,X
TOJZLIS,X,X,X,X,O,X,X,X
TOJZLSI,X,X,X,X,O,X,X,X
TOJZSIL,X,X,X,X,O,X,O,X
TOJZSLI,X,X,X,X,O,X,O,X
TOSILJZ,O,O,X,X,O,O,X,X
TOSILZJ,O,O,O,X,O,O,X,O
TOSIJLZ,O,O,X,X,O,O,X,X
TOSIJZL,O,O,X,X,O,X,O,X
TOSIZLJ,O,O,O,X,O,O,O,O
TOSIZJL,O,O,O,X,O,X,O,O
TOSLIJZ,O,O,X,X,O,O,X,X
TOSLIZJ,O,O,O,X,O,O,X,O
TOSLJIZ,O,O,X,X,O,O,X,X
TOSLJZI,O,O,X,X,O,O,O,X
TOSLZIJ,O,O,O,X,O,O,O,O
TOSLZJI,O,O,O,X,O,O,O,O
TOSJILZ,O,O,X,X,O,O,X,X
TOSJIZL,O,O,X,X,O,X,O,X
TOSJLIZ,O,O,X,X,O,O,X,X
TOSJLZI,O,O,X,X,O,O,O,X
TOSJZIL,O,O,X,X,O,X,O,X
TOSJZLI,O,O,X,X,O,X,O,X
TOSZILJ,O,O,O,X,O,O,O,O
TOSZIJL,O,O,O,X,O,X,O,O
TOSZLIJ,O,O,O,X,O,O,O,O
TOSZLJI,O,O,O,X,O,O,O,O
TOSZJIL,O,O,O,X,O,X,O,O
TOSZJLI,O,O,O,X,O,X,O,O
TOZILJS,X,X,X,X,O,X,X,X
TOZILSJ,O,O,X,X,O,X,X,X
TOZIJLS,X,X,X,X,O,X,X,X
TOZIJSL,X,X,X,X,O,X,X,X
TOZISLJ,O,O,X,X,O,X,X,X
TOZISJL,O,O,X,X,O,X,X,X
TOZLIJS,X,X,X,X,O,X,X,X
TOZLISJ,O,O,X,X,O,X,X,X
TOZLJIS,X,X,X,X,O,X,X,X
TOZLJSI,X,X,X,X,O,X,X,X
TOZLSIJ,O,O,X,X,O,X,X,X
TOZLSJI,O,O,X,X,O,X,X,X
TOZJILS,X,X,X,X,O,X,X,X
TOZJISL,X,X,X,X,O,X,X,X
TOZJLIS,X,X,X,X,O,X,X,X
TOZJLSI,X,X,X,X,O,X,X,X
TOZJSIL,X,X,X,X,O,X,O,X
TOZJSLI,X,X,X,X,O,X,O,X
TOZSILJ,O,O,X,X,O,X,O,X
TOZSIJL,O,O,X,X,O,X,O,X
TOZSLIJ,O,O,X,X,O,X,O,X
TOZSLJI,O,O,X,X,O,X,O,X
TOZSJIL,O,O,X,X,O,X,O,X
TOZSJLI,O,O,X,X,O,X,O,X
ITLJSZO,O,X,O,O,O,X,X,O
ITLJSOZ,X,X,X,O,O,O,X,X
ITLJZSO,X,X,X,O,O,X,X,X
ITLJZOS,X,X,X,O,X,X,X,X
ITLJOSZ,O,X,X,O,O,X,X,X
ITLJOZS,X,X,X,X,O,X,X,X
ITLSJZO,O,X,O,O,O,X,X,O
ITLSJOZ,X,X,X,X,O,O,X,X
ITLSZJO,O,X,O,O,O,X,X,O
ITLSZOJ,O,X,O,O,O,O,X,O
ITLSOJZ,O,O,X,X,O,O,X,X
ITLSOZJ,O,O,O,O,O,O,X,O
ITLZJSO,X,X,X,O,O,X,X,X
ITLZJOS,X,X,X,O,X,X,X,X
ITLZSJO,O,X,O,O,O,X,X,O
ITLZSOJ,O,X,O,O,O,O,X,O
ITLZOJS,X,X,X,O,O,X,X,X
ITLZOSJ,O,O,O,O,O,X,X,X
ITLOJSZ,O,X,X,X,O,X,X,X
ITLOJZS,X,X,X,X,O,X,X,X
ITLOSJZ,O,O,X,X,O,O,X,X
ITLOSZJ,O,O,O,X,O,O,X,O
ITLOZJS,X,X,X,X,O,X,X,X
ITLOZSJ,O,O,X,X,O,X,X,X
ITJLSZO,O,X,O,O,O,X,X,O
ITJLSOZ,X,X,X,O,O,O,X,X
ITJLZSO,X,X,X,O,O,X,X,X
ITJLZOS,X,X,X,O,X,X,X,X
ITJLOSZ,O,X,X,O,O,X,X,X
ITJLOZS,X,X,X,X,O,X,X,X
ITJSLZO,O,X,O,O,O,X,X,O
ITJSLOZ,X,X,X,O,O,O,X,X
ITJSZLO,O,X,O,O,O,X,O,O
ITJSZOL,X,X,O,O,O,X,O,O
ITJSOLZ,X,X,X,O,O,O,X,X
ITJSOZL,X,X,X,O,O,X,O,X
ITJZLSO,X,X,X,O,O,X,X,X
ITJZLOS,X,X,X,O,X,X,X,X
ITJZSLO,X,X,X,O,O,X,X,X
ITJZSOL,X,X,X,O,O,X,X,X
ITJZOLS,X,X,X,O,X,X,X,X
ITJZOSL,X,X,X,O,X,X,X,X
ITJOLSZ,O,X,X,O,O,X,X,X
ITJOLZS,X,X,X,X,O,X,X,X
ITJOSLZ,O,X,X,O,O,X,X,X
ITJOSZL,O,X,X,O,O,X,O,X
ITJOZLS,X,X,X,X,O,X,X,X
ITJOZSL,X,X,X,X,O,X,X,X
ITSLJZO,O,X,O,O,O,X,X,O
ITSLJOZ,X,X,X,X,O,O,X,X
ITSLZJO,O,X,O,O,O,X,X,O
ITSLZOJ,O,X,O,O,O,O,X,O
ITSLOJZ,O,O,X,X,O,O,X,X
ITSLOZJ,O,O,O,O,O,O,X,O
ITSJLZO,O,X,O,O,O,X,X,O
ITSJLOZ,X,X,X,X,O,O,X,X
ITSJZLO,O,X,O,O,O,X,O,O
ITSJZOL,X,X,O,O,O,X,O,O
ITSJOLZ,X,X,X,X,O,O,X,X
ITSJOZL,X,X,X,X,O,X,O,X
ITSZLJO,O,X,O,O,O,X,O,O
ITSZLOJ,O,X,O,O,O,O,O,O
ITSZJLO,O,X,O,O,O,X,O,O
ITSZJOL,X,X,O,O,O,X,O,O
ITSZOLJ,O,X,O,O,O,O,O,O
ITSZOJL,O,X,O,O,O,X,O,O
ITSOLJZ,O,O,X,X,O,O,X,X
ITSOLZJ,O,O,O,O,O,O,X,O
ITSOJLZ,O,O,X,X,O,O,X,X
ITSOJZL,O,O,X,X,O,X,O,X
ITSOZLJ,O,O,O,O,O,O,O,O
ITSOZJL,O,O,O,O,O,X,O,O
ITZLJSO,X,X,X,O,O,X,X,X
ITZLJOS,X,X,X,O,X,X,X,X
ITZLSJO,O,X,O,O,O,X,X,O
ITZLSOJ,O,X,O,O,O,O,X,O
ITZLOJS,X,X,X,O,O,X,X,X
ITZLOSJ,O,O,O,O,O,X,X,X
ITZJLSO,X,X,X,O,O,X,X,X
ITZJLOS,X,X,X,O,X,X,X,X
ITZJSLO,X,X,X,O,O,X,X,X
ITZJSOL,X,X,X,O,O,X,X,X
ITZJOLS,X,X,X,O,X,X,X,X
ITZJOSL,X,X,X,O,X,X,X,X
ITZSLJO,O,X,O,O,O,X,X,O
ITZSLOJ,O,X,O,O,O,O,X,O
ITZSJLO,O,X,O,O,O,X,X,O
ITZSJOL,X,X,O,O,O,X,X,O
ITZSOLJ,O,X,O,O,O,O,X,O
ITZSOJL,X,X,O,O,O,X,X,O
ITZOLJS,X,X,X,O,O,X,X,X
ITZOLSJ,O,O,O,O,O,X,X,X
ITZOJLS,X,X,X,O,O,X,X,X
ITZOJSL,X,X,X,O,O,X,X,X
ITZOSLJ,O,O,O,O,O,X,X,X
ITZOSJL,O,O,O,O,O,X,X,X
ITOLJSZ,O,X,X,X,O,X,X,X
ITOLJZS,X,X,X,X,O,X,X,X
ITOLSJZ,O,O,X,X,O,O,X,X
ITOLSZJ,O,O,O,X,O,O,X,O
ITOLZJS,X,X,X,X,O,X,X,X
ITOLZSJ,O,O,X,X,O,X,X,X
ITOJLSZ,O,X,X,X,O,X,X,X
ITOJLZS,X,X,X,X,O,X,X,X
ITOJSLZ,O,X,X,X,O,X,X,X
ITOJSZL,O,X,X,X,O,X,O,X
ITOJZLS,X,X,X,X,O,X,X,X
ITOJZSL,X,X,X,X,O,X,X,X
ITOSLJZ,O,O,X,X,O,O,X,X
ITOSLZJ,O,O,O,X,O,O,X,O
ITOSJLZ,O,O,X,X,O,O,X,X
ITOSJZL,O,O,X,X,O,X,O,X
ITOSZLJ,O,O,O,X,O,O,O,O
ITOSZJL,O,O,O,X,O,X,O,O
ITOZLJS,X,X,X,X,O,X,X,X
ITOZLSJ,O,O,X,X,O,X,X,X
ITOZJLS,X,X,X,X,O,X,X,X
ITOZJSL,X,X,X,X,O,X,X,X
ITOZSLJ,O,O,X,X,O,X,X,X
ITOZSJL,O,O,X,X,O,X,X,X
ILTJSZO,O,X,O,O,O,X,X,O
ILTJSOZ,X,X,X,O,O,O,X,X
ILTJZSO,X,X,X,O,O,X,X,X
ILTJZOS,X,X,X,O,X,X,X,X
ILTJOSZ,O,X,X,O,O,X,X,X
ILTJOZS,X,X,X,X,O,X,X,X
ILTSJZO,O,X,O,O,O,X,X,O
ILTSJOZ,X,X,X,X,O,O,X,X
ILTSZJO,O,X,O,O,O,X,X,O
ILTSZOJ,O,X,O,O,O,O,X,O
ILTSOJZ,O,O,X,X,O,O,X,X
ILTSOZJ,O,O,O,O,O,O,X,O
ILTZJSO,X,X,X,O,O,X,X,X
ILTZJOS,X,X,X,O,X,X,X,X
ILTZSJO,O,X,O,O,O,X,X,O
ILTZSOJ,O,X,O,O,O,O,X,O
ILTZOJS,X,X,X,O,O,X,X,X
ILTZOSJ,O,O,O,O,O,X,X,X
ILTOJSZ,O,X,X,X,O,X,X,X
ILTOJZS,X,X,X,X,O,X,X,X
ILTOSJZ,O,O,X,X,O,O,X,X
ILTOSZJ,O,O,O,X,O,O,X,O
ILTOZJS,X,X,X,X,O,X,X,X
ILTOZSJ,O,O,X,X,O,X,X,X
ILJTSZO,O,X,O,O,O,X,X,O
ILJTSOZ,X,X,X,O,O,O,X,X
ILJTZSO,X,X,X,O,O,X,X,X
ILJTZOS,X,X,X,O,X,X,X,X
ILJTOSZ,O,X,X,O,O,X,X,X
ILJTOZS,X,X,X,X,O,X,X,X
ILJSTZO,O,X,O,O,X,X,X,O
ILJSTOZ,X,X,X,O,X,O,X,X
ILJSZTO,O,X,O,O,X,X,X,O
ILJSZOT,O,X,O,O,X,X,X,O
ILJSOTZ,O,O,X,O,X,O,X,X
ILJSOZT,O,O,X,O,X,X,X,X
ILJZTSO,X,X,X,O,X,X,X,X
ILJZTOS,X,X,X,O,X,X,X,X
ILJZSTO,X,X,O,O,X,X,X,X
ILJZSOT,X,X,O,O,X,X,X,X
ILJZOTS,X,X,X,O,X,X,X,X
ILJZOST,X,O,O,O,X,X,X,X
ILJOTSZ,O,X,X,O,O,X,X,X
ILJOTZS,X,X,X,X,O,X,X,X
ILJOSTZ,O,O,X,O,O,O,X,X
ILJOSZT,O,O,X,O,X,X,X,X
ILJOZTS,X,X,X,O,O,X,X,X
ILJOZST,X,O,X,O,X,X,X,X
ILSTJZO,O,X,O,O,O,X,X,O
ILSTJOZ,X,X,X,X,O,O,X,X
ILSTZJO,O,X,O,O,O,X,X,O
ILSTZOJ,O,X,O,O,O,O,X,O
ILSTOJZ,O,O,X,X,O,O,X,X
ILSTOZJ,O,O,O,O,O,O,X,O
ILSJTZO,O,X,O,O,X,X,X,O
ILSJTOZ,X,X,X,O,X,O,X,X
ILSJZTO,O,X,O,O,X,X,X,O
ILSJZOT,O,X,O,O,X,X,X,O
ILSJOTZ,O,O,X,O,X,O,X,X
ILSJOZT,O,O,X,O,X,X,X,X
ILSZTJO,O,X,O,O,X,X,X,O
ILSZTOJ,O,X,O,O,X,O,X,O
ILSZJTO,O,X,O,O,X,X,X,O
ILSZJOT,O,X,O,O,X,X,X,O
ILSZOTJ,O,O,O,O,X,O,X,O
ILSZOJT,O,O,O,O,X,X,X,O
ILSOTJZ,O,O,X,X,O,O,X,X
ILSOTZJ,O,O,O,O,O,O,X,O
ILSOJTZ,O,O,X,X,O,O,X,X
ILSOJZT,O,O,X,X,X,X,X,X
ILSOZTJ,O,O,O,O,X,O,X,O
ILSOZJT,O,O,O,O,X,X,X,O
ILZTJSO,X,X,X,O,O,X,X,X
ILZTJOS,X,X,X,O,X,X,X,X
ILZTSJO,O,X,O,O,O,X,X,O
ILZTSOJ,O,X,O,O,O,O,X,O
ILZTOJS,X,X,X,O,O,X,X,X
ILZTOSJ,O,O,O,O,O,X,X,X
ILZJTSO,X,X,X,O,X,X,X,X
ILZJTOS,X,X,X,O,X,X,X,X
ILZJSTO,X,X,O,O,X,X,X,X
ILZJSOT,X,X,O,O,X,X,X,X
ILZJOTS,X,X,X,O,X,X,X,X
ILZJOST,X,O,O,O,X,X,X,X
ILZSTJO,O,X,O,O,X,X,X,O
ILZSTOJ,O,X,O,O,X,O,X,O
ILZSJTO,O,X,O,O,X,X,X,O
ILZSJOT,O,X,O,O,X,X,X,O
ILZSOTJ,O,O,O,O,X,O,X,O
ILZSOJT,O,O,O,O,X,X,X,O
ILZOTJS,X,X,X,O,O,X,X,X
ILZOTSJ,O,O,O,O,O,X,X,X
ILZOJTS,X,X,X,O,O,X,X,X
ILZOJST,X,O,O,O,X,X,X,X
ILZOSTJ,O,O,O,O,X,O,X,X
ILZOSJT,O,O,O,O,X,X,X,X
ILOTJSZ,O,X,X,X,O,X,X,X
ILOTJZS,X,X,X,X,O,X,X,X
ILOTSJZ,O,O,X,X,O,O,X,X
ILOTSZJ,O,O,O,X,O,O,X,O
ILOTZJS,X,X,X,X,O,X,X,X
ILOTZSJ,O,O,X,X,O,X,X,X
ILOJTSZ,O,X,X,O,O,X,X,X
ILOJTZS,X,X,X,X,O,X,X,X
ILOJSTZ,O,O,X,O,O,O,X,X
ILOJSZT,O,O,X,O,X,X,X,X
ILOJZTS,X,X,X,O,O,X,X,X
ILOJZST,X,O,X,O,X,X,X,X
ILOSTJZ,O,O,X,X,O,O,X,X
ILOSTZJ,O,O,O,O,O,O,X,O
ILOSJTZ,O,O,X,X,O,O,X,X
ILOSJZT,O,O,X,X,X,X,X,X
ILOSZTJ,O,O,O,O,X,O,X,O
ILOSZJT,O,O,O,O,X,X,X,O
ILOZTJS,X,X,X,O,O,X,X,X
ILOZTSJ,O,O,O,O,O,X,X,X
ILOZJTS,X,X,X,O,O,X,X,X
ILOZJST,X,O,O,O,X,X,X,X
ILOZSTJ,O,O,O,O,X,O,X,X
ILOZSJT,O,O,O,O,X,X,X,X
IJTLSZO,O,X,O,O,O,X,X,O
IJTLSOZ,X,X,X,O,O,O,X,X
IJTLZSO,X,X,X,O,O,X,X,X
IJTLZOS,X,X,X,O,X,X,X,X
IJTLOSZ,O,X,X,O,O,X,X,X
IJTLOZS,X,X,X,X,O,X,X,X
IJTSLZO,O,X,O,O,O,X,X,O
IJTSLOZ,X,X,X,O,O,O,X,X
IJTSZLO,O,X,O,O,O,X,O,O
IJTSZOL,X,X,O,O,O,X,O,O
IJTSOLZ,X,X,X,O,O,O,X,X
IJTSOZL,X,X,X,O,O,X,O,X
IJTZLSO,X,X,X,O,O,X,X,X
IJTZLOS,X,X,X,O,X,X,X,X
IJTZSLO,X,X,X,O,O,X,X,X
IJTZSOL,X,X,X,O,O,X,X,X
IJTZOLS,X,X,X,O,X,X,X,X
IJTZOSL,X,X,X,O,X,X,X,X
IJTOLSZ,O,X,X,O,O,X,X,X
IJTOLZS,X,X,X,X,O,X,X,X
IJTOSLZ,O,X,X,O,O,X,X,X
IJTOSZL,O,X,X,O,O,X,O,X
IJTOZLS,X,X,X,X,O,X,X,X
IJTOZSL,X,X,X,X,O,X,X,X
IJLTSZO,O,X,O,O,O,X,X,O
IJLTSOZ,X,X,X,O,O,O,X,X
IJLTZSO,X,X,X,O,O,X,X,X
IJLTZOS,X,X,X,O,X,X,X,X
IJLTOSZ,O,X,X,O,O,X,X,X
IJLTOZS,X,X,X,X,O,X,X,X
IJLSTZO,O,X,O,O,X,X,X,O
IJLSTOZ,X,X,X,O,X,O,X,X
IJLSZTO,O,X,O,O,X,X,X,O
IJLSZOT,O,X,O,O,X,X,X,O
IJLSOTZ,O,O,X,O,X,O,X,X
IJLSOZT,O,O,X,O,X,X,X,X
IJLZTSO,X,X,X,O,X,X,X,X
IJLZTOS,X,X,X,O,X,X,X,X
IJLZSTO,X,X,O,O,X,X,X,X
IJLZSOT,X,X,O,O,X,X,X,X
IJLZOTS,X,X,X,O,X,X,X,X
IJLZOST,X,O,O,O,X,X,X,X
IJLOTSZ,O,X,X,O,O,X,X,X
IJLOTZS,X,X,X,X,O,X,X,X
IJLOSTZ,O,O,X,O,O,O,X,X
IJLOSZT,O,O,X,O,X,X,X,X
IJLOZTS,X,X,X,O,O,X,X,X
IJLOZST,X,O,X,O,X,X,X,X
IJSTLZO,O,X,O,O,X,X,X,O
IJSTLOZ,X,X,X,O,X,O,X,X
IJSTZLO,O,X,O,O,X,X,O,O
IJSTZOL,X,X,O,O,X,X,O,O
IJSTOLZ,X,X,X,O,X,O,X,X
IJSTOZL,X,X,X,O,X,X,O,X
IJSLTZO,O,X,O,O,X,X,X,O
IJSLTOZ,X,X,X,O,X,O,X,X
IJSLZTO,O,X,O,O,X,X,X,O
IJSLZOT,O,X,O,O,X,X,X,O
IJSLOTZ,O,O,X,O,X,O,X,X
IJSLOZT,O,O,X,O,X,X,X,X
IJSZTLO,O,X,O,O,X,X,O,O
IJSZTOL,X,X,O,O,X,X,O,O
IJSZLTO,O,X,O,O,X,X,X,O
IJSZLOT,O,X,O,O,X,X,X,O
IJSZOTL,O,X,O,O,X,X,O,O
IJSZOLT,O,X,O,O,X,X,X,O
IJSOTLZ,O,O,X,O,X,O,X,X
IJSOTZL,O,O,X,O,X,X,O,X
IJSOLTZ,O,O,X,O,X,O,X,X
IJSOLZT,O,O,X,O,X,X,X,X
IJSOZTL,O,O,X,O,X,X,O,X
IJSOZLT,O,O,X,O,X,X,X,X
IJZTLSO,X,X,X,O,X,X,X,X
IJZTLOS,X,X,X,O,X,X,X,X
IJZTSLO,X,X,X,O,X,X,X,X
IJZTSOL,X,X,X,O,X,X,X,X
IJZTOLS,X,X,X,O,X,X,X,X
IJZTOSL,X,X,X,O,X,X,X,X
IJZLTSO,X,X,X,O,X,X,X,X
IJZLTOS,X,X,X,O,X,X,X,X
IJZLSTO,X,X,O,O,X,X,X,X
IJZLSOT,X,X,O,O,X,X,X,X
IJZLOTS,X,X,X,O,X,X,X,X
IJZLOST,X,O,O,O,X,X,X,X
IJZSTLO,X,X,O,O,X,X,X,X
IJZSTOL,X,X,O,O,X,X,X,X
IJZSLTO,X,X,O,O,X,X,X,X
IJZSLOT,X,X,O,O,X,X,X,X
IJZSOTL,X,X,O,O,X,X,X,X
IJZSOLT,X,X,O,O,X,X,X,X
IJZOTLS,X,X,X,O,X,X,X,X
IJZOTSL,X,X,X,O,X,X,X,X
IJZOLTS,X,X,X,O,X,X,X,X
IJZOLST,X,O,O,O,X,X,X,X
IJZOSTL,X,O,O,O,X,X,X,X
IJZOSLT,X,O,O,O,X,X,X,X
IJOTLSZ,O,X,X,O,O,X,X,X
IJOTLZS,X,X,X,X,O,X,X,X
IJOTSLZ,O,X,X,O,O,X,X,X
IJOTSZL,O,X,X,O,O,X,O,X
IJOTZLS,X,X,X,X,O,X,X,X
IJOTZSL,X,X,X,X,O,X,X,X
IJOLTSZ,O,X,X,O,O,X,X,X
IJOLTZS,X,X,X,X,O,X,X,X
IJOLSTZ,O,O,X,O,O,O,X,X
IJOLSZT,O,O,X,O,X,X,X,X
IJOLZTS,X,X,X,O,O,X,X,X
IJOLZST,X,O,X,O,X,X,X,X
IJOSTLZ,O,O,X,O,O,O,X,X
IJOSTZL,O,O,X,O,O,X,O,X
IJOSLTZ,O,O,X,O,O,O,X,X
IJOSLZT,O,O,X,O,X,X,X,X
IJOSZTL,O,O,X,O,X,X,O,X
IJOSZLT,O,O,X,O,X,X,X,X
IJOZTLS,X,X,X,O,O,X,X,X
IJOZTSL,X,X,X,O,O,X,X,X
IJOZLTS,X,X,X,O,O,X,X,X
IJOZLST,X,O,X,O,X,X,X,X
IJOZSTL,X,O,X,O,X,X,X,X
IJOZSLT,X,O,X,O,X,X,X,X
ISTLJZO,O,X,O,O,O,X,X,O
ISTLJOZ,X,X,X,X,O,O,X,X
ISTLZJO,O,X,O,O,O,X,X,O
ISTLZOJ,O,X,O,O,O,O,X,O
ISTLOJZ,O,O,X,X,O,O,X,X
ISTLOZJ,O,O,O,O,O,O,X,O
ISTJLZO,O,X,O,O,O,X,X,O
ISTJLOZ,X,X,X,X,O,O,X,X
ISTJZLO,O,X,O,O,O,X,O,O
ISTJZOL,X,X,O,O,O,X,O,O
ISTJOLZ,X,X,X,X,O,O,X,X
ISTJOZL,X,X,X,X,O,X,O,X
ISTZLJO,O,X,O,O,O,X,O,O
ISTZLOJ,O,X,O,O,O,O,O,O
ISTZJLO,O,X,O,O,O,X,O,O
ISTZJOL,X,X,O,O,O,X,O,O
ISTZOLJ,O,X,O,O,O,O,O,O
ISTZOJL,O,X,O,O,O,X,O,O
ISTOLJZ,O,O,X,X,O,O,X,X
ISTOLZJ,O,O,O,O,O,O,X,O
ISTOJLZ,O,O,X,X,O,O,X,X
ISTOJZL,O,O,X,X,O,X,O,X
ISTOZLJ,O,O,O,O,O,O,O,O
ISTOZJL,O,O,O,O,O,X,O,O
ISLTJZO,O,X,O,O,O,X,X,O
ISLTJOZ,X,X,X,X,O,O,X,X
ISLTZJO,O,X,O,O,O,X,X,O
ISLTZOJ,O,X,O,O,O,O,X,O
ISLTOJZ,O,O,X,X,O,O,X,X
ISLTOZJ,O,O,O,O,O,O,X,O
ISLJTZO,O,X,O,O,X,X,X,O
ISLJTOZ,X,X,X,O,X,O,X,X
ISLJZTO,O,X,O,O,X,X,X,O
ISLJZOT,O,X,O,O,X,X,X,O
ISLJOTZ,O,O,X,O,X,O,X,X
ISLJOZT,O,O,X,O,X,X,X,X
