sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TJZIOSL,O,O,X,X,X
TJZLISO,X,O,O,X,X
TJZLIOS,X,O,X,X,X
TJZLSIO,X,O,O,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,O,X,X,X
TJZLOSI,X,O,X,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,X,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,O,X,X,X
TJZSOLI,O,O,X,X,X
TJZOILS,X,O,X,X,X
TJZOISL,O,O,X,X,X
TJZOLIS,X,O,X,X,X
TJZOLSI,X,O,X,X,X
TJZOSIL,O,O,X,X,X
TJZOSLI,O,O,X,X,X
TJOILSZ,O,X,X,X,O
TJOILZS,X,O,X,X,O
TJOISLZ,O,X,X,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,X,O,X,X,X
TJOIZSL,O,O,X,X,X
TJOLISZ,O,X,X,X,O
TJOLIZS,X,O,X,X,O
TJOLSIZ,O,X,X,X,X
TJOLSZI,O,X,X,X,X
TJOLZIS,X,O,X,X,X
TJOLZSI,X,O,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,X,X,X,X
TJOSLZI,O,X,X,X,X
TJOSZIL,O,O,X,X,X
TJOSZLI,O,O,X,X,X
TJOZILS,X,O,X,X,X
TJOZISL,O,O,X,X,X
TJOZLIS,X,O,X,X,X
TJOZLSI,X,O,X,X,X
TJOZSIL,O,O,X,X,X
TJOZSLI,O,O,X,X,X
TSILJZO,O,X,X,X,X
TSILJOZ,O,X,X,X,X
TSILZJO,O,X,O,X,X
TSILZOJ,O,X,O,X,X
TSILOJZ,O,X,X,X,X
TSILOZJ,O,X,O,X,X
TSIJLZO,O,X,X,X,X
TSIJLOZ,O,X,X,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,O,O,X,X,X
TSIJOLZ,O,X,X,X,X
TSIJOZL,O,O,X,X,X
TSIZLJO,O,O,O,X,X
TSIZLOJ,O,X,O,X,X
TSIZJLO,O,O,O,X,X
TSIZJOL,O,O,X,X,X
TSIZOLJ,O,O,X,X,X
TSIZOJL,O,O,X,X,X
TSIOLJZ,O,X,X,X,X
TSIOLZJ,O,X,X,X,X
TSIOJLZ,O,X,X,X,X
TSIOJZL,O,O,X,X,X
