sequence,v115@EhA8HeB8HeD8EeE8Je0/IvhFZmBumBTjBNpBXqB6qB,v115@EhA8HeB8HeD8EeE8Je0/IvhF3hBTjBNpBWrBilBRvB,v115@EhA8HeB8HeD8EeE8JeZEJvhFukBihBTjBcrBXqB9qB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrB3pBmqBUqB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrBUqBmqB3pB,v115@EhA8HeB8HeD8EeE8JeZEJvhFdmBumBTjBCqBfqB0qB,v115@EhA8HeB8HeD8EeE8JedFJvhFRhBTjBCmB0pBXrBOpB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBcrBGqBiqB3pB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBuqBcrB3pBaqB,v115@EhA8HeB8HeD8EeE8JeRAJvhFumBTjB/qBarB0pBNpB,v115@EhA8HeB8HeD8EeE8Jei/IvhFZmBumBTjBcpBXqB9qB
TSZILJO,O,O,X,X,X,X,O,X,X,X,X
TSZILOJ,O,O,X,X,X,X,O,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X,X,O,X,O
TSZIJOL,O,O,O,X,X,X,X,X,O,X,O
TSZIOLJ,O,O,X,X,X,X,O,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X,X,O,X,O
TSZLIJO,O,X,X,O,X,X,O,X,X,X,X
TSZLIOJ,O,X,X,O,X,X,O,X,X,X,X
TSZLJIO,O,X,X,O,X,X,O,X,O,O,X
TSZLJOI,O,O,X,O,X,X,O,X,O,O,X
TSZLOIJ,O,X,X,O,X,X,O,X,X,X,X
TSZLOJI,O,O,X,O,X,X,O,X,O,O,X
TSZJILO,O,X,O,X,X,X,X,X,O,X,O
TSZJIOL,O,O,O,X,X,X,X,X,O,X,O
TSZJLIO,O,X,X,X,X,X,O,X,O,O,X
TSZJLOI,O,O,X,X,X,X,O,X,O,O,X
TSZJOIL,O,O,O,X,X,X,X,X,O,X,O
TSZJOLI,O,O,X,X,X,X,O,X,O,O,X
TSZOILJ,O,O,X,X,X,X,O,X,X,X,X
TSZOIJL,O,O,O,X,X,X,X,X,O,X,O
TSZOLIJ,O,X,X,O,X,X,O,X,X,X,X
TSZOLJI,O,O,X,O,X,X,O,X,O,O,X
TSZOJIL,O,O,O,X,X,X,X,X,O,X,O
TSZOJLI,O,O,X,X,X,X,O,X,O,O,X
TSOILJZ,O,O,X,O,X,X,X,X,X,X,X
TSOILZJ,O,O,X,O,X,X,O,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X,X,X,X,O
TSOIZLJ,O,O,X,X,X,X,O,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X,O,X,O
TSOLIJZ,O,X,X,O,X,X,X,X,X,X,X
TSOLIZJ,O,X,X,O,X,X,O,X,X,X,X
TSOLJIZ,O,X,X,O,X,X,X,X,X,X,X
TSOLJZI,O,O,X,O,X,X,X,X,X,O,X
TSOLZIJ,O,X,X,O,X,X,O,X,X,X,X
TSOLZJI,O,O,X,O,X,X,O,X,O,O,X
TSOJILZ,O,O,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X,X,X,X,O
TSOJLIZ,O,X,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,X,X,X,X,X,O,X
TSOJZIL,O,O,O,X,X,X,X,X,O,X,O
TSOJZLI,O,O,X,X,X,X,X,X,O,O,X
TSOZILJ,O,O,X,X,X,X,O,X,X,X,X
TSOZIJL,O,O,O,X,X,X,X,X,O,X,O
TSOZLIJ,O,X,X,O,X,X,O,X,X,X,X
TSOZLJI,O,O,X,O,X,X,O,X,O,O,X
TSOZJIL,O,O,O,X,X,X,X,X,O,X,O
TSOZJLI,O,O,X,X,X,X,O,X,O,O,X
TZILJSO,X,O,X,X,O,X,X,X,X,X,X
TZILJOS,X,O,X,X,O,X,X,X,X,X,X
TZILSJO,X,O,X,X,O,X,X,X,X,X,X
TZILSOJ,X,O,X,X,O,X,X,X,X,X,X
TZILOJS,X,O,X,X,O,X,X,X,X,X,X
TZILOSJ,X,O,X,X,O,X,X,X,X,X,X
TZIJLSO,X,O,X,X,X,X,X,O,X,X,X
TZIJLOS,X,O,X,X,X,X,X,O,X,X,X
TZIJSLO,O,O,X,X,X,X,X,O,O,X,O
TZIJSOL,O,O,X,X,X,X,X,O,O,X,O
TZIJOLS,X,O,X,X,X,X,X,O,X,X,X
TZIJOSL,O,O,X,X,X,X,X,O,O,X,O
TZISLJO,O,O,X,X,X,X,O,X,X,X,X
TZISLOJ,O,O,X,X,X,X,O,X,X,X,X
TZISJLO,O,O,O,X,X,X,X,X,X,X,O
TZISJOL,O,O,O,X,X,X,X,X,X,X,O
TZISOLJ,O,O,X,X,X,X,O,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X,X,X,O
TZIOLJS,X,O,X,X,O,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,O,X,X,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X,O,X,X,X
TZIOJSL,O,O,X,X,X,X,X,O,O,X,O
TZIOSLJ,O,O,X,X,X,X,O,X,X,X,X
TZIOSJL,O,O,O,X,X,X,X,X,X,X,O
TZLIJSO,X,O,X,X,O,X,X,X,X,X,X
TZLIJOS,X,O,X,X,O,X,X,X,X,X,X
TZLISJO,X,O,X,X,O,X,X,X,X,X,X
TZLISOJ,X,O,X,X,O,X,X,X,X,X,X
TZLIOJS,X,O,X,X,O,X,X,X,X,X,X
TZLIOSJ,X,O,X,X,O,X,X,X,X,X,X
TZLJISO,X,X,X,X,O,X,X,X,X,X,X
TZLJIOS,X,X,X,X,O,X,X,X,X,X,X
TZLJSIO,O,X,X,X,O,X,X,X,X,X,X
TZLJSOI,O,O,X,X,O,X,X,X,X,X,X
TZLJOIS,X,X,X,X,O,X,X,X,X,X,X
TZLJOSI,O,O,X,X,O,X,X,X,X,X,X
TZLSIJO,O,X,X,X,O,X,O,X,X,X,X
TZLSIOJ,O,X,X,X,O,X,O,X,X,X,X
TZLSJIO,O,X,X,X,O,X,O,X,X,X,X
TZLSJOI,O,O,X,X,O,X,O,X,X,X,X
TZLSOIJ,O,X,X,X,O,X,O,X,X,X,X
TZLSOJI,O,O,X,X,O,X,O,X,X,X,X
TZLOIJS,X,O,X,X,O,X,X,X,X,X,X
TZLOISJ,X,O,X,X,O,X,X,X,X,X,X
TZLOJIS,X,X,X,X,O,X,X,X,X,X,X
TZLOJSI,O,O,X,X,O,X,X,X,X,X,X
TZLOSIJ,O,X,X,X,O,X,O,X,X,X,X
TZLOSJI,O,O,X,X,O,X,O,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,O,X,X,X
TZJILOS,X,O,X,X,X,X,X,O,X,X,X
TZJISLO,O,O,X,X,X,X,X,O,O,X,O
TZJISOL,O,O,X,X,X,X,X,O,O,X,O
TZJIOLS,X,O,X,X,X,X,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X,X,O,O,X,O
TZJLISO,X,X,X,X,O,X,X,O,X,X,X
TZJLIOS,X,X,X,X,O,X,X,O,X,X,X
TZJLSIO,O,X,X,X,O,X,X,O,X,X,X
TZJLSOI,O,O,X,X,O,X,X,O,X,X,X
TZJLOIS,X,X,X,X,O,X,X,O,X,X,X
TZJLOSI,O,O,X,X,O,X,X,O,X,X,X
TZJSILO,O,X,X,X,X,X,X,O,O,X,O
TZJSIOL,O,O,X,X,X,X,X,O,O,X,O
TZJSLIO,O,X,X,X,X,X,O,O,O,O,X
TZJSLOI,O,O,X,X,X,X,O,O,O,O,X
TZJSOIL,O,O,X,X,X,X,X,O,O,X,O
TZJSOLI,O,O,X,X,X,X,O,O,O,O,X
TZJOILS,X,O,X,X,X,X,X,O,X,X,X
TZJOISL,O,O,X,X,X,X,X,O,O,X,O
TZJOLIS,X,X,X,X,O,X,X,O,X,X,X
TZJOLSI,O,O,X,X,O,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,X,X,O,O,X,O
TZJOSLI,O,O,X,X,X,X,O,O,O,O,X
TZSILJO,O,O,X,X,X,X,O,X,X,X,X
TZSILOJ,O,O,X,X,X,X,O,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X,O,X,O
TZSIJOL,O,O,O,X,X,X,X,X,O,X,O
TZSIOLJ,O,O,X,X,X,X,O,X,X,X,X
TZSIOJL,O,O,O,X,X,X,X,X,O,X,O
TZSLIJO,O,X,X,X,O,X,O,X,X,X,X
TZSLIOJ,O,X,X,X,O,X,O,X,X,X,X
TZSLJIO,O,X,X,X,O,X,O,X,O,O,X
TZSLJOI,O,O,X,X,O,X,O,X,O,O,X
TZSLOIJ,O,X,X,X,O,X,O,X,X,X,X
TZSLOJI,O,O,X,X,O,X,O,X,O,O,X
TZSJILO,O,X,O,X,X,X,X,X,O,X,O
TZSJIOL,O,O,O,X,X,X,X,X,O,X,O
TZSJLIO,O,X,X,X,X,X,O,X,O,O,X
TZSJLOI,O,O,X,X,X,X,O,X,O,O,X
TZSJOIL,O,O,O,X,X,X,X,X,O,X,O
TZSJOLI,O,O,X,X,X,X,O,X,O,O,X
TZSOILJ,O,O,X,X,X,X,O,X,X,X,X
TZSOIJL,O,O,O,X,X,X,X,X,O,X,O
TZSOLIJ,O,X,X,X,O,X,O,X,X,X,X
TZSOLJI,O,O,X,X,O,X,O,X,O,O,X
TZSOJIL,O,O,O,X,X,X,X,X,O,X,O
TZSOJLI,O,O,X,X,X,X,O,X,O,O,X
TZOILJS,X,O,X,X,O,X,X,X,X,X,X
TZOILSJ,X,O,X,X,O,X,X,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,O,X,X,X
TZOIJSL,O,O,X,X,X,X,X,O,O,X,O
TZOISLJ,O,O,X,X,X,X,O,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,X,X,X,O
TZOLIJS,X,O,X,X,O,X,X,X,X,X,X
TZOLISJ,X,O,X,X,O,X,X,X,X,X,X
TZOLJIS,X,X,X,X,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,O,X,X,X,X,X,X
TZOLSIJ,O,X,X,X,O,X,O,X,X,X,X
TZOLSJI,O,O,X,X,O,X,O,X,X,X,X
TZOJILS,X,O,X,X,X,X,X,O,X,X,X
TZOJISL,O,O,X,X,X,X,X,O,O,X,O
TZOJLIS,X,X,X,X,O,X,X,O,X,X,X
TZOJLSI,O,O,X,X,O,X,X,O,X,X,X
TZOJSIL,O,O,X,X,X,X,X,O,O,X,O
TZOJSLI,O,O,X,X,X,X,O,O,O,O,X
TZOSILJ,O,O,X,X,X,X,O,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,X,O,X,O
TZOSLIJ,O,X,X,X,O,X,O,X,X,X,X
TZOSLJI,O,O,X,X,O,X,O,X,O,O,X
TZOSJIL,O,O,O,X,X,X,X,X,O,X,O
TZOSJLI,O,O,X,X,X,X,O,X,O,O,X
TOILJSZ,O,O,X,X,X,O,X,X,X,X,X
TOILJZS,X,O,X,X,X,O,X,X,X,X,X
TOILSJZ,O,O,X,O,X,O,X,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X,X,X,X
TOILZJS,X,O,X,X,O,O,X,X,X,X,X
TOILZSJ,X,O,X,X,O,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,O,X,X,X,X,X
TOIJLZS,X,O,X,X,X,O,X,X,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X,X,X,O
TOIJZLS,X,O,X,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X,X,X,O
TOISLJZ,O,O,X,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,O,X,X,X,X
TOISJLZ,O,O,X,X,X,X,X,X,X,X,X
TOISJZL,O,O,O,X,X,X,X,X,X,X,O
TOISZLJ,O,O,X,X,X,X,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X,X,X,X,O
TOIZLJS,X,O,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X,X,X
TOIZJLS,X,O,X,X,X,X,X,O,X,X,X
TOIZJSL,O,O,X,X,X,X,X,O,O,X,O
TOIZSLJ,O,O,X,X,X,X,O,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,X,X,X,O
TOLIJSZ,O,O,X,X,X,O,X,X,X,X,X
TOLIJZS,X,O,X,X,X,O,X,X,X,X,X
TOLISJZ,O,O,X,O,X,O,X,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X,X,X,X
TOLIZJS,X,O,X,X,O,O,X,X,X,X,X
TOLIZSJ,X,O,X,X,O,X,X,X,X,X,X
TOLJISZ,O,X,X,X,X,O,X,X,X,X,X
TOLJIZS,X,X,X,X,X,O,X,X,X,X,X
TOLJSIZ,O,X,X,X,X,O,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X,X,O,X
TOLJZIS,X,X,X,X,X,O,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,O,X,X,X,X,X
TOLSIZJ,O,X,X,O,X,X,X,X,X,X,X
TOLSJIZ,O,X,X,O,X,O,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X,X,O,X
TOLSZIJ,O,X,X,O,X,X,X,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X,X,O,X
TOLZIJS,X,O,X,X,O,O,X,X,X,X,X
TOLZISJ,X,O,X,X,O,X,X,X,X,X,X
TOLZJIS,X,X,X,X,O,O,X,X,X,X,X
TOLZJSI,O,O,X,X,O,X,X,X,X,X,X
TOLZSIJ,O,X,X,X,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,O,X,X,X,X,X,X
TOJILSZ,O,O,X,X,X,O,X,X,X,X,X
TOJILZS,X,O,X,X,X,O,X,X,X,X,X
TOJISLZ,O,O,X,X,X,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X,X,X,O
TOJIZLS,X,O,X,X,X,X,X,O,X,X,X
TOJIZSL,O,O,X,X,X,X,X,O,X,X,O
TOJLISZ,O,X,X,X,X,O,X,X,X,X,X
TOJLIZS,X,X,X,X,X,O,X,X,X,X,X
TOJLSIZ,O,X,X,X,X,O,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X,X,O,X
TOJLZIS,X,X,X,X,X,O,X,O,X,X,X
TOJLZSI,O,O,X,X,X,X,X,O,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X,X,X,O
TOJSLIZ,O,X,X,X,X,X,X,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X,X,X,O,X
TOJSZIL,O,O,X,X,X,X,X,O,X,X,O
TOJSZLI,O,O,X,X,X,X,X,O,X,O,X
TOJZILS,X,O,X,X,X,X,X,O,X,X,X
TOJZISL,O,O,X,X,X,X,X,O,X,X,O
TOJZLIS,X,X,X,X,X,X,X,O,X,X,X
TOJZLSI,O,O,X,X,X,X,X,O,X,X,X
TOJZSIL,O,O,X,X,X,X,X,O,X,X,O
TOJZSLI,O,O,X,X,X,X,X,O,X,O,X
TOSILJZ,O,O,X,O,X,X,X,X,X,X,X
TOSILZJ,O,O,X,O,X,X,O,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X,X,X,X,O
TOSIZLJ,O,O,X,X,X,X,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X,X,O,X,O
TOSLIJZ,O,X,X,O,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,O,X,X,O,X,X,X,X
TOSLJIZ,O,X,X,O,X,X,X,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X,X,O,X
TOSLZIJ,O,X,X,O,X,X,O,X,X,X,X
TOSLZJI,O,O,X,O,X,X,O,X,O,O,X
TOSJILZ,O,O,X,X,X,X,X,X,X,X,X
TOSJIZL,O,O,O,X,X,X,X,X,X,X,O
TOSJLIZ,O,X,X,O,X,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X,X,O,X
TOSJZIL,O,O,O,X,X,X,X,X,O,X,O
TOSJZLI,O,O,X,X,X,X,X,X,O,O,X
TOSZILJ,O,O,X,X,X,X,O,X,X,X,X
TOSZIJL,O,O,O,X,X,X,X,X,O,X,O
TOSZLIJ,O,X,X,O,X,X,O,X,X,X,X
TOSZLJI,O,O,X,O,X,X,O,X,O,O,X
TOSZJIL,O,O,O,X,X,X,X,X,O,X,O
TOSZJLI,O,O,X,X,X,X,O,X,O,O,X
TOZILJS,X,O,X,X,O,X,X,X,X,X,X
TOZILSJ,X,O,X,X,O,X,X,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,O,X,X,X
TOZIJSL,O,O,X,X,X,X,X,O,O,X,O
TOZISLJ,O,O,X,X,X,X,O,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,X,X,X,O
TOZLIJS,X,O,X,X,O,X,X,X,X,X,X
TOZLISJ,X,O,X,X,O,X,X,X,X,X,X
TOZLJIS,X,X,X,X,O,X,X,X,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X,X,X,X
TOZLSIJ,O,X,X,X,O,X,O,X,X,X,X
TOZLSJI,O,O,X,X,O,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,X,X,O,X,X,X
TOZJISL,O,O,X,X,X,X,X,O,O,X,O
TOZJLIS,X,X,X,X,O,X,X,O,X,X,X
TOZJLSI,O,O,X,X,O,X,X,O,X,X,X
TOZJSIL,O,O,X,X,X,X,X,O,O,X,O
TOZJSLI,O,O,X,X,X,X,O,O,O,O,X
TOZSILJ,O,O,X,X,X,X,O,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,X,O,X,O
TOZSLIJ,O,X,X,X,O,X,O,X,X,X,X
TOZSLJI,O,O,X,X,O,X,O,X,O,O,X
TOZSJIL,O,O,O,X,X,X,X,X,O,X,O
TOZSJLI,O,O,X,X,X,X,O,X,O,O,X
ITLJSZO,O,O,X,X,X,O,X,X,X,X,X
ITLJSOZ,O,O,X,X,X,O,X,X,X,X,X
ITLJZSO,X,O,X,X,X,O,X,X,X,X,X
ITLJZOS,X,O,X,X,X,O,X,X,X,X,X
ITLJOSZ,O,O,X,X,X,O,X,X,X,X,X
ITLJOZS,X,O,X,X,X,O,X,X,X,X,X
ITLSJZO,O,O,X,O,X,O,X,X,X,X,X
ITLSJOZ,O,O,X,O,X,O,X,X,X,X,X
ITLSZJO,O,O,X,O,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,O,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,O,X,O,X,X,X,X,X
ITLSOZJ,O,O,X,O,X,X,X,X,X,X,X
ITLZJSO,X,O,X,X,O,O,X,X,X,X,X
ITLZJOS,X,O,X,X,O,O,X,X,X,X,X
ITLZSJO,X,O,X,X,O,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,O,X,X,X,X,X,X
ITLZOJS,X,O,X,X,O,O,X,X,X,X,X
ITLZOSJ,X,O,X,X,O,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,X,X,X,X,X
ITLOJZS,X,O,X,X,X,O,X,X,X,X,X
ITLOSJZ,O,O,X,O,X,O,X,X,X,X,X
ITLOSZJ,O,O,X,O,X,X,X,X,X,X,X
ITLOZJS,X,O,X,X,O,O,X,X,X,X,X
ITLOZSJ,X,O,X,X,O,X,X,X,X,X,X
ITJLSZO,O,O,X,X,X,O,X,X,X,X,X
ITJLSOZ,O,O,X,X,X,O,X,X,X,X,X
ITJLZSO,X,O,X,X,X,O,X,X,X,X,X
ITJLZOS,X,O,X,X,X,O,X,X,X,X,X
ITJLOSZ,O,O,X,X,X,O,X,X,X,X,X
ITJLOZS,X,O,X,X,X,O,X,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,O,X,X,X,X,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X,X,X,X,X,O
ITJSZOL,O,O,X,X,X,X,X,X,X,X,O
ITJSOLZ,O,O,X,X,X,X,X,X,X,X,X
ITJSOZL,O,O,X,X,X,X,X,X,X,X,O
ITJZLSO,X,O,X,X,X,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,X,X,X,O
ITJZSOL,O,O,X,X,X,X,X,X,X,X,O
ITJZOLS,X,O,X,X,X,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,X,X,X,O
ITJOLSZ,O,O,X,X,X,O,X,X,X,X,X
ITJOLZS,X,O,X,X,X,O,X,X,X,X,X
ITJOSLZ,O,O,X,X,X,X,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X,X,X,O
ITJOZLS,X,O,X,X,X,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X,X,X,O
ITSLJZO,O,O,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,O,X,X,X,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,O,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,O,X,X,X,X
ITSLOJZ,O,O,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,O,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,O,X,X,X,X,X,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X,X,X,X,O
ITSJZOL,O,O,O,X,X,X,X,X,X,X,O
ITSJOLZ,O,O,X,X,X,X,X,X,X,X,X
ITSJOZL,O,O,O,X,X,X,X,X,X,X,O
ITSZLJO,O,O,X,X,X,X,O,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,O,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X,X,X,O
ITSZJOL,O,O,O,X,X,X,X,X,X,X,O
ITSZOLJ,O,O,X,X,X,X,O,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X,X,X,X,O
ITSOLJZ,O,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,O,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X,X,X,X,O
ITSOZLJ,O,O,X,X,X,X,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X,X,X,X,O
ITZLJSO,X,O,X,X,X,X,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X,X,X,X,X
ITZLSJO,X,O,X,X,X,X,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,X,X,X,X,X
ITZLOJS,X,O,X,X,X,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X,X,X,X
ITZJLSO,X,O,X,X,X,X,X,O,X,X,X
ITZJLOS,X,O,X,X,X,X,X,O,X,X,X
ITZJSLO,O,O,X,X,X,X,X,O,O,X,O
ITZJSOL,O,O,X,X,X,X,X,O,O,X,O
ITZJOLS,X,O,X,X,X,X,X,O,X,X,X
ITZJOSL,O,O,X,X,X,X,X,O,O,X,O
ITZSLJO,O,O,X,X,X,X,O,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,O,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X,X,X,O
ITZSJOL,O,O,O,X,X,X,X,X,X,X,O
ITZSOLJ,O,O,X,X,X,X,O,X,X,X,X
ITZSOJL,O,O,O,X,X,X,X,X,X,X,O
ITZOLJS,X,O,X,X,X,X,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X,O,X,X,X
ITZOJSL,O,O,X,X,X,X,X,O,O,X,O
ITZOSLJ,O,O,X,X,X,X,O,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,X,X,X,O
ITOLJSZ,O,O,X,X,X,O,X,X,X,X,X
ITOLJZS,X,O,X,X,X,O,X,X,X,X,X
ITOLSJZ,O,O,X,O,X,O,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,X,X,X,X,X
ITOLZJS,X,O,X,X,O,O,X,X,X,X,X
ITOLZSJ,X,O,X,X,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,X,X,X,X
ITOJLZS,X,O,X,X,X,O,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X,X,X,O
ITOJZLS,X,O,X,X,X,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X,X,X,O
ITOSLJZ,O,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,O,X,X,X,X
ITOSJLZ,O,O,X,X,X,X,X,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X,X,X,X,O
ITOSZLJ,O,O,X,X,X,X,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X,X,X,X,O
ITOZLJS,X,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X,O,X,X,X
ITOZJSL,O,O,X,X,X,X,X,O,O,X,O
ITOZSLJ,O,O,X,X,X,X,O,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,X,X,X,O
ILTJSZO,O,O,X,X,X,O,X,X,X,X,X
ILTJSOZ,O,O,X,X,X,O,X,X,X,X,X
ILTJZSO,X,O,X,X,X,O,X,X,X,X,X
ILTJZOS,X,O,X,X,X,O,X,X,X,X,X
ILTJOSZ,O,O,X,X,X,O,X,X,X,X,X
ILTJOZS,X,O,X,X,X,O,X,X,X,X,X
ILTSJZO,O,O,X,O,X,O,X,X,X,X,X
ILTSJOZ,O,O,X,O,X,O,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,X,X,X,X,X
ILTSZOJ,O,O,X,O,X,X,X,X,X,X,X
ILTSOJZ,O,O,X,O,X,O,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X,X,X,X,X
ILTZJSO,X,O,X,X,O,O,X,X,X,X,X
ILTZJOS,X,O,X,X,O,O,X,X,X,X,X
ILTZSJO,X,O,X,X,O,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,O,X,X,X,X,X,X
ILTZOJS,X,O,X,X,O,O,X,X,X,X,X
ILTZOSJ,X,O,X,X,O,X,X,X,X,X,X
ILTOJSZ,O,O,X,X,X,O,X,X,X,X,X
ILTOJZS,X,O,X,X,X,O,X,X,X,X,X
ILTOSJZ,O,O,X,O,X,O,X,X,X,X,X
ILTOSZJ,O,O,X,O,X,X,X,X,X,X,X
ILTOZJS,X,O,X,X,O,O,X,X,X,X,X
ILTOZSJ,X,O,X,X,O,X,X,X,X,X,X
ILJTSZO,O,O,X,X,X,O,X,X,X,X,X
ILJTSOZ,O,O,X,X,X,O,X,X,X,X,X
ILJTZSO,X,O,X,X,X,O,X,X,X,X,X
ILJTZOS,X,O,X,X,X,O,X,X,X,X,X
ILJTOSZ,O,O,X,X,X,O,X,X,X,X,X
ILJTOZS,X,O,X,X,X,O,X,X,X,X,X
ILJSTZO,O,O,X,O,X,O,X,X,X,X,X
ILJSTOZ,O,O,X,O,X,O,X,X,X,X,X
ILJSZTO,X,X,X,X,X,X,X,X,X,O,O
ILJSZOT,X,X,X,X,X,X,X,X,X,O,O
ILJSOTZ,O,O,X,O,X,O,X,X,X,X,X
ILJSOZT,X,X,X,X,X,X,X,X,X,O,O
ILJZTSO,X,X,X,X,O,O,X,X,X,X,X
ILJZTOS,X,X,X,X,O,O,X,X,X,X,X
ILJZSTO,X,X,X,X,X,X,X,X,X,X,O
