sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TJOZISL,O,X,X,X,X,O
TJOZLIS,X,X,O,X,X,X
TJOZLSI,X,X,O,X,X,X
TJOZSIL,O,X,X,X,X,X
TJOZSLI,O,X,O,X,X,X
TSILJZO,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X
TSILZOJ,O,O,X,X,X,X
TSILOJZ,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X
TSIJLZO,O,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X
TSIJZLO,O,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,O
TSIJOZL,O,X,X,X,X,O
TSIZLJO,O,O,X,X,X,X
TSIZLOJ,O,O,X,X,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,O,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X
TSIZOJL,O,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X
TSIOZLJ,O,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X
TSLIJZO,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X
TSLIZOJ,O,O,X,X,X,X
TSLIOJZ,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X
TSLJIZO,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X
TSLZIOJ,O,O,X,X,X,X
TSLZJIO,O,O,X,X,X,X
TSLZJOI,O,O,X,X,X,X
TSLZOIJ,O,O,X,X,X,X
TSLZOJI,O,O,X,X,X,X
TSLOIJZ,O,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X
TSLOJIZ,O,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X
TSLOZJI,O,O,X,X,X,X
TSJILZO,O,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X
TSJIZLO,O,X,X,X,X,X
TSJIZOL,O,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,O
TSJIOZL,O,X,X,X,X,O
TSJLIZO,O,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X
TSJZILO,O,X,X,X,X,X
TSJZIOL,O,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X
