sequence,v115@ThA8EeF8AeE8JeOEJvhF8kBzgBfnBxiBCoBFrB,v115@ThA8EeF8AeE8Je2EJvhFzgBRiBSoBUnB3kBFrB,v115@ThA8EeF8AeE8Jei/IvhFzgBGjB3kBRnBUnBFrB,v115@ThA8EeF8AeE8JeKEJvhFzfBRhBGjBfrB0rBlsB,v115@ThA8EeF8AeE8Jem/IvhFUhBRiBSoBTkBfrBVxB,v115@ThA8EeF8AeE8JeOEJvhF8kBFhBxiBfrBzrBCtB,v115@ThA8EeF8AeE8Jex/IvhFGjBTkB0lBlmB3nBirB,v115@ThA8EeF8AeE8Jex/IvhFmhBSoBTkBllBcrB3sB,v115@ThA8EeF8AeE8JeyGJvhFGjBxkB3nBTkBllBcrB
TZLISOJ,O,O,X,X,O,O,X,X,X
TZLIOJS,O,O,X,O,O,O,X,O,X
TZLIOSJ,O,O,X,X,O,O,X,O,X
TZLJISO,O,O,X,X,O,O,X,X,X
TZLJIOS,O,O,X,O,X,O,X,O,X
TZLJSIO,O,O,X,O,O,O,X,X,X
TZLJSOI,O,O,X,O,O,O,X,O,X
TZLJOIS,O,O,X,O,X,O,X,O,X
TZLJOSI,O,O,X,O,X,O,X,O,X
TZLSIJO,O,O,X,O,O,O,X,X,X
TZLSIOJ,O,O,X,O,O,O,X,X,X
TZLSJIO,O,O,X,O,O,O,X,X,X
TZLSJOI,O,O,X,O,O,O,O,O,X
TZLSOIJ,O,O,X,O,O,O,O,O,X
TZLSOJI,O,O,X,O,O,O,O,O,X
TZLOIJS,O,O,X,O,O,O,X,O,X
TZLOISJ,O,O,X,X,O,O,O,O,X
TZLOJIS,O,O,X,O,O,O,X,O,X
TZLOJSI,O,O,X,O,O,O,X,O,X
TZLOSIJ,O,O,X,O,O,O,O,O,X
TZLOSJI,O,O,X,O,O,O,O,O,X
TZJILSO,O,O,X,X,O,X,X,X,X
TZJILOS,O,O,X,O,X,X,X,O,X
TZJISLO,O,O,O,X,O,X,X,X,X
TZJISOL,O,O,O,X,O,X,X,X,X
TZJIOLS,O,O,X,X,X,X,X,O,X
TZJIOSL,O,O,O,X,X,X,X,O,X
TZJLISO,O,O,X,X,O,O,X,X,X
TZJLIOS,O,O,X,O,X,O,X,O,X
TZJLSIO,O,O,X,O,O,O,X,X,X
TZJLSOI,O,O,X,O,O,O,X,O,X
TZJLOIS,O,O,X,O,X,O,X,O,X
TZJLOSI,O,O,X,O,X,O,X,O,X
TZJSILO,O,O,O,O,O,O,X,X,X
TZJSIOL,O,O,O,O,O,O,O,X,X
TZJSLIO,O,O,O,O,O,O,X,X,X
TZJSLOI,O,O,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,O,O,O,X
TZJSOLI,O,O,O,O,O,O,O,O,X
TZJOILS,O,O,X,X,X,X,X,O,X
TZJOISL,O,O,O,X,X,O,O,O,X
TZJOLIS,O,O,X,X,X,O,X,O,X
TZJOLSI,O,O,X,X,X,O,X,O,X
TZJOSIL,O,O,O,X,X,O,O,O,X
TZJOSLI,O,O,O,X,X,O,O,O,X
TZSILJO,O,O,O,O,O,O,X,X,X
TZSILOJ,O,O,O,O,O,O,X,X,X
TZSIJLO,O,O,O,O,O,O,X,X,X
TZSIJOL,O,O,O,O,O,O,O,X,X
TZSIOLJ,O,O,O,O,O,O,O,X,X
TZSIOJL,O,O,O,O,O,O,O,X,X
TZSLIJO,O,O,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,X,X,X
TZSLJIO,O,O,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,O,O,O,X
TZSLOJI,O,O,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,X,X,X
TZSJIOL,O,O,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O,O,O,X
TZSJOIL,O,O,O,O,O,O,O,O,X
TZSJOLI,O,O,O,O,O,O,O,O,X
TZSOILJ,O,O,O,O,O,O,O,O,X
TZSOIJL,O,O,O,O,O,O,O,O,X
TZSOLIJ,O,O,O,O,O,O,O,O,X
TZSOLJI,O,O,O,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,O,O,O,X
TZSOJLI,O,O,O,O,O,O,O,O,X
TZOILJS,O,O,X,X,O,X,X,O,X
TZOILSJ,O,O,X,X,O,X,O,O,X
TZOIJLS,O,O,X,X,O,X,X,O,X
TZOIJSL,O,O,O,X,O,O,O,O,X
TZOISLJ,O,O,O,X,O,O,O,O,X
TZOISJL,O,O,O,X,O,O,O,O,X
TZOLIJS,O,O,X,X,O,O,X,O,X
TZOLISJ,O,O,X,X,O,O,O,O,X
TZOLJIS,O,O,X,X,O,O,X,O,X
TZOLJSI,O,O,X,X,O,O,X,O,X
TZOLSIJ,O,O,X,X,O,O,O,O,X
TZOLSJI,O,O,X,X,O,O,O,O,X
TZOJILS,O,O,X,X,O,X,X,O,X
TZOJISL,O,O,O,X,O,O,O,O,X
TZOJLIS,O,O,X,X,O,O,X,O,X
TZOJLSI,O,O,X,X,O,O,X,O,X
TZOJSIL,O,O,O,X,O,O,O,O,X
TZOJSLI,O,O,O,X,O,O,O,O,X
TZOSILJ,O,O,O,X,O,O,O,O,X
TZOSIJL,O,O,O,X,O,O,O,O,X
TZOSLIJ,O,O,O,X,O,O,O,O,X
TZOSLJI,O,O,O,X,O,O,O,O,X
TZOSJIL,O,O,O,X,O,O,O,O,X
TZOSJLI,O,O,O,X,O,O,O,O,X
TOILJSZ,X,X,O,O,O,X,X,X,X
TOILJZS,X,O,X,O,O,X,X,O,X
TOILSJZ,O,X,O,O,O,X,X,X,X
TOILSZJ,O,X,O,X,O,X,X,O,X
TOILZJS,O,O,X,O,O,X,X,O,X
TOILZSJ,O,O,X,X,O,X,X,O,X
TOIJLSZ,X,X,O,O,O,X,X,X,X
TOIJLZS,X,O,X,O,O,X,X,O,X
TOIJSLZ,X,X,O,X,O,X,X,X,X
TOIJSZL,X,X,O,X,O,X,O,X,X
TOIJZLS,X,O,X,X,O,X,X,O,X
TOIJZSL,X,O,O,X,O,X,O,O,X
TOISLJZ,O,X,O,X,O,X,X,X,X
TOISLZJ,O,X,O,X,O,O,X,O,X
TOISJLZ,X,X,O,X,O,X,X,X,X
TOISJZL,O,X,O,X,O,O,O,X,X
TOISZLJ,O,X,O,X,O,O,O,O,X
TOISZJL,O,X,O,X,O,O,O,O,X
TOIZLJS,O,O,X,X,O,X,X,O,X
TOIZLSJ,O,O,X,X,O,X,O,O,X
TOIZJLS,O,O,X,X,O,X,X,O,X
TOIZJSL,O,O,O,X,O,O,O,O,X
TOIZSLJ,O,O,O,X,O,O,O,O,X
TOIZSJL,O,O,O,X,O,O,O,O,X
TOLIJSZ,X,X,O,O,O,X,X,X,X
TOLIJZS,X,O,X,O,O,X,X,O,X
TOLISJZ,O,X,O,O,O,O,X,X,X
TOLISZJ,O,X,O,O,O,O,X,O,X
TOLIZJS,O,O,X,O,O,O,X,O,X
TOLIZSJ,O,O,X,X,O,O,X,O,X
TOLJISZ,X,X,O,O,O,X,X,X,X
TOLJIZS,X,O,X,O,O,X,X,O,X
TOLJSIZ,O,X,O,O,O,X,X,X,X
TOLJSZI,O,O,O,O,O,X,X,X,X
TOLJZIS,O,O,X,O,O,X,X,X,X
TOLJZSI,O,O,X,O,O,X,X,X,X
TOLSIJZ,O,X,O,O,O,O,X,X,X
TOLSIZJ,O,X,O,O,O,O,X,O,X
TOLSJIZ,O,X,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,O,O,X,X
TOLSZIJ,O,O,O,O,O,O,O,X,X
TOLSZJI,O,O,O,O,O,O,O,X,X
TOLZIJS,O,O,X,O,O,O,X,O,X
TOLZISJ,O,O,X,X,O,O,O,O,X
TOLZJIS,O,O,X,O,O,O,X,O,X
TOLZJSI,O,O,X,O,O,O,X,O,X
TOLZSIJ,O,O,X,O,O,O,O,O,X
TOLZSJI,O,O,X,O,O,O,O,O,X
TOJILSZ,X,X,O,O,O,X,X,X,X
TOJILZS,X,O,X,O,O,X,X,O,X
TOJISLZ,X,X,O,X,O,X,X,X,X
TOJISZL,X,X,O,X,O,X,O,X,X
TOJIZLS,X,O,X,X,O,X,X,O,X
TOJIZSL,X,O,O,X,O,X,O,O,X
TOJLISZ,X,X,O,O,O,X,X,X,X
TOJLIZS,X,O,X,O,O,X,X,O,X
TOJLSIZ,O,X,O,O,O,X,X,X,X
TOJLSZI,O,O,O,O,O,X,X,X,X
TOJLZIS,O,O,X,O,O,X,X,X,X
TOJLZSI,O,O,X,O,O,X,X,X,X
TOJSILZ,X,X,O,O,O,X,X,X,X
TOJSIZL,O,X,O,X,O,X,O,X,X
TOJSLIZ,O,X,O,O,O,X,X,X,X
TOJSLZI,O,O,O,O,O,X,O,X,X
TOJSZIL,O,O,O,O,O,X,O,X,X
TOJSZLI,O,O,O,O,O,X,O,X,X
TOJZILS,O,O,X,X,O,X,X,X,X
TOJZISL,O,O,O,X,O,X,O,X,X
TOJZLIS,O,O,X,X,O,X,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X,X
TOJZSIL,O,O,O,X,O,X,O,X,X
TOJZSLI,O,O,O,X,O,X,O,X,X
TOSILJZ,O,X,O,O,O,O,X,X,X
TOSILZJ,O,X,O,O,O,O,X,O,X
TOSIJLZ,X,X,O,O,O,X,X,X,X
TOSIJZL,O,X,O,X,O,O,O,X,X
TOSIZLJ,O,X,O,X,O,O,O,O,X
TOSIZJL,O,X,O,X,O,O,O,O,X
TOSLIJZ,O,X,O,O,O,O,X,X,X
TOSLIZJ,O,X,O,O,O,O,X,O,X
TOSLJIZ,O,X,O,O,O,O,X,X,X
TOSLJZI,O,O,O,O,O,O,O,X,X
TOSLZIJ,O,O,O,O,O,O,O,X,X
TOSLZJI,O,O,O,O,O,O,O,X,X
TOSJILZ,X,X,O,O,O,X,X,X,X
TOSJIZL,O,X,O,X,O,O,O,X,X
TOSJLIZ,O,X,O,O,O,O,X,X,X
TOSJLZI,O,O,O,O,O,O,O,X,X
TOSJZIL,O,O,O,O,O,O,O,X,X
TOSJZLI,O,O,O,O,O,O,O,X,X
TOSZILJ,O,O,O,O,O,O,O,X,X
TOSZIJL,O,O,O,O,O,O,O,X,X
TOSZLIJ,O,O,O,O,O,O,O,X,X
TOSZLJI,O,O,O,O,O,O,O,X,X
TOSZJIL,O,O,O,O,O,O,O,X,X
TOSZJLI,O,O,O,O,O,O,O,X,X
TOZILJS,O,O,X,X,O,X,X,O,X
TOZILSJ,O,O,X,X,O,X,O,O,X
TOZIJLS,O,O,X,X,O,X,X,O,X
TOZIJSL,O,O,O,X,O,O,O,O,X
TOZISLJ,O,O,O,X,O,O,O,O,X
TOZISJL,O,O,O,X,O,O,O,O,X
TOZLIJS,O,O,X,X,O,O,X,O,X
TOZLISJ,O,O,X,X,O,O,O,O,X
TOZLJIS,O,O,X,X,O,O,X,O,X
TOZLJSI,O,O,X,X,O,O,X,O,X
TOZLSIJ,O,O,X,X,O,O,O,O,X
TOZLSJI,O,O,X,X,O,O,O,O,X
TOZJILS,O,O,X,X,O,X,X,O,X
TOZJISL,O,O,O,X,O,O,O,O,X
TOZJLIS,O,O,X,X,O,O,X,O,X
TOZJLSI,O,O,X,X,O,O,X,O,X
TOZJSIL,O,O,O,X,O,O,O,O,X
TOZJSLI,O,O,O,X,O,O,O,O,X
TOZSILJ,O,O,O,X,O,O,O,O,X
TOZSIJL,O,O,O,X,O,O,O,O,X
TOZSLIJ,O,O,O,X,O,O,O,O,X
TOZSLJI,O,O,O,X,O,O,O,O,X
TOZSJIL,O,O,O,X,O,O,O,O,X
TOZSJLI,O,O,O,X,O,O,O,O,X
ITLJSZO,X,X,O,O,O,X,X,X,X
ITLJSOZ,X,X,O,O,O,X,X,X,X
ITLJZSO,X,O,X,X,O,X,X,X,X
ITLJZOS,X,O,X,O,X,X,X,X,X
ITLJOSZ,X,X,O,O,O,X,X,X,X
ITLJOZS,X,O,X,O,O,X,X,X,X
ITLSJZO,O,X,O,O,O,X,X,X,X
ITLSJOZ,O,X,O,O,O,X,X,X,X
ITLSZJO,O,X,O,O,O,X,X,X,X
ITLSZOJ,O,X,O,O,O,X,X,X,X
ITLSOJZ,O,X,O,O,O,X,X,X,X
ITLSOZJ,O,X,O,O,O,X,X,X,X
ITLZJSO,O,O,X,X,O,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X
ITLZSJO,O,O,X,X,O,X,X,X,X
ITLZSOJ,O,O,X,X,O,X,X,X,X
ITLZOJS,O,O,X,O,O,X,X,X,X
ITLZOSJ,O,O,X,X,O,X,X,X,X
ITLOJSZ,X,X,O,O,O,X,X,X,X
ITLOJZS,X,O,X,O,O,X,X,O,X
ITLOSJZ,O,X,O,O,O,X,X,X,X
ITLOSZJ,O,X,O,O,O,X,X,O,X
ITLOZJS,O,O,X,O,O,X,X,O,X
ITLOZSJ,O,O,X,X,O,X,X,O,X
ITJLSZO,X,X,O,O,O,X,X,X,X
ITJLSOZ,X,X,O,O,O,X,X,X,X
ITJLZSO,X,O,X,X,O,X,X,X,X
ITJLZOS,X,O,X,O,X,X,X,X,X
ITJLOSZ,X,X,O,O,O,X,X,X,X
ITJLOZS,X,O,X,O,O,X,X,X,X
ITJSLZO,X,X,O,O,O,X,X,X,O
ITJSLOZ,X,X,O,O,O,X,X,X,O
ITJSZLO,X,X,O,O,O,X,X,X,X
ITJSZOL,X,X,O,O,O,X,X,X,X
ITJSOLZ,X,X,O,O,O,X,X,X,X
ITJSOZL,X,X,O,X,O,X,X,X,X
ITJZLSO,X,O,X,X,O,X,X,X,X
ITJZLOS,X,O,X,O,X,X,X,X,X
ITJZSLO,X,O,O,X,O,X,X,X,X
ITJZSOL,X,O,O,X,O,X,X,X,X
ITJZOLS,X,O,X,X,X,X,X,X,X
ITJZOSL,X,O,O,X,X,X,X,X,X
ITJOLSZ,X,X,O,O,O,X,X,X,X
ITJOLZS,X,O,X,O,O,X,X,X,X
ITJOSLZ,X,X,O,X,O,X,X,X,X
ITJOSZL,X,X,O,X,O,X,X,X,X
ITJOZLS,X,O,X,X,O,X,X,X,X
ITJOZSL,X,O,O,X,O,X,X,X,X
ITSLJZO,O,X,O,O,O,X,X,X,O
ITSLJOZ,O,X,O,O,O,X,X,X,O
ITSLZJO,O,X,O,O,O,X,X,X,X
ITSLZOJ,O,X,O,O,O,X,X,X,X
ITSLOJZ,O,X,O,O,O,X,X,X,X
ITSLOZJ,O,X,O,O,O,X,X,X,X
ITSJLZO,X,X,O,O,O,X,X,X,O
ITSJLOZ,X,X,O,O,O,X,X,X,O
ITSJZLO,O,X,O,O,O,X,X,X,X
ITSJZOL,O,X,O,O,O,X,O,X,X
ITSJOLZ,X,X,O,O,O,X,X,X,X
ITSJOZL,O,X,O,X,O,X,O,X,X
ITSZLJO,O,X,O,O,O,X,X,X,X
ITSZLOJ,O,X,O,O,O,X,X,X,X
ITSZJLO,O,X,O,O,O,X,X,X,X
ITSZJOL,O,X,O,O,O,X,O,X,X
ITSZOLJ,O,X,O,O,O,X,O,X,X
ITSZOJL,O,X,O,O,O,X,O,X,X
ITSOLJZ,O,X,O,O,O,X,X,X,X
ITSOLZJ,O,X,O,O,O,X,X,X,X
ITSOJLZ,X,X,O,O,O,X,X,X,X
ITSOJZL,O,X,O,X,O,X,O,X,X
ITSOZLJ,O,X,O,X,O,X,O,X,X
ITSOZJL,O,X,O,X,O,X,O,X,X
ITZLJSO,O,O,X,X,O,X,X,X,X
ITZLJOS,O,O,X,O,X,X,X,X,X
ITZLSJO,O,O,X,X,O,X,X,X,X
ITZLSOJ,O,O,X,X,O,X,X,X,X
ITZLOJS,O,O,X,O,O,X,X,X,X
ITZLOSJ,O,O,X,X,O,X,X,X,X
ITZJLSO,O,O,X,X,O,X,X,X,X
ITZJLOS,O,O,X,O,X,X,X,X,X
ITZJSLO,O,O,O,X,O,X,X,X,X
ITZJSOL,O,O,O,X,O,X,X,X,X
ITZJOLS,O,O,X,X,X,X,X,X,X
ITZJOSL,O,O,O,X,X,X,X,X,X
ITZSLJO,O,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,O,X,O,X,X,X,X
ITZSJLO,O,O,O,X,O,X,X,X,X
ITZSJOL,O,O,O,X,O,X,O,X,X
ITZSOLJ,O,O,O,X,O,X,O,X,X
ITZSOJL,O,O,O,X,O,X,O,X,X
ITZOLJS,O,O,X,X,O,X,X,X,X
ITZOLSJ,O,O,X,X,O,X,O,X,X
ITZOJLS,O,O,X,X,O,X,X,X,X
ITZOJSL,O,O,O,X,O,X,O,X,X
ITZOSLJ,O,O,O,X,O,X,O,X,X
ITZOSJL,O,O,O,X,O,X,O,X,X
ITOLJSZ,X,X,O,O,O,X,X,X,X
ITOLJZS,X,O,X,O,O,X,X,O,X
ITOLSJZ,O,X,O,O,O,X,X,X,X
ITOLSZJ,O,X,O,X,O,X,X,O,X
ITOLZJS,O,O,X,O,O,X,X,O,X
ITOLZSJ,O,O,X,X,O,X,X,O,X
ITOJLSZ,X,X,O,O,O,X,X,X,X
ITOJLZS,X,O,X,O,O,X,X,O,X
ITOJSLZ,X,X,O,X,O,X,X,X,X
ITOJSZL,X,X,O,X,O,X,X,X,X
ITOJZLS,X,O,X,X,O,X,X,O,X
ITOJZSL,X,O,O,X,O,X,X,O,X
ITOSLJZ,O,X,O,X,O,X,X,X,X
ITOSLZJ,O,X,O,X,O,X,X,O,X
ITOSJLZ,X,X,O,X,O,X,X,X,X
ITOSJZL,O,X,O,X,O,X,O,X,X
ITOSZLJ,O,X,O,X,O,X,O,O,X
ITOSZJL,O,X,O,X,O,X,O,O,X
ITOZLJS,O,O,X,X,O,X,X,O,X
ITOZLSJ,O,O,X,X,O,X,O,O,X
ITOZJLS,O,O,X,X,O,X,X,O,X
ITOZJSL,O,O,O,X,O,X,O,O,X
ITOZSLJ,O,O,O,X,O,X,O,O,X
ITOZSJL,O,O,O,X,O,X,O,O,X
ILTJSZO,X,X,O,O,O,X,X,X,X
ILTJSOZ,X,X,O,O,O,X,X,X,X
ILTJZSO,X,O,X,X,O,X,X,X,X
ILTJZOS,X,O,X,O,X,X,X,X,X
ILTJOSZ,X,X,O,O,O,X,X,X,X
ILTJOZS,X,O,X,O,O,X,X,X,X
ILTSJZO,O,X,O,O,O,O,X,X,X
ILTSJOZ,O,X,O,O,O,X,X,X,X
ILTSZJO,O,X,O,O,O,O,X,X,X
ILTSZOJ,O,X,O,O,O,O,X,X,X
ILTSOJZ,O,X,O,O,O,X,X,X,X
ILTSOZJ,O,X,O,O,O,O,X,X,X
ILTZJSO,O,O,X,X,O,O,X,X,X
ILTZJOS,O,O,X,O,X,O,X,X,X
ILTZSJO,O,O,X,X,O,O,X,X,X
ILTZSOJ,O,O,X,X,O,O,X,X,X
ILTZOJS,O,O,X,O,O,O,X,X,X
ILTZOSJ,O,O,X,X,O,O,X,X,X
ILTOJSZ,X,X,O,O,O,X,X,X,X
ILTOJZS,X,O,X,O,O,X,X,O,X
ILTOSJZ,O,X,O,O,O,O,X,X,X
ILTOSZJ,O,X,O,O,O,O,X,O,X
ILTOZJS,O,O,X,O,O,O,X,O,X
ILTOZSJ,O,O,X,X,O,O,X,O,X
ILJTSZO,X,X,O,O,O,X,X,X,X
ILJTSOZ,X,X,O,O,O,X,X,X,X
ILJTZSO,X,O,X,X,O,X,X,X,X
ILJTZOS,X,O,X,O,X,X,X,X,X
ILJTOSZ,X,X,O,O,O,X,X,X,X
ILJTOZS,X,O,X,O,O,X,X,X,X
ILJSTZO,O,X,O,O,O,O,X,X,O
ILJSTOZ,O,X,O,O,O,X,X,X,O
ILJSZTO,O,O,O,O,X,O,X,X,O
ILJSZOT,O,X,X,O,X,O,X,X,O
ILJSOTZ,X,X,O,O,X,X,X,X,O
ILJSOZT,X,X,X,O,X,X,X,X,O
ILJZTSO,O,O,X,X,O,O,X,X,X
ILJZTOS,X,O,X,X,X,O,X,X,X
ILJZSTO,O,O,X,X,X,O,X,X,X
ILJZSOT,O,X,X,X,X,O,X,X,X
ILJZOTS,X,O,X,X,X,O,X,X,X
ILJZOST,O,X,X,X,X,O,X,X,X
ILJOTSZ,X,X,X,O,O,X,X,X,X
ILJOTZS,X,X,X,O,O,X,X,X,X
ILJOSTZ,X,X,X,O,O,O,X,X,X
ILJOSZT,X,X,X,O,X,O,X,X,X
ILJOZTS,X,O,X,X,O,O,X,X,X
ILJOZST,X,X,X,X,X,O,X,X,X
ILSTJZO,O,X,O,O,O,O,X,X,O
ILSTJOZ,O,X,O,O,O,X,X,X,O
ILSTZJO,O,X,O,O,O,O,X,X,X
ILSTZOJ,O,X,O,O,O,O,X,X,X
ILSTOJZ,O,X,O,O,O,X,X,X,X
ILSTOZJ,O,X,O,O,O,O,X,X,X
ILSJTZO,O,X,O,O,O,O,X,X,O
ILSJTOZ,O,X,O,O,O,X,X,X,O
ILSJZTO,O,O,O,O,X,O,X,X,O
ILSJZOT,O,X,X,O,X,O,X,X,O
ILSJOTZ,X,X,O,O,X,X,X,X,O
ILSJOZT,X,X,X,O,X,X,X,X,O
ILSZTJO,O,O,O,O,X,O,X,X,X
ILSZTOJ,O,O,O,O,X,O,X,X,X
ILSZJTO,O,O,O,O,X,O,X,X,O
ILSZJOT,O,X,X,O,X,O,X,X,O
ILSZOTJ,O,X,X,O,X,O,X,X,X
ILSZOJT,O,X,X,O,X,O,X,X,X
ILSOTJZ,O,X,O,O,O,O,X,X,X
ILSOTZJ,O,X,O,O,O,O,X,X,X
ILSOJTZ,X,X,O,O,O,O,X,X,O
ILSOJZT,X,X,X,O,X,O,X,X,O
ILSOZTJ,O,X,X,O,X,O,X,X,X
ILSOZJT,O,X,X,O,X,O,X,X,X
ILZTJSO,O,O,X,X,O,O,X,X,X
ILZTJOS,O,O,X,X,X,O,X,O,X
ILZTSJO,O,O,X,X,O,O,X,X,X
ILZTSOJ,O,O,X,X,O,O,X,X,X
ILZTOJS,O,O,X,X,O,O,X,O,X
ILZTOSJ,O,O,X,X,O,O,X,O,X
ILZJTSO,O,O,X,X,O,O,X,X,X
ILZJTOS,O,O,X,X,X,O,X,O,X
ILZJSTO,O,O,X,X,X,O,X,X,X
ILZJSOT,O,X,X,X,X,O,X,X,X
ILZJOTS,X,O,X,X,X,O,X,O,X
ILZJOST,O,X,X,X,X,O,X,X,X
ILZSTJO,O,O,X,X,X,O,X,X,X
ILZSTOJ,O,O,X,X,X,O,X,X,X
ILZSJTO,O,O,X,X,X,O,X,X,X
ILZSJOT,O,X,X,X,X,O,X,X,X
ILZSOTJ,O,X,X,X,X,O,X,X,X
ILZSOJT,O,X,X,X,X,O,X,X,X
ILZOTJS,X,O,X,X,O,O,X,O,X
ILZOTSJ,X,O,X,X,O,O,X,O,X
ILZOJTS,X,O,X,X,O,O,X,O,X
ILZOJST,O,X,X,X,X,O,X,X,X
ILZOSTJ,O,X,X,X,X,O,X,X,X
ILZOSJT,O,X,X,X,X,O,X,X,X
ILOTJSZ,X,X,X,O,O,X,X,X,X
ILOTJZS,X,X,X,O,O,X,X,O,X
ILOTSJZ,X,X,X,O,O,O,X,X,X
ILOTSZJ,X,X,X,O,O,O,X,O,X
ILOTZJS,X,X,X,O,O,O,X,O,X
ILOTZSJ,X,X,X,X,O,O,X,O,X
ILOJTSZ,X,X,X,O,O,X,X,X,X
ILOJTZS,X,X,X,O,O,X,X,O,X
ILOJSTZ,X,X,X,O,O,O,X,X,X
ILOJSZT,X,X,X,O,X,O,X,X,X
ILOJZTS,X,O,X,X,O,O,X,X,X
ILOJZST,X,X,X,X,X,O,X,X,X
ILOSTJZ,O,X,X,O,O,O,X,X,X
ILOSTZJ,O,X,X,O,O,O,X,O,X
ILOSJTZ,X,X,X,O,O,O,X,X,X
ILOSJZT,X,X,X,O,X,O,X,X,X
ILOSZTJ,O,X,X,O,X,O,X,X,X
ILOSZJT,O,X,X,O,X,O,X,X,X
ILOZTJS,X,O,X,X,O,O,X,O,X
ILOZTSJ,X,O,X,X,O,O,X,O,X
ILOZJTS,X,O,X,X,O,O,X,O,X
ILOZJST,O,X,X,X,X,O,X,X,X
ILOZSTJ,O,X,X,X,X,O,X,X,X
ILOZSJT,O,X,X,X,X,O,X,X,X
IJTLSZO,X,X,O,O,O,X,X,X,X
IJTLSOZ,X,X,O,O,O,X,X,X,X
IJTLZSO,X,O,X,X,O,X,X,X,X
IJTLZOS,X,O,X,O,X,X,X,X,X
IJTLOSZ,X,X,O,O,O,X,X,X,X
IJTLOZS,X,O,X,O,X,X,X,X,X
IJTSLZO,X,X,O,O,O,X,X,X,O
IJTSLOZ,X,X,O,O,O,X,X,X,O
IJTSZLO,X,X,O,O,O,X,X,X,X
IJTSZOL,X,X,O,O,O,X,X,X,X
IJTSOLZ,X,X,O,O,O,X,X,X,X
IJTSOZL,X,X,O,X,O,X,X,X,X
IJTZLSO,X,O,X,X,O,X,X,X,X
IJTZLOS,X,O,X,O,X,X,X,X,X
IJTZSLO,X,O,O,X,O,X,X,X,X
IJTZSOL,X,O,O,X,O,X,X,X,X
IJTZOLS,X,O,X,X,X,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X,X,X
IJTOLSZ,X,X,O,O,O,X,X,X,X
IJTOLZS,X,O,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,O,X,X,X,X
IJTOSZL,X,X,O,X,O,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X
IJLTSZO,X,X,O,O,O,X,X,X,X
IJLTSOZ,X,X,O,O,O,X,X,X,X
IJLTZSO,X,O,X,X,O,X,X,X,X
IJLTZOS,X,O,X,O,X,X,X,X,X
IJLTOSZ,X,X,O,O,O,X,X,X,X
IJLTOZS,X,O,X,O,X,X,X,X,X
IJLSTZO,X,X,O,O,O,X,X,X,O
IJLSTOZ,X,X,O,O,O,X,X,X,O
IJLSZTO,X,O,O,O,X,X,X,X,O
IJLSZOT,X,X,X,O,X,X,X,X,O
IJLSOTZ,X,X,O,O,X,X,X,X,O
IJLSOZT,X,X,X,O,X,X,X,X,O
IJLZTSO,X,O,X,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,X
IJLZSOT,X,X,X,X,X,X,X,X,X
IJLZOTS,X,O,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,X,O,O,X,X,X,X
IJLOTZS,X,X,X,O,X,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X,X,X
IJLOSZT,X,X,X,O,X,X,X,X,X
IJLOZTS,X,O,X,X,X,X,X,X,X
IJLOZST,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,O,O,O,X,X,X,O
IJSTLOZ,X,X,O,O,O,X,X,X,O
IJSTZLO,X,X,O,O,O,X,X,X,X
IJSTZOL,X,X,O,O,O,X,O,X,X
IJSTOLZ,X,X,O,O,O,X,X,X,X
IJSTOZL,X,X,O,X,O,X,O,X,X
IJSLTZO,X,X,O,O,X,X,X,X,O
IJSLTOZ,X,X,O,O,X,X,X,X,O
IJSLZTO,X,X,O,O,X,X,X,X,O
IJSLZOT,X,X,X,O,X,X,X,X,O
IJSLOTZ,X,X,O,O,X,X,X,X,O
IJSLOZT,X,X,X,O,X,X,X,X,O
IJSZTLO,X,X,O,O,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,O,X,X
IJSZLTO,X,X,O,O,X,X,X,X,O
IJSZLOT,X,X,X,O,X,X,X,X,O
IJSZOTL,X,X,X,X,X,X,O,X,X
IJSZOLT,X,X,X,O,X,X,O,X,X
