sequence,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgBfnB9oBqsBmn?B0rB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFfmB0hB9oBqsBmn?BzrB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFChBziB+oB/rB0s?BdsB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgB0iBStBmrBtr?BXtB
LJTZIOS,O,X,X,O
LJTZSIO,O,X,X,X
LJTZSOI,O,X,X,X
LJTZOIS,O,X,X,X
LJTZOSI,O,X,X,X
LJTOISZ,X,O,X,O
LJTOIZS,O,X,X,O
LJTOSIZ,X,O,X,X
LJTOSZI,X,O,X,X
LJTOZIS,O,X,X,X
LJTOZSI,O,X,X,X
LJITSZO,X,O,O,O
LJITSOZ,X,O,X,O
LJITZSO,O,X,X,O
LJITZOS,O,X,X,O
LJITOSZ,X,O,X,O
LJITOZS,O,X,X,O
LJISTZO,X,O,O,O
LJISTOZ,X,O,X,O
LJISZTO,X,O,O,X
LJISZOT,X,X,O,X
LJISOTZ,X,O,X,O
LJISOZT,X,O,O,X
LJIZTSO,O,X,X,O
LJIZTOS,O,X,X,O
LJIZSTO,O,X,O,O
LJIZSOT,O,X,O,X
LJIZOTS,O,X,X,O
LJIZOST,O,X,O,X
LJIOTSZ,X,O,X,O
LJIOTZS,O,X,X,O
LJIOSTZ,X,O,X,O
LJIOSZT,X,O,O,X
LJIOZTS,O,X,X,O
LJIOZST,O,X,O,X
LJSTIZO,X,O,O,X
LJSTIOZ,X,O,X,X
LJSTZIO,X,O,O,X
LJSTZOI,X,X,X,X
LJSTOIZ,X,O,X,X
LJSTOZI,X,O,X,X
LJSITZO,X,O,O,O
LJSITOZ,X,O,X,O
LJSIZTO,X,O,O,X
LJSIZOT,X,X,O,X
LJSIOTZ,X,O,X,O
LJSIOZT,X,O,O,X
LJSZTIO,X,O,O,X
LJSZTOI,X,X,X,X
LJSZITO,X,O,O,O
LJSZIOT,X,X,O,X
LJSZOTI,X,X,X,X
LJSZOIT,X,X,O,X
LJSOTIZ,X,O,X,X
LJSOTZI,X,O,X,X
LJSOITZ,X,O,X,O
LJSOIZT,X,O,O,X
LJSOZTI,X,O,X,X
LJSOZIT,X,O,O,X
LJZTISO,O,X,X,O
LJZTIOS,O,X,X,O
LJZTSIO,O,X,X,X
LJZTSOI,O,X,X,X
LJZTOIS,O,X,X,X
LJZTOSI,O,X,X,X
LJZITSO,O,X,X,O
LJZITOS,O,X,X,O
LJZISTO,O,X,O,O
LJZISOT,O,X,O,X
LJZIOTS,O,X,X,O
LJZIOST,O,X,O,X
LJZSTIO,O,X,O,X
LJZSTOI,O,X,X,X
LJZSITO,O,X,O,O
LJZSIOT,O,X,O,X
LJZSOTI,O,X,X,X
LJZSOIT,O,X,O,X
LJZOTIS,O,X,X,X
LJZOTSI,O,X,X,X
LJZOITS,O,X,X,O
LJZOIST,O,X,O,X
LJZOSTI,O,X,X,X
LJZOSIT,O,X,O,X
LJOTISZ,X,O,X,O
LJOTIZS,O,X,X,O
LJOTSIZ,X,O,X,X
LJOTSZI,X,O,X,X
LJOTZIS,O,X,X,X
LJOTZSI,O,X,X,X
LJOITSZ,X,O,X,O
LJOITZS,O,X,X,O
LJOISTZ,X,O,X,O
LJOISZT,X,O,O,X
LJOIZTS,O,X,X,O
LJOIZST,O,X,O,X
LJOSTIZ,X,O,X,X
LJOSTZI,X,O,X,X
LJOSITZ,X,O,X,O
LJOSIZT,X,O,O,X
LJOSZTI,X,O,X,X
LJOSZIT,X,O,O,X
LJOZTIS,O,X,X,X
LJOZTSI,O,X,X,X
LJOZITS,O,X,X,O
LJOZIST,O,X,O,X
LJOZSTI,O,X,X,X
LJOZSIT,O,X,O,X
LSTIJZO,X,O,O,X
LSTIJOZ,X,O,X,X
LSTIZJO,O,O,O,X
LSTIZOJ,O,O,X,X
LSTIOJZ,X,O,X,X
LSTIOZJ,O,O,X,X
LSTJIZO,X,O,O,X
LSTJIOZ,X,O,X,X
LSTJZIO,X,O,O,X
LSTJZOI,X,X,X,X
LSTJOIZ,X,O,X,X
LSTJOZI,X,O,X,X
LSTZIJO,O,O,O,X
LSTZIOJ,O,O,X,X
LSTZJIO,O,O,O,X
LSTZJOI,O,X,X,X
LSTZOIJ,O,O,X,X
LSTZOJI,O,O,X,X
LSTOIJZ,X,O,X,X
LSTOIZJ,O,O,X,X
LSTOJIZ,X,O,X,X
LSTOJZI,X,O,X,X
LSTOZIJ,O,O,X,X
LSTOZJI,O,O,X,X
LSITJZO,X,O,O,X
LSITJOZ,X,O,X,X
LSITZJO,O,O,O,X
LSITZOJ,O,O,X,X
LSITOJZ,X,O,X,X
LSITOZJ,O,O,X,X
LSIJTZO,X,O,O,O
LSIJTOZ,X,O,X,O
LSIJZTO,X,O,O,X
LSIJZOT,X,X,O,X
LSIJOTZ,X,O,X,O
LSIJOZT,X,O,O,X
LSIZTJO,O,O,O,X
LSIZTOJ,O,O,X,X
LSIZJTO,O,O,O,O
LSIZJOT,O,X,O,X
LSIZOTJ,O,O,X,X
LSIZOJT,O,O,O,X
LSIOTJZ,X,O,X,X
LSIOTZJ,O,O,X,X
LSIOJTZ,X,O,X,O
LSIOJZT,X,O,O,X
LSIOZTJ,O,O,X,X
LSIOZJT,O,O,O,X
LSJTIZO,X,O,O,X
LSJTIOZ,X,O,X,X
LSJTZIO,X,O,O,X
LSJTZOI,X,X,X,X
LSJTOIZ,X,O,X,X
LSJTOZI,X,O,X,X
LSJITZO,X,O,O,O
LSJITOZ,X,O,X,O
LSJIZTO,X,O,O,X
LSJIZOT,X,X,O,X
LSJIOTZ,X,O,X,O
LSJIOZT,X,O,O,X
LSJZTIO,X,O,O,X
LSJZTOI,X,X,X,X
LSJZITO,X,O,O,O
LSJZIOT,X,X,O,X
LSJZOTI,X,X,X,X
LSJZOIT,X,X,O,X
LSJOTIZ,X,O,X,X
LSJOTZI,X,O,X,X
LSJOITZ,X,O,X,O
LSJOIZT,X,O,O,X
LSJOZTI,X,O,X,X
LSJOZIT,X,O,O,X
LSZTIJO,O,O,O,X
LSZTIOJ,O,O,X,X
LSZTJIO,O,O,O,X
LSZTJOI,O,X,X,X
LSZTOIJ,O,O,X,X
LSZTOJI,O,O,X,X
LSZITJO,O,O,O,X
LSZITOJ,O,O,X,X
LSZIJTO,O,O,O,O
LSZIJOT,O,X,O,X
LSZIOTJ,O,O,X,X
LSZIOJT,O,O,O,X
LSZJTIO,O,O,O,X
LSZJTOI,O,X,X,X
LSZJITO,O,O,O,O
LSZJIOT,O,X,O,X
LSZJOTI,O,X,X,X
LSZJOIT,O,X,O,X
LSZOTIJ,O,O,X,X
LSZOTJI,O,O,X,X
LSZOITJ,O,O,X,X
LSZOIJT,O,O,O,X
LSZOJTI,O,O,X,X
LSZOJIT,O,O,O,X
LSOTIJZ,X,O,X,X
LSOTIZJ,O,O,X,X
LSOTJIZ,X,O,X,X
LSOTJZI,X,O,X,X
LSOTZIJ,O,O,X,X
LSOTZJI,O,O,X,X
LSOITJZ,X,O,X,X
LSOITZJ,O,O,X,X
LSOIJTZ,X,O,X,O
LSOIJZT,X,O,O,X
LSOIZTJ,O,O,X,X
LSOIZJT,O,O,O,X
LSOJTIZ,X,O,X,X
LSOJTZI,X,O,X,X
LSOJITZ,X,O,X,O
LSOJIZT,X,O,O,X
LSOJZTI,X,O,X,X
LSOJZIT,X,O,O,X
LSOZTIJ,O,O,X,X
LSOZTJI,O,O,X,X
LSOZITJ,O,O,X,X
LSOZIJT,O,O,O,X
LSOZJTI,O,O,X,X
LSOZJIT,O,O,O,X
LZTIJSO,O,X,X,O
LZTIJOS,O,X,X,O
LZTISJO,O,O,X,X
LZTISOJ,O,O,X,X
LZTIOJS,O,X,X,X
LZTIOSJ,O,O,X,X
LZTJISO,O,X,X,O
LZTJIOS,O,X,X,O
LZTJSIO,O,X,X,X
LZTJSOI,O,X,X,X
LZTJOIS,O,X,X,X
LZTJOSI,O,X,X,X
LZTSIJO,O,O,X,X
LZTSIOJ,O,O,X,X
LZTSJIO,O,O,X,X
LZTSJOI,O,X,X,X
LZTSOIJ,O,O,X,X
LZTSOJI,O,O,X,X
LZTOIJS,O,X,X,X
LZTOISJ,O,O,X,X
LZTOJIS,O,X,X,X
LZTOJSI,O,X,X,X
LZTOSIJ,O,O,X,X
LZTOSJI,O,O,X,X
LZITJSO,O,X,X,O
LZITJOS,O,X,X,O
LZITSJO,O,O,X,X
LZITSOJ,O,O,X,X
LZITOJS,O,X,X,X
LZITOSJ,O,O,X,X
LZIJTSO,O,X,X,O
LZIJTOS,O,X,X,O
LZIJSTO,O,X,O,O
LZIJSOT,O,X,O,X
LZIJOTS,O,X,X,O
LZIJOST,O,X,O,X
LZISTJO,O,O,O,X
LZISTOJ,O,O,X,X
LZISJTO,O,O,O,O
LZISJOT,O,X,O,X
LZISOTJ,O,O,X,X
LZISOJT,O,O,O,X
LZIOTJS,O,X,X,X
LZIOTSJ,O,O,X,X
LZIOJTS,O,X,X,O
LZIOJST,O,X,X,X
LZIOSTJ,O,O,X,X
LZIOSJT,O,O,X,X
LZJTISO,O,X,X,O
LZJTIOS,O,X,X,O
LZJTSIO,O,X,X,X
LZJTSOI,O,X,X,X
LZJTOIS,O,X,X,X
LZJTOSI,O,X,X,X
LZJITSO,O,X,X,O
LZJITOS,O,X,X,O
LZJISTO,O,X,O,O
LZJISOT,O,X,O,X
LZJIOTS,O,X,X,O
LZJIOST,O,X,O,X
LZJSTIO,O,X,O,X
LZJSTOI,O,X,X,X
LZJSITO,O,X,O,O
LZJSIOT,O,X,O,X
LZJSOTI,O,X,X,X
LZJSOIT,O,X,O,X
LZJOTIS,O,X,X,X
LZJOTSI,O,X,X,X
LZJOITS,O,X,X,O
LZJOIST,O,X,O,X
LZJOSTI,O,X,X,X
LZJOSIT,O,X,O,X
LZSTIJO,O,O,O,X
LZSTIOJ,O,O,X,X
LZSTJIO,O,O,O,X
LZSTJOI,O,X,X,X
LZSTOIJ,O,O,X,X
LZSTOJI,O,O,X,X
LZSITJO,O,O,O,X
LZSITOJ,O,O,X,X
LZSIJTO,O,O,O,O
LZSIJOT,O,X,O,X
LZSIOTJ,O,O,X,X
LZSIOJT,O,O,O,X
LZSJTIO,O,O,O,X
LZSJTOI,O,X,X,X
LZSJITO,O,O,O,O
LZSJIOT,O,X,O,X
LZSJOTI,O,X,X,X
LZSJOIT,O,X,O,X
LZSOTIJ,O,O,X,X
LZSOTJI,O,O,X,X
LZSOITJ,O,O,X,X
LZSOIJT,O,O,O,X
LZSOJTI,O,O,X,X
LZSOJIT,O,O,O,X
LZOTIJS,O,X,X,X
LZOTISJ,O,O,X,X
LZOTJIS,O,X,X,X
LZOTJSI,O,X,X,X
LZOTSIJ,O,O,X,X
LZOTSJI,O,O,X,X
LZOITJS,O,X,X,X
LZOITSJ,O,O,X,X
LZOIJTS,O,X,X,O
LZOIJST,O,X,X,X
LZOISTJ,O,O,X,X
LZOISJT,O,O,X,X
LZOJTIS,O,X,X,X
LZOJTSI,O,X,X,X
LZOJITS,O,X,X,O
LZOJIST,O,X,X,X
LZOJSTI,O,X,X,X
LZOJSIT,O,X,X,X
LZOSTIJ,O,O,X,X
LZOSTJI,O,O,X,X
LZOSITJ,O,O,X,X
LZOSIJT,O,O,X,X
LZOSJTI,O,O,X,X
LZOSJIT,O,O,X,X
LOTIJSZ,X,O,X,O
LOTIJZS,O,X,X,O
LOTISJZ,X,O,X,X
LOTISZJ,O,O,X,X
LOTIZJS,O,X,X,X
LOTIZSJ,O,O,X,X
LOTJISZ,X,O,X,O
LOTJIZS,O,X,X,O
LOTJSIZ,X,O,X,X
LOTJSZI,X,O,X,X
LOTJZIS,O,X,X,X
LOTJZSI,O,X,X,X
LOTSIJZ,X,O,X,X
LOTSIZJ,O,O,X,X
LOTSJIZ,X,O,X,X
LOTSJZI,X,O,X,X
LOTSZIJ,O,O,X,X
LOTSZJI,O,O,X,X
LOTZIJS,O,X,X,X
LOTZISJ,O,O,X,X
LOTZJIS,O,X,X,X
LOTZJSI,O,X,X,X
LOTZSIJ,O,O,X,X
LOTZSJI,O,O,X,X
LOITJSZ,X,O,X,O
LOITJZS,O,X,X,O
LOITSJZ,X,O,X,X
LOITSZJ,O,O,X,X
LOITZJS,O,X,X,X
LOITZSJ,O,O,X,X
LOIJTSZ,X,O,X,O
LOIJTZS,O,X,X,O
LOIJSTZ,X,O,X,O
LOIJSZT,X,O,O,X
LOIJZTS,O,X,X,O
LOIJZST,O,X,X,X
LOISTJZ,X,O,X,X
LOISTZJ,O,O,X,X
LOISJTZ,X,O,X,O
LOISJZT,X,O,O,X
LOISZTJ,O,O,X,X
LOISZJT,O,O,O,X
LOIZTJS,O,X,X,X
LOIZTSJ,O,O,X,X
LOIZJTS,O,X,X,O
LOIZJST,O,X,X,X
LOIZSTJ,O,O,X,X
LOIZSJT,O,O,X,X
LOJTISZ,X,O,X,O
LOJTIZS,O,X,X,O
LOJTSIZ,X,O,X,X
LOJTSZI,X,O,X,X
LOJTZIS,O,X,X,X
LOJTZSI,O,X,X,X
LOJITSZ,X,O,X,O
LOJITZS,O,X,X,O
LOJISTZ,X,O,X,O
LOJISZT,X,O,O,X
LOJIZTS,O,X,X,O
LOJIZST,O,X,X,X
LOJSTIZ,X,O,X,X
LOJSTZI,X,O,X,X
LOJSITZ,X,O,X,O
LOJSIZT,X,O,O,X
LOJSZTI,X,O,X,X
LOJSZIT,X,O,O,X
LOJZTIS,O,X,X,X
LOJZTSI,O,X,X,X
LOJZITS,O,X,X,O
LOJZIST,O,X,X,X
LOJZSTI,O,X,X,X
LOJZSIT,O,X,X,X
LOSTIJZ,X,O,X,X
LOSTIZJ,O,O,X,X
LOSTJIZ,X,O,X,X
LOSTJZI,X,O,X,X
LOSTZIJ,O,O,X,X
LOSTZJI,O,O,X,X
LOSITJZ,X,O,X,X
LOSITZJ,O,O,X,X
LOSIJTZ,X,O,X,O
LOSIJZT,X,O,O,X
LOSIZTJ,O,O,X,X
LOSIZJT,O,O,O,X
LOSJTIZ,X,O,X,X
LOSJTZI,X,O,X,X
LOSJITZ,X,O,X,O
LOSJIZT,X,O,O,X
LOSJZTI,X,O,X,X
LOSJZIT,X,O,O,X
LOSZTIJ,O,O,X,X
LOSZTJI,O,O,X,X
LOSZITJ,O,O,X,X
LOSZIJT,O,O,O,X
LOSZJTI,O,O,X,X
LOSZJIT,O,O,O,X
LOZTIJS,O,X,X,X
LOZTISJ,O,O,X,X
LOZTJIS,O,X,X,X
LOZTJSI,O,X,X,X
LOZTSIJ,O,O,X,X
LOZTSJI,O,O,X,X
LOZITJS,O,X,X,X
LOZITSJ,O,O,X,X
LOZIJTS,O,X,X,O
LOZIJST,O,X,X,X
LOZISTJ,O,O,X,X
LOZISJT,O,O,X,X
LOZJTIS,O,X,X,X
LOZJTSI,O,X,X,X
LOZJITS,O,X,X,O
LOZJIST,O,X,X,X
LOZJSTI,O,X,X,X
LOZJSIT,O,X,X,X
LOZSTIJ,O,O,X,X
LOZSTJI,O,O,X,X
LOZSITJ,O,O,X,X
LOZSIJT,O,O,X,X
LOZSJTI,O,O,X,X
LOZSJIT,O,O,X,X
JTILSZO,X,O,O,O
JTILSOZ,X,O,X,O
JTILZSO,O,X,X,O
JTILZOS,O,X,X,O
JTILOSZ,X,O,X,O
JTILOZS,O,X,X,O
JTISLZO,X,O,O,X
JTISLOZ,X,O,X,X
JTISZLO,X,O,O,X
JTISZOL,X,X,O,X
JTISOLZ,X,O,X,X
JTISOZL,X,O,X,X
JTIZLSO,O,X,X,X
JTIZLOS,O,X,X,X
JTIZSLO,O,X,O,X
JTIZSOL,O,X,O,X
JTIZOLS,O,X,X,X
JTIZOSL,O,X,O,X
JTIOLSZ,X,O,X,O
JTIOLZS,O,X,X,O
JTIOSLZ,X,O,X,X
JTIOSZL,X,O,X,X
JTIOZLS,O,X,X,X
JTIOZSL,O,X,O,X
JTLISZO,X,O,O,O
JTLISOZ,X,O,X,O
JTLIZSO,O,X,X,O
JTLIZOS,O,X,X,O
JTLIOSZ,X,O,X,O
JTLIOZS,O,X,X,O
JTLSIZO,X,O,O,X
JTLSIOZ,X,O,X,X
JTLSZIO,X,O,O,X
JTLSZOI,X,X,X,X
JTLSOIZ,X,O,X,X
JTLSOZI,X,O,X,X
JTLZISO,O,X,X,O
JTLZIOS,O,X,X,O
JTLZSIO,O,X,X,X
JTLZSOI,O,X,X,X
JTLZOIS,O,X,X,X
JTLZOSI,O,X,X,X
JTLOISZ,X,O,X,O
JTLOIZS,O,X,X,O
JTLOSIZ,X,O,X,X
JTLOSZI,X,O,X,X
JTLOZIS,O,X,X,X
JTLOZSI,O,X,X,X
JTSILZO,X,O,O,X
JTSILOZ,X,O,X,X
JTSIZLO,X,O,O,X
JTSIZOL,X,X,O,X
JTSIOLZ,X,O,X,X
JTSIOZL,X,O,X,X
JTSLIZO,X,O,O,X
JTSLIOZ,X,O,X,X
JTSLZIO,X,O,O,X
JTSLZOI,X,X,X,X
JTSLOIZ,X,O,X,X
JTSLOZI,X,O,X,X
JTSZILO,X,O,O,X
JTSZIOL,X,X,O,X
JTSZLIO,X,O,O,X
JTSZLOI,X,X,X,X
JTSZOIL,X,X,O,X
JTSZOLI,X,X,X,X
JTSOILZ,X,O,X,X
JTSOIZL,X,O,X,X
JTSOLIZ,X,O,X,X
JTSOLZI,X,O,X,X
JTSOZIL,X,O,X,X
JTSOZLI,X,O,X,X
JTZILSO,O,X,X,X
JTZILOS,O,X,X,X
JTZISLO,O,X,O,X
JTZISOL,O,X,O,X
JTZIOLS,O,X,X,X
JTZIOSL,O,X,O,X
JTZLISO,O,X,X,X
JTZLIOS,O,X,X,X
JTZLSIO,O,X,X,X
JTZLSOI,O,X,X,X
JTZLOIS,O,X,X,X
JTZLOSI,O,X,X,X
JTZSILO,O,X,O,X
JTZSIOL,O,X,O,X
JTZSLIO,O,X,O,X
JTZSLOI,O,X,X,X
JTZSOIL,O,X,O,X
JTZSOLI,O,X,X,X
JTZOILS,O,X,X,X
JTZOISL,O,X,O,X
JTZOLIS,O,X,X,X
JTZOLSI,O,X,X,X
JTZOSIL,O,X,O,X
JTZOSLI,O,X,X,X
JTOILSZ,X,O,X,O
JTOILZS,O,X,X,O
JTOISLZ,X,O,X,X
JTOISZL,X,O,X,X
JTOIZLS,O,X,X,X
JTOIZSL,O,X,O,X
JTOLISZ,X,O,X,O
JTOLIZS,O,X,X,O
JTOLSIZ,X,O,X,X
JTOLSZI,X,O,X,X
JTOLZIS,O,X,X,X
JTOLZSI,O,X,X,X
JTOSILZ,X,O,X,X
JTOSIZL,X,O,X,X
JTOSLIZ,X,O,X,X
JTOSLZI,X,O,X,X
JTOSZIL,X,O,X,X
JTOSZLI,X,O,X,X
JTOZILS,O,X,X,X
JTOZISL,O,X,O,X
JTOZLIS,O,X,X,X
JTOZLSI,O,X,X,X
JTOZSIL,O,X,O,X
JTOZSLI,O,X,X,X
JITLSZO,X,O,O,O
JITLSOZ,X,O,X,O
JITLZSO,O,X,X,O
JITLZOS,O,X,X,O
JITLOSZ,X,O,X,O
JITLOZS,O,X,X,O
JITSLZO,X,O,O,X
JITSLOZ,X,O,X,X
JITSZLO,X,O,O,X
JITSZOL,X,X,O,X
JITSOLZ,X,O,X,X
JITSOZL,X,O,X,X
JITZLSO,O,X,X,X
JITZLOS,O,X,X,X
JITZSLO,O,X,O,X
JITZSOL,O,X,O,X
JITZOLS,O,X,X,X
JITZOSL,O,X,O,X
JITOLSZ,X,O,X,O
JITOLZS,O,X,X,O
JITOSLZ,X,O,X,X
JITOSZL,X,O,X,X
JITOZLS,O,X,X,X
JITOZSL,O,X,O,X
JILTSZO,X,O,O,O
JILTSOZ,X,O,X,O
JILTZSO,O,X,X,O
JILTZOS,O,X,X,O
JILTOSZ,X,O,X,O
JILTOZS,O,X,X,O
JILSTZO,X,O,O,O
JILSTOZ,X,O,X,O
JILSZTO,X,O,O,X
JILSZOT,X,X,O,X
JILSOTZ,X,O,X,O
JILSOZT,X,O,O,X
JILZTSO,O,X,X,O
JILZTOS,O,X,X,O
JILZSTO,O,X,O,O
JILZSOT,O,X,O,X
JILZOTS,O,X,X,O
JILZOST,O,X,O,X
JILOTSZ,X,O,X,O
JILOTZS,O,X,X,O
JILOSTZ,X,O,X,O
JILOSZT,X,O,O,X
JILOZTS,O,X,X,O
JILOZST,O,X,O,X
JISTLZO,X,O,O,X
JISTLOZ,X,O,X,X
JISTZLO,X,O,O,X
JISTZOL,X,X,O,X
JISTOLZ,X,O,X,X
JISTOZL,X,O,X,X
JISLTZO,X,O,O,O
JISLTOZ,X,O,X,O
JISLZTO,X,O,O,X
JISLZOT,X,X,O,X
JISLOTZ,X,O,X,O
JISLOZT,X,O,O,X
JISZTLO,X,O,O,X
JISZTOL,X,X,O,X
JISZLTO,X,O,O,X
JISZLOT,X,X,O,X
JISZOTL,X,O,O,X
JISZOLT,X,O,O,X
JISOTLZ,X,O,X,X
JISOTZL,X,O,X,X
JISOLTZ,X,O,X,O
JISOLZT,X,O,O,X
JISOZTL,X,O,O,X
JISOZLT,X,O,O,X
JIZTLSO,O,X,X,X
JIZTLOS,O,X,X,X
JIZTSLO,O,X,O,X
JIZTSOL,O,X,O,X
JIZTOLS,O,X,X,X
JIZTOSL,O,X,O,X
JIZLTSO,O,X,X,O
JIZLTOS,O,X,X,O
JIZLSTO,O,X,O,X
JIZLSOT,O,X,O,X
JIZLOTS,O,X,X,O
JIZLOST,O,X,O,X
JIZSTLO,O,X,O,X
JIZSTOL,O,X,O,X
JIZSLTO,O,X,O,X
JIZSLOT,O,X,O,X
JIZSOTL,O,X,O,X
JIZSOLT,O,X,O,X
JIZOTLS,O,X,X,X
JIZOTSL,O,X,O,X
JIZOLTS,O,X,X,O
JIZOLST,O,X,O,X
JIZOSTL,O,X,O,X
JIZOSLT,O,X,O,X
JIOTLSZ,X,O,X,O
JIOTLZS,O,X,X,O
JIOTSLZ,X,O,X,X
JIOTSZL,X,O,X,X
JIOTZLS,O,X,X,X
JIOTZSL,O,X,O,X
JIOLTSZ,X,O,X,O
JIOLTZS,O,X,X,O
JIOLSTZ,X,O,X,O
JIOLSZT,X,O,O,X
JIOLZTS,O,X,X,O
JIOLZST,O,X,O,X
JIOSTLZ,X,O,X,X
JIOSTZL,X,O,X,X
JIOSLTZ,X,O,X,O
JIOSLZT,X,O,O,X
JIOSZTL,X,O,O,X
JIOSZLT,X,O,O,X
JIOZTLS,O,X,X,X
JIOZTSL,O,X,O,X
JIOZLTS,O,X,X,O
JIOZLST,O,X,O,X
JIOZSTL,O,X,O,X
JIOZSLT,O,X,O,X
JLTISZO,X,O,O,O
JLTISOZ,X,O,X,O
JLTIZSO,O,X,X,O
JLTIZOS,O,X,X,O
JLTIOSZ,X,O,X,O
JLTIOZS,O,X,X,O
JLTSIZO,X,O,O,X
JLTSIOZ,X,O,X,X
JLTSZIO,X,O,O,X
JLTSZOI,X,X,X,X
JLTSOIZ,X,O,X,X
JLTSOZI,X,O,X,X
JLTZISO,O,X,X,O
JLTZIOS,O,X,X,O
JLTZSIO,O,X,X,X
JLTZSOI,O,X,X,X
JLTZOIS,O,X,X,X
JLTZOSI,O,X,X,X
JLTOISZ,X,O,X,O
JLTOIZS,O,X,X,O
JLTOSIZ,X,O,X,X
JLTOSZI,X,O,X,X
JLTOZIS,O,X,X,X
JLTOZSI,O,X,X,X
JLITSZO,X,O,O,O
JLITSOZ,X,O,X,O
JLITZSO,O,X,X,O
JLITZOS,O,X,X,O
JLITOSZ,X,O,X,O
JLITOZS,O,X,X,O
JLISTZO,X,O,O,O
JLISTOZ,X,O,X,O
JLISZTO,X,O,O,X
JLISZOT,X,X,O,X
JLISOTZ,X,O,X,O
JLISOZT,X,O,O,X
JLIZTSO,O,X,X,O
JLIZTOS,O,X,X,O
JLIZSTO,O,X,O,O
JLIZSOT,O,X,O,X
JLIZOTS,O,X,X,O
JLIZOST,O,X,O,X
JLIOTSZ,X,O,X,O
JLIOTZS,O,X,X,O
JLIOSTZ,X,O,X,O
JLIOSZT,X,O,O,X
JLIOZTS,O,X,X,O
JLIOZST,O,X,O,X
JLSTIZO,X,O,O,X
JLSTIOZ,X,O,X,X
JLSTZIO,X,O,O,X
JLSTZOI,X,X,X,X
JLSTOIZ,X,O,X,X
JLSTOZI,X,O,X,X
JLSITZO,X,O,O,O
JLSITOZ,X,O,X,O
JLSIZTO,X,O,O,X
JLSIZOT,X,X,O,X
JLSIOTZ,X,O,X,O
JLSIOZT,X,O,O,X
JLSZTIO,X,O,O,X
JLSZTOI,X,X,X,X
JLSZITO,X,O,O,O
JLSZIOT,X,X,O,X
JLSZOTI,X,X,X,X
JLSZOIT,X,X,O,X
JLSOTIZ,X,O,X,X
JLSOTZI,X,O,X,X
JLSOITZ,X,O,X,O
JLSOIZT,X,O,O,X
JLSOZTI,X,O,X,X
JLSOZIT,X,O,O,X
JLZTISO,O,X,X,O
JLZTIOS,O,X,X,O
JLZTSIO,O,X,X,X
JLZTSOI,O,X,X,X
JLZTOIS,O,X,X,X
JLZTOSI,O,X,X,X
JLZITSO,O,X,X,O
JLZITOS,O,X,X,O
JLZISTO,O,X,O,O
JLZISOT,O,X,O,X
JLZIOTS,O,X,X,O
JLZIOST,O,X,O,X
JLZSTIO,O,X,O,X
JLZSTOI,O,X,X,X
JLZSITO,O,X,O,O
JLZSIOT,O,X,O,X
JLZSOTI,O,X,X,X
JLZSOIT,O,X,O,X
JLZOTIS,O,X,X,X
JLZOTSI,O,X,X,X
JLZOITS,O,X,X,O
JLZOIST,O,X,O,X
JLZOSTI,O,X,X,X
JLZOSIT,O,X,O,X
JLOTISZ,X,O,X,O
JLOTIZS,O,X,X,O
JLOTSIZ,X,O,X,X
JLOTSZI,X,O,X,X
JLOTZIS,O,X,X,X
JLOTZSI,O,X,X,X
JLOITSZ,X,O,X,O
JLOITZS,O,X,X,O
JLOISTZ,X,O,X,O
JLOISZT,X,O,O,X
JLOIZTS,O,X,X,O
JLOIZST,O,X,O,X
JLOSTIZ,X,O,X,X
JLOSTZI,X,O,X,X
JLOSITZ,X,O,X,O
JLOSIZT,X,O,O,X
JLOSZTI,X,O,X,X
JLOSZIT,X,O,O,X
JLOZTIS,O,X,X,X
JLOZTSI,O,X,X,X
JLOZITS,O,X,X,O
JLOZIST,O,X,O,X
JLOZSTI,O,X,X,X
JLOZSIT,O,X,O,X
JSTILZO,X,O,O,X
JSTILOZ,X,O,X,X
JSTIZLO,X,O,O,X
JSTIZOL,X,X,O,X
JSTIOLZ,X,O,X,X
JSTIOZL,X,O,X,X
JSTLIZO,X,O,O,X
JSTLIOZ,X,O,X,X
JSTLZIO,X,O,O,X
JSTLZOI,X,X,X,X
JSTLOIZ,X,O,X,X
JSTLOZI,X,O,X,X
JSTZILO,X,O,O,X
JSTZIOL,X,X,O,X
JSTZLIO,X,O,O,X
JSTZLOI,X,X,X,X
JSTZOIL,X,X,O,X
JSTZOLI,X,X,X,X
JSTOILZ,X,O,X,X
JSTOIZL,X,O,X,X
JSTOLIZ,X,O,X,X
JSTOLZI,X,O,X,X
JSTOZIL,X,O,X,X
JSTOZLI,X,O,X,X
JSITLZO,X,O,O,X
JSITLOZ,X,O,X,X
JSITZLO,X,O,O,X
JSITZOL,X,X,O,X
JSITOLZ,X,O,X,X
JSITOZL,X,O,X,X
JSILTZO,X,O,O,O
JSILTOZ,X,O,X,O
JSILZTO,X,O,O,X
JSILZOT,X,X,O,X
JSILOTZ,X,O,X,O
JSILOZT,X,O,O,X
JSIZTLO,X,O,O,X
JSIZTOL,X,X,O,X
JSIZLTO,X,O,O,X
JSIZLOT,X,X,O,X
