sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TJOLSZI,X,X,O,X,X,X
TJOLZIS,O,O,X,X,O,X
TJOLZSI,O,O,X,X,X,X
TJOSILZ,X,X,O,X,O,X
TJOSIZL,X,X,O,X,X,X
TJOSLIZ,X,X,O,X,O,X
TJOSLZI,X,X,O,X,X,X
TJOSZIL,X,X,O,X,X,X
TJOSZLI,X,X,O,X,X,X
TJOZILS,O,O,X,X,O,X
TJOZISL,O,O,O,X,X,X
TJOZLIS,O,O,X,X,O,X
TJOZLSI,O,O,X,X,X,X
TJOZSIL,O,O,O,X,X,X
TJOZSLI,O,O,O,X,X,X
TSILJZO,O,O,X,X,X,O
TSILJOZ,O,X,X,X,O,X
TSILZJO,O,O,X,X,X,O
TSILZOJ,O,O,O,O,X,O
TSILOJZ,O,X,O,O,O,X
TSILOZJ,O,X,O,O,X,X
TSIJLZO,O,O,X,X,X,O
TSIJLOZ,O,X,X,X,O,X
TSIJZLO,O,O,X,X,X,O
TSIJZOL,O,O,O,X,X,O
TSIJOLZ,O,X,O,X,O,X
TSIJOZL,O,X,O,X,X,X
TSIZLJO,O,O,X,X,X,O
TSIZLOJ,O,O,O,X,X,O
TSIZJLO,O,O,X,X,X,O
TSIZJOL,O,O,O,X,X,O
TSIZOLJ,O,O,O,X,X,O
TSIZOJL,O,O,O,O,X,O
TSIOLJZ,O,X,O,O,O,X
TSIOLZJ,O,X,O,O,X,X
TSIOJLZ,O,X,O,O,O,X
TSIOJZL,O,X,O,O,X,X
TSIOZLJ,O,X,O,X,X,X
TSIOZJL,O,X,O,O,X,X
TSLIJZO,O,O,X,X,X,O
TSLIJOZ,O,X,X,X,O,X
TSLIZJO,O,O,X,X,X,O
TSLIZOJ,O,O,O,O,X,O
TSLIOJZ,O,X,O,O,O,X
TSLIOZJ,O,X,O,O,X,X
TSLJIZO,O,O,X,X,X,O
TSLJIOZ,O,X,X,X,O,X
TSLJZIO,O,O,X,X,X,O
TSLJZOI,O,O,X,X,X,O
TSLJOIZ,O,X,X,X,O,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,O,O,X,X,X,O
TSLZIOJ,O,O,O,O,X,O
TSLZJIO,O,O,X,X,X,O
TSLZJOI,O,O,X,X,X,O
TSLZOIJ,O,O,O,O,X,O
TSLZOJI,O,O,O,O,X,O
TSLOIJZ,O,X,O,O,O,X
TSLOIZJ,O,X,O,O,X,X
TSLOJIZ,O,X,O,O,O,X
TSLOJZI,O,X,O,O,X,X
TSLOZIJ,O,X,O,O,X,X
TSLOZJI,O,X,O,O,X,X
TSJILZO,O,O,X,X,X,O
TSJILOZ,O,X,X,X,O,X
TSJIZLO,O,O,X,X,X,O
TSJIZOL,O,O,O,X,X,O
TSJIOLZ,O,X,O,X,O,X
TSJIOZL,O,X,O,X,X,X
TSJLIZO,O,O,X,X,X,O
TSJLIOZ,O,X,X,X,O,X
TSJLZIO,O,O,X,X,X,O
TSJLZOI,O,O,X,X,X,O
TSJLOIZ,O,X,X,X,O,X
TSJLOZI,O,X,X,X,X,X
TSJZILO,O,O,X,X,X,O
TSJZIOL,O,O,O,X,X,O
TSJZLIO,O,O,X,X,X,O
TSJZLOI,O,O,X,X,X,O
TSJZOIL,O,O,O,X,X,O
TSJZOLI,O,O,O,X,X,O
TSJOILZ,O,X,O,X,O,X
TSJOIZL,O,X,O,X,X,X
TSJOLIZ,O,X,O,X,O,X
TSJOLZI,O,X,O,X,X,X
TSJOZIL,O,X,O,X,X,X
TSJOZLI,O,X,O,X,X,X
TSZILJO,O,O,X,X,X,O
TSZILOJ,O,O,O,X,X,O
TSZIJLO,O,O,X,X,X,O
TSZIJOL,O,O,O,X,X,O
TSZIOLJ,O,O,O,X,X,O
TSZIOJL,O,O,O,O,X,O
TSZLIJO,O,O,X,X,X,O
TSZLIOJ,O,O,O,X,X,O
TSZLJIO,O,O,X,X,X,O
TSZLJOI,O,O,X,X,X,O
TSZLOIJ,O,O,O,X,X,O
TSZLOJI,O,O,O,X,X,O
TSZJILO,O,O,X,X,X,O
TSZJIOL,O,O,O,X,X,O
TSZJLIO,O,O,X,X,X,O
TSZJLOI,O,O,X,X,X,O
TSZJOIL,O,O,O,X,X,O
TSZJOLI,O,O,O,X,X,O
TSZOILJ,O,O,O,X,X,O
TSZOIJL,O,O,O,O,X,O
TSZOLIJ,O,O,O,X,X,O
TSZOLJI,O,O,O,X,X,O
TSZOJIL,O,O,O,O,X,O
TSZOJLI,O,O,O,X,X,O
TSOILJZ,O,X,O,O,O,X
TSOILZJ,O,X,O,O,X,X
TSOIJLZ,O,X,O,O,O,X
TSOIJZL,O,X,O,O,X,X
TSOIZLJ,O,X,O,X,X,X
TSOIZJL,O,X,O,O,X,X
TSOLIJZ,O,X,O,O,O,X
TSOLIZJ,O,X,O,O,X,X
TSOLJIZ,O,X,O,O,O,X
TSOLJZI,O,X,O,O,X,X
TSOLZIJ,O,X,O,O,X,X
TSOLZJI,O,X,O,O,X,X
TSOJILZ,O,X,O,O,O,X
TSOJIZL,O,X,O,O,X,X
TSOJLIZ,O,X,O,O,O,X
TSOJLZI,O,X,O,O,X,X
TSOJZIL,O,X,O,O,X,X
TSOJZLI,O,X,O,X,X,X
TSOZILJ,O,X,O,X,X,X
TSOZIJL,O,X,O,O,X,X
TSOZLIJ,O,X,O,X,X,X
TSOZLJI,O,X,O,X,X,X
TSOZJIL,O,X,O,O,X,X
TSOZJLI,O,X,O,X,X,X
TZILJSO,O,O,X,X,X,X
TZILJOS,O,O,X,X,O,X
TZILSJO,O,O,X,X,X,X
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,O,X,X,O,X
