sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
LZIOSJT,O,O,X,O,X,O
LZJTISO,O,O,X,X,X,X
LZJTIOS,O,O,X,X,O,X
LZJTSIO,O,O,X,X,X,X
LZJTSOI,O,O,X,X,X,X
LZJTOIS,O,O,X,X,O,X
LZJTOSI,O,O,X,X,X,X
LZJITSO,O,O,X,X,X,X
LZJITOS,O,O,X,X,O,X
LZJISTO,O,X,X,X,X,O
LZJISOT,O,O,X,X,X,O
LZJIOTS,O,O,X,X,X,X
LZJIOST,O,O,X,X,X,O
LZJSTIO,O,X,X,X,X,O
LZJSTOI,O,X,X,X,X,O
LZJSITO,O,X,X,X,X,O
LZJSIOT,O,O,X,X,X,O
LZJSOTI,O,X,X,X,X,O
LZJSOIT,O,O,X,X,X,O
LZJOTIS,O,O,X,X,X,X
LZJOTSI,O,X,X,X,X,X
LZJOITS,O,O,X,X,X,X
LZJOIST,O,O,X,X,X,O
LZJOSTI,O,X,X,X,X,O
LZJOSIT,O,O,X,X,X,O
LZSTIJO,O,X,X,X,X,O
LZSTIOJ,O,X,X,O,X,O
LZSTJIO,O,X,X,X,X,O
LZSTJOI,O,X,X,X,X,O
LZSTOIJ,O,X,X,O,X,O
LZSTOJI,O,X,X,O,X,O
LZSITJO,O,X,X,X,X,O
LZSITOJ,O,X,X,O,X,O
LZSIJTO,O,X,X,X,X,O
LZSIJOT,O,O,X,O,X,O
LZSIOTJ,O,X,X,O,X,O
LZSIOJT,O,O,X,O,X,O
LZSJTIO,O,X,X,X,X,O
LZSJTOI,O,X,X,X,X,O
LZSJITO,O,X,X,X,X,O
LZSJIOT,O,O,X,O,X,O
LZSJOTI,O,X,X,O,X,O
LZSJOIT,O,O,X,O,X,O
LZSOTIJ,O,X,X,O,X,O
LZSOTJI,O,X,X,O,X,O
LZSOITJ,O,X,X,O,X,O
LZSOIJT,O,O,X,O,X,O
LZSOJTI,O,X,X,O,X,O
LZSOJIT,O,O,X,O,X,O
LZOTIJS,O,O,X,X,X,X
LZOTISJ,O,X,X,X,X,X
LZOTJIS,O,O,X,X,X,X
LZOTJSI,O,X,X,X,X,X
LZOTSIJ,O,X,X,X,X,X
LZOTSJI,O,X,X,X,X,X
LZOITJS,O,O,X,X,X,X
LZOITSJ,O,X,X,X,X,X
LZOIJTS,O,O,X,X,X,X
LZOIJST,O,O,X,O,X,O
LZOISTJ,O,X,X,O,X,O
LZOISJT,O,O,X,O,X,O
LZOJTIS,O,O,X,X,X,X
LZOJTSI,O,X,X,X,X,X
LZOJITS,O,O,X,X,X,X
LZOJIST,O,O,X,O,X,O
LZOJSTI,O,X,X,O,X,O
LZOJSIT,O,O,X,O,X,O
LZOSTIJ,O,X,X,O,X,O
LZOSTJI,O,X,X,O,X,O
LZOSITJ,O,X,X,O,X,O
LZOSIJT,O,O,X,O,X,O
LZOSJTI,O,X,X,O,X,O
LZOSJIT,O,O,X,O,X,O
LOTIJSZ,X,X,O,O,O,X
LOTIJZS,O,O,X,X,O,X
LOTISJZ,X,X,O,O,O,X
LOTISZJ,O,X,O,O,X,X
LOTIZJS,O,O,X,X,O,X
LOTIZSJ,O,O,X,X,X,X
LOTJISZ,X,X,O,O,O,X
LOTJIZS,O,O,X,X,O,X
LOTJSIZ,X,X,O,O,O,X
LOTJSZI,X,X,O,O,X,X
LOTJZIS,O,O,X,X,O,X
LOTJZSI,O,O,X,X,X,X
LOTSIJZ,X,X,O,O,O,X
LOTSIZJ,O,X,O,O,X,X
LOTSJIZ,X,X,O,O,O,X
LOTSJZI,X,X,O,O,X,X
LOTSZIJ,O,X,O,O,X,X
LOTSZJI,O,X,O,O,X,X
LOTZIJS,O,O,X,X,O,X
LOTZISJ,O,O,X,X,X,X
LOTZJIS,O,O,X,X,O,X
LOTZJSI,O,O,X,X,X,X
LOTZSIJ,O,O,X,X,X,X
LOTZSJI,O,O,X,X,X,X
LOITJSZ,X,X,O,O,O,X
LOITJZS,O,O,X,X,O,X
LOITSJZ,X,X,O,O,O,X
LOITSZJ,O,X,O,O,X,X
LOITZJS,O,O,X,X,O,X
LOITZSJ,O,O,X,X,X,X
LOIJTSZ,X,X,O,O,O,X
LOIJTZS,X,O,X,X,O,X
LOIJSTZ,X,X,X,O,X,X
LOIJSZT,X,X,O,O,X,X
LOIJZTS,X,O,X,X,X,X
LOIJZST,X,O,X,O,X,X
LOISTJZ,O,X,X,O,X,X
LOISTZJ,O,X,X,O,X,X
LOISJTZ,X,X,X,O,X,X
LOISJZT,X,X,O,O,X,X
LOISZTJ,O,X,X,O,X,X
LOISZJT,O,X,O,O,X,X
LOIZTJS,O,O,X,X,X,X
LOIZTSJ,O,X,X,X,X,X
LOIZJTS,O,O,X,X,X,X
LOIZJST,O,O,X,O,X,X
LOIZSTJ,O,X,X,O,X,X
LOIZSJT,O,O,X,O,X,X
LOJTISZ,X,X,O,O,O,X
LOJTIZS,X,O,X,X,O,X
LOJTSIZ,X,X,O,O,O,X
LOJTSZI,X,X,O,O,X,X
LOJTZIS,X,O,X,X,O,X
LOJTZSI,X,O,X,X,X,X
LOJITSZ,X,X,O,O,O,X
LOJITZS,X,O,X,X,O,X
LOJISTZ,X,X,X,O,X,X
LOJISZT,X,X,O,O,X,X
LOJIZTS,X,O,X,X,X,X
LOJIZST,X,O,X,O,X,X
LOJSTIZ,X,X,X,O,X,X
LOJSTZI,X,X,X,O,X,X
LOJSITZ,X,X,X,O,X,X
LOJSIZT,X,X,O,O,X,X
LOJSZTI,X,X,X,O,X,X
LOJSZIT,X,X,O,O,X,X
LOJZTIS,X,O,X,X,X,X
LOJZTSI,X,X,X,X,X,X
LOJZITS,X,O,X,X,X,X
LOJZIST,X,O,X,O,X,X
LOJZSTI,X,X,X,O,X,X
LOJZSIT,X,O,X,O,X,X
LOSTIJZ,O,X,X,O,X,X
LOSTIZJ,O,X,X,O,X,X
LOSTJIZ,O,X,X,O,X,X
LOSTJZI,O,X,X,O,X,X
LOSTZIJ,O,X,X,O,X,X
LOSTZJI,O,X,X,O,X,X
LOSITJZ,O,X,X,O,X,X
LOSITZJ,O,X,X,O,X,X
LOSIJTZ,X,X,X,O,X,X
LOSIJZT,X,X,O,O,X,X
LOSIZTJ,O,X,X,O,X,X
LOSIZJT,O,X,O,O,X,X
LOSJTIZ,X,X,X,O,X,X
LOSJTZI,X,X,X,O,X,X
LOSJITZ,X,X,X,O,X,X
LOSJIZT,X,X,O,O,X,X
LOSJZTI,X,X,X,O,X,X
LOSJZIT,X,X,O,O,X,X
LOSZTIJ,O,X,X,O,X,X
LOSZTJI,O,X,X,O,X,X
LOSZITJ,O,X,X,O,X,X
LOSZIJT,O,X,O,O,X,X
LOSZJTI,O,X,X,O,X,X
LOSZJIT,O,X,O,O,X,X
LOZTIJS,O,O,X,X,X,X
LOZTISJ,O,X,X,X,X,X
LOZTJIS,O,O,X,X,X,X
LOZTJSI,O,X,X,X,X,X
LOZTSIJ,O,X,X,X,X,X
LOZTSJI,O,X,X,X,X,X
LOZITJS,O,O,X,X,X,X
LOZITSJ,O,X,X,X,X,X
LOZIJTS,O,O,X,X,X,X
LOZIJST,O,O,X,O,X,X
LOZISTJ,O,X,X,O,X,X
LOZISJT,O,O,X,O,X,X
LOZJTIS,O,O,X,X,X,X
LOZJTSI,O,X,X,X,X,X
LOZJITS,O,O,X,X,X,X
LOZJIST,O,O,X,O,X,X
LOZJSTI,O,X,X,O,X,X
LOZJSIT,O,O,X,O,X,X
LOZSTIJ,O,X,X,O,X,X
LOZSTJI,O,X,X,O,X,X
LOZSITJ,O,X,X,O,X,X
LOZSIJT,O,O,X,O,X,X
LOZSJTI,O,X,X,O,X,X
LOZSJIT,O,O,X,O,X,X
JTILSZO,X,O,X,X,X,X
JTILSOZ,X,X,X,X,O,X
JTILZSO,O,O,X,X,X,X
JTILZOS,O,O,X,X,O,X
JTILOSZ,X,X,X,X,O,X
JTILOZS,O,O,X,X,O,X
JTISLZO,X,O,X,X,X,O
JTISLOZ,X,X,X,X,O,X
JTISZLO,X,O,X,X,X,O
JTISZOL,X,O,O,X,X,O
JTISOLZ,X,X,O,X,O,X
JTISOZL,X,X,O,X,X,X
JTIZLSO,O,O,X,X,X,X
JTIZLOS,O,O,X,X,O,X
JTIZSLO,O,O,X,X,X,O
JTIZSOL,O,O,X,X,X,O
JTIZOLS,O,O,X,X,O,X
JTIZOSL,O,O,X,X,X,O
JTIOLSZ,X,X,O,X,O,X
JTIOLZS,O,O,X,X,O,X
JTIOSLZ,X,X,O,X,O,X
JTIOSZL,X,X,O,X,X,X
JTIOZLS,O,O,X,X,O,X
JTIOZSL,O,O,O,X,X,X
JTLISZO,X,O,X,X,X,X
JTLISOZ,X,X,X,X,O,X
JTLIZSO,O,O,X,X,X,X
JTLIZOS,O,O,X,X,O,X
JTLIOSZ,X,X,X,X,O,X
JTLIOZS,O,O,X,X,O,X
JTLSIZO,X,O,X,X,X,X
JTLSIOZ,X,X,X,X,O,X
JTLSZIO,X,O,X,X,X,X
JTLSZOI,X,O,X,X,X,X
JTLSOIZ,X,X,X,X,O,X
JTLSOZI,X,X,X,X,X,X
JTLZISO,O,O,X,X,X,X
JTLZIOS,O,O,X,X,O,X
JTLZSIO,O,O,X,X,X,X
JTLZSOI,O,O,X,X,X,X
JTLZOIS,O,O,X,X,O,X
JTLZOSI,O,O,X,X,X,X
JTLOISZ,X,X,X,X,O,X
JTLOIZS,O,O,X,X,O,X
JTLOSIZ,X,X,X,X,O,X
JTLOSZI,X,X,X,X,X,X
JTLOZIS,O,O,X,X,O,X
JTLOZSI,O,O,X,X,X,X
JTSILZO,X,O,X,X,X,O
JTSILOZ,X,X,X,X,O,X
JTSIZLO,X,O,X,X,X,O
JTSIZOL,X,O,O,X,X,O
JTSIOLZ,X,X,O,X,O,X
JTSIOZL,X,X,O,X,X,X
JTSLIZO,X,O,X,X,X,O
JTSLIOZ,X,X,X,X,O,X
JTSLZIO,X,O,X,X,X,O
JTSLZOI,X,O,X,X,X,O
JTSLOIZ,X,X,X,X,O,X
JTSLOZI,X,X,X,X,X,X
JTSZILO,X,O,X,X,X,O
JTSZIOL,X,O,O,X,X,O
JTSZLIO,X,O,X,X,X,O
JTSZLOI,X,O,X,X,X,O
JTSZOIL,X,O,O,X,X,O
JTSZOLI,X,O,O,X,X,O
JTSOILZ,X,X,O,X,O,X
JTSOIZL,X,X,O,X,X,X
JTSOLIZ,X,X,O,X,O,X
JTSOLZI,X,X,O,X,X,X
JTSOZIL,X,X,O,X,X,X
JTSOZLI,X,X,O,X,X,X
JTZILSO,O,O,X,X,X,X
JTZILOS,O,O,X,X,O,X
JTZISLO,O,O,X,X,X,O
JTZISOL,O,O,X,X,X,O
JTZIOLS,O,O,X,X,O,X
JTZIOSL,O,O,X,X,X,O
JTZLISO,O,O,X,X,X,X
JTZLIOS,O,O,X,X,O,X
JTZLSIO,O,O,X,X,X,X
JTZLSOI,O,O,X,X,X,X
JTZLOIS,O,O,X,X,O,X
JTZLOSI,O,O,X,X,X,X
JTZSILO,O,O,X,X,X,O
JTZSIOL,O,O,X,X,X,O
JTZSLIO,O,O,X,X,X,O
JTZSLOI,O,O,X,X,X,O
JTZSOIL,O,O,X,X,X,O
JTZSOLI,O,O,X,X,X,O
JTZOILS,O,O,X,X,O,X
JTZOISL,O,O,X,X,X,O
JTZOLIS,O,O,X,X,O,X
JTZOLSI,O,O,X,X,X,X
JTZOSIL,O,O,X,X,X,O
JTZOSLI,O,O,X,X,X,O
JTOILSZ,X,X,O,X,O,X
JTOILZS,O,O,X,X,O,X
JTOISLZ,X,X,O,X,O,X
JTOISZL,X,X,O,X,X,X
JTOIZLS,O,O,X,X,O,X
JTOIZSL,O,O,O,X,X,X
JTOLISZ,X,X,O,X,O,X
JTOLIZS,O,O,X,X,O,X
JTOLSIZ,X,X,O,X,O,X
JTOLSZI,X,X,O,X,X,X
JTOLZIS,O,O,X,X,O,X
JTOLZSI,O,O,X,X,X,X
JTOSILZ,X,X,O,X,O,X
JTOSIZL,X,X,O,X,X,X
JTOSLIZ,X,X,O,X,O,X
JTOSLZI,X,X,O,X,X,X
JTOSZIL,X,X,O,X,X,X
JTOSZLI,X,X,O,X,X,X
JTOZILS,O,O,X,X,O,X
JTOZISL,O,O,O,X,X,X
JTOZLIS,O,O,X,X,O,X
JTOZLSI,O,O,X,X,X,X
JTOZSIL,O,O,O,X,X,X
JTOZSLI,O,O,O,X,X,X
JITLSZO,X,O,X,X,X,X
JITLSOZ,X,X,X,X,O,X
JITLZSO,O,O,X,X,X,X
JITLZOS,O,O,X,X,O,X
JITLOSZ,X,X,X,X,O,X
JITLOZS,O,O,X,X,O,X
JITSLZO,X,O,X,X,X,O
JITSLOZ,X,X,X,X,O,X
JITSZLO,X,O,X,X,X,O
JITSZOL,X,O,O,X,X,O
JITSOLZ,X,X,O,X,O,X
JITSOZL,X,X,O,X,X,X
JITZLSO,O,O,X,X,X,X
JITZLOS,O,O,X,X,O,X
JITZSLO,O,O,X,X,X,O
JITZSOL,O,O,X,X,X,O
JITZOLS,O,O,X,X,O,X
JITZOSL,O,O,X,X,X,O
JITOLSZ,X,X,O,X,O,X
JITOLZS,O,O,X,X,O,X
JITOSLZ,X,X,O,X,O,X
JITOSZL,X,X,O,X,X,X
JITOZLS,O,O,X,X,O,X
JITOZSL,O,O,O,X,X,X
JILTSZO,X,O,X,X,X,X
JILTSOZ,X,X,X,X,O,X
JILTZSO,O,O,X,X,X,X
JILTZOS,O,O,X,X,O,X
JILTOSZ,X,X,X,X,O,X
JILTOZS,O,O,X,X,O,X
JILSTZO,O,O,X,X,X,O
JILSTOZ,O,X,X,X,O,X
JILSZTO,O,X,X,X,X,O
JILSZOT,O,O,X,O,X,O
JILSOTZ,X,X,X,O,X,X
JILSOZT,X,X,X,O,X,O
JILZTSO,O,O,X,X,X,X
JILZTOS,O,O,X,X,O,X
JILZSTO,O,X,X,X,X,O
JILZSOT,O,O,X,X,X,O
JILZOTS,O,O,X,X,X,X
JILZOST,O,O,X,X,X,O
JILOTSZ,X,X,X,O,O,X
JILOTZS,X,O,X,X,O,X
JILOSTZ,X,X,X,O,X,X
JILOSZT,X,X,X,O,X,X
JILOZTS,X,O,X,X,X,X
JILOZST,X,O,X,O,X,X
JISTLZO,O,O,X,X,X,O
JISTLOZ,O,X,X,X,O,X
JISTZLO,O,O,X,X,X,O
JISTZOL,O,O,X,X,X,O
JISTOLZ,O,X,X,X,O,X
JISTOZL,O,X,X,X,X,X
JISLTZO,O,O,X,X,X,O
JISLTOZ,O,X,X,X,O,X
JISLZTO,O,X,X,X,X,O
JISLZOT,O,O,X,O,X,O
JISLOTZ,X,X,X,O,X,X
JISLOZT,X,X,X,O,X,O
JISZTLO,O,X,X,X,X,O
JISZTOL,O,X,X,X,X,O
JISZLTO,O,X,X,X,X,O
JISZLOT,O,O,X,X,X,O
JISZOTL,O,X,O,O,X,O
JISZOLT,O,O,O,O,X,O
JISOTLZ,X,X,X,O,X,X
JISOTZL,X,X,O,O,X,X
JISOLTZ,X,X,X,O,X,X
JISOLZT,X,X,O,O,X,O
JISOZTL,X,X,O,O,X,O
JISOZLT,X,X,O,O,X,O
JIZTLSO,O,O,X,X,X,X
JIZTLOS,O,O,X,X,O,X
JIZTSLO,O,O,X,X,X,O
JIZTSOL,O,O,X,X,X,O
JIZTOLS,O,O,X,X,O,X
JIZTOSL,O,O,X,X,X,O
JIZLTSO,O,O,X,X,X,X
JIZLTOS,O,O,X,X,O,X
JIZLSTO,O,X,X,X,X,O
JIZLSOT,O,O,X,X,X,O
JIZLOTS,O,O,X,X,X,X
JIZLOST,O,O,X,X,X,O
JIZSTLO,O,X,X,X,X,O
JIZSTOL,O,X,X,X,X,O
JIZSLTO,O,X,X,X,X,O
JIZSLOT,O,O,X,X,X,O
JIZSOTL,O,X,X,X,X,O
JIZSOLT,O,O,X,X,X,O
JIZOTLS,O,O,X,X,X,X
JIZOTSL,O,X,X,X,X,O
JIZOLTS,O,O,X,X,X,X
JIZOLST,O,O,X,X,X,O
JIZOSTL,O,X,X,X,X,O
JIZOSLT,O,O,X,X,X,O
JIOTLSZ,X,X,O,O,O,X
JIOTLZS,X,O,X,X,O,X
JIOTSLZ,X,X,O,O,O,X
JIOTSZL,X,X,O,O,X,X
JIOTZLS,X,O,X,X,O,X
JIOTZSL,X,O,O,X,X,X
JIOLTSZ,X,X,O,O,O,X
JIOLTZS,X,O,X,X,O,X
JIOLSTZ,X,X,X,O,X,X
JIOLSZT,X,X,O,O,X,X
JIOLZTS,X,O,X,X,X,X
JIOLZST,X,O,X,O,X,X
JIOSTLZ,X,X,O,O,X,X
JIOSTZL,X,X,O,O,X,X
JIOSLTZ,X,X,X,O,X,X
JIOSLZT,X,X,O,O,X,O
JIOSZTL,X,X,O,O,X,O
JIOSZLT,X,X,O,O,X,O
JIOZTLS,X,O,X,X,X,X
JIOZTSL,X,X,O,X,X,O
JIOZLTS,X,O,X,X,X,X
JIOZLST,X,O,X,O,X,O
JIOZSTL,X,X,O,O,X,O
JIOZSLT,X,O,O,O,X,O
JLTISZO,X,O,X,X,X,X
JLTISOZ,X,X,X,X,O,X
JLTIZSO,O,O,X,X,X,X
JLTIZOS,O,O,X,X,O,X
JLTIOSZ,X,X,X,X,O,X
JLTIOZS,O,O,X,X,O,X
JLTSIZO,X,O,X,X,X,X
JLTSIOZ,X,X,X,X,O,X
JLTSZIO,X,O,X,X,X,X
JLTSZOI,X,O,X,X,X,X
JLTSOIZ,X,X,X,X,O,X
JLTSOZI,X,X,X,X,X,X
JLTZISO,O,O,X,X,X,X
JLTZIOS,O,O,X,X,O,X
JLTZSIO,O,O,X,X,X,X
JLTZSOI,O,O,X,X,X,X
JLTZOIS,O,O,X,X,O,X
JLTZOSI,O,O,X,X,X,X
JLTOISZ,X,X,X,X,O,X
JLTOIZS,O,O,X,X,O,X
JLTOSIZ,X,X,X,X,O,X
JLTOSZI,X,X,X,X,X,X
JLTOZIS,O,O,X,X,O,X
JLTOZSI,O,O,X,X,X,X
JLITSZO,X,O,X,X,X,X
JLITSOZ,X,X,X,X,O,X
JLITZSO,O,O,X,X,X,X
JLITZOS,O,O,X,X,O,X
JLITOSZ,X,X,X,X,O,X
JLITOZS,O,O,X,X,O,X
JLISTZO,O,O,X,X,X,O
JLISTOZ,O,X,X,X,O,X
JLISZTO,O,X,X,X,X,O
JLISZOT,O,O,X,O,X,O
JLISOTZ,X,X,X,O,X,X
JLISOZT,X,X,X,O,X,O
JLIZTSO,O,O,X,X,X,X
JLIZTOS,O,O,X,X,O,X
JLIZSTO,O,X,X,X,X,O
JLIZSOT,O,O,X,X,X,O
JLIZOTS,O,O,X,X,X,X
JLIZOST,O,O,X,X,X,O
JLIOTSZ,X,X,X,O,O,X
JLIOTZS,X,O,X,X,O,X
JLIOSTZ,X,X,X,O,X,X
JLIOSZT,X,X,X,O,X,X
JLIOZTS,X,O,X,X,X,X
JLIOZST,X,O,X,O,X,X
JLSTIZO,O,O,X,X,X,O
JLSTIOZ,O,X,X,X,O,X
JLSTZIO,O,O,X,X,X,O
JLSTZOI,O,O,X,X,X,O
JLSTOIZ,O,X,X,X,O,X
JLSTOZI,O,X,X,X,X,X
JLSITZO,O,O,X,X,X,O
JLSITOZ,O,X,X,X,O,X
JLSIZTO,O,X,X,X,X,O
JLSIZOT,O,O,X,O,X,O
JLSIOTZ,X,X,X,O,X,X
JLSIOZT,X,X,X,O,X,O
JLSZTIO,O,X,X,X,X,O
JLSZTOI,O,X,X,X,X,O
JLSZITO,O,X,X,X,X,O
JLSZIOT,O,O,X,O,X,O
JLSZOTI,O,X,X,O,X,O
JLSZOIT,O,O,X,O,X,O
JLSOTIZ,X,X,X,O,X,X
JLSOTZI,X,X,X,O,X,X
JLSOITZ,X,X,X,O,X,X
JLSOIZT,X,X,X,O,X,O
JLSOZTI,X,X,X,O,X,O
JLSOZIT,X,X,X,O,X,O
JLZTISO,O,O,X,X,X,X
JLZTIOS,O,O,X,X,O,X
JLZTSIO,O,O,X,X,X,X
JLZTSOI,O,O,X,X,X,X
JLZTOIS,O,O,X,X,O,X
JLZTOSI,O,O,X,X,X,X
JLZITSO,O,O,X,X,X,X
JLZITOS,O,O,X,X,O,X
JLZISTO,O,X,X,X,X,O
JLZISOT,O,O,X,X,X,O
JLZIOTS,O,O,X,X,X,X
JLZIOST,O,O,X,X,X,O
JLZSTIO,O,X,X,X,X,O
JLZSTOI,O,X,X,X,X,O
JLZSITO,O,X,X,X,X,O
JLZSIOT,O,O,X,X,X,O
JLZSOTI,O,X,X,X,X,O
JLZSOIT,O,O,X,X,X,O
JLZOTIS,O,O,X,X,X,X
JLZOTSI,O,X,X,X,X,X
JLZOITS,O,O,X,X,X,X
JLZOIST,O,O,X,X,X,O
JLZOSTI,O,X,X,X,X,O
JLZOSIT,O,O,X,X,X,O
JLOTISZ,X,X,X,O,O,X
JLOTIZS,X,O,X,X,O,X
JLOTSIZ,X,X,X,O,O,X
JLOTSZI,X,X,X,O,X,X
JLOTZIS,X,O,X,X,O,X
JLOTZSI,X,O,X,X,X,X
JLOITSZ,X,X,X,O,O,X
JLOITZS,X,O,X,X,O,X
JLOISTZ,X,X,X,O,X,X
JLOISZT,X,X,X,O,X,X
JLOIZTS,X,O,X,X,X,X
JLOIZST,X,O,X,O,X,X
JLOSTIZ,X,X,X,O,X,X
JLOSTZI,X,X,X,O,X,X
JLOSITZ,X,X,X,O,X,X
JLOSIZT,X,X,X,O,X,X
JLOSZTI,X,X,X,O,X,X
JLOSZIT,X,X,X,O,X,X
JLOZTIS,X,O,X,X,X,X
JLOZTSI,X,X,X,X,X,X
JLOZITS,X,O,X,X,X,X
JLOZIST,X,O,X,O,X,X
JLOZSTI,X,X,X,O,X,X
JLOZSIT,X,O,X,O,X,X
JSTILZO,O,O,X,X,X,O
JSTILOZ,O,X,X,X,O,X
JSTIZLO,O,O,X,X,X,O
JSTIZOL,O,O,X,X,X,O
JSTIOLZ,O,X,X,X,O,X
JSTIOZL,O,X,X,X,X,X
JSTLIZO,O,O,X,X,X,O
JSTLIOZ,O,X,X,X,O,X
JSTLZIO,O,O,X,X,X,O
JSTLZOI,O,O,X,X,X,O
JSTLOIZ,O,X,X,X,O,X
JSTLOZI,O,X,X,X,X,X
JSTZILO,O,O,X,X,X,O
JSTZIOL,O,O,X,X,X,O
JSTZLIO,O,O,X,X,X,O
JSTZLOI,O,O,X,X,X,O
JSTZOIL,O,O,X,X,X,O
JSTZOLI,O,O,X,X,X,O
JSTOILZ,O,X,X,X,O,X
JSTOIZL,O,X,X,X,X,X
JSTOLIZ,O,X,X,X,O,X
JSTOLZI,O,X,X,X,X,X
JSTOZIL,O,X,X,X,X,X
JSTOZLI,O,X,X,X,X,X
JSITLZO,O,O,X,X,X,O
JSITLOZ,O,X,X,X,O,X
JSITZLO,O,O,X,X,X,O
JSITZOL,O,O,X,X,X,O
JSITOLZ,O,X,X,X,O,X
JSITOZL,O,X,X,X,X,X
JSILTZO,O,O,X,X,X,O
JSILTOZ,O,X,X,X,O,X
JSILZTO,O,X,X,X,X,O
JSILZOT,O,O,X,O,X,O
JSILOTZ,X,X,X,O,X,X
JSILOZT,X,X,X,O,X,O
JSIZTLO,O,X,X,X,X,O
JSIZTOL,O,X,X,X,X,O
JSIZLTO,O,X,X,X,X,O
JSIZLOT,O,O,X,X,X,O
JSIZOTL,O,X,O,O,X,O
JSIZOLT,O,O,O,O,X,O
JSIOTLZ,X,X,X,O,X,X
JSIOTZL,X,X,O,O,X,X
JSIOLTZ,X,X,X,O,X,X
JSIOLZT,X,X,O,O,X,O
JSIOZTL,X,X,O,O,X,O
JSIOZLT,X,X,O,O,X,O
JSLTIZO,O,O,X,X,X,O
JSLTIOZ,O,X,X,X,O,X
JSLTZIO,O,O,X,X,X,O
JSLTZOI,O,O,X,X,X,O
JSLTOIZ,O,X,X,X,O,X
JSLTOZI,O,X,X,X,X,X
JSLITZO,O,O,X,X,X,O
JSLITOZ,O,X,X,X,O,X
JSLIZTO,O,X,X,X,X,O
JSLIZOT,O,O,X,O,X,O
JSLIOTZ,X,X,X,O,X,X
JSLIOZT,X,X,X,O,X,O
JSLZTIO,O,X,X,X,X,O
JSLZTOI,O,X,X,X,X,O
JSLZITO,O,X,X,X,X,O
JSLZIOT,O,O,X,O,X,O
JSLZOTI,O,X,X,O,X,O
JSLZOIT,O,O,X,O,X,O
JSLOTIZ,X,X,X,O,X,X
JSLOTZI,X,X,X,O,X,X
JSLOITZ,X,X,X,O,X,X
JSLOIZT,X,X,X,O,X,O
JSLOZTI,X,X,X,O,X,O
JSLOZIT,X,X,X,O,X,O
JSZTILO,O,X,X,X,X,O
JSZTIOL,O,X,X,X,X,O
JSZTLIO,O,X,X,X,X,O
JSZTLOI,O,X,X,X,X,O
JSZTOIL,O,X,X,X,X,O
JSZTOLI,O,X,X,X,X,O
JSZITLO,O,X,X,X,X,O
JSZITOL,O,X,X,X,X,O
JSZILTO,O,X,X,X,X,O
JSZILOT,O,O,X,X,X,O
JSZIOTL,O,X,O,O,X,O
JSZIOLT,O,O,O,O,X,O
JSZLTIO,O,X,X,X,X,O
JSZLTOI,O,X,X,X,X,O
JSZLITO,O,X,X,X,X,O
JSZLIOT,O,O,X,X,X,O
JSZLOTI,O,X,X,X,X,O
JSZLOIT,O,O,X,X,X,O
JSZOTIL,O,X,O,O,X,O
JSZOTLI,O,X,X,X,X,O
JSZOITL,O,X,O,O,X,O
JSZOILT,O,O,O,O,X,O
JSZOLTI,O,X,X,X,X,O
JSZOLIT,O,O,O,O,X,O
JSOTILZ,X,X,X,O,X,X
JSOTIZL,X,X,O,O,X,X
JSOTLIZ,X,X,X,O,X,X
JSOTLZI,X,X,X,O,X,X
JSOTZIL,X,X,O,O,X,X
JSOTZLI,X,X,X,X,X,X
JSOITLZ,X,X,X,O,X,X
JSOITZL,X,X,O,O,X,X
JSOILTZ,X,X,X,O,X,X
JSOILZT,X,X,O,O,X,O
JSOIZTL,X,X,O,O,X,O
JSOIZLT,X,X,O,O,X,O
JSOLTIZ,X,X,X,O,X,X
JSOLTZI,X,X,X,O,X,X
JSOLITZ,X,X,X,O,X,X
JSOLIZT,X,X,O,O,X,O
JSOLZTI,X,X,X,O,X,O
JSOLZIT,X,X,O,O,X,O
JSOZTIL,X,X,O,O,X,O
JSOZTLI,X,X,X,X,X,O
JSOZITL,X,X,O,O,X,O
JSOZILT,X,X,O,O,X,O
JSOZLTI,X,X,X,O,X,O
JSOZLIT,X,X,O,O,X,O
JZTILSO,O,O,X,X,X,X
JZTILOS,O,O,X,X,O,X
JZTISLO,O,O,X,X,X,O
JZTISOL,O,O,X,X,X,O
JZTIOLS,O,O,X,X,O,X
JZTIOSL,O,O,X,X,X,O
JZTLISO,O,O,X,X,X,X
JZTLIOS,O,O,X,X,O,X
JZTLSIO,O,O,X,X,X,X
JZTLSOI,O,O,X,X,X,X
JZTLOIS,O,O,X,X,O,X
JZTLOSI,O,O,X,X,X,X
JZTSILO,O,O,X,X,X,O
JZTSIOL,O,O,X,X,X,O
JZTSLIO,O,O,X,X,X,O
