sequence,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeXAJvhF8l?BanBunB5oB9rBzpB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KemAJvhF3i?B5oBqpBTlB9rBUsB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeNFJvhF3h?BunB5oBqpB8rBzqB
STJZILO,O,X,X
STJZIOL,O,X,X
STJZLIO,O,X,X
STJZLOI,O,X,X
STJZOIL,O,X,X
STJZOLI,O,X,X
STJOILZ,O,X,X
STJOIZL,O,X,X
STJOLIZ,O,X,X
STJOLZI,O,X,X
STJOZIL,O,X,X
STJOZLI,O,X,X
STZILJO,O,X,X
STZILOJ,O,O,X
STZIJLO,O,X,X
STZIJOL,O,X,X
STZIOLJ,O,X,X
STZIOJL,O,X,X
STZLIJO,O,X,X
STZLIOJ,O,O,X
STZLJIO,O,X,X
STZLJOI,O,X,X
STZLOIJ,O,O,X
STZLOJI,O,O,X
STZJILO,O,X,X
STZJIOL,O,X,X
STZJLIO,O,X,X
STZJLOI,O,X,X
STZJOIL,O,X,X
STZJOLI,O,X,X
STZOILJ,O,X,X
STZOIJL,O,X,X
STZOLIJ,O,X,X
STZOLJI,O,X,X
STZOJIL,O,X,X
STZOJLI,O,X,X
STOILJZ,O,O,X
STOILZJ,O,O,X
STOIJLZ,O,X,X
STOIJZL,O,X,X
STOIZLJ,O,X,X
STOIZJL,O,X,X
STOLIJZ,O,O,X
STOLIZJ,O,O,X
STOLJIZ,O,O,X
STOLJZI,O,O,X
STOLZIJ,O,O,X
STOLZJI,O,O,X
STOJILZ,O,X,X
STOJIZL,O,X,X
STOJLIZ,O,X,X
STOJLZI,O,X,X
STOJZIL,O,X,X
STOJZLI,O,X,X
STOZILJ,O,X,X
STOZIJL,O,X,X
STOZLIJ,O,X,X
STOZLJI,O,X,X
STOZJIL,O,X,X
STOZJLI,O,X,X
SITLJZO,O,X,X
SITLJOZ,O,O,X
SITLZJO,O,X,X
SITLZOJ,O,O,X
SITLOJZ,O,O,X
SITLOZJ,O,O,X
SITJLZO,O,X,X
SITJLOZ,O,O,X
SITJZLO,O,X,X
SITJZOL,O,X,X
SITJOLZ,O,X,X
SITJOZL,O,X,X
SITZLJO,O,X,X
SITZLOJ,O,O,X
SITZJLO,O,X,X
SITZJOL,O,X,X
SITZOLJ,O,X,X
SITZOJL,O,X,X
SITOLJZ,O,O,X
SITOLZJ,O,O,X
SITOJLZ,O,X,X
SITOJZL,O,X,X
SITOZLJ,O,X,X
SITOZJL,O,X,X
SILTJZO,O,X,O
SILTJOZ,O,O,X
SILTZJO,O,X,O
SILTZOJ,O,O,O
SILTOJZ,O,O,X
SILTOZJ,O,O,X
SILJTZO,O,X,O
SILJTOZ,O,O,X
SILJZTO,X,X,O
SILJZOT,X,X,O
SILJOTZ,O,O,X
SILJOZT,X,X,X
SILZTJO,X,X,O
SILZTOJ,X,O,O
SILZJTO,X,X,O
SILZJOT,X,X,O
SILZOTJ,X,O,O
SILZOJT,X,X,O
SILOTJZ,O,O,X
SILOTZJ,O,O,X
SILOJTZ,O,O,X
SILOJZT,X,X,X
SILOZTJ,X,O,X
SILOZJT,X,X,X
SIJTLZO,O,X,X
SIJTLOZ,O,O,X
SIJTZLO,O,X,X
SIJTZOL,O,X,X
SIJTOLZ,O,X,X
SIJTOZL,O,X,X
SIJLTZO,O,X,O
SIJLTOZ,O,O,X
SIJLZTO,X,X,O
SIJLZOT,X,X,O
SIJLOTZ,O,O,X
SIJLOZT,X,X,X
SIJZTLO,O,X,O
SIJZTOL,O,X,X
SIJZLTO,O,X,O
SIJZLOT,X,X,O
SIJZOTL,O,X,X
SIJZOLT,X,X,O
SIJOTLZ,O,X,X
SIJOTZL,O,X,X
SIJOLTZ,O,X,X
SIJOLZT,O,X,X
SIJOZTL,O,X,X
SIJOZLT,O,X,X
SIZTLJO,O,X,O
SIZTLOJ,O,O,O
SIZTJLO,O,X,O
SIZTJOL,O,X,X
SIZTOLJ,O,X,X
SIZTOJL,O,X,X
SIZLTJO,O,X,O
SIZLTOJ,O,O,O
SIZLJTO,O,X,O
SIZLJOT,X,X,O
SIZLOTJ,X,O,O
SIZLOJT,X,X,O
SIZJTLO,O,X,O
SIZJTOL,O,X,X
SIZJLTO,O,X,O
SIZJLOT,X,X,O
SIZJOTL,O,X,X
SIZJOLT,X,X,O
SIZOTLJ,O,X,X
SIZOTJL,O,X,X
SIZOLTJ,X,X,O
SIZOLJT,X,X,O
SIZOJTL,O,X,X
SIZOJLT,X,X,O
SIOTLJZ,O,O,X
SIOTLZJ,O,O,X
SIOTJLZ,O,X,X
SIOTJZL,O,X,X
SIOTZLJ,O,X,X
SIOTZJL,O,X,X
SIOLTJZ,O,O,X
SIOLTZJ,O,O,X
SIOLJTZ,O,O,X
SIOLJZT,O,X,X
SIOLZTJ,O,O,X
SIOLZJT,O,X,X
SIOJTLZ,O,X,X
SIOJTZL,O,X,X
SIOJLTZ,O,X,X
SIOJLZT,O,X,X
SIOJZTL,O,X,X
SIOJZLT,O,X,X
SIOZTLJ,O,X,X
SIOZTJL,O,X,X
SIOZLTJ,O,X,X
SIOZLJT,O,X,X
SIOZJTL,O,X,X
SIOZJLT,O,X,X
SLTIJZO,O,X,O
SLTIJOZ,O,O,X
SLTIZJO,O,X,O
SLTIZOJ,O,O,O
SLTIOJZ,O,O,X
SLTIOZJ,O,O,X
SLTJIZO,O,X,O
SLTJIOZ,O,O,X
SLTJZIO,O,X,O
SLTJZOI,O,X,O
SLTJOIZ,O,O,X
SLTJOZI,O,O,X
SLTZIJO,O,X,O
SLTZIOJ,O,O,O
SLTZJIO,O,X,O
SLTZJOI,O,X,O
SLTZOIJ,O,O,O
SLTZOJI,O,O,O
SLTOIJZ,O,O,X
SLTOIZJ,O,O,X
SLTOJIZ,O,O,X
SLTOJZI,O,O,X
SLTOZIJ,O,O,X
SLTOZJI,O,O,X
SLITJZO,O,X,O
SLITJOZ,O,O,X
SLITZJO,O,X,O
SLITZOJ,O,O,O
SLITOJZ,O,O,X
SLITOZJ,O,O,X
SLIJTZO,O,X,O
SLIJTOZ,O,O,X
SLIJZTO,X,X,O
SLIJZOT,X,X,O
SLIJOTZ,O,O,X
SLIJOZT,X,X,X
SLIZTJO,X,X,O
SLIZTOJ,X,O,O
SLIZJTO,X,X,O
SLIZJOT,X,X,O
SLIZOTJ,X,O,O
SLIZOJT,X,X,O
SLIOTJZ,O,O,X
SLIOTZJ,O,O,X
SLIOJTZ,O,O,X
SLIOJZT,X,X,X
SLIOZTJ,X,O,X
SLIOZJT,X,X,X
SLJTIZO,O,X,O
SLJTIOZ,O,O,X
SLJTZIO,O,X,O
SLJTZOI,O,X,O
SLJTOIZ,O,O,X
SLJTOZI,O,O,X
SLJITZO,O,X,O
SLJITOZ,O,O,X
SLJIZTO,X,X,O
SLJIZOT,X,X,O
SLJIOTZ,O,O,X
SLJIOZT,X,X,X
SLJZTIO,X,X,O
SLJZTOI,X,X,O
SLJZITO,X,X,O
SLJZIOT,X,X,O
SLJZOTI,X,X,O
SLJZOIT,X,X,O
SLJOTIZ,O,O,X
SLJOTZI,O,O,X
SLJOITZ,O,O,X
SLJOIZT,X,X,X
SLJOZTI,X,X,X
SLJOZIT,X,X,X
SLZTIJO,X,X,O
SLZTIOJ,X,O,O
SLZTJIO,X,X,O
SLZTJOI,X,X,O
SLZTOIJ,X,O,O
SLZTOJI,X,O,O
SLZITJO,X,X,O
SLZITOJ,X,O,O
SLZIJTO,X,X,O
SLZIJOT,X,X,O
SLZIOTJ,X,O,O
SLZIOJT,X,X,O
SLZJTIO,X,X,O
SLZJTOI,X,X,O
SLZJITO,X,X,O
SLZJIOT,X,X,O
SLZJOTI,X,X,O
SLZJOIT,X,X,O
SLZOTIJ,X,O,O
SLZOTJI,X,O,O
SLZOITJ,X,O,O
SLZOIJT,X,X,O
SLZOJTI,X,X,O
SLZOJIT,X,X,O
SLOTIJZ,O,O,X
SLOTIZJ,O,O,X
SLOTJIZ,O,O,X
SLOTJZI,O,O,X
SLOTZIJ,O,O,X
SLOTZJI,O,O,X
SLOITJZ,O,O,X
SLOITZJ,O,O,X
SLOIJTZ,O,O,X
SLOIJZT,X,X,X
SLOIZTJ,X,O,X
SLOIZJT,X,X,X
SLOJTIZ,O,O,X
SLOJTZI,O,O,X
SLOJITZ,O,O,X
SLOJIZT,X,X,X
SLOJZTI,X,X,X
SLOJZIT,X,X,X
SLOZTIJ,X,O,X
SLOZTJI,X,O,X
SLOZITJ,X,O,X
SLOZIJT,X,X,X
SLOZJTI,X,X,X
SLOZJIT,X,X,X
SJTILZO,O,X,X
SJTILOZ,O,O,X
SJTIZLO,O,X,X
SJTIZOL,O,X,X
SJTIOLZ,O,X,X
SJTIOZL,O,X,X
SJTLIZO,O,X,X
SJTLIOZ,O,O,X
SJTLZIO,O,X,X
SJTLZOI,O,X,X
SJTLOIZ,O,O,X
SJTLOZI,O,O,X
SJTZILO,O,X,X
SJTZIOL,O,X,X
SJTZLIO,O,X,X
SJTZLOI,O,X,X
SJTZOIL,O,X,X
SJTZOLI,O,X,X
SJTOILZ,O,X,X
SJTOIZL,O,X,X
SJTOLIZ,O,X,X
SJTOLZI,O,X,X
SJTOZIL,O,X,X
SJTOZLI,O,X,X
SJITLZO,O,X,X
SJITLOZ,O,O,X
SJITZLO,O,X,X
SJITZOL,O,X,X
SJITOLZ,O,X,X
SJITOZL,O,X,X
SJILTZO,O,X,O
SJILTOZ,O,O,X
SJILZTO,X,X,O
SJILZOT,X,X,O
SJILOTZ,O,O,X
SJILOZT,X,X,X
SJIZTLO,O,X,O
SJIZTOL,O,X,X
SJIZLTO,O,X,O
SJIZLOT,X,X,O
SJIZOTL,O,X,X
SJIZOLT,X,X,O
SJIOTLZ,O,X,X
SJIOTZL,O,X,X
SJIOLTZ,O,X,X
SJIOLZT,O,X,X
SJIOZTL,O,X,X
SJIOZLT,O,X,X
SJLTIZO,O,X,O
SJLTIOZ,O,O,X
SJLTZIO,O,X,O
SJLTZOI,O,X,O
SJLTOIZ,O,O,X
SJLTOZI,O,O,X
SJLITZO,O,X,O
SJLITOZ,O,O,X
SJLIZTO,X,X,O
SJLIZOT,X,X,O
SJLIOTZ,O,O,X
SJLIOZT,X,X,X
SJLZTIO,X,X,O
SJLZTOI,X,X,O
SJLZITO,X,X,O
SJLZIOT,X,X,O
SJLZOTI,X,X,O
SJLZOIT,X,X,O
SJLOTIZ,O,O,X
SJLOTZI,O,O,X
SJLOITZ,O,O,X
SJLOIZT,X,X,X
SJLOZTI,X,X,X
SJLOZIT,X,X,X
SJZTILO,O,X,O
SJZTIOL,O,X,X
SJZTLIO,O,X,O
SJZTLOI,O,X,O
SJZTOIL,O,X,X
SJZTOLI,O,X,X
SJZITLO,O,X,O
SJZITOL,O,X,X
SJZILTO,O,X,O
SJZILOT,X,X,O
SJZIOTL,O,X,X
SJZIOLT,X,X,O
SJZLTIO,O,X,O
SJZLTOI,O,X,O
SJZLITO,O,X,O
SJZLIOT,X,X,O
SJZLOTI,X,X,O
SJZLOIT,X,X,O
SJZOTIL,O,X,X
SJZOTLI,O,X,X
SJZOITL,O,X,X
SJZOILT,X,X,O
SJZOLTI,X,X,O
SJZOLIT,X,X,O
SJOTILZ,O,X,X
SJOTIZL,O,X,X
SJOTLIZ,O,X,X
SJOTLZI,O,X,X
SJOTZIL,O,X,X
SJOTZLI,O,X,X
SJOITLZ,O,X,X
SJOITZL,O,X,X
SJOILTZ,O,X,X
SJOILZT,O,X,X
SJOIZTL,O,X,X
SJOIZLT,O,X,X
SJOLTIZ,O,X,X
SJOLTZI,O,X,X
SJOLITZ,O,X,X
SJOLIZT,O,X,X
SJOLZTI,O,X,X
SJOLZIT,O,X,X
SJOZTIL,O,X,X
SJOZTLI,O,X,X
SJOZITL,O,X,X
SJOZILT,O,X,X
SJOZLTI,O,X,X
SJOZLIT,O,X,X
SZTILJO,O,X,O
SZTILOJ,O,O,O
SZTIJLO,O,X,O
SZTIJOL,O,X,X
SZTIOLJ,O,X,X
SZTIOJL,O,X,X
SZTLIJO,O,X,O
SZTLIOJ,O,O,O
SZTLJIO,O,X,O
SZTLJOI,O,X,O
SZTLOIJ,O,O,O
SZTLOJI,O,O,O
SZTJILO,O,X,O
SZTJIOL,O,X,X
SZTJLIO,O,X,O
SZTJLOI,O,X,O
SZTJOIL,O,X,X
SZTJOLI,O,X,X
SZTOILJ,O,X,X
SZTOIJL,O,X,X
SZTOLIJ,O,X,X
SZTOLJI,O,X,X
SZTOJIL,O,X,X
SZTOJLI,O,X,X
SZITLJO,O,X,O
SZITLOJ,O,O,O
SZITJLO,O,X,O
SZITJOL,O,X,X
SZITOLJ,O,X,X
SZITOJL,O,X,X
SZILTJO,O,X,O
SZILTOJ,O,O,O
SZILJTO,O,X,O
SZILJOT,X,X,O
SZILOTJ,X,O,O
SZILOJT,X,X,O
SZIJTLO,O,X,O
SZIJTOL,O,X,X
SZIJLTO,O,X,O
SZIJLOT,X,X,O
SZIJOTL,O,X,X
SZIJOLT,X,X,O
SZIOTLJ,O,X,X
SZIOTJL,O,X,X
SZIOLTJ,X,X,O
SZIOLJT,X,X,O
SZIOJTL,O,X,X
SZIOJLT,X,X,O
SZLTIJO,O,X,O
SZLTIOJ,O,O,O
SZLTJIO,O,X,O
SZLTJOI,O,X,O
SZLTOIJ,O,O,O
SZLTOJI,O,O,O
SZLITJO,O,X,O
SZLITOJ,O,O,O
SZLIJTO,O,X,O
SZLIJOT,X,X,O
SZLIOTJ,X,O,O
SZLIOJT,X,X,O
SZLJTIO,O,X,O
SZLJTOI,O,X,O
SZLJITO,O,X,O
SZLJIOT,X,X,O
SZLJOTI,X,X,O
SZLJOIT,X,X,O
SZLOTIJ,X,O,O
SZLOTJI,X,O,O
SZLOITJ,X,O,O
SZLOIJT,X,X,O
SZLOJTI,X,X,O
SZLOJIT,X,X,O
SZJTILO,O,X,O
SZJTIOL,O,X,X
SZJTLIO,O,X,O
SZJTLOI,O,X,O
SZJTOIL,O,X,X
SZJTOLI,O,X,X
SZJITLO,O,X,O
SZJITOL,O,X,X
SZJILTO,O,X,O
SZJILOT,X,X,O
SZJIOTL,O,X,X
SZJIOLT,X,X,O
SZJLTIO,O,X,O
SZJLTOI,O,X,O
SZJLITO,O,X,O
SZJLIOT,X,X,O
SZJLOTI,X,X,O
SZJLOIT,X,X,O
SZJOTIL,O,X,X
SZJOTLI,O,X,X
SZJOITL,O,X,X
SZJOILT,X,X,O
SZJOLTI,X,X,O
SZJOLIT,X,X,O
SZOTILJ,O,X,X
SZOTIJL,O,X,X
SZOTLIJ,O,X,X
SZOTLJI,O,X,X
SZOTJIL,O,X,X
SZOTJLI,O,X,X
SZOITLJ,O,X,X
SZOITJL,O,X,X
SZOILTJ,X,X,O
SZOILJT,X,X,O
SZOIJTL,O,X,X
SZOIJLT,X,X,O
SZOLTIJ,X,X,O
SZOLTJI,X,X,O
SZOLITJ,X,X,O
SZOLIJT,X,X,O
SZOLJTI,X,X,O
SZOLJIT,X,X,O
SZOJTIL,O,X,X
SZOJTLI,O,X,X
SZOJITL,O,X,X
SZOJILT,X,X,O
SZOJLTI,X,X,O
SZOJLIT,X,X,O
SOTILJZ,O,O,X
SOTILZJ,O,O,X
SOTIJLZ,O,X,X
SOTIJZL,O,X,X
SOTIZLJ,O,X,X
SOTIZJL,O,X,X
SOTLIJZ,O,O,X
SOTLIZJ,O,O,X
SOTLJIZ,O,O,X
SOTLJZI,O,O,X
SOTLZIJ,O,O,X
SOTLZJI,O,O,X
SOTJILZ,O,X,X
SOTJIZL,O,X,X
SOTJLIZ,O,X,X
SOTJLZI,O,X,X
SOTJZIL,O,X,X
SOTJZLI,O,X,X
SOTZILJ,O,X,X
SOTZIJL,O,X,X
SOTZLIJ,O,X,X
SOTZLJI,O,X,X
SOTZJIL,O,X,X
SOTZJLI,O,X,X
SOITLJZ,O,O,X
SOITLZJ,O,O,X
SOITJLZ,O,X,X
SOITJZL,O,X,X
SOITZLJ,O,X,X
SOITZJL,O,X,X
SOILTJZ,O,O,X
SOILTZJ,O,O,X
SOILJTZ,O,O,X
SOILJZT,O,X,X
SOILZTJ,O,O,X
SOILZJT,O,X,X
SOIJTLZ,O,X,X
SOIJTZL,O,X,X
SOIJLTZ,O,X,X
SOIJLZT,O,X,X
SOIJZTL,O,X,X
SOIJZLT,O,X,X
SOIZTLJ,O,X,X
SOIZTJL,O,X,X
SOIZLTJ,O,X,X
SOIZLJT,O,X,X
SOIZJTL,O,X,X
SOIZJLT,O,X,X
SOLTIJZ,O,O,X
SOLTIZJ,O,O,X
SOLTJIZ,O,O,X
SOLTJZI,O,O,X
SOLTZIJ,O,O,X
SOLTZJI,O,O,X
SOLITJZ,O,O,X
SOLITZJ,O,O,X
SOLIJTZ,O,O,X
SOLIJZT,O,X,X
SOLIZTJ,O,O,X
SOLIZJT,O,X,X
SOLJTIZ,O,O,X
SOLJTZI,O,O,X
SOLJITZ,O,O,X
SOLJIZT,O,X,X
SOLJZTI,O,X,X
SOLJZIT,O,X,X
SOLZTIJ,O,O,X
SOLZTJI,O,O,X
SOLZITJ,O,O,X
SOLZIJT,O,X,X
SOLZJTI,O,X,X
SOLZJIT,O,X,X
SOJTILZ,O,X,X
SOJTIZL,O,X,X
SOJTLIZ,O,X,X
SOJTLZI,O,X,X
SOJTZIL,O,X,X
SOJTZLI,O,X,X
SOJITLZ,O,X,X
SOJITZL,O,X,X
SOJILTZ,O,X,X
SOJILZT,O,X,X
SOJIZTL,O,X,X
SOJIZLT,O,X,X
SOJLTIZ,O,X,X
SOJLTZI,O,X,X
SOJLITZ,O,X,X
SOJLIZT,O,X,X
SOJLZTI,O,X,X
SOJLZIT,O,X,X
SOJZTIL,O,X,X
SOJZTLI,O,X,X
SOJZITL,O,X,X
SOJZILT,O,X,X
SOJZLTI,O,X,X
SOJZLIT,O,X,X
SOZTILJ,O,X,X
SOZTIJL,O,X,X
SOZTLIJ,O,X,X
SOZTLJI,O,X,X
SOZTJIL,O,X,X
SOZTJLI,O,X,X
SOZITLJ,O,X,X
SOZITJL,O,X,X
SOZILTJ,O,X,X
SOZILJT,O,X,X
SOZIJTL,O,X,X
SOZIJLT,O,X,X
SOZLTIJ,O,X,X
SOZLTJI,O,X,X
SOZLITJ,O,X,X
SOZLIJT,O,X,X
SOZLJTI,O,X,X
SOZLJIT,O,X,X
SOZJTIL,O,X,X
SOZJTLI,O,X,X
SOZJITL,O,X,X
SOZJILT,O,X,X
SOZJLTI,O,X,X
SOZJLIT,O,X,X
ZTILJSO,O,X,O
ZTILJOS,O,X,O
ZTILSJO,O,X,O
ZTILSOJ,O,O,O
ZTILOJS,O,O,O
ZTILOSJ,O,O,O
ZTIJLSO,O,X,O
ZTIJLOS,O,X,O
ZTIJSLO,O,X,O
ZTIJSOL,O,X,X
ZTIJOLS,O,X,X
ZTIJOSL,O,X,X
ZTISLJO,O,X,O
ZTISLOJ,O,O,O
ZTISJLO,O,X,O
ZTISJOL,O,X,X
ZTISOLJ,O,X,X
ZTISOJL,O,X,X
ZTIOLJS,O,X,X
ZTIOLSJ,O,X,X
ZTIOJLS,O,X,X
ZTIOJSL,O,X,X
ZTIOSLJ,O,X,X
ZTIOSJL,O,X,X
ZTLIJSO,O,X,O
ZTLIJOS,O,X,O
ZTLISJO,O,X,O
ZTLISOJ,O,O,O
ZTLIOJS,O,O,O
ZTLIOSJ,O,O,O
ZTLJISO,O,X,O
ZTLJIOS,O,X,O
ZTLJSIO,O,X,O
ZTLJSOI,O,X,O
ZTLJOIS,O,X,O
ZTLJOSI,O,X,O
ZTLSIJO,O,X,O
ZTLSIOJ,O,O,O
ZTLSJIO,O,X,O
ZTLSJOI,O,X,O
ZTLSOIJ,O,O,O
ZTLSOJI,O,O,O
ZTLOIJS,O,O,O
ZTLOISJ,O,O,O
ZTLOJIS,O,O,O
ZTLOJSI,O,O,O
ZTLOSIJ,O,O,O
ZTLOSJI,O,O,O
ZTJILSO,O,X,O
ZTJILOS,O,X,O
ZTJISLO,O,X,O
ZTJISOL,O,X,X
ZTJIOLS,O,X,X
ZTJIOSL,O,X,X
ZTJLISO,O,X,O
ZTJLIOS,O,X,O
ZTJLSIO,O,X,O
ZTJLSOI,O,X,O
ZTJLOIS,O,X,O
ZTJLOSI,O,X,O
ZTJSILO,O,X,O
ZTJSIOL,O,X,X
ZTJSLIO,O,X,O
ZTJSLOI,O,X,O
ZTJSOIL,O,X,X
ZTJSOLI,O,X,X
ZTJOILS,O,X,X
ZTJOISL,O,X,X
ZTJOLIS,O,X,X
ZTJOLSI,O,X,X
ZTJOSIL,O,X,X
ZTJOSLI,O,X,X
ZTSILJO,O,X,O
ZTSILOJ,O,O,O
ZTSIJLO,O,X,O
ZTSIJOL,O,X,X
ZTSIOLJ,O,X,X
ZTSIOJL,O,X,X
ZTSLIJO,O,X,O
ZTSLIOJ,O,O,O
ZTSLJIO,O,X,O
ZTSLJOI,O,X,O
ZTSLOIJ,O,O,O
ZTSLOJI,O,O,O
ZTSJILO,O,X,O
ZTSJIOL,O,X,X
ZTSJLIO,O,X,O
ZTSJLOI,O,X,O
ZTSJOIL,O,X,X
ZTSJOLI,O,X,X
ZTSOILJ,O,X,X
ZTSOIJL,O,X,X
ZTSOLIJ,O,X,X
ZTSOLJI,O,X,X
ZTSOJIL,O,X,X
ZTSOJLI,O,X,X
ZTOILJS,O,X,X
ZTOILSJ,O,X,X
ZTOIJLS,O,X,X
ZTOIJSL,O,X,X
ZTOISLJ,O,X,X
ZTOISJL,O,X,X
ZTOLIJS,O,X,X
ZTOLISJ,O,X,X
ZTOLJIS,O,X,X
ZTOLJSI,O,X,X
ZTOLSIJ,O,X,X
ZTOLSJI,O,X,X
ZTOJILS,O,X,X
ZTOJISL,O,X,X
ZTOJLIS,O,X,X
ZTOJLSI,O,X,X
ZTOJSIL,O,X,X
ZTOJSLI,O,X,X
ZTOSILJ,O,X,X
ZTOSIJL,O,X,X
ZTOSLIJ,O,X,X
ZTOSLJI,O,X,X
ZTOSJIL,O,X,X
ZTOSJLI,O,X,X
ZITLJSO,O,X,O
ZITLJOS,O,X,O
ZITLSJO,O,X,O
ZITLSOJ,O,O,O
ZITLOJS,O,O,O
ZITLOSJ,O,O,O
ZITJLSO,O,X,O
ZITJLOS,O,X,O
ZITJSLO,O,X,O
ZITJSOL,O,X,X
ZITJOLS,O,X,X
ZITJOSL,O,X,X
ZITSLJO,O,X,O
ZITSLOJ,O,O,O
ZITSJLO,O,X,O
ZITSJOL,O,X,X
ZITSOLJ,O,X,X
ZITSOJL,O,X,X
ZITOLJS,O,X,X
ZITOLSJ,O,X,X
ZITOJLS,O,X,X
ZITOJSL,O,X,X
ZITOSLJ,O,X,X
ZITOSJL,O,X,X
ZILTJSO,O,X,O
ZILTJOS,O,X,O
ZILTSJO,O,X,O
ZILTSOJ,O,O,O
ZILTOJS,O,O,O
ZILTOSJ,O,O,O
ZILJTSO,O,X,O
ZILJTOS,O,X,O
ZILJSTO,O,X,O
ZILJSOT,X,X,O
ZILJOTS,O,X,O
ZILJOST,X,X,O
ZILSTJO,O,X,O
ZILSTOJ,O,O,O
ZILSJTO,O,X,O
ZILSJOT,X,X,O
ZILSOTJ,X,O,O
ZILSOJT,X,X,O
ZILOTJS,O,O,O
ZILOTSJ,O,O,O
ZILOJTS,O,O,O
ZILOJST,X,X,O
ZILOSTJ,X,O,O
ZILOSJT,X,X,O
ZIJTLSO,O,X,O
ZIJTLOS,O,X,O
ZIJTSLO,O,X,O
ZIJTSOL,O,X,X
ZIJTOLS,O,X,X
ZIJTOSL,O,X,X
ZIJLTSO,O,X,O
ZIJLTOS,O,X,O
ZIJLSTO,O,X,O
ZIJLSOT,X,X,O
ZIJLOTS,O,X,O
ZIJLOST,X,X,O
ZIJSTLO,O,X,O
ZIJSTOL,O,X,X
ZIJSLTO,O,X,O
ZIJSLOT,X,X,O
ZIJSOTL,O,X,X
ZIJSOLT,X,X,O
ZIJOTLS,O,X,X
ZIJOTSL,O,X,X
ZIJOLTS,O,X,O
ZIJOLST,O,X,O
ZIJOSTL,O,X,X
ZIJOSLT,O,X,O
ZISTLJO,O,X,O
ZISTLOJ,O,O,O
ZISTJLO,O,X,O
ZISTJOL,O,X,X
ZISTOLJ,O,X,X
ZISTOJL,O,X,X
ZISLTJO,O,X,O
ZISLTOJ,O,O,O
ZISLJTO,O,X,O
ZISLJOT,X,X,O
ZISLOTJ,X,O,O
ZISLOJT,X,X,O
ZISJTLO,O,X,O
ZISJTOL,O,X,X
ZISJLTO,O,X,O
ZISJLOT,X,X,O
ZISJOTL,O,X,X
ZISJOLT,X,X,O
ZISOTLJ,O,X,X
ZISOTJL,O,X,X
ZISOLTJ,X,X,O
ZISOLJT,X,X,O
ZISOJTL,O,X,X
ZISOJLT,X,X,O
ZIOTLJS,O,X,X
ZIOTLSJ,O,X,X
ZIOTJLS,O,X,X
ZIOTJSL,O,X,X
ZIOTSLJ,O,X,X
ZIOTSJL,O,X,X
ZIOLTJS,O,X,O
ZIOLTSJ,O,X,O
ZIOLJTS,O,X,O
ZIOLJST,O,X,O
ZIOLSTJ,O,X,O
ZIOLSJT,O,X,O
ZIOJTLS,O,X,X
ZIOJTSL,O,X,X
ZIOJLTS,O,X,O
ZIOJLST,O,X,O
ZIOJSTL,O,X,X
ZIOJSLT,O,X,O
ZIOSTLJ,O,X,X
ZIOSTJL,O,X,X
ZIOSLTJ,O,X,O
ZIOSLJT,O,X,O
ZIOSJTL,O,X,X
ZIOSJLT,O,X,O
ZLTIJSO,O,X,O
ZLTIJOS,O,X,O
ZLTISJO,O,X,O
ZLTISOJ,O,O,O
ZLTIOJS,O,O,O
ZLTIOSJ,O,O,O
ZLTJISO,O,X,O
ZLTJIOS,O,X,O
ZLTJSIO,O,X,O
ZLTJSOI,O,X,O
ZLTJOIS,O,X,O
ZLTJOSI,O,X,O
ZLTSIJO,O,X,O
ZLTSIOJ,O,O,O
ZLTSJIO,O,X,O
ZLTSJOI,O,X,O
ZLTSOIJ,O,O,O
ZLTSOJI,O,O,O
ZLTOIJS,O,O,O
ZLTOISJ,O,O,O
ZLTOJIS,O,O,O
ZLTOJSI,O,O,O
ZLTOSIJ,O,O,O
ZLTOSJI,O,O,O
ZLITJSO,O,X,O
ZLITJOS,O,X,O
ZLITSJO,O,X,O
ZLITSOJ,O,O,O
ZLITOJS,O,O,O
ZLITOSJ,O,O,O
ZLIJTSO,O,X,O
ZLIJTOS,O,X,O
ZLIJSTO,O,X,O
ZLIJSOT,X,X,O
ZLIJOTS,O,X,O
ZLIJOST,X,X,O
ZLISTJO,O,X,O
ZLISTOJ,O,O,O
ZLISJTO,O,X,O
ZLISJOT,X,X,O
ZLISOTJ,X,O,O
ZLISOJT,X,X,O
ZLIOTJS,O,O,O
ZLIOTSJ,O,O,O
ZLIOJTS,O,O,O
ZLIOJST,X,X,O
ZLIOSTJ,X,O,O
ZLIOSJT,X,X,O
ZLJTISO,O,X,O
ZLJTIOS,O,X,O
ZLJTSIO,O,X,O
ZLJTSOI,O,X,O
ZLJTOIS,O,X,O
ZLJTOSI,O,X,O
ZLJITSO,O,X,O
ZLJITOS,O,X,O
ZLJISTO,O,X,O
ZLJISOT,X,X,O
ZLJIOTS,O,X,O
ZLJIOST,X,X,O
ZLJSTIO,O,X,O
ZLJSTOI,O,X,O
ZLJSITO,O,X,O
ZLJSIOT,X,X,O
ZLJSOTI,X,X,O
ZLJSOIT,X,X,O
ZLJOTIS,O,X,O
ZLJOTSI,O,X,O
ZLJOITS,O,X,O
ZLJOIST,X,X,O
ZLJOSTI,X,X,O
ZLJOSIT,X,X,O
