sequence,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBOqBX?mBSwBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeWGJvhFxhBTjBKqBX?nBUrBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFumBcnBTjBy?qBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFSnBTjBOqB8?qB3rBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBilB+?rB3qBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBSoBOrB8?rBTqBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeFBJvhF0iB6oBTlB3?mBmsBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecFJvhFemBCiBTjBX?nBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeGCJvhFTjBxlB8rB3?lByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBWtBTqBi?rBctBlrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je/HJvhFFjBxlBctBT?qBirBGrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecHJvhFTjBxlB3lBu?rByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je2HJvhFxlBctBFmBC?oBTqB3rB
TSIJZOL,X,O,X,O,O,X,X,O,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIJOZL,X,O,X,O,O,X,X,O,X,X,X,X,X
TSIZLJO,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIZLOJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIZJLO,X,X,O,O,X,X,X,O,X,X,X,X,O
TSIZJOL,X,O,O,O,X,X,X,O,X,X,X,X,O
TSIZOLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIZOJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIOLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TSIOLZJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIOJZL,X,O,X,O,O,X,X,O,X,X,X,X,X
TSIOZLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TSIOZJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TSLIJZO,X,O,X,O,O,X,X,X,X,X,X,X,X
TSLIJOZ,X,O,X,O,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,O,X,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TSLIOJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TSLJIZO,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLJZOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSLJOZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLZIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSLZIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TSLZJIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TSLZJOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSLZOIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TSLZOJI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSLOIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TSLOJIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLOJZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TSLOZJI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJILZO,X,O,X,O,X,O,X,X,X,X,X,X,X
TSJILOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJIZLO,X,X,X,O,O,O,X,X,X,X,X,X,X
TSJIZOL,X,O,X,O,O,O,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJIOZL,X,O,X,O,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,O,O,O,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TSJLZOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSJLOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSJZILO,X,X,X,O,O,O,X,X,X,X,X,X,X
TSJZIOL,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJZLIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TSJZLOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSJZOIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJZOLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSJOILZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJOIZL,X,O,X,O,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSJOZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TSJOZLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSZILJO,X,O,O,O,X,O,X,X,X,X,X,X,X
TSZILOJ,X,O,O,O,X,O,X,X,X,X,X,X,X
TSZIJLO,X,X,O,O,X,O,X,X,X,X,X,X,O
TSZIJOL,X,O,O,O,X,O,X,X,O,X,X,X,O
TSZIOLJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TSZIOJL,O,O,O,O,O,O,X,X,O,X,O,X,X
TSZLIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TSZLIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TSZLJIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TSZLJOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSZLOIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TSZLOJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSZJILO,X,X,X,O,O,O,X,X,X,X,X,X,O
TSZJIOL,O,O,X,O,O,O,X,X,O,X,X,X,O
TSZJLIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSZJOIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TSZJOLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSZOILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TSZOIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TSZOLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TSZOLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSZOJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TSZOJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TSOILJZ,X,O,O,O,O,O,X,X,X,X,X,X,X
TSOILZJ,X,O,O,O,X,O,X,O,X,X,X,X,X
TSOIJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TSOIJZL,X,O,X,O,O,O,X,O,X,X,X,X,X
TSOIZLJ,X,O,O,O,X,O,X,O,X,X,O,X,X
TSOIZJL,X,O,O,O,X,O,X,O,X,X,O,X,O
TSOLIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TSOLJIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TSOLJZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TSOLZJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSOJILZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TSOJIZL,X,O,X,O,O,O,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,O,O,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,O,O,X,X,X,X,X,X,X
TSOJZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TSOJZLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TSOZILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TSOZIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TSOZLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TSOZLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TSOZJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TSOZJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZILJSO,O,X,O,X,X,O,X,O,O,X,X,X,X
TZILJOS,O,X,O,O,X,O,X,O,O,X,X,O,X
TZILSJO,O,X,O,X,X,O,X,O,O,X,X,X,X
TZILSOJ,O,X,O,O,X,O,X,O,O,X,X,O,X
TZILOJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TZILOSJ,O,X,O,O,X,O,X,O,O,X,X,O,X
TZIJLSO,O,X,O,X,X,O,X,O,O,X,X,X,X
TZIJLOS,O,X,O,O,O,O,X,O,O,X,X,X,X
TZIJSLO,X,X,O,X,O,O,X,O,X,X,X,X,X
TZIJSOL,O,X,O,X,O,O,X,O,O,X,X,X,X
TZIJOLS,O,X,O,O,O,O,X,O,O,X,X,X,X
TZIJOSL,O,X,O,X,O,O,X,O,O,X,X,X,X
TZISLJO,X,X,O,X,X,O,X,O,X,X,X,X,X
TZISLOJ,X,X,O,O,X,O,X,O,X,X,X,X,X
TZISJLO,X,X,O,X,X,O,X,O,X,X,X,X,X
TZISJOL,X,X,O,X,X,O,X,O,O,X,X,X,X
TZISOLJ,O,X,O,O,X,O,X,O,X,X,O,X,X
TZISOJL,O,X,O,X,O,O,X,O,O,X,O,X,X
TZIOLJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TZIOLSJ,O,X,O,O,X,O,X,O,O,X,O,O,X
TZIOJLS,O,X,O,O,O,O,X,O,O,X,X,X,X
TZIOJSL,O,X,O,X,O,O,X,O,O,X,O,X,X
TZIOSLJ,O,X,O,O,X,O,X,O,X,X,O,X,X
TZIOSJL,O,X,O,X,O,O,X,O,O,X,O,X,X
TZLIJSO,O,O,O,X,X,O,X,X,O,X,X,X,X
TZLIJOS,O,O,O,O,X,O,X,X,O,X,X,O,X
TZLISJO,O,O,O,X,X,O,X,X,O,X,X,X,X
TZLISOJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TZLIOJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TZLIOSJ,O,O,O,O,X,O,X,X,O,X,X,O,X
TZLJISO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZLJIOS,O,O,X,O,O,O,X,X,O,X,X,O,X
TZLJSIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLJSOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLJOIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TZLJOSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLSIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZLSIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TZLSJIO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZLSJOI,O,O,X,O,X,O,X,X,O,X,X,X,X
TZLSOIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZLSOJI,O,O,X,O,X,O,X,X,O,X,O,X,X
TZLOIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TZLOISJ,O,O,O,O,X,O,X,X,O,X,O,O,X
TZLOJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TZLOJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZLOSIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZLOSJI,O,O,X,O,X,O,X,X,O,X,O,X,X
TZJILSO,O,X,O,O,X,O,X,X,O,X,X,X,X
TZJILOS,O,X,O,O,O,O,X,X,O,X,X,X,X
TZJISLO,X,X,O,O,O,O,X,X,X,X,X,X,X
TZJISOL,O,X,O,O,O,O,X,X,O,X,X,X,X
TZJIOLS,O,X,O,O,O,O,X,X,O,X,X,X,X
TZJIOSL,O,X,O,O,O,O,X,X,O,X,X,X,X
TZJLISO,O,X,X,O,X,O,X,X,O,X,X,X,X
TZJLIOS,O,X,X,O,O,O,X,X,O,X,X,O,X
TZJLSIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJLSOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJLOIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TZJLOSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJSILO,X,X,X,O,O,O,X,X,X,X,X,X,O
TZJSIOL,O,X,X,O,O,O,X,X,O,X,X,X,O
TZJSLIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJSLOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJSOIL,O,X,X,O,O,O,X,X,O,X,O,X,O
TZJSOLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZJOILS,O,X,O,O,O,O,X,X,O,X,X,X,O
TZJOISL,O,X,O,O,O,O,X,X,O,X,O,X,O
TZJOLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TZJOLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZJOSIL,O,X,X,O,O,O,X,X,O,X,O,X,O
TZJOSLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZSILJO,X,O,O,O,X,O,X,X,X,X,X,X,X
TZSILOJ,X,O,O,O,X,O,X,X,X,X,X,X,X
TZSIJLO,X,X,O,O,X,O,X,X,X,X,X,X,O
TZSIJOL,X,O,O,O,X,O,X,X,O,X,X,X,O
TZSIOLJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TZSIOJL,O,O,O,O,O,O,X,X,O,X,O,X,X
TZSLIJO,O,O,X,O,X,O,X,X,O,X,X,X,X
TZSLIOJ,O,O,X,O,X,O,X,X,O,X,X,O,X
TZSLJIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TZSLJOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZSLOIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZSLOJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZSJILO,X,X,X,O,O,O,X,X,X,X,X,X,O
TZSJIOL,O,O,X,O,O,O,X,X,O,X,X,X,O
TZSJLIO,O,X,X,O,O,O,X,X,O,X,X,X,X
TZSJLOI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZSJOIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TZSJOLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZSOILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TZSOIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TZSOLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZSOLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZSOJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TZSOJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZOILJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TZOILSJ,O,X,O,O,X,O,X,O,O,X,O,O,X
TZOIJLS,O,X,O,O,O,O,X,O,O,X,X,X,O
TZOIJSL,O,X,O,X,O,O,X,O,O,X,O,X,O
TZOISLJ,O,X,O,O,X,O,X,O,X,X,O,X,X
TZOISJL,O,X,O,X,O,O,X,O,O,X,O,X,X
TZOLIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TZOLISJ,O,O,O,O,X,O,X,X,O,X,O,O,X
TZOLJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TZOLJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TZOLSIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZOLSJI,O,O,X,O,X,O,X,X,O,X,O,X,X
TZOJILS,O,X,O,O,O,O,X,X,O,X,X,X,O
TZOJISL,O,X,O,O,O,O,X,X,O,X,O,X,O
TZOJLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TZOJLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TZOJSIL,O,X,X,O,O,O,X,X,O,X,O,X,O
TZOJSLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TZOSILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TZOSIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TZOSLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TZOSLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TZOSJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TZOSJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOILJSZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOILJZS,O,X,O,O,X,O,X,X,X,X,X,O,X
TOILSJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TOILSZJ,O,O,O,O,X,O,X,O,X,X,O,O,X
TOILZJS,O,O,O,O,X,O,X,O,O,X,X,O,X
TOILZSJ,O,O,O,O,X,O,X,O,O,X,O,O,X
TOIJLSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOIJLZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
TOIJSZL,X,X,X,O,O,O,X,O,X,X,X,X,X
TOIJZLS,O,X,O,O,O,X,X,O,O,X,X,X,X
TOIJZSL,O,X,O,O,O,X,X,O,O,X,X,X,X
TOISLJZ,X,O,O,O,O,O,X,X,X,X,X,X,X
TOISLZJ,X,O,O,O,X,O,X,O,X,X,X,X,X
TOISJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TOISJZL,X,O,X,O,O,O,X,O,X,X,X,X,X
TOISZLJ,X,O,O,O,X,O,X,O,X,X,O,X,X
TOISZJL,X,O,O,O,X,O,X,O,X,X,O,X,X
TOIZLJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TOIZLSJ,O,X,O,O,X,O,X,O,O,X,O,O,X
TOIZJLS,O,X,O,O,O,O,X,O,O,X,X,X,O
TOIZJSL,O,X,O,X,O,O,X,O,O,X,O,X,O
TOIZSLJ,O,X,O,O,X,O,X,O,X,X,O,X,X
TOIZSJL,O,X,O,X,O,O,X,O,O,X,O,X,X
TOLIJSZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TOLIJZS,O,X,O,O,X,O,X,X,X,X,X,O,X
TOLISJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TOLISZJ,O,O,O,O,X,O,X,O,X,X,O,O,X
TOLIZJS,O,O,O,O,X,O,X,O,O,X,X,O,X
TOLIZSJ,O,O,O,O,X,O,X,O,O,X,O,O,X
TOLJISZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TOLJIZS,O,X,X,O,X,O,X,X,X,O,X,O,X
TOLJSIZ,O,O,X,O,X,O,X,X,X,O,X,X,X
TOLJSZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLJZIS,O,O,X,O,O,O,X,X,O,O,X,O,X
TOLJZSI,O,O,X,O,O,O,X,X,O,O,X,X,X
TOLSIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TOLSJIZ,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLSJZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOLSZIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOLSZJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOLZIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TOLZISJ,O,O,O,O,X,O,X,X,O,X,O,O,X
TOLZJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TOLZJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TOLZSIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOLZSJI,O,O,X,O,X,O,X,X,O,X,O,X,X
TOJILSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TOJILZS,O,X,O,O,X,X,X,X,X,X,X,X,X
TOJISLZ,X,X,X,O,X,O,X,X,X,X,X,X,X
TOJISZL,X,X,X,O,O,O,X,O,X,X,X,X,X
TOJIZLS,O,X,O,O,O,X,X,O,O,X,X,X,X
TOJIZSL,O,X,O,O,O,X,X,O,O,X,X,X,X
TOJLISZ,O,X,X,O,X,O,X,X,X,O,X,X,X
TOJLIZS,O,X,X,O,X,O,X,X,X,O,X,O,X
TOJLSIZ,O,O,X,O,X,O,X,X,X,O,X,X,X
TOJLSZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJLZIS,O,O,X,O,O,O,X,X,O,O,X,O,X
TOJLZSI,O,O,X,O,O,O,X,X,O,O,X,X,X
TOJSILZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TOJSIZL,X,O,X,O,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJSLZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOJSZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TOJSZLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOJZILS,O,X,O,O,O,O,X,X,O,X,X,X,X
TOJZISL,O,X,O,O,O,O,X,X,O,X,X,X,X
TOJZLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TOJZLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOJZSIL,O,X,X,O,O,O,X,X,O,X,X,X,X
TOJZSLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOSILJZ,X,O,O,O,O,O,X,X,X,X,X,X,X
TOSILZJ,X,O,O,O,X,O,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TOSIJZL,X,O,X,O,O,O,X,O,X,X,X,X,X
TOSIZLJ,X,O,O,O,X,O,X,O,X,X,O,X,X
TOSIZJL,X,O,O,O,X,O,X,O,X,X,O,X,O
TOSLIJZ,X,O,X,O,O,O,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,O,X,O,X,X,X,X,X,O,X
TOSLJIZ,O,O,X,O,O,O,X,X,X,O,X,X,X
TOSLJZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOSLZIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOSLZJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOSJILZ,X,O,X,O,X,O,X,X,X,X,X,X,X
TOSJIZL,X,O,X,O,O,O,X,X,X,X,X,X,X
TOSJLIZ,O,O,X,O,O,O,X,X,X,O,X,X,X
TOSJLZI,O,O,X,O,O,O,X,X,X,O,X,X,X
TOSJZIL,O,O,X,O,O,O,X,X,O,X,X,X,X
TOSJZLI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOSZILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TOSZIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TOSZLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOSZLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOSZJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TOSZJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOZILJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TOZILSJ,O,X,O,O,X,O,X,O,O,X,O,O,X
TOZIJLS,O,X,O,O,O,O,X,O,O,X,X,X,O
TOZIJSL,O,X,O,X,O,O,X,O,O,X,O,X,O
TOZISLJ,O,X,O,O,X,O,X,O,X,X,O,X,X
TOZISJL,O,X,O,X,O,O,X,O,O,X,O,X,X
TOZLIJS,O,O,O,O,O,O,X,X,O,X,X,O,X
TOZLISJ,O,O,O,O,X,O,X,X,O,X,O,O,X
TOZLJIS,O,O,X,O,O,O,X,X,O,X,X,O,X
TOZLJSI,O,O,X,O,O,O,X,X,O,X,X,X,X
TOZLSIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOZLSJI,O,O,X,O,X,O,X,X,O,X,O,X,X
TOZJILS,O,X,O,O,O,O,X,X,O,X,X,X,O
TOZJISL,O,X,O,O,O,O,X,X,O,X,O,X,O
TOZJLIS,O,X,X,O,O,O,X,X,O,X,X,O,X
TOZJLSI,O,X,X,O,O,O,X,X,O,X,X,X,X
TOZJSIL,O,X,X,O,O,O,X,X,O,X,O,X,O
TOZJSLI,O,X,X,O,O,O,X,X,O,X,O,X,X
TOZSILJ,O,O,O,O,X,O,X,X,X,X,O,X,X
TOZSIJL,O,O,O,O,O,O,X,X,O,X,O,X,O
TOZSLIJ,O,O,X,O,X,O,X,X,O,X,O,O,X
TOZSLJI,O,O,X,O,O,O,X,X,O,X,O,X,X
TOZSJIL,O,O,X,O,O,O,X,X,O,X,O,X,O
TOZSJLI,O,X,X,O,O,O,X,X,O,X,O,X,X
ITLJSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITLJZSO,O,X,O,O,X,O,O,X,X,X,X,X,X
ITLJZOS,O,X,O,O,X,O,O,X,X,X,X,O,X
ITLJOSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
ITLJOZS,O,X,O,O,X,O,O,X,X,X,X,O,X
ITLSJZO,X,O,O,O,X,X,O,X,X,X,X,X,X
ITLSJOZ,X,O,O,O,X,X,X,X,X,X,X,X,X
ITLSZJO,O,O,O,O,X,O,O,O,X,X,X,X,X
ITLSZOJ,O,O,O,O,X,O,O,O,X,X,X,O,X
ITLSOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
ITLSOZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
ITLZJSO,O,O,O,X,X,O,X,O,O,X,X,X,X
ITLZJOS,O,O,O,O,X,O,X,O,O,X,X,O,X
ITLZSJO,O,O,O,X,X,O,X,O,O,X,X,X,X
ITLZSOJ,O,O,O,O,X,O,X,O,O,X,X,O,X
ITLZOJS,O,O,O,O,X,O,X,O,O,X,X,O,X
ITLZOSJ,O,O,O,O,X,O,X,O,O,X,X,O,X
ITLOJSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
ITLOJZS,O,X,O,O,X,O,O,X,X,X,X,O,X
ITLOSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X
ITLOSZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
ITLOZJS,O,O,O,O,X,O,O,O,O,X,X,O,X
ITLOZSJ,O,O,O,O,X,O,O,O,O,X,X,O,X
ITJLSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
ITJLSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITJLZSO,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJLZOS,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
ITJLOZS,O,X,O,O,X,X,O,X,X,X,X,X,X
ITJSLZO,X,X,X,O,X,O,O,X,X,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJSZLO,X,X,X,O,O,O,O,O,X,X,X,X,X
ITJSZOL,X,X,X,O,O,O,O,O,X,X,X,X,X
ITJSOLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ITJSOZL,X,X,X,O,O,X,O,O,X,X,X,X,X
ITJZLSO,O,X,O,O,X,X,O,O,O,X,X,X,X
ITJZLOS,O,X,O,O,O,X,O,O,O,X,X,X,X
