sequence,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhFlgBRiBzkBXmB0n?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBUiBTkB2qB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8Je0/IvhFxgBVnB2pBzlB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFzfBUhBRiB1qB3s?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF8kB3lBRnBFmBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBynBTkB2qBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF0gBzkBRnBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFFhB0lBRnB2pBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF2lBXiB8nBFmBxp?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je0AJvhFmkBRnBTkBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeXBJvhFmkBRnBTkB0lBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFflBxgBzlB8sBFs?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF0gBypBRnBXmBmn?B1xB,v115@GhA8IeA8EeB8BeG8CeA8Je1FJvhFZoB0kBGnBikBXm?BTsB,v115@GhA8IeA8EeB8BeG8CeA8Jel/IvhFynB2pBxlBzlBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFUiBaoBxlB2pBzl?B1xB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhFXhBypBRnB0lBmn?B1xB
ISOTZJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ISOLJZT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
ISOLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
ISOLZJT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ISOJTLZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ISOJZTL,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOJZLT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZTLJOS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTLSJO,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTLSOJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTLOJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZTJLSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
IZTJLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJSLO,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,X
IZTJSOL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZTJOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTSLJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSLOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSJLO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
IZTSJOL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZTSOLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTSOJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTOLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZTOJSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IZLTJOS,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
IZLTSJO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLTOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IZLJTOS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
IZLJSTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJSOT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJOST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLSTOJ,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLSJTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSJOT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IZLSOJT,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IZLOTJS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IZLOSJT,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IZJTLSO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
IZJTLOS,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X
IZJTSLO,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IZJTSOL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
IZJLTSO,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
IZJLTOS,X,X,X,X,X,X,X,X,O,O,X,X,X,O,O,X,X
IZJLSTO,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IZJSTOL,O,X,X,X,O,X,X,O,X,O,O,X,X,O,X,X,X
IZJSLTO,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJSLOT,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJSOLT,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
IZJOTSL,O,X,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X
IZJOLTS,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZSTLOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZSTJLO,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X
IZSTJOL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
IZSTOLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
IZSTOJL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSJTLO,O,X,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSJTOL,O,X,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSJLTO,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSJOLT,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOTJSL,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOLSJT,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJTSL,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IZOJLTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTJLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTJZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTSJLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTSZJL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZJLS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLTZJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOLJTSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOLJSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLJSZT,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
IOLJZTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLJZST,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLSTZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
IOLSJTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOLSJZT,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O
IOLSZTJ,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O
IOLSZJT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
IOLZTJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOLZJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IOLZJST,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,O
IOLZSJT,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O
IOJTLSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
IOJTSLZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IOJTZSL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X
IOJLSTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJSLZT,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJSZTL,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOJSZLT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOJZTLS,O,X,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X
IOJZTSL,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,X,X
IOJZLTS,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZLST,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IOJZSTL,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X
IOJZSLT,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOSTJLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
IOSTZJL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLTZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOSLJZT,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IOSLZJT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
IOSJTLZ,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSJTZL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSJLZT,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
IOSJZTL,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZTJL,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOZTJSL,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X
IOZLSJT,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
IOZJTLS,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
IOZJTSL,O,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
IOZJLTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IOZJSTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
LTIJZSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,X
LTIJZOS,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LTIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTIJOZS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X
LTISJZO,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
LTISJOZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTISZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTISZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
LTISOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
LTIZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZJOS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIZSJO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
LTIZOJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
LTIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTIOJZS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
LTIOSJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
LTIOZJS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
LTJISZO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
LTJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
LTJIZSO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTJIZOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTJIOZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJSIZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJSIOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJSZIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTJZIOS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
LTJZSIO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTJOIZS,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
LTJOSIZ,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
LTJOZSI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTSIZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTSIZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
